"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_ATF4_34_0001","-3.2439508747719","2.1450194341249","5.47138726525552","3.05853662688157","4.78712408974294","2.30089011550485","5.18975695430139","-13.1901596625841","-2.8377679981019","-0.336652034289181","-3.7203212414793","-1.151976265192","-0.510052330986742","6.97233243678938","-1.35598898149499","3.14272492062671","6.43011912533501","-4.59801709185016","0.178598575169307","0.916691822647171","-4.40537099135198","6.81774711312482","-1.9119290432641","0.105910324066847","2.20187790494858","1.13073463053329","0.414559370757233","-3.6673247919516","-0.665362063465104","-0.945644055171614","-3.72486557697635","-2.98154205214731","-3.93245031928194","-2.97866502486881","3.29799159730849","1.67493513757653","-4.23166139799213","-3.11292051721524","7.05946877152373","0.216862464740756","3.20448261050074","1.39451339535499","-1.27542618073389","-3.55113222003078","0.161500941246118","1.12237149058327","5.03874187808959","3.28498867073138","-1.73357047261983","-0.655430274777472","3.38771908482163","-1.46375399817791","-0.76429948714873","-4.54637602958633","-3.54110503399437","-7.06833990179237","-2.15610346359946","1.32483402921554","5.04972928453317","1.08168600098263","-3.1216700254343","5.81768015940826","-2.73689170484223","3.63401076678683","1.17005234900804","3.46174576274231","1.55572849234072","-5.839851987341","-1.10021920189754","4.43473950710013","-0.144579438834664","6.71026933868462","3.34011955930877","-1.04067772390651","-6.79276408828698","-4.58277318463333","-9.13297706422177","-4.04046015162898","-0.34739006720255","-5.43229972969164","2.34774349620812","0.398656200231212","-2.82941122952867","0.697190582497781","3.68361847987603","-6.58359695001504","-9.30274311983173","-0.88790144343071","3.48843395810027","-5.57664854182504","-1.28297355382804","5.46158143607854","-4.92534006374463","-2.46382388500571","1.34349067767759","-8.46503616727834","1.58608137386284","-0.262644605687719","-2.31131571792176","3.6074308736443","-4.96088885654247","2.94934628028717","2.79554419338989","0.904926180470172","-0.613434031331384","-7.88372616424282","4.64240539767502","0.496907266926454","0.693197096309083","-2.71414718530225","-1.5712688649784","6.19930932358264","-1.94873532289449","-9.63840033543506","1.04264956059667"
"Random_ATF4_34_0002","-3.20411303083069","2.15573058273618","5.63660809094179","3.20943828818055","4.85262697149371","1.90871163202508","5.01703169070827","-12.9499035073141","-2.98047824555859","-0.422731836185186","-3.84372581492289","-1.24522755242206","-0.740033407076687","7.02743686389955","-1.47495594209519","3.18937460791749","6.33559663318712","-4.68400602401671","0.174774681653205","1.02059739634973","-4.37478175289815","6.90281493578703","-2.11194102781119","0.120189234079861","2.35562072545758","1.23123779789024","0.443278549837451","-3.7866640347183","-0.436696058757888","-1.078772773236","-4.02721369267712","-3.19902351963294","-3.9552278495158","-3.02227520847166","3.05401263682098","1.73261071290595","-4.38601062691078","-3.18472827288662","7.04380546525942","0.0209309957338185","3.40240646847951","1.31208709186442","-1.23978619404592","-3.74509710146457","0.142834738394318","0.964138766262042","5.15276659386313","3.33196584625857","-1.93499334476815","-0.621647043052984","3.57758729268103","-1.41425040619138","-0.77298169241073","-4.52135388715425","-3.55673305607154","-7.32725920785278","-2.08021637944142","1.04765765077934","5.08599287565267","1.12008749091934","-3.27083270157336","5.79762195274155","-2.94139679020385","3.7349818462708","1.04859801712564","3.31973637788245","1.56791483555502","-5.77118577222023","-1.12258566944801","4.52218527552008","-0.0870595997199846","6.67749403244178","3.18196867516031","-1.07030166368021","-7.02742626436952","-4.5389427935422","-9.01631035510703","-4.06097827497993","-0.490316999593295","-5.26127203384953","2.40958216579627","0.12485404320206","-3.23257199271701","0.836593377153084","3.70932888396402","-6.75269429906027","-9.1555696369625","-0.751071747332447","3.51878907625717","-5.57358122571992","-1.12577142067903","5.4238884309486","-4.91778798574193","-2.19148358255073","1.44445930589929","-8.47885117807009","1.77888716601707","-0.482306149863627","-2.18863858495632","3.48974199594239","-5.18480126864351","2.96940893498259","2.8611038625662","0.693729355328001","-0.703070442713591","-7.64056138951746","4.70106510576559","0.106317817253086","0.786307833710066","-2.71389853017817","-1.62471491565694","6.3009915325198","-2.08662622758998","-9.67572063079303","0.773254984151145"
"Random_ATF4_34_0003","-3.06274757726934","2.04930491467334","5.55985273549727","3.11677634842791","4.8293550137959","1.98519096893766","5.302144411005","-12.9682859171111","-2.76674662961819","-0.230004649799643","-3.71690842075955","-1.11970364410655","-0.564219605092535","6.92570344747995","-1.37847601624376","3.17353674874671","6.27214517315529","-4.70377506489152","0.302695437395612","0.898486040925685","-4.28123127302272","6.87749205623147","-2.07961697288379","0.0746307459826207","2.32978983229233","1.18654336604983","0.430622935843269","-3.82942788136164","-0.571480406438519","-0.941815763201951","-3.92524690103534","-3.07302979256457","-4.04855105537399","-3.04886016857755","2.97594064675458","1.84520216646866","-4.27922542842465","-3.15949948839175","7.01944758684667","0.0832891612453763","3.31772760432416","1.41934599618263","-1.16090398922429","-3.51792850542647","0.158303077583591","0.985208976921647","5.02323695024617","3.34417689363464","-1.77213715108012","-0.675841549273377","3.49391686531132","-1.3019552583429","-0.701898226440796","-4.46404590152452","-3.48468037133835","-7.20926273248378","-2.11646016871861","0.97210377615592","5.10924339661775","1.15254822177311","-3.21587423790418","5.85170254000376","-2.93930410621617","3.58384632715106","1.20152092261803","3.27867446535901","1.85269460780425","-5.84131055556197","-1.03474443193772","4.33257077051978","-0.0507744578407794","6.54240389353985","2.9767094977625","-1.03111822797838","-6.92140222190999","-4.50272341759125","-9.142283990436","-4.1786236632577","-0.363552340858365","-5.17702711271794","2.32827239690853","0.239491495483285","-3.13471212792708","0.806627431969293","3.72419527329417","-6.8376843079256","-9.18107749695875","-0.630369456325749","3.45306749373493","-5.60428721774828","-1.21664342959309","5.42989919137359","-5.0454773495844","-2.3264348696862","1.45239755304132","-8.43902237056779","1.64779544035019","-0.425470303947672","-2.26837996476386","3.37345435790168","-5.1385987600993","2.77493861830063","2.85108481654854","0.72440468142272","-0.70631237863761","-7.60128492155504","4.69679386850089","0.237747183420769","0.908835146184407","-2.59314495234329","-1.67967211285318","6.28435713139139","-2.02246841437934","-9.67482489642161","0.814395003668248"
"Random_ATF4_34_0004","-3.15239451586527","2.13177777912105","5.49645522233316","3.1270418613065","4.76309990313402","2.12557833902138","5.2756281223514","-12.9021914281697","-2.80803652315756","-0.271449173013988","-3.7342893132249","-1.17900035740684","-0.584427380436471","6.92775058061744","-1.49008861060231","3.11217573146997","6.38567192702167","-4.68810871246962","0.216071230940855","0.879794371958878","-4.4532689612525","6.88792507287809","-2.04026941261731","0.0319067021770185","2.29715075641327","1.19774380047792","0.364641439380202","-3.69183708251745","-0.610154909125775","-0.972255165820587","-3.77141464389005","-3.05064528156475","-4.01909519302922","-3.09000002845769","3.15828786578923","1.71966167273565","-4.22774777898598","-3.06065948796152","7.0771053664279","0.187202405186448","3.32156126096288","1.41363111583218","-1.17682609809298","-3.52499567946885","0.106088633922054","1.13786603760273","5.03651488282648","3.42095873365852","-1.76496500098767","-0.627558522683147","3.39450787823986","-1.33522005819885","-0.7538779615852","-4.48260812476144","-3.6334947667618","-7.16313446635171","-2.19225520786237","1.14105523678407","5.10275170369281","1.15649531975435","-3.10128323422494","5.83777539960029","-2.80242495908242","3.61802338688877","1.06208454708915","3.50047847792459","1.70287673020393","-5.82693803617273","-1.09347291224063","4.32467065180767","-0.128102283577535","6.66295727098475","3.26277174405082","-0.99045572928256","-6.86090573707542","-4.53680232288078","-8.95261432945238","-4.08299740902104","-0.433120546320692","-5.29360111256144","2.43747110479313","0.201309705688956","-2.94002265382993","0.896959910162492","3.69492469729726","-6.62494125152627","-9.22496053719071","-0.759256833055468","3.47819347707937","-5.45015180617669","-1.17811134909853","5.39277805517159","-4.89132497961221","-2.22680324617023","1.44013937069426","-8.39607421286813","1.65064446103854","-0.349089255325165","-2.24092174355125","3.47745885773889","-5.04923518065073","2.93001021438147","2.8398278627783","0.843672100073826","-0.654069866220785","-7.73460894444564","4.72521210093459","0.300344061450301","0.761531559799745","-2.67594820323218","-1.65256466452931","6.27687497982687","-2.02691923660354","-9.54627370085758","0.84360227024621"
"Random_ATF4_34_0005","-3.04207618948973","2.13941955961023","5.5787258316723","3.16353427817756","4.74879084018946","1.98259008087993","5.02720943518009","-12.7606126969584","-2.91619260558531","-0.238144581955944","-3.71605923781695","-1.14414977792665","-0.645079420754784","6.87172775893011","-1.33347921968558","3.10755043412703","6.14962573940458","-4.62629431165101","0.307045532454731","0.972546179887467","-4.23145323131337","6.71190239454941","-2.00217822048264","0.0447261078911391","2.2466713557066","1.01551597265601","0.381903514589787","-3.73972470709688","-0.573571580617604","-1.02549666297919","-3.92997686405829","-2.99899995223028","-4.03905040103325","-2.93201947211654","3.05571969349274","1.62602256376069","-4.25213711848452","-3.02550347178143","6.79397928559187","0.0951477289434279","3.23833257174641","1.42737143846497","-1.25232368862415","-3.56198077355769","0.11926116468004","0.890553915877559","5.01062607758779","3.18906659367947","-1.85087283610985","-0.626284434776971","3.56993628675201","-1.33630477180999","-0.73345140243192","-4.33471319244084","-3.44908917848434","-7.07006781178654","-2.18951280065092","1.12280571363259","5.02627071562794","1.19156190848975","-3.16928785767547","5.7906787902402","-2.84137379279321","3.72524229889977","1.14630087238479","3.24214070738698","1.59659827878686","-5.72526914345058","-1.05669034517088","4.35564426935787","-0.170489014352566","6.44649485619105","3.08314815607969","-1.06278011472623","-6.72499398659709","-4.30622041482658","-8.81473835356916","-3.97914834395548","-0.429753170822617","-4.9719841576071","2.34371236249031","0.225046496897271","-3.0377824478188","0.734674040275479","3.67443377501092","-6.65559635674428","-9.18983722250401","-0.792625166782565","3.39433640840585","-5.61670862406808","-1.12128459352685","5.29131085860237","-4.88177050861129","-2.298025803236","1.51697737184052","-8.2957466282846","1.68252452779236","-0.386269051088353","-2.31700683355944","3.41882721851714","-4.98882207723225","2.83233559611608","2.81594067003869","0.734997643899082","-0.688564289380774","-7.51116880220322","4.55105521257607","0.236427234484698","0.764587597964778","-2.64380078297078","-1.60483356465316","6.22074938815306","-2.11463673283794","-9.48313164641571","0.821014961694437"
"Random_ATF4_34_0006","-2.98237714074916","2.10152936502496","5.57095627811486","3.22751760356355","4.89753517852299","2.08729741508956","5.20269637785626","-12.9344763877886","-2.86172621135297","-0.329388159968497","-3.79753556560627","-1.19369512963726","-0.720805056019604","6.87361618591333","-1.39670232147105","3.27684510426505","6.19583648803448","-4.57693287202699","0.219529509605599","1.00865306142381","-4.468690576144","6.83463222763006","-2.07391484702073","0.0172060250682042","2.30497765421139","1.19040151922701","0.379454493930857","-3.8079533630272","-0.523317373727397","-1.07375888095003","-3.91862058624715","-3.20771739873081","-4.10727639546499","-3.19330908278305","3.0786520815818","1.71419268146647","-4.2004336030946","-3.1620743333306","6.92444326288764","0.129856164409762","3.26865064186547","1.39404734038265","-1.08654507425449","-3.48855881674779","0.245513191796344","1.07545897590858","5.10611898718794","3.35861093870563","-1.86835567424061","-0.548859457345002","3.56919262496073","-1.33522715821094","-0.89509668194777","-4.5438783053415","-3.67512757760224","-7.0016831265893","-2.12883319704432","1.14899897195415","5.07267733152783","1.00785024183643","-3.08141773413","5.87577302441568","-2.86142369327465","3.56341319125431","1.09190007167595","3.23101361666869","1.56037953301132","-5.99084925660031","-1.00675731940173","4.42686585547012","-0.137009676339345","6.53019042357403","3.29708016827715","-0.896090661250673","-6.71766844254637","-4.70322621621159","-8.88155747881933","-4.11965188918569","-0.340253628411257","-5.18497151942202","2.47408013229631","0.10708709067425","-3.07734892571351","1.01378970817413","3.72761741698678","-6.76307058172183","-9.06257539715458","-0.819700391973673","3.48475660500536","-5.57592040411721","-0.991742391123688","5.3804587851465","-4.93075450832295","-1.95405627452153","1.41875162728598","-8.40433318430706","1.65864525957789","-0.45773089199334","-2.31543187591133","3.50168926323965","-5.19724664430706","2.78316519841595","2.85128737956643","0.786529486555463","-0.65712994633274","-7.56953686131751","4.78363483174887","0.210722678476403","0.671377603795182","-2.75541717021846","-1.57917508210071","6.28202631523707","-2.07559095947152","-9.57359493704082","0.858869151410872"
"Random_ATF4_34_0007","-3.14150369065387","2.32681384616386","5.616349939258","3.23542693135728","4.89750513605068","2.09469739185734","5.22764868291909","-12.9190576305347","-2.73081357352715","-0.289575867889008","-3.76340508970611","-1.28400430703101","-0.593139732358964","6.87655852736899","-1.50006621440443","3.06436898023742","6.32376189917724","-4.59860881154172","0.14146686763146","0.976878236541605","-4.46466561653461","6.87393561337711","-2.10870713751972","0.0288557910692172","2.34053339965399","1.01698467271849","0.340604561225853","-3.81219574012444","-0.547193864457108","-1.13725687155829","-3.74353634224254","-3.17411351328444","-4.18163122526849","-2.94833743563535","3.12838387590587","1.73968719866083","-4.03697200964505","-2.98453625711868","7.02334199913968","0.085996492933447","3.41010669283888","1.23832931439434","-1.28671822922282","-3.5957196570019","0.250009666335229","1.09376335222485","5.1550100161809","3.34899427236373","-1.84412247828736","-0.585049154120223","3.59710512567536","-1.43639907989852","-0.833899133487351","-4.63595971055907","-3.51207103730959","-7.05962776946088","-2.1289001897691","1.12508428763","5.18359423557273","1.24774480170536","-3.0345448795209","5.96377564865637","-2.8270821565618","3.69361998855799","1.02128546362857","3.34930195344153","1.53414224092392","-5.72123769383415","-1.11396867714623","4.40437388915995","-0.0158119944180013","6.58327932875483","3.29780996111974","-1.02908098523015","-6.64912251346795","-4.51655480601025","-8.94919942827665","-3.96500821625497","-0.356870544912194","-5.18920928837974","2.46394415360364","0.205491390821437","-2.9566119000346","0.825425304805391","3.78675305811501","-6.732998382063","-9.20425040239805","-0.828322437525139","3.58216172154452","-5.47010734129324","-1.10546285598751","5.41205790885137","-4.82503739205445","-2.21692002172719","1.4178303544843","-8.3295173698965","1.68283949862886","-0.344698448976236","-2.36706045783439","3.40569631320988","-5.07765341759646","2.98477868868896","2.90594322044609","0.782916087395829","-0.631266188932961","-7.72747431646043","4.75434372433244","0.272332461615569","0.910164393723016","-2.85577153157205","-1.48382805743246","6.27398032956705","-1.91955146999791","-9.604157274702","0.827686624654079"
"Random_ATF4_34_0008","-3.07577827070252","2.14602756770023","5.5374243474406","3.08230586205529","4.85337902672474","2.03574602046978","4.98004561251229","-12.9931170923563","-2.96203302822298","-0.301329061961612","-3.76046670124218","-1.27185721231667","-0.706338657886715","6.96429284262111","-1.42145040959534","3.17411580895013","6.29417170656262","-4.73927854541796","0.33512683106738","0.996902863628233","-4.39174787179513","6.89355876063065","-1.99722866164692","0.0675537867413804","2.29591749865584","1.09471995929572","0.55349261991249","-3.71034727300714","-0.573721545129636","-0.990503127804171","-3.95444780893425","-3.15569277610816","-4.09905446652394","-3.05696328459793","3.01341243021048","1.70634072709402","-4.41233175996029","-3.22286320969394","6.97990897963959","0.134590440385643","3.34256586987554","1.44744027099822","-1.20271742543059","-3.58099300405189","0.0863692594142727","1.03336591798123","5.11894665560183","3.29471304797619","-2.0307317233528","-0.651813184823321","3.46854444732872","-1.3323613828069","-0.788476434203353","-4.52596179844069","-3.53369701299004","-7.2919864803668","-2.1077691532968","0.9964328158427","5.04764412600474","1.0123946205759","-3.19250718212764","5.90141198911966","-2.95071934631627","3.61167623046416","1.15301376703373","3.35922957294395","1.58835225367802","-5.88745690780858","-1.13859666284812","4.44749437551021","-0.0978226945522301","6.56779444395827","3.14124003928993","-1.14204585597793","-7.01309737909394","-4.70051419394807","-9.08662641009082","-4.16195768379183","-0.490544299724935","-5.37929891168291","2.33711060558326","0.227085373977588","-3.11350907141438","0.849697861235014","3.69903880797825","-6.86152617141819","-9.13006087101539","-0.792923025117065","3.4428625219157","-5.61077405277116","-1.19420542817007","5.5100912953279","-5.0291269404556","-2.1648582545043","1.55717415113155","-8.46648190320835","1.65504194437577","-0.436322109990419","-2.21228328635685","3.41827762559443","-5.11864914713142","2.97901788371237","2.78731880703803","0.735443925124413","-0.719396139293012","-7.70466272934984","4.57727425319035","0.292734141655055","0.736728014356633","-2.7332573379562","-1.73757379281668","6.20623918764777","-2.10735698376909","-9.70855825086147","0.90538998331954"
"Random_ATF4_34_0009","-3.2479734744201","2.31073838952897","5.78528876482733","3.33663894049659","4.97245451214024","2.02417118302787","5.28441880051737","-13.0483299900327","-3.03700620350573","-0.523555717958394","-4.06290626215656","-1.31574299478417","-0.885315424491004","7.19089178824206","-1.63274769114903","3.11309349670955","6.40327664313453","-4.75380455658336","0.150687329217986","1.02641285754715","-4.29078862538445","7.05691942493975","-2.17856122720669","0.271094879054492","2.36494140828972","1.0160905623231","0.483746853206882","-4.0063048785686","-0.142348472841717","-1.22951523668549","-4.16669944044353","-3.23302016920009","-4.07520859141983","-2.82180560173854","2.99227913589437","1.64724673332063","-4.19575548683544","-3.09104130324258","7.25257833174315","-0.0431427101673873","3.46837644267055","1.20004850910543","-1.35478858769231","-3.62940876123477","0.35955285853515","1.09817463917573","5.31405223813141","3.50830932171693","-2.06035409463371","-0.54677948947234","3.6758550606126","-1.45274600186713","-0.899795552201789","-4.57850213229281","-3.62025856067712","-7.19805638274671","-1.93488137257518","1.02049669306221","5.22415616397767","1.304754575995","-3.30305516332103","6.00708874848814","-3.07339158231462","3.78293797317782","0.985737973676082","3.40414270931697","1.39444261136661","-5.80843413689463","-1.01294932996588","4.58086674219918","-0.140027114607555","6.87408256237894","3.31098146272014","-1.06447443782132","-6.9914073471175","-4.55498639816048","-9.02653724526331","-4.01116018581032","-0.680129467653793","-5.29087983226615","2.51234358310123","0.0460529250695742","-3.22577190897298","0.963133221398461","3.76978423741418","-6.8729470391677","-9.63379161947555","-1.03976173857482","3.62242151801823","-5.76777875363634","-1.14886075456476","5.51109467943646","-4.86111694636722","-2.15402928044921","1.51648567303083","-8.448443250969","1.91844774867404","-0.639973941307383","-2.22098864164546","3.42975867460956","-5.35576276646174","2.92036133876731","2.97417897626309","0.662544662781981","-0.741917514352554","-7.66626261523068","4.69856906825026","0.164773239553419","0.888714863492632","-2.81881652586436","-1.62986680122247","6.28344307380646","-2.06285744369148","-9.71579932846124","0.645666108991978"
"Random_ATF4_34_0010","-3.00877792447315","2.04831866647047","5.58602144296974","3.05776421157946","4.88431408085848","2.04598533650035","5.08981484687278","-12.842782889728","-2.82566107847213","-0.211574871500686","-3.68775804163072","-1.09115464151523","-0.593540083197954","6.95614844636571","-1.38797240997845","3.13523098002193","6.22283006424736","-4.80805920611982","0.347828910008284","0.993121433342106","-4.37528510373969","6.85306020853232","-1.90266032199002","0.0677112027308436","2.18887645498304","1.25784914091385","0.462628191132119","-3.68199252136733","-0.533173557942527","-0.992389285554361","-3.89226799343584","-2.97314351093054","-3.8831764054974","-2.9887218766504","3.19014751437179","1.72024215175216","-4.33514087857728","-3.23218354427826","6.89367017151893","0.098384156248362","3.24769909997701","1.44102154521059","-1.11698566251384","-3.6690583668464","0.13925085062131","1.03265503735536","5.0513591871212","3.15934474056076","-1.88780915316028","-0.781881555054016","3.48256170081043","-1.30417677412058","-0.644947026363665","-4.54397196810982","-3.52154184628826","-7.33856764090967","-2.13057638043442","1.23616410434091","5.01750357954666","1.09987245490918","-3.3197842658578","5.84660939757331","-2.94551975850974","3.61080093996628","1.16364264052957","3.36986791377879","1.69874218757059","-5.72937572230066","-1.06341917650731","4.48117058965493","-0.0614729037329276","6.50384526177399","3.11305047858987","-1.22969654060755","-6.86856054971319","-4.61870755544344","-9.06507881938761","-4.25527303514676","-0.411130318462287","-5.33125778784847","2.29171310722271","0.239688321219136","-3.18005777072002","0.753673272435098","3.63822825138578","-6.80321320562096","-9.09663913592744","-0.724646342585219","3.33346098911992","-5.67572625893243","-1.28919619188136","5.44088199343398","-4.99214366552321","-2.2953927342941","1.44934544013548","-8.47413627750281","1.74258142456376","-0.325613396974623","-2.22725481716472","3.55813446643878","-5.12374624846996","2.93441284572861","2.69053625792473","0.784149049165115","-0.597226416055232","-7.55110587955386","4.55099142184121","0.308701145061682","0.68516476508859","-2.70499999527782","-1.68805789279016","6.16549846165836","-1.97418511954622","-9.70112656173709","0.822128664238998"
