Probe,GSM1402321,GSM1402322,GSM1402323,GSM1402324,GSM1402325,GSM1402326,GSM1402327,GSM1402328,GSM1402329,GSM1402330,GSM1402331,GSM1402332,GSM1402333,GSM1402334,GSM1402335,GSM1402336,GSM1402337,GSM1402338,GSM1402339,GSM1402340,GSM1402341,GSM1402342,GSM1402343,GSM1402344,GSM1402345,GSM1402346,GSM1402347,GSM1402348,GSM1402349,GSM1402350,GSM1402351,GSM1402352,GSM1402353,GSM1402354,GSM1402355,GSM1402356,GSM1402357,GSM1402358,GSM1402359,GSM1402360,GSM1402361,GSM1402362,GSM1402363,GSM1402364,GSM1402365,GSM1402366,GSM1402367,GSM1402368,GSM1402369,GSM1402370,GSM1402371,GSM1402372,GSM1402373,GSM1402374,GSM1402375,GSM1402376,GSM1402377,GSM1402378,GSM1402379,GSM1402380,GSM1402381,GSM1402382,GSM1402383,GSM1402384,GSM1402385,GSM1402386,GSM1402387,GSM1402388,GSM1402389,GSM1402390,GSM1402391,GSM1402392,GSM1402393,GSM1402394,GSM1402395,GSM1402396,GSM1402397,GSM1402398,GSM1402399,GSM1402400,GSM1402401,GSM1402402,GSM1402403,GSM1402404,GSM1402405,GSM1402406,GSM1402407,GSM1402408,GSM1402409,GSM1402410,GSM1402411,GSM1402412,GSM1402413,GSM1402414,GSM1402415,GSM1402416,GSM1402417,GSM1402418,GSM1402419,GSM1402420,GSM1402421,GSM1402422,GSM1402423,GSM1402424,GSM1402425,GSM1402426,GSM1402427,GSM1402428,GSM1402429,GSM1402430,GSM1402431,GSM1402432,GSM1402433,GSM1402434,GSM1402435
Random_ATF4_34_0001,-3.112047962,2.194999427,5.749048953,3.398022446,4.862684672,2.023910729,5.216696106,-12.94632207,-2.853408061,-0.413315571,-3.808094213,-1.277352044,-0.660432109,6.839044395,-1.507514521,2.976382222,6.34711068,-4.645006152,0.160201069,0.786161723,-4.38863404,6.865629625,-2.096383406,0.008126182,2.570552591,1.112205119,0.24961427,-3.881486446,-0.551537059,-1.114190136,-3.926200852,-3.216764392,-4.251278188,-2.984247174,3.038301342,1.625579124,-4.069733497,-2.986439275,7.076301151,-0.070555999,3.374607192,1.208316206,-1.279929059,-3.532484593,0.256924026,1.143018275,5.103339297,3.668166292,-2.007963693,-0.339479429,3.615660863,-1.437129256,-0.891289959,-4.483697364,-3.786765831,-7.09032505,-2.115392566,1.094881703,5.23057565,1.162261916,-3.07953717,5.964989292,-2.851445707,3.730322745,0.880143435,3.375290489,1.38582098,-6.076625738,-1.020845879,4.411402591,-0.256351236,6.71881978,3.34032179,-1.042920688,-6.820892789,-4.532441788,-9.016039192,-3.953951625,-0.480305386,-5.029213306,2.592571436,0.071345409,-3.017759253,0.870780549,3.733315314,-6.648788817,-9.310229681,-0.937760603,3.576053681,-5.637334589,-0.933636175,5.299713842,-4.880776988,-2.126332432,1.359162436,-8.563833319,1.641675437,-0.520425919,-2.395289498,3.345046123,-5.179004268,2.879540581,3.026409021,0.653876304,-0.840030712,-7.516344748,4.887648907,0.206845154,0.92216325,-2.795020044,-1.548393655,6.498823644,-1.99964265,-9.69574678,0.723592986
Random_ATF4_34_0002,-3.174568354,2.00237145,5.389568748,3.058474575,4.683733166,2.140537045,5.407107984,-12.74782189,-2.586127342,-0.418749506,-3.681223313,-1.302741526,-0.575533312,6.719491292,-1.411385851,2.966078425,6.293742776,-4.437899292,0.146043692,0.773545541,-4.128762507,6.697112902,-2.00337478,-0.094587693,2.483241068,1.25985203,0.405475023,-3.872407194,-0.441129879,-1.077807396,-3.794007137,-3.065853643,-4.102504278,-2.886840544,3.110496954,1.615154567,-3.909110189,-2.80891815,6.769561724,0.001760108,3.158888098,1.369059971,-1.418071633,-3.583320471,0.099264506,1.093802562,4.914129017,3.261120185,-1.788192184,-0.512825043,3.356417419,-1.301090629,-0.590964049,-4.39251781,-3.556265179,-7.070391335,-2.246622747,1.165171753,5.036255317,1.209216462,-3.142275288,5.952084346,-2.697541983,3.608946852,0.927434248,3.421972384,1.559705887,-5.633831813,-1.122250161,4.252357652,-0.203395086,6.431489595,3.111242792,-0.991511942,-6.76513998,-4.530475555,-8.987025906,-3.776300924,-0.213912319,-5.088148496,2.372941843,0.145672711,-2.90756368,0.733602478,3.558869764,-6.560022319,-9.106948532,-0.873040927,3.514354909,-5.384252129,-1.204164674,5.180976755,-5.014161225,-2.313212971,1.150256265,-8.308522772,1.463866994,-0.416361719,-2.49541906,3.358145809,-4.932780909,2.700020906,2.711471372,0.706526686,-0.440897066,-7.322171839,4.703288854,0.295568087,0.729960182,-2.514886926,-1.758861594,6.103750389,-1.786959411,-9.557852568,0.800869726
Random_ATF4_34_0003,-3.166191093,2.223230775,5.601524561,3.2593406,4.800993119,2.133276833,5.229778292,-13.08008311,-2.757647206,-0.333473832,-3.735543498,-1.269193835,-0.668849989,6.875628853,-1.455513846,2.93788597,6.268361415,-4.553795984,0.18065542,0.794650046,-4.39542706,6.833912556,-2.1368059,-0.076429706,2.514101,0.945036437,0.197093792,-3.838153623,-0.657404013,-1.100613331,-3.801215576,-3.208070276,-4.27912048,-2.918866452,3.046008414,1.570690188,-4.048273974,-2.976429358,6.919229051,0.056569127,3.428185389,1.252120057,-1.381099712,-3.576181339,0.122992052,0.975459881,5.162248572,3.430916142,-1.909161832,-0.416406739,3.543427004,-1.357566041,-0.879769916,-4.56049711,-3.719448661,-7.12267682,-2.192808391,1.075032013,5.224645954,1.140731327,-3.025493416,5.913437974,-2.68204393,3.750155587,0.931778095,3.364957529,1.431345101,-5.91263658,-1.083015827,4.327570058,-0.248340289,6.566356618,3.378060918,-1.058563236,-6.659149203,-4.392314746,-8.893976581,-3.880765048,-0.425022085,-5.008950515,2.71998183,0.12224746,-2.867626019,0.824659928,3.828403486,-6.538327018,-9.339843604,-0.876997978,3.564087185,-5.590292637,-0.863292968,5.152585847,-4.879367237,-2.31178145,1.229710925,-8.44590612,1.565947292,-0.3763936,-2.480436549,3.306509154,-4.968049943,2.933211144,3.06480114,0.741713291,-0.832067964,-7.561550309,4.835226567,0.258248804,0.972787038,-2.916241377,-1.469613942,6.467508366,-1.956960332,-9.498041094,0.914905312
Random_ATF4_34_0004,-3.224795772,2.248094892,5.580267517,3.25020401,5.037209529,2.118055063,5.245210573,-13.00930213,-2.850698642,-0.369356707,-3.835297597,-1.274075221,-0.632250682,6.955823935,-1.535099437,3.022962606,6.399551438,-4.728168521,0.151955732,0.789973797,-4.485236543,6.94517963,-2.119821032,0.035922448,2.371802776,1.074711879,0.348589595,-3.9350971,-0.698130356,-1.068292596,-3.88646489,-3.190403601,-4.115586994,-3.138684776,3.163438165,1.561858366,-4.244519797,-3.096461154,7.050970653,-0.001853991,3.363337513,1.353318861,-1.391131282,-3.650465431,0.089822297,1.089873328,5.173349477,3.435258462,-2.029014942,-0.45130116,3.524199667,-1.483518086,-0.8106275,-4.591933864,-3.656841089,-7.255921286,-2.179229053,1.225546026,5.216604543,1.129261045,-3.166787933,5.988698217,-2.721238368,3.733337782,1.057567449,3.489625066,1.545293748,-5.928676147,-1.096566152,4.432509913,-0.135088976,6.664261969,3.308271542,-1.078646475,-6.883481029,-4.647864344,-9.049258595,-3.965822916,-0.470654347,-5.238336657,2.601138739,0.177687672,-2.97863132,0.924292003,3.803835954,-6.686453077,-9.303014591,-0.92419787,3.639970968,-5.606964415,-0.970080596,5.330217088,-4.954756097,-2.325059865,1.303993254,-8.57399509,1.605530157,-0.428115996,-2.337925934,3.489446176,-4.987398596,3.033324134,2.954312147,0.726179844,-0.758207759,-7.694174932,4.796985612,0.226727611,0.780069015,-2.901505672,-1.640583215,6.422621861,-2.131567672,-9.658573482,0.888471334
Random_ATF4_34_0005,-3.215798426,2.126599579,5.507670035,3.025669536,4.787660332,2.436453415,5.175610435,-12.9509782,-2.636571522,-0.108252651,-3.598030466,-1.082929861,-0.380380346,6.928046769,-1.167665953,2.888787119,6.355650321,-4.555668103,0.341922944,0.673107984,-4.613126438,6.769303535,-1.805300484,-0.043041104,2.318326115,1.256019655,0.445588474,-3.571379118,-0.700230337,-0.729463576,-3.674583706,-2.966211585,-3.855562231,-3.006306551,3.5079056,1.685184595,-4.076768147,-3.251454556,6.963921468,0.271459122,3.281675162,1.674830825,-1.087042832,-3.438870175,-0.035697448,0.897659983,5.038062976,3.37264142,-1.75527209,-0.608246058,3.404357873,-1.237171183,-0.663215423,-4.745586025,-3.629560156,-7.130731662,-2.317435197,1.442153133,5.153983055,1.080125326,-3.06135575,5.863030723,-2.788811135,3.659382639,1.106666199,3.622115163,1.57695851,-5.867846352,-1.294674375,4.241768466,-0.199579566,6.806337624,3.219412511,-1.126208276,-6.793883525,-4.551232698,-9.305407667,-3.982167227,-0.22099684,-5.46370367,2.507661472,0.441220999,-2.948124577,0.676781243,3.663222929,-6.53049216,-9.124446448,-0.715817042,3.4205342,-5.814632976,-1.167236554,5.351679144,-4.846266307,-2.375270894,1.342738501,-8.414556239,1.593296351,-0.070952665,-2.278391292,3.85944672,-4.876709822,3.144989745,2.808977402,1.051166801,-0.745563383,-7.735308534,4.695974427,0.463161174,0.686317537,-2.787375364,-1.767658956,6.301906899,-1.909422368,-9.749463704,1.075896281
Random_ATF4_34_0006,-3.157579544,2.101401699,5.62888352,3.198863279,4.79503824,2.052065141,5.163237128,-12.89470871,-2.824624801,-0.357092276,-3.808014345,-1.266887128,-0.668117648,6.798986383,-1.457054578,3.035688131,6.315662193,-4.794331452,0.198293415,0.87353313,-4.336471644,6.791279542,-2.050405353,0.006510191,2.394860796,1.206963843,0.392219228,-3.788714445,-0.503050793,-1.060322445,-3.936022745,-3.095520479,-4.107310389,-3.061382823,3.058619394,1.647938199,-4.161740884,-2.996223331,7.0108347,-0.005122975,3.285719188,1.29809553,-1.305994012,-3.512484842,0.148704452,1.159365272,5.1205922,3.426088214,-1.895356411,-0.545572422,3.468064095,-1.386878441,-0.805507601,-4.495518022,-3.727893175,-7.051782927,-2.112811376,1.101457782,5.073219603,1.194670959,-3.141288008,5.840745888,-2.898590269,3.628778162,0.931826334,3.407064658,1.462638235,-6.240830161,-1.064379125,4.331776918,-0.187947848,6.631655805,3.239796105,-1.016473615,-6.728865681,-4.469807925,-8.987356225,-4.026725663,-0.40128592,-5.183877669,2.44428796,0.060584538,-3.095010858,0.82515684,3.661071345,-6.629305967,-9.2022074,-0.863995206,3.45551825,-5.586847287,-1.146489843,5.354838436,-4.936643094,-2.111083737,1.382975493,-8.348183518,1.692018314,-0.430393815,-2.314953344,3.393075033,-5.110925741,2.889479558,2.856143048,0.736904403,-0.821207518,-7.568931453,4.659063559,0.224845935,0.753939379,-2.742140997,-1.614140385,6.296595303,-1.968393433,-9.638070477,0.745799011
Random_ATF4_34_0007,-3.033382427,2.175080929,5.563520911,3.190623053,4.877720355,2.131413516,5.217990775,-12.98273025,-2.725854583,-0.302250649,-3.731027722,-1.271897063,-0.503420655,6.853102794,-1.444629363,3.204307536,6.356361235,-4.631090388,0.288674967,0.998692842,-4.380636155,6.931706109,-2.033084933,0.064596036,2.368200909,1.086607106,0.399416501,-3.844343547,-0.553931199,-0.84713893,-3.920374053,-3.12722002,-4.102124366,-2.966368172,3.003673135,1.862520712,-4.232893199,-3.278735273,6.94620751,0.111960201,3.360848437,1.539306324,-1.155774675,-3.461386298,0.216852045,0.977114382,5.199937159,3.336792191,-1.766935689,-0.619533067,3.476718094,-1.295407034,-0.7507022,-4.479605265,-3.629641551,-7.164259759,-2.0858286,1.042199714,5.142086712,1.114338713,-3.13290117,5.809163752,-2.930707595,3.675996049,1.072868853,3.273310846,1.740210164,-5.889219792,-0.999334328,4.462679608,-0.123014846,6.581781778,3.290503342,-0.940577782,-6.758617629,-4.582861717,-9.155366029,-4.063994654,-0.348874659,-5.146351851,2.417671921,0.167371209,-3.120590979,0.966058273,3.663668229,-6.607426028,-9.192346929,-0.694903135,3.503345681,-5.588518402,-1.130885404,5.336339253,-5.075591146,-2.263294259,1.389695717,-8.527477992,1.594487731,-0.395948819,-2.32568774,3.33646152,-5.103103452,2.853384889,2.876937957,0.823657836,-0.682669635,-7.537857077,4.681504456,0.265624091,0.792227371,-2.764658307,-1.716183371,6.281784555,-1.829156323,-9.60207583,0.834765581
Random_ATF4_34_0008,-3.234381479,2.245722542,5.733806992,3.32592537,4.907896307,2.007067415,5.071981236,-12.99909133,-2.844890576,-0.343299728,-3.809993674,-1.209402872,-0.650171278,6.911148497,-1.447414606,2.985933149,6.365029589,-4.631569893,0.121118098,0.945661785,-4.24909524,6.928973128,-2.046083653,0.161653935,2.416933609,0.893871468,0.400866707,-3.841018732,-0.441196948,-1.057824893,-3.940319668,-3.304872359,-4.236084344,-2.988657253,3.154555082,1.532956527,-4.343779427,-3.143870652,7.002013454,-0.02163429,3.37797538,1.288560224,-1.25320595,-3.637003127,0.247635371,1.0134084,5.245062023,3.423354394,-1.886454389,-0.477987332,3.556473136,-1.40462609,-0.904908406,-4.49621214,-3.751080437,-7.248459902,-2.195456621,1.301954579,5.200540661,1.092729315,-3.223606977,6.026059996,-2.8866453,3.705735154,0.967352608,3.432913933,1.416336639,-5.739912391,-1.165290861,4.49883138,-0.189725761,6.71367474,3.27500789,-1.133081827,-6.900251489,-4.533696696,-9.010033168,-3.97520967,-0.462479149,-5.177367012,2.530213404,0.246800178,-2.985787279,0.960061579,3.723645656,-6.691475799,-9.186649936,-0.940762278,3.579397008,-5.43754903,-1.009550925,5.441505277,-4.896770643,-2.222671052,1.510850167,-8.395972185,1.695812659,-0.503669965,-2.323930294,3.551116544,-5.015716053,3.016753393,2.988351717,0.698044941,-0.791003545,-7.374423361,4.790381662,0.313653222,0.970821419,-2.92376917,-1.49870091,6.34016785,-2.017393043,-9.669729292,0.907146771
Random_ATF4_34_0009,-3.162453151,2.249397522,5.544456672,3.192925852,4.787075309,2.126707872,5.107811786,-12.82120643,-2.887643415,-0.359831982,-3.721591971,-1.181808847,-0.633503329,6.949809849,-1.390926431,3.029703857,6.335432031,-4.756884546,0.229375557,0.923026892,-4.305668472,6.832813641,-1.936915928,0.059442211,2.208127261,1.198795045,0.42979503,-3.681066691,-0.483546405,-1.082269196,-3.925275443,-2.996690815,-3.924327157,-2.979156119,3.210262804,1.775339259,-4.164488926,-3.071344456,7.087141838,0.062724219,3.233426066,1.365503011,-1.197538568,-3.528960697,0.11959649,1.217245916,5.086442915,3.486314265,-1.767895045,-0.615292987,3.433246785,-1.317039124,-0.708447263,-4.456640681,-3.643785949,-7.185221258,-2.195258065,1.219476562,5.055396907,0.987395221,-3.207480057,5.851301585,-2.8896724,3.690506408,1.113418552,3.512544472,1.508340724,-5.761339251,-1.166064864,4.44504955,-0.099917482,6.707210491,3.278247753,-1.017037034,-6.884915645,-4.437429687,-8.964198473,-4.139327719,-0.46794996,-5.29131848,2.450560828,0.255945584,-2.970837948,0.852954846,3.720779068,-6.701656653,-9.161222382,-0.84941348,3.512268382,-5.51302461,-1.155122772,5.342740606,-4.869475965,-2.247174806,1.46533417,-8.47178751,1.726532219,-0.407785018,-2.304177381,3.570487518,-5.029884946,3.058080481,2.86200657,0.879059601,-0.692342224,-7.574011555,4.697802764,0.370390043,0.628743413,-2.737596932,-1.615164376,6.298552248,-1.989928612,-9.646950144,0.828384394
Random_ATF4_34_0010,-3.108821959,2.22906538,5.557212594,3.294006829,4.685443224,2.156571269,5.300551215,-12.92494888,-2.693877576,-0.344565102,-3.786134683,-1.253689576,-0.657473655,6.838233172,-1.512810848,2.9498263,6.402829788,-4.565518337,0.16881792,0.683832945,-4.444854164,6.942407616,-2.134425546,-0.076113804,2.456065394,1.087393373,0.267219973,-3.847127589,-0.699639429,-1.04830913,-3.752078318,-3.207342178,-4.159585324,-3.060745979,3.167188131,1.554957111,-3.982295715,-3.032369141,6.993433427,0.072351655,3.346904472,1.324845366,-1.301279833,-3.487767034,0.175330954,1.056716803,5.032768291,3.500748228,-1.850281192,-0.389093722,3.530900588,-1.421893118,-0.802887823,-4.731525343,-3.844173249,-7.128488845,-2.274063689,1.145961769,5.264727755,1.158854898,-2.921353408,5.989553119,-2.704662206,3.740905245,1.007395703,3.368637443,1.57862563,-5.852487358,-1.088414289,4.353392173,-0.301199893,6.679797079,3.362084126,-0.916473198,-6.73371041,-4.603942349,-8.929698856,-3.838190521,-0.339514691,-5.097728471,2.630074142,0.142493058,-2.875954782,0.822324463,3.790629824,-6.648594957,-9.237206111,-0.899151082,3.59749612,-5.593138883,-0.950655748,5.246352479,-4.887649238,-2.132247024,1.256194583,-8.451777901,1.519777137,-0.289508123,-2.343429024,3.388703664,-5.076248667,2.903453942,3.0055304,0.750636631,-0.701751355,-7.631319594,4.904646673,0.304123161,0.844597098,-2.902825455,-1.587693628,6.479859794,-1.94247126,-9.595460864,0.979791776
