""	"GATA2"	"PGR"
"result.1"	0.0195216280616801	1.03806740980872e-10
"result.2"	0.0279330659394468	5.18969311968931e-11
"result.3"	0.0238117363451245	7.4013239981241e-11
"result.4"	0.0239760578046564	7.08093583767777e-11
"result.5"	0.0401170023961441	2.21778151399121e-11
"result.6"	0.0240286644916403	7.040279470516e-11
"result.7"	0.0327246309200957	6.22693008267561e-11
"result.8"	0.0213633799651793	9.32836030642648e-11
"result.9"	0.0280477463421993	5.54123413820662e-11
"result.10"	0.0252291979342023	6.49158504728575e-11
"result.11"	0.0348747427025671	5.56179546862268e-11
"result.12"	0.0219319979625183	9.59592405536114e-11
"result.13"	0.022959682157399	7.28317406384349e-11
"result.14"	0.0198182317357445	7.5174311220394e-11
"result.15"	0.032589695304122	4.50077752844891e-11
"result.16"	0.0257906727268062	5.04616348706577e-11
"result.17"	0.022867195375273	5.30495647410589e-11
"result.18"	0.0254133027143313	8.39872615898685e-11
"result.19"	0.0265435189769627	7.55804308028019e-11
"result.20"	0.0292773656018779	7.10274061788141e-11
"result.21"	0.0243547913929336	6.79567513373058e-11
"result.22"	0.02666478239658	7.8663298097581e-11
"result.23"	0.0270975308259722	7.47999440164904e-11
"result.24"	0.0256083743639763	6.50497433696273e-11
"result.25"	0.0448469527652151	4.21904733372003e-11
"result.26"	0.0306266445319021	6.18987083811362e-11
"result.27"	0.0259775413486887	6.22775164771383e-11
"result.28"	0.030193272253759	6.43447517489903e-11
"result.29"	0.0362285117806189	5.67144109453466e-11
"result.30"	0.0304425709377678	5.28044274972217e-11
"result.31"	0.0282168284334132	5.02928809709147e-11
"result.32"	0.022653435837972	1.06872954930282e-10
"result.33"	0.0254685502950343	7.42326200509069e-11
"result.34"	0.0344563749967157	4.78610484577757e-11
"result.35"	0.0306420697207901	5.92819127120947e-11
"result.36"	0.0272743571122138	6.80133727115617e-11
"result.37"	0.0246731146937824	7.4611650191514e-11
"result.38"	0.0737203329539327	1.37261313426507e-11
"result.39"	0.0302621030168018	6.04853944707884e-11
"result.40"	0.0237579405462589	7.979172877981e-11
"result.41"	0.0345224473002117	7.43658468138619e-11
"result.42"	0.0221087678353553	1.23778320926249e-10
"result.43"	0.0301878921228971	6.23556761780719e-11
"result.44"	0.0296387687394462	5.24296162041082e-11
"result.45"	0.0208091963522303	8.69400107461615e-11
"result.46"	0.0218458743536152	1.11802789248827e-10
"result.47"	0.0294074162912272	6.03808114618687e-11
"result.48"	0.0251299569591517	9.21327458769383e-11
"result.49"	0.023482608782244	9.2823748687465e-11
"result.50"	0.023377878713339	8.77466987958542e-11
"result.51"	0.0201927262812289	1.32142297104565e-10
"result.52"	0.0261677598435104	5.62785373858787e-11
"result.53"	0.025233253854283	5.48554535129142e-11
"result.54"	0.0485869793710945	3.6587399776522e-11
"result.55"	0.0228379663388401	1.19897869410579e-10
"result.56"	0.0314491932372265	4.78672657067136e-11
"result.57"	0.0233678584992245	7.2096995040738e-11
"result.58"	0.0296255612328737	6.03666006071535e-11
"result.59"	0.0401291571583979	3.1419089552287e-11
"result.60"	0.0202900275960449	1.18599352560977e-10
"result.61"	0.0218312675189773	1.2734457932595e-10
"result.62"	0.0361435301459101	4.07389677548053e-11
"result.63"	0.019365504035334	1.04370734277381e-10
"result.64"	0.0171838516463703	9.12534492414352e-11
"result.65"	0.0421237695459507	2.98090441219756e-11
"result.66"	0.0365136603864957	6.1597171807648e-11
"result.67"	0.0240212474166119	9.8137276083321e-11
"result.68"	0.0226699141285518	1.07089670464688e-10
"result.69"	0.0271707690170422	6.01545480094501e-11
"result.70"	0.0250856905362575	7.19291293194146e-11
"result.71"	0.0246316565308315	1.06816333556026e-10
"result.72"	0.0241685685596715	7.36555261227068e-11
"result.73"	0.0201819957669227	1.13741904783637e-10
"result.74"	0.042318438143198	2.31263896921519e-11
"result.75"	0.0381595343622239	4.48245884854259e-11
"result.76"	0.0408327013817875	4.09878797569263e-11
"result.77"	0.0239808536576158	8.35955749067807e-11
"result.78"	0.0409951453366162	3.53370666061892e-11
"result.79"	0.0289776888649631	6.08559869164083e-11
"result.80"	0.0238367927530205	9.21529519359865e-11
"result.81"	0.0263752076275432	5.44231326671252e-11
"result.82"	0.0291092357582485	8.20008505542091e-11
"result.83"	0.0298503705032205	5.04707386994596e-11
"result.84"	0.032319835866071	5.32915933604272e-11
"result.85"	0.0390149386214975	3.08559844341971e-11
"result.86"	0.019133118303519	8.3695494978997e-11
"result.87"	0.0169534897525063	1.14140696894083e-10
"result.88"	0.0193781955124224	1.04392272604059e-10
"result.89"	0.047882139108498	3.23074900165921e-11
"result.90"	0.0611921557114883	2.28399521517986e-11
"result.91"	0.0249795771687109	8.20805645673772e-11
"result.92"	0.0271825287085918	6.40048014588501e-11
"result.93"	0.0338892259884651	3.81836784413281e-11
"result.94"	0.0358055482747675	3.94377863699447e-11
"result.95"	0.0303587159456018	5.50761658502097e-11
"result.96"	0.0201658132548541	1.2969847418276e-10
