"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_EGFR_73_0001","-3.13804997285971","2.24962978698407","5.5762179379917","3.19793948367581","4.79435607503183","2.11598203237362","5.20419371025439","-12.856435598092","-2.9353737177929","-0.193778196292122","-3.63860453263829","-1.20764173561763","-0.630620006608004","6.98260691217122","-1.28668791631074","3.19241064253075","6.40354795357127","-4.65452482864167","0.242860630214863","0.910123139799733","-4.49222013857241","6.930831141913","-1.90702886289178","0.0312641695407788","2.25111105804414","1.11662915463837","0.173624177100113","-3.65630457363645","-0.523836403357053","-1.00335123979367","-3.84795810461641","-3.0187594963923","-4.02498370729178","-3.06026176346571","3.4275046715663","1.70236018391154","-4.19205501762831","-3.18552134600043","7.0632502613176","0.200246596713237","3.41513624076993","1.52094205343005","-1.18447870855303","-3.65109018345421","0.0279171217488674","0.847816896173898","5.15057700629695","3.29731301101198","-1.81426545616532","-0.633057720735412","3.59833749214516","-1.26330662433423","-0.729778300437557","-4.51774780722463","-3.75509599477245","-7.31172191833393","-2.18771678024297","1.39760856353366","5.1771138832072","0.990124132120839","-3.09537103094392","5.8920838101946","-2.66663912783059","3.645524519454","1.2194379544277","3.56164967775989","1.56426962741847","-5.84747907576973","-1.13660409001442","4.37875176706105","-0.00762812847911745","6.68077966122813","3.20720401924195","-1.16105505146069","-7.09351107910394","-4.69453561750633","-8.83248971990305","-4.09407953283794","-0.369836237584992","-5.1834487269078","2.54817399839625","0.478173650275295","-2.73572825541866","0.970172612286503","4.02076351520996","-6.78248168164585","-9.22169471182873","-0.889987671157126","3.50996368704973","-5.52308128935334","-1.06212872043566","5.33183022464993","-4.98477399412043","-2.23827143412628","1.39274895862782","-8.80747031402315","1.48358310489849","-0.226333849026274","-2.40361061434269","3.76442648342804","-4.95464080832572","3.31756162759236","2.91619989905955","0.889579173893437","-0.741052038115705","-7.75946262006538","4.69424038638202","0.512991129771278","0.775869112886378","-2.94981990634214","-1.59799874094291","6.26908589559468","-2.07123550391581","-9.64588462623942","1.22136328491905"
"Random_EGFR_73_0002","-2.92176953839743","2.12821857196852","5.62880809972158","3.32866835928735","5.03180449660906","1.90283556170488","5.18850389962875","-12.8601091767816","-3.12766452962117","-0.274864819997998","-3.68562024454609","-1.33042968517328","-0.556771765888762","6.96439692387418","-1.32536768786685","3.28616424331244","6.09558380175161","-4.71381380131302","0.0949785546178151","1.12680983798135","-4.35662783460172","6.92926882511916","-2.0904156541616","0.0710577206867197","2.32424453030758","1.11979835529515","0.336176406493577","-3.75198222260383","-0.499953503513004","-1.23284023177443","-4.02497808297992","-3.1258327313534","-4.13762187097203","-3.20722878994046","3.1165585839564","1.80093759803122","-4.18084759141613","-3.23410900415773","6.91233392657513","0.153272132463086","3.35872861666588","1.37260423269048","-1.27514792537833","-3.7694614706648","0.152205821266554","1.06170765516733","5.1274012482297","3.1617258208842","-2.00749132124444","-0.660261381375939","3.48265400871308","-1.40586815958072","-0.817788277144746","-4.19424827749465","-3.38892413892784","-7.36481214116951","-2.13873352533596","1.14034687083777","5.0484314626896","1.21059391192874","-3.15843927011832","5.84736666079518","-2.79352823587282","3.59392809135525","1.12095460976967","3.18988731247215","1.4872397443311","-6.03419826295669","-1.12831959531085","4.54122129629509","0.0618086876073963","6.49525761970387","3.05610702380105","-1.35239817194407","-6.88742519999326","-4.41817015360763","-8.77712614208584","-4.24135514189297","-0.448799780703154","-5.19011747886273","2.62236273404472","0.0420092187534994","-3.08305592319321","0.879187686008006","3.54997110167242","-6.60492878493381","-9.13802268346756","-0.699652200798766","3.44350084313966","-5.63656108772912","-1.0062004373839","5.30575800533274","-4.91187043727547","-2.22135893907998","1.69102182567557","-8.26900631448034","1.69353797192088","-0.417275686089574","-2.27329229193726","3.55835843363639","-4.98108895463066","2.97326655260125","2.85016252843616","0.754553937554638","-0.725159901622","-7.54106375293054","4.57682718004796","0.19982532112671","0.627088555070159","-2.78085292191434","-1.6426821304188","6.1453919514415","-2.13112287609551","-9.6200198534142","0.645192444743492"
"Random_EGFR_73_0003","-3.36845415243724","2.15729920139224","5.43606957923786","3.16347429794977","4.64278537082429","2.30158133042607","5.20873594608756","-12.8374956297283","-2.96650019992416","-0.42515728025184","-3.7060925619058","-1.33802138783895","-0.79020173704788","6.88707664364005","-1.48510674907821","2.87743387129971","6.43438639506057","-4.55759536911842","0.117069614674614","0.714541906208171","-4.6038479304873","6.85108953189839","-1.99894541886692","-0.0643907548990283","2.3350031761634","0.9729447850904","0.221513733550748","-3.82948248628973","-0.80315062422762","-1.08132691004521","-3.72202598024379","-3.08086827573065","-4.28240498791879","-3.0771158428701","3.3358362766855","1.46024207318786","-4.13675335121174","-3.09879568316295","7.03506210615414","0.262847861541589","3.45165412204731","1.4168662640698","-1.38961876465506","-3.47255139003485","0.00507811807439123","1.37018041935417","5.1030715846913","3.38141155510023","-1.8628076350356","-0.563950283377636","3.23757840662418","-1.44464074978503","-0.711098292620017","-4.61080462056375","-3.7837025615504","-7.31573466226985","-2.12860165109582","1.3533243106201","5.17893942314517","1.06510609573639","-3.10598692922514","5.89010467212089","-2.54007346342125","3.64931248228912","0.915692561947595","3.51375410266791","1.45658613326377","-5.8471914391355","-1.20555029816333","4.38493370006157","-0.327710169176715","6.59787570063687","3.33800389459021","-0.841847114599873","-6.78608010831927","-4.7881524005889","-8.74124974900165","-3.92893529777859","-0.347245846156041","-5.30787664225335","2.63851486015652","0.412171401669562","-2.59522293143233","0.872730742261918","3.83352869208936","-6.63129948358823","-9.31811602738736","-0.835944983509582","3.5953925583077","-5.55759637371002","-0.983657141792544","5.30857035096272","-5.0426615480759","-2.32078435820641","1.22881537185345","-8.48880074165348","1.40562503217219","-0.413306204707998","-2.43182241836647","3.58015116911967","-4.87442145300105","2.97179494914772","2.96397548096553","0.836201465287469","-0.750263414428599","-7.64990498273394","4.92641176430455","0.479607174000201","0.765245178551172","-2.88716106616048","-1.5928396250665","6.38648206217766","-2.07986176949328","-9.5635575462874","1.08554787125926"
"Random_EGFR_73_0004","-3.15763800226613","2.35959408116066","5.52421370455967","3.30918504295788","4.73522094651657","1.95670620187793","4.86469246602712","-12.8958684561836","-2.64015140948782","-0.345712388433047","-3.6288121377864","-1.09580381697763","-0.477125403071807","6.75789652871533","-1.48333669183458","2.84864698593021","6.33900880497476","-4.71466433728508","0.306364139951344","0.652319779317207","-4.22660132427662","6.78102025115928","-2.02058552075653","-0.0371089093846057","2.50047862399618","0.926194992491307","0.217328048181552","-3.76717487486782","-0.601009461657534","-0.836217236334669","-3.76562400842734","-3.17256532419897","-4.0235564689621","-2.91527483953989","3.22581490751595","1.53375843695197","-4.0764336711389","-3.11131754177818","6.92770639973757","-0.0577705071385739","3.32449702243279","1.34910196569662","-1.22587190741131","-3.45166545507015","0.0601162863916754","0.876440439983181","5.02953079622951","3.45083525250888","-2.02433095910949","-0.368802732418633","3.58302976509872","-1.30497723831079","-0.720849728805402","-4.64734026263216","-3.60026446835418","-7.24100325009459","-2.11155353381693","1.39915056973582","5.11020582355945","1.09872499974905","-3.18779861218256","5.86264865304073","-2.85378493356986","3.69971600158591","0.877419831974571","3.454304977579","1.38260213155662","-5.69770020444326","-1.06614417266048","4.34242502549874","-0.225242636290104","6.66200986340838","3.18389270352349","-1.36427185453909","-6.64928263163567","-4.50187437818284","-8.83749481438509","-3.70372489626411","-0.581332305478467","-5.26008576054868","2.4952096382614","0.203948204741458","-2.96075027699909","0.722408471751062","3.65844733135753","-6.52323635562435","-9.13573505897637","-0.830548350131047","3.61823082506237","-5.62187175932252","-1.07079719831323","5.21722802717462","-4.79893472478204","-2.43345416780262","1.35280510521203","-8.48481028440884","1.64429066266874","-0.348450737732101","-2.29746592373116","3.60637600906642","-4.94240751239181","3.02339895520072","2.99702626471409","0.580563268074558","-0.989218287798816","-7.32869420199576","4.72288908131909","0.365140826414841","0.838237234518924","-2.72037722170782","-1.31799152537613","6.30441564021685","-2.07570269322794","-9.74334029783048","0.883231704225667"
"Random_EGFR_73_0005","-3.21135505169778","1.82835454239431","5.42514565903847","2.94795669532126","4.78374561583159","2.14741252981475","5.40577066995106","-12.7924770669511","-2.46132923848892","-0.356634065063154","-3.61287115275813","-1.17563478187275","-0.543565166717464","6.65031852987883","-1.37496684596402","2.91719212843401","6.23138065393146","-4.68911357848016","0.276172908410926","0.904362172912151","-4.26857961995491","6.64192616816224","-1.99134096010323","-0.0263148515318078","2.37306483177321","1.3914340206051","0.539369966032167","-3.82811870652973","-0.321090360409717","-0.985379452443461","-3.84557669039718","-3.09911019516915","-4.15784932123073","-3.45942241468818","3.11266885018489","1.64867546256645","-4.11607578241264","-2.90495884887849","6.66662068225023","0.0139119000958971","3.16770408724374","1.47711265865479","-1.4525019330786","-3.63946569732865","0.12595186157126","1.16242704965629","5.00573264700835","3.22597464799789","-1.83476581264073","-0.632635788124669","3.29148838955194","-1.33411185381719","-0.555497244417557","-4.42723659408512","-3.52437657623082","-6.91720951896394","-1.9020915175646","1.11259226083022","4.91412964364892","1.42969302184447","-3.25085204284532","5.98570595971712","-2.90177398774041","3.60510248245952","1.02648438523085","3.41465684793872","1.66670611317365","-5.67910522574608","-1.32021334534316","4.24231205844269","-0.00965137705993951","6.40295843621074","3.1217815847734","-0.950188243836072","-6.73722947582047","-4.57717513158558","-9.15953312698113","-3.85551981363207","-0.34503125740263","-5.11109810840219","2.22968457020088","0.215939555480768","-2.95084688894666","0.879522394214506","3.43013802786399","-6.72372672210522","-8.97296217478006","-0.783755082751732","3.51047689925984","-5.73908606104822","-1.2180291814539","5.36268239623217","-5.0824182196317","-2.12322621759416","1.38764837347494","-8.22464814238449","1.61994706288026","-0.38309772522141","-2.17608587124746","3.44902350925061","-5.06776063540314","2.76443602702156","2.68196774707591","0.783480092941247","-0.445560643889121","-7.53623955873709","4.62876928301343","0.359880263639088","0.663790229856654","-2.57728120315981","-1.80370814147446","6.1835890919583","-1.87669292731246","-9.72198924997841","0.892272285873484"
"Random_EGFR_73_0006","-2.98338192164658","2.19676116227694","5.56601299560175","3.34391147751392","4.86029726759452","2.12759651631174","5.02745532331125","-12.8468205357822","-2.82491384277106","-0.172230888711677","-3.62794989414121","-1.09706187132444","-0.596211676964653","6.99693500434304","-1.30784494199338","3.05074455030009","6.12896650602567","-4.45876387425342","0.29114929060368","0.842006460376713","-4.45384597394741","6.94077476245095","-1.9050655980279","0.0804799930111186","2.38704679264494","1.22143015816907","0.313018081175668","-3.61955763751941","-0.588655096032257","-0.989518163463137","-3.8603733512402","-3.10020178021544","-4.06464802770092","-2.92344293345365","3.04985999520428","1.81484133395061","-4.18471387222777","-3.34454150656303","6.97749249165647","0.17454942906088","3.36047365535713","1.45472198125326","-1.1332088641788","-3.48223786268458","-0.0192973117535512","0.794552819784524","5.05830835944765","3.34133177242383","-1.96116891253304","-0.507741443615028","3.63033744463127","-1.21900534626112","-0.74558628434658","-4.43331355491681","-3.69843455391881","-7.21948512617038","-2.28085703436079","1.07840665823812","5.07732120987517","1.0285105104094","-3.09302988445805","5.83431626003479","-2.77862457213814","3.65355992959617","1.11979147360826","3.18684899613254","1.48171373934167","-5.97634026398863","-0.962101041788969","4.50957996916134","-0.290137452526943","6.60467459807459","3.21161574449009","-1.16697256376526","-6.93443115443936","-4.55796985844746","-8.93071272028422","-4.05002755944034","-0.393141435780458","-5.16746539729693","2.543062925634","0.252789386556131","-2.98115950235049","0.741944770919756","3.674065989786","-6.61681889902019","-9.11580639416512","-0.7052621048891","3.46157673501397","-5.60282405521759","-1.07140510352147","5.32413190420638","-4.96627364133471","-2.42681542740857","1.42757633228454","-8.56111158167238","1.644140628924","-0.335703565923324","-2.41375138276803","3.43140935738282","-5.1585334460558","2.85695894344813","2.99495082647198","0.810156066904692","-0.636667485095717","-7.54826115105795","4.62198069103794","0.334814885872245","0.770263417716515","-2.65419243810028","-1.56206583677933","6.25050564017918","-1.92375620995234","-9.50612841354558","0.810328479895915"
"Random_EGFR_73_0007","-3.17377511731122","1.90498135469064","5.33026463470442","3.01933473472412","4.4803991198764","2.54668321185553","5.41783004088625","-12.8696631752836","-2.49231911280179","-0.0231735447722664","-3.44382444063205","-0.981910838153111","-0.310227536034964","6.62051928701159","-1.1486768989582","2.8633144460705","6.34985755282649","-4.42467007001795","0.531603421002409","0.803497295481681","-4.41111847219728","6.70604787115185","-1.65375437279498","-0.278277343251116","2.12457160348904","1.27885805261672","0.284299912882423","-3.473289614215","-0.798915076174539","-0.616785651709336","-3.56792541362832","-2.92324607427651","-4.02121166347588","-3.24308327260416","3.08531580157518","1.82076944793939","-4.17485653826401","-2.97374313816569","6.88965588909853","0.438608518735528","3.05229969282844","1.7611149466637","-1.08018590481025","-3.29868384265961","-0.0767685610487081","1.0767267136864","4.86229405013562","3.18170542263714","-1.6682517621114","-0.852296052792978","3.09102549286623","-1.23116926051524","-0.556515086076658","-4.2004986341297","-3.6768990918369","-7.03614880460048","-2.35358736878721","1.08923756536373","4.80541385975086","0.985012328292506","-2.92601161138042","5.56421179869003","-2.68953894868915","3.39131395118215","1.46962343459979","3.30300961856423","1.64126962776654","-5.73565301428438","-0.9023449714692","4.25532102723855","-0.0315534785170036","6.55131588076343","3.11118630129481","-0.867120957807251","-6.60024746780272","-4.38577545487916","-8.93724114347501","-4.07161058445088","-0.104250986394907","-5.17238532766734","2.36100298346048","0.41562742223105","-2.84584429205529","0.720246674570369","3.51695497042228","-6.46210322024269","-8.85142608742792","-0.478964672108818","3.31184412906314","-5.58838934164722","-1.2480430120874","5.16077165820921","-5.10529951336087","-2.42464748537388","1.07714159739779","-8.52247980456663","1.43204110405495","-0.0589695740436701","-2.49435260172802","3.37910652089653","-4.79984154555928","2.82707844052689","2.62949528849277","1.19452276994567","-0.457673132275797","-7.80717468887335","4.4769778876572","0.532720381987248","0.336039202491499","-2.47856341085121","-1.82338129439681","6.04550551683288","-1.7547846267443","-9.33456919537883","1.07808701631526"
"Random_EGFR_73_0008","-3.07463398892796","2.02350963284422","5.54081082361504","3.16481022284763","5.03555285756633","2.01282168896531","5.18502201547174","-13.1624148682669","-2.96671739514107","-0.150817505389545","-3.66168482908106","-1.17494856572355","-0.482004920705488","6.97191151338345","-1.34765174917872","3.35754865229347","6.28198379683633","-4.78156465343179","0.301483971502251","1.17513361191887","-4.34866951886136","6.81500409824172","-1.99389109514378","0.0710896155650954","2.12375016824488","1.24302868773562","0.469343416868375","-3.67416851058921","-0.46626466644832","-0.968198179364239","-3.9735149260146","-2.9717483855464","-4.09297364545733","-2.99273329994053","3.20924165726839","1.8231877169823","-4.47127787131671","-3.18870487823059","6.92134344688541","0.211706486266135","3.29315483185077","1.49042517009882","-1.26139073056234","-3.57833453490844","0.298521698753027","1.0973245871108","5.16845671735683","3.21885975639876","-1.74217943117193","-0.846475557815403","3.42163012998363","-1.32324904118313","-0.656360685491361","-4.41485702877117","-3.31962036575033","-7.30805951474774","-2.21080043024993","1.12866486154347","5.04085983709076","1.30325169966447","-3.43796795919087","5.84709691254345","-3.01019119831681","3.61119966105898","1.3235987487794","3.30476550682896","1.81621431018088","-5.78961958233977","-1.19737142016263","4.42527097569968","0.111147542989287","6.55020037342734","3.12858282322172","-1.0988703782988","-6.75772038249428","-4.40821636334667","-9.03244547236131","-4.28362439964404","-0.5443082435008","-5.15480385005683","2.35523318808388","0.297787579784288","-3.07967583379029","0.84611032721982","3.65420753217488","-6.86233265719156","-9.26845664121884","-0.667773887397148","3.38662038656309","-5.67589456203711","-1.20018858228947","5.45578798314867","-5.18271175857891","-2.156114235324","1.60856180546715","-8.51232649653433","1.83722259733206","-0.423409160569206","-2.13849550970749","3.57453755004647","-5.03564710021324","2.97010853109602","2.79050503333802","0.814522296163622","-0.590223798517854","-7.69848422366496","4.51740979887576","0.264837563914542","0.688383364066652","-2.61535431466157","-1.92756652297141","6.10371875928637","-2.16607310018379","-9.68847998696951","0.949180820682285"
"Random_EGFR_73_0009","-3.0320481762764","2.19616763197117","5.44555424751096","3.27117614793065","4.92793674478968","1.9595885963434","4.98216612848556","-12.7971398617727","-2.88156453843187","-0.309345071177186","-3.78051315111309","-1.11769593885214","-0.754650475227058","6.7750037488577","-1.36506829877409","3.14881301295661","6.11919573535643","-4.49851232697524","0.169641876124226","0.843766149362805","-4.34172650900216","6.82656270700196","-2.16405761145926","0.0732572469053688","2.30667593753657","1.23341360774531","0.3038996564308","-3.77895631669057","-0.53083264004702","-0.963824776438622","-3.93840240365027","-3.14837705427238","-4.30073266658553","-3.01119828685416","2.8675560657602","1.81566546740142","-4.20671940697427","-3.24354108528869","7.05015971543822","0.00999027720907966","3.35972095036209","1.29018139715347","-1.18655194976951","-3.44714635273945","0.0802661326593091","0.743255628736058","5.21262102689343","3.28614380821029","-1.93820691179369","-0.616898144298767","3.56253581875149","-1.12107140712886","-0.851679743536373","-4.2889713040317","-3.57550848690148","-7.01905913459656","-2.16880937301733","0.901180050906408","5.10378219732655","0.997658806821696","-3.03695241817636","5.78555780357701","-2.89368316359998","3.73711868480245","1.08350711092013","3.11785515956905","1.66424256146833","-5.74486639420436","-0.949524516236944","4.33771809384038","-0.23009499634555","6.49857792938164","3.2130709234893","-0.93098142286178","-6.81367133418737","-4.49838697165993","-9.11568085801094","-4.12591218780093","-0.266011205866252","-5.01730108798607","2.54081811440094","0.0465163344863138","-3.09589948700849","0.727985569972103","3.74519378412395","-6.5755013096403","-9.11893355616518","-0.60531647122034","3.44904572207298","-5.75606144676949","-1.10839795166133","5.23838354830085","-5.08297496892252","-2.49248421507314","1.29004901992654","-8.41495983502418","1.69647986000171","-0.459126856363726","-2.44370654819218","3.19531177092355","-5.18343194220161","2.75517873488782","3.02044015197082","0.749576325670524","-0.736410522510471","-7.5412711533093","4.6315206412787","0.0797194556575835","0.984932850150302","-2.7233062907423","-1.72054037545388","6.14846521882864","-1.8782524688691","-9.47689978860762","0.732395021337751"
"Random_EGFR_73_0010","-3.16562237602564","2.32879261614495","5.69282555976283","3.42807422999612","4.86360817353899","1.96545703320357","5.0454805752937","-12.8134003318002","-2.81916857073785","-0.348554144793094","-3.66955692074925","-1.28175873251697","-0.658585021042268","6.91465350387961","-1.40841996458457","3.23702441745438","6.34945933113338","-4.6049768502992","0.169800517134561","1.08063035284027","-4.084952880188","6.93052812624046","-2.08381547742341","0.173898347575625","2.4119297883719","1.04484636793699","0.419208204806444","-3.78287879424709","-0.491000143159337","-1.08892734655696","-3.9005472615885","-3.29686403713229","-4.17462518843846","-2.91253116968115","3.06089632094923","1.51435593289905","-4.08860858928286","-3.32637608281242","7.10651012370713","0.0801793400537006","3.50363960466933","1.30473956821424","-1.40309657908394","-3.5696640825472","0.20402592668209","0.864755554724249","5.14835657473924","3.25197891718864","-2.018417474408","-0.569837447485551","3.57310859175999","-1.45474138516304","-0.960445005917999","-4.52141880872912","-3.65700081004528","-7.13434186113182","-1.97013079768598","0.997041380023596","5.14515506755763","1.18089529286763","-3.23896707482576","5.91669898869275","-2.84095565407654","3.78418500486832","1.02603887511485","3.39002310816207","1.47297671094666","-5.79219430036407","-1.07840287377298","4.48223292746209","-0.204145211655049","6.6985082146017","3.09106684868942","-1.15912903102326","-6.89664417124949","-4.4101028387905","-8.84934498749029","-3.89032912411293","-0.501368657144194","-5.04762423867916","2.61694203508299","0.117652130766708","-2.95463964914135","0.942167830221128","3.94098007171043","-6.68877979484934","-9.32865661275275","-0.934319254416304","3.68536295872252","-5.52091131990204","-1.05864552942822","5.20973471972588","-4.96316803910196","-2.27584198930043","1.5620883171066","-8.44523543419101","1.57585265261601","-0.415758891738163","-2.42555801594398","3.35014141287714","-5.03110262762761","3.03606547372709","3.10051977475521","0.810927989661978","-0.741971923328269","-7.38369393367868","4.85057410768377","0.247720970539137","0.899147048131177","-2.90320900476427","-1.40627149830636","6.41181422266845","-1.93903701618022","-9.48062911232886","0.855511646037754"
