""	"GATA2"	"PGR"
"result.1"	0.0347219615061105	3.4176661500851e-11
"result.2"	0.0262952015952056	7.43483052900729e-11
"result.3"	0.029269770594422	4.19853041222495e-11
"result.4"	0.0218388659376421	6.87996326576013e-11
"result.5"	0.033808899093162	4.40363301379421e-11
"result.6"	0.0357795567912005	5.45290479436744e-11
"result.7"	0.0665971053276424	1.1095124818894e-11
"result.8"	0.0387769252676371	4.49114079259516e-11
"result.9"	0.0320954665543378	7.95292720567886e-11
"result.10"	0.0238446149170704	1.03476560653348e-10
"result.11"	0.0486079754783557	2.67585953395155e-11
"result.12"	0.0207809051965373	1.08266728915396e-10
"result.13"	0.0236122803808425	1.03021813302462e-10
"result.14"	0.0227808965841017	7.80060460670029e-11
"result.15"	0.0246469792193356	7.52540252335621e-11
"result.16"	0.0185323053345201	1.24555254998882e-10
"result.17"	0.0315410169795283	4.71787053868411e-11
"result.18"	0.0448399469459786	3.43740591546293e-11
"result.19"	0.0556033480202298	2.63362665009481e-11
"result.20"	0.0247505462745579	5.45077316616016e-11
"result.21"	0.0370839202827473	4.14392964387389e-11
"result.22"	0.0367880503259168	2.89173129885967e-11
"result.23"	0.0352542123311015	5.04385422317455e-11
"result.24"	0.0273064283185032	7.18265447119393e-11
"result.25"	0.0130350689720669	1.32498900740075e-10
"result.26"	0.0341955934158564	4.03348465738418e-11
"result.27"	0.0167557670340965	8.47613090826371e-11
"result.28"	0.0204749823338437	1.48620227236052e-10
"result.29"	0.0233479539970107	1.42874378994406e-10
"result.30"	0.0414135394696473	3.3483438244275e-11
"result.31"	0.0476792311650129	4.63575844378283e-11
"result.32"	0.0292469147730547	6.48956444138094e-11
"result.33"	0.0173344054960356	1.10071063375017e-10
"result.34"	0.0254242010115748	9.21291931632595e-11
"result.35"	0.0248411730006812	5.5803806020549e-11
"result.36"	0.0209138993613225	1.10839559752662e-10
"result.37"	0.0351122105763495	8.57516280206028e-11
"result.38"	0.0411561380657164	2.74735789673741e-11
"result.39"	0.0309785066302992	4.4628967188487e-11
"result.40"	0.0121840210156927	1.94300575628858e-10
"result.41"	0.0252490019565716	8.59381454887398e-11
"result.42"	0.0327527172162323	5.23301402211018e-11
"result.43"	0.0586013557931022	1.99962268965237e-11
"result.44"	0.021093783420691	1.8198886841958e-10
"result.45"	0.0241010224432363	1.16963994045705e-10
"result.46"	0.0189145535961306	9.72619762507065e-11
"result.47"	0.0187450176644752	1.22400534152689e-10
"result.48"	0.029511645494078	7.88962228881473e-11
"result.49"	0.0446634323211148	3.82358589234855e-11
"result.50"	0.0363814833999241	6.02469185650989e-11
"result.51"	0.0244100314500519	1.02444719374262e-10
"result.52"	0.0744736122158567	1.3020251543594e-11
"result.53"	0.0238886939808769	7.54045714757012e-11
"result.54"	0.0260288758134968	4.19744239366082e-11
"result.55"	0.03835275056395	5.08781905494970e-11
"result.56"	0.0316475727970806	5.5605298143746e-11
"result.57"	0.0202119819438429	6.5856209374715e-11
"result.58"	0.0281223090048106	4.82136552903967e-11
"result.59"	0.026887685111372	7.53901385763811e-11
"result.60"	0.0364094055760584	4.71680472458047e-11
"result.61"	0.0628352949458211	1.82969195350324e-11
"result.62"	0.0263055281110565	5.74054137558733e-11
"result.63"	0.0311079223092783	7.47191197802977e-11
"result.64"	0.0133827595382601	1.42769795985487e-10
"result.65"	0.030823431714645	2.90714119444146e-11
"result.66"	0.0477240848456508	3.83311160589983e-11
"result.67"	0.036681489638545	7.42108596796243e-11
"result.68"	0.0382157879755831	4.64943639144622e-11
"result.69"	0.0229811295886742	5.23152632325719e-11
"result.70"	0.0689516153244623	9.0445428924113e-12
"result.71"	0.018384574999005	1.24216414931766e-10
"result.72"	0.00924548106816059	2.63057575722314e-10
"result.73"	0.0266486565294743	9.1482155184508e-11
"result.74"	0.0450020514312572	2.37017072635126e-11
"result.75"	0.0202088672137224	7.86442022615574e-11
"result.76"	0.0233867022010077	1.04190212013577e-10
"result.77"	0.0494338418849569	2.23696616785674e-11
"result.78"	0.0184252070722195	1.06382458398002e-10
"result.79"	0.0179076757986845	8.42306224768663e-11
"result.80"	0.0181016962572076	7.57263141082376e-11
"result.81"	0.0248093284651927	8.20117307398505e-11
"result.82"	0.017126392179529	2.13639106405594e-10
"result.83"	0.0400694180744252	3.48809869876732e-11
"result.84"	0.0456929668006292	3.2997826693304e-11
"result.85"	0.0314635351964301	6.05775429818323e-11
"result.86"	0.0176419188679917	6.86446455233636e-11
"result.87"	0.0554206768583207	2.18454143663394e-11
"result.88"	0.0234291978156664	6.55104859248468e-11
"result.89"	0.0216697581819802	1.36950006890402e-10
