"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_ERN1_31_0001","-3.00428525209898","2.06884291019134","5.55959121368355","3.03746023244598","4.8934601182631","1.85101917779841","4.97899876306721","-12.7749208198085","-2.99244794905375","-0.26104450550748","-3.72977983697737","-1.09026524172488","-0.582436320913827","6.94651058681688","-1.40457397742111","3.16349858884927","6.25191730558611","-4.85960360832727","0.32871293240142","1.02084214361273","-4.30250413199555","6.85643687277378","-2.0084256489981","0.159830477746765","2.26541944729976","1.29820043576317","0.589496937904051","-3.79019508717636","-0.417388582186733","-0.995862382460159","-4.01724318501123","-3.01399117571445","-3.85731275727497","-3.10382858468075","3.0045719156067","1.79307022211039","-4.34851998494563","-3.25753038209176","6.96633064937788","-0.0540252022007282","3.2692920708861","1.40880933854042","-1.18474441456008","-3.73543057059402","0.118962042829872","0.952900447911529","5.10112035318345","3.24901497331027","-2.02478104954677","-0.689306694071335","3.55975810349674","-1.28545149289651","-0.621019339018863","-4.41484303324592","-3.43620405102598","-7.23029644085367","-2.03801528276487","1.04404044286104","5.03277740199685","1.16748019724668","-3.32287577174643","5.83605763300644","-3.04814321417642","3.65831653916627","1.13969855780394","3.32969449151309","1.65475133022128","-5.73043422324374","-1.05036167457421","4.40960612533108","0.0153538644054656","6.64657295152176","3.104235261377","-1.23657923098873","-6.95425552383623","-4.52474425067113","-9.07522528456565","-4.15034402014447","-0.592179573505239","-5.2769731420476","2.36988537771322","0.199796491784511","-3.21050193172833","0.735450367324978","3.67800758354072","-6.89776587314748","-9.0086365243994","-0.740351974909048","3.4935668423126","-5.61120666976196","-1.21996118435478","5.46055030477391","-4.94886103465886","-2.16873675755527","1.59236046713465","-8.385553989107","1.82982729420572","-0.511981258287769","-2.03725670818157","3.47694039468722","-5.21105694402066","2.94180101903782","2.7587131688136","0.621092645426772","-0.769422650660544","-7.69680542672964","4.62398026168345","0.142927975309644","0.966585071794229","-2.65415937529782","-1.68781999063269","6.18897573703218","-2.08110632677205","-9.88145201028552","0.71975067153723"
"Random_ERN1_31_0002","-3.14317689498382","2.2769011235011","5.78082451874118","3.35702166362531","4.99337595624658","1.95062260365285","5.15952529952807","-12.8552652242034","-2.91493606795683","-0.467109349127937","-3.89443423472956","-1.35750449112797","-0.724071454085007","7.01812145649848","-1.60981840858444","3.03982392910793","6.23296480366159","-4.89996033634799","0.123778474412866","0.906291891198341","-4.31144852176054","6.92619789301289","-2.25554680728057","0.177934637090542","2.42719676775464","1.01874037657647","0.438368350321649","-3.96198914802852","-0.432140811666097","-1.19902631130248","-4.01623607416419","-3.30350913660528","-4.18340984029536","-2.97554993953326","3.04577448812523","1.67720010893659","-4.24238250813939","-3.11606956922684","6.96739144977611","-0.0838673777524456","3.50803948531929","1.19923703897922","-1.46846974581557","-3.85090277921221","0.269424541816058","1.07751643019973","5.18531484415853","3.39594257461457","-1.99366386582137","-0.519142909154481","3.65743307297655","-1.47376142891784","-0.937702195902066","-4.48240321748755","-3.69412956464816","-7.30664534550908","-2.15178588357164","1.10092946413915","5.32592863548302","1.1483690633687","-3.32976050363441","6.03538133585266","-2.91155376437544","3.87099070456173","0.971550255861035","3.29262895658634","1.51378630459241","-6.04279969843395","-1.12308462826249","4.52166221558126","-0.13268575387336","6.61097976136647","3.34700228322454","-1.08530628939771","-6.82367180090708","-4.69225055603141","-8.89571401156683","-4.00243906816746","-0.570581600951687","-5.15812450853111","2.52917348096928","0.0887788124558607","-3.08410941990892","0.936238822133113","3.8331817191139","-6.72176629651767","-9.18144647272374","-1.01171219364711","3.5952933702214","-5.55159631650239","-1.02520894674571","5.44518507017422","-4.82651678346872","-2.10704775599893","1.4791818324296","-8.5454633508988","1.7564895093117","-0.55351583330066","-2.27999701454514","3.43529595615694","-5.17295046792618","2.90637248895","2.978983321892","0.629561933322092","-0.877222468325189","-7.557087309584","4.83310973061292","0.0358836779832522","0.87812368605498","-2.91325483946478","-1.47909268084965","6.36829749615983","-2.06152242785491","-9.74499803935502","0.789876602672021"
"Random_ERN1_31_0003","-3.05916138105476","2.28202660565461","5.7783182150386","3.33573090885299","5.02347095898474","2.01038343663343","5.21894960245428","-13.1102054731677","-2.82823040532375","-0.202195740678223","-3.79995320105919","-1.19759467829643","-0.579935652810335","7.21484400583903","-1.4278437466902","3.22555423792388","6.32718042734427","-4.67470834438784","0.291512152199927","0.933461383769743","-4.38224310628303","7.096460611619","-2.15210011445963","0.135518427863037","2.35604052140101","1.3166030043752","0.46945142799759","-3.83409812203606","-0.437215552857307","-1.03394524835387","-3.88513896657241","-3.07665141069207","-4.00693472723735","-3.00855803274477","3.07497307875084","1.85346201732349","-4.26120536493442","-3.23879365171523","7.22379408357481","0.121441102388048","3.47292983796654","1.38924721528041","-1.25239494461743","-3.62719238715471","0.0790987506767042","1.0461544430273","5.29791200318792","3.41817056423668","-1.88213119432712","-0.6028861953096","3.74050821391675","-1.32485151785498","-0.757246796136454","-4.51199209998822","-3.47757435518113","-7.20296847973442","-2.17503633957361","1.03304924364232","5.37525941794673","1.27259955760369","-3.1951649416263","6.07458784856597","-3.04623241268838","3.80879572384539","1.10954490028783","3.33866176135805","1.71532948932548","-5.77748628701865","-0.965429601196051","4.52359210161523","0.065593213699218","6.73510106070544","3.21810917527766","-1.09947378693297","-6.97201789951857","-4.46067032247847","-8.96705271657853","-4.05127235768446","-0.411514542755422","-5.15047875598458","2.43382962425768","0.264657287231203","-3.29603982485621","0.966078571909733","3.87405684295617","-6.83361751668778","-9.21457540348239","-0.738821483524449","3.73565417461628","-5.51422344667108","-1.15184295229438","5.47631137605597","-5.08863453148355","-2.29938759324334","1.54926319596451","-8.50254856666814","1.81691560744319","-0.34323116873994","-2.22731887884977","3.41755527141213","-5.11827463906953","2.8822305288071","3.00294581541533","0.712724567900079","-0.609482282350693","-7.75350064170936","4.87243307276214","0.193897144041353","1.02050733890487","-2.76224822157088","-1.62206301145035","6.48632504585923","-2.02859418558906","-9.88422461697679","0.863831908654172"
"Random_ERN1_31_0004","-3.24365716604678","2.26488033890463","5.71969154840916","3.36620445851612","5.02088175887468","1.90431619997133","5.20044282062263","-12.9172851019484","-3.07726906743939","-0.493852721253669","-3.89501769752345","-1.41511552334753","-0.799553374238926","6.99492564354683","-1.58275993558099","3.16488655707201","6.39822020112171","-4.80294921992561","-0.0286734977934479","1.03695785467447","-4.33058906301855","7.11311793173003","-2.12721049088538","0.168000153914982","2.50684609863839","1.02273689061544","0.381972512796165","-3.92854103272755","-0.440501723382423","-1.21587483104145","-4.04667768607359","-3.3453222302238","-4.28069940129936","-2.87456558645121","3.17638348518179","1.61094174687447","-4.24907626188757","-3.07398551143997","7.25290380349184","-0.0455447882028835","3.56285015336523","1.22008284363516","-1.35644054918392","-3.73970663708614","0.321769758396001","1.07868047245771","5.38032560161585","3.49198774998083","-2.06443292073028","-0.362367329713123","3.66406879279308","-1.5446525460764","-1.00382089248333","-4.4467375439013","-3.72097192323134","-7.37621421176762","-1.95285748692348","1.2299869532782","5.30172129883848","1.18649817507588","-3.34318836343534","5.95643533263502","-2.8841498657956","3.89000943862458","0.914080853953135","3.35876296364477","1.41423303267638","-6.35063265448891","-1.18259488453863","4.64240722949419","-0.146027399963009","6.80827597995014","3.4133554423366","-1.05535385820271","-6.8512835119856","-4.7929809575314","-8.88857981252677","-3.94842121300325","-0.600401985054125","-5.06115564257804","2.71163219298556","0.138572263384694","-3.05875762925174","1.07464982102234","3.9220303397441","-6.87621140616416","-9.38312225358963","-0.976318161419541","3.62814786982272","-5.4781025601322","-0.885014139273177","5.47757060624042","-4.85338252859207","-2.0951398534606","1.54758053994875","-8.52195709457927","1.79768273325654","-0.623056968976458","-2.40370933737451","3.57573680041214","-5.23311543130865","2.9659646718302","3.0783338777861","0.588473371729777","-0.841902912703545","-7.59812758689364","4.87370450073414","0.188162602573145","0.891295350273261","-2.8637469728298","-1.4104665758445","6.42848613812945","-2.12650470100417","-9.68233002689878","0.868381370784689"
"Random_ERN1_31_0005","-3.06817102561732","2.19029910028934","5.61058212163961","3.17528913511084","4.8533361190885","1.96513940124033","5.11835434332145","-12.7041643607333","-2.89521505005888","-0.30018657381434","-3.79034610590484","-1.23163056294549","-0.595527683794261","6.81726957018652","-1.41690091394074","2.97559170989908","6.06856147191925","-4.77351219995212","0.24819208748945","0.860062056574972","-4.3672713076545","6.77138613306132","-2.15436701112191","0.0594055738118712","2.5407827338584","1.17659960604021","0.357599410472053","-3.84726175043864","-0.57470202535723","-1.08325822910767","-3.95157020912178","-3.16559994393825","-4.19436276925162","-2.90311924457203","3.00050467291012","1.75653785629158","-4.08233751027949","-3.04992761511657","6.78967874358407","-0.0151864538780035","3.35094382665921","1.26314688451612","-1.32947636839161","-3.70307992136416","0.190739613137498","0.881234917769872","5.10021787581667","3.25716201570171","-1.90496665936629","-0.481104987132898","3.63796572163871","-1.29342295609095","-0.779430434652387","-4.31224113937417","-3.42825534120916","-6.91066094754784","-2.1042537503768","1.05673481736188","5.06652427282621","1.15925984319264","-3.12375652243741","5.87085958519875","-2.7484704546911","3.73429110086291","0.989942292826236","3.2081042035906","1.57897349764591","-5.82480461353438","-1.0488961038205","4.32284142004904","-0.173281763453682","6.47308449135277","3.28819311718889","-1.10622882318798","-6.74812619872806","-4.33850277255148","-8.9915854590051","-3.87741503640719","-0.620063443964332","-4.94841748497365","2.46114301763779","0.0544909298642027","-2.91007523800504","0.94527135749338","3.68795103277425","-6.66355531356909","-9.13613241584708","-0.839751192740444","3.47023874156514","-5.74287657992678","-0.983703432890349","5.27797036198025","-4.89646822144755","-2.33062795772844","1.43883796635895","-8.36748452308795","1.78396127989817","-0.451861296724979","-2.34184738505849","3.38621687518954","-5.15960610588429","2.88462473556955","2.94226418195157","0.618173394998101","-0.851604020155941","-7.54039723845755","4.67924513078345","0.172334428832287","1.00821364621377","-2.58691071771946","-1.46800424997713","6.17636407369412","-1.98473658147348","-9.58210948422325","0.743726090542636"
"Random_ERN1_31_0006","-3.03705694189013","2.18952201290288","5.74697045023651","3.2365736135703","4.89923548915351","2.24910007032008","5.5496622170678","-13.2509791038136","-2.5475394468768","-0.337624680285049","-3.89009905638159","-1.36725500975676","-0.619086673575664","6.80921987599472","-1.5502776807769","2.87461719616503","6.29060952413277","-4.73165654883725","0.185211322034687","0.755210607334811","-4.31941903436222","6.81158630570624","-2.23922959811564","-0.109864720711207","2.5232259050397","1.04066637409147","0.254996935390858","-4.03473872440845","-0.708353920410954","-1.19712859663414","-3.80820256785814","-3.20893655882347","-4.3330876079521","-2.85317459915232","3.13004471313257","1.78380197553793","-4.04940517709567","-2.83941781780918","6.96173393341396","0.14456670422924","3.49057130757184","1.25401904071854","-1.53089888629858","-3.60687172899348","0.251600829101151","1.14610472119621","5.14249172696579","3.41910669656111","-1.76164902910019","-0.42705270754294","3.48399662965728","-1.52541812597126","-0.849001464442119","-4.58537146791207","-3.76055935436771","-7.1532311079334","-2.18106050813279","1.05690978388647","5.33034987538205","1.32750724601524","-3.12156299931224","6.0644677424632","-2.74820751962302","3.79001205807067","0.988761375128236","3.40996657179686","1.59660447980001","-5.96209062564499","-1.23234528806819","4.33153515352261","-0.126325925255239","6.59140725669492","3.29711198146245","-1.04262155488734","-6.58150575532446","-4.5607277813494","-8.93962193034406","-3.90123618985347","-0.317754123694136","-5.08841562785974","2.49737213281082","0.186336303652665","-2.95827005023985","0.932742667995833","3.74210779678183","-6.69665142064597","-9.35789818486431","-0.863922687011454","3.68634109564841","-5.64638615091804","-1.0108984965253","5.28245970496818","-4.91683201085595","-2.24492481548762","1.29960499620623","-8.4823726051199","1.55759040343863","-0.31908855252208","-2.54480725761695","3.36170506516254","-5.01677317394288","2.94569186499921","2.91507791385117","0.766963727401405","-0.589037182489694","-7.5899255112029","4.86721882150236","0.272459720787082","0.907243309711077","-2.9371111980947","-1.54994843970157","6.5003859119119","-1.73816119582983","-9.82516150903951","0.953380596484873"
"Random_ERN1_31_0007","-3.05575483666817","1.99752416536088","5.41432518966724","2.96419803933671","4.70354080999879","2.24745520923799","5.25468899917354","-13.2296716204315","-2.6353224541133","-0.201246809737819","-3.71429035102285","-1.25667419980829","-0.481588416136891","6.65021497742031","-1.41075268321889","2.94720990791439","6.26178496127256","-4.64236628194484","0.311804717685129","0.773175016714844","-4.54337246423239","6.64623328680524","-1.96577210289502","-0.160017941740257","2.10633283048672","1.28302558474852","0.281705382284687","-3.72641297720322","-0.729037203308493","-0.998612143832688","-3.60916529098701","-3.01179938481738","-4.17435860146247","-3.10103693608341","3.16752296332294","1.63333333026488","-4.02751291196592","-3.05814069457168","6.95850066086186","0.291767775386187","3.12660958857925","1.40156827811957","-1.21742189100965","-3.35935114401325","-0.00974674090770542","1.26470949749741","4.88203628431891","3.16926546832195","-1.67319016139608","-0.707973090140578","3.23885037289544","-1.3288637269922","-0.670434948269609","-4.70066478812225","-3.43407609721335","-7.07038100862453","-2.37745746895851","1.2461897466652","4.98614795583784","1.13738487985836","-2.93401039340168","5.73467801040546","-2.80058059226795","3.46564382407544","1.04547843007626","3.49115921826773","1.47122268049841","-5.66901510839421","-1.00290444212756","4.26203496737518","-0.182608804268213","6.48665232865696","3.04721597100501","-0.964721526841451","-6.68967272284371","-4.32460814391854","-8.96111902262289","-4.08008795833883","-0.210339463137251","-5.17056558656353","2.24119905066072","0.326231141891282","-2.92799164140916","0.674523913763149","3.55171325558595","-6.6489861285773","-9.28254534979781","-0.749770255497717","3.42604972048486","-5.56938322589677","-1.39562109066252","5.23610160756656","-5.02480751714987","-2.32644489004386","1.0945421803432","-8.24553231814335","1.42018894650882","-0.276924471733501","-2.44539278896437","3.42786177298015","-4.91284134011182","2.97107984284865","2.64341606635978","0.953343169662414","-0.359076389585365","-7.97654157661952","4.6912357502246","0.296873592198701","0.567356029041925","-2.74833875824382","-1.76696986599272","6.17930722361829","-1.82418223120133","-9.69252753393444","1.0270067849492"
"Random_ERN1_31_0008","-3.19234812784431","2.13234532204033","5.58600192960611","3.0442670896313","4.79374261334133","2.15894456324766","5.31650768785443","-12.9083004336591","-2.64143826091926","-0.288696130061873","-3.68410468873403","-1.22299981876597","-0.515537109238438","6.84627559917057","-1.41505739249445","3.00930980948897","6.36576690454131","-4.64557633278334","0.246535589228554","0.803252387339415","-4.34504708407193","6.77182760319678","-2.14788032864214","-0.040717822395004","2.26942064334102","1.16620702805529","0.347959505884763","-3.77596423323929","-0.657949074567638","-0.916398287096888","-3.78928994438498","-3.08237595957872","-4.03227815854252","-2.99975912773055","3.11582953157959","1.64698578630946","-4.16235781855761","-3.00084388110457","6.9289953278985","0.124904402142953","3.37386910084222","1.35931135390478","-1.2941238680996","-3.58708049865636","0.0189150260619502","1.07083457446306","5.0768455060152","3.25895372751494","-1.91101248045748","-0.646242291637729","3.44436672861807","-1.27196194499144","-0.75227427340318","-4.6155705824149","-3.63855300290763","-7.13634271926706","-2.15185696186344","1.12438843507575","5.11853897955131","1.35565800608683","-3.13769531162977","5.88044195792723","-2.77787090953947","3.69593237541814","1.06515229958753","3.49374980406855","1.6643681717193","-5.75391777491277","-1.08767982991622","4.346876395177","-0.101277419623957","6.57770498127158","3.22932748470825","-1.04160087348529","-6.8121189135512","-4.46742964884738","-9.10214133516375","-3.97685214573256","-0.353085692191699","-5.14431479825575","2.39109405525718","0.212192140372687","-2.98129219832321","0.762968191017078","3.66679263374143","-6.67543774336729","-9.16509895398201","-0.79936312302321","3.53769462578573","-5.6065945497739","-1.24048861176229","5.32036272242798","-4.91829309932431","-2.40278576330344","1.23995999746806","-8.59146588236501","1.60055859538483","-0.261451335019659","-2.34422757380256","3.42920302188944","-5.00836364745117","2.92884100978017","2.80519106653482","0.780720861370667","-0.641886619132508","-7.57643835111762","4.71143482876354","0.262543609871311","0.771274184736958","-2.86537676126261","-1.65246655629672","6.31211582669167","-1.79017683938718","-9.6417553272725","0.82327566635947"
"Random_ERN1_31_0009","-3.08582634698572","2.08960721893767","5.49359397751975","3.1766751533623","4.98873908483567","2.04369232224354","5.17835050456556","-12.9380712578228","-2.83509656935644","-0.412485932900107","-3.70441799239498","-1.24924706890397","-0.560491820137775","6.91521463186229","-1.36256127383208","2.95981869047319","6.34714491346873","-4.65128091595407","0.229222887619774","0.813600542403957","-4.53941016375107","6.87675235895335","-2.06376602969429","0.00263493423952623","2.33654061400385","1.07161064866515","0.317161388753055","-3.87515262794686","-0.589439231812863","-0.932534781515914","-3.89298220408994","-3.26793718069578","-4.17996511666392","-3.01690675306496","3.03763793325795","1.82721254627346","-4.30471650736614","-3.18979491952472","6.94853172657669","0.00468260355499434","3.32714004616344","1.31448857742648","-1.30857633568744","-3.61648209591731","0.0818415862849201","0.996311578337312","5.16870224411095","3.3250230083604","-1.93920761870894","-0.583455061491731","3.58686505339167","-1.3503344631157","-0.781611433304046","-4.36743382311402","-3.64393010615357","-7.09898666810083","-2.09917615826754","0.992298822240108","5.13987703935019","1.13167378637636","-3.17017704224753","5.91995110865124","-2.88598556412645","3.73798131693902","1.05711858646443","3.32602154875101","1.58411390933338","-5.86911213603636","-1.04164891295761","4.31889763165591","-0.0640193704013539","6.61314013031995","3.28128712762556","-1.22089361703626","-6.73072104715919","-4.57356413974172","-9.34048232712405","-3.95365879755875","-0.39849455883261","-5.18658201403879","2.58230335931843","0.169085425545368","-3.04638084958841","0.65184514137862","3.6672725731398","-6.67048003138372","-9.06978298477811","-0.817310774527108","3.53475208506535","-5.77452566491874","-1.11911425130389","5.27393169515053","-5.05560799883883","-2.29877608439809","1.39022510635375","-8.53616175985467","1.72125246035807","-0.409956928518542","-2.29695082645363","3.33683831545143","-5.10331261718959","2.89134190770395","2.96042405005703","0.689574066284321","-0.896869142925194","-7.57514223983627","4.74213775104321","0.270753485263997","0.832551215240936","-2.70395842917075","-1.73871495472068","6.36684786402981","-1.9858018827631","-9.73355138031856","0.778326140162003"
"Random_ERN1_31_0010","-3.16766558052802","2.21290760773634","5.57063203789585","3.22102382444168","4.76235049338312","2.02436676482333","5.06288436244761","-13.0153061338631","-2.7931817133183","-0.322676541816449","-3.78034134424344","-1.14902538492132","-0.729869761844394","6.78627360084156","-1.44900293711692","2.95413295039094","6.3319681824997","-4.62348462326349","0.228205685533362","0.755224132843315","-4.48493243324002","6.88411755284812","-2.18623439380622","-0.0216971554212756","2.41666461012309","1.12809652349793","0.29071303443325","-3.79113042102754","-0.673346790607054","-1.00914132181259","-3.89308866557321","-3.15472225447926","-4.10762369938523","-3.1164741052147","3.06570620573977","1.77619241108198","-4.24306462232783","-3.17903953738704","6.96364040272108","0.0630489287700569","3.30221267664983","1.28990454404409","-1.23330088453652","-3.45459984348451","0.197282584186522","0.983028383098627","5.05376651915126","3.42363099048783","-1.86769970228275","-0.502785563998411","3.4838545385208","-1.354427954192","-0.86750753670089","-4.52346255562577","-3.77216363000109","-7.05164017225725","-2.14987303452208","1.13853518514653","5.12200682829672","0.980342328517832","-3.06803899443057","5.86178501819985","-2.83953619996893","3.66112043840544","0.97877989442989","3.38207288316916","1.53960017647374","-5.7234345821792","-1.05596544804907","4.36229653714103","-0.293457060606944","6.64115130661045","3.27263370711025","-0.954853842504908","-6.87090258326714","-4.53875647139508","-8.86983116307812","-3.9473434321612","-0.408295785365981","-5.13146360217666","2.51362231155031","0.115749115875585","-3.23015723597246","0.906547856912358","3.69858094898164","-6.63772179639876","-9.19797533406396","-0.785983921355709","3.54469653078069","-5.6499010514597","-1.01756547806294","5.24359228316274","-5.02000815347227","-2.16784691292988","1.33210254471561","-8.46191504561511","1.56789619333319","-0.400705863071934","-2.42066348420075","3.41365445759217","-5.08292366678316","2.88042262821114","2.94539668901441","0.726255180918126","-0.689918918180026","-7.53668637177571","4.79634431377491","0.169058175812416","0.755284260356337","-2.73471422095552","-1.65135229695737","6.349583844407","-1.95289170342875","-9.5682423280675","0.831135682996214"
