""	"GATA2"	"PGR"
"result.1"	0.0301271170554289	7.93085597194931e-11
"result.2"	0.0189956873893236	1.44134482127356e-10
"result.3"	0.0284321686011912	8.97961704993122e-11
"result.4"	0.0156893379100449	1.5891710170024e-10
"result.5"	0.0258019626102945	9.42785849389338e-11
"result.6"	0.0251166040240067	6.68036737039301e-11
"result.7"	0.0393255552436098	2.34261499088007e-11
"result.8"	0.0310241973465437	4.86886087003313e-11
"result.9"	0.0300851621500275	6.82218725955863e-11
"result.10"	0.0249503664439532	7.25048909799852e-11
"result.11"	0.0247805312983336	1.10672804254364e-10
"result.12"	0.0351657424296874	4.95776752984511e-11
"result.13"	0.025219734204827	6.39024388959797e-11
"result.14"	0.0294612839747643	6.24478246891158e-11
"result.15"	0.0294737111225885	8.20497003672926e-11
"result.16"	0.0279219953984755	6.36077857052442e-11
"result.17"	0.0349272889804917	5.79996051186527e-11
"result.18"	0.0257484967414796	7.01956270887649e-11
"result.19"	0.0288781097528541	6.94166946146879e-11
"result.20"	0.0215764463047941	1.10979003764555e-10
"result.21"	0.0176863323924057	1.65632174642383e-10
"result.22"	0.0250895242051141	8.67070859555952e-11
"result.23"	0.0296609423415024	7.28290761031758e-11
"result.24"	0.0256021183484061	9.06772434916547e-11
"result.25"	0.024216675300019	9.13118469725305e-11
"result.26"	0.0266722747432042	5.69848612741453e-11
"result.27"	0.0287944521603196	4.4312109537259e-11
"result.28"	0.0265382169534243	9.67257385298126e-11
"result.29"	0.020427477736412	9.55906465094358e-11
"result.30"	0.0410420665045712	3.57283092000671e-11
"result.31"	0.0249456475633658	1.16329834654039e-10
"result.32"	0.024333002372289	9.36482003055517e-11
"result.33"	0.029678097012126	6.36004582332816e-11
"result.34"	0.0314655074082477	7.03983538130615e-11
"result.35"	0.031276145890226	4.78117545554824e-11
"result.36"	0.0298717823976571	7.14464043483076e-11
"result.37"	0.0403978667579217	3.40649730645737e-11
"result.38"	0.0270281254302316	6.0616844876904e-11
"result.39"	0.0240522013691031	8.01723132326515e-11
"result.40"	0.0211717988131865	1.30630173345025e-10
"result.41"	0.043878495323405	3.60020901979397e-11
"result.42"	0.0283853753854364	6.34885477523994e-11
"result.43"	0.0454895771607113	2.41169306747224e-11
"result.44"	0.0352734177195966	5.64694957461143e-11
"result.45"	0.0324184154996656	4.15778522722121e-11
"result.46"	0.0295774973076104	6.71940281193883e-11
"result.47"	0.0332328974138478	4.54258852755629e-11
"result.48"	0.023273293726692	1.06913589092983e-10
"result.49"	0.0195792951811962	1.15655707233486e-10
"result.50"	0.0251016873621146	1.05900177516105e-10
"result.51"	0.0516131764665833	2.55084842137876e-11
"result.52"	0.0298272385922789	7.09452496749918e-11
"result.53"	0.0235612136750987	1.18075105248749e-10
"result.54"	0.0195881494227288	1.25149446361661e-10
"result.55"	0.0269978035780138	7.2822636809633e-11
"result.56"	0.0243264035811197	1.22003296354478e-10
"result.57"	0.0272547317542808	7.61377627611637e-11
"result.58"	0.0423968341230165	3.84690057586567e-11
"result.59"	0.0390765775627908	3.99020816388429e-11
"result.60"	0.0271975021538466	6.55562271134613e-11
"result.61"	0.0280464257749671	7.59372564829164e-11
"result.62"	0.033851688835193	2.72508682286343e-11
"result.63"	0.0357133569093553	4.33977298541777e-11
