"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_FOXO3_62_0001","-3.074880101392","2.14333470461869","5.65440977878232","3.23885641640832","4.61578831497311","2.11866037730583","5.22913079588387","-12.9978749890046","-2.95917039666731","-0.250973540055617","-3.6433425811681","-1.02365146976414","-0.639996556505008","6.89119589787204","-1.35453184017943","3.06653712376937","6.18524307607166","-4.72155038603351","0.336763055305297","0.667192334022415","-4.50021686796001","6.83082834979761","-1.86008620303342","-0.056915724930097","2.1694455528241","1.39614473561799","0.480268510196804","-3.77380553358917","-0.506365120385952","-0.914451286813659","-3.93225878034196","-2.9297174453994","-4.02074466724682","-3.19822703572498","2.95530642430996","1.89405364940893","-4.34707930156717","-2.89181749028875","7.10838864228082","0.257404806570157","3.27531731740372","1.41619520921767","-1.04469303684264","-3.41151263636353","0.0600709629160199","1.17606272630365","4.98818381837941","3.54910937709666","-1.78287662461548","-0.780282748096817","3.36358686899057","-1.22721632932825","-0.610641863889203","-4.3727900670205","-3.56689482420841","-7.34950921511699","-2.43470007760147","0.986051835416908","5.16629512151224","1.19890851848114","-3.12026455182781","5.77318585692482","-2.89845135586217","3.53025365362483","1.22225257335439","3.27212685907025","1.5436549992009","-5.95927627802518","-1.03379945031678","4.27195072096665","-0.173596914593818","6.66195953814098","3.16871097174245","-1.03964551577681","-6.82346976460542","-4.42963274089066","-9.0104483590492","-4.45220516218466","-0.504563310772906","-5.20918010588455","2.39253487964277","0.330174611569288","-3.17673062377216","0.836039558234373","3.72590512836458","-6.67084254725172","-9.07553816791851","-0.655972578418806","3.34412219813012","-5.53456147513177","-1.19855127337159","5.25556558730812","-5.08819719490781","-2.27708299196369","1.25596797500877","-8.45173239099666","1.52444923508539","-0.457192837604366","-2.30964907356543","3.32875130182079","-5.18912917226458","2.92606757619637","2.80145890959978","0.935270246022491","-0.521629621832009","-7.77449644307525","4.77063366626855","0.295315573357328","0.548229285685267","-2.53776429080778","-1.87731278622123","6.3748744655586","-2.02203319178943","-9.75515847076924","0.892150069804934"
"Random_FOXO3_62_0002","-3.19915045878506","1.95669422169506","5.40883265770947","3.13511914235322","4.77054979945127","2.11563464163447","5.20548315483352","-12.9513651379386","-2.74857841791096","-0.263666991508567","-3.65015268601258","-1.25719358166338","-0.624753090699543","6.77673174353697","-1.38379788030651","2.92575981219338","6.53401283421752","-4.53648481170469","0.207936023173158","0.797454657344103","-4.50086950593302","6.78934470713551","-1.91426320797783","-0.13534785964807","2.43360467587918","1.28411426218244","0.320433520429613","-3.73796212411583","-0.396948953766502","-1.05560509320787","-3.88125948618424","-3.13241514490276","-4.2273217064301","-3.18047008315506","3.22073738443185","1.70421183453094","-4.02337023404195","-3.08205210593829","7.00255616330239","0.0222152289672563","3.15383014340803","1.43007856316388","-1.19315882940295","-3.6391799862734","0.225716687466745","1.14439654463163","5.01019249974351","3.30153742541897","-1.86366646424336","-0.594533309926929","3.33819961768253","-1.37210884803166","-0.669117286336423","-4.45510776205636","-3.66013012601369","-7.32238577718336","-2.06851127983921","1.30368348600475","4.96065003173895","1.03667943466302","-3.14020311986678","5.81483527712173","-2.74024280548319","3.64410361439437","1.02021948938819","3.55928838697024","1.53422463669723","-5.59949627505684","-0.951674857330718","4.34322065352394","-0.187127564577044","6.62041371743668","3.16232216899456","-1.02758041991178","-6.74113574261492","-4.5690511740602","-8.98631093189236","-4.05601520224467","-0.299387263937258","-5.10185234496977","2.51474973882904","0.337250224914727","-2.8868524361122","0.836408062716033","3.65528636833858","-6.70089877893937","-9.07854517853584","-0.83234646245069","3.46900088396447","-5.44250643004906","-1.15241341909752","5.22273020652192","-5.02790467206359","-2.13898500241539","1.28704385641733","-8.35445842966151","1.53429644263933","-0.419743724592616","-2.4371035774497","3.57384662828905","-5.04260135341286","2.97488719034667","2.7314123810438","0.784294395789248","-0.425347132350157","-7.60263345445205","4.75374017032922","0.373161197564496","0.657599175080967","-2.49795173759723","-1.70166903614045","6.25878329666245","-2.01755603685104","-9.59006167473544","1.06143535480073"
"Random_FOXO3_62_0003","-3.06724781104028","2.19902608779473","5.85932510847715","3.24346080549859","5.14389861406026","1.76377123622374","5.0870065340144","-12.9433248966365","-2.88407028838143","-0.358292079325421","-3.78126942804441","-1.13655946645956","-0.630581143432836","6.92143824594892","-1.41301435413529","3.12370840930543","6.18588275295816","-4.82752132354745","0.262953924620207","1.05520827870527","-3.97952759528395","6.79932150271299","-2.11594245347311","0.325629346790834","2.4671237897829","1.17830250002147","0.70056045199651","-3.90687649498789","-0.312090760300219","-1.14668674584019","-4.12361129000714","-3.24157174790628","-3.96295306008935","-2.95679847071549","2.86444873685308","1.8387289009905","-4.25881440235134","-3.06847682677796","6.85235315291674","-0.129796698146025","3.35064199832192","1.20129772956436","-1.31178971165767","-3.61902761516938","0.217542764262373","0.901299369159389","5.28608153821721","3.33081082428579","-2.10731899586776","-0.550926789904794","3.70500912930211","-1.36798470138304","-0.743804928096123","-4.15691478639483","-3.49224632968678","-6.95067257382267","-1.91171627181714","0.91865634648823","5.13435495377249","1.41479696874065","-3.42519404239242","5.99627918471697","-3.15991902964125","3.68290973884989","0.884826682811149","3.15632682625983","1.58012901057887","-5.88724188065586","-1.10739945882833","4.53320193916879","0.0895351183348526","6.47917697036881","3.32737926562925","-1.27254786858662","-6.78799827248576","-4.40473847627696","-8.99828277967222","-3.90764620166778","-0.428611129079155","-5.03039892452653","2.37600187219929","-0.000460912360658696","-3.26323368730139","0.946502236988519","3.63695476385976","-6.66369069619036","-8.94843673626589","-0.813552721987162","3.62253839372888","-5.61074947792013","-1.13198440769483","5.41808000206987","-4.84778036607979","-2.1495403021878","1.6843913456042","-8.45471798529419","2.01435681988391","-0.534830382813418","-2.1571104397611","3.33290699956899","-5.32833536758201","2.87603576143497","2.90664897227832","0.48447938998283","-0.897546963474677","-7.24308371974874","4.58628773380172","0.0227240355526298","0.992131968531237","-2.64534476627009","-1.5278158889462","6.22645897425756","-1.84600801407633","-9.83393943290375","0.53819617541697"
"Random_FOXO3_62_0004","-3.12379506888317","2.07453031439718","5.5645407375733","3.15972420893651","4.7410265980237","2.1549057058873","5.04661395682673","-13.0774955412789","-2.81804799027991","-0.18654492077423","-3.67058665064869","-1.17987585641156","-0.620290616582174","7.00463496101967","-1.43190310070976","2.94574893251471","6.53183598411234","-4.54091558195644","0.261524229555035","0.789836496030386","-4.60519604539003","6.9260511034045","-1.86923265069909","-0.0724222540643047","2.30892656538626","1.22622149413518","0.235722724040005","-3.57512565659864","-0.541183751132664","-0.976150051940686","-3.72580730613425","-3.06511856762686","-3.98956551686673","-3.18491114794409","3.3671519166336","1.71790581527654","-4.31565224247511","-3.23087865433902","7.08545157526537","0.187934333154265","3.23925071182318","1.47457214220872","-1.09993560307878","-3.63827867565033","0.0603459945075046","1.1114750573931","5.01298772942383","3.43387368897752","-1.84536911189049","-0.493744712215263","3.49583742304074","-1.34937557840809","-0.699188459907234","-4.36839550880092","-3.78658889777031","-7.36648314500548","-2.17510290823382","1.43652871530262","5.03068667204645","0.948831079581606","-3.00304564028047","5.90318250689447","-2.84348577332305","3.64541892620603","1.14255622326655","3.80383820445057","1.52772133835106","-5.78982132496605","-0.945479096739035","4.37197900507612","-0.130964253798715","6.84625402586555","3.150876424883","-1.05555804240045","-6.94436846169663","-4.64172236662223","-9.1279974121733","-4.02401998608051","-0.46678186236883","-5.28370216872751","2.54681121198319","0.32067131538074","-3.10932612311059","0.892696958765041","3.81401006899492","-6.75251848009572","-9.20451946827879","-0.804975679788025","3.49885904012597","-5.44356177945622","-1.13063661886109","5.40704079111859","-5.02012691380195","-2.3166313014682","1.39356987702391","-8.53367765913277","1.56193733502324","-0.379343088627597","-2.4444970139904","3.73308846570301","-5.07814099287379","3.2819456615143","2.88591979989906","0.847668836343382","-0.629162162509908","-7.73351002104728","4.79237787499425","0.308985087428209","0.765493855376296","-2.60013107113432","-1.66954164508169","6.49590425536409","-2.13249909243879","-9.56553659973331","1.11371933012043"
"Random_FOXO3_62_0005","-3.13427208232883","2.21460352580331","5.69862012132429","3.35038193768966","5.00490321507929","1.95688872519937","5.01504543884609","-12.8502849336314","-2.87138569449747","-0.305100701824642","-3.69198373712537","-1.24382083380029","-0.635324688945791","6.89514401440515","-1.42787332345956","2.9697971818154","6.31167215654509","-4.57853716650683","0.116079817850592","0.736515873334704","-4.33522547621891","6.85638843535202","-2.12900427619821","0.0837398485767142","2.54320138021999","0.953234776385198","0.134423879909771","-3.85080091873607","-0.52695576246614","-1.040411376899","-3.99113381602085","-3.17785137296261","-4.39438430332105","-3.03391870688101","3.06240154518648","1.57643517623811","-4.18832979106893","-3.15915327302446","6.96484513320104","-0.124438979552521","3.33396904171021","1.24006449785556","-1.36177937193811","-3.65800848326976","0.188805660376118","0.928791044013329","5.23453062924687","3.46731002358695","-1.90437982908832","-0.488813495732832","3.66088334998691","-1.5161341118781","-0.84259032469578","-4.34734586883393","-3.68659084942587","-6.94958184568993","-2.08291051802188","1.04561451196152","5.21863754486748","1.02160224756433","-3.07440902045625","5.88692822645994","-2.86714325082249","3.74315748714757","0.917551891593392","3.30458034974506","1.39592167416509","-5.83842110215268","-1.01100091174563","4.35974689418288","-0.242531967109802","6.58967724461948","3.24163828698405","-1.27503260573415","-6.78450588053929","-4.42038215529049","-9.08189457344024","-3.89341782734927","-0.445984936845474","-4.97349616528561","2.58483052995863","0.179263265099459","-3.03924801274598","0.819097543221483","3.76830065405542","-6.60119439778139","-9.24938364800542","-0.928785777750595","3.57779660963369","-5.73934287570599","-0.899126923282641","5.25357619811281","-4.89011183239195","-2.21049724861603","1.35457199768691","-8.36938641798769","1.65374600784684","-0.452731395005244","-2.5204902519906","3.3840416487126","-5.04029388955828","2.90479321120123","3.02373086516279","0.582177604901646","-0.869918760149654","-7.43990835422274","4.84502718476963","0.275292396994635","0.937644321244404","-2.78794224921299","-1.54876654273014","6.51291575381045","-1.88893326050585","-9.6895101098971","0.79306642120595"
"Random_FOXO3_62_0006","-3.26349179085135","2.21385026843667","5.78323221938198","3.23186675649376","4.91625328689744","1.98505810131363","5.11372713205429","-12.9512684340733","-2.88808771986491","-0.37075362827492","-3.89644819145778","-1.26928644955749","-0.678129166429864","6.93538618569645","-1.32430979968555","3.08313510840682","6.17183626173032","-4.82150130786873","0.169451559751682","0.948145928203496","-4.25293359016716","6.87446515995759","-1.98759552066441","0.143372658019544","2.4588120374728","1.07922853483736","0.387484917628937","-3.85131357095057","-0.478308662215692","-1.13350057595046","-4.0076471298502","-3.2598913793265","-3.98547219441897","-3.02744117687001","3.35510631828833","1.55169272467581","-4.21685005029341","-3.06283441160919","6.96948407197956","-0.00731748011820126","3.33378599492352","1.32930089283967","-1.22564464152174","-3.69233139745098","0.178148232897366","0.873248259850872","5.17526950939033","3.26326487830748","-1.83023678172239","-0.515954906615717","3.63900341451085","-1.47911221730325","-0.793357365442587","-4.44950383792073","-3.65416764866903","-7.10846772397926","-2.02965857480855","1.39041001021878","5.10401744827151","1.20595648798929","-3.34024917615781","5.92993009412643","-2.96643404043313","3.78633623737585","1.07103602786958","3.31197450846025","1.48824645718035","-5.80712513439225","-1.14228776413171","4.52716227342397","-0.0973462024552677","6.53630952002588","3.20919858091126","-1.17688076901278","-6.81138006899004","-4.45880801594577","-8.95440940255809","-3.91758429037122","-0.503166535844725","-5.16440185960029","2.45188887480765","0.34408742217051","-3.12716469236237","0.935595889996344","3.7536868106951","-6.6880870339039","-9.46514271959836","-0.836075391944764","3.60417316017593","-5.58056335659881","-1.01643973807779","5.36968974339299","-4.85197897244128","-2.22456562393947","1.60562504279465","-8.42668193017459","1.81208537336016","-0.414155802003249","-2.12811302023978","3.72843612014156","-5.15644453724829","3.08802389450555","2.96618301509226","0.676791110790274","-0.762241566986129","-7.42844695405916","4.67446158332712","0.334594073615671","0.964726754060739","-2.84490644396607","-1.61559939888233","6.37446212855693","-2.07308799816396","-9.72388443785892","0.93352637045168"
"Random_FOXO3_62_0007","-3.27764834645135","2.33216509242534","5.77644959527848","3.32420016760585","5.03309963229785","1.98774686003586","4.96306111672455","-13.1053594806168","-2.90564350673859","-0.392288969847445","-3.80592677728081","-1.34783863718442","-0.736490343249434","7.00962980964646","-1.3695453179152","3.0737283584737","6.62465765430908","-4.80803781131542","0.163406174206999","0.957819780239014","-4.51233237936002","7.16200242469025","-2.06415433679408","0.25399419154499","2.43444444766434","0.980007467438983","0.334571606075166","-3.82936646127477","-0.607849548640311","-1.10014672324201","-3.93526105745008","-3.35015740681726","-4.1096704834504","-2.96443989127882","3.20784537404435","1.658199746589","-4.23535851248549","-3.25904744906417","7.25371941589134","-0.190279997161282","3.53302948873593","1.22739852441452","-1.29896773747217","-3.6785319000999","0.224744598291393","1.13388426155209","5.45139447937175","3.4714669118714","-2.33254258820157","-0.308781590001061","3.62640678607557","-1.42583251697182","-0.899501827756961","-4.29770222899424","-3.92024540643526","-7.33705804602157","-2.10163910817165","1.30683056033285","5.18986806726282","1.00126287451419","-3.24888920814927","6.06429801271035","-2.93589484009759","3.94908352974878","0.868717841654247","3.63262605954072","1.33952538971873","-5.94073848059664","-1.07658514738093","4.76353725777374","-0.0897538473787756","6.8612663526668","3.53181555056053","-1.36375321474262","-6.73672173100374","-4.62443804748028","-9.10174447983994","-3.93315615151808","-0.558615491579595","-5.27523571793448","2.7900229756124","0.272213092338462","-2.9822157139642","0.926520970569962","3.92532494997152","-6.67597220870658","-9.33219995168726","-0.962623423915382","3.59831650525256","-5.74216853517077","-1.07320050691997","5.59051584043356","-4.99574838158581","-2.11110687777118","1.48122821991089","-8.6819849280456","1.93720912893197","-0.561636313315021","-2.45287467494426","3.645154831588","-5.24538935513477","3.21941553995898","3.12817973148302","0.64216532018198","-0.990725104376883","-7.58693025473565","4.95868893473157","0.0685561161934964","0.815357407660351","-2.79222871603226","-1.48229623130393","6.62052860487765","-2.134288386983","-9.66832863125145","0.545593161638211"
"Random_FOXO3_62_0008","-3.29985124058652","2.13128596912625","5.59617006283843","2.98461435479492","4.72797739520508","2.16380064963635","5.47205373571652","-12.960061363515","-2.65419022675288","-0.251408095772938","-3.84505201223852","-1.28760877550172","-0.736543257383829","6.75590873208388","-1.53086573591777","2.9530480202196","6.31863429424848","-4.64588243186048","0.22001337478914","0.797593745689723","-4.21381952303354","6.64595353630252","-2.18774389821567","0.120564396155237","2.36624702423007","1.22533106958062","0.559002019345724","-3.87948119648499","-0.512633140975547","-1.00416867902818","-3.69981769606831","-3.12728604447469","-3.85186206143919","-2.98605853048296","3.13674421176","1.60847709223572","-4.1584844571104","-3.0227204672089","6.71510188992161","0.0697801312201024","3.18773416855118","1.31345507244257","-1.24625859752961","-3.5874608647676","-0.0348668986447296","1.17822394698075","5.04275339038597","3.34091119573678","-1.68615397935673","-0.55229046167782","3.4415621966436","-1.44534836481344","-0.722894843188473","-4.44758696870339","-3.6336616981363","-7.09815152896943","-1.84374607392727","1.10084695172439","5.22269342526616","1.35532355344724","-3.13196641397888","5.99423888475092","-2.77073126485661","3.52386905984424","1.08135130678003","3.48200837529765","1.64344121536061","-5.85320553339111","-1.22894685417403","4.23168214882321","-0.0269954348198307","6.41903075516708","3.21654528759431","-0.992792397122358","-6.75990075076995","-4.56134263812644","-8.97311759037824","-3.78845260733285","-0.364755407102692","-5.11828220175041","2.34240754586008","0.105448986019566","-2.9600828535756","0.81336146278106","3.54074408317429","-6.5765879765907","-9.03970001801433","-0.72742467561585","3.52363679886323","-5.55479791240043","-1.1606268693748","5.32901261357883","-4.8879699874747","-2.32109255733992","1.22633557132367","-8.52844976019583","1.53121858091833","-0.323931155551857","-2.08852012721036","3.36070298758354","-4.96410200167859","2.84534773704082","2.70814418314387","0.794689434130064","-0.661873750732394","-7.64404896998267","4.72141980035939","0.146108779483783","0.975443136968948","-2.72649108967575","-1.58013296848986","6.26395814442358","-1.99316408796688","-9.64591790190805","0.796055461692866"
"Random_FOXO3_62_0009","-2.885850722357","2.02508455863124","5.52573087817469","3.0151575391517","4.85677345056784","2.00888248459389","5.15069326971309","-12.8281684967745","-2.89640589630277","-0.146710616803585","-3.70275516285973","-1.06820818382788","-0.430223792486674","6.73655838201281","-1.35374797910363","3.19583906640502","6.01495888028599","-4.66230692307418","0.358721251659684","0.964130972844165","-4.39849330262168","6.65178579350792","-2.04829121796558","0.185586097570892","2.31995550173306","1.37055537464914","0.412343846574437","-3.7581393851216","-0.399118725279357","-0.958084726344881","-3.90909110305489","-3.17604998620401","-4.09004234692543","-3.0870111087567","2.84529643077789","1.79559331243191","-4.21598826517554","-3.34004536204248","6.74698443576462","0.0308837256264128","3.11201360596615","1.42312098179926","-1.16640843504896","-3.65611312017266","0.00543252527880711","0.877267629906956","5.00623492750436","3.2152888432396","-2.05779145925726","-0.587487572782783","3.64116526317797","-1.22528862912375","-0.708249705433175","-4.25121350144951","-3.35913120523288","-7.10128129097719","-2.15853236300008","0.888582239401908","4.96534761600473","1.10973933406018","-3.14256043476332","5.75873783733929","-2.88678094411009","3.54983083777328","1.11311643272896","3.13041086115574","1.58507495505901","-5.85716294855727","-0.914669143298192","4.25929544145797","-0.0579941494457533","6.42646588586112","3.13903668965155","-0.94395562373607","-6.95093907103029","-4.43173715759066","-8.8487137449311","-4.03821426073673","-0.487018168020173","-5.17574017092457","2.2572498425897","0.127541353806852","-3.04639461502581","0.798808768727791","3.5656613347698","-6.67979795478298","-9.01485059706655","-0.774265824750932","3.36766264949376","-5.74101353975759","-1.10967618843687","5.36504164714896","-4.92985084420242","-2.2537244394186","1.56191721723874","-8.33019391595515","1.72512819136344","-0.457367010437239","-2.1953794280296","3.29176797721697","-5.12881689273955","2.72325950387976","2.67448698836842","0.684353864459684","-0.855045600726363","-7.46644381776282","4.58346604132366","0.180104794472078","0.814739865991392","-2.62517406176712","-1.57051518631056","6.04948924748592","-2.00243683572697","-9.6470550070274","0.674917888653146"
"Random_FOXO3_62_0010","-3.05351742040894","2.1446106518263","5.60244062219858","3.1302455232529","4.85043745700073","2.10101561269035","5.16125893335315","-12.8237057235508","-2.84153106094983","-0.266164163185357","-3.72165545524619","-1.13991041709484","-0.509865706153075","6.83224284661424","-1.47702943137391","3.02135183306652","6.25650770357029","-4.6838787625968","0.304729094873257","0.750590726251732","-4.36839803150943","6.77385236128657","-2.0063523868487","-0.0138157780513346","2.41771195365665","1.21368026283702","0.334482427179092","-3.71692628953406","-0.631799126824645","-1.00288783269265","-3.84873379109712","-3.01909978981449","-3.9145924490739","-3.07874765731155","3.14259055394757","1.69443152230272","-4.07726414817151","-3.04358386709117","6.85089000317118","0.0626869654913007","3.34900447387375","1.41222910218988","-1.17515179914833","-3.64671732514944","0.152061694575865","1.0250307503302","5.06446256898871","3.33410223165252","-1.99145962131061","-0.566223745353752","3.55472508474667","-1.28773722935278","-0.614169497235934","-4.48413182062382","-3.43293042335315","-7.12537283775173","-2.1671939889192","1.22109232361193","5.09683980779586","1.1135465737498","-3.16154118393309","5.8866627699408","-2.90897522818641","3.69163028378114","1.14860765458689","3.40776863955506","1.54737506196804","-5.80298933701284","-0.9686884657818","4.30667392532232","-0.12620569744094","6.48557634819778","3.18974059466234","-1.1158175485279","-6.79727610131625","-4.37979714721314","-9.01926354152552","-4.0188214519297","-0.514594143673457","-5.11161533129176","2.50452168426527","0.160109892704215","-3.13364415793919","0.723154163108822","3.76838154215291","-6.73097576870281","-9.08343486851783","-0.8320437614325","3.49590866630467","-5.74491564304638","-1.00324223832484","5.34074582224331","-4.85853632687438","-2.319634852189","1.24567491107642","-8.43047300025686","1.67849526364579","-0.334843516791388","-2.20826785587248","3.51144454693937","-4.96856639541621","2.99788765514463","2.88918735448905","0.725926233835625","-0.703728147665361","-7.6094877044314","4.65520866740975","0.228482655387944","0.796104560537831","-2.75204883314782","-1.58801061708767","6.33474238940551","-1.99956736175015","-9.68285851770476","0.863252524441337"
