""	"GATA2"	"PGR"
"result.1"	0.040416719840551	3.68594044175552e-11
"result.2"	0.029357402235475	4.06221722926148e-11
"result.3"	0.0199953396670418	1.71112013447328e-10
"result.4"	0.0286950606242413	3.90123489069083e-11
"result.5"	0.0211072329459969	9.71496216806145e-11
"result.6"	0.0210426847859315	8.01281263562714e-11
"result.7"	0.0166325142466599	1.19074972104727e-10
"result.8"	0.0278656054871629	6.14190920344981e-11
"result.9"	0.0362615421675654	6.78908040896431e-11
"result.10"	0.0272098292777716	5.84450265961323e-11
"result.11"	0.020196648692471	8.02131694399577e-11
"result.12"	0.0163931263356196	1.25667476424951e-10
"result.13"	0.0304548141025003	5.54531975893724e-11
"result.14"	0.0572402563821732	2.00126581972881e-11
"result.15"	0.0192558356790755	9.93225501844108e-11
"result.16"	0.035412642574117	4.47017978189024e-11
"result.17"	0.0215419292701902	1.14883214052952e-10
"result.18"	0.0205096158139582	1.45954803798531e-10
"result.19"	0.0180435935056698	1.10056408431092e-10
"result.20"	0.0313032930826385	7.23794357782026e-11
"result.21"	0.019400882652749	1.15977449866023e-10
"result.22"	0.0332398905606504	7.0752292913312e-11
"result.23"	0.0153687634588522	1.28936417098657e-10
"result.24"	0.0214745332311508	1.08437703261188e-10
"result.25"	0.0271500501782926	5.42741407372205e-11
"result.26"	0.0214320316237604	8.00615129747939e-11
"result.27"	0.0271894689689693	3.84767773198291e-11
"result.28"	0.023664210947713	8.13591416459758e-11
"result.29"	0.0172611438184251	1.39809275268021e-10
"result.30"	0.0435269116184123	2.92741386687112e-11
"result.31"	0.0151722189698982	2.21407780998106e-10
"result.32"	0.0321638937675792	3.49358320050897e-11
"result.33"	0.0236480078262098	5.99849059312874e-11
"result.34"	0.0246116957914395	9.82773862290287e-11
"result.35"	0.0373929834246762	3.20088400229679e-11
"result.36"	0.0198193757309897	8.72157901454784e-11
"result.37"	0.05686266793773	1.73616676590882e-11
"result.38"	0.0393234931597379	4.03552746774949e-11
"result.39"	0.0295066048584949	7.7194250991397e-11
"result.40"	0.0223780630605301	6.03879168892263e-11
"result.41"	0.0321463932160198	2.94204660633568e-11
"result.42"	0.0285280200837861	6.70401512081753e-11
"result.43"	0.0250651882283064	5.04583042015838e-11
"result.44"	0.0399535487090428	3.17819104367345e-11
"result.45"	0.0334676416499868	2.58855159529503e-11
"result.46"	0.034334935959091	6.11839467978825e-11
"result.47"	0.0257522671905512	6.31490415514691e-11
"result.48"	0.0347338509700759	3.54938300972663e-11
"result.49"	0.0451851049396232	3.50524054226753e-11
"result.50"	0.0781969461317737	1.14837028775128e-11
"result.51"	0.026935946898671	1.04486641561152e-10
"result.52"	0.0360630604547039	3.25806048806498e-11
"result.53"	0.0201412305895274	7.99376120852457e-11
"result.54"	0.0188113989553576	1.03420161323697e-10
"result.55"	0.0227176706332182	5.83675330290134e-11
"result.56"	0.0264810487267539	8.90698625966024e-11
"result.57"	0.0248913033354528	6.26765306321886e-11
"result.58"	0.0442834076354426	3.85294018911964e-11
"result.59"	0.0320350749848608	6.36628527672656e-11
"result.60"	0.0275482274321059	7.01820823678645e-11
