"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_HOXA10_39_0001","-3.13831857752388","2.07055233091448","5.6473658381251","3.06180175715068","4.93869462892349","1.95168357909082","5.15917261963598","-12.8056765765635","-2.806396261872","-0.384488524362802","-3.79329559541081","-1.17510076818571","-0.620382385009715","6.89080641727992","-1.53723928468549","3.14685504013977","6.28563803508512","-4.70102902488793","0.159724643131415","1.06278157099456","-4.35144996831199","6.79470593619027","-2.1769979891032","0.139984330898617","2.46165256887837","1.19494501177447","0.53052473214198","-3.88059361253095","-0.484358223689813","-1.02541019794777","-3.89056584561576","-3.09919610843284","-4.03703825877721","-2.96404884588724","3.07058357665223","1.90809602842042","-4.21426274175849","-3.21582238926075","6.98814699747849","0.0366239008252827","3.38780784903845","1.36901636238257","-1.12566553408339","-3.65675974255847","0.221690005633948","1.1290253572104","5.0494618286556","3.25535591616666","-1.83037904541606","-0.502098772543324","3.55567450753985","-1.33330509116129","-0.792782309098967","-4.44672794772233","-3.44547496124514","-7.19774286980866","-1.92078942932621","1.05495642121767","4.93469277813239","1.15089528058925","-3.11297711708791","5.76966518791496","-2.94443468825783","3.62964806782619","1.06270031438592","3.31235184234424","1.62073926347025","-5.84871749928613","-1.13944008951129","4.46116624871462","-0.0766443700625161","6.49346710946237","3.26984878841923","-0.968646496882586","-6.89788886404805","-4.59758795495401","-8.90916654058804","-3.90615826608175","-0.519603757968882","-5.43596832252641","2.2695423978378","0.0629883829672223","-3.18246820672675","0.984586767649834","3.57103581331825","-6.72489714368864","-9.14339383385978","-0.783962410260367","3.48689781982189","-5.66344347464665","-1.26543160360859","5.52643486355524","-4.98278548437317","-2.06176733242094","1.53283365159795","-8.32846318373963","1.84475172925864","-0.525354894844679","-2.1122418316227","3.41269417454578","-5.21763441956323","2.84368294695564","2.71566339087322","0.679348963295239","-0.789417668312369","-7.56113069176179","4.62913771894341","0.0715121143057376","0.710838931579809","-2.69888378004598","-1.64433744001007","6.13654222426246","-2.00543323149602","-9.66769248101234","0.65207517745826"
"Random_HOXA10_39_0002","-3.10976648812947","2.28544159524933","5.66468879928101","3.28785702144762","5.06205806807071","1.82337034447439","5.07008066986269","-12.8720352128814","-3.08517265364061","-0.427395813852583","-3.83095911290839","-1.28416442386828","-0.711358632820841","7.20719037942438","-1.51525695176761","3.19305534124225","6.50810869845586","-4.81843730930025","0.164751005992416","1.10150553389608","-4.22339669900045","7.11813248816276","-2.07401788299307","0.236684225714614","2.18673912101786","1.1189205036105","0.627431908474026","-3.87009278712886","-0.271300334081548","-1.1196947767341","-4.04483945519153","-3.12504315480725","-3.88501293696856","-3.01750637723353","3.22403557961742","1.57347380813746","-4.33179218713083","-3.35115401766306","7.21478692177818","-0.0804198180413548","3.50881352328598","1.36403944256697","-1.31863426431706","-3.80889115403794","0.252114445950854","1.02076921948492","5.29754679488881","3.34624783655512","-1.99586446017659","-0.667686785888939","3.62317441687581","-1.50816048099193","-0.706193299544413","-4.55255618064874","-3.45885316988253","-7.22208585964343","-1.9250676485578","1.15854463097247","5.17729395538627","1.30670175043953","-3.50524319589695","5.94291274296253","-3.17406795194676","3.95842664426866","1.0464899984664","3.61275790810503","1.57806763468355","-5.90876066149015","-1.20682680998941","4.72042654304422","0.0191213657187433","6.85126510115925","3.28783094343891","-1.13021865184685","-6.9258747563869","-4.67477217304205","-9.03361536197694","-4.11713559998355","-0.665658723444117","-5.3999237103164","2.56324135329852","0.193864095417318","-3.32807575430287","0.870908345857325","3.95950800681299","-6.84819129928315","-9.15361303366505","-0.855143786313705","3.57321212986911","-5.45741760066185","-1.23337755022978","5.54974556799006","-4.80020416987389","-2.10201612859667","1.64502619422418","-8.49342241362139","1.84926604572017","-0.601870289845497","-2.04055143546655","3.6613292878715","-5.21690582546462","3.19398309985968","2.91065820130419","0.627304436879651","-0.850388177855739","-7.64110178774154","4.79982570683484","0.224563187825775","0.708545868534101","-2.82151605506475","-1.60094626642785","6.30661977691138","-2.28743243902592","-9.83200930678548","0.700796440419046"
"Random_HOXA10_39_0003","-3.32820028943393","2.2538755112272","5.65572303614471","3.15058199194165","4.91421563558342","2.05210428186374","5.2294010656567","-12.8535707784807","-2.72562871172801","-0.361717472419069","-3.82675497771878","-1.35751471533132","-0.704529233179974","6.98109831181991","-1.54504342559791","2.8704131183168","6.50310387599868","-4.60291874863377","0.124938908436035","0.867046384129919","-4.44564293037746","6.92397225318418","-2.12487595867966","0.102976602548685","2.36760428420029","1.01452121276091","0.32638784804324","-3.85130834907097","-0.627089969329618","-0.994405559968898","-3.79568987708635","-3.19765731723871","-4.0704673744777","-2.95365950143769","3.38283656672881","1.49973376472303","-4.16193061082036","-3.05565565064592","7.10971319766509","-0.147420943110322","3.38163286134701","1.27834190894591","-1.2501629005606","-3.6105912123919","0.199675271171641","1.23856264701795","5.15075349421602","3.51921555129949","-1.91417691286237","-0.473292391661544","3.50702618858895","-1.33083963263002","-0.775764686030405","-4.63562992729363","-3.6622328693982","-7.2481077939068","-2.04064436346079","1.30977790196881","5.15795040155482","1.12041542977451","-3.19225061108725","6.03649870907952","-2.75019704132481","3.70919166472128","0.895934645501423","3.60492657887237","1.52246965815995","-5.83803382200238","-1.04694198772325","4.40959019061688","-0.0674843187003167","6.71338597446797","3.39164022631519","-1.09592014607085","-6.75752512449729","-4.80579477465167","-9.14594466005251","-3.88691207477803","-0.41335237941067","-5.23539979270611","2.55909310849679","0.151206997509557","-2.96304747352544","0.913205942668504","3.75157404487115","-6.6865673943461","-9.27804948990025","-0.892838454461365","3.66945752978636","-5.61124442475262","-1.04559686488237","5.47780191966042","-4.79620107215193","-2.2705418598187","1.33235719885517","-8.58358831365614","1.73704257867335","-0.434064569080934","-2.1502782309735","3.60295031795025","-5.0902068763476","3.02940692551679","2.97180667500281","0.681390657160573","-0.791492850743872","-7.59218628409407","4.85962863255427","0.218157169058234","0.899587725429109","-2.88189420207608","-1.50301183957652","6.4544793939085","-1.98090614031697","-9.66235610705495","0.769528868950718"
"Random_HOXA10_39_0004","-3.025188394496","2.19318517127588","5.73786082996345","3.11899579553411","4.98888345583233","1.98307885413197","5.23317854678203","-12.8836442266823","-2.79562823406573","-0.421665742192366","-3.82062017827824","-1.30197898528331","-0.674249624923376","6.87421945857249","-1.50425947595718","3.16526207595228","6.27713452667077","-4.86092738604458","0.131046211924712","0.93461861836456","-4.07369027312204","6.94572475510302","-2.20139498603649","0.0847776382576201","2.24400978058951","1.24327828212348","0.54013895884544","-3.93782855317302","-0.449925350812376","-1.18669344568749","-3.92980248339382","-3.20112071603273","-4.09408686458395","-2.83486600063104","2.91202089061267","1.77264923261698","-4.19098191035546","-3.08243904921922","7.06416965337444","0.0210538635613037","3.40148541426051","1.24624869724504","-1.36697595608317","-3.61980005885227","0.0507608084012183","1.04332218184276","5.19772823978209","3.31591874036159","-1.74717774335323","-0.768887243959267","3.53992609692959","-1.35256374300226","-0.819893872101156","-4.48966125924382","-3.52303412415133","-7.14069780677144","-2.0008644984438","0.838988064060066","5.18262744989764","1.36846296200748","-3.19868063524816","5.95861610577349","-3.02630002959225","3.71089890309252","1.04809471799913","3.19224150021523","1.60348462264635","-5.77165330732019","-1.16150871467482","4.49517033799683","0.0423772227681186","6.54541337181558","3.2925858343845","-0.796694781645801","-6.80586582530673","-4.62905304543689","-9.07313478647933","-3.89131905763165","-0.25611781312582","-5.15917490272613","2.23436668289934","0.0742838757540777","-3.13139451423789","0.826466029358487","3.54884833613296","-6.8036648399577","-9.01833498206769","-0.761742885666835","3.50586129100844","-5.41296129736044","-1.3158848289553","5.41613703854413","-4.84976457151154","-2.20899051717397","1.36802644523391","-8.34281012764801","1.61612582782654","-0.411568260727839","-2.22536909591237","3.20733634858435","-5.2077105760654","2.70772264453946","2.77532364805806","0.841107130327009","-0.588406952896088","-7.47059059005745","4.73498119981042","0.0832345110203885","0.941056970716434","-2.75753839528266","-1.61544438430362","6.22329578603257","-1.81896073485115","-9.65546957324061","0.626876300378955"
"Random_HOXA10_39_0005","-3.13424026016382","2.07489432197914","5.41586574140984","3.16176353120292","4.80173952050326","2.29152466565655","5.11625924973729","-12.9472624590264","-2.74004996550012","-0.0784178237791759","-3.54274030562144","-1.02021176151934","-0.469914686717526","6.97306093228471","-1.32102902447646","3.03781592770145","6.30370817654869","-4.63563143006285","0.424315175540902","0.702203897877903","-5.15027004010868","6.96906095362157","-1.93661865514113","0.0849936916400965","2.30349323090777","1.2658638094543","0.243510015478074","-3.66773340297043","-0.523338576849644","-0.857240084083824","-3.78185349021005","-2.93719055098737","-4.01242192110192","-3.20134759026305","3.06552542091183","1.72479017267857","-4.16713208074283","-3.2719370194279","7.04373322464888","0.156046049004939","3.28358331840991","1.42648321185191","-1.11607498439301","-3.48919601695422","-0.0247250642304582","0.904665023014961","5.20973632060701","3.36520267476165","-2.14999468109734","-0.547246779995186","3.58768435070697","-1.15978118543443","-0.523239380419632","-4.43310885864042","-3.49273135101988","-7.0585047249525","-2.29100981380556","1.03939215514938","5.16145158726139","1.1522340359011","-3.0745170959243","5.8064893837911","-2.63913273805515","3.79394341418475","1.12274464295001","3.31140401516273","1.50878971414338","-5.80193211365699","-0.760925629078469","4.39871922426148","-0.181345855737762","6.61556798124548","3.37997748395152","-0.943113082142767","-6.97619841510913","-4.43707683735778","-9.1404287198544","-3.99381154844338","-0.222861785057854","-5.19937209118578","2.63797769425918","0.201889451434527","-2.82689889662057","0.61280007239807","3.74121208125956","-6.43526942079036","-9.18518862656941","-0.629137757391019","3.46758825586938","-5.759854621362","-1.01668336897803","5.27315826822589","-5.1553685948609","-2.48668451045801","1.38545299589767","-8.42576843320527","1.58210662078633","-0.381904156386715","-2.42934170392942","3.33977134347012","-5.01677048339478","2.87674303555558","3.04245171973088","0.92561386801539","-0.734210118457208","-7.50352557390956","4.69778519941133","0.310702438543037","0.882275651227824","-2.62230985058252","-1.73876909740196","6.33359611098404","-1.82150973257426","-9.52561685077121","0.843342267975205"
"Random_HOXA10_39_0006","-3.14761117836216","2.1362513807265","5.5984382689708","3.14697484697721","4.88099128041289","1.97911285729204","5.12592703382925","-12.8257157227242","-3.08486070324372","-0.37288614336218","-3.76973773734874","-1.23216859056451","-0.628842805887659","6.9571180403206","-1.45369702780735","3.11934143447953","6.40138078773569","-4.76552175378848","0.331903527983713","0.970564092788142","-4.27781996206949","6.87132974964045","-2.07474033179828","0.0372326525944936","2.23244756307332","1.21564363995117","0.327555892042361","-3.80543544142491","-0.49155566134881","-1.10410904804206","-3.93626858396479","-3.10723454437365","-4.08947897770284","-3.00254379146555","3.10892669621672","1.70559796569847","-4.25361577647795","-3.17515119162609","7.01390046630178","0.0488708504652452","3.40639814740678","1.34239688190263","-1.3259948377709","-3.64553026972766","0.174584752622858","0.983647787580892","5.11597603916324","3.21318565970907","-1.86598955262921","-0.62761324327115","3.51248614550586","-1.37358512928442","-0.731753851124783","-4.40970400444068","-3.53250467197247","-7.29530019030912","-2.09993436656861","1.12517317927611","5.14085669411703","1.13371478682462","-3.24781095920476","5.84099861805084","-2.91867783086773","3.68738053854938","1.12387119692601","3.4747448945934","1.66963032300314","-5.95126731648303","-1.21442453401282","4.41642370356624","-0.0444829450652635","6.68458725729527","3.15941819118047","-1.08185300614114","-6.73599443576245","-4.44362421558636","-8.86678755184979","-4.14600224750015","-0.519343618756583","-5.18182924038168","2.49775234418635","0.257317327774545","-3.07404132005212","0.875670764558912","3.83836480841694","-6.78965617053504","-9.14123143436086","-0.805858001930324","3.48620097904778","-5.58481479160065","-1.12951987289399","5.38894344481884","-4.93105916194965","-2.18574980938016","1.41183375440837","-8.49030884678982","1.71983787750784","-0.415144924122484","-2.31280523795767","3.46543449407755","-5.08676810673618","3.08047039496199","2.90460596320719","0.748821539517586","-0.73025570169065","-7.60093235463793","4.69928344353423","0.281231914189187","0.786487053769147","-2.80251534716779","-1.56627902347796","6.24893189758195","-2.0823506759456","-9.63804847552217","0.846578531482294"
"Random_HOXA10_39_0007","-3.15796952309229","2.09193647161321","5.58346601979636","3.0186946986564","4.80182164453917","2.10059051285028","5.25905083356994","-13.0230007212797","-2.88309022745827","-0.293100359088288","-3.77275365909227","-1.15562881623448","-0.581233527694948","6.91855887416474","-1.39619996084486","3.16445723751215","6.49387041679495","-4.72200762621841","0.284538486093585","0.991837713416527","-4.30632265628097","6.77342838535228","-1.97392945011793","0.0708899029436941","2.25296877375203","1.37855931207753","0.49243694892444","-3.83173616851756","-0.429257151451646","-1.01877296772798","-3.86820036929835","-3.14095109170206","-3.86226575385803","-3.08678952298498","3.35354398063792","1.71455654630414","-4.28958014157263","-3.21092769512533","6.97070641052195","0.114192800502037","3.28718216033451","1.36629907298433","-1.24068928055284","-3.72642932194013","0.0346417860378709","1.06243767456598","5.03106833545095","3.31740961673806","-1.97503444219171","-0.610385125700687","3.47542148153555","-1.53458898644169","-0.706717046369976","-4.55821568194529","-3.49449295169","-7.29007063370061","-2.1337485159002","1.24800304341292","5.07834301644345","1.15783426019506","-3.21000372895522","5.81220449887403","-2.98558252726989","3.6544405222226","1.14456413115745","3.49422061580195","1.6902247742625","-5.82879610144236","-1.11291927713077","4.44540198308961","-0.0239317155387178","6.69527456767626","3.29528252496494","-1.19798280506284","-6.86849325914124","-4.46811359878495","-9.08319032201452","-4.06631412870145","-0.419595030119948","-5.34955458252309","2.29910440796556","0.288906343655606","-3.13723219784134","0.827107948635577","3.67749374740381","-7.00010651502679","-9.37274783006499","-0.736141771050244","3.49321198677545","-5.59170280820546","-1.31127803031675","5.43463847180603","-5.00790425382379","-2.10948217986543","1.51408264857215","-8.33516546311468","1.72245469693873","-0.323984115489419","-1.99087763310405","3.60699343899721","-5.16647781944581","2.9769536117226","2.68587969591967","0.79133124310769","-0.490419158314595","-7.73443239291672","4.62177696756908","0.293991870860419","0.727138695205985","-2.57673458138389","-1.76678397111163","6.25103864473185","-1.93648609544385","-9.90208345034508","0.942697315193794"
"Random_HOXA10_39_0008","-3.33112392848379","2.32222076673682","5.79301213807255","3.25799082840864","4.90233792814082","2.09028789054683","5.22504790741837","-13.019097061338","-2.80060772223052","-0.415136171380314","-3.91013446667469","-1.34408018873441","-0.783140324172497","6.90982794685852","-1.52371715244303","3.07827673998479","6.35322049063017","-4.65159450254202","0.0284651217579639","0.880319611597411","-4.26735414337926","6.95798782018707","-2.24078901236146","0.0902346670885606","2.42108579253665","1.09656879642771","0.244534766019847","-3.95421690362856","-0.495277805143174","-1.24978586704844","-3.93916232189668","-3.29101535088965","-4.16607153151072","-2.97480988747983","3.0491447175247","1.59871262290957","-4.23091416483617","-3.24317269914902","6.97017492533791","-0.0533789375999825","3.44118141452969","1.20310595457349","-1.23251878240354","-3.69153350264639","0.211764096334997","1.04389003073113","5.27488153130617","3.43618967021047","-1.92463715572327","-0.4659140134738","3.53409936807872","-1.44081738760492","-0.898949743942808","-4.60310720239301","-3.74125253950843","-7.19893246181094","-2.1790041513214","1.12667968001851","5.33789796584746","1.15893999959804","-3.11476211310342","5.97660962387434","-2.84248009342534","3.82309460593029","1.01733595418438","3.31364716773178","1.48050856675861","-5.63345347737169","-1.15625976853894","4.52018056110076","-0.235663358282476","6.74122274757034","3.41401738665811","-0.979778270685174","-6.87312997767574","-4.61079660235333","-9.03889319805814","-3.90876670620059","-0.319188503800841","-5.22398470559988","2.43041700343882","0.0990246751846299","-3.04331057608829","0.904961949391096","3.65151829752894","-6.75766596576696","-9.2645145125655","-0.896250839253129","3.67749056203387","-5.47413582193752","-1.05102266240186","5.36600905207076","-4.92306780710051","-2.13658191251161","1.48783419818726","-8.33774621416191","1.6676594176516","-0.432289265526987","-2.26828442254519","3.40869192708342","-5.13192330842076","2.86756064680411","2.8677747931861","0.809801909247947","-0.567796189597678","-7.53208449363322","4.80998408428365","0.189024484929975","0.873044031019884","-2.76099767457767","-1.56555624753627","6.31110051379689","-1.96625762657481","-9.8508023241277","0.818267404909485"
"Random_HOXA10_39_0009","-3.0612586288639","2.1413657697125","5.55037875218594","3.17308429421483","4.84894438560995","1.92704890551788","5.01345788449212","-12.7725171684988","-2.95422744809991","-0.274570987154104","-3.70514211879189","-1.14868398865011","-0.493976462866646","6.93257408763442","-1.34612358230851","3.19970146624611","6.27142091245856","-4.71697105344846","0.176882866959504","0.930675553537899","-4.30334023687349","6.93727317284032","-2.00585993931993","0.0956667209433531","2.29083681983791","1.0478445715882","0.375243444115335","-3.76991493248429","-0.473783860356768","-1.00080956880436","-3.99449617810102","-3.06392618584342","-3.99397126871481","-3.06079035223414","3.03830882921319","1.64425073311967","-4.36107937286355","-3.16232283594502","7.00790112944192","0.00836051109115368","3.2812948620883","1.29178473584542","-1.11663559884354","-3.65093789104105","0.173933237619283","0.977576892558392","4.97936904568533","3.23300118183175","-2.00295723574889","-0.54363881939531","3.61702365170839","-1.31955336821097","-0.758675529106003","-4.21858716626242","-3.49137061420267","-7.2014598184141","-1.97555918599634","1.1510663663334","5.06003704574222","0.920645267502163","-3.18496149455116","5.77185410104517","-2.80945281666926","3.66332187753411","1.12525191196429","3.37314945927252","1.39447207659261","-5.82313829554853","-1.03622255486846","4.45264763025977","-0.12101467057602","6.55513273249792","3.25432261984253","-1.17958602432709","-7.0418490428221","-4.58856392577049","-8.95011884337551","-4.0529219816453","-0.429504163607999","-5.2648968357248","2.44172010105956","0.120562537356448","-3.02744510493976","0.882969985938918","3.82965928855643","-6.60393508585449","-9.07934612622611","-0.670816982760729","3.42335525871913","-5.61727134829552","-1.06039010410033","5.36496886268325","-4.92881008921857","-2.20636662615602","1.5110558117397","-8.48539580011067","1.6761252060619","-0.473382394022011","-2.3401120344253","3.44959812459031","-5.03090589096439","2.92881198162856","2.95639760720096","0.648146108722202","-0.801397406479308","-7.4819344915818","4.69575228869764","0.219646066534748","0.817963240007514","-2.57615571240824","-1.59262404088219","6.23040549192928","-2.14100887238909","-9.46120012171384","0.773251602522504"
"Random_HOXA10_39_0010","-3.25771868714604","2.08507306524933","5.44648566854153","3.07823285305005","4.75704781347345","2.11829725957528","5.22653617308954","-12.9531119635581","-2.86032037152622","-0.308165392415984","-3.74543871373822","-1.15237103537379","-0.519277114664517","6.96309671204159","-1.50155404511415","3.02925753130108","6.44348263260626","-4.59724130823529","0.291922257551293","0.838103109100902","-4.3467578186304","6.72357699654272","-2.0350640095812","-0.00904679197741477","2.39267186192084","1.18521997482438","0.380601590019928","-3.81713112284771","-0.462381781436415","-1.01552787617325","-3.84107099030242","-3.12106442993874","-4.04199633287462","-3.01784120131753","3.16773110167411","1.85121217753284","-4.33190315021115","-3.10740625585619","6.87796889490154","0.0546706008408064","3.3355229887394","1.41594594340018","-1.21356751944101","-3.56728099628452","0.060671495038306","0.864025994582394","5.00021142390668","3.2485977005881","-1.84973090054375","-0.558227714036411","3.44695713674452","-1.29253208599662","-0.676897922923288","-4.43146606042366","-3.57584767971153","-7.2197844201609","-2.02759450090397","1.11782137095213","5.03082219594236","1.23371564269807","-3.10627343357826","5.83504639257459","-2.81944007398186","3.58539507730309","1.07711178393604","3.37375714048688","1.70619307767962","-5.79279292629235","-1.18444448854976","4.23611540294603","-0.0628823151443271","6.59241835967691","3.11538021938978","-1.22171065273219","-6.80046884950366","-4.38844704270421","-9.14012426389247","-3.91217727662254","-0.365670002450772","-5.26505741949579","2.43579904784597","0.173568149913353","-3.09231749387472","0.667582555110178","3.5738631697057","-6.68924689526148","-9.17235088257","-0.713623230122694","3.49070812460311","-5.93000519977778","-1.25999685985437","5.27226994256243","-4.94405610642053","-2.37360060700802","1.34360552306662","-8.56765207399114","1.67196501677351","-0.341589107864005","-2.13288794419665","3.49483321619514","-5.13570350044882","2.91899363169212","2.85575850547939","0.742017703818082","-0.798680415248237","-7.66180102172993","4.5420170619982","0.347944833179197","0.791333117863988","-2.70333563141005","-1.69171567272275","6.13039135872703","-1.98262349893209","-9.67071207608059","0.87284654390778"
