""	"GATA2"	"PGR"
"result.1"	0.0253113059000414	9.75606262443307e-11
"result.2"	0.0183682359218644	1.34620758984738e-10
"result.3"	0.0187550221138151	8.55937543065011e-11
"result.4"	0.0278001593072739	1.07767794688129e-10
"result.5"	0.0415972830721962	3.90760757085218e-11
"result.6"	0.0273285676558246	7.03512803568174e-11
"result.7"	0.0305759642452872	4.99824626132295e-11
"result.8"	0.0224507532716596	1.08880904292619e-10
"result.9"	0.0270051082896237	7.69020402913156e-11
"result.10"	0.0326459265809125	4.88773466145176e-11
"result.11"	0.028128162847854	7.63435981099292e-11
"result.12"	0.0216356935523103	9.78139791385502e-11
"result.13"	0.029817755627717	6.10038686232883e-11
"result.14"	0.0409106711456493	3.9196867973601e-11
"result.15"	0.0417372146898634	3.61481955479803e-11
"result.16"	0.0318757840580157	3.99886790347637e-11
"result.17"	0.0437686004437945	3.61304319795863e-11
"result.18"	0.025782027026878	7.18640702501716e-11
"result.19"	0.022823757646915	1.23219878744862e-10
"result.20"	0.0288637518406341	5.47724088306722e-11
"result.21"	0.0285643195044962	6.37943031733812e-11
"result.22"	0.0314528385945883	4.42059722161048e-11
"result.23"	0.0271509447617555	6.91007251418796e-11
"result.24"	0.0407101850537328	4.84041695614223e-11
"result.25"	0.0384695734828577	4.04682953814017e-11
"result.26"	0.0265815779942402	6.41222630548555e-11
"result.27"	0.0246189629020286	5.98945337770829e-11
"result.28"	0.0384920362555836	3.80355746898431e-11
"result.29"	0.0315616490246067	3.66220387348903e-11
"result.30"	0.0318220687090318	4.58031390593305e-11
"result.31"	0.0213183801863495	1.0594414234788e-10
"result.32"	0.0204467185725694	1.06574304936657e-10
"result.33"	0.0361861631582856	4.36399805181509e-11
"result.34"	0.0265923940392483	5.24671417423406e-11
"result.35"	0.031072559062479	5.2448045906317e-11
"result.36"	0.0329242272934824	5.77611292129632e-11
"result.37"	0.0381345087240901	6.79638567646634e-11
"result.38"	0.0248465653997971	1.17703846669315e-10
