"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_MITF_27_0001","-3.27026423839445","2.10306098743935","5.44391738556532","3.02584338983429","4.69166781566619","2.14536831554435","5.19226024531106","-12.8776185935396","-2.84850732401696","-0.225157593393616","-3.66240898997465","-1.05534773300382","-0.492230917514598","6.91321991563705","-1.36865432336378","3.08544665043011","6.57492056834626","-4.61148971581428","0.324934954576092","0.783897416438477","-4.46063780926012","6.76896579293371","-1.88345141818402","-0.0289644703741052","2.12396604361503","1.22761902164933","0.383990885526389","-3.65591025218682","-0.636101146581525","-0.784327931840089","-3.68383098241402","-3.02349756607909","-4.06273269026458","-3.17961579788721","3.31893224540997","1.71876358853991","-4.27756099673872","-3.19349263534359","7.01345989128677","0.271695736155719","3.27891651326229","1.54517955441353","-1.02254375410438","-3.48486967088603","-0.0255394114834802","0.995503228816281","5.04405560172072","3.27514034042613","-1.89189250604812","-0.800794501273547","3.33613870097392","-1.19847039186541","-0.662869758910341","-4.60510596163003","-3.57434166278217","-7.24919336000866","-2.26738277268546","1.28691018047249","4.98523263639982","1.11513573615732","-3.22157516845232","5.76347255507909","-2.72772409097092","3.6137166566303","1.18969238287728","3.71551540273783","1.63666731321704","-5.72255328474897","-1.04590203783284","4.31321977314196","-0.136249676738342","6.67142952221834","3.10152819418637","-0.94948332086566","-6.89121341158607","-4.43132243689404","-9.02931789638034","-4.04065630821635","-0.240515465381005","-5.36537182209013","2.41453438708675","0.255845838933233","-2.99146648871451","0.783333841022798","3.61473187556587","-6.75425738410355","-9.18669866845466","-0.701494317770642","3.39333732703142","-5.65351894370995","-1.31812425510575","5.2681823960358","-5.03214272781086","-2.34028968981455","1.39555053867072","-8.36613027102276","1.58696385297477","-0.184835472451774","-2.28222133314103","3.69499233197764","-5.02715576792995","3.13748633323931","2.80884245041791","0.980434181767633","-0.619249782573676","-7.68549584662092","4.65316264670373","0.455772216427094","0.762380820793183","-2.61111143379492","-1.79910147069849","6.22405829394961","-2.05024213997953","-9.58128482794325","0.859170093724145"
"Random_MITF_27_0002","-3.18972295178673","2.16747567664929","5.56737749517986","3.11195075679538","4.74436567430134","2.16885361301775","5.34329956933676","-12.9793600284929","-2.69933965605656","-0.230581731375866","-3.75508152021064","-1.19780012036872","-0.548014062049817","6.79372361658925","-1.36982390980668","3.03420771870041","6.21389179951268","-4.75469614758678","0.374423037075329","0.758040834419596","-4.21667953999035","6.74583776793258","-2.07395350290491","-0.115840212517065","2.41818991416257","1.11536908698656","0.192559098661972","-3.78722448934637","-0.665594762818107","-0.981434275321294","-3.8278692292543","-3.05396222926181","-4.20567164637367","-2.92623390239867","3.08816759566514","1.66245131965148","-4.12657092379106","-3.03159965202781","6.87218702839959","0.163403901854992","3.32988859634095","1.38990945794839","-1.30835966883763","-3.46642874595548","0.0635655501951715","0.944029144278476","5.013304455596","3.21715729844699","-1.74833739479814","-0.598839507952223","3.4475888359364","-1.32470159079106","-0.768151408825784","-4.47235384133053","-3.56934458805096","-7.01186335004847","-2.26753647693474","1.02728609893267","5.03564805833639","1.2703361788974","-3.1105014780448","5.89300416503686","-2.82010535122453","3.65672460588749","1.07614381025912","3.25542314540765","1.59371116431632","-5.81809345184177","-1.15023876720782","4.2707485562135","-0.206473889721178","6.4919992705235","3.1207537759522","-1.02176663014091","-6.63018590616239","-4.2374931019855","-8.89399131180505","-3.97965615532393","-0.33202697788149","-5.00829129746593","2.44404397754979","0.163024615626714","-3.06384252671405","0.67013340467081","3.61791930789219","-6.67570487815242","-9.30056335127863","-0.715775725728512","3.47499462383126","-5.69159054916156","-1.14285342843155","5.17316756933056","-4.87319479983433","-2.35407215266794","1.23715940988794","-8.3300159555091","1.55144505422087","-0.273496310149375","-2.50777008194842","3.35956464275208","-4.93885339974947","2.88784143871015","2.82010518184329","0.854105822928805","-0.555618078534924","-7.52174831576613","4.64562569946636","0.301469991111917","0.855895765363475","-2.79386688778306","-1.58695595430793","6.29795086188769","-1.92001706151148","-9.68925391814137","0.908885392821773"
"Random_MITF_27_0003","-3.15618425172888","2.177756054818","5.49901895009503","3.15475213019092","4.8485648028839","2.1002650952045","5.08753061508351","-12.9672232799078","-3.03702192636564","-0.313929830808533","-3.73506965257179","-1.21754737533049","-0.584919738964534","7.03682957762511","-1.41783761306342","3.1032262039477","6.38854629960419","-4.59842929865404","0.145483326737358","0.935511274448729","-4.71533031503364","6.88372082622797","-2.032429572715","0.106854849773059","2.30153564631407","1.10370032698749","0.466204397568589","-3.71845327453765","-0.712063789868268","-1.00266766511382","-3.90573465894067","-3.14896946193405","-4.08496947691416","-3.15079718123226","3.24042768868746","1.68879626299487","-4.27656432017317","-3.37787969555332","7.1408794506853","0.0856464102158036","3.3875490038584","1.43411790945063","-1.2021572171182","-3.67735039947451","0.1724042959864","1.12597650833212","5.08604096104426","3.36867423831065","-1.93898910915911","-0.634076694833889","3.44284432179998","-1.28082739558438","-0.847565936542332","-4.32969238930892","-3.83377374727739","-7.29596458546264","-2.18012824006096","1.24445512246676","5.14122261125278","1.00643379203186","-3.31891075193626","5.83511827566725","-2.7931459632684","3.76730184497222","1.08505219931655","3.57791148575252","1.64087284873121","-5.93596161076871","-1.18730954775765","4.51425106866234","-0.249122714659451","6.7951170130384","3.19927733091395","-0.915646580268233","-6.99552395323574","-4.65391444505853","-9.01429528088795","-4.14402426115784","-0.462944468980052","-5.43123125951114","2.57536647371916","0.218450497670334","-2.98925051232269","1.01674130180209","3.84629836402646","-6.72864380694026","-9.29536408137527","-0.780154934456078","3.45466393189369","-5.70616955205856","-1.110813084788","5.50892398279285","-5.09404219149019","-2.28052034489713","1.4297289670704","-8.52787566925036","1.70845467029648","-0.428119493966092","-2.31382112265128","3.56833630594293","-5.03951936540061","3.15088024799617","2.9842989345943","0.862069483184992","-0.868781816073035","-7.84721236606243","4.78358592403341","0.327114428050829","0.648190371089036","-2.70486477028583","-1.74054219270844","6.38512481944505","-2.15713806962149","-9.53402366713038","0.874464824672148"
"Random_MITF_27_0004","-3.25453065235643","2.44812891013423","5.82574916358179","3.34763806437","5.1685706728828","2.01012414915239","5.32106521887958","-12.8096365235553","-3.00174509534714","-0.473550718549941","-3.86985347469891","-1.39619984494275","-0.705066994179323","7.25821355925582","-1.54193775424766","3.19571430246779","6.35920196104639","-5.09505054601967","0.081623206472605","1.05586237618205","-4.27046579387261","7.09679419926509","-2.22071454443256","0.155598927802346","2.47849900508101","1.14496096311088","0.530912917064383","-3.94932546618313","-0.336168089307299","-1.11699755880107","-4.04705790129381","-3.14354284428009","-4.02433691469283","-3.06121889915155","3.07277093635742","1.68917707638603","-4.23197217391148","-3.00113238012213","7.1636941261693","-0.19044623305988","3.49632491430797","1.32313587282434","-1.36743596669628","-3.69881455225278","0.273179750877142","1.16196697080333","5.34003501314593","3.45688071427558","-1.99300211712715","-0.559032423337347","3.81107803642155","-1.47537563429331","-0.755538706055951","-4.54981000713111","-3.37559250157514","-7.22626544559862","-1.85916814126831","1.0754165214069","5.31975848327876","1.35249253157381","-3.42214057774167","6.23226426075726","-3.0517463075249","3.95891554200284","0.911823741719877","3.40651484382845","1.65319685731301","-6.08553366439682","-1.12789811521527","4.60843096020017","0.145961396512865","6.70383871245782","3.38235047267851","-1.19106848369033","-6.88339463101569","-4.68462952603228","-8.95607918221266","-4.00146643062424","-0.506232392493587","-5.18586760773815","2.49798887126959","0.187014799526197","-3.15318185947625","1.02001196171389","3.87939596810654","-6.99409928955949","-9.34792615061679","-0.885633773873161","3.71506295294098","-5.61896886219676","-1.04094166773613","5.67055234676186","-4.86621927949152","-2.17228796570116","1.6197519770689","-8.59574348398056","1.8630085213799","-0.514542751805963","-2.22264291119022","3.44881601959986","-5.23182028960561","3.00568868792603","2.96072472140581","0.577861053410541","-0.87962776183678","-7.72898658309883","4.80748417850333","0.120909992408887","1.03634923483682","-2.86890692696429","-1.50092067073553","6.5470723203935","-2.15098323315791","-9.92495592491881","0.790330467478731"
"Random_MITF_27_0005","-3.11410291784588","2.15786114059444","5.52900475743826","3.06594249012837","4.80752002762141","2.22345039677241","5.24337999820329","-12.9407098289544","-2.6519685081918","-0.115521751665629","-3.55975724126519","-1.0182996484165","-0.424986266477237","6.84943105317691","-1.25524207764116","3.0741096879372","6.17544010005606","-4.68447812856115","0.433469085431967","0.807702170872607","-4.39875932604081","6.74455507376695","-2.00050947558286","0.0237017187729917","2.23726243105563","1.28549254528619","0.345553790750664","-3.60536038621573","-0.599314306796735","-0.922701813647245","-3.77836565604843","-2.97939819621977","-4.03081075330984","-3.05044117996407","3.11575319809593","1.81603540486751","-4.1589840651515","-3.1396824307195","6.86516117557535","0.208330648405062","3.25113922064654","1.48961143458701","-1.1544393533231","-3.49366160385092","0.0369389051742306","0.977192645545265","4.97736790029818","3.25310536003233","-1.7298481840738","-0.656846391488375","3.41800764940467","-1.18524570953797","-0.643121437322028","-4.55518632667772","-3.5468901692302","-7.12307225948634","-2.15874458514665","1.15046842777352","5.10780425709481","1.14192622666434","-3.05702480013857","5.79346737121294","-2.76018753970282","3.62507397801943","1.19346874439465","3.35840131326239","1.65484753011207","-5.70529453525254","-1.00636149158887","4.37005583665212","-0.159770416231549","6.50481082455422","3.24775706433649","-0.959701669137145","-6.8731405865154","-4.33319064935356","-9.0926489300702","-4.02390354619491","-0.23621333363515","-5.24643666500922","2.29772160781338","0.22951907777161","-2.96360255522562","0.712933510723462","3.55555920276221","-6.55232747344476","-9.16806388921554","-0.670549940222503","3.43033703010031","-5.72248755645836","-1.20307190623545","5.2722913367264","-4.99973855362184","-2.29679216530696","1.34170751053243","-8.34360166118415","1.62530614339087","-0.183854235741716","-2.32400557447983","3.44893588321058","-4.95885301149518","2.83876471398476","2.74396654823172","0.971937306302388","-0.496859055079658","-7.62777276788541","4.61241485784725","0.363912961558224","0.739966266552942","-2.71721301077308","-1.70124422194401","6.19181297976915","-1.835005517892","-9.7149467589872","0.842460953907089"
"Random_MITF_27_0006","-3.22775016814811","2.17800809738853","5.58507982822426","3.02983438973166","4.80947100053797","1.99836327722329","5.22076123596401","-12.8232215464236","-2.67979781453411","-0.327549184358923","-3.74034292544498","-1.15156855597442","-0.659934263310259","6.98660207107088","-1.48262098002441","2.92079874641467","6.27810940843216","-4.57399094434436","0.164792643072262","0.796530172274682","-4.22216793238273","6.8268431378331","-2.13634017887878","0.13484792163646","2.32394737377277","1.15806797467835","0.368102885537672","-3.87783429350127","-0.610071345206357","-1.07562235568638","-3.81178618787466","-3.11844070854796","-4.03502803346739","-2.76222097300348","3.08541113130452","1.60276432757582","-4.04302601292012","-3.07551653702652","6.88684387470592","-0.0251842244970252","3.28430404047502","1.23942674148115","-1.27353601070557","-3.66938953029778","0.00149075509942964","0.891153083408851","5.17916627266693","3.30231157724564","-1.90702747858469","-0.410983062477669","3.677793804319","-1.29531887604811","-0.717556523618247","-4.43023951144042","-3.45128272578849","-7.04054055027518","-2.04056135763463","1.13479984800604","5.1932718121871","1.36583634251355","-3.02212513819193","5.84618546800432","-2.78975898388319","3.77140987838502","1.04278559263703","3.43231527704599","1.70934755290719","-5.82698582724735","-1.13652895950028","4.35728653925381","-0.159718982319039","6.66292314790614","3.23775701071813","-1.13943882944012","-6.81898552742925","-4.42456447120207","-9.20632318616437","-3.80509234637483","-0.490610503527538","-4.89961384219169","2.45228574550633","0.0302114869587832","-3.06151138470102","0.715582244310191","3.75912795370842","-6.72697016060086","-9.16426518828605","-0.781577277405833","3.5866459033245","-5.53987235225998","-1.10071570152811","5.28918270529154","-4.80639178495927","-2.39748859650566","1.25551610252433","-8.5956724967406","1.6897240034249","-0.365248373136635","-2.21109685676448","3.37498295981928","-5.16560656162224","2.95731136473013","2.87565865049833","0.639843450011816","-0.725524887668166","-7.50114189249625","4.80539642861487","0.142144516376991","1.02684496312736","-2.71685197376608","-1.43208160370763","6.3554018444096","-1.82772911291843","-9.66787376608118","0.768279772530499"
"Random_MITF_27_0007","-3.06986085901482","2.2048906000354","5.62562852210552","3.1584016524495","4.81676166911115","2.10670914151864","5.09133623609978","-12.9486069509079","-2.84264044791437","-0.195730900038748","-3.6519093409561","-1.07065799304919","-0.517888823048703","6.95664169427701","-1.28454706902161","3.08992748375342","6.32838366010607","-4.69973587468766","0.373304981035544","0.857598372981422","-4.44538586721112","6.8719954359369","-1.93722809701366","0.0435225454311475","2.29912555415612","1.11817705562468","0.352681751458465","-3.68276818382763","-0.57006245649768","-0.847212999989903","-3.84123708572769","-3.03381969661729","-4.04002682988678","-3.04554600357297","3.1278260138809","1.73694129213001","-4.28052845313418","-3.29520621683149","6.93594768439479","0.0808511685661652","3.26005964405945","1.56254497629222","-1.17592183816105","-3.51430607414553","0.00985552083649368","0.8299736207956","5.09559965034218","3.23938320068802","-1.98293727093918","-0.62459774120497","3.47475353227117","-1.2762648327866","-0.620177585617236","-4.52225791503088","-3.54096564039321","-7.18742962876032","-2.17089793207445","1.13953666857038","5.06049222247807","1.10252259867624","-3.17568729462158","5.81459882527273","-2.852670275689","3.69626397403325","1.09218643549825","3.35731252371941","1.59640081569932","-5.84174527860652","-0.904687195395828","4.41523014713842","-0.204986478451858","6.65412804032729","3.15566671172759","-1.21504435646333","-6.85858297400237","-4.52876792303504","-9.09147801352009","-4.07526870238543","-0.374564434704095","-5.25005697903011","2.43561736307514","0.265241454204376","-3.00845760069001","0.741985474808818","3.70057072095","-6.68118095367532","-9.1749920127746","-0.698184575149358","3.45146223839463","-5.75087192836145","-1.21839176968927","5.36797856080212","-4.93786161974489","-2.28581119137567","1.41216230861321","-8.54985541739924","1.69763109746464","-0.28779830583317","-2.36898953623885","3.49763042044696","-5.05950259726789","3.02238451750228","2.86639049019101","0.781882504517845","-0.770238496594239","-7.57289682875432","4.64734166774695","0.414897595710553","0.790604291626459","-2.67458028525412","-1.62900560123076","6.22453500026133","-1.97654680831658","-9.62690351115437","0.883082645131247"
"Random_MITF_27_0008","-3.44791788740779","2.33746267761536","5.75664754086529","3.33541592022576","4.92437095404404","1.97178099153134","5.27651581451727","-13.2500688580481","-2.88500705986529","-0.662678101061253","-4.06931495614045","-1.54354486029946","-0.87839140754209","6.97895501423298","-1.75077512042678","3.08036057166362","6.58795898484361","-4.69639600679474","-0.149337645623465","0.859361377614115","-4.29398044183981","7.02082748270022","-2.32491617157197","0.109199127085806","2.52056065949623","1.03624196651815","0.391358370092691","-4.06620080705361","-0.568698989087355","-1.29002986602075","-3.95189936645665","-3.42242729024283","-4.21597432438518","-2.97534496865576","3.10262552921901","1.49547111434805","-4.17368389863484","-3.01651190702776","7.15564037173596","-0.0547169765764729","3.55634644666598","1.13846227378384","-1.3531034075141","-3.80931443693258","0.37231091665174","1.27642126563893","5.21399607338466","3.58830603179022","-2.00253092401298","-0.426223569120413","3.5877556909978","-1.5657170055314","-1.01879917767928","-4.67863455158005","-3.83148136993184","-7.37632886630744","-2.19769667494852","1.10465462760853","5.38382702166311","1.39475462376242","-3.22984126707979","6.06615108338669","-2.90965808707755","3.92519011993412","0.880427301159375","3.53463847293863","1.39193862477854","-5.86669214917681","-1.34307246078055","4.54996635289003","-0.223750640464573","6.75676338171716","3.47558771529696","-1.07291341306425","-6.91861800716843","-4.78037457604677","-9.04507316879615","-3.97662800735177","-0.491220072756749","-5.19915059047973","2.56551938678582","0.0624301180428886","-3.13822522235185","0.975578053457711","3.78105818270111","-6.92549070441292","-9.49805719010482","-0.924531640371942","3.81853865906006","-5.49325792750073","-0.999995867463688","5.38548476940823","-4.92680555570961","-2.14946734987059","1.38453489910088","-8.41994346154519","1.66037991527166","-0.557916364251281","-2.30828853159704","3.36879455273936","-5.25838923192153","2.97144988888726","3.01773929899459","0.648705039516752","-0.69317380820373","-7.63250578039643","4.98004130377218","0.0828943516209358","0.849373776098108","-2.92825282421179","-1.52332353336588","6.58784834453316","-2.04210672715428","-9.81631450280566","0.72880905601079"
"Random_MITF_27_0009","-3.21389347514649","2.30415940502616","5.62527991119717","3.16013926487086","4.83633403181365","2.03709582001619","5.125708535062","-12.8460750202814","-2.88644454539309","-0.361778979130859","-3.7708201616218","-1.18995077948117","-0.586075545901039","6.91421819835915","-1.42054464665396","2.89992713067771","6.28261669444081","-4.82423220104075","0.288856432540229","0.796431346786786","-4.44212776347131","6.78061265641135","-2.08619144331809","-0.0182057102455414","2.35756935241625","1.09069990261374","0.32351344952715","-3.80993156395557","-0.624695675225023","-1.03501984423545","-3.91767163327255","-3.08726902846661","-4.03274734534072","-3.04034335713482","3.15163839329751","1.6638472356632","-4.06715318634682","-3.0211339050364","6.98787113939079","0.0596555698043323","3.30727239227226","1.34070762425677","-1.2589816353181","-3.55333709684154","0.172024669843203","1.02007002388954","5.04722050809464","3.38370903330702","-1.95046768455549","-0.577461779571988","3.55344368576329","-1.35626090466784","-0.755553909177565","-4.61424054757528","-3.56445533595298","-7.1779315987097","-2.19936905937332","1.15817020154878","5.09871546183113","1.1761098699875","-3.1751418532639","5.90532984275044","-2.85197709284275","3.73665909563611","0.933328708922386","3.36833472760118","1.54187252457178","-5.83117703361544","-0.978497854065112","4.35310267572455","-0.103597106724288","6.57761544040657","3.25705546318672","-1.18902752958379","-6.82196002297764","-4.57354088563634","-8.963023185438","-4.01155992242354","-0.403791792317495","-5.01401775052128","2.47996695484465","0.174187148647269","-2.99289561234803","0.864793643673157","3.73868731699947","-6.81018622215866","-9.30985669989948","-0.854923970722112","3.59149943793634","-5.72069546441638","-1.07035194710916","5.23316441340137","-4.78903052548696","-2.13430358092074","1.45840647021459","-8.54054554261435","1.64747795358268","-0.384685210874954","-2.30929285336186","3.48638984889516","-5.08844132752208","2.93810061750531","2.88755835343627","0.708774506933787","-0.806860444312729","-7.64494287091883","4.78098892241527","0.287720901384759","0.831932104577703","-2.76863301646305","-1.54644782955113","6.35600418256108","-2.07435906864366","-9.70150101020992","0.865532105214539"
"Random_MITF_27_0010","-3.05717601589431","2.16836775782661","5.59734135304738","3.19123165952615","4.91663647418106","2.21906746974749","5.3892767048915","-13.1716469693072","-2.84734136525133","-0.280025214267091","-3.72775101462711","-1.17418111452853","-0.524388075311902","6.88664396160869","-1.41126234099308","3.11024604599998","6.32188694259342","-4.67922786338068","0.311373752836036","0.881979469777506","-4.45864369857522","6.78090915291465","-2.02407424255172","-0.0723060465659517","2.40819522289657","1.11014109528469","0.223577176564795","-3.82338732933744","-0.701076875109666","-1.01586960539519","-3.868212872268","-3.10851997568944","-4.09328432950825","-3.01844998811575","3.16628250942999","1.85419396661102","-4.07793590918433","-3.12909449504296","7.02598021233729","0.216072253581758","3.36501591801164","1.48815091671523","-1.3221681115791","-3.51962084201375","0.226161331639772","1.03312600367883","5.17025776461708","3.27657505108316","-1.9290518510967","-0.615360101094474","3.50040476091303","-1.32442435805603","-0.758278696144501","-4.53890704548379","-3.58291996894479","-7.08070066613482","-2.15143677165637","1.16532693608846","5.19562547897804","1.18657010258256","-3.22407824609206","5.9433799772467","-2.78773523943729","3.69814663273316","1.10028708906981","3.45582800350261","1.62763471439426","-5.83061051137267","-0.955852660100533","4.32742321891625","0.00821037117824396","6.64717869630363","3.17734428409197","-1.10399194606062","-6.77430027956763","-4.53247242794478","-9.05063130425187","-4.14763420485689","-0.39631593337595","-5.2101504235082","2.46534690083383","0.272001767661691","-2.93735290507775","0.80252817610484","3.70750362763643","-6.6815899423966","-9.46402998327319","-0.851707983122606","3.61141680764562","-5.6926092367646","-1.12917531533911","5.30679789072754","-5.00331233866577","-2.40141363481853","1.3020525460538","-8.52909328001005","1.5892036729712","-0.254801695133818","-2.40564280393808","3.52662545023791","-5.00251058158719","2.99789697407505","2.89537729229261","0.86278764679135","-0.721159609521561","-7.81381026369793","4.71825109270536","0.436754234215131","0.830314109759884","-2.83000922121457","-1.61733772299078","6.32497576330506","-1.90918014955059","-9.73457425695572","0.935979671543082"
