""	"GATA2"	"PGR"
"result.1"	0.0365684773527617	2.86948242944618e-11
"result.2"	0.03303568280696	4.4557912914911e-11
"result.3"	0.0296295700768723	5.41768852002633e-11
"result.4"	0.0186214898953105	1.46459511185526e-10
"result.5"	0.0430675440322055	3.30633298517569e-11
"result.6"	0.0237750901030538	9.27520282800742e-11
"result.7"	0.0361749786164567	4.28090896065214e-11
"result.8"	0.0147025959167888	1.61754609706577e-10
"result.9"	0.0252172837336548	6.51505516202633e-11
"result.10"	0.0331288347616361	4.13453715708556e-11
"result.11"	0.0240016077406229	9.06716923765316e-11
"result.12"	0.0364793591975845	4.14472900445162e-11
"result.13"	0.0256854791406875	6.41164898951274e-11
"result.14"	0.0244705539043195	6.35995700548619e-11
"result.15"	0.0523530295513519	3.09108294516136e-11
"result.16"	0.0375709342648936	4.23159285389829e-11
"result.17"	0.0236186585454992	8.07856004314544e-11
"result.18"	0.030316296939356	4.80411266323699e-11
"result.19"	0.0271119883843638	5.81485970485573e-11
"result.20"	0.0321872894116995	5.25204324475226e-11
"result.21"	0.0250979119397419	1.10585096635418e-10
"result.22"	0.0319411172190371	4.29658530975985e-11
"result.23"	0.0363465271941625	3.9854342048784e-11
"result.24"	0.0330482919727797	6.95297153185948e-11
"result.25"	0.0305556518306913	7.15418835284254e-11
"result.26"	0.0224479421841053	1.30546462528969e-10
"result.27"	0.0259801968239233	5.11584108409124e-11
"result.28"	0.0196976166854759	1.05445430165219e-10
"result.29"	0.0313123379681735	4.34572378082976e-11
"result.30"	0.0379956488694118	3.95614652148879e-11
"result.31"	0.0226521126919508	1.22927446000176e-10
"result.32"	0.0297405352394475	6.04933880765657e-11
"result.33"	0.0285083463922489	5.85580473000391e-11
"result.34"	0.0545200447283603	2.38360442494923e-11
"result.35"	0.0283307665260604	5.79671866063336e-11
"result.36"	0.0293919501290161	5.6206816978488e-11
"result.37"	0.0166429643303969	1.01754604742155e-10
"result.38"	0.0175887282600384	6.92670365509684e-11
"result.39"	0.018805879720893	7.27706783720805e-11
"result.40"	0.0300321031997657	4.79505324335605e-11
"result.41"	0.0356039431465918	5.06683583978429e-11
"result.42"	0.0311007393345097	6.22308871101040e-11
"result.43"	0.0270007317214478	7.08491043610593e-11
"result.44"	0.0303090525852385	5.51874101972771e-11
"result.45"	0.0313516080843037	6.07227601534532e-11
"result.46"	0.0234543282917163	7.50295381379829e-11
"result.47"	0.0231298810900928	7.02691238529951e-11
"result.48"	0.0329260540076777	4.73174832649192e-11
"result.49"	0.0314368489659129	4.6305403955671e-11
"result.50"	0.0260145037347266	8.08815237007821e-11
"result.51"	0.0244986954751105	4.74127404004321e-11
"result.52"	0.034446944856646	4.85647078107831e-11
"result.53"	0.0270946203684326	7.23809900904371e-11
"result.54"	0.0320707728623189	3.74915654077768e-11
"result.55"	0.0379127413003562	5.5347726402033e-11
"result.56"	0.0185643620818368	1.45978562571258e-10
"result.57"	0.0253620941766275	6.77882194821677e-11
"result.58"	0.0247157744396611	6.43731734584208e-11
"result.59"	0.0441903879357934	2.38851161071807e-11
"result.60"	0.0264543187470285	5.71940272919846e-11
"result.61"	0.0288531488423733	6.22841778152861e-11
"result.62"	0.0311794427644865	5.58546542350769e-11
"result.63"	0.0450421920035708	2.41553443913745e-11
"result.64"	0.0275899635901349	1.04046993243401e-10
"result.65"	0.0300991530598806	6.58568755085298e-11
"result.66"	0.029312433631302	6.33910701708373e-11
"result.67"	0.0178322819639571	1.41370470885249e-10
"result.68"	0.0309162397409533	3.83890697008837e-11
"result.69"	0.0309465967580251	6.10707040493708e-11
"result.70"	0.0369968710433775	4.6681547516414e-11
"result.71"	0.021314429486498	1.03819841612562e-10
"result.72"	0.0391252494801038	4.30036006804357e-11
"result.73"	0.0315259826368024	5.26132470923812e-11
"result.74"	0.0204507805421292	1.05761177593422e-10
"result.75"	0.0264363554655045	6.72564226533723e-11
"result.76"	0.0240839859060329	9.11863917707478e-11
"result.77"	0.0463224090953027	4.21274126694016e-11
"result.78"	0.024084514456185	7.01432245620026e-11
"result.79"	0.0328454643622473	5.33348920583876e-11
"result.80"	0.0420490700764353	4.641176332143e-11
"result.81"	0.028648032733408	6.02160543650143e-11
"result.82"	0.019377105674111	1.44477096952755e-10
"result.83"	0.0275828663573228	5.5700111190049e-11
"result.84"	0.0182520929259875	9.13287223625048e-11
"result.85"	0.0329816707597548	6.35334007625943e-11
"result.86"	0.0161772769557502	1.02748254349194e-10
"result.87"	0.0349185292708674	5.8357096932582e-11
"result.88"	0.0306885943421518	4.86009010813859e-11
"result.89"	0.0219773306651065	7.2168049314314e-11
"result.90"	0.0293846047613293	7.11977143907916e-11
"result.91"	0.039497392812661	3.92952337335828e-11
"result.92"	0.0261775117314862	7.87316878358979e-11
"result.93"	0.0270789861046594	8.32005575546191e-11
"result.94"	0.0332156835752977	4.73170391757094e-11
"result.95"	0.0288125389606873	5.30362420647634e-11
"result.96"	0.0222571613701479	9.59430312974519e-11
"result.97"	0.0292144263409015	5.81794612486419e-11
"result.98"	0.0293139764882806	4.73376893239674e-11
"result.99"	0.020257393991709	8.90796325592191e-11
"result.100"	0.022382050714705	8.99087471140092e-11
"result.101"	0.0237567367394718	8.55047144199261e-11
"result.102"	0.0255991920790901	9.39386346487936e-11
"result.103"	0.0300112138037827	4.51358950215308e-11
"result.104"	0.0272739591441651	8.6058937753819e-11
"result.105"	0.0216611753925064	1.22822196857442e-10
"result.106"	0.0169898402143347	1.46776368836754e-10
"result.107"	0.0258571129657705	8.24109669395057e-11
"result.108"	0.0310157798074584	3.86093379489694e-11
"result.109"	0.0279586018410449	7.61233298618436e-11
"result.110"	0.0283303273447582	7.24780235827893e-11
"result.111"	0.0326812792378059	6.53530562999549e-11
