"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_PTEN_83_0001","-3.14235702610521","2.10820252109532","5.51882288420373","3.02498258914009","4.85994677781023","1.94731127021648","5.18937486718536","-12.9172119835593","-2.9177323236231","-0.4428559466975","-3.94313705961407","-1.16843898814112","-0.518935472710134","6.81064471064924","-1.45147589769252","3.0172184641198","6.05712576309442","-4.75481693206094","0.181728872013677","0.905430212795863","-4.18891603614055","6.63243005617147","-2.17657438346637","0.0878166488665151","2.34354021266321","1.19836795175053","0.475633979136373","-3.95391889901844","-0.550407398096425","-1.13438115509011","-4.11833305508683","-3.16664864448401","-4.1394500652908","-3.05107741814337","3.01681472433844","1.8015308364139","-4.18410260968598","-3.19109343780982","6.86285994872807","-0.0277155579482156","3.2708444990888","1.25706118964267","-1.3437133287181","-3.77141029273148","0.298445776732665","0.833421459143213","4.98940029809787","3.17763172632774","-2.04155989314405","-0.706294706812013","3.53598236082545","-1.25509073719956","-0.708786414328559","-4.36715539674109","-3.46110342197818","-7.00409204484431","-1.88642943493851","1.05463092594416","4.94642901360494","1.17692022238685","-3.32667374365477","5.74814110181565","-3.0053491581503","3.65416906940797","1.10872405292493","3.24972201267905","1.66425768104282","-5.44938115656788","-1.06397533938268","4.39251069426923","-0.119387333165415","6.60178578127981","3.15491954052551","-0.953661730974128","-6.88005660054087","-4.45619024724818","-8.94797047306544","-4.07609017000678","-0.452642734718569","-5.21711403133137","2.3403039525453","0.0923103003728293","-3.21749353752767","0.727201818458009","3.58118600232106","-6.71182383267099","-9.20841889403271","-0.80736824216176","3.34250880981543","-5.65836583990475","-1.23923058378906","5.35022428588905","-5.05353588903032","-2.20323971774462","1.33366325993983","-8.27853795898091","1.86792910954544","-0.512960651687145","-2.2007312514407","3.42736071348925","-5.11944746805129","2.86264040215337","2.77166853986202","0.683302931947528","-0.734116365872504","-7.57692733072096","4.57678686651636","0.111697887606203","0.837145014452642","-2.66783009963881","-1.65559681680023","6.12164369544046","-1.99120891090133","-9.66347308316476","0.685380501165407"
"Random_PTEN_83_0002","-3.26498949335573","2.27277900656006","5.45290712382453","3.10019733919674","4.73925643085847","1.94889590934231","5.23779442016763","-12.9491179704448","-2.87668909684898","-0.476076652453195","-3.94465997552462","-1.32627117526618","-0.866660103445884","6.96533783892437","-1.63849736196272","3.02691194884383","6.36528773253427","-4.62238882516348","-0.0719387190088545","1.05257078688542","-4.44010856719289","6.84815682667889","-2.19885789500955","0.0689033858917618","2.24719188726767","1.28966389418037","0.673299526791863","-3.90946994142034","-0.478477072194042","-1.16064843759284","-3.95376868565524","-3.08557322434508","-3.97424223921305","-2.99997313175066","3.19145285443158","1.4998305944348","-4.31722929632547","-3.05615079523038","7.09073494579051","0.0621953600619556","3.28779854626413","1.22560639132722","-1.0193705980822","-3.76204399679444","-0.00690930421740017","1.24878198495725","5.0616005947218","3.41894401140686","-1.57213681500352","-0.689608857414526","3.37371412038337","-1.54510729057959","-0.815215165703787","-4.33214499168105","-3.31782081245005","-7.30207749027438","-2.20564543929383","1.11583330269902","5.14480583244991","1.41474165958629","-3.36569492144216","5.82378197604243","-2.96291450249858","3.58543860715593","1.03372409422472","3.41425306999463","1.56697915864975","-5.58157276789402","-1.45042441566838","4.32505318176589","-0.00625856820861926","6.71046583098983","3.05008548404676","-0.960214036358964","-7.22899226913078","-4.55663744647967","-9.05158345077345","-3.95428371920604","-0.404751953108521","-5.33207483339124","2.15869091087453","-0.00205007360905988","-3.1759413572184","1.06455029561515","3.62876165139751","-6.93317083882177","-9.32874832038109","-0.720694719297202","3.4815887571106","-5.18256550704616","-1.33308425912014","5.44700342704342","-4.96543097416746","-2.50557400018666","1.5304921744821","-8.43136144263274","1.60673031862211","-0.45052447270341","-2.14902235255807","3.53499366679325","-5.27696522723709","2.86711788236486","2.71479743371964","0.647462850473809","-0.449024691066151","-7.4934351708512","4.77082819633245","0.0666366190776883","0.685804603654304","-2.56352091122946","-1.63465211931468","6.16803421910835","-1.9801681252352","-9.83398292929329","0.721587368019162"
"Random_PTEN_83_0003","-3.26179320860149","2.34700420468409","5.46123151075814","3.12221652082322","4.79108661283257","2.05048236836691","5.00381601724784","-12.6933155589181","-2.89377654288814","-0.405911783410682","-3.74200808505056","-1.33789400262062","-0.670096849021442","7.13648991713947","-1.36052105620932","3.01507353922144","6.58096764807842","-4.79972454975566","0.236243930070412","0.895651167265388","-4.38393803403546","6.9177800578241","-1.90266715063178","0.0906013777988871","2.19226532861973","0.899816481356936","0.422529160006136","-3.68217112390027","-0.671940856700788","-1.00684053341879","-3.85316212681456","-3.19218626080475","-3.85983395458266","-2.96797252771624","3.29413167770867","1.34673357313779","-4.20489157762253","-3.12578098605158","7.14812323590441","0.0817145984565119","3.28915308381257","1.33684277316095","-1.24584105666688","-3.74212825774365","0.0623167877335379","1.24267179503053","5.116853251305","3.36399497305549","-1.84964332903874","-0.634770939181957","3.53570309955633","-1.4807342512279","-0.800535040600638","-4.52348785457355","-3.68576240906662","-7.17507019828805","-2.16093239128647","1.27162130520231","5.21819282786647","1.08473390817261","-3.20224033393307","5.86426486084441","-2.83146277720002","3.77908719285973","1.05768769159103","3.67789039828149","1.46303413364132","-5.71035321625845","-1.2230694498818","4.51294118063341","-0.219918132884694","6.88794966355906","3.39381887569165","-1.2385878598857","-6.84347900397366","-4.59220785923909","-9.03780065928896","-3.91286203007195","-0.623530249483968","-5.32652055083314","2.5332859500785","0.33769046586396","-2.86663477728614","0.821540127286489","3.83886189929448","-6.74961055664505","-9.16936414482753","-0.852615605802504","3.5314721615692","-5.39245137460329","-1.2368464171494","5.55717655017245","-4.78366065789626","-2.22114816286309","1.45062114552455","-8.34423361780212","1.75713394582141","-0.484425722859954","-2.0874438702345","3.63852563086765","-5.10050769087765","3.08765206534088","2.92853547698757","0.754911837077152","-0.720360036865007","-7.74873220096429","4.79023825904239","0.369792660188903","0.71931113521655","-2.81133939707728","-1.51487595121963","6.44046617327343","-2.33449650924158","-9.6815750133971","0.851411719276922"
"Random_PTEN_83_0004","-3.23802261325017","2.16114403460978","5.58111097365045","3.1111413835249","4.67569913404054","2.16649124577894","5.24892622596247","-12.7949507562217","-2.77376469717532","-0.417760880308316","-3.8206444064156","-1.40682847442388","-0.554426411574832","6.7975240541537","-1.40292923526393","2.96824222919001","6.22175331165497","-4.62330075235355","0.117018840218269","1.07380494567645","-4.27287725436895","6.69410924152384","-2.04746193136606","-0.0526379071054598","2.35644413030286","1.17157913169185","0.71452346328917","-3.78817753800181","-0.596075837397799","-1.14027686217449","-3.88436189879666","-3.12088342374637","-4.07987389380597","-3.10216859201848","3.11517039170525","1.62778496606163","-4.05128978022895","-2.90146483619939","6.82212572416931","0.201127412009058","3.43525758439581","1.41545384636967","-1.26103468783591","-3.48803115463872","0.166832346289122","1.15208495371202","4.88511850241178","3.38482044331803","-1.79798820976984","-0.485541493189526","3.37526530438696","-1.48702528888513","-0.876607519641093","-4.31095694088862","-3.65894228316656","-7.01246126397002","-2.11799086209704","1.18810799219616","5.02784425963042","1.39919888933228","-3.23168340472294","5.96796819399349","-2.69634272816448","3.67427555062689","1.04630085864668","3.42854259521426","1.52693798513013","-5.79344612779904","-1.45196634359002","4.28900096628552","-0.083384414001716","6.58180353102243","3.15486818950366","-0.789280703832581","-6.57707750867388","-4.36053736690966","-8.78794542324108","-3.91641963134135","-0.461197030041395","-5.12968182521239","2.34634306915998","0.253816771968966","-2.89243585632947","0.997453964216725","3.64511519944208","-6.72741453782631","-9.04799475847046","-0.905039607392771","3.59653013609705","-5.35102952951109","-0.997241094615495","5.45972360281918","-4.79069605886919","-2.00273753302973","1.46604678351296","-8.28143979050908","1.62857642387227","-0.32083296787129","-2.19363442211584","3.4455131898768","-5.01607782236282","2.97726455707536","2.77728365301218","0.878945967715786","-0.473917608251545","-7.63883651574295","4.60640409334487","0.273712059414776","0.773743322327731","-2.70859016418886","-1.57594255676159","6.15726996425056","-1.81333058601389","-9.52006085112861","1.03283722271208"
"Random_PTEN_83_0005","-3.11144960999087","1.92814815836794","5.22303748526574","2.92055747955071","4.45454535090018","2.37038235315613","4.9788051986699","-12.5367138408049","-2.668296401951","0.00307431935434758","-3.384026773366","-0.924562054275031","-0.40239787891323","6.55656244090347","-1.36432036493799","2.81590310651281","6.23148467939039","-4.59538534828776","0.379981015921865","0.598060151425704","-5.03420989547068","6.52376464356265","-1.73991260448572","-0.220531334333025","2.18421343217832","1.37800840458896","0.0894267112895546","-3.39080124822238","-0.802282502394835","-0.725155929253505","-3.66902001282623","-2.76210973147167","-3.9427845750705","-3.59513037561631","3.02348412393582","1.49113991512156","-4.12266301687633","-3.09918849715747","6.65441317694083","0.264335177553148","2.99797628115816","1.5948851589298","-1.02073440150573","-3.39033377066462","-0.306959338067364","0.995322086018267","4.84504741674852","3.05732833070238","-1.96775911463772","-0.825713010307999","3.22633108831995","-1.13420368191404","-0.441333480582629","-4.44913767598215","-3.44588613638366","-6.83790782859315","-2.41540803085452","1.06342729448664","4.76729356522453","0.905477251826654","-3.08876618391578","5.58093530451984","-2.71046777544694","3.44336400900491","1.16306869240537","3.29611058156245","1.88136594880327","-5.49114768723237","-0.931954474966038","4.06067808706324","-0.406724668560488","6.46090160293736","2.86136609039932","-0.919348667393636","-6.8839101354308","-4.12815784313821","-9.00759558323812","-3.94029506099351","-0.0617892346681022","-5.11198825783478","2.22288314124632","0.408106127120413","-2.90468349843361","0.459006699082749","3.41437603775559","-6.62788408849421","-9.0801168687485","-0.58414043978999","3.15116714207681","-5.70211345660062","-1.29617184089344","4.98095952115319","-5.0988105338838","-2.64100710688536","1.25416035809859","-8.2191038089263","1.31586722064098","-0.12041394817936","-2.32525606939687","3.32766134993633","-4.75052035477084","2.91281087616028","2.46073709883515","0.993344216406279","-0.429723393528294","-7.3827479560012","4.26594268872854","0.444754150076948","0.819390249827151","-2.55764609851558","-1.87752601673002","6.26655893103916","-2.03121954711078","-9.49466266211276","1.0270743107059"
"Random_PTEN_83_0006","-3.09270684207207","2.18306471895549","5.82291228659122","3.2688179959988","5.09716656266799","1.82541567525172","5.060455994586","-13.100787467189","-2.90616629849143","-0.508357640871459","-4.00628727975492","-1.35092321900994","-0.668869854597024","6.97010065280842","-1.65530537273578","3.07477479263708","6.33982221470148","-4.72527391984783","0.00857509936572436","0.96095802335914","-4.38360319785185","6.94411709342868","-2.32022243092543","0.342148789744622","2.52964554659797","1.0735489614603","0.620494120636151","-4.00367688382536","-0.297200780027341","-1.37436431319046","-4.02112657606825","-3.33168618722554","-3.99534897793977","-3.01135481637109","3.16116383056437","1.61988172565621","-4.08801927166822","-3.18302240490128","6.84593503701351","-0.271347942825371","3.56561777970707","1.09249339359386","-1.46936884635143","-3.67182151187612","0.211957798314838","1.06336196023843","5.40552032133463","3.3890128472006","-1.97209671597553","-0.446182662073542","3.73088078859345","-1.58814731061988","-0.98770160761109","-4.65254106865822","-3.71651665724565","-7.10500750298375","-1.93706401535189","1.11915154965709","5.31387632237974","1.42738018456607","-3.28931992443494","6.17088548126945","-3.06903386879246","3.80780851385629","0.713365599016155","3.29995799801255","1.35792359871674","-5.94735691911387","-1.15766571664291","4.53016885662476","-0.0613478725319683","6.66623315379356","3.6010093163901","-1.05780143052723","-6.77391470684744","-4.7420600048479","-9.03802664659333","-3.73827248269953","-0.488737055366522","-5.09386581477567","2.61763074162573","-0.0457862947310186","-3.26126065575002","0.956563871387083","3.74903761825339","-6.65153844268615","-9.15638697825187","-1.00409005483351","3.84163395876861","-5.65696413512703","-0.981877523264196","5.41484390370084","-4.84866462401648","-2.03236342598446","1.5615336121738","-8.42556879264039","1.74329859775118","-0.504116581496409","-2.08621129512259","3.51100793941455","-5.44804918050864","2.96471725011449","3.08789313736899","0.500590022721747","-0.920491575072419","-7.47114834122848","4.87954132371627","-0.0612683734917023","1.02485092264558","-2.80603075741906","-1.47678206856332","6.32737130452479","-1.84316243807752","-9.89777869974412","0.596813908223415"
"Random_PTEN_83_0007","-3.08166486564948","2.08192053730765","5.61043312556998","3.22347683538549","4.90563545056021","1.93762114664097","4.93265730349845","-12.7962511809594","-3.10602676682642","-0.337399672575939","-3.61152639338987","-1.2538101095198","-0.624185309174315","6.91352649407991","-1.35203611265676","3.29122838178144","6.26597833148473","-5.12843079386318","0.246942843665094","1.08323132199742","-4.32758737652737","6.92677722849154","-1.95527529677232","0.173361581380657","2.27294578563956","1.1709787864928","0.467473494603234","-3.57547464645525","-0.352259100519886","-0.950728125256843","-3.99518953198633","-3.15493760799523","-4.04772812332121","-3.25565357807595","3.21313955509372","1.60217753253744","-4.31006388404686","-3.31603290004311","7.05405445239915","-0.0321332106991872","3.32827030520347","1.4822948505731","-1.16813792712208","-3.62425667101894","0.1086097936184","0.906294465018069","5.15669165259912","3.3127822192724","-2.09829081915551","-0.674833932432442","3.5505101588156","-1.20672932603075","-0.685030297807559","-4.3878276431955","-3.62704095324434","-7.31667891729168","-1.93712565481747","1.1084828881799","5.03035892800427","0.92357525703018","-3.42826832191087","5.89670765208349","-2.89612382219954","3.72573032783251","1.04574112895893","3.26390613390724","1.63032181641433","-6.06044420388898","-0.920280806918112","4.59758204186117","-0.060775815631878","6.47078506594476","3.21805314362339","-1.22202371812037","-7.0977532620722","-4.65388058297903","-9.04487034794128","-4.23428999079905","-0.573431204526919","-5.16225135522938","2.34154780953068","0.208445374558471","-3.03977210373125","0.984612511279047","3.86070205076456","-6.89174961667571","-9.20025545666878","-0.774775490796497","3.34069149643457","-5.64522809542961","-1.17000400100233","5.51765474858435","-5.0686954563249","-1.99844499147534","1.60474414980697","-8.955942262046","1.79735439318553","-0.546979101957973","-2.32580674624804","3.61773503106715","-5.1240423889334","3.08243142394417","2.83563373860233","0.728076430643464","-0.884035403725602","-7.64248844209844","4.63560496413511","0.241427688102398","0.740851297385324","-2.73296747006632","-1.68345222567971","6.29233445558813","-2.289624106151","-9.71314103804348","0.879934259492697"
"Random_PTEN_83_0008","-3.05224504776563","2.2199398712049","5.5659092184731","3.33457424235768","4.95321679363017","2.14778598334953","4.8765299086523","-12.6972595544015","-3.0897595946749","-0.280677469181009","-3.58407236620928","-1.25253383831169","-0.628512116174717","7.11867114549043","-1.15793726860999","3.09677637984337","6.46016559395354","-4.62146661975108","0.197317208441818","0.837454805147891","-4.47446181859018","7.02619257521784","-1.7805444288913","0.152190331880343","2.27313612480152","1.00328182128115","0.3924739561292","-3.58952811244105","-0.664685872068529","-0.8697221712736","-3.91190965231334","-3.07139519280512","-4.05235743725908","-3.37618548329888","3.28920637814971","1.77224970324456","-4.4992909407132","-3.25296127011085","7.27795214462541","0.279868010413997","3.37746111002028","1.63505349616595","-1.11375478103551","-3.56869283218663","0.0617767559010965","0.862180291677512","5.18408408099099","3.28907314270786","-2.1160361914385","-0.655646609821929","3.57943948268052","-1.29368455093731","-0.806109728490906","-4.27292433374684","-3.71397092525229","-7.27674566504298","-2.00494020588134","1.26264807089893","5.12814451746047","0.906528420142143","-3.31774123979524","5.67620256971375","-2.74395336443257","3.73384198803237","1.17202978570176","3.5161361932273","1.54975831965973","-5.86626921414949","-1.02207965101764","4.47336277456979","-0.215802337055836","6.89200105892819","3.10803894246855","-1.23396831589886","-6.926859382168","-4.68510673608618","-9.07122765760889","-4.10647609691029","-0.550747812882163","-5.16631015826705","2.66750893332827","0.46165342570401","-2.83743825012011","0.916320385519979","3.91005419147902","-6.89289570037922","-9.16641631918583","-0.814377407409188","3.3228588570481","-5.63805244757053","-1.0632444691607","5.25714032980382","-5.04140995963973","-2.29679320050379","1.70935302876227","-8.44252985004301","1.63541453079379","-0.281517709328182","-2.36777548338012","3.74416548244218","-5.03847755132554","3.30096699691307","3.03210643656471","0.877826636260328","-0.780039980596373","-7.58300045532198","4.67563295927427","0.504966410653384","0.756160974918549","-2.70415805238876","-1.8111337565347","6.31077832212555","-2.35093752932473","-9.59305565415641","1.1629283492419"
"Random_PTEN_83_0009","-3.19829167141563","2.21195520934503","5.73867574212262","3.27073301097868","4.82584447239539","2.03977337846542","5.04209856271568","-13.0361016601885","-2.89374413556015","-0.189874277790348","-3.69252807793303","-1.25334398977185","-0.676966605267266","6.86373325128332","-1.32353446830111","3.04998582913756","6.24059109196146","-4.77349782688879","0.288097694568591","0.871861465607323","-4.25991329094036","6.79480807724328","-1.92721003595699","0.0228677061603005","2.3265606562581","1.01619593099472","0.312520397131462","-3.72375914499145","-0.717641219029346","-1.00000832737948","-3.82813438857271","-3.16777135087688","-4.17362797013744","-2.97858747934348","3.16823537961355","1.55704092277505","-4.14831963567416","-3.18687098810682","6.857339723236","0.1476008347914","3.50560496924258","1.44119068031803","-1.29835795536979","-3.65024617875539","0.256819730860297","0.783974079211705","5.23151466865813","3.35592844594099","-1.78377587433707","-0.511704778066506","3.49844636863516","-1.41770016138869","-0.850052511581184","-4.59440600025491","-3.92827603198993","-7.30555063684672","-2.38312464566368","1.30182861199127","5.23296936518035","1.14428910601633","-3.22963699875673","6.01939658317091","-2.8849799454171","3.82182265552328","1.01574968370609","3.37146361724848","1.4082279935011","-5.92171663026798","-1.15722167551712","4.39316074140103","-0.24819950354969","6.5557271202017","3.16573184378216","-1.37229547369334","-6.73478841320868","-4.59394222279304","-8.83200034651493","-4.1161840862707","-0.395941699752027","-4.94151898278816","2.57155111618246","0.470125630587909","-2.82344009937566","0.938174905325897","3.84108219198629","-6.69051997257418","-9.28364512570374","-0.874319487415075","3.5872821940561","-5.62691323883425","-1.03271793436055","5.2974393206241","-4.81943806660387","-2.1300007758051","1.48054837718951","-8.40089839383184","1.6517119113963","-0.266420288936659","-2.48495239728222","3.51588513013449","-4.98418887009157","3.09633799799292","2.96765119224564","0.808791082663579","-0.830595019043632","-7.70395801016228","4.65942341406828","0.503735928502257","0.76606414751588","-2.86817331958853","-1.50870930163846","6.38537275991983","-2.02233724899542","-9.60106246191741","1.09216210114077"
"Random_PTEN_83_0010","-3.16596952903424","2.06040047241906","5.54506421851146","2.90380535133949","4.7669139826894","2.06078703519835","5.29510005295321","-12.7101535424554","-2.63812536202683","-0.260229233946333","-3.61324054146538","-1.21091063993854","-0.428571086022766","6.73802178839119","-1.27578080774464","2.96123142285538","6.26919783932893","-4.82459756098431","0.221323346291302","0.829265963673803","-4.06545994091616","6.67731185863846","-1.9479361537323","0.0611306766922982","2.17702633682683","1.11782742934841","0.342015301114493","-3.7845581245725","-0.582591075289881","-0.97377047061609","-3.85017102241757","-3.1027875673268","-3.82124232412049","-2.8853317473934","3.27892050950156","1.67638903916249","-4.18542004743483","-2.96192013253439","6.76558553442566","-0.00874273196849736","3.25397488374946","1.40282358621165","-1.40033718701116","-3.49520999201103","0.107894658219439","0.9537403915857","5.01382261068349","3.15945193010577","-2.03646032599888","-0.613906164464068","3.52730629071202","-1.24941554739478","-0.574620530788297","-4.35910534923158","-3.37191281486932","-6.89959589243207","-2.04739126974983","1.21054009264745","4.93533518144828","1.17435594613914","-3.32764954810354","5.77126500651744","-2.86337440260406","3.71138334493793","1.11613927631193","3.33482586064365","1.64306111995626","-5.68430300989181","-1.1890560890109","4.24085773152031","0.0513072111518447","6.51970108161391","3.00240695389069","-1.08600021206399","-6.74144526133781","-4.43859601709402","-8.91079745529395","-3.84409425115933","-0.295469723028264","-5.06465527479861","2.26734930598204","0.286788380058369","-3.11515819122239","0.684354815020956","3.63455813581197","-6.44295728892222","-9.10194350883364","-0.831314317288161","3.44239285422478","-5.54975164897667","-1.20124931554753","5.25809322964756","-4.86208614428003","-2.38364483946071","1.40247967818166","-8.31903638142056","1.61134828832869","-0.312635245771515","-2.19810274563503","3.67353703774049","-4.79186952276872","2.90458200136849","2.72150960970279","0.744143628130759","-0.791455456471088","-7.36628918702367","4.59985823253107","0.336777229945493","0.783020313025673","-2.85746609577457","-1.59140150542207","6.1479447028528","-1.94542282723566","-9.56546529074057","0.873032578568544"
