""	"GATA2"	"PGR"
"result.1"	0.0264693332171375	8.6787688147183e-11
"result.2"	0.0227861264955525	9.22419918225614e-11
"result.3"	0.0234101846918664	6.70925537349376e-11
"result.4"	0.0269570902411231	6.15634210276994e-11
"result.5"	0.0607663058041077	1.28479449301722e-11
"result.6"	0.0126540266010002	2.38522979145728e-10
"result.7"	0.0311517308077753	6.1685989649618e-11
"result.8"	0.0341386286032963	3.99933419714671e-11
"result.9"	0.0304387050400619	4.8360648818857e-11
"result.10"	0.0290025014299953	4.907763084816e-11
"result.11"	0.0415265557399132	3.0912605808453e-11
"result.12"	0.0417189410746022	3.41151551452867e-11
"result.13"	0.0162470479664767	1.63306701495003e-10
"result.14"	0.0619418252650057	2.35422792371764e-11
"result.15"	0.0409522685651842	3.48332473976143e-11
"result.16"	0.0205022261444958	1.6343371100902e-10
"result.17"	0.0358399121722088	3.69126951227372e-11
"result.18"	0.0187517301450109	1.16664677918266e-10
"result.19"	0.032204809596649	3.5536018572202e-11
"result.20"	0.0243725868090774	6.55440146601904e-11
"result.21"	0.0275032260964367	7.09532432807691e-11
"result.22"	0.0327926237096088	6.46236397727762e-11
"result.23"	0.0133779770558011	2.56442422852388e-10
"result.24"	0.0269170470094051	5.97177862715625e-11
"result.25"	0.0241617214008376	8.78512818047739e-11
"result.26"	0.0302417852099894	5.6781246371429e-11
"result.27"	0.0413835479056859	3.65498742382897e-11
"result.28"	0.0327911703118773	5.29505328472624e-11
"result.29"	0.0206424181581613	1.77145631496956e-10
"result.30"	0.0118867306486807	3.20124149411072e-10
"result.31"	0.0215333705284735	8.50981507483084e-11
"result.32"	0.012293491729807	1.94363192207447e-10
"result.33"	0.0225106236859516	6.79492018207384e-11
"result.34"	0.0290019966740918	7.00604019243656e-11
"result.35"	0.0380096594958566	4.91855445261535e-11
"result.36"	0.0317580316084209	7.09601266635218e-11
"result.37"	0.0549208768699949	1.58062452015884e-11
"result.38"	0.0424011398941615	2.3647306335306e-11
"result.39"	0.0387258916632249	2.94040347625923e-11
"result.40"	0.0302551408508258	6.376810191e-11
"result.41"	0.0204414964106707	1.63812741149627e-10
"result.42"	0.0220461828042042	1.67858393851361e-10
"result.43"	0.0216886675664063	6.44753139766863e-11
"result.44"	0.0168675872603055	1.30104593765168e-10
"result.45"	0.0343270484343075	3.1155522606241e-11
"result.46"	0.0495986080142061	2.37476704967321e-11
"result.47"	0.0283267656923514	6.14792661224328e-11
"result.48"	0.0338601573409123	4.68516336837865e-11
"result.49"	0.0286738226693009	1.09416031790488e-10
"result.50"	0.0445345993970141	2.24671392601294e-11
"result.51"	0.0537775900224329	2.75235390034823e-11
"result.52"	0.0303344362107079	4.33917346498447e-11
"result.53"	0.044798403196697	2.79432033067906e-11
"result.54"	0.0333007066933642	6.61186660977364e-11
"result.55"	0.0347682581773228	6.26594331976094e-11
"result.56"	0.0426510068554962	1.85227388982412e-11
"result.57"	0.0287264724294294	9.85456161117781e-11
"result.58"	0.0141736318097205	1.97264427015398e-10
"result.59"	0.0172934624197341	9.28543908429447e-11
"result.60"	0.0324147241678805	6.85507206554803e-11
"result.61"	0.0407384337667374	2.74356093399319e-11
"result.62"	0.0382666569877987	3.04829494979231e-11
"result.63"	0.0354111410527789	4.59987603562695e-11
"result.64"	0.0476053900946649	4.98263652559672e-11
"result.65"	0.0131433535848358	1.64597890872642e-10
"result.66"	0.0237697323715012	7.78219710895200e-11
"result.67"	0.0358316105967804	4.19166923393277e-11
"result.68"	0.0306699019661412	1.01840980093471e-10
"result.69"	0.0133561151144459	4.70758765303003e-10
"result.70"	0.0254270457135777	6.44722053522173e-11
"result.71"	0.0282597465686114	4.19391188444251e-11
"result.72"	0.0184486137587883	8.64792681909421e-11
"result.73"	0.0250097588256901	5.97641935939919e-11
"result.74"	0.0343733857039552	2.29225527448307e-11
"result.75"	0.0244839667267722	1.20361054456453e-10
"result.76"	0.0272930639743236	6.36901642536714e-11
"result.77"	0.0179542114668272	9.88551462910436e-11
"result.78"	0.0199173202212659	1.22846177674774e-10
"result.79"	0.0214722495113251	7.47115702637302e-11
"result.80"	0.0398836064718588	4.26612078996413e-11
"result.81"	0.023233657927779	8.16495759892177e-11
"result.82"	0.025940182063001	6.52171650017408e-11
"result.83"	0.0242216693015356	8.21120949012766e-11
"result.84"	0.0296578425493008	5.89921445026675e-11
"result.85"	0.0231672189812531	1.28970611967816e-10
"result.86"	0.030352132972443	3.77489151048849e-11
"result.87"	0.0129659613022557	1.09023456928981e-10
"result.88"	0.041089513892514	3.85667053848238e-11
"result.89"	0.016586119963645	1.1915446407329e-10
"result.90"	0.0221807581234865	6.0622840081237e-11
"result.91"	0.0617228349544381	1.2421841333321e-11
"result.92"	0.0209583672055498	1.30754740368388e-10
"result.93"	0.0263265964883033	5.06228392538333e-11
"result.94"	0.0426014539069743	3.64315244638647e-11
"result.95"	0.0249286892768514	7.08781922043045e-11
"result.96"	0.0430831035353429	3.84803300335079e-11
"result.97"	0.0513616502229253	2.06248351730665e-11
"result.98"	0.0262056251459815	6.64934773908499e-11
"result.99"	0.0251482139388277	1.02320152350899e-10
"result.100"	0.0184644444944071	1.3434986456673e-10
"result.101"	0.0294279341382604	3.11595194091296e-11
"result.102"	0.0268814105278266	7.81303910457609e-11
"result.103"	0.0296219532661348	8.59490256743811e-11
"result.104"	0.0243305789250885	7.9359185889416e-11
"result.105"	0.0320040473107344	7.53475060122355e-11
"result.106"	0.0192221503350765	1.07483133504616e-10
"result.107"	0.0210887891478733	6.68434196882117e-11
"result.108"	0.0330530425277396	4.02267108512433e-11
"result.109"	0.0505596638305763	2.51125786832063e-11
"result.110"	0.0283489452890422	6.45212772099057e-11
"result.111"	0.0393340875391506	3.74977826567147e-11
"result.112"	0.0233430382760047	6.3489880020029e-11
"result.113"	0.0238312359686919	7.84021736421892e-11
"result.114"	0.0252653671363356	7.58277884926883e-11
"result.115"	0.0280053404068634	5.6553206562171e-11
"result.116"	0.0266827584440796	8.25197687959189e-11
"result.117"	0.033031190878684	6.48978648598586e-11
"result.118"	0.0387597029982125	5.47581979759570e-11
"result.119"	0.00784401250587896	4.90875340375396e-10
"result.120"	0.0156769954885996	1.54372292726634e-10
"result.121"	0.0182291912943897	7.18676229638504e-11
"result.122"	0.00634618227632644	2.18108420213525e-10
"result.123"	0.0124916278649794	2.57214693988317e-10
"result.124"	0.0261089541499424	3.13018500008866e-11
"result.125"	0.0219852805312304	1.62888147414719e-10
"result.126"	0.00996728191284291	4.18281853598046e-10
"result.127"	0.0304804320943877	2.46118680991003e-11
"result.128"	0.028745053646106	4.05111499901523e-11
"result.129"	0.0378958860647804	4.62332394590703e-11
"result.130"	0.0435551633775322	1.54862789258914e-11
"result.131"	0.0723421368838115	1.8576695737238e-11
"result.132"	0.066532721201533	1.57047708171376e-11
"result.133"	0.0507184061250583	2.41884290375083e-11
"result.134"	0.0402466743931857	3.10005354720033e-11
"result.135"	0.0186095945679832	1.05790487481272e-10
"result.136"	0.0299057122138315	1.00091046562056e-10
"result.137"	0.0193656876242594	1.17432952251306e-10
"result.138"	0.0351212846455293	2.87909696083943e-11
"result.139"	0.0321190345759461	4.2807313249682e-11
"result.140"	0.0141625366068383	1.41711087309204e-10
"result.141"	0.0224092119690971	6.95878910050851e-11
"result.142"	0.0352748510243281	5.38542543893072e-11
"result.143"	0.0296617362954512	5.8697491311932e-11
"result.144"	0.033932646224291	8.7391871517184e-11
"result.145"	0.0132023196499578	1.42203138153718e-10
"result.146"	0.015351434548442	1.76204828505888e-10
"result.147"	0.0239433079004114	7.56981144434121e-11
"result.148"	0.0306584575145004	5.98816551899972e-11
"result.149"	0.0246320712355557	1.23755672376546e-10
"result.150"	0.030544863786099	4.93785012878334e-11
"result.151"	0.0394694495697596	2.74784639486825e-11
"result.152"	0.0362389628618658	7.0159877907372e-11
"result.153"	0.0167150454044183	1.38031808205596e-10
"result.154"	0.0231947213601509	1.09489084465508e-10
"result.155"	0.0198598378821659	7.40090211337474e-11
"result.156"	0.0113643916540109	4.12191392129557e-10
"result.157"	0.0328842715194237	6.62725430089495e-11
"result.158"	0.0282203953556095	4.47093473354698e-11
"result.159"	0.0269023234374615	5.56688029007546e-11
"result.160"	0.024113508696632	4.41797709527236e-11
"result.161"	0.0383956038215514	2.53617127299322e-11
"result.162"	0.0267280439485655	6.67308430735147e-11
"result.163"	0.0285206503740298	6.34883257077945e-11
"result.164"	0.0228263390963586	7.20541404319874e-11
"result.165"	0.0401821941411389	3.12783132727645e-11
"result.166"	0.0235270112601667	5.57740520434891e-11
"result.167"	0.0347475912765811	4.00950384005228e-11
"result.168"	0.0346555441888015	2.50122145217802e-11
"result.169"	0.0152192830815205	2.1298518504409e-10
"result.170"	0.0130766362858186	2.54204213234743e-10
"result.171"	0.017297981891258	1.3101586482378e-10
"result.172"	0.0154636610363257	1.5965739841306e-10
"result.173"	0.0407895205884179	3.976263762695e-11
"result.174"	0.0400548015285933	4.69555505588914e-11
"result.175"	0.0422508972473112	4.50668391493991e-11
"result.176"	0.0313349820348934	4.37212488435534e-11
"result.177"	0.0248162567680519	1.07112096969786e-10
"result.178"	0.0306595263586462	5.20290477368235e-11
"result.179"	0.0331600406326216	6.75424161045157e-11
"result.180"	0.0251051327539908	4.14097645062839e-11
"result.181"	0.0260579424043255	8.19544432317798e-11
"result.182"	0.0218198279644195	8.1411766217343e-11
"result.183"	0.0417703910475542	2.67141864185305e-11
"result.184"	0.0314263450403482	2.23177032410149e-11
"result.185"	0.026131981510118	4.79631889760412e-11
"result.186"	0.0335234299923952	9.72528724219046e-11
"result.187"	0.0287314100092684	4.68063365843818e-11
"result.188"	0.0498369727456003	2.20405915740685e-11
"result.189"	0.020470222073625	1.8496493225939e-10
"result.190"	0.0198371998818661	1.10486952920041e-10
"result.191"	0.0269624321619186	9.85775905348873e-11
"result.192"	0.0227966251403016	5.8194116192567e-11
"result.193"	0.049547876163635	4.21847001774722e-11
"result.194"	0.0342120471081271	3.38800099086711e-11
"result.195"	0.0518112900123664	4.49351666986786e-11
"result.196"	0.0475992578662421	1.83344450732648e-11
"result.197"	0.0137919163067348	2.32102337349716e-10
"result.198"	0.01671709929368	1.1731771110135e-10
"result.199"	0.0267434451611726	3.23430171533801e-11
"result.200"	0.0502834653155244	2.31124008820416e-11
"result.201"	0.0286512677934037	6.16191542235356e-11
"result.202"	0.015093426141203	3.05655722954157e-10
"result.203"	0.0183265623670728	8.80280293102942e-11
"result.204"	0.0275341725019196	6.29072349767057e-11
"result.205"	0.0366473531335585	3.66391361694696e-11
"result.206"	0.0471744573883803	3.31039640144581e-11
"result.207"	0.0188196485369683	1.06880504446849e-10
"result.208"	0.026240106578947	7.18998194315645e-11
"result.209"	0.0430833271093285	3.01685343373492e-11
"result.210"	0.0548122325277438	1.21826992938168e-11
"result.211"	0.00967129126520327	1.64146252146224e-10
"result.212"	0.0301436784377405	8.4136697608983e-11
"result.213"	0.022312382552361	1.04149355806271e-10
"result.214"	0.0119955904342526	1.71902714285466e-10
"result.215"	0.0284691018142196	5.01272356956406e-11
"result.216"	0.0313785570250007	5.3040460912257e-11
"result.217"	0.0408797475481979	3.89070997641738e-11
"result.218"	0.0378544050335474	2.79234413369522e-11
"result.219"	0.0268210101851225	4.74058570176794e-11
"result.220"	0.0317916201802735	6.42401687400707e-11
"result.221"	0.0406526000342491	3.24515969651884e-11
"result.222"	0.0371260491511722	4.3536063643046e-11
"result.223"	0.0538904345183988	3.46946915641411e-11
"result.224"	0.0496245633314456	2.92921242817101e-11
"result.225"	0.0217723501274247	5.10642639284242e-11
"result.226"	0.0294722055429442	7.26916304927272e-11
"result.227"	0.0163963554831248	2.11273887273933e-10
"result.228"	0.0452744944517549	2.77946554660957e-11
"result.229"	0.0429512808332402	2.03854710889573e-11
"result.230"	0.0384209924437535	5.87994097855926e-11
"result.231"	0.0338124184987878	3.58224561125553e-11
"result.232"	0.0167618225199644	8.52660164696317e-11
"result.233"	0.0145981115510923	1.71774816593029e-10
"result.234"	0.0117037256143866	3.2643687752909e-10
"result.235"	0.0459324343572731	2.4106494578291e-11
"result.236"	0.0475870490040267	5.16668929861908e-11
"result.237"	0.0310123700042644	5.92439430846525e-11
"result.238"	0.0189046669878288	9.83260139975073e-11
"result.239"	0.0236660002469871	1.10913722650707e-10
"result.240"	0.0392897171272757	6.39885922026906e-11
"result.241"	0.0233517087997621	8.20725709615999e-11
"result.242"	0.0159315440103844	1.41942013698326e-10
"result.243"	0.0212988489337742	5.96027671662114e-11
"result.244"	0.0442689636773312	2.81312750871621e-11
"result.245"	0.0319593204848816	7.32918170598396e-11
"result.246"	0.0192021943304805	1.19093179762331e-10
"result.247"	0.0296928724802208	6.48563425187376e-11
"result.248"	0.0359861540680955	5.38433742036659e-11
"result.249"	0.0279845751687007	4.88933338260722e-11
"result.250"	0.0363733199644598	5.22988319318074e-11
"result.251"	0.0267546218233699	5.52584644708531e-11
"result.252"	0.013114768378637	2.60819144060065e-10
"result.253"	0.0077983762417595	5.3253668141906e-10
"result.254"	0.0253492158632063	8.55158166501724e-11
"result.255"	0.0289767324669952	3.2692737406137e-11
"result.256"	0.0143310546182887	1.96535232532824e-10
"result.257"	0.0309910441390209	7.85955744930789e-11
"result.258"	0.0350350107786017	4.83939555095958e-11
"result.259"	0.0513265575115311	1.97697413995002e-11
"result.260"	0.0429494932675667	4.16562340177506e-11
"result.261"	0.0138341442583314	1.29930510794907e-10
"result.262"	0.0301210255827378	5.24691401437849e-11
"result.263"	0.0468936517160952	1.76905157189822e-11
"result.264"	0.0345967088294377	5.2605031441999e-11
"result.265"	0.0208366123142167	1.1414824641065e-10
"result.266"	0.044671669263715	3.03892466746447e-11
"result.267"	0.0432889046065417	2.31010766071904e-11
"result.268"	0.0494968694863522	1.7910339877858e-11
"result.269"	0.019270859046193	4.99693619815389e-11
"result.270"	0.0235836118363653	8.34234903379638e-11
"result.271"	0.0572331140758315	2.15636397626895e-11
"result.272"	0.0569982125965423	1.35629285580308e-11
"result.273"	0.029899937795431	4.4676262689336e-11
"result.274"	0.0428476015691706	4.47930581515266e-11
"result.275"	0.0277932570964496	7.74458275287770e-11
"result.276"	0.0207718472749492	9.34947674835485e-11
"result.277"	0.0317764129839784	3.13662429363148e-11
"result.278"	0.0265301884224096	3.89313026261107e-11
"result.279"	0.0198308482355296	1.52475143622155e-10
"result.280"	0.0169724614771842	9.2246210670055e-11
"result.281"	0.0311870944585628	4.99111862950485e-11
"result.282"	0.0143420830312226	2.84172685383055e-10
"result.283"	0.0351828151302414	5.45739009538693e-11
"result.284"	0.0170774678654078	2.50405030044476e-10
"result.285"	0.0148112252514245	1.19475318527407e-10
"result.286"	0.0231551976629447	7.6418205097184e-11
"result.287"	0.0217736293988464	6.98141544575037e-11
"result.288"	0.0174715899582696	2.09108730331309e-10
"result.289"	0.0237082304399352	6.37982999762698e-11
"result.290"	0.0384143599776716	3.11137782205151e-11
"result.291"	0.034881476507348	2.93975954690495e-11
"result.292"	0.0410952185818627	2.58253418650156e-11
"result.293"	0.0415963608437486	5.63022961586057e-11
"result.294"	0.0229148749116663	1.23693277842563e-10
"result.295"	0.0256470639158413	1.16268550343079e-10
"result.296"	0.0201254667945352	1.21029852806487e-10
"result.297"	0.0189651733550056	1.86034521121314e-10
"result.298"	0.0163381960131712	1.27264421223572e-10
"result.299"	0.0572261401485201	2.80360179516492e-11
"result.300"	0.0324702896370561	5.7029936328945e-11
"result.301"	0.0274650226005948	7.73461295011657e-11
"result.302"	0.0381596775918323	1.6381784817554e-11
"result.303"	0.0260546556132863	5.11037878681009e-11
"result.304"	0.0246008544767378	9.82405268246112e-11
"result.305"	0.0343463973376485	5.3096638197303e-11
"result.306"	0.0379056861711704	3.01652036682754e-11
"result.307"	0.0167444898869733	1.40725431307942e-10
"result.308"	0.0253832352869596	6.70576927319644e-11
"result.309"	0.0174426906860243	1.28536292720582e-10
"result.310"	0.0285306187784304	8.31088531327850e-11
"result.311"	0.0678508758165732	1.88951077007005e-11
"result.312"	0.0269313127084116	7.29223348372443e-11
"result.313"	0.035253020122455	4.70117278439375e-11
"result.314"	0.0532862266723069	2.07762695936253e-11
"result.315"	0.0233212605603799	6.94269086665145e-11
"result.316"	0.0404139009090687	4.647127127555e-11
"result.317"	0.0176306593035449	2.29605001678124e-10
"result.318"	0.0273542518120971	5.57065504835919e-11
"result.319"	0.0668083818820688	1.37763134233637e-11
"result.320"	0.0456329830842339	2.73900901959223e-11
"result.321"	0.0271059379783314	8.12672151795368e-11
"result.322"	0.0409554644949901	2.31292762720159e-11
"result.323"	0.0359030939603486	6.15543171988975e-11
"result.324"	0.0251851021317262	6.88029633266751e-11
"result.325"	0.0289657640906404	5.53808110481668e-11
"result.326"	0.0195405441056036	1.58833168839578e-10
"result.327"	0.0290395178053242	3.57116558546977e-11
"result.328"	0.0500428831136215	2.29212204772011e-11
"result.329"	0.0238867140599848	5.0274229224101e-11
"result.330"	0.0553376337773255	2.25255369912247e-11
