"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_RUNX3_20_0001","-3.2132434428121","2.18623314981163","5.68059940639466","3.23316120550764","4.9279576471223","1.89739414442553","5.10925048507045","-13.108914010904","-2.90498686331679","-0.40507795808942","-3.97145811455925","-1.26497267766324","-0.733773026708316","6.90721502325907","-1.46720663015267","3.00585340198642","6.50382578901044","-4.66934335287147","0.144788123953984","0.791660299725896","-4.38552012112655","6.95737315759468","-2.18518826063042","0.107924867685094","2.5331490765593","1.07121982791238","0.307296005772127","-3.95652890630371","-0.438050231802082","-1.13601952108737","-4.03950591116689","-3.34090764631984","-4.16581102973147","-2.95899068088717","3.18846765924847","1.53999749887464","-4.14290233281172","-3.13515559607804","7.10841003332336","-0.0950962263558325","3.35531430638872","1.21927459626198","-1.34002887888518","-3.73131498164234","0.10337829843215","1.01751286242891","5.25300388902917","3.42380631963648","-2.15438610415782","-0.416454719290253","3.61764924481419","-1.471960515766","-0.919357905389881","-4.48995515737317","-3.62193132612164","-7.24615737540269","-2.07803650028008","1.23427368527566","5.17396205878688","1.05537040473314","-3.1327037869359","5.92118752357281","-2.8697443642905","3.76083631353739","0.920991748227087","3.5259398361154","1.39565582407182","-5.82640681402051","-1.05032676385561","4.48407720065735","-0.240832398478872","6.72634513418435","3.30406553827347","-1.24493172490391","-6.85418696073471","-4.62575603746615","-9.15416718944689","-3.96894911081889","-0.536798379019239","-5.113802033659","2.57094676161299","0.0512945347396576","-3.11687379976895","0.883719525326299","3.79206020691039","-6.76248213150396","-9.36944387512687","-0.957203730551939","3.59700916880825","-5.51613514574991","-1.03560213623515","5.32554010909311","-4.94988858489343","-2.24096107078614","1.43570185033968","-8.47351442332779","1.65352770102615","-0.517355391295397","-2.34222490692263","3.54146322971644","-5.27785399120428","3.10688187784053","2.94171377908378","0.547086124423013","-0.736968090633714","-7.53688539873502","4.83429147185755","0.146339189173906","0.898232606556846","-2.86297836438476","-1.5182762796202","6.4013051708426","-1.97847978954791","-9.7189629194885","0.744494197901147"
"Random_RUNX3_20_0002","-3.2173869881422","2.15452332596991","5.64634285048356","3.18317094323532","4.94787267347051","2.05023939995683","5.19263008369101","-12.8839502481693","-2.83461230380009","-0.314677893631371","-3.74217835969827","-1.21207204883955","-0.585979653721239","6.87586024794133","-1.42386315135523","3.04184881287911","6.26948906939144","-4.69983324695535","0.161684323923455","0.807476567618458","-4.40313258990231","6.8837945795946","-2.06745320088532","0.0997446146856167","2.41192203316285","1.04113319280425","0.268194397232159","-3.76692341559985","-0.658570910379248","-1.06374527338681","-3.83290244545435","-3.17590363055948","-4.11437761104777","-3.04557070591175","3.19124135021908","1.62681901652797","-4.21651586591141","-3.09957659422877","6.94049850980591","-0.00185004773996456","3.36271628048871","1.33042268135571","-1.29763615996207","-3.59436700767703","0.0844577844492311","0.954306899968221","5.27548686239952","3.38988156944917","-1.87206207877747","-0.454348348561966","3.59761385128065","-1.41032910603596","-0.79583198730633","-4.55313399106242","-3.64477584971745","-7.1803935961854","-2.10524297899098","1.23721816885784","5.23905679144938","1.11677357721237","-3.14183347600629","5.97176581067265","-2.80631498567583","3.77986339622261","0.998324205136267","3.34549813140412","1.51788571820688","-5.85172149191867","-1.07047661305372","4.41629780344708","-0.212866690953283","6.59902728907392","3.27039469506244","-1.15040725033821","-6.78126931486952","-4.58516800568312","-9.03651949116348","-3.91202236952871","-0.439133542458532","-5.0902410561253","2.56755073722112","0.137381992420621","-2.95860212672797","0.868908789300332","3.75719255662988","-6.69953840471695","-9.30999258455512","-0.861442959883773","3.60052968136114","-5.63540729598684","-0.95463929744937","5.34080832948798","-4.88737650892105","-2.29476839327168","1.37676743565438","-8.53631350295267","1.70912270949472","-0.402086024589096","-2.37805557795017","3.50396146474844","-5.01567265830637","2.953737615362","2.94144116961503","0.74731165764143","-0.824539993707214","-7.63847931121552","4.7824764101281","0.262315360825733","0.820110532130105","-2.81322700860351","-1.62746427553344","6.42523333078681","-2.10331218080689","-9.62053577589866","0.84850129708561"
"Random_RUNX3_20_0003","-3.12561928342845","2.14488183463016","5.63721289516463","3.11697623405619","4.87099625684146","2.10267338929866","5.36596843442904","-13.0869632412376","-2.81087753413359","-0.321944863858753","-3.8031595933617","-1.2614097452744","-0.637130094525366","6.95806682838097","-1.48320784593888","3.17899344623399","6.34536222889951","-4.74942110252339","0.256887078275569","1.00140061325451","-4.33957610235294","6.89070334858308","-2.08677360893084","0.126373737182923","2.27819140686155","1.26188396258501","0.448154156796612","-3.84420348717112","-0.525612126301987","-1.08685200336618","-3.85538444843534","-3.08035919923726","-4.15172775154194","-3.00575256448602","3.10497786609325","1.75205581651047","-4.29241198612949","-3.11231157287837","7.06661743495281","0.189554082076246","3.35052082212733","1.39579812106084","-1.09141765008511","-3.60098807601088","0.0901992681326563","1.11677755527368","5.08223459955598","3.28771373542494","-1.75291813440741","-0.71273111236084","3.46537034259684","-1.41566841298226","-0.737158701703305","-4.51794099440278","-3.52821880097804","-7.22155924543041","-2.27583606678245","1.09920651669496","5.10838146625032","1.28312234203284","-3.22080161968974","5.90524226818547","-2.9619829701777","3.65549756396533","1.11071564397486","3.37542224463616","1.63180003405821","-5.85594333562693","-1.22035472690784","4.42062195329402","-0.0604851943074314","6.63514796938158","3.19556177911535","-0.982087844829921","-6.79320365991355","-4.50831759716534","-8.99477284924857","-4.1431952432019","-0.387567655003145","-5.27886123002762","2.36936386820591","0.176259977518207","-3.11128548029588","0.873653524539712","3.69331257757274","-6.87344834049829","-9.27443013397707","-0.776495240466286","3.51233696619644","-5.53437477195721","-1.22121574378731","5.5145244021052","-4.99595062117277","-2.21337320124624","1.43368836770651","-8.42952790336571","1.70576891302747","-0.380709209701378","-2.36139870365637","3.43346626888985","-5.08895924975982","2.92547403955087","2.79423134051016","0.835185457516757","-0.539435782746709","-7.68871192869414","4.69525051358216","0.250092059644566","0.725445770014582","-2.74264719169688","-1.67942364400003","6.26836894196602","-2.0353346337456","-9.78941190406369","0.842911732499143"
"Random_RUNX3_20_0004","-3.17752871406313","2.13916452069614","5.6764997986638","3.24905818866132","4.87215029898037","2.27445581565409","5.12433147205683","-13.4350134058847","-2.79737417179317","-0.194076798133671","-3.7114983059106","-1.13992547991546","-0.57880215269726","7.03563555547769","-1.34997590888232","3.00599481586599","6.47823675218567","-4.68777895375651","0.29072203081799","0.843625182396321","-4.55291952887858","6.93107431251218","-1.91872951263075","0.114370488186064","2.32601216860019","1.27062349669992","0.386883738466863","-3.70019444631219","-0.554588260204609","-0.9561305953051","-3.81326006579956","-3.19018565729628","-4.0621840042971","-3.17864797011394","3.20012562332352","1.64520432011985","-4.3804853178145","-3.27795760884351","7.13283604184404","0.260853672693649","3.350994886062","1.43693147014143","-1.14859693980458","-3.52387061299441","0.0778503920353081","1.13516134590061","5.18191050305504","3.47766366767069","-1.93417571049085","-0.584729978881885","3.51076157230479","-1.32493270501967","-0.732013735199389","-4.60361580662449","-3.72364234431636","-7.35011145604964","-2.29644738509471","1.22945153540219","5.18198546282957","1.18365347140801","-3.22844489034776","5.95505493985635","-2.88248428939523","3.67747187827014","1.2086530979691","3.46575887919033","1.5606310211225","-5.74652887266643","-1.09068314184753","4.44708374235734","-0.168233534361083","6.77442347048563","3.30545976661639","-1.15928239468172","-7.01349071871371","-4.54168084948705","-9.23550943766487","-4.14500746146715","-0.340727910931858","-5.33535857052207","2.43917447916749","0.340045114508857","-3.00456663925619","0.845381859673616","3.712354417323","-6.84489065884799","-9.41612620362198","-0.793227505019161","3.56700327122674","-5.54039198596304","-1.19674656297523","5.45688232534529","-5.17523038661445","-2.26531308954326","1.38667979159878","-8.4983012455378","1.66796087904598","-0.290817656581264","-2.3983575105794","3.54453261943096","-5.12114033175871","3.00345326208339","2.88513103289044","0.956741668020309","-0.461275495151698","-7.88884782941327","4.795641580866","0.423607576648299","0.741752900615269","-2.71203314947298","-1.75349096312072","6.41912571863157","-1.94345678320778","-9.80280160567033","0.938176530857294"
"Random_RUNX3_20_0005","-3.12153466977746","2.16325615093933","5.58758309337033","3.2649266089331","4.81294822299709","2.06245138302046","5.18115903779735","-12.8657116043703","-2.77767127469397","-0.429662623926167","-3.83982759667812","-1.35281127264879","-0.75193863032556","6.77425688637961","-1.52873377047297","2.95395331724033","6.2948934834821","-4.58631999973741","0.042438317409488","0.776366570641627","-4.35872772334884","6.84626463178936","-2.19373669190138","-0.0422167383677787","2.56857372863131","1.03691859362041","0.288342500945101","-3.88397613159408","-0.631044986109087","-1.11758141714136","-3.78782370164833","-3.24241133799422","-4.19414917297023","-3.01593512754541","3.00190580660862","1.60447128596199","-4.09325463504443","-2.89786736520976","6.96431516632582","0.0202938112765157","3.32311660292913","1.23509690947033","-1.34030622143441","-3.55494677331429","0.164682509499407","1.08267824600422","5.0215833460758","3.47911485004291","-1.95971389545279","-0.353171280857624","3.52185105699368","-1.41907936567678","-0.896182440962141","-4.46531620917768","-3.72361420496196","-7.15161937807808","-2.04877079576897","1.06190083190356","5.22501885082394","1.13644314279362","-3.01433213812367","5.94431283400648","-2.76161767167672","3.68273823795622","0.928432360714776","3.28606636148447","1.47284000133899","-5.83896169368604","-1.0895578193898","4.38569188578596","-0.244643970303173","6.63498500409358","3.25040839662136","-0.936389758950203","-6.78220869565652","-4.61851459386915","-8.84935550312963","-3.86217959764887","-0.30752279644071","-5.08995558267204","2.60518427352343","0.0199369329909236","-2.99219426117673","0.936951716631108","3.77352060688539","-6.65734928811991","-9.22078903571195","-0.875802780621575","3.64810595823275","-5.52433725430254","-0.87045819970834","5.27273464397738","-4.84941175188342","-2.26236571440846","1.32352321846031","-8.33019255199922","1.53378630468854","-0.36812275624078","-2.38243207824081","3.28822805563502","-4.98590713101153","2.85690480848514","3.0170799304878","0.72049217795906","-0.785416625725393","-7.50993022369079","4.91412154063365","0.172746125783257","0.898558760093629","-2.82145522793681","-1.59496045425641","6.44868642450166","-1.97304763062445","-9.58321391167155","0.872006955509674"
"Random_RUNX3_20_0006","-3.12068334372362","2.28644091553205","5.63008254628896","3.34454462688457","4.86524100343088","2.0905122429672","5.19652697096366","-12.8868592646303","-2.93469024417172","-0.35852046955137","-3.73625674582504","-1.25063875352821","-0.670137474511056","7.05895320796287","-1.39437841563878","3.10586419384199","6.44271189498678","-4.65268625039057","0.21016575499415","0.911853461526842","-4.45744312057308","7.02110256731264","-1.9962089687811","0.00530752587718439","2.44792338647217","1.04548504368735","0.379812126506206","-3.79040383584827","-0.623915364804632","-1.00208766123709","-3.92631654758868","-3.23179680120988","-4.13009481857129","-3.03407265191097","3.16867189454536","1.57097490703129","-4.19372635128529","-3.1137617552635","7.16231151497614","0.146615266238266","3.43216906741359","1.42422992760758","-1.20747159113576","-3.51479460970719","0.169790462167971","1.01950731606719","5.1684918356762","3.43723008679332","-2.0136568580053","-0.486104773193174","3.55276138833548","-1.4340659555837","-0.786113022709552","-4.56762136929953","-3.76311416087151","-7.26405120492191","-2.20369493902809","1.15636791348219","5.34507201484328","1.00129114902153","-3.09861226245238","6.00208906752563","-2.69170671310208","3.78367108470961","1.07247418120486","3.43586982463371","1.4555225002745","-5.87073833885746","-0.980947318670476","4.54202709460536","-0.149712181913282","6.80479291932255","3.3773256164314","-1.04132109159466","-6.78657798304103","-4.64114892984081","-8.90543769418291","-4.07497043346082","-0.441463510201423","-5.19116966641444","2.72721011560675","0.270975394241702","-2.89655913403715","0.899322814313775","3.99429463718219","-6.71562968389323","-9.18706722692911","-0.789138162278165","3.59172372428841","-5.66662855193373","-0.945573559970591","5.32781436779608","-4.86917721927161","-2.25520167910194","1.4018401954634","-8.50583187423079","1.6757966599167","-0.364081783402565","-2.39420324888113","3.51336979044482","-5.05857824551742","3.03247752454325","3.1038084288408","0.748558220656177","-0.698132151257596","-7.64685958402808","4.84694536132602","0.329259743735056","0.827074893052136","-2.82696937899255","-1.57907781886583","6.439642697384","-2.12153281668785","-9.63159108516455","1.02123734981725"
"Random_RUNX3_20_0007","-3.06481693643024","2.22471062558867","5.73703039547404","3.30919848232045","5.00882592037791","1.99932432117724","5.22042823448718","-12.9468488719862","-2.95122922518853","-0.411117118348381","-3.86499731270397","-1.25628638191893","-0.661917858346922","6.98617604645173","-1.46748433026785","3.24689063465579","6.27039176624214","-4.84294962539359","0.219224772780476","1.00157917036105","-4.24657403603922","6.96577130417852","-2.1105610612661","0.21154762233681","2.41938782663101","1.02760073108077","0.46524310987395","-3.87173992817094","-0.261081445614558","-1.07855412163474","-4.05632002860473","-3.24968637324801","-4.16676425820036","-2.96651371805074","2.98941048713477","1.69724259219301","-4.32192477558356","-3.16514103918907","7.07644318238956","0.0369775524355634","3.44046980907284","1.37181124031948","-1.31402295679018","-3.60883535808858","0.221938039476432","0.960482424839547","5.27642918532715","3.38870069907972","-1.96936500854281","-0.518197548358892","3.68746646495828","-1.37477844794849","-0.807746366019323","-4.36032840662484","-3.71506411637064","-7.20805023251314","-1.93416383973129","0.994615672311457","5.25823530974776","1.09035467227045","-3.31467689454343","5.98775866729319","-2.93824019228255","3.77686271277434","1.11948794956748","3.24125760872928","1.52219856472854","-5.90648655737551","-1.03895063694814","4.54933729664862","-0.0633806473144794","6.63806392551192","3.33297682976225","-1.06890032005987","-6.83644952445315","-4.55152979122093","-9.00615212132647","-3.92925957753237","-0.499142992579311","-5.25328594228956","2.48635137836562","0.118266230098204","-3.15743244740847","0.974199134716435","3.81903343552448","-6.7186587781306","-9.2466282230605","-0.803887371952277","3.595340376084","-5.65668966334986","-1.0938957575049","5.47761466590766","-4.95204777900302","-2.17633728023987","1.59513842836146","-8.57721982070875","1.74437998944516","-0.507072773190761","-2.24115167895441","3.40725292093817","-5.19441121240224","2.86917251850582","2.96735383971123","0.729111099513959","-0.807008203836221","-7.50712360537362","4.74840630579535","0.218787076432992","0.846607328155331","-2.73312252486275","-1.62088250661936","6.32934619467607","-1.96010799118556","-9.67567727123638","0.7978433855372"
"Random_RUNX3_20_0008","-3.16305997996207","2.18089934167905","5.58211552462306","3.20672178547657","4.84687375358636","2.08351938492141","5.13402730337189","-12.9615147425783","-2.7901585418285","-0.322155066958569","-3.73587759764471","-1.1959565374316","-0.673400670134081","6.82638330939406","-1.46930820958318","3.03534951546882","6.42993602850057","-4.65016038087749","0.199387370266453","0.867627094834439","-4.3896661308709","6.78913459775222","-2.03240087235271","0.0856839418052404","2.36703325873415","1.08361435616496","0.34780690384385","-3.77738086987895","-0.5524100271947","-1.04078062543281","-3.79747112469958","-3.15997468121069","-4.0480841638576","-3.05056647059079","3.17168085142397","1.62479641116457","-4.1795320347792","-3.04753193120149","6.93206488692403","0.0201156304278504","3.33821065495921","1.35624491031108","-1.32014392568637","-3.61794893980749","0.191995959394348","1.04114327281674","5.09425699277304","3.31294377894841","-1.92011187668735","-0.492412929845946","3.51015897230054","-1.3781694190402","-0.785622411775046","-4.51992920315953","-3.56305330809666","-7.12275044099407","-2.03206004910351","1.20595433286637","5.08103757376983","1.07007216214342","-3.1727985719849","5.82841450761328","-2.88521752938186","3.70732336218605","1.06258380933504","3.48241249065345","1.55708468200247","-5.84114313828784","-1.04599892570057","4.36935857594698","-0.145855434931752","6.59560402987906","3.29210010585026","-1.18959432609524","-6.78826917090424","-4.56090781507786","-9.01792401940197","-3.88444163203784","-0.451103654780007","-5.16197871101077","2.50710228874136","0.184189741816386","-3.0452009870772","0.798880151125994","3.73453672470988","-6.73180846953188","-9.15721632927831","-0.831713708371822","3.52020504418049","-5.64001988603087","-1.08551112649834","5.38867382369669","-4.83796828692701","-2.16198755068329","1.36404790856317","-8.53715401650648","1.72490609170773","-0.402485739164504","-2.23822308723837","3.51015020915547","-5.00987815097004","3.08206297882374","2.87553725041024","0.71693807780483","-0.773418283549","-7.56115616237187","4.72581982338656","0.243359495488472","0.809538648956069","-2.75528983910114","-1.54075485457032","6.33838155898245","-2.02275190492992","-9.6447019733869","0.840844736770995"
"Random_RUNX3_20_0009","-3.31804912762516","2.36342653744809","5.83331504158381","3.24726354104503","4.94786015484711","2.22514796233194","5.04795894163371","-13.1571389426119","-2.81930374318275","-0.245903726601117","-3.67347890538038","-1.14336619851553","-0.541357466397262","7.07635996623303","-1.23118740326372","3.04364682736862","6.45706132995541","-4.77329915060033","0.309235346358002","0.789205925424066","-4.29899410221597","6.96077967369733","-1.90246098511555","0.019548936475391","2.34372278844219","1.17757086987037","0.276991750020492","-3.70528863788805","-0.523555486850555","-0.968750733296858","-3.85307300409411","-3.14080408942469","-4.01353536676851","-3.19449368493032","3.39232853414088","1.61651568150843","-4.16654856917946","-3.12804766578186","7.09119651473207","0.136098303142914","3.42215407923285","1.44486860129073","-1.15448704204347","-3.53913690466076","0.0135186960907038","0.97835462345995","5.1942954346976","3.45957904224039","-1.85726794975188","-0.519224072433527","3.61526499751044","-1.39834673140937","-0.690523095696397","-4.67769802633935","-3.81696055156524","-7.14147034028474","-2.33992632031756","1.35728228816517","5.30401525656047","1.10064742090709","-3.21757748689764","6.0025253167172","-2.80056902788628","3.77460542121673","1.07102925598839","3.5753182350037","1.40642501202703","-5.82073671597884","-1.05573618143196","4.4301111195494","-0.246311404781267","6.68652629575134","3.22113734692471","-1.27995318394303","-6.88598905647711","-4.56453160276244","-9.09486107926966","-3.95778170745107","-0.352294933544019","-5.16170366120262","2.58659322832952","0.280576848540334","-3.01645262228597","0.709564516934658","3.7594003521026","-6.68358604630786","-9.39456790986609","-0.778282390443741","3.62929459265262","-5.58547456958115","-1.07893616321418","5.29664997228998","-4.91318185327605","-2.4556241869251","1.44269093641209","-8.49332214603337","1.70588060002732","-0.266750478691774","-2.3467908856694","3.74241257836242","-4.97425574285796","3.17950701115597","3.00595531304553","0.849901118590109","-0.668345997229435","-7.61096515114093","4.70953741913886","0.409061859143942","0.752576492230628","-2.79878075872135","-1.5454427291774","6.49290767327222","-1.89653372501908","-9.68056844741039","0.964928206125909"
"Random_RUNX3_20_0010","-3.13730336541708","2.184026124658","5.54238495691826","3.12899237815297","4.91259183158766","1.97424520149832","5.01199724613919","-12.7951847667042","-2.82488107212592","-0.254173441929276","-3.69985558346028","-1.12181233773915","-0.611641783304013","6.87267469411753","-1.39080910589383","3.09450768291473","6.26415435045871","-4.68088206496122","0.198353709593751","0.970324375940563","-4.29657592904146","6.87845643314543","-2.07345101600496","0.147960695154727","2.28362423631522","1.16465081632369","0.374688377044072","-3.71946096342359","-0.593236441805014","-0.967293992778547","-3.91458118341539","-3.15498397484211","-4.01357575103659","-2.90739159799841","3.0387870969419","1.64613157385615","-4.18138393944364","-3.24844934164702","6.90238458953965","-0.007977737937867","3.33947371253856","1.398297981232","-1.19819306755707","-3.47539586746111","0.136011346732128","0.955877655903509","5.16266301074583","3.28807531465638","-1.85540391307723","-0.561186456928201","3.55820832484771","-1.20568024894895","-0.680944048254177","-4.51497912101508","-3.49985857783831","-7.0233117521394","-2.00893181933719","1.09176775058084","5.11926926882839","1.09858836217893","-3.1057123230305","5.8222893003395","-2.90529541906089","3.71715254751938","1.03791421680244","3.28267702484916","1.5970517223998","-5.7487428194773","-1.00355152232886","4.45220646870549","-0.139594778492877","6.59031005838796","3.18447526930884","-1.15832482031768","-6.95225055934694","-4.40271512338161","-8.95186480337698","-3.93688028420271","-0.502667775988049","-5.21277062676144","2.43848763395058","0.0818053447347217","-3.12274885685216","0.811993860342665","3.71424153787504","-6.62253914043059","-9.14224540040802","-0.708524197951038","3.50560497537093","-5.69357966712719","-1.15045857520095","5.43768773849223","-4.98371158779673","-2.32721706987941","1.47458244759405","-8.4649612827776","1.7767793577979","-0.465061552300044","-2.2192798161707","3.42632984363996","-5.08117917784358","2.83484008888063","2.87280341969018","0.716984201010428","-0.743402916985989","-7.44833224954131","4.71305940322069","0.184997339234477","0.770817873246991","-2.72701932411565","-1.59991025428026","6.25263390942078","-1.89194892114172","-9.57515318058803","0.680309309565852"
