""	"GATA2"	"PGR"
"result.1"	0.01698557798621	1.11497922006265e-10
"result.2"	0.0246366191572054	7.20152826261256e-11
"result.3"	0.0305716841765111	5.82065506904428e-11
"result.4"	0.0367818464946841	3.88638010662135e-11
"result.5"	0.0210998840349272	9.60069801436703e-11
"result.6"	0.0257393198670053	6.69651001317106e-11
"result.7"	0.0248924271615252	1.12620579528766e-10
"result.8"	0.0238932068482056	6.80766554239653e-11
"result.9"	0.0269206109883415	4.37132552377761e-11
"result.10"	0.0279886838098518	8.22770740427359e-11
"result.11"	0.0272264851003292	8.46480663341254e-11
"result.12"	0.037169405450491	3.93260979336674e-11
"result.13"	0.0313543771971418	5.439404482388e-11
"result.14"	0.0246882150527128	8.23880963451984e-11
"result.15"	0.031777536984104	5.04440933468686e-11
"result.16"	0.0399813915273826	4.54039028596753e-11
"result.17"	0.0249184172591947	7.83111353541699e-11
"result.18"	0.034758429557578	6.02018435102991e-11
"result.19"	0.0292935508816865	6.03337380056246e-11
"result.20"	0.0295061590840113	7.22590876023332e-11
"result.21"	0.0212864063910378	1.10990328039406e-10
"result.22"	0.0391154739694073	4.02087252382444e-11
"result.23"	0.0302973311308885	5.64712721029537e-11
"result.24"	0.0403599376433139	5.89472914924727e-11
"result.25"	0.0242360922132911	8.20519208133419e-11
"result.26"	0.0271971195217517	6.75459688181945e-11
"result.27"	0.0221667864890249	8.03790367598367e-11
"result.28"	0.0293050591216562	6.25941520837614e-11
"result.29"	0.0216811652118754	1.16877618694389e-10
"result.30"	0.0212011022090663	1.247093539547e-10
"result.31"	0.0401255131660778	3.40987238445223e-11
"result.32"	0.0271930484050893	7.15183468003033e-11
"result.33"	0.0256856072664511	9.64588409146927e-11
"result.34"	0.0408023726796403	4.82904827237007e-11
"result.35"	0.0333997215307293	5.46180878302494e-11
"result.36"	0.0325332708744406	7.05850933258034e-11
"result.37"	0.0359283519846703	5.18109999347871e-11
"result.38"	0.0273105695174733	7.50717266129186e-11
"result.39"	0.0334768731472799	3.85380616307884e-11
"result.40"	0.0261262457567568	5.85200776725969e-11
"result.41"	0.0368416421472966	3.88189480560186e-11
"result.42"	0.0328557919203238	6.46025455353083e-11
"result.43"	0.0218130819487008	8.98492391598893e-11
"result.44"	0.0306863147699403	5.49942313909924e-11
"result.45"	0.0248148152132663	8.23527912530153e-11
"result.46"	0.015361720843333	1.62458713148794e-10
"result.47"	0.0202732283144069	1.01196162560768e-10
"result.48"	0.0304742990272548	5.90505422337628e-11
"result.49"	0.0325721078223327	5.42297318162355e-11
"result.50"	0.0188375484825016	1.5352630278187e-10
"result.51"	0.032499574764743	4.90345541948045e-11
"result.52"	0.031445204259541	6.89470702752715e-11
"result.53"	0.017554570406026	1.95642169131816e-10
"result.54"	0.0222095826320532	9.71580593756016e-11
"result.55"	0.0374229313990599	4.56668036719066e-11
"result.56"	0.0306877035139261	6.65780763853263e-11
"result.57"	0.0208271998741489	1.59797064469558e-10
"result.58"	0.0298082390905343	6.06925620871834e-11
"result.59"	0.0326071148775258	5.54445378497803e-11
"result.60"	0.0302859058760092	4.76594319565038e-11
"result.61"	0.0268553421395374	7.84301512624097e-11
"result.62"	0.0418504243720368	4.37452296608853e-11
"result.63"	0.0410679879977618	3.68958197327629e-11
"result.64"	0.0281288483952415	7.50042250530214e-11
"result.65"	0.0241182156911683	6.51629861181391e-11
"result.66"	0.0434589768348026	2.87025958556342e-11
"result.67"	0.0261359758707844	7.29689642042786e-11
"result.68"	0.0374708705805022	4.38533653834838e-11
"result.69"	0.019614000941454	8.17896861349254e-11
"result.70"	0.0302499367657061	6.40807407137345e-11
"result.71"	0.0402985035369268	3.82291975853377e-11
"result.72"	0.029150477380965	6.93387569583592e-11
"result.73"	0.0310093282625232	4.51569892589987e-11
"result.74"	0.0302313460436856	6.36752872651414e-11
"result.75"	0.0348823425236398	5.17159648438792e-11
"result.76"	0.0561342907981102	1.36264333150393e-11
"result.77"	0.0312916894884496	3.54911655620072e-11
"result.78"	0.0296837051000027	5.88937787426858e-11
"result.79"	0.0293433446151954	6.34070573823919e-11
"result.80"	0.0295756757735399	5.55981927163884e-11
"result.81"	0.0327732786649408	5.02176078498451e-11
"result.82"	0.0299086003649454	6.51896314707301e-11
"result.83"	0.0312722844235449	5.49209566713671e-11
"result.84"	0.0264476384980481	7.2544192875057e-11
"result.85"	0.0283788276960848	6.28694873938684e-11
"result.86"	0.02853499852097	6.45727915582484e-11
"result.87"	0.0279783795902777	6.53455067833875e-11
"result.88"	0.0162054149535031	1.56664237138671e-10
"result.89"	0.024485848666479	7.89956988711538e-11
"result.90"	0.0496955111359547	2.3259172365897e-11
"result.91"	0.0265245004988168	9.72466551729667e-11
"result.92"	0.0339590380636989	6.0148774849722e-11
"result.93"	0.0270424822729609	7.94075916132897e-11
"result.94"	0.0268834203638286	6.40760777770311e-11
"result.95"	0.0255530040878993	6.95581370280252e-11
"result.96"	0.02974679193865	5.0123016848147e-11
"result.97"	0.0199963446550067	9.01592134283646e-11
"result.98"	0.0206542358290187	7.85334020036998e-11
"result.99"	0.0310691558115457	5.64042146322663e-11
"result.100"	0.0387616497063012	3.33009175790266e-11
"result.101"	0.0415674832590707	2.69668731789352e-11
"result.102"	0.0309707277314026	5.10114173124521e-11
"result.103"	0.0286095891803624	6.58968435374163e-11
"result.104"	0.0397259317317757	3.0423885633013e-11
"result.105"	0.029868138919833	6.15212325527636e-11
"result.106"	0.0453361562411358	3.20337090187195e-11
"result.107"	0.0232349246178865	9.26168031156749e-11
"result.108"	0.0225010742055893	1.12838849375407e-10
"result.109"	0.0397056121530324	2.42348363599376e-11
"result.110"	0.0362784153577111	4.98898700129757e-11
"result.111"	0.0329293342942454	6.70863364859997e-11
"result.112"	0.0311987020654778	5.87845327970626e-11
"result.113"	0.0205056163265709	9.38256139448868e-11
"result.114"	0.031513744028101	5.68383118348947e-11
"result.115"	0.0260081407727799	6.98212598848613e-11
"result.116"	0.0364968403713488	4.65798510873583e-11
"result.117"	0.028310179028284	4.86677365074684e-11
"result.118"	0.0323354846199493	4.34166036455963e-11
"result.119"	0.028580987066162	6.12079276152144e-11
"result.120"	0.0400086411598992	3.55431239995596e-11
"result.121"	0.0296144798784668	6.54549747736155e-11
"result.122"	0.0265767875749454	7.62587770708478e-11
"result.123"	0.030360148490465	5.80813175332651e-11
"result.124"	0.0355730500024902	5.48727729920984e-11
"result.125"	0.019840162042347	1.62328150921098e-10
"result.126"	0.0298827021165686	5.29449817321392e-11
"result.127"	0.0304908070989696	5.18300957708107e-11
"result.128"	0.0204330596868381	1.17345910766176e-10
"result.129"	0.0266082216734362	7.39019956341735e-11
"result.130"	0.0373699290073735	4.62505589382545e-11
"result.131"	0.0141538536549926	2.1373947056702e-10
"result.132"	0.0215483564194316	7.22397697217048e-11
"result.133"	0.0316381092332783	5.33504351807323e-11
"result.134"	0.0430113315157659	3.4976244123186e-11
"result.135"	0.0359011955653799	4.66571226098722e-11
"result.136"	0.0199775529187303	1.15665477196103e-10
"result.137"	0.0305119494356285	5.92468296645166e-11
"result.138"	0.0369693122394912	5.35176347682409e-11
"result.139"	0.0350691579721001	6.2337690565073e-11
"result.140"	0.0312983210844291	5.19491116790505e-11
"result.141"	0.0248457330503757	8.17954592946535e-11
"result.142"	0.0239132735311787	7.07807146227424e-11
"result.143"	0.0357270966060113	3.67941233037072e-11
"result.144"	0.0293993281661771	6.29820640085654e-11
"result.145"	0.0271921423759391	7.9077855374976e-11
"result.146"	0.0281414305248957	7.31712468393653e-11
"result.147"	0.0290833828183084	5.83506576390391e-11
"result.148"	0.0282505900654417	6.5589755848805e-11
"result.149"	0.0275071763706793	5.28317389836275e-11
"result.150"	0.0307180183962485	4.24602575321842e-11
"result.151"	0.0289840645147754	5.10831377198429e-11
"result.152"	0.0250342575703435	7.44686534659422e-11
"result.153"	0.0318181821061307	5.77391467970756e-11
"result.154"	0.021389534572509	8.0010886804871e-11
"result.155"	0.0228321868836556	7.12079284426181e-11
"result.156"	0.0171728593748055	1.03985708932441e-10
"result.157"	0.0260891309487852	5.2483573043105e-11
"result.158"	0.0272115197552725	7.86524179119397e-11
"result.159"	0.0340741591964488	4.29889457365107e-11
"result.160"	0.0305394289974483	5.12483389059071e-11
"result.161"	0.0248129087909592	8.00333133099684e-11
"result.162"	0.0331827821139177	3.800026959766e-11
"result.163"	0.0198447944691305	1.32148958442713e-10
"result.164"	0.0281876463263206	7.90405518813486e-11
"result.165"	0.0437503063977749	3.44255735029719e-11
"result.166"	0.0269366277370033	6.59339249864388e-11
"result.167"	0.0387656623110473	4.15962819744209e-11
"result.168"	0.0290627545323847	5.91544591088677e-11
"result.169"	0.027289694135936	5.56419355035587e-11
"result.170"	0.0372505042049711	4.87050400010958e-11
"result.171"	0.0298576097044603	6.70805633262717e-11
"result.172"	0.0304735655273372	5.54389867346572e-11
"result.173"	0.0271235262372516	7.31252836061458e-11
"result.174"	0.025810425732814	5.44542189118147e-11
"result.175"	0.0295305342972412	5.27962118468395e-11
"result.176"	0.0198841344222631	9.3955287994163e-11
"result.177"	0.0256180490607441	5.94742033399598e-11
"result.178"	0.0363693304913439	3.6661562674567e-11
"result.179"	0.0296954409175263	5.98456839639994e-11
"result.180"	0.0360942216895064	4.43616254841572e-11
"result.181"	0.0254030035582138	6.89894807948122e-11
"result.182"	0.0257873348715578	8.72681926722407e-11
"result.183"	0.0279016105438239	7.09781122765207e-11
"result.184"	0.0381021426964396	4.8745896208402e-11
"result.185"	0.0353892302078964	4.49500436872086e-11
"result.186"	0.0277286317872405	7.79052378163669e-11
"result.187"	0.0222979896218884	6.69591049273777e-11
"result.188"	0.0245558038996279	8.31583690796833e-11
