"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_TGFBR1_14_0001","-3.1408638371025","2.09745823502064","5.5670386195271","3.15803808107655","4.87565388514827","2.10416295764631","5.21126432936764","-12.9332410738009","-2.86994631033152","-0.308865303205401","-3.72300337816626","-1.23071285888374","-0.647130965902584","6.90873661718418","-1.42920067836286","3.11485010426565","6.33103567921233","-4.66745988804905","0.242376005537286","0.924517447864662","-4.35662888821264","6.88894213535047","-2.03107383804983","0.110988388219012","2.30115381607237","1.1500292921399","0.335426462216061","-3.77295047197875","-0.52960979010406","-1.0211691365314","-3.88563067229839","-3.1219416967294","-4.09034227428031","-3.01736753612677","3.12415627103239","1.67033214249635","-4.25650080957568","-3.14991047172183","7.03227678796438","0.0743294966468484","3.32534560198997","1.40472839325562","-1.28826985132108","-3.5988376692179","0.0902550972810352","1.07159914873456","5.08513830105918","3.27116518123295","-1.83519516085476","-0.603377705015163","3.52463403076865","-1.31581444816297","-0.743978903553406","-4.49617986174242","-3.52774106570384","-7.26626106484925","-2.14956067831762","1.10600096846221","5.13296160047192","1.17593258701143","-3.19628542938851","5.84019960479713","-2.8954766513443","3.67696650157074","1.17446810918593","3.36631947502369","1.66912692878251","-5.84460945249796","-1.13758497941214","4.42499216831448","-0.140767088966602","6.63705962638004","3.14848123308847","-1.02783682343807","-6.9258226879606","-4.51425919844","-9.01405909031526","-4.10726062584448","-0.424169485206686","-5.18117961020691","2.43523649905267","0.226936259677596","-3.02145343079681","0.871027392025086","3.7534493828335","-6.77193337856009","-9.19730701069092","-0.74903461155757","3.4718626088513","-5.51116560881922","-1.15117867475215","5.43051255301565","-4.9990621547317","-2.25566430117966","1.40456080132799","-8.46602751542903","1.67237556820667","-0.340457421646275","-2.32034198546124","3.46942699373347","-5.03012926101744","2.96365138209502","2.8745394206866","0.811285826280539","-0.655138095284587","-7.62715341686347","4.69806249183147","0.311611209324766","0.80331667325039","-2.78212054108627","-1.66537401373688","6.27125139520453","-2.00435499976207","-9.63893916794949","0.912831595413447"
"Random_TGFBR1_14_0002","-3.1690654631154","2.14868934479614","5.60563491864553","3.17564085637821","4.82761793185504","2.18519395705857","5.40388529691962","-13.1079495406054","-2.68545565423501","-0.282688627220513","-3.7262608039135","-1.18856165760057","-0.554515520285503","6.99498902327998","-1.50922020428883","3.15512580462091","6.32277853323476","-4.8322630270224","0.328508393492609","0.863970734755749","-4.48438017172047","6.90846584428683","-2.06882618800839","-0.0982610898000746","2.31741594589234","1.1728737611242","0.272256215193499","-3.85788980090327","-0.616899232396615","-1.09299656918344","-3.8352647675637","-3.0344851434311","-4.24014752639256","-3.16890944975285","3.13452448410562","1.78061023110695","-4.24617341879327","-3.09867981587143","7.04888297187873","0.107122938408073","3.42513813931152","1.45853777096258","-1.26591184121883","-3.5600251060001","0.150112469749623","1.05383969932017","5.10914269476016","3.45654848020246","-1.69064025931798","-0.694619642014338","3.46349547954761","-1.27019822431543","-0.700187069225182","-4.47379143933678","-3.62674583068994","-7.32588658679728","-2.3370040629313","1.08259421559246","5.18957634722167","1.44453097759135","-3.09709500214158","5.99920471914437","-2.88317503374314","3.65349035748765","1.08776819441805","3.41779844729274","1.57198685058771","-5.88361851726004","-1.03897407775905","4.43061569334101","-0.0395625763031918","6.61134672800846","3.26863341095833","-1.04014962917584","-6.78076143900694","-4.37506871047327","-8.94464238700405","-4.20259039507356","-0.348450833784755","-5.13332098458382","2.49057694795985","0.157580249823636","-3.15358696508212","0.78388896328289","3.78155019520629","-6.76800070270593","-9.40011255043092","-0.818386160722931","3.56036617831306","-5.62947968815517","-1.1373277239944","5.299109874043","-4.86658500298444","-2.33587029608178","1.31568374891116","-8.56817261803171","1.60563589003854","-0.353334117114684","-2.4753546677755","3.47320239397775","-5.05524371225806","3.03519855827204","2.83406330294174","0.835288145827143","-0.59246194195901","-7.67436206967359","4.77080430445986","0.251297360694807","0.685970748079958","-2.85185350812735","-1.68057507228587","6.30914780207669","-1.92196219223628","-9.88421291498005","0.91003857090551"
"Random_TGFBR1_14_0003","-3.14466020408068","2.05382747097644","5.52612341980108","3.01254278798383","4.79933374636397","2.13985649937957","5.2964243774018","-13.0056746976641","-2.6937469570661","-0.25732444765441","-3.72773583051033","-1.15811261587861","-0.536254885023663","6.85022621958815","-1.38329202864257","3.0265315014086","6.38667486749519","-4.73681789063735","0.303363945642247","0.842479360368557","-4.39880774696817","6.79990513607927","-2.00892046092715","-0.010513313085014","2.24946111983224","1.16868507394172","0.315073309744469","-3.7456841500866","-0.590804521558305","-0.913194099018994","-3.78533479121447","-3.05904008156226","-4.0818865022945","-3.09579801698253","3.22135560470051","1.73010084731158","-4.24909614736876","-3.15909469128899","6.94625843539171","0.0974534288742359","3.23621536415648","1.44945371415697","-1.24408591442233","-3.50317468372157","0.0141178057682552","1.01035765703443","5.0653532412165","3.21864234265732","-1.81401257612483","-0.683117599083623","3.42551421453169","-1.27462329245144","-0.651375180384449","-4.54276687035199","-3.69053669585462","-7.15761888071125","-2.18343486720262","1.17327104458784","5.00495414717101","1.15071054981399","-3.13432908163265","5.82466943474735","-2.8534546041906","3.59750523510948","1.12067544237757","3.4532324652764","1.62046709029272","-5.75143110389416","-1.07804905179893","4.36289792810235","-0.165598275042119","6.59666751897142","3.18122432814914","-1.08728403977228","-6.84017038809242","-4.52215930884259","-9.18978714177152","-4.03081473295931","-0.340743940082802","-5.29737705047002","2.38898686826209","0.183160375582738","-3.03456138066913","0.693127010514803","3.60055995163549","-6.66830375854776","-9.20718884631728","-0.707351100425217","3.43188940226833","-5.74623567329819","-1.2701241618813","5.32686644780238","-5.03099273850888","-2.31624931713719","1.27978376068721","-8.55582374422591","1.68746444646527","-0.282871354993719","-2.27049298047877","3.53580931821257","-5.01389161820232","2.99484783580387","2.7768633779778","0.840267074087669","-0.758366671711692","-7.64531008686728","4.6155873619143","0.2582282472873","0.729131768674737","-2.69965010863432","-1.72382907438083","6.22964306987984","-1.92515459048477","-9.68500273998664","0.817600559783566"
"Random_TGFBR1_14_0004","-3.24019240639685","2.202234060164","5.61488196471501","3.14579952621263","4.8973750381245","1.96926890481725","5.2377583843205","-12.8788353361416","-2.91385347156852","-0.468514443944305","-3.89003024412238","-1.2760385690566","-0.680827006016824","7.05611935407704","-1.56249729646568","3.19893295090897","6.40660020923625","-4.71623457279831","0.0775365554201089","1.02747612794066","-4.33173476516441","6.9578954869849","-2.11544042527072","0.185841729672467","2.29470775331207","1.19433062021798","0.438035357525361","-3.91931181549244","-0.505236720287758","-1.08256778365245","-3.95776488512248","-3.14338868085717","-4.00230567868663","-3.04076988230089","3.13111581138051","1.64396760354447","-4.31677036786835","-3.13556137590394","7.09944478388124","0.0117518345020902","3.37239904209199","1.33893561723522","-1.25764793101794","-3.71315116051475","0.138571378323785","1.08009135734933","5.14340087917941","3.32698773826526","-1.9518024259096","-0.653243488616621","3.54238025189302","-1.39233104089346","-0.793827477121032","-4.55937707590902","-3.53812620584995","-7.32098942066115","-2.01191573808825","1.11568838000404","5.10163695253794","1.1753266045887","-3.30958952291678","5.87291012403638","-2.95642609454987","3.71767976797417","1.05201066592057","3.43387242025956","1.63800614652308","-5.85235896008321","-1.15387786899887","4.45805740773923","-0.0387652774813987","6.67330934728006","3.23212309167778","-0.994812608896647","-6.8928490897541","-4.61003318793708","-8.99288447853593","-4.01965736652131","-0.487585872886943","-5.26332929117191","2.41798292365512","0.0980825183711525","-3.15813812237376","0.926111099667797","3.73135170285025","-6.82500035828125","-9.23099870322366","-0.87640456180357","3.53917447910062","-5.57846526482431","-1.21256487601051","5.49716675803954","-4.95695084475035","-2.27874807128914","1.48373004567846","-8.43880413345371","1.81147756972295","-0.493443469918008","-2.23758922419096","3.51647871380463","-5.21243410944729","2.98341144302238","2.88196064537885","0.704257198329795","-0.7329628245699","-7.63672810934701","4.71459558202032","0.148845020707829","0.82680988735433","-2.75429994715108","-1.59308037689598","6.26853798822924","-2.07860353635083","-9.73007617136725","0.718502710509349"
"Random_TGFBR1_14_0005","-3.16882106210169","2.17158155527655","5.58235673258338","3.13703407865679","4.85951483775821","2.12544135498553","5.14682255808954","-13.0695705289259","-2.94718049933354","-0.238419533719852","-3.76272883730319","-1.21103758905933","-0.607340795262513","7.03155420658748","-1.37602208015054","3.14458795249769","6.34947917298924","-4.72228144842742","0.284722719020605","0.912568258348159","-4.45227164319015","6.9697351097184","-1.99135400221406","0.129567839451821","2.27323381936771","1.19805785971511","0.478615388884239","-3.75517842455457","-0.53786274000786","-0.981926150804661","-3.90107315697601","-3.11824850553189","-4.03392173043163","-3.09016345356406","3.1315779874295","1.7473652600434","-4.36809585814661","-3.2024240294025","7.11268033300172","0.147654364996929","3.30274591291941","1.45099586008642","-1.20548142362595","-3.64844506415014","0.069498182977481","1.00733702851912","5.11504520965665","3.30741775128896","-1.96695543603094","-0.664855413267681","3.51217221314218","-1.33972660307203","-0.713379276466211","-4.56919601573516","-3.58227684671748","-7.34635830176251","-2.23929385469078","1.10071814823311","5.11449987077193","1.11105617721215","-3.23869664456387","5.90366448265757","-2.92157919088706","3.71920430924271","1.1721776828962","3.39880322722277","1.63112623026156","-5.9137337589105","-1.05999510851487","4.45726093465717","-0.0921709378025135","6.69429702492861","3.17390710652939","-1.07095620403077","-6.95376719307912","-4.62571975901043","-9.07291122083795","-4.170694781872","-0.480657688802392","-5.36485042051835","2.4303676190264","0.263687931115913","-3.06045263201607","0.911461511101945","3.80240856208476","-6.81189138614899","-9.27894549183","-0.743114874528233","3.50960341743057","-5.66206767921361","-1.20791290218723","5.48078783259437","-5.0842693445923","-2.316450087272","1.45999288144308","-8.58671691012473","1.71616897538225","-0.380144216033625","-2.26686714502641","3.50046204342785","-5.11532598958989","2.97368065779379","2.89814978317918","0.828976912042949","-0.723536292567997","-7.76267356539508","4.69133647965626","0.320304274226683","0.828431721712061","-2.73048033505666","-1.68163573348843","6.29503466068898","-2.12854999798941","-9.69404335254368","0.915549927011521"
"Random_TGFBR1_14_0006","-3.10188670649243","2.18157087629517","5.61982210004083","3.18227820883765","4.87453567203821","2.05008735867767","5.19141876013073","-12.9666979116807","-2.84226451828865","-0.338770226183769","-3.76741498842721","-1.20976528719202","-0.640454617299841","6.88921997640027","-1.44305468163144","3.10343104602914","6.33662866884666","-4.66808537617969","0.234545810423929","0.91824435351683","-4.30170026074061","6.86675271041578","-2.07537671783928","0.0750604623840588","2.34791153387752","1.14107286427389","0.374865627178006","-3.80400928031286","-0.555819777301917","-1.02220069046559","-3.93573374763961","-3.15236186180266","-4.10421427911617","-2.97596224422664","3.09493861198813","1.67423905975451","-4.25547981202755","-3.07635147357619","6.99994461387554","0.04915762986699","3.36057217178572","1.35784235332681","-1.23613127042172","-3.590601035943","0.14116311123999","0.984751570013184","5.16930553593133","3.340884288836","-1.84637093345421","-0.587425271186335","3.5554025200155","-1.38994597317181","-0.748599576622828","-4.47507927481044","-3.58389613795498","-7.15145676421128","-2.11058180032246","1.07850177591888","5.15161475160307","1.20683712994041","-3.18663958032565","5.88959319021788","-2.90595192498651","3.72751026530923","1.0872301040368","3.33385313084793","1.57962309697141","-5.84112548850797","-1.11583672467938","4.44325489438447","-0.14225598252433","6.61688036877578","3.24328226270826","-1.06142008202232","-6.8673817859938","-4.49960425729862","-9.01501786007557","-3.9902692876604","-0.444795736558145","-5.16583175990594","2.44901007059105","0.171419837923735","-3.08286237524368","0.840117108017349","3.73292968746059","-6.75633227574762","-9.2169167019027","-0.807991874006362","3.54528046891208","-5.62399555374075","-1.13224517359113","5.36217992375134","-4.93617815815398","-2.23143904225641","1.41463945599889","-8.45293613630373","1.68766206645183","-0.416115565599996","-2.2785767227178","3.42350102564382","-5.10434466201935","2.92301152098371","2.8875947094112","0.74127829276122","-0.695726868586313","-7.57203837181322","4.70016981660983","0.241725541684285","0.832605757950438","-2.75802766020967","-1.64436924217969","6.29141101094125","-1.98390008798131","-9.67955754626242","0.827614398339609"
"Random_TGFBR1_14_0007","-3.33299609639014","2.25765240266657","5.73756989432813","3.25384937131061","4.90806161039892","2.16212724957233","5.26752208750507","-13.074090657994","-2.89091838002462","-0.411367986709384","-3.84630149564911","-1.37209174320446","-0.734646800278001","7.00733492201146","-1.52482818237963","3.01041068076748","6.5420038150532","-4.79484646372763","0.0979360032042123","0.810253443000226","-4.39053257652402","6.95978727596644","-2.03933164201263","0.00940083315663269","2.4635932763911","0.986072683513962","0.33588327909634","-3.83635110094858","-0.618758655471145","-1.12442171472661","-3.89936410509894","-3.27955250686659","-4.16208009494246","-3.11516520181491","3.34514738930845","1.60016138938929","-4.21027813862591","-3.03434363101173","7.10729650204154","-0.0557287018584917","3.4003374128548","1.33202297292305","-1.42605866991302","-3.7120147818546","0.143755775010433","1.15809535091185","5.14881253796276","3.45991675911681","-1.88535873010166","-0.469130360137665","3.55506936842008","-1.53277327696474","-0.876454082225167","-4.54711552321473","-3.77492162175522","-7.35014644470275","-2.09448718521007","1.33089635481622","5.21177398532379","1.22926989794995","-3.22966321960019","5.99878985724729","-2.87275701390311","3.76831757221993","0.976104886545629","3.57463273708772","1.49559116836116","-6.01060008408906","-1.17494280975725","4.50141951868262","-0.251848209440495","6.74010358757301","3.35333937214298","-1.14764819995179","-6.81843693918849","-4.70822280744909","-9.05340577356906","-3.96039167605144","-0.47767360663709","-5.17777402055898","2.56565883093217","0.265178535829724","-2.94743673097096","0.837675457633146","3.8081602422604","-6.85945914731879","-9.42402414482208","-0.906084467693594","3.64668014156473","-5.66165570354331","-1.03216224815131","5.43813450121906","-4.95568716686131","-2.24429956500442","1.43830990393045","-8.55237264730403","1.61278682912166","-0.452488405787857","-2.28275546086962","3.69131404000511","-5.12437908822127","3.12792231508595","2.97425704492918","0.757965464624309","-0.844293369030983","-7.72560296395895","4.86025893450028","0.231279407457322","0.822233008300292","-2.89172975568984","-1.58303353233749","6.47884098348457","-2.19076219408695","-9.8062515275998","0.96731748764959"
"Random_TGFBR1_14_0008","-3.08207516496981","2.14560903217061","5.55281939475293","3.15726369783653","4.78341415730815","2.16230121544609","5.41610264904583","-12.9487906943498","-2.80866984038014","-0.260581223797503","-3.73519284149762","-1.24553288027886","-0.587841149538009","6.90837567188041","-1.37094356803804","3.05944125309452","6.26423480617001","-4.63858845438237","0.277495167809652","0.850879979063386","-4.43668630518224","6.83561858341655","-2.03150449405161","0.0171147024155712","2.34315625888199","1.07093364758445","0.283266418176155","-3.82463744415436","-0.581702251931846","-1.02543331357942","-3.8847276154891","-3.14357183702173","-4.08331754031416","-3.04891808263899","3.13669778320879","1.75765111077974","-4.14753136674336","-3.1427271191382","6.95445721350284","0.0907690695131892","3.31692657857164","1.43785800857388","-1.30745348679448","-3.57674659551231","0.0344863759801967","0.989460227339221","5.07494279733525","3.30269953084818","-1.81276034954312","-0.61032061424947","3.50036928845066","-1.34121175303693","-0.758663357033476","-4.45712260719236","-3.61769993407757","-7.1606303848109","-2.12978613985933","1.12555462364824","5.12513524817795","1.17904140840563","-3.11145119310001","5.84653993427528","-2.82430478593784","3.65903614384223","1.13465422155941","3.32154223606984","1.57419871599146","-5.88673964524891","-0.973634659978493","4.36626248008896","-0.201394898033234","6.58347536748694","3.26510857360683","-0.971480102774998","-6.78519452377363","-4.59609412221905","-9.04085399436056","-4.07270886250406","-0.382042982761911","-5.20306816631712","2.5160291564239","0.240130578542618","-2.97165029256747","0.807407405015498","3.71258896259495","-6.64487197597135","-9.24420620959195","-0.814003284018546","3.49492568744748","-5.63949554168277","-1.10341237086981","5.34002569528411","-4.94930620050965","-2.35005117449509","1.33192504595828","-8.62788444380173","1.65090786901548","-0.337694862645868","-2.41712741644974","3.47185029379707","-5.04083522434052","2.97670402085189","2.91320402878792","0.878044072031807","-0.803147929971373","-7.67673867503955","4.7107388167008","0.368098911968469","0.765935563428958","-2.75657868230883","-1.61082409003558","6.27442192536388","-2.02902412639884","-9.57850806166742","0.848972988671192"
"Random_TGFBR1_14_0009","-3.16643456248607","2.22406364772601","5.66372664814512","3.16511321790385","4.93480950513371","1.95575562574427","5.17267357335009","-12.9813546663728","-2.90535565460055","-0.34337044350508","-3.80962850283658","-1.27282842766564","-0.653969708645058","6.93482628104522","-1.44508085001353","3.15334624358609","6.22439969536988","-4.7865284549035","0.166862717753265","0.898822684276818","-4.32221769963404","6.91387641758999","-2.17476614018598","0.0514194380010757","2.41495099393724","1.13254955307147","0.283119659575849","-3.866229174117","-0.510773054070723","-1.11941538737891","-3.98151106502561","-3.19806688936974","-4.11267436610243","-2.959347940642","3.01325822694881","1.71620582100073","-4.23473466926232","-3.1584130437647","6.97384640879866","-0.0307913176048741","3.43993837037745","1.28933473515522","-1.35165436431554","-3.64466145435823","0.155881061609818","0.955923998712539","5.19951861801089","3.30016391919166","-2.00328594755872","-0.559200927429992","3.60535382500633","-1.39904448951019","-0.777172897154232","-4.50678537732307","-3.56969172706316","-7.14822102204086","-2.16952375490056","1.03702493425352","5.19348240245459","1.16011911659103","-3.22790588094692","5.94227684875475","-2.89185786868717","3.78121203144521","1.04521562144141","3.27364906810044","1.5498253460442","-5.86317518352205","-1.16413352296253","4.42409646329964","-0.111271291390955","6.56888215933669","3.25131554183397","-1.13851138784545","-6.82478962334023","-4.47139935543723","-8.94828813088771","-4.04095336916819","-0.548169497355784","-5.13716657772573","2.48045738159999","0.130052246847564","-3.12175127680131","0.811591811947027","3.7495934433268","-6.8207339494825","-9.27310055202795","-0.844880987243944","3.57707474157402","-5.62760865175253","-1.04021180313329","5.34967945434242","-4.92630294256537","-2.2727951090951","1.41713524623975","-8.41362108695605","1.71760238605617","-0.437288263502852","-2.3099568582019","3.34508266202608","-5.10216680726001","2.83612834997174","2.94303214582079","0.676807787107003","-0.740450418651811","-7.56819743751937","4.72420855340259","0.186126191426113","0.908076092699559","-2.83917127564956","-1.55894697792387","6.32433474305188","-2.04740051775894","-9.67867278012151","0.723736143549364"
"Random_TGFBR1_14_0010","-3.16423470286642","2.19477280815754","5.61798101380341","3.18749595953211","4.87721031516755","2.08230571172961","5.19022869059136","-12.9724953669356","-2.83861075728011","-0.298728186493011","-3.79844808943117","-1.18291428775498","-0.620840509965978","6.9353295438133","-1.4658840409201","3.08443983696951","6.29304362105093","-4.69638912789447","0.228948377675702","0.898393674485004","-4.37591748066549","6.91649395932434","-2.07539057138899","0.102769403350665","2.35593815989012","1.14232742943615","0.378234461437521","-3.81207413256062","-0.578572133580045","-1.02718715055925","-3.92490063348995","-3.16484862871805","-4.07723200480264","-2.98619731405505","3.06537773617449","1.68858865552996","-4.23380892940135","-3.18831169742297","6.97847753575386","0.0434116518050491","3.32836571473921","1.37230665161102","-1.2807210750352","-3.60609257250337","0.146405950695241","0.974330747417106","5.13101535640106","3.3010704580792","-1.9445651666448","-0.581587496672459","3.55485909069272","-1.35910554609554","-0.757848173242135","-4.51265833103288","-3.57333946205354","-7.16677746019338","-2.12665061175356","1.0719318297494","5.1437064588229","1.16605759224645","-3.20095551499562","5.88275538327322","-2.91952966234146","3.739476208844","1.06609509203437","3.32443484913229","1.60790598720989","-5.82824120590259","-1.07787386682495","4.4255751624332","-0.150258312522878","6.62028405201889","3.23183446692704","-1.0837144994896","-6.87381336327185","-4.51670271418366","-9.01504273881368","-3.99003418465251","-0.456476987950094","-5.23517345629179","2.44785668314865","0.190597427501781","-3.07877366053474","0.859148209184563","3.72765885776046","-6.77612115008613","-9.28194891577479","-0.805389848222235","3.52418913504331","-5.67258057834307","-1.14249507129868","5.38121109281321","-4.97395744870652","-2.25501576786664","1.42275894562307","-8.45354435660923","1.72037868573586","-0.423126675215839","-2.27832727921038","3.42012494258684","-5.05972697905283","2.87946505334806","2.89193383791892","0.759773630081138","-0.72856169824046","-7.59286104477157","4.73533781030173","0.277441404307049","0.836737310556682","-2.75605792442116","-1.63300845043592","6.31749129986677","-2.01552271769929","-9.67702318790366","0.829703544079994"
