""	"GATA2"	"PGR"
"result.1"	0.03157671014551	5.8386628865037e-11
"result.2"	0.0309494066972602	4.76612083133432e-11
"result.3"	0.0345610302880852	3.90709686826085e-11
"result.4"	0.0223660371176964	9.58217949431628e-11
"result.5"	0.0343780688981612	5.23894261306168e-11
"result.6"	0.0271994004976759	7.27329307892433e-11
"result.7"	0.0211492505821218	6.95308255416194e-11
"result.8"	0.0319977146227794	4.98878716115314e-11
"result.9"	0.0251191565721587	9.63917834440053e-11
"result.10"	0.028872563716744	7.17061965360699e-11
"result.11"	0.0299501211965834	6.17454976037379e-11
"result.12"	0.0236312146119639	6.40241193394786e-11
"result.13"	0.0295569554278823	5.84414738824535e-11
"result.14"	0.0230576524688502	8.9204421627187e-11
"result.15"	0.0324769006714734	5.61168889134933e-11
"result.16"	0.0270725344208356	6.42932374006477e-11
"result.17"	0.0285498056455293	7.77191644374398e-11
"result.18"	0.0316414332668749	5.66284796832406e-11
"result.19"	0.0290068259546032	4.65270044713861e-11
"result.20"	0.031929744117378	4.87772044976964e-11
"result.21"	0.0290345759377899	7.3592687499513e-11
"result.22"	0.031814655874844	5.7136739783914e-11
"result.23"	0.0268359458505714	6.53950227302857e-11
"result.24"	0.030722533596079	5.55844259508831e-11
"result.25"	0.0243117492356	8.17275136455464e-11
"result.26"	0.0216807115027053	8.48876524628395e-11
"result.27"	0.0306765680752363	6.05213656967862e-11
"result.28"	0.0312774883115359	7.195777307345e-11
"result.29"	0.0240190915832217	9.44642142286511e-11
"result.30"	0.0275789941566018	6.87838674906516e-11
"result.31"	0.0333893749048755	5.04960517844211e-11
"result.32"	0.0295163582259532	5.95197224839694e-11
"result.33"	0.022207578653727	7.70641328529109e-11
"result.34"	0.0338722744592825	4.72328842704428e-11
"result.35"	0.0210157640656519	8.03341837496419e-11
"result.36"	0.0305000917653404	5.48545653344945e-11
"result.37"	0.0272450039359324	7.01292357518923e-11
"result.38"	0.026751218541192	7.28010984829552e-11
"result.39"	0.0329317014881898	5.70425928714258e-11
"result.40"	0.0330601994433051	5.83741943671612e-11
"result.41"	0.0371002558046492	3.15447667986746e-11
"result.42"	0.0240262098642083	8.39277536357486e-11
"result.43"	0.0289151034262527	7.65325580687204e-11
"result.44"	0.0263175000750495	6.92443880012661e-11
"result.45"	0.0294303892014902	7.78275222046432e-11
"result.46"	0.0298009358409144	6.46018794014935e-11
"result.47"	0.0335494741258879	5.17532683375066e-11
"result.48"	0.0351589654496254	5.78690428909567e-11
"result.49"	0.0308300306465856	5.48128209487686e-11
"result.50"	0.0274537434778881	6.12845330039136e-11
"result.51"	0.0322156893100543	7.20763448924799e-11
"result.52"	0.0388589365808081	5.20425924577239e-11
"result.53"	0.0257726802202918	7.34010630054627e-11
"result.54"	0.0268797869128083	9.17106390829758e-11
"result.55"	0.0257095069063016	7.94464494191516e-11
"result.56"	0.0352951508947223	5.71700464746527e-11
"result.57"	0.022713858280375	8.56754667211135e-11
"result.58"	0.0190612968667698	1.29552368832719e-10
"result.59"	0.0269904371685266	6.70710154082599e-11
"result.60"	0.0269173902859396	6.36577457413523e-11
"result.61"	0.0290115099829795	6.5515814995365e-11
"result.62"	0.0314516274081675	6.67754740391047e-11
"result.63"	0.0297946810646552	7.35342897684177e-11
"result.64"	0.0286465593039351	6.79005740522598e-11
"result.65"	0.0394317271413096	4.00919297760538e-11
"result.66"	0.0288355339932183	8.56092974288458e-11
"result.67"	0.0334609977686016	5.77216052732865e-11
"result.68"	0.0278781126150609	5.91149351691911e-11
"result.69"	0.0353440628909356	5.60096413693145e-11
"result.70"	0.029807778362259	6.56632526130352e-11
"result.71"	0.0289446028246279	5.70499203433883e-11
"result.72"	0.0308635174312157	6.50348663810973e-11
"result.73"	0.0237299257831287	9.10869157877414e-11
"result.74"	0.0401174799732549	3.29924976227858e-11
"result.75"	0.0213226277757459	9.48148226598278e-11
"result.76"	0.0322163524120107	5.85422821330894e-11
"result.77"	0.0255182295069241	6.28925800327806e-11
"result.78"	0.0447858675585819	3.11062287039476e-11
"result.79"	0.0319083197201366	5.29727373077549e-11
"result.80"	0.0331245056470562	4.9024118098373e-11
"result.81"	0.0360563114977774	4.76094719203957e-11
"result.82"	0.0294881790935495	4.99833507916492e-11
"result.83"	0.028283262004132	5.79427616997918e-11
"result.84"	0.0306088783407681	6.55560050688564e-11
"result.85"	0.0325970581615025	5.1867621309043e-11
"result.86"	0.0274265588626981	6.1511462590147e-11
"result.87"	0.0288144236868579	6.88953338823239e-11
"result.88"	0.0259354191137702	6.9215078113416e-11
"result.89"	0.0294085671240127	7.15338899226481e-11
"result.90"	0.0317277566955858	4.88107332330401e-11
"result.91"	0.0300487686871098	6.049538647801e-11
"result.92"	0.0306808448163305	5.83084691641034e-11
"result.93"	0.0276738111629191	6.26150242766244e-11
"result.94"	0.0277304850193167	6.99453828190144e-11
"result.95"	0.0260505487818889	8.4077633744073e-11
"result.96"	0.0236388478911642	9.09008424088142e-11
"result.97"	0.0287454302391295	6.47601972048051e-11
"result.98"	0.0308679508752916	5.86759529852543e-11
"result.99"	0.0325197325808328	5.53588286322793e-11
"result.100"	0.0277971369057159	6.79349909660232e-11
"result.101"	0.0248257517894577	9.40034716734317e-11
"result.102"	0.0344068069047807	4.82847095639727e-11
"result.103"	0.0307167204728929	6.57398580017343e-11
"result.104"	0.0305916420680457	7.33302307764916e-11
"result.105"	0.0239057250169072	7.26605442480377e-11
"result.106"	0.0230725573857999	7.54019069404421e-11
"result.107"	0.0267775241783696	6.26658724911522e-11
"result.108"	0.0236798574613157	7.30382421210152e-11
"result.109"	0.0274296467126194	5.85411719100648e-11
"result.110"	0.0261382257387419	7.36335437068192e-11
"result.111"	0.0303802206814128	5.75308689576559e-11
"result.112"	0.0173302346128332	1.4887668875474e-10
"result.113"	0.0292834445950072	7.04276637009116e-11
"result.114"	0.0274045381402597	8.64135429878843e-11
"result.115"	0.0291773111113398	7.38382688325601e-11
"result.116"	0.029985576009417	6.68001209902513e-11
"result.117"	0.0362445733115841	5.18056708642689e-11
"result.118"	0.026196322076689	6.78916922680628e-11
"result.119"	0.0309161461792369	5.52060619440908e-11
"result.120"	0.0324128734584768	5.88840087800691e-11
"result.121"	0.0469558895834752	2.93105539839189e-11
"result.122"	0.0267477017380657	7.31734672854145e-11
"result.123"	0.0252356588730174	8.62678817270535e-11
"result.124"	0.0272833898955245	6.22506490799424e-11
"result.125"	0.0242903215123893	6.85702605807137e-11
"result.126"	0.0319172480645411	5.97437654903388e-11
"result.127"	0.0336205878076414	4.65913974068144e-11
"result.128"	0.0277882705649337	9.49140765982293e-11
"result.129"	0.0255580097715991	7.48736628253255e-11
"result.130"	0.0340900690956079	5.01696462151813e-11
"result.131"	0.0268393836522463	6.68181066032503e-11
"result.132"	0.0340193044592474	5.78013192864546e-11
"result.133"	0.0303151725541286	6.16096063055238e-11
"result.134"	0.028777705743231	6.44237996283437e-11
"result.135"	0.0207341860222425	1.11396447621814e-10
"result.136"	0.0276710992870073	7.72224506562225e-11
"result.137"	0.0237505312548743	8.92261819984697e-11
"result.138"	0.0280737180820985	5.68758373731271e-11
"result.139"	0.0226573945841044	8.40556513281854e-11
"result.140"	0.0261712186893208	8.0760287346493e-11
"result.141"	0.0262682885953656	8.47737435805129e-11
"result.142"	0.0247594398171691	8.23667800631256e-11
"result.143"	0.0252196163406779	6.92050861061944e-11
"result.144"	0.0308565881518437	5.36530819772452e-11
"result.145"	0.0308691198931819	5.72659697439803e-11
"result.146"	0.0267476337664294	6.69395650021443e-11
"result.147"	0.0229564739158754	8.78386252622931e-11
"result.148"	0.0350883249337004	5.1067816642103e-11
"result.149"	0.0309105567860182	5.52331513858917e-11
"result.150"	0.0244185163768522	8.01114730109020e-11
"result.151"	0.0235519517760749	9.48592315808128e-11
"result.152"	0.0298188388085874	7.17808035233247e-11
"result.153"	0.0194715673818806	1.00506936107081e-10
"result.154"	0.0327939093795897	5.7361670968703e-11
"result.155"	0.030382762198695	6.65358879103906e-11
"result.156"	0.0227429676044606	8.8493656846822e-11
"result.157"	0.0297426030668293	5.20514742419209e-11
"result.158"	0.0311048087473926	5.2877480172242e-11
"result.159"	0.0292655877409222	6.1250782223965e-11
"result.160"	0.0277079975499128	7.49420525636424e-11
"result.161"	0.0324226578173121	6.12472295102862e-11
"result.162"	0.0225853908920683	8.03797028936515e-11
"result.163"	0.0320690775502537	5.11439779415923e-11
"result.164"	0.0255522257330989	8.74023076136154e-11
"result.165"	0.0269710143464199	6.42679243156863e-11
"result.166"	0.0232723363032157	8.59765592053918e-11
"result.167"	0.0250576026601697	8.51618775499219e-11
"result.168"	0.0351500812555152	4.62869742534622e-11
"result.169"	0.0290309529647748	8.67990124220341e-11
"result.170"	0.0274798039141748	6.99180713326086e-11
"result.171"	0.0240084848810382	9.47413258955976e-11
"result.172"	0.0327452997688249	6.28848084716083e-11
"result.173"	0.0221943620249587	9.19113674058281e-11
"result.174"	0.0319156051521607	6.30613339325237e-11
"result.175"	0.0382580420328249	4.5712766905126e-11
"result.176"	0.0288280406397341	6.15192341513193e-11
"result.177"	0.0260283239316423	7.16748882467755e-11
"result.178"	0.0389014260257414	4.0692560432376e-11
"result.179"	0.0311149234666783	4.92157425924233e-11
"result.180"	0.0249725075869447	7.35445038202442e-11
"result.181"	0.0316559951478488	4.80968598282061e-11
"result.182"	0.0283954604006305	5.03668218243547e-11
"result.183"	0.0268091279376215	9.25142185081995e-11
"result.184"	0.0273556447687233	4.87396789594641e-11
"result.185"	0.020811176437644	1.54761314874463e-10
"result.186"	0.0270104114610605	7.67315100347332e-11
"result.187"	0.0289470683026334	5.88329385209363e-11
"result.188"	0.02886136282365	6.34050589809476e-11
"result.189"	0.0215300740064621	7.97519827955284e-11
"result.190"	0.0249236833032169	7.84017295529793e-11
"result.191"	0.027740552537036	7.00224322969234e-11
"result.192"	0.0252720784651264	6.87565560042458e-11
"result.193"	0.0299301714703224	6.17135231806287e-11
"result.194"	0.0321444150719707	5.7033044953414e-11
"result.195"	0.03174932110072	6.19626572273546e-11
"result.196"	0.0265007447267809	8.78734862652664e-11
"result.197"	0.0335220924888959	4.4608094995624e-11
"result.198"	0.0322090518905995	6.10564931946556e-11
"result.199"	0.0333067353396881	5.89694959529652e-11
"result.200"	0.0268252835909006	6.41084962893501e-11
"result.201"	0.0294107554137468	7.0470962398872e-11
"result.202"	0.0230573598442219	8.61466453727644e-11
"result.203"	0.0325027595814222	4.4868775361806e-11
"result.204"	0.0354073806824469	5.38060707100385e-11
"result.205"	0.0256240142110611	7.97932830920445e-11
"result.206"	0.0281113543980278	7.36679606205826e-11
"result.207"	0.0362409294131578	4.91648943778955e-11
"result.208"	0.022054865085936	9.54949452847131e-11
"result.209"	0.0264557133461394	6.94506674392414e-11
"result.210"	0.0321554398693595	5.83042503166098e-11
"result.211"	0.0324143994796799	5.91964255391986e-11
"result.212"	0.0265938096194722	6.02158323204094e-11
"result.213"	0.0285212016644887	6.38342712022677e-11
"result.214"	0.0358987718636792	5.40953948302558e-11
"result.215"	0.0501108443365301	2.53985721343497e-11
"result.216"	0.0299211052504442	4.92852425537649e-11
"result.217"	0.0225665259976631	7.44628803062142e-11
"result.218"	0.0240193668742066	8.18378698141942e-11
"result.219"	0.0286640013226982	6.95665747230123e-11
"result.220"	0.0312032770506523	6.23097129448524e-11
"result.221"	0.0278750036972324	5.96864779822681e-11
"result.222"	0.0359078509977242	3.7159164634204e-11
"result.223"	0.0256986948319742	7.71198660487471e-11
"result.224"	0.0302340277134956	5.57613955010083e-11
"result.225"	0.0221762366310458	1.05159880803285e-10
"result.226"	0.03146925023778	6.04751804189618e-11
"result.227"	0.0289283022637048	6.36100061512934e-11
"result.228"	0.0335356353827438	5.20741227916233e-11
"result.229"	0.0320760194290601	6.07625061377348e-11
"result.230"	0.0282326396636035	4.92386131867306e-11
"result.231"	0.02948940352854	5.95483662380047e-11
"result.232"	0.0291823930339656	5.21720444623952e-11
"result.233"	0.0345166761399525	3.51230156070415e-11
"result.234"	0.0300467555325528	6.35986818764422e-11
"result.235"	0.0242207647641794	9.22983911522124e-11
"result.236"	0.0290675935116691	6.70670186053712e-11
"result.237"	0.0251334812300379	6.51712017685213e-11
"result.238"	0.0275154051710131	6.58975096712311e-11
"result.239"	0.0314421049902298	5.0884407798435e-11
"result.240"	0.0242345218835076	8.88711326751945e-11
"result.241"	0.025059206630728	7.85296272454161e-11
"result.242"	0.0324555098165538	5.71620528688754e-11
"result.243"	0.0375755514209644	4.56590321107342e-11
"result.244"	0.0237277601951738	1.15954135182506e-10
"result.245"	0.0229292226950857	1.024058615684e-10
"result.246"	0.0477073855225132	3.63276075887597e-11
"result.247"	0.0210229533034305	9.5649488329741e-11
"result.248"	0.0369714382727697	4.95301577529972e-11
"result.249"	0.0277974942849768	6.10409500723108e-11
"result.250"	0.0288584771695244	6.99422741945455e-11
"result.251"	0.0287014769343164	8.01199107058892e-11
"result.252"	0.0295140511151248	8.45612468935997e-11
"result.253"	0.02799535274396	5.90296700408999e-11
"result.254"	0.0260535185265482	6.78033185153026e-11
"result.255"	0.0250338813627926	8.62609983443008e-11
"result.256"	0.0312275808733042	5.63007418463712e-11
"result.257"	0.029301403904509	6.13284978356887e-11
"result.258"	0.0272607700844822	6.69779787187963e-11
"result.259"	0.0313132284020727	5.63040725154451e-11
"result.260"	0.0336280425886775	5.08826314415955e-11
"result.261"	0.025847301902904	8.43980441089798e-11
"result.262"	0.0312980854492229	5.50830492329624e-11
"result.263"	0.0257576272784441	7.44091455118223e-11
"result.264"	0.0297282562006089	6.25177687396672e-11
"result.265"	0.0290767856380405	5.5543125654367e-11
"result.266"	0.027523024181592	6.91722235046655e-11
"result.267"	0.0284431908843144	5.54862822355062e-11
"result.268"	0.0312969148838858	4.46871428749773e-11
"result.269"	0.0320330253834635	5.67186297928401e-11
"result.270"	0.0318734121482773	5.39097655405385e-11
"result.271"	0.0290515074704984	5.73652236823818e-11
"result.272"	0.0289015815669269	6.63928911848188e-11
"result.273"	0.0282146804697518	7.28219706758182e-11
"result.274"	0.0240846812930093	9.28479515494018e-11
"result.275"	0.0347121211685975	4.98787677827295e-11
