"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_Vegf_72_0001","-3.09390205033018","1.94231387030874","5.32266864178399","3.12526775276692","4.62456509808643","2.2712149359326","5.17406796883399","-12.8462465321034","-2.59347734066402","-0.231799606332332","-3.6752183329019","-1.03729153097604","-0.516575874897982","6.57459052546611","-1.39362103135445","2.78310991848261","6.41449938668149","-4.42383072424192","0.260146779813042","0.664811363371056","-4.37288059887062","6.70357072861718","-1.97961814229569","-0.21531340382967","2.34834120787767","1.12279112263809","0.121875982717542","-3.69027969315404","-0.782183347345328","-0.865844361432271","-3.57507390528892","-2.99783955786421","-3.93942448204571","-2.73396026935551","3.0012160615562","1.85641140777568","-3.99286058187819","-3.00666986158472","6.99233205872948","0.174217575403101","3.21518905072077","1.45904737535785","-1.21303628669566","-3.31462278220077","0.157040908457277","1.07959571199629","5.01442725255399","3.29263717083761","-1.68823408208303","-0.585467285631491","3.36242158014351","-1.16840086969899","-0.679015861479055","-4.49481204928707","-3.63742108260462","-6.94913823736742","-2.24799145943967","0.972652605541623","5.02401309348628","1.05166515697343","-2.89602313330953","5.69504955170034","-2.75070757637513","3.63935219872346","1.14558054552363","3.42254665804495","1.7527826321619","-5.59625678861724","-1.00883648972382","4.24589638321942","-0.259486918225904","6.59371670362691","3.2146659294903","-1.04179205601022","-6.70685427734743","-4.38225289285396","-9.12955152780612","-3.91536131510164","-0.175314365772476","-4.96337682769081","2.49569119236146","0.241298706776419","-2.78725016452381","0.719254393075004","3.57191511079815","-6.53376416571357","-9.07044200298942","-0.731517761661539","3.45301625128937","-5.73358772324906","-1.16452581227328","5.05003026524901","-4.91075385305259","-2.426603768852","0.942839021654036","-8.28286815481714","1.49125317089681","-0.282489403304567","-2.43003841551723","3.24461773163152","-4.9801077213205","2.85868653766494","2.89758095778921","0.846135027359827","-0.685054223467017","-7.37642012738059","4.74092327538173","0.293421155434432","0.830496592223038","-2.6801230045968","-1.63914417975582","6.20361459669187","-1.93170577133369","-9.34135221169464","0.835047398095296"
"Random_Vegf_72_0002","-2.84055116462132","2.14090597290146","5.54178820855801","3.35480403176474","4.79357628332837","2.04366795244357","5.2679708406843","-12.9351122212805","-2.80177005365859","-0.24901678622284","-3.73155738380738","-1.23534871576661","-0.520786400390615","6.76946037758248","-1.34407561550976","3.12011536623767","6.06115859003315","-4.52413237275769","0.291675700305924","0.926907581865279","-4.39473502209307","6.77896313978812","-2.00401900881189","0.00443618719560267","2.36989922264369","1.01561561397649","0.174106000916328","-3.73118835700667","-0.565052606847699","-1.00053001205176","-3.89701778496829","-3.11883477093195","-4.15736613028865","-2.81537168185809","2.99352111546761","1.74718945156627","-4.03372263724202","-3.26908926977349","6.89912738644536","0.141382303351039","3.43769053035107","1.3740706024219","-1.50211933771867","-3.41247466781155","0.208522342408921","0.820814875550429","5.0688301975535","3.24911922004241","-1.8076335054832","-0.573043746821426","3.61543322084389","-1.33510752653968","-0.758953891206009","-4.37333067067857","-3.58748139867322","-6.98386932277199","-2.09812525563283","0.975294425551925","5.16563821074276","1.13482989034685","-2.97936661192385","5.85987922832693","-2.81011546373563","3.70788649802482","1.15955466358006","3.05453574093126","1.51093249072085","-5.79327087125987","-0.974850222667899","4.33879640786274","-0.284674956500064","6.4429827420038","3.35498073365313","-1.19602952348504","-6.73224491185039","-4.49655492077721","-8.82384740013245","-4.04918270657227","-0.405701570226913","-4.99371175787894","2.55340394965676","0.115099245696807","-2.98055503143294","0.814066851644994","3.73554666463145","-6.49996225033443","-9.22799737288019","-0.81924511427636","3.46558083047277","-5.81793945568984","-1.03926759257906","5.15104326613802","-4.97576726237902","-2.1836638771815","1.31452353127776","-8.61197736847932","1.68091875101708","-0.229356225931002","-2.46553660329036","3.33016372745196","-4.99246352529239","2.87464895894972","2.99981559490735","0.858394971403978","-0.805051672117421","-7.57149604479386","4.6571751094509","0.352609980394563","0.801301511167703","-2.78343515498263","-1.58028505478091","6.17007808624373","-2.06053674770928","-9.4199873275913","0.886862382775546"
"Random_Vegf_72_0003","-3.39112441930702","2.16805641170344","5.45282403505714","3.17759111025743","4.66039256485349","2.07060075221799","5.09943764095946","-12.7287714597706","-2.8600597152875","-0.371340907626704","-3.75740962889197","-1.24401213756729","-0.62480058392103","7.03410705386645","-1.53529486213955","2.97682333051409","6.3644039634898","-4.62115895068699","0.233026623239878","0.764690409683037","-4.46495681124209","6.85868511484105","-1.9862770441855","0.162618736148455","2.08639866744531","0.996515875680767","0.448497828536352","-3.677068842529","-0.751650753848329","-1.07733313942059","-3.74726935246518","-3.18033671355235","-4.21322233943234","-2.94827485594763","3.34856785157749","1.52482007491968","-4.3331977084078","-3.17200706824262","6.95331582471942","0.164769575143086","3.29860561619699","1.35349170576017","-1.27662081727569","-3.6201610483751","0.111257685749973","1.09450979463248","4.9603253755779","3.23781412878482","-1.96892101581036","-0.563589592505846","3.42711819222166","-1.51104642841484","-0.923112213478727","-4.39055374434007","-3.86902301820446","-7.1841367621961","-2.17883998676234","1.45772663773584","4.99762051148177","1.00413731466375","-3.16622908241701","5.74847984084229","-2.64584537125169","3.78812904180318","0.985131462936644","3.6181200192549","1.42379455417548","-5.67578297611375","-1.05685149288492","4.38705689579854","-0.391293320343431","6.8315714514926","3.20388835396015","-0.932088102965895","-6.59772548170165","-4.62086772186444","-8.6911853134844","-3.9140819172716","-0.486157100184418","-5.28676985650628","2.50901078023227","0.22350393415509","-2.85172911997833","1.00091102897813","3.84572629146556","-6.72021031814654","-9.13743263716938","-0.910131122668424","3.57379760200254","-5.34808283424867","-1.09940371518079","5.33157194607784","-5.0719688488739","-2.1772159581973","1.20615410861789","-8.43936491102944","1.66664752872495","-0.460639785573083","-2.38630615627905","3.63006607191529","-4.98161218430741","3.19046669972543","2.94355237277567","0.875038140628171","-0.766991977518091","-7.67232961039977","4.73550072559944","0.361486352962875","0.660868076116724","-2.68220859585148","-1.6403176429111","6.31127719178104","-2.0983704216856","-9.31043991803224","0.928758250539132"
"Random_Vegf_72_0004","-3.17008075138551","2.39988776350664","5.75911669470616","3.30720996081559","4.94006234356923","2.07887320836695","5.38202435935373","-12.9701455719971","-2.53262810734655","-0.521635635840011","-3.97209014928233","-1.35855949135036","-0.75735862842083","7.06428703681284","-1.63325492526352","3.01180141245453","6.2502252609919","-4.62998221829442","0.0327013151975858","0.799477263449243","-4.26078695144469","6.95336631925254","-2.32078196728618","0.12038071055055","2.63026824320722","1.02919243239847","0.217928986687598","-3.96980721952232","-0.532772694913914","-1.26348020397657","-3.86157682921872","-3.25667852459091","-4.27210953345196","-2.71937689071911","2.99114407966669","1.58128092657119","-3.93025405690902","-2.86838770076054","7.09314959505613","0.000524504781051528","3.50963254726603","1.15606765386443","-1.24081798581746","-3.53508608784575","0.25471022505983","1.08819356154841","5.25752454910636","3.54900823395858","-1.82565843743057","-0.389033993422713","3.77937996469111","-1.55461779609538","-0.992350244536065","-4.63069038450411","-3.63838019534759","-6.96248919809783","-2.21044347263482","0.977228333184666","5.48532911286751","1.31840869947686","-3.07685008833782","6.07668021035968","-2.86085023592425","3.90946895531131","0.750828129368594","3.30278172470027","1.33143169042489","-5.7898596888852","-1.03763357760532","4.47987851270477","-0.259644652125933","6.53110935859086","3.59925399530085","-1.00789057342238","-6.614832025076","-4.46310411414393","-8.88594359617751","-3.58193934740687","-0.416640076139118","-4.8666433620441","2.52307161647987","-0.09771645175688","-3.06115168025602","0.889980127781114","3.71839487675326","-6.51190398498404","-9.41395897025956","-1.03622959396362","3.75611885484354","-5.56999236873933","-1.08910810301773","5.3178827684635","-4.7002592034472","-2.17385394969336","1.34277769638658","-8.2438088253657","1.68478639972379","-0.531225869139161","-2.3560409729066","3.22290098290356","-5.16362575183169","2.73973050258278","3.08062409693615","0.60090871508223","-0.694746462886027","-7.43280810777608","4.81630340311265","-0.00855197561147875","1.09508728936932","-2.88978207322189","-1.35276929765464","6.50656653948043","-1.6951706159644","-9.697992948019","0.638898398126738"
"Random_Vegf_72_0005","-3.06764586527102","2.40064039306336","5.92027531595545","3.35493489479185","5.20935592921472","1.76683612921555","5.0345931526965","-12.7667395937921","-3.11051131702977","-0.519621240705388","-4.01034654217798","-1.43716125218927","-0.808852581994606","7.02557211232023","-1.74232817654206","3.22352651870854","6.13883257606679","-4.89455069337405","0.0133005243363787","1.23080806481467","-4.27784599952989","6.91728050187729","-2.25904890944429","0.492315806812261","2.56832310507786","0.934938790725585","0.496710258871261","-4.01604537638055","-0.29616808118239","-1.25011603683087","-4.21406363213332","-3.45012816339794","-4.19152387394856","-2.73992206834217","2.9228029841341","1.81488880830222","-4.1058824764151","-3.20128767402338","7.0350816635169","-0.262420685725265","3.56538861318651","1.17684021756361","-1.45862155904889","-3.87594034261079","0.515827762862734","0.997088038608822","5.28973508641339","3.36757935706068","-2.18361670441594","-0.317029548235837","3.84366835206666","-1.52727494085366","-1.06346668147945","-4.44067745996592","-3.67045949539709","-7.22446991277138","-1.80966631412271","1.04434129693677","5.20948233065224","1.0395556958416","-3.35898319754255","6.0480145653287","-2.96496521218418","3.9203256161841","0.86112718705244","3.15417177130272","1.35990469913869","-5.97512414183268","-0.901984180844448","4.75008138918933","-0.123809304081533","6.62398474618917","3.3894317788819","-1.23109266592429","-6.70221914423387","-4.94377227315443","-8.80009283855605","-3.92747988407174","-0.738754309008181","-5.15410565416425","2.49634423305244","0.0317298059801978","-3.0931514605784","0.982241123263505","3.90512914796249","-6.82129506947826","-9.27531536810644","-1.08653436031895","3.67237099050656","-5.69640575922719","-0.981431711837141","5.58682917307189","-4.74213025757388","-1.89104724001697","1.62839843190983","-8.52444098852867","2.0313106086701","-0.757880158091336","-2.16640269585855","3.41869770401237","-5.34315138292118","2.83383245856638","3.07801124473414","0.340106753914469","-1.01884205972299","-7.55300380731464","4.72903118920368","0.0467003148007192","0.847448517978437","-2.84279639074682","-1.35283627345714","6.33688609250096","-2.02195463411795","-9.62645932360199","0.702335435906301"
"Random_Vegf_72_0006","-3.30433286111034","2.28120015953182","5.8681042010002","3.21339403489865","5.09240216350232","1.79965526397012","5.08085576342029","-12.7798814715362","-3.05735123340689","-0.590574542796168","-3.99082128367755","-1.39748532892952","-0.757690356807359","6.92315601197945","-1.60142800675856","3.15102075305102","6.12218538544728","-5.128521699358","-0.075660195125641","1.1609176356119","-3.92536886526313","6.80483353183322","-2.20540592995805","0.25685763110133","2.64119724447262","0.919378791071084","0.631803043509337","-4.14474069245931","-0.366661125233388","-1.36492243510098","-4.25939149111644","-3.37583488155125","-4.04059862258848","-2.97669094776024","2.96598424051029","1.63874118237895","-4.04821714006191","-2.9674815120004","6.84219814548751","-0.329004046652682","3.36192243079712","1.10641842214776","-1.67665641800297","-3.95101940059417","0.31795347957775","1.15392572000861","5.33061991070703","3.33668582193954","-1.86882516222906","-0.366247669055653","3.74205628858008","-1.63767565426522","-0.972714523122148","-4.18637276606049","-3.43087815057277","-6.90516076357083","-1.75783349252897","1.10711598968898","5.14147855804806","1.20308204744201","-3.4750968083982","6.02782068249432","-2.97123987903294","3.88530493532052","0.919813955732492","3.26253162774063","1.42123375195225","-6.22145677238344","-1.20620485412677","4.59439966281411","0.0152135943874534","6.61891151924765","3.33516383710148","-1.23157942575977","-6.88046586616063","-4.52505036572712","-8.82205836841952","-3.84753933310936","-0.63383376479937","-4.992037473643","2.52456825152907","0.1510661719992","-3.08176045947764","0.938278783815606","3.67473099189334","-6.70102404574592","-9.41409020394713","-0.982196069135525","3.67897677482357","-5.6206934978689","-0.785890516867051","5.49944130173624","-4.64075057300355","-1.94337089673149","1.7013010231311","-8.17448043818257","1.99335870770942","-0.840205547108319","-2.01791890026005","3.35930401582385","-5.26815411497961","2.8111410714013","2.94137141598656","0.454439541462219","-0.99593366429431","-7.42592617438542","4.72716845018458","-0.000942186009358998","0.851432559602742","-2.98650627653557","-1.33384817112788","6.41529433504237","-2.12130094364063","-9.7290775183623","0.615230173308813"
"Random_Vegf_72_0007","-3.20509215456873","2.17419389944223","5.47166210534204","3.19740311140117","4.78197623426581","2.02094547890526","5.40779737510954","-12.939253399597","-2.77214381371118","-0.328071863707253","-3.87371318529634","-1.27235516077787","-0.691910888244897","6.9738195485605","-1.43943245048338","3.10644492355758","6.34968348267337","-4.58948999179522","0.0819225833470385","0.81698269453163","-4.28024424217328","6.86518512960602","-2.21803057498451","0.134648866616813","2.35500779197526","1.12312197663474","0.322701516163974","-4.04228177492594","-0.592032083538875","-1.05210303086886","-3.78731224830987","-3.22125845826039","-4.06191536289954","-2.88204215605298","3.00943420043887","1.65729116281658","-4.18680443044446","-3.22507822492298","6.89220170276193","-0.00273380902675604","3.17185647521624","1.26115287363904","-1.17216090848189","-3.64387526849223","-0.00200058588678234","1.04386985077202","5.12857810851981","3.427724197663","-1.7852153910402","-0.450359323538246","3.52317687514746","-1.35485278011963","-0.902253867052531","-4.64920481267381","-3.46059138202571","-7.09734208463972","-2.19274741523112","1.06343336648328","5.19581544441499","1.20654316331583","-3.20539001811929","5.89557294645921","-2.81423408539594","3.54594951096223","1.00946280897851","3.31607175388352","1.64979241250882","-5.84654367429476","-1.22349931393713","4.3311383607971","-0.305633676019851","6.61701841262555","3.1448180408838","-0.920130203141381","-6.96872671008554","-4.52686691995374","-9.26192196938989","-3.82149486212015","-0.340532649662765","-5.11108792767353","2.39428122061332","-0.0758832323950859","-3.1155238337128","0.845659249878543","3.5482971465519","-6.71510707797414","-9.1232458775179","-0.69266179478507","3.54309731415909","-5.53414439801516","-1.18998156928836","5.29439669596403","-4.83956933584811","-2.46624331702929","1.25770230127046","-8.23866501009037","1.56338874052332","-0.379708184523455","-2.30033338926668","3.29391162712883","-5.18197374689756","2.7356174487582","2.93739085779676","0.6794156553849","-0.64434520598917","-7.35607231229083","4.84382059640125","0.19760806912685","0.915046789818325","-2.65770408304028","-1.56731120843571","6.28501520498108","-1.88405812982307","-9.75127131766893","0.576350474133312"
"Random_Vegf_72_0008","-3.14795549655935","2.3569225877159","5.90094840372342","3.39847970672221","4.92632113204674","2.05523823287947","5.02146184181787","-13.1670491482737","-2.7672792107158","-0.349851018939638","-3.79660888453483","-1.20243485816191","-0.734486985766804","6.96349838034888","-1.45079829542676","3.09777375722583","6.33183097763897","-4.71758378971926","0.21215654651221","0.856514004488724","-4.14662609408478","6.97623247034526","-1.9898976582337","0.204991314461648","2.49928712716843","0.958098355975752","0.398547016714939","-3.82723815044146","-0.414673599576163","-1.07383010359925","-4.00212063004114","-3.41349662869452","-4.11018015155851","-2.88185513510567","3.11342035083757","1.43111599412563","-4.32450984902981","-3.10043038907285","7.09499742696717","0.033536500329288","3.49713347996983","1.34309055911441","-1.41003047549145","-3.60474210509116","0.116987028503499","0.886203433228267","5.35724029988678","3.56531882244361","-1.92514519573457","-0.407834234216524","3.62579313684912","-1.70330109193992","-0.934038210799685","-4.58774570882533","-3.67176143223126","-7.11964825581661","-2.20723172872024","1.187613376383","5.41056791457023","1.32565577342199","-3.41097261507281","5.96715338979344","-3.00217214702731","3.86984592552276","0.990573558033749","3.35218891896042","1.39046788157917","-5.80149555529208","-1.35604061652413","4.52830406578253","-0.327213548420258","6.80816548535532","3.36693529839763","-1.20326175491397","-6.80808451081307","-4.56372671037703","-8.94505868120575","-3.97999761353705","-0.609660393129685","-4.97409035204592","2.61989596871079","0.360019973575182","-3.00819443311228","1.06834927333299","3.92794648135314","-6.80485157282807","-9.24739613553816","-1.0364759015901","3.7711327132363","-5.41715124881876","-0.838332555860105","5.44228413677781","-5.01788866309389","-2.02820130517334","1.43760536635809","-8.42294541183731","1.73903393611536","-0.432791086519812","-2.21290271644758","3.48569004822001","-5.05589359095342","3.07778545052241","3.00437730664343","0.756748069929452","-0.783131738743584","-7.56197492587326","4.85535023644083","0.406526408652989","0.94795005808898","-2.83554021090652","-1.52656139629237","6.4764355462753","-2.00110967350294","-9.84346063089105","1.07039544923663"
"Random_Vegf_72_0009","-2.70507045423921","2.14890413292031","5.57725779815913","3.39347118018506","4.76521677633981","1.99803413016576","5.10973981617593","-13.0624530219573","-2.59117008276898","-0.328136472551195","-3.68544411785333","-1.20198743997708","-0.66155324012716","6.78774632444059","-1.33455686332865","2.98272312146249","6.15519097495366","-4.48038479484525","0.408909514773769","0.876338262015203","-4.13043493295239","6.91602095357344","-2.04358406518353","0.00297609978448773","2.53391642535865","0.866101942334844","0.430872177126757","-3.86681307652374","-0.582962554174954","-0.981882553422474","-3.80036834122446","-3.22281158377351","-4.16202989215764","-2.88169235324235","2.83753455287567","1.91351777481939","-4.19232691120191","-3.02015017366264","7.12307201408656","-0.013828240554802","3.33729594522445","1.32139346435218","-1.22342171107775","-3.3729346844212","0.114571140365592","0.994590397027824","5.09825720799027","3.41892649359281","-1.66104956515268","-0.560354843280319","3.53098853346091","-1.4399112884551","-0.793120601038434","-4.27786559100722","-3.49111995430109","-6.92233024378889","-2.03212055587565","0.883313749296602","5.21994781001832","1.27867529480277","-2.99601214097316","5.81606763428007","-2.85966947436088","3.68592467720046","0.944360526182711","3.0178701194812","1.43151181744135","-5.69444140540858","-0.944777666491976","4.37351667858483","-0.285581816214854","6.49811748699613","3.16803716466839","-0.948969884022552","-6.45096958402432","-4.45814077665122","-8.83158345654266","-3.84338255527419","-0.4974098427826","-5.0770414248639","2.39666107225941","0.0501779336132197","-3.06853918053236","1.00261648772676","3.65910268887187","-6.53775991568669","-9.24216632564028","-0.651526504576207","3.64196073413765","-5.29873040420895","-1.01619486881193","5.23313509281234","-5.0327992637977","-2.32679299255238","1.24004263644788","-8.30500415731775","1.47297208780871","-0.346499909564934","-2.50488485359388","3.22154589234271","-4.97698285647892","2.83174360727017","3.0476605280305","0.671065787819143","-0.748291845951715","-7.26326151356609","4.87797360793004","0.196325439845971","0.993149181970477","-2.63694561562325","-1.38570471067018","6.26863193076657","-1.83381373776354","-9.39008751831423","0.735818098423368"
"Random_Vegf_72_0010","-3.18718448331482","2.33786461329735","5.67545783591684","3.39019637272118","4.8707670626511","1.84466269313884","4.9264582918609","-12.6919740103522","-2.91083127921171","-0.506692583040114","-3.80781925671987","-1.30829266387725","-0.862153074541393","6.84785160908096","-1.38801712047992","3.06901347915333","6.57909406059492","-4.62265166383778","-0.0272586657464728","0.953088901738426","-3.99550083450157","6.89710583419013","-2.11309299082406","0.166747042664949","2.46815265715839","1.04888533097886","0.399432288853981","-3.79220143676706","-0.515258380192635","-1.2551597532619","-4.03854577981623","-3.33826861921772","-4.16969973523657","-2.70761634792048","3.21820668624011","1.31764118033812","-4.08770433126133","-3.00277176662894","7.07443859539151","-0.128713257600663","3.42560992276541","1.1589704643652","-1.23286327631133","-3.70479359620216","0.16072163811557","0.98696599105704","5.20872613366168","3.24394444962048","-2.05405591489018","-0.299437416864294","3.53221764745013","-1.4526561883398","-0.999412582925458","-4.34079021428968","-3.60707063236731","-7.09130837412786","-1.92776239524834","1.30413367785472","5.11239098610523","1.05622639709841","-3.15601270288163","5.80107041810522","-2.94562422195357","3.81445987240675","0.792936039955567","3.59396020853394","1.2920603624914","-5.71760583029753","-1.25009872229392","4.60182882633891","-0.341002256776023","6.78259777134832","3.37523526895154","-1.22910826610085","-6.82879871890269","-4.53187648566579","-8.6755276285222","-3.78122956567735","-0.625925026090203","-4.96976602456045","2.6457376352319","0.210883066734662","-2.92579434171824","1.03950956478197","3.7844374368178","-6.57672286168824","-9.26476274752371","-1.00775370104898","3.56254254881647","-5.30997089892547","-1.0214816788845","5.37781837011533","-4.75167352653989","-1.92280993590773","1.50428141888057","-8.25163382776191","1.80632535012801","-0.61808435981468","-2.25730974011061","3.55752196644599","-5.1315258964668","3.14034214629533","3.13561003710559","0.492624344208133","-0.787684502407891","-7.28161883540439","4.6966341345394","0.147257047760367","0.834920065241232","-2.82830561681417","-1.34192537178938","6.28338424740408","-2.06434087877183","-9.48583884645482","0.649731693293573"
