""	"GATA2"	"PGR"
"result.1"	0.0383798603989434	3.59852148079653e-11
"result.2"	0.0342856816588348	6.04991612362937e-11
"result.3"	0.0243774335876954	5.71211966615692e-11
"result.4"	0.0142713060608342	1.82478254728835e-10
"result.5"	0.0132257998594389	3.14156256564502e-10
"result.6"	0.0122805133359871	2.52420084834171e-10
"result.7"	0.0245926751842713	9.62221413658426e-11
"result.8"	0.0216579436418283	1.05216280132936e-10
"result.9"	0.0263599035829138	9.64885948917527e-11
"result.10"	0.012437606402139	1.62387880919823e-10
"result.11"	0.0356193785258232	2.90107937672701e-11
"result.12"	0.0213149514337703	7.76834152560468e-11
"result.13"	0.0481672308612269	1.4874323994718e-11
"result.14"	0.0237846904956045	7.27453652871191e-11
"result.15"	0.0505989773381357	2.25219842775459e-11
"result.16"	0.0224974561606017	7.78912490062567e-11
"result.17"	0.0596375243646041	1.71753722355561e-11
"result.18"	0.0285619177461984	3.40085737349227e-11
"result.19"	0.0374153252261777	2.01587635473288e-11
"result.20"	0.0250952198925001	7.9039441658324e-11
"result.21"	0.0331934812069616	3.49891227102717e-11
"result.22"	0.027119943643293	7.27704563274756e-11
"result.23"	0.0191338742885621	1.22178933636974e-10
"result.24"	0.046427079785571	2.81126233403484e-11
"result.25"	0.0365855059585858	4.85920192971889e-11
"result.26"	0.0431668780636825	2.19999574113672e-11
"result.27"	0.0472765182754589	2.2045032466167e-11
"result.28"	0.0175137215911598	1.23310917032882e-10
"result.29"	0.0159983035238049	2.09404937834279e-10
"result.30"	0.0258870494614778	9.75186598139999e-11
"result.31"	0.0136303553354533	9.03586094835873e-11
"result.32"	0.0444095228341359	3.97308852484457e-11
"result.33"	0.0392945687376032	4.96438445907188e-11
"result.34"	0.0236732415149703	1.28222987783033e-10
"result.35"	0.0277484974161655	6.22288887086597e-11
"result.36"	0.0314930216969618	3.62423424604685e-11
"result.37"	0.0271716046467891	5.84934323200059e-11
"result.38"	0.0275208890194751	5.57474066908981e-11
"result.39"	0.0302654201296482	9.27005139317316e-11
"result.40"	0.0357170154107618	3.5885516780354e-11
"result.41"	0.0283358038205435	6.09863270994992e-11
"result.42"	0.0143317027913528	1.54817270114904e-10
"result.43"	0.0244693708540045	3.34792193967814e-11
"result.44"	0.0384690120444395	5.32400790120846e-11
"result.45"	0.0173857274025573	6.09206018964414e-11
"result.46"	0.0161630779682194	7.48006101503051e-11
"result.47"	0.0170588083610963	8.32776070325281e-11
"result.48"	0.0328200971798969	4.18858281392431e-11
"result.49"	0.0373761001126149	2.61148880298379e-11
"result.50"	0.0291376452142711	5.32049959645065e-11
"result.51"	0.0174825875305	2.76594747106174e-10
"result.52"	0.0287028342498019	8.16833267691663e-11
"result.53"	0.0312723349296873	5.71349634270746e-11
"result.54"	0.0250991916952392	5.93081139754759e-11
"result.55"	0.0278371099523402	3.72528674574824e-11
"result.56"	0.0208457797087567	1.24247945265665e-10
"result.57"	0.0177263125917222	1.42399869673682e-10
"result.58"	0.0302955401319445	3.51263462761153e-11
"result.59"	0.0298651281625104	6.50859366402301e-11
"result.60"	0.0435891198539036	3.1700420066727e-11
"result.61"	0.0193830451547301	1.572877383893e-10
"result.62"	0.0364336249028461	5.22324405949348e-11
"result.63"	0.0224442527063793	9.14053277512039e-11
"result.64"	0.026859420561034	8.11020139934726e-11
"result.65"	0.0199594616716374	8.82958151038338e-11
"result.66"	0.0292148273483219	5.77120573552747e-11
"result.67"	0.0386401395599212	4.32658353588522e-11
"result.68"	0.0205795939349416	1.53035584204986e-10
"result.69"	0.0319651310711104	7.35458360878738e-11
"result.70"	0.0275250865178418	4.74409400652576e-11
"result.71"	0.0149790382404642	1.71464620279949e-10
"result.72"	0.0376803602800988	7.18003434485581e-11
"result.73"	0.0258322428927091	8.76241301739356e-11
"result.74"	0.0304918075126508	4.82471840257404e-11
"result.75"	0.0702165696072756	2.10322870231039e-11
"result.76"	0.020940149516693	1.02023500758719e-10
"result.77"	0.0293777649729789	6.16846573819885e-11
"result.78"	0.0370746640615145	4.84663420508014e-11
"result.79"	0.0394707913553904	4.97004659649747e-11
"result.80"	0.0335345581519695	5.95730131891514e-11
"result.81"	0.0116816849803498	2.30670371692554e-10
"result.82"	0.0193190335488067	1.41050060520342e-10
"result.83"	0.042213327345014	3.41047190488553e-11
"result.84"	0.0191181406191829	1.61358038042181e-10
"result.85"	0.0518144557904738	1.65192304280026e-11
"result.86"	0.0229783338522369	8.52706794063351e-11
"result.87"	0.0227611988092056	6.79289957616902e-11
"result.88"	0.0360016178353113	3.11590753199198e-11
"result.89"	0.017352692064164	1.1868106497559e-10
"result.90"	0.0372818175338054	2.31266117367568e-11
"result.91"	0.0148641315070508	2.29251506667083e-10
"result.92"	0.0156692697029857	2.04320338426101e-10
"result.93"	0.056232825445748	2.64577248998421e-11
"result.94"	0.0307159705365034	9.34587962575506e-11
"result.95"	0.0309589574002813	3.89583920679115e-11
"result.96"	0.0378647409853083	7.95670196396259e-11
"result.97"	0.0252781843476622	1.02046593397631e-10
"result.98"	0.0443982366413649	1.89059878863418e-11
"result.99"	0.0209246619068848	1.58817181628024e-10
"result.100"	0.0461848505851197	3.43725048423948e-11
"result.101"	0.0295338964114724	4.57867077585661e-11
"result.102"	0.0250004233473686	4.14117629077282e-11
"result.103"	0.0295667946819762	5.28350696527013e-11
"result.104"	0.0251271286460077	9.26871912554361e-11
"result.105"	0.0366441235438255	4.79738471170776e-11
"result.106"	0.0194814524479126	1.4583934060397e-10
"result.107"	0.0208845148563386	9.25175491772734e-11
"result.108"	0.0366595223942916	3.23394644397013e-11
"result.109"	0.0387535338334966	5.88860071815134e-11
"result.110"	0.0169761917535649	1.85935711272123e-10
"result.111"	0.0227240760295127	8.9207530251656e-11
"result.112"	0.0395827198229115	4.67650362878658e-11
"result.113"	0.0334408080007329	4.67403893367191e-11
"result.114"	0.012563599883479	2.08405737112116e-10
"result.115"	0.0336355598864393	3.43953754367021e-11
"result.116"	0.0250231826515124	1.08671072140964e-10
"result.117"	0.0283047825466636	7.82780507080361e-11
"result.118"	0.0398232882850826	2.76896283679662e-11
"result.119"	0.0216477131741211	8.91158258298219e-11
"result.120"	0.0484887912212879	3.79565268104898e-11
"result.121"	0.0223521478378204	5.79760683905306e-11
"result.122"	0.0373646208547385	3.49302808899665e-11
"result.123"	0.0380163177440609	5.56032997423017e-11
"result.124"	0.015844031018498	7.49664774701841e-11
"result.125"	0.0177777140527986	1.01347596981327e-10
"result.126"	0.0228022509402095	8.90498785821592e-11
"result.127"	0.0110234059935819	2.21193285909749e-10
"result.128"	0.020221237032847	9.2412077989934e-11
"result.129"	0.0271497709421131	5.31248378621285e-11
"result.130"	0.0292466822118456	3.85431686567017e-11
"result.131"	0.0176133643873113	1.32663657836929e-10
"result.132"	0.0423229013460444	3.22668558538908e-11
"result.133"	0.0429063833035142	1.75950365388644e-11
"result.134"	0.0387008120106862	4.41588987598607e-11
"result.135"	0.0277912396056235	5.98903149295893e-11
"result.136"	0.0340999679926086	4.75135486510680e-11
"result.137"	0.0306952080694831	7.95876697878839e-11
"result.138"	0.0235682703442519	8.12601097521792e-11
"result.139"	0.0118826503108815	1.74165126765047e-10
"result.140"	0.0282664128484202	8.86870576977117e-11
"result.141"	0.0358091323138967	2.28284058323425e-11
"result.142"	0.0329533513434312	3.54469786856271e-11
"result.143"	0.0377127159229127	5.4787951953017e-11
"result.144"	0.0194407102250422	1.07986064534771e-10
"result.145"	0.0437774320492705	2.87714296831609e-11
"result.146"	0.0118568245267314	2.00879535228182e-10
"result.147"	0.0400413815645064	3.9368730497813e-11
"result.148"	0.0457365326980999	2.32529551169591e-11
"result.149"	0.0177756777508289	8.64419646973147e-11
"result.150"	0.0273755927615844	1.01675112773592e-10
"result.151"	0.0187054899287589	8.41740011026104e-11
"result.152"	0.0442892032943565	4.03470590271127e-11
"result.153"	0.0306818816197898	4.72035743825927e-11
"result.154"	0.0453597830023555	4.20061763151125e-11
"result.155"	0.026523644229836	8.02358179896601e-11
"result.156"	0.0226080870663341	9.96889237825371e-11
"result.157"	0.0311342445698151	5.26838572767474e-11
"result.158"	0.0270745757331674	6.5613514621532e-11
"result.159"	0.0355762009066183	4.84698947644802e-11
