"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_XBP1_45_0001","-3.05525342659527","2.18621638161619","5.60451231501091","3.19582104720819","4.93313350334179","2.18807567927214","5.09881182630078","-12.9850796634411","-2.76042220919593","-0.227451413320272","-3.73556083457716","-1.19154711717902","-0.607093452985066","6.81036975556583","-1.37807887167812","2.93974673214733","6.23608981751588","-4.59947170999777","0.297140664452425","0.832599098697429","-4.29412923733967","6.83206887104563","-1.95838085116134","0.0205566761318158","2.45157511870038","1.1353323442722","0.237131025076566","-3.78264688250308","-0.610098598088645","-1.00388986163619","-3.89695642668451","-3.18090613113275","-4.1375127307183","-2.89604219507122","3.08147245457318","1.64777251927764","-4.10439835521242","-3.08632595946909","6.96291306727804","0.10278071276635","3.34577014732678","1.40941238860996","-1.31452727140144","-3.52460403686766","0.11735541233982","0.921263503945577","5.14317509163832","3.41510559072413","-1.647362395873","-0.534135565305145","3.54370532451068","-1.38991307804361","-0.782632944013094","-4.54607729918047","-3.51415828126322","-7.09880298988006","-2.16738747165368","1.07338302964511","5.14420206024536","1.25383420748446","-3.05100606582157","5.89626897054496","-2.84540376427021","3.68426088795486","1.00677871980431","3.28226855867025","1.5597391533397","-5.72661841054249","-0.973826293160267","4.39561777542281","-0.21502270634922","6.52099450119476","3.20963921968341","-1.16062687125591","-6.75069326313264","-4.46128803323181","-8.97791221557402","-3.95782442530046","-0.351008730839259","-5.0233143184813","2.52653693719301","0.288437700681701","-3.00844204196568","0.839828083429527","3.71858627291365","-6.69578953361069","-9.20364147116617","-0.774604970284945","3.53960756790637","-5.59306700189254","-1.04140183062102","5.24191743045342","-4.75531912011102","-2.28802223354373","1.38884733209778","-8.41453289385409","1.64504168799245","-0.324457690333912","-2.37799916176539","3.37647280127119","-5.05322482219252","2.95392850427298","2.93823155393097","0.790330706837137","-0.611947073741511","-7.44964210242402","4.72239644202257","0.33211164570134","0.917305823096818","-2.76698771732974","-1.51186789640909","6.33002581979193","-1.91902620715183","-9.69634340929555","0.990297513370829"
"Random_XBP1_45_0002","-3.04072727843599","1.91004316948131","5.45015303176192","2.93718257547193","4.55832972720701","2.35588040690662","5.05100058355508","-12.9906420250333","-2.68384809351053","-0.0442322728668337","-3.51176785542891","-0.888965134627447","-0.366169625680698","6.79688801005032","-1.19851939488044","3.09797331456029","6.34523947278117","-4.59245777017728","0.452618529239547","0.788845058050344","-5.1468072480386","6.65324583953227","-1.75601506922207","-0.141143748347836","2.29720399524491","1.29401948510658","0.342378096229895","-3.4857666499364","-0.697498248867311","-0.747907970827622","-3.66208731041294","-2.87198539008545","-4.03250976937642","-3.39675780454908","3.12276600978864","1.9941898253244","-4.24257253460016","-3.10299099154719","6.88414615721919","0.33526937865305","3.09400466960999","1.62114452688777","-1.06322829231942","-3.35612327565235","-0.172578067265182","0.98889564603716","4.97591666409851","3.11728562294607","-1.77532220806606","-0.815709346486706","3.167248792641","-1.08966197753859","-0.528069816981484","-4.42509535877648","-3.6148513251992","-7.04987518833251","-2.16787390532262","1.06741504810022","4.88722293782945","0.873846569513673","-3.01029637818817","5.67488262038026","-2.68111716736","3.41554860686938","1.3451681209644","3.34732554551792","1.64460147464011","-5.80763245072738","-1.06613752110779","4.21649146708689","-0.176081356605147","6.5372495263362","3.04776366316557","-1.0429138055701","-6.82653946894843","-4.33495619978682","-9.14060169014907","-4.21573971101276","-0.187360126112656","-5.28333113505979","2.4232678400849","0.381351003843935","-2.86039614279612","0.590187764789654","3.58314110808404","-6.59963762110269","-9.14096178602248","-0.524356013913309","3.32773620088543","-5.68076819663828","-1.20308120450251","5.21906235114868","-5.20766572544851","-2.49958094111122","1.24385814323796","-8.49064789817695","1.43444312567296","-0.206681158075113","-2.34599191366041","3.50883786899332","-4.81835632106386","3.0305262011245","2.7860947061114","1.05155192083483","-0.462758755436872","-7.64850980809055","4.39692239645429","0.519114426933177","0.508511326214765","-2.58935822433487","-1.81570952393184","6.14539111632877","-1.92021975842651","-9.45652646388747","0.997754090766357"
"Random_XBP1_45_0003","-3.16617204544956","2.11382239636082","5.58592651261243","3.10543289378112","4.84691082940873","1.96185129841091","5.05111612065919","-12.8108783839682","-2.91332196369848","-0.316121353626905","-3.62671545969782","-1.19797767415806","-0.515134577895355","6.86586017021601","-1.41661902504595","2.99858377331952","6.25751601105584","-4.72336819465876","0.271575927498928","0.916216324924161","-4.28080114026696","6.77660313313672","-2.07178536609863","0.0805461502347507","2.31270201220536","1.12081007501979","0.345404506423599","-3.75716976604813","-0.567726770253849","-0.957884097587339","-3.80582811123968","-3.06024200137575","-3.88652511328424","-3.01972363595336","3.13189947661097","1.57288152509331","-4.29537575602678","-3.05562848932253","6.85392406744737","-0.0926576632387329","3.22276808325481","1.32424884490648","-1.16980816940174","-3.59149012083269","0.178839467924785","1.01872113847565","5.05383127113872","3.29770896546277","-2.15693514371953","-0.532124780694203","3.49049087779258","-1.26092304435196","-0.72105497287086","-4.331573499669","-3.52496375922754","-7.10308043046501","-2.19558684024484","1.19256828267825","5.03141746519942","1.00681231848255","-3.23169102164108","5.85526389855431","-2.76188256823139","3.65791016958859","1.01251990786578","3.44297390660774","1.56506124521992","-5.9224373467522","-0.882691447900078","4.4199199401142","-0.091266271733998","6.51959694134986","3.15597771332572","-1.07675755490589","-6.82048363623997","-4.51494940895521","-8.94722700267607","-3.95257746658926","-0.403009324060887","-5.17060665795496","2.41162351792635","0.0841151312200747","-2.98542740518387","0.682155356557084","3.58439968489739","-6.55148541231731","-9.05609889250528","-0.779218910874209","3.44899246196766","-5.58927175159271","-1.10072493697785","5.37833820740087","-4.84633228803875","-2.17855391864941","1.46488900722442","-8.54015664384199","1.71506090947433","-0.444976766238731","-2.31605158189337","3.47769090122659","-5.03359185104581","2.90814142812423","2.8331827768559","0.675187634034142","-0.844481657931124","-7.51005318878754","4.62886142718044","0.208605494937928","0.830047447854282","-2.72371152875379","-1.53744032295562","6.23112514069884","-1.97760329324397","-9.4726380197541","0.657050615468817"
"Random_XBP1_45_0004","-3.11565670974766","2.08207958696568","5.6145874572036","3.15409044694949","4.88661506804178","2.09390135020646","5.16593506934643","-12.9235135728094","-3.01479065483046","-0.322821061915297","-3.90611623051872","-1.317401031997","-0.637632177462652","6.98257711354434","-1.49324332694416","3.22600896034645","6.39016458497368","-4.76294035909271","0.109872600211193","1.10113803284434","-4.36539798256897","6.88613055931393","-2.17924473272847","0.176954640750902","2.37963251830756","1.12230306009611","0.476870601382016","-3.77674159333989","-0.434526704263729","-1.08844366396774","-4.0088386348822","-3.22620201215034","-4.01272122348545","-3.07721103956433","3.2025666659044","1.82763092938646","-4.32795933011242","-3.06712105990692","7.07742069342642","0.140874714814049","3.31792014001474","1.37352123173712","-1.24813164323283","-3.61039345771901","0.345030893522217","1.13207071022661","5.05162767822443","3.24681960922681","-2.00505443597373","-0.560743864591877","3.55317787313667","-1.38533182757472","-0.85040199320997","-4.41415209845719","-3.54504752461489","-7.39137474781396","-2.03066708818873","1.12365663218658","5.04239586609493","1.16824259449474","-3.36326848262872","5.87608924333281","-2.88609381787351","3.74429977493185","1.21904076056724","3.39689565284652","1.69732165619642","-5.77584581850925","-0.869337692259695","4.45052941494471","-0.0791705653624695","6.62695244043088","3.1879849233716","-0.967173866457472","-6.84386289651526","-4.60639269941986","-8.90374364950578","-4.1316381960473","-0.576256097649625","-5.25999359121587","2.43648426879548","0.272831358992215","-2.97596487661321","1.05210284779242","3.74599860532717","-6.82349240404478","-9.30355292636894","-0.857261634780535","3.51102125081837","-5.57696906796579","-1.00229576332582","5.5675218259436","-5.0109367653456","-2.00168793793042","1.61139094695454","-8.38887502046125","1.78629502024282","-0.509324881792578","-2.18045865478362","3.54959311122585","-4.9759873637062","2.99071567703889","2.82525210263684","0.882585631773591","-0.787484107554753","-7.79637035610666","4.68953005287832","0.321954190532357","0.827905069950057","-2.75523057453817","-1.69648503449273","6.29442554102604","-2.29182953458518","-9.63844570157173","1.00741182860676"
"Random_XBP1_45_0005","-2.98500457418537","2.00325541001784","5.52108285140966","3.37642719933906","4.85392396559538","1.99508400179997","4.87618370823364","-12.9027270599307","-3.06740976660631","-0.420413527253948","-3.79345885396734","-1.17597835583938","-0.761985864938868","6.83055163753753","-1.47526486008517","3.09282875254127","6.26632511488766","-4.51054494650677","0.0781609110371314","0.945423746373582","-4.33467571498378","7.02761891583818","-2.04347705187337","0.0953193043508487","2.47855839272668","0.908866179539219","0.305101505863406","-3.75359147681065","-0.478106387252086","-1.05292983431187","-3.95671344383582","-3.14874890882936","-4.15899698976227","-3.03019577295782","2.92257237877371","1.78456377349831","-4.44581765539657","-3.25765664106998","7.16326975161018","0.015710747973293","3.22033801507974","1.26378901855675","-1.10385800827994","-3.46646897218979","0.176340341257458","0.979539470509565","5.1147299302307","3.28132953509944","-2.02087956531321","-0.482103608770493","3.55116971766865","-1.3054023847849","-0.870045691343913","-4.22488384779627","-3.66642087682768","-7.17558279700931","-1.99144645854509","0.985187832487228","5.047098990706","0.869971745623395","-3.08251592112618","5.78132924343608","-2.87154558779818","3.69069112984968","1.01519573421904","3.22497820832748","1.32130701816572","-5.72108785812115","-0.91023137862628","4.52568411449825","-0.133023493002141","6.51050230534184","3.22503703315026","-0.980003537334428","-6.87526896289446","-4.67446515201135","-8.78799852065288","-4.12175655543571","-0.569994457657724","-5.18492394511689","2.4351988283173","0.00175984546485661","-3.09400734400019","0.886958545836542","3.60364228137115","-6.61860234306435","-9.27182689327213","-0.742777370720619","3.58173808188116","-5.67000217502547","-1.03977472348469","5.27665118004197","-5.16619814109149","-2.12215258714515","1.29824903338522","-8.38086755522485","1.66587032675551","-0.555860197141131","-2.36022312903369","3.36984501078888","-5.02764908486078","2.83399770868522","2.91298348310392","0.719211368205703","-0.818779748599371","-7.42357442494326","4.69329446233426","0.205220382613415","0.764293193154528","-2.54032701648337","-1.55113642112531","6.2303550333647","-2.07772038868929","-9.3778870408394","0.760067227663147"
"Random_XBP1_45_0006","-3.1109305445539","2.13366394935391","5.52387119432646","3.05960691943336","4.81226910581829","1.9876043355559","5.21624596060267","-12.8051762876645","-2.78845659025991","-0.409814212983116","-3.85604755732506","-1.26682403167187","-0.665036092459532","6.8015544358288","-1.5122065381325","3.12390857612544","6.21980251004136","-4.88065575614884","0.184390814317159","0.874069199440726","-4.1936123343023","6.8076706480812","-2.17005565425359","0.106681907954318","2.34562861197914","1.2889494450873","0.626427742160586","-4.01346157689762","-0.443289120092945","-1.05711506328263","-3.96229863897769","-3.23462333118034","-3.99877358504612","-2.86973485049974","2.9538381395373","1.7419489151011","-4.08639756783314","-3.09040936413371","6.90723171168993","-0.0477157043843826","3.313882585204","1.25071255057762","-1.36610680394327","-3.72234659391581","0.100830881214168","1.02753987336954","5.02099698759964","3.43199644714438","-1.94799540290498","-0.592086296674768","3.5765858025385","-1.33928207961972","-0.844393989917653","-4.3502258612312","-3.48998220481332","-6.97404561685149","-1.98466289183743","0.979211650034093","5.06378107341872","1.27430955751101","-3.18752791676571","5.91221458502685","-2.93041742422006","3.65281252695025","1.04513636693049","3.32636103441793","1.57660937371395","-5.72675539201339","-1.09484218610574","4.32359486437247","-0.0786316900457742","6.51000415636527","3.20182406551587","-1.04513399028477","-6.72412739064581","-4.56283101025352","-8.91794595569038","-3.86098334839878","-0.365866033220326","-5.18121160790269","2.39322176339114","0.0161006706445369","-3.12708413179858","0.913416203217502","3.74217199092165","-6.77245006676777","-9.07385277615083","-0.7899722660129","3.62215453483129","-5.59855352100046","-1.01619037556875","5.30106948715043","-4.94590898374346","-2.22172473284147","1.42397575006899","-8.40549043446285","1.67932033402433","-0.450272735220731","-2.24736336226492","3.2932089556104","-5.09291835304697","2.82831645235979","2.8507212731769","0.691070523612749","-0.744322325876091","-7.54922301962684","4.7595887313092","0.145098147617976","0.797800646873176","-2.75292025052523","-1.62877905875971","6.22054260160105","-1.93615823124979","-9.64487218357389","0.761316765479301"
"Random_XBP1_45_0007","-3.05111095019766","2.07943235329642","5.49841272618314","3.07763580733851","4.8470185475466","2.11573745742023","5.43252720747255","-12.8824462725044","-2.76656250276007","-0.170590440906987","-3.56353060984148","-1.1922107574193","-0.559030809044963","6.9652781346908","-1.3205168783548","3.1906879134005","6.25864769602883","-4.59612542121542","0.294875703617493","0.844344142663001","-4.15957473753028","6.80310097851641","-1.9451918520245","0.291097535042446","2.12099650949929","1.14453098430091","0.45799987594628","-3.77103607654492","-0.541919483054756","-0.960705277365846","-3.86727182119376","-3.06557110886553","-4.00622220590952","-3.19005312836904","2.97496335331967","1.7872842977508","-4.27012474334757","-3.17153314200853","7.00748077262946","0.196457201699211","3.28425199962308","1.51304625166467","-1.30178755443721","-3.49269488935675","-0.0156675893274151","0.915206240242889","5.11850728533278","3.3164204065182","-1.86243979186534","-0.668691337924814","3.61572311171328","-1.27156051676211","-0.724173782431966","-4.47618198609664","-3.51254480741053","-7.05089520500558","-2.01612562309824","0.95550874979587","5.19740065529311","1.33935286880516","-3.11465182112106","5.81984880326174","-2.94901452374257","3.61884627471739","1.16352321942158","3.28516252256241","1.70307197806858","-5.80513730433651","-0.928278340538467","4.37558173062211","-0.194759290655125","6.50460274413414","3.2472760421714","-1.12938527432466","-6.79757012063222","-4.49069071091298","-9.25371936582457","-3.89023947293372","-0.26484551552126","-5.09023094766041","2.38735703557937","0.269470994464234","-3.11266648558154","0.819257240537157","3.75646377606107","-6.68372761233509","-8.96051099910323","-0.64229884248207","3.44747738988382","-5.53844668882149","-1.21133563716768","5.40702393719604","-5.1549676308779","-2.31886629481286","1.50315603046722","-8.4600128502613","1.72191960323177","-0.350421065433966","-2.1719310484286","3.31598321510286","-5.13993173298094","2.86217124052981","2.87778394952135","0.764693281491799","-0.706401061859862","-7.46174351996278","4.61378587569912","0.22242723819934","0.960113753360856","-2.64799826659384","-1.77612569609165","6.2662528107085","-1.99543326097082","-9.62542830937305","0.851092019821884"
"Random_XBP1_45_0008","-3.10894109644381","2.11802520635081","5.58845421719181","3.19087747010874","4.88275452012619","1.85302224830395","5.07004946504382","-12.8193864351245","-2.77127763297611","-0.537452884035961","-3.76154412365765","-1.24322057331597","-0.79626729873341","6.92929417605557","-1.46138640791765","2.95967051540408","6.55768777205868","-4.74271230986368","0.120769585596848","0.769291338806377","-4.20622229960659","6.82467709832143","-2.07360425345509","0.0942846827651942","2.41130259724459","1.16900636739256","0.584735413716726","-3.85780234499537","-0.519732145747856","-0.989339673831369","-3.74665008846607","-3.09906743671923","-3.8588663389467","-2.95223958781416","3.24680460868812","1.47596896641314","-4.21632304767659","-2.96896167300514","7.06295740007949","-0.0658418762714321","3.21243503766319","1.26862721659755","-0.964244861540787","-3.50950630940222","0.141102892558662","1.12567743366659","5.10894024584425","3.45509963543926","-2.03658162682706","-0.524290849937991","3.36841305073803","-1.42696539418387","-0.851193438386275","-4.32138917587858","-3.49911455698902","-7.12047455135273","-1.97571537344363","1.24525763121413","5.07319919463333","1.16172688519751","-3.27925721841509","5.8605366438351","-2.94368278321971","3.61710358955048","0.928812870648242","3.6009272826116","1.30901004401561","-5.57030319485725","-1.10994448741474","4.49332946044663","-0.171786861538418","6.79720586405719","3.18892408185041","-1.14078698557485","-6.79155276741026","-4.58829738161696","-9.10526995981057","-3.89238965087175","-0.32482616674973","-5.22503864635856","2.51723439396119","0.164189844926787","-3.17309343687101","0.975327051536904","3.69929057973367","-6.77499993355436","-9.05174009649577","-0.860593734317986","3.569442025422","-5.30661417874055","-1.24355586560453","5.38643202273115","-4.91144047968082","-2.17192377093034","1.48361582447257","-8.26269942365005","1.60975161126612","-0.421833252322548","-2.08989676976712","3.5960214939675","-5.16299599718783","3.04443653546119","2.85885528208795","0.612273714353814","-0.576595610321792","-7.45971932369605","4.77335186798254","0.0745168799046619","0.755846272919454","-2.64755606126741","-1.60173758759183","6.32682851311825","-2.06224803292867","-9.70355057880755","0.665190409192212"
"Random_XBP1_45_0009","-3.12608809770809","2.22321913961835","5.59843694098286","3.38185815917496","4.98651167511998","2.04238554344767","5.16055210705988","-13.0133293263629","-2.7931660787714","-0.350860357791478","-3.76467591077101","-1.29624125103099","-0.610879423478736","6.97262841309507","-1.46495721833333","3.1811094757181","6.36912556748142","-4.56177686341992","0.110061324921785","0.892953541347609","-4.24415046396437","6.98094654980926","-2.07673423912042","0.255829264771798","2.42814191466091","0.996181770049553","0.415825745119425","-3.80243735958439","-0.429970140605602","-1.06687384879916","-3.9030615929887","-3.1979449420387","-4.14300514311264","-2.85829120702416","3.04830896287997","1.65296449593902","-4.1899581877088","-3.08392356986048","7.07546098262681","0.0629626811641906","3.48213910388771","1.30012744905818","-1.24643893201398","-3.46875162313023","0.202200271962433","1.08575426316941","5.3063993420102","3.45074759370456","-1.94692308101099","-0.377152100880512","3.5613673667324","-1.41344884338132","-0.835456641840313","-4.43300853255247","-3.73297754147357","-7.16114264891533","-1.95976825954265","1.06962126947401","5.15860650571672","1.36441150890606","-3.21856793274615","6.01128327701463","-2.82091465385686","3.82525725706909","0.986097549338856","3.33921241551509","1.49436531140209","-5.90859132551575","-1.13545412414992","4.58740062949753","-0.163537847792458","6.68125413886965","3.33877820223664","-0.979375639993512","-6.74923244371745","-4.55617181881328","-8.97300383794018","-3.87072224237872","-0.439903539945905","-5.10311000001572","2.53289457941974","0.129060821166967","-3.03247188181153","0.961031253217937","3.68131903886578","-6.5763706105644","-9.20067768078837","-0.929149192262881","3.66381486396956","-5.60501975431231","-1.05385151107342","5.3963322990026","-4.80889350736986","-2.24311439954367","1.53657966661789","-8.45133548551941","1.80815617670409","-0.459831162142223","-2.30183687264867","3.39882582545517","-5.15875461266237","2.85966228678964","2.99737303351267","0.696277230095453","-0.751112271909536","-7.63098919829832","4.72610300716159","0.201785357740463","0.835935441733823","-2.73404615681673","-1.58143075706252","6.25559024246043","-1.92987211835372","-9.62305163929614","0.724102934909546"
"Random_XBP1_45_0010","-3.01659791021527","2.14671764302945","5.55867437622369","3.13474281501238","4.87360139107162","1.93262382333316","5.23051163200893","-12.8521978010142","-2.92898194987179","-0.32702715153523","-3.75515353373352","-1.17790349945622","-0.633022140046733","6.92751261751498","-1.36876763823303","3.10675372809499","6.22100889365154","-4.71102643152804","0.210245642658651","0.861610108332676","-4.16451016484211","6.8406646206501","-2.11553416542812","0.199197377090466","2.24818473271121","1.04813993681388","0.332049826806962","-3.77152223056078","-0.260240606933628","-1.06154336264652","-3.9209608332354","-3.18319816235868","-4.05616521294813","-2.91830146832829","3.17172715717751","1.73469023433907","-4.15972493724948","-3.28922349658232","6.86678193896457","-0.0222400963369581","3.20842210055754","1.3114070170371","-1.32160186505769","-3.59938227633675","0.0657297405653899","0.887549711960808","5.089224303832","3.21291062442229","-1.92961169153711","-0.686602795923079","3.56569261220601","-1.31745702384982","-0.693494154383512","-4.46257926002518","-3.50219969269927","-7.01681122289899","-2.15705225589757","1.24880857914213","5.043631413246","1.16884549606881","-3.21894391335733","5.89269914268315","-2.8175991148614","3.76538033338058","1.08462627592942","3.38621683215257","1.58148098216671","-5.74927269365948","-0.819238049558452","4.44354394950504","-0.0117357843489851","6.55268681545538","3.330636211836","-1.12575453767885","-6.845991720178","-4.37433632117728","-8.87239319561566","-3.995719718588","-0.42814253801844","-5.24814285803818","2.40413371658343","0.0557916446368049","-3.15756757205866","0.842121220531197","3.64231014416645","-6.65128383747654","-9.12629329905682","-0.731614281229777","3.44035090353427","-5.69059529668075","-1.17230181913325","5.38158219938457","-4.87526645664813","-2.124397642914","1.47144212955438","-8.31411328790245","1.82556149140351","-0.569381321410655","-2.26028686841049","3.58256624571938","-5.09294638948474","2.89551475897479","2.91117779017591","0.681211542888295","-0.801903318152266","-7.4958045217532","4.68931647907626","0.171793472491611","1.0040682419234","-2.63303609675359","-1.6436983204544","6.23209102748486","-2.08780918443863","-9.57926916057713","0.696445964970374"
