""	"GATA2"	"PGR"
"result.1"	0.0296492033504043	5.9920957085069e-11
"result.2"	0.0608875698643585	1.39293021561571e-11
"result.3"	0.024368292553393	6.72384370403734e-11
"result.4"	0.0270488114754808	7.07427449953002e-11
"result.5"	0.024412512565724	9.52393719444444e-11
"result.6"	0.0250199647661431	1.01647357197976e-10
"result.7"	0.0382866874275365	5.85289594567939e-11
"result.8"	0.0172626759480619	9.55031609350954e-11
"result.9"	0.0216849387155256	1.09844355833388e-10
"result.10"	0.0235520094715747	8.44508907249519e-11
"result.11"	0.0482881491504836	2.21542784117901e-11
"result.12"	0.0182974138044536	7.82636178087159e-11
"result.13"	0.0363974032132297	5.09861042274906e-11
"result.14"	0.0225794547578053	5.95523630408934e-11
"result.15"	0.0227660169414277	8.41720027011661e-11
"result.16"	0.0299499372677712	9.59625712226853e-11
"result.17"	0.0227154812543939	8.39612823710922e-11
"result.18"	0.0355503925591028	4.70965488830188e-11
"result.19"	0.0278416937062109	1.05488506818574e-10
"result.20"	0.040343697267804	2.5714541607158e-11
"result.21"	0.0229822280753946	6.85858037030584e-11
"result.22"	0.0251503161450197	8.15871814552338e-11
"result.23"	0.031464212712379	5.57274226764548e-11
"result.24"	0.0359839588360371	5.73678882176409e-11
"result.25"	0.028311061740895	7.26365634307058e-11
"result.26"	0.0175582622061263	1.41294975719575e-10
"result.27"	0.0273692772255825	6.22693008267561e-11
"result.28"	0.0183722183570576	1.60814250804719e-10
"result.29"	0.0346102778199715	5.63273871989622e-11
"result.30"	0.0175561439903555	1.02017727598991e-10
"result.31"	0.0296439307961349	3.540878701358e-11
"result.32"	0.0340865310421317	5.40056888098661e-11
"result.33"	0.0392480389427319	3.74686948134695e-11
"result.34"	0.0325952262568121	4.70603556124161e-11
"result.35"	0.0486348252691515	1.75770509258655e-11
"result.36"	0.0204841023007791	1.02194253059906e-10
"result.37"	0.0230307772545746	6.77891076605874e-11
"result.38"	0.020584293862725	7.60118634701712e-11
"result.39"	0.0207360861992483	8.35600477699927e-11
"result.40"	0.0245059649365325	7.68600738609848e-11
"result.41"	0.0135369180912301	8.51523296319101e-11
"result.42"	0.0384811653868853	3.6397995728521e-11
"result.43"	0.028417471560221	5.77360381726066e-11
"result.44"	0.0279910481558809	6.39643893407538e-11
