"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_beta-estradiol_289_0001","-2.88624965393692","1.63860433023985","5.3952218419107","2.65311296572003","4.37399018621245","2.26416672801951","5.36677917119009","-12.4538139683582","-2.38404510636856","-0.205215602392791","-3.61044803439857","-1.31815349781816","-0.424489561987212","6.57392295240322","-1.25761510632714","3.03789383913464","5.75547737988194","-4.59752750908173","0.104649399051817","0.818165621003698","-4.76726168688241","6.27109174626286","-2.00876222066271","-0.21858169145715","2.07915544110438","1.57955573377477","0.0848317473371945","-3.80789930877973","-0.370934760278353","-1.0567848474197","-3.76248268070775","-2.94208543383013","-4.1448154920944","-3.27418665736126","3.00177452183712","1.94968106073559","-3.91856259765422","-2.73693887011729","6.2226117052981","0.0773396552692528","3.36322181672879","1.21230625666074","-1.34864252969368","-3.50045482851541","0.318393919154403","0.912446770473294","4.84983642768893","2.92572266481333","-1.48383940157157","-0.964461835054947","3.21847065393039","-1.21183947812333","-0.597440377934224","-4.44519838386657","-3.66190931604745","-7.22979175933603","-2.29983861860998","0.966690422405084","4.70733455021898","1.38229439443468","-3.22591918537104","5.62265841362434","-3.11392501444925","3.43072863065554","1.15893552422941","2.9626447692798","1.56177139355668","-5.72745481013975","-1.0027163730062","3.87301282224718","0.151226484290022","5.93427115225831","3.09445007665383","-0.943705207851125","-6.29955836252969","-4.19745879742367","-8.50993918262191","-4.12310145858847","-0.0231236940907082","-5.14422104912264","2.35782228234311","0.22725875743252","-3.08934893199398","0.634636341257904","3.45292080538095","-6.41026210322208","-8.73340196785413","-0.759463857211752","3.23703902889872","-5.19225923269892","-1.12344024800519","4.91005559652318","-4.98032396741032","-2.43003295372245","1.15781640494029","-8.15488075153339","1.3820889026959","-0.149701868783031","-2.40300789109629","3.36518985089462","-4.99577066951431","2.73555712700755","2.4046237475113","1.01612435545739","-0.514501120546249","-7.50814295594762","4.21757251399325","0.318856240231907","0.759577681781812","-2.733680738274","-1.90295274807287","5.90902518574849","-1.59575985781727","-9.46502442733544","0.910375642694443"
"Random_beta-estradiol_289_0002","-3.42389950649197","2.31889788269935","5.57982268187232","3.32186034770474","4.62929631998403","2.31813659996264","5.27311475558987","-12.8375011014862","-2.25665261218031","-0.136643882612053","-3.77787505129842","-1.1531180195842","-0.90458374186128","6.63365104148333","-1.47572378515736","2.52603371617558","6.06922930177936","-3.65949678910134","0.335553482454611","0.56896480323205","-3.86490498945706","6.8328338879998","-2.20081580239093","0.164505151388151","2.42408632074562","0.861177976161838","0.401758353277017","-3.76509007197292","-0.847589367322846","-1.04738835922498","-3.62690688966707","-3.24946521153244","-4.33021093850863","-2.39925513545603","2.75227074997065","1.388283695141","-3.97071115652379","-2.93392547697244","6.71461155137344","0.388912823424392","3.38829588448263","1.22929885205666","-0.962371001814331","-3.27341281019954","0.269677883828058","0.958839175650056","4.85649822666357","3.42810061487022","-1.61084775133366","-0.353083674699447","3.26719018943592","-1.41824202005834","-0.883574291476418","-4.48259708235596","-3.59628489310257","-6.83995430778515","-2.10140080744928","0.732041778396128","5.29030584230751","1.72890223903211","-2.74534455253862","5.76597514649415","-2.90074792947015","3.66585016525526","0.989224442204797","2.76176134830414","1.68778017117618","-5.13705931460039","-0.943981808684349","4.37641428138781","-0.454550915597621","6.32032505540303","3.09226432773662","-0.679615431769639","-6.37180771633822","-4.76469790852536","-8.4915975781318","-3.71918919622226","-0.238852998085708","-4.55738640651245","2.30773685125945","0.15003698309444","-2.84581592960791","1.03234240321627","3.52728702657056","-6.4563876803426","-9.18910525899599","-0.676813367898347","3.63095610867749","-5.41493998451352","-0.929360846302352","4.84048115232446","-4.8926693012473","-2.28207114449166","1.13316116977278","-7.58685100429836","1.31826771669819","-0.320822252084001","-2.46251853179304","2.88514078422392","-4.67369724880364","2.19574790476705","2.94251486097082","0.922964870291519","-0.254817761336524","-7.02725978183533","4.71022066112611","0.375085263794249","1.28742358204697","-2.87351026592266","-1.49181463190872","6.23821656343224","-1.33124859023768","-9.02934094543656","0.96482741101971"
"Random_beta-estradiol_289_0003","-2.5242798379191","1.80702027257188","5.06202642720248","3.24333737098788","4.35143253289633","1.70980905910706","4.56527268549926","-12.1321222850101","-2.64062596972669","-0.361321163675371","-3.46275908640373","-1.07666956509106","-0.512612683289796","6.74686922857752","-1.35145046385801","3.13182004305557","5.85047144088329","-4.15320263737049","0.115780905616415","0.459484756849804","-4.22300420048189","6.61711116029332","-1.71816682028383","-0.0989104736686349","2.22598999408843","1.23132999418039","0.0713809882009694","-3.38168702834144","-0.526471693525634","-0.921744621997269","-3.77808216754631","-2.96517203515308","-3.73490445451686","-2.79553518906028","2.87672545618327","1.87687544932273","-4.40962442058551","-3.20549619967683","6.7201132743557","0.292975807843058","3.02173173589156","1.37286105743443","-0.767068087651111","-3.20637726837752","-0.0666360144803952","0.669061638546254","4.73570649798723","2.85249814204111","-1.92955129831107","-0.790609065089507","3.1821414148082","-1.36857555491934","-0.910329732977748","-4.31486084757824","-3.27331614997384","-7.49205109224625","-2.78219969204108","1.00304945291183","4.78078720945369","0.852779010658803","-3.02066320075293","5.23978825817973","-2.56102629236221","3.30834237408966","1.04604233380122","2.84586755404751","1.09851823748821","-5.30835327093174","-0.945392893385841","4.11631609420765","-0.293537146038292","6.297453919747","2.70725901184162","-0.886873568479067","-6.80350765589628","-4.16942812030548","-8.28811635885179","-4.1604865120127","-0.31853815574119","-5.21103892202818","1.93833811786216","-0.0626597991570958","-3.14578415143643","0.900901510720625","3.24339679935588","-6.47709064116202","-9.06468263757273","-0.318744004347861","3.00359146872368","-5.47592164860425","-1.14170095559028","4.81431327495676","-4.95994506095656","-2.25538185978467","1.22928776662358","-7.52722744027666","1.33030855144758","-0.360068233127602","-2.47015934171351","3.19175169630957","-4.82909319363385","2.73898002005749","2.52180716222084","0.710525486310636","-0.366934480572406","-7.14425555395204","4.59115388296161","0.437497478384038","0.694434931509319","-2.28040273675247","-1.75614526937456","5.82942767254859","-2.05958741229492","-8.9789949471202","0.730275504887782"
"Random_beta-estradiol_289_0004","-2.95825760124687","2.36522931325625","5.73679032317758","3.49280376569524","4.79050326389405","2.18061646492259","4.54837362648762","-13.0869876311701","-2.84661152814314","-0.0537066605062772","-3.60091481304903","-1.11496080514657","-0.500948420156672","7.11389085249778","-1.07654870212877","2.83705839433732","6.35113205445202","-4.29608228513671","0.398678985658216","0.704058517907959","-4.36677044003994","6.90696653527229","-1.76220956108479","-0.0395108044495302","2.49494358598699","1.04784000478733","0.462529638477138","-3.55196338783322","-0.651278981371927","-0.81343864975356","-3.76047423195721","-3.07618325541028","-4.21799154433646","-2.90485665459606","3.46309109858901","1.49842678021356","-3.91795922242617","-3.07890314994507","6.96179974960563","0.197981439002839","3.41256523305043","1.68448750803553","-1.29387571774061","-3.38281682964957","-0.164113140659806","0.769350732174685","5.18468622511228","3.34481928567523","-1.72470516445767","-0.188460597254091","3.60986424458488","-1.36802379000307","-0.786333562808522","-4.21182086561699","-3.9594862785121","-7.12646266170077","-2.30088539324902","1.6143936571576","5.31980233860014","1.19313766174312","-2.91385826834813","5.77975814771056","-2.8075004878355","3.63105699315406","0.892884187798471","3.35045977270657","1.19701026727324","-5.68121232634061","-1.2676559171967","4.52846516322988","-0.794385851335376","6.74776841337989","3.29291124309764","-1.35608604968856","-6.61821634632986","-4.57105417920501","-9.0471742960464","-3.80241233103809","-0.188638611255051","-4.84347629905372","2.59771238988249","0.610960478833433","-2.69685597887289","1.14476561672828","3.70853959975275","-6.62012528722947","-9.01212411047379","-0.776535406543745","3.63774626407075","-5.24353862079399","-0.998897886303051","5.20495585899299","-5.10570081631413","-2.35211010861226","1.32013337897293","-8.50060977333974","1.57457972987228","-0.013491448760217","-2.21446674053258","3.64057156751163","-5.18367374032137","3.21284033396394","3.07592657098876","0.823500946675927","-0.506808322101971","-7.22554265038243","4.67373855164869","0.621550250553405","1.18539910641513","-2.6983654027227","-1.84397617922679","6.31605198355051","-1.88631162592536","-9.58566819164959","1.37927195585366"
"Random_beta-estradiol_289_0005","-3.6158630516753","1.83942703794679","5.60033719642321","2.97048102235087","4.595648415085","2.34984905265205","5.69191732665985","-13.1701684654255","-2.20603148987923","-0.0866361412549711","-3.51319435718696","-1.2505968143473","-0.159482647802123","6.71327125640464","-1.23571876669753","2.86967215346509","6.5696479640562","-4.58317358367911","0.186100117047632","0.429317154959457","-4.16095590336997","6.86323225122298","-1.81231395836158","-0.23725961072128","2.16742280996928","1.20145204403448","0.195235496967164","-3.95434513366675","-1.01799934303073","-1.01113991323189","-3.33253919399336","-3.02915623862443","-3.87561150372915","-3.27549614107682","3.87777572319808","1.32477196627837","-3.58104717186191","-2.65927585705334","6.83189389475256","0.022760890752658","3.06682521307534","1.23457304202187","-0.780578057195193","-3.36892459513038","-0.11866730625682","1.32387578168552","5.21065962878168","3.52783672510526","-1.8644148442721","-0.142632327134794","3.03210471449738","-1.33063820936212","-0.583266586059498","-4.84602399823478","-3.89310217482814","-6.66925254351809","-2.36089736892714","1.96189014258631","5.28169579231065","1.18877588935184","-2.5706831984187","5.69487267295623","-2.63450447873741","3.42939642817006","0.88193399096757","3.96724384518642","1.5498166212469","-5.61736613500236","-1.29525936686807","3.80606888278579","-0.172890887612721","6.47213057261784","3.21691247251225","-1.01556036084308","-6.07588541423662","-4.28951724861384","-8.98522939608192","-3.32469650234876","-0.0373074230144916","-5.03249402528015","2.79079144760148","0.410880960045073","-2.57238388678688","0.562661800573267","3.87054648444197","-6.39247504421001","-9.15456348406699","-0.768790479556171","3.56802627512542","-5.46765344099587","-0.899739699072633","4.8966327845121","-4.91852078713262","-2.25502840918194","0.826962165875827","-8.55138297175618","1.16501761415152","-0.0700838883589982","-2.14541577783561","4.07130307622616","-4.70350655910038","3.37462876561698","2.95905058799838","0.633275277888011","-0.384011415649407","-7.67978742699789","4.82679336952976","0.536767930594868","0.543709113320232","-2.90943615711568","-2.01299928681787","6.70320602569318","-1.7364565632784","-9.86229152151294","1.53347491028049"
"Random_beta-estradiol_289_0006","-3.3906240670714","1.96301697724292","5.59935047345152","3.25302087070837","4.70807059399338","2.383024228124","5.38575610755031","-12.521441360706","-2.57115044596125","-0.0992076133170498","-3.38442738558175","-1.28498474998085","-0.490928000246033","6.65352988947271","-1.23499596932224","2.99964802904935","6.44593273356113","-4.69103588937675","0.228209702322319","0.786636816356821","-4.08238486104039","6.47896703419128","-1.7267968871468","0.140046027934856","2.06981711364485","0.779689079329878","0.120176569036147","-3.44162186846219","-0.906881157195829","-0.902457640540321","-3.6539015135197","-2.87795099725951","-4.06095607348417","-2.97957171665816","3.84595183816238","1.32197940880388","-4.01513484812744","-2.78436855186142","6.88748336928627","0.362468100417506","3.39259492725714","1.52369789179524","-1.13745766335377","-3.32763270962158","-0.029413713534217","0.881503429993685","4.9587079353626","3.19650709756291","-1.93361663991224","-0.502022803972013","3.06536539929474","-1.50971963970749","-0.945271183969039","-4.45454498182738","-3.61942387231502","-6.53297637575068","-2.11446119447061","1.70768765627296","5.00715182543853","1.17511041804988","-3.0611460713805","5.81332015707962","-2.47476064591848","3.41069158947937","0.827522929602507","3.90227163451895","1.31199948253092","-6.10142989710669","-1.18369571490131","4.10134851400191","-0.0971444540550497","6.77078681387319","3.17188260248997","-0.974877167361666","-6.3130433407721","-4.54203335284125","-8.62746733073007","-3.84324057880533","-0.0282887290380185","-4.99824951887305","2.61728529785045","0.516882741556337","-2.61893895074834","0.747505322464715","3.5512639629827","-6.23318317007895","-8.95312448835411","-0.949154882214155","3.39776975462353","-5.50701494947701","-1.06720708992783","5.096728138199","-4.8932774084213","-2.42779591602528","1.34576431955495","-7.94347488251753","1.68803831373966","-0.214596596733189","-2.35779237233649","4.12790602224293","-4.59271101279238","3.42060267173921","3.01441178564604","1.09802363205239","-0.585482658286946","-7.70706000959903","4.43497191782195","0.635492232271246","0.755096212320378","-2.76117419334992","-1.46922794207142","6.06985627602489","-2.27035887657329","-8.98409261252201","0.953655890295822"
"Random_beta-estradiol_289_0007","-2.86773439090076","1.77104991966674","4.82565418767336","2.36603585123111","4.45282222113807","2.28389063976868","5.14681439048335","-12.2527106322801","-2.98378713551062","0.234241061582593","-3.31730300294538","-0.720035737701609","-0.226473294107992","6.7206039793337","-0.971513751323755","3.20184719437425","5.79382178149423","-4.62348826386784","0.505378046132279","0.695565576810213","-4.2972349501539","6.32896587421353","-1.82717311252099","-0.283010008982148","1.63324571444412","1.26972290388721","0.230695520278884","-3.48515461406324","-0.730856058198596","-0.673303292160116","-3.66335413989231","-2.58544475979885","-3.83396855779198","-3.01741217390869","2.78137951435143","1.87512519891939","-4.2733035287293","-3.17448792405727","6.46212937407405","0.431509463782034","2.87780088662414","1.57014847910724","-1.23314085043356","-3.4433568595811","-0.32161440673876","0.567782196506569","4.71167559162338","2.56782336985011","-1.90534532109774","-1.3396550987347","3.18914008080666","-0.972344846140362","-0.403812072871782","-4.31180779254876","-3.55595143085372","-7.20015975602362","-2.42694082609569","1.01586404948533","4.73989685514522","1.12303978225692","-3.05913316751917","5.53037675595704","-2.20477454231113","3.31709212341355","1.41992695525608","3.12354499170537","1.72981473884753","-5.41494514394463","-0.473157591522151","3.77917580480492","0.0501966295438289","6.18406441677756","2.81633406732246","-1.03607874033474","-6.51206205584642","-4.15881422468247","-8.94065016019426","-4.17797727926409","-0.1383464138361","-5.12614752355961","1.97504952821444","0.648749522519497","-2.52535248250231","0.316186860138154","3.4523361961563","-6.08899908299105","-8.4230960516337","-0.561168650789597","2.68468758316794","-5.75615834076517","-1.51258626718078","4.78612815900571","-4.94186644775977","-2.549781877647","1.1077303106113","-8.12055116848305","1.46356826164926","-0.15500589790604","-2.12043244941934","3.18925453540362","-4.68938419107192","2.48188159940537","2.425480806376","1.02026447713552","-0.638960117622384","-7.77885532789378","4.19785243289165","0.542142125554811","0.794125917104629","-2.55986040387884","-1.94107228446799","5.8481097314919","-1.90265694345872","-9.26932388945322","1.1430624789725"
"Random_beta-estradiol_289_0008","-3.37795862972333","2.64596636182221","5.82646041920077","3.28391368404338","4.99456366500235","2.17470931275561","4.95444726868194","-12.7818298457913","-2.76532061759251","-0.338682707921301","-3.90704647898106","-1.46981399501178","-0.932478526844957","6.65840011659151","-1.68164689163524","2.97270789136072","6.46319121993598","-4.39928141906547","-0.13260567354295","0.656281128730481","-3.88393988896794","6.83212107454496","-2.25750433067862","0.161918276028544","2.51995160136577","0.91679149644352","0.158211198311701","-3.84196405970835","-0.536434181418688","-1.07386393775379","-3.82074012085823","-3.351498662953","-4.16580315650367","-2.57367312048763","3.12319970795686","1.34655641330731","-3.9172683223045","-2.65381666980565","6.83667807084503","0.0158155956681378","3.68524959861598","1.26202649133387","-1.20335066401337","-3.36320526791602","0.410481262527333","1.07911305609334","5.27305916292303","3.37227282295716","-1.62801852471718","-0.112287903046148","3.56985532619238","-1.41417428389529","-1.11001101475039","-4.7159137105345","-4.10135705754704","-7.09204237456","-1.92658615082255","0.952454129663304","5.20560929198344","1.17223062297783","-2.75468655934524","6.18067420671273","-2.93115296936779","3.75505803353195","0.797905159594779","3.24192529946658","1.15870662136427","-5.77171811476334","-1.21037189077204","4.41570019823225","-0.481547815256612","6.5223074656634","3.72318281831841","-1.17717681554395","-6.56472039676627","-4.4257254202342","-8.8028459192376","-3.30612068506614","0.124353569822666","-4.75221410771934","2.59574378491932","0.0354585265310077","-3.09283772791271","0.871890388104995","3.5997924460219","-6.44264148076185","-9.2009937325681","-0.883176098458453","3.69755221029277","-5.55070369588256","-0.973991899989156","5.43861443195455","-4.47362708936883","-1.89472146441401","1.19236261625408","-8.2575901836821","1.5692680277293","-0.369964928022293","-2.47281658711311","3.18880114181223","-4.77474921009026","2.98505764220664","3.06702848954886","0.528234870420791","-0.423173041541721","-7.17539949558928","4.57292616656142","0.357903181846877","1.14876595119988","-2.97987706854114","-1.44576582290972","6.4516887329398","-1.69042995067884","-9.51749316654962","0.821039360251957"
"Random_beta-estradiol_289_0009","-2.69935577205119","1.7313081379645","5.35932117382894","2.95817107959771","4.86438251376469","2.03603213086632","5.01973331965284","-12.4772555317394","-2.28410588486968","-0.00938287111134466","-3.1877613083625","-0.917670726038579","-0.0500725449665759","6.51309232022001","-0.846325460541224","3.17555490783063","5.75377778585862","-4.71973018309003","0.545600317095763","1.16950441684026","-4.54341310856313","6.45022108427696","-1.51501425532043","-0.0791550171418292","2.14849530402816","1.50879114734478","0.621933852036575","-3.22254813845524","-0.0341367578134463","-0.715741220066137","-3.92618399723095","-2.70729251807585","-3.68725867149671","-3.53275035670657","2.8023337072979","2.47421597249926","-4.20118954584043","-3.07619492139942","6.43008568418809","0.122708894022714","3.04513721981174","1.89005186220401","-0.993190348071239","-3.60374691388643","0.31910576705844","0.839100324894654","4.6532437729758","2.81223317269248","-1.15511894853726","-1.06746035076697","3.44749332096631","-1.07841737969517","-0.308807869253655","-3.55549238046525","-2.96202229127941","-7.12637609513948","-2.17424394256285","0.76702790222571","4.58044923617455","1.28587845573728","-3.3799645982672","5.76196805243163","-2.85635906701821","3.53239507064873","1.27828149269606","3.15126007301584","1.84780731903845","-5.44161447956307","-0.688929472759807","4.0470271883634","0.873495151543503","6.23228018688218","2.86475650747234","-1.28823755724032","-6.44401877443442","-4.3567062677888","-8.48914516450527","-4.08461276486814","0.0280358831119074","-4.94892521931025","2.07049613927595","0.653549331440881","-3.04209460332581","0.913063181223835","3.17082321074136","-6.45202939444717","-8.5061754549468","-0.35651097222384","3.27317850384032","-5.48986472998482","-1.20313083657424","5.20518693904372","-4.68098656130857","-1.97948802969488","1.90475632992038","-7.82390449546892","1.81699782073246","-0.246486810406045","-2.18305226031486","3.22987014013611","-4.88736701298257","2.89507069501486","2.3333378935096","0.812157468826696","-0.737383233227231","-7.34262965290578","4.5414525562674","0.405515656974295","0.707506858634679","-2.17895020737552","-1.79769186596323","5.77022231803725","-2.14830815098451","-9.53508727127923","0.832031533120876"
"Random_beta-estradiol_289_0010","-3.77023614574429","2.16095395424756","5.20694279065755","2.77283491020986","4.47710289325225","2.23946876245575","5.09011822260578","-12.7153622521946","-2.59639949820656","-0.372100554780273","-3.76463326070952","-1.41662526953476","-0.452811624204372","6.85055237888057","-1.8623241138113","2.8571388956705","6.27772926358802","-4.87456742498228","-0.0316281017430799","0.599069780871449","-3.99708627643632","6.73222155595737","-1.809418818019","0.200042152370036","2.19248852131443","1.1336469512257","0.320267706253074","-3.69493188087646","-0.89001152509563","-0.96473323551287","-3.53429740976865","-3.22537266527696","-4.24915369347094","-3.43973737463624","3.21075261144201","1.27776929720518","-3.86553433438886","-3.36513004863494","6.83586408090085","0.146341958795077","3.25471535363895","1.18060775232987","-1.11172281669044","-3.60874885985553","-0.100480243747384","1.14129085939149","5.29117168693766","3.08675374327369","-1.60716872478827","-0.696183425493733","3.32257876808175","-1.35451183295142","-0.984362667438241","-4.39815084144553","-4.08059364719249","-7.06776589369483","-2.38415089321611","1.39199053430106","4.94168148909362","1.0001978020926","-3.28595103928374","5.55948596325491","-2.60740757597167","3.69321203074274","0.883207704415979","3.67941484540641","1.41167489187863","-5.53811879653178","-1.04929557330751","4.06174384406747","-0.450562872078623","6.66568950725622","3.47254242997256","-0.937043793441838","-6.38598091493692","-5.02953224364199","-9.08425435762774","-3.91573128722869","-0.464466050868796","-5.21518942139473","2.60961862700905","0.282512911066184","-2.66948933521723","0.728828744712143","3.54256070738056","-6.39240319011455","-9.35385812445933","-1.18940514413423","3.61527264119213","-5.66744413622725","-1.04884079797607","5.09603766168608","-4.74570822874808","-2.27922483995421","1.21869033503794","-8.50267625801296","1.60016284792253","-0.631523950169626","-2.10920473486856","3.52278854067528","-4.85223240159655","2.9828698887982","2.58811848681186","0.884336890577167","-1.00953175713026","-7.56878423591536","4.60391869974282","0.385091899043944","0.369558809971285","-2.79192690578112","-1.6756237524503","6.35127930675981","-2.41774214291294","-9.33563935845737","0.894092992610728"
