""	"GATA2"	"PGR"
"result.1"	0.0436238857399964	2.57727172936484e-11
"result.2"	0.0304384039206265	9.54711865119862e-11
"result.3"	0.0374921205648471	4.11419787127443e-11
"result.4"	0.0330944640598703	3.75273145891697e-11
"result.5"	0.0239195466621764	1.45512490945521e-11
"result.6"	0.0235645813928376	1.95075067210837e-11
"result.7"	0.107175984824964	7.47646389243073e-12
"result.8"	0.0138576559898578	1.49313672537232e-10
"result.9"	0.0663811297696713	1.90847337933064e-11
"result.10"	0.0252051394367832	3.84099418937467e-11
"result.11"	0.0151024921255349	5.39248645736734e-11
"result.12"	0.0257658609517324	1.2595102738544e-10
"result.13"	0.059817351519907	4.00250943499714e-11
"result.14"	0.0290492262609459	6.74251765531153e-11
"result.15"	0.088974057151427	7.06967817620807e-12
"result.16"	0.0525315491478935	5.04418729008194e-12
"result.17"	0.0252281411600983	1.5268142306013e-10
"result.18"	0.0188454881294531	1.40069955634203e-10
"result.19"	0.0296470450595723	8.15221223859908e-11
"result.20"	0.0628609923202652	1.25588428545598e-11
"result.21"	0.0144584826943825	4.71827021897298e-11
"result.22"	0.00918083490618304	5.03508790217211e-10
"result.23"	0.00871523416023789	1.09031450534758e-10
"result.24"	0.0166368255248914	1.54858348366815e-10
"result.25"	0.108471290626459	6.99507118895326e-12
"result.26"	0.0569532726989443	2.28406182856133e-11
"result.27"	0.0101678687080096	1.49003254179547e-10
"result.28"	0.0451701912890627	9.65982849265856e-12
"result.29"	0.0424282614230957	5.08260100673397e-11
"result.30"	0.00327559574939085	1.18833121121042e-09
"result.31"	0.0229972418358149	3.84139386966353e-11
"result.32"	0.0151969256971574	2.14509299212295e-10
"result.33"	0.0540375789779974	5.29709609509155e-11
"result.34"	0.0161757471354678	5.35556043956831e-11
"result.35"	0.00437609999513833	1.15564424696402e-09
"result.36"	0.0604751684334934	8.5309537212197e-12
"result.37"	0.117430797363337	7.60236318342322e-12
"result.38"	0.00750459517035185	7.22815363118912e-10
"result.39"	0.0286883244522791	6.04618577426663e-11
"result.40"	0.0167061625594833	7.75166597577481e-11
"result.41"	0.186490600925484	1.0795808691455e-12
"result.42"	0.00962017324593445	1.53959511806079e-10
"result.43"	0.0405538207658767	5.56457102618424e-11
"result.44"	0.00941040298239981	3.566937856192e-10
"result.45"	0.047294606874813	4.273914555597e-12
"result.46"	0.00990884550055493	3.55828033704597e-10
"result.47"	0.0203199089024233	6.17759621235336e-10
"result.48"	0.0133596850867383	1.03017594454968e-10
"result.49"	0.0732022899054563	1.11815001702098e-11
"result.50"	0.0360423282399236	2.00672811700997e-11
"result.51"	0.0708179583658546	4.21991330767924e-11
"result.52"	0.0110317655930747	2.57629695354922e-10
"result.53"	0.0263009297743095	4.27904378597077e-11
"result.54"	0.00337376916068921	3.26900995162305e-09
"result.55"	0.0364497251981799	9.15416631386279e-11
"result.56"	0.00914816786323147	2.12714290626081e-10
"result.57"	0.0100275400755738	3.64344110437287e-10
"result.58"	0.0447028041465227	1.17106324637462e-11
"result.59"	0.0286789066662894	7.15609793644489e-11
"result.60"	0.0271262788244435	3.55562246312502e-11
"result.61"	0.050610343348275	4.09914324706051e-11
"result.62"	0.0208658405613247	1.90696791690925e-10
"result.63"	0.0931296061542675	3.30557803351894e-12
"result.64"	0.0376758778318522	1.33206778940576e-11
"result.65"	0.0946238450713994	5.85509418726815e-12
"result.66"	0.102641844170667	7.55462359336434e-12
"result.67"	0.017545601153516	7.26467774825323e-11
"result.68"	0.0307974538690801	4.09365874531886e-11
"result.69"	0.0236903188053061	6.06705796712959e-11
"result.70"	0.0110088044122489	1.67132752082466e-10
"result.71"	0.00779044883874791	4.50026460541153e-10
"result.72"	0.0539713232433625	4.82125450673720e-12
"result.73"	0.0967890280492743	5.07105468727787e-12
"result.74"	0.0239912863757779	4.91464646756867e-11
"result.75"	0.0538940615370547	3.21602744435268e-11
"result.76"	0.0851423484272589	1.40170097751025e-11
"result.77"	0.0239187254161406	1.56382906624231e-10
"result.78"	0.018920393644734	4.4307602031779e-10
"result.79"	0.0422344859936596	2.08992823047538e-11
"result.80"	0.043553249013379	3.53177487255607e-11
"result.81"	0.0339920951520798	1.17923448783586e-11
"result.82"	0.00712542861011478	1.17835519120035e-10
"result.83"	0.112036984296341	4.24149604327795e-12
"result.84"	0.00731852258917698	1.31938460157244e-10
"result.85"	0.00697078787375527	1.66183067307202e-10
"result.86"	0.029839476453337	1.44637635202116e-11
"result.87"	0.0375362910580248	2.41553443913745e-11
"result.88"	0.0498803073907428	1.08026920742077e-11
"result.89"	0.0168805013920954	2.45303555246323e-10
"result.90"	0.0468921575101726	3.73108210993678e-11
"result.91"	0.00537666090673738	7.81503306512832e-10
"result.92"	0.0552369570488656	1.98800975681479e-11
"result.93"	0.0217065071293483	9.40674205196501e-11
"result.94"	0.00762141399289762	2.77998957187719e-10
"result.95"	0.0330868204679169	1.13115516953144e-10
"result.96"	0.0201953006889488	6.78002098908337e-11
"result.97"	0.0564261876776613	1.01278985198405e-11
"result.98"	0.0437063310323753	4.31219504548608e-11
"result.99"	0.0208136156479002	2.22561968854507e-11
"result.100"	0.019108652774467	1.79761761032182e-10
"result.101"	0.0203353954654268	9.01965169219920e-11
"result.102"	0.0167021792088755	7.00544067200326e-11
"result.103"	0.00849411130969746	2.83602474837608e-10
"result.104"	0.0557367767370001	4.03828082085056e-11
"result.105"	0.0222459862656075	3.5444314150368e-11
"result.106"	0.00630705038211632	2.5492497002233e-10
"result.107"	0.00607768009552156	6.40195230161567e-10
"result.108"	0.0328620936947774	3.38298278279581e-11
"result.109"	0.00974832377237256	3.46467965428587e-10
"result.110"	0.0365243644650317	3.57414098317577e-11
"result.111"	0.0480347215726167	5.54862822355062e-11
"result.112"	0.0175052278019261	8.94819773833433e-11
"result.113"	0.0161711421986215	1.63574265243938e-10
"result.114"	0.0513870486903902	4.99604801973419e-11
"result.115"	0.0256448631121529	4.654521212899e-11
"result.116"	0.0607314462429054	7.66164909293821e-12
"result.117"	0.0201008040020763	5.06474862049799e-11
"result.118"	0.0488252441276313	2.57400767367244e-11
"result.119"	0.0298033632011254	1.19554144362155e-10
"result.120"	0.0151082787858592	2.10989448135024e-10
"result.121"	0.0255159489377348	1.55342183560947e-10
