Probe,GSM1402321,GSM1402322,GSM1402323,GSM1402324,GSM1402325,GSM1402326,GSM1402327,GSM1402328,GSM1402329,GSM1402330,GSM1402331,GSM1402332,GSM1402333,GSM1402334,GSM1402335,GSM1402336,GSM1402337,GSM1402338,GSM1402339,GSM1402340,GSM1402341,GSM1402342,GSM1402343,GSM1402344,GSM1402345,GSM1402346,GSM1402347,GSM1402348,GSM1402349,GSM1402350,GSM1402351,GSM1402352,GSM1402353,GSM1402354,GSM1402355,GSM1402356,GSM1402357,GSM1402358,GSM1402359,GSM1402360,GSM1402361,GSM1402362,GSM1402363,GSM1402364,GSM1402365,GSM1402366,GSM1402367,GSM1402368,GSM1402369,GSM1402370,GSM1402371,GSM1402372,GSM1402373,GSM1402374,GSM1402375,GSM1402376,GSM1402377,GSM1402378,GSM1402379,GSM1402380,GSM1402381,GSM1402382,GSM1402383,GSM1402384,GSM1402385,GSM1402386,GSM1402387,GSM1402388,GSM1402389,GSM1402390,GSM1402391,GSM1402392,GSM1402393,GSM1402394,GSM1402395,GSM1402396,GSM1402397,GSM1402398,GSM1402399,GSM1402400,GSM1402401,GSM1402402,GSM1402403,GSM1402404,GSM1402405,GSM1402406,GSM1402407,GSM1402408,GSM1402409,GSM1402410,GSM1402411,GSM1402412,GSM1402413,GSM1402414,GSM1402415,GSM1402416,GSM1402417,GSM1402418,GSM1402419,GSM1402420,GSM1402421,GSM1402422,GSM1402423,GSM1402424,GSM1402425,GSM1402426,GSM1402427,GSM1402428,GSM1402429,GSM1402430,GSM1402431,GSM1402432,GSM1402433,GSM1402434,GSM1402435
Random_progesterone_124_0001,-3.259612286,2.110316828,5.549319116,3.169775315,4.823293394,1.970806988,5.113627423,-12.68792443,-2.91966955,-0.445576599,-3.871247302,-1.540474881,-0.806041722,6.897583516,-1.629349047,3.00797828,6.361981383,-4.568312815,-0.089152881,0.907263406,-4.312883498,6.885973003,-2.185042678,0.358041,2.310326693,0.975666313,0.530809197,-4.007347318,-0.413348716,-1.159307834,-3.99199885,-3.333555955,-4.06810825,-2.877422834,3.070220527,1.519385394,-4.267686372,-3.144258875,6.862704994,-0.046483075,3.401376627,1.116126643,-1.270403029,-3.772596909,-0.042000268,1.111207305,5.236384973,3.581575119,-1.724629658,-0.356974922,3.488414883,-1.625185799,-1.01438093,-4.570463052,-3.579055603,-7.191333066,-1.885696326,1.249010859,5.255198354,1.374551836,-3.125501549,5.734563912,-2.908055782,3.672652049,0.843276186,3.37301647,1.278856884,-6.182751036,-1.296114286,4.340858779,-0.143945118,6.745548851,3.574076834,-0.985848599,-6.731315713,-4.734070811,-8.983181399,-3.744476205,-0.342689072,-5.425545192,2.467615347,-0.138531167,-3.145712484,1.213579847,3.62602162,-6.591724476,-9.114061057,-0.874689261,3.703697088,-5.28648993,-0.929560007,5.507989031,-4.902968673,-2.041682384,1.533389233,-8.136892604,1.655534084,-0.539229408,-2.187970969,3.375012205,-5.111705092,2.931288773,2.966474703,0.589837611,-0.76449618,-7.353608969,4.942004543,-0.176272854,0.65939327,-2.814675634,-1.54531167,6.341616947,-2.09583124,-9.552156208,0.569402516
Random_progesterone_124_0002,-3.039835575,2.156715089,5.532289117,3.361803979,4.804806176,2.209440343,4.793503279,-12.83557533,-2.665612956,-0.292793022,-3.6615669,-1.275474619,-0.718645272,6.634598869,-1.437198648,3.046924193,6.038333451,-4.418653445,0.081465189,0.774755013,-4.340617733,6.716141415,-1.923086008,0.062657166,2.426254788,0.664399808,0.162018893,-3.490899229,-0.640301663,-1.027774844,-3.823764703,-3.290898409,-4.418523124,-2.866373822,2.974385891,1.468543956,-4.030860509,-3.198642965,6.7726983,0.100361273,3.311119337,1.251415133,-1.219555235,-3.252570523,0.262386584,0.834464506,5.214080171,3.322122279,-1.905713122,-0.279712824,3.520797692,-1.367852526,-0.899267071,-4.243747214,-3.974454539,-7.057354031,-2.065147662,1.025878922,5.208920236,0.661572567,-2.840412406,5.662214252,-2.723449733,3.699308153,1.063211217,3.106071352,1.106245767,-6.283042315,-0.995346645,4.493762062,-0.59082851,6.361660046,3.262970758,-1.126085583,-6.67623626,-4.441089639,-8.756665966,-3.882152735,-0.47234453,-5.046680283,2.604304132,0.110680875,-2.988328983,1.047643766,3.722539568,-6.542830175,-9.324024514,-0.705281684,3.438119283,-5.609122125,-0.845455662,5.209628724,-4.602396253,-2.033605412,1.2751782,-8.326280375,1.533674297,-0.359282411,-2.710844717,3.228871145,-4.796980578,2.944376776,3.008897547,0.792017094,-0.848867833,-7.16211789,4.644967547,0.227623531,0.669560161,-2.744054249,-1.48878757,6.222495611,-1.822790787,-9.112505408,0.860856915
Random_progesterone_124_0003,-3.019603771,2.052713398,5.53690249,3.170743871,4.73059339,2.24115715,4.969747232,-12.98631379,-2.63189041,-0.145635672,-3.649997386,-1.019955332,-0.484110041,7.025653226,-1.265288214,3.118702686,6.685563706,-4.334952352,0.26250925,0.947088609,-4.423203182,6.95385402,-1.907902278,0.167505767,2.102991465,1.528196938,0.438218228,-3.54188532,-0.578649295,-0.757442973,-3.793542656,-3.050539693,-4.180642738,-3.152325589,3.147475065,1.823992031,-4.43666886,-3.385870545,7.211407218,0.255158367,3.263635249,1.519403915,-0.9090325,-3.205997309,-0.129411147,0.886581302,5.125277268,3.298503031,-1.86769143,-0.643817949,3.45238758,-1.169584964,-0.702865266,-4.336346807,-3.767499644,-7.219992755,-2.179796349,1.121259342,5.184649021,1.050397928,-3.095708363,5.732159322,-2.79830232,3.444819922,1.437037519,3.247488581,1.500116261,-5.550283539,-1.111093219,4.527554639,-0.386310656,6.836920514,2.98666845,-1.07524595,-6.763892278,-4.48418819,-9.348824838,-4.059433365,-0.377941723,-5.255490117,2.4408005,0.219848492,-3.013474259,0.760313731,3.675416918,-6.689807905,-9.299791676,-0.550741415,3.491357328,-5.452129979,-1.266626982,5.323969584,-5.285344124,-2.517888848,1.374537444,-8.503785694,1.641754268,-0.246846572,-2.433675144,3.436783233,-5.060704388,2.929705778,2.871563605,0.894874018,-0.353948797,-7.352547816,4.682987915,0.270931536,0.722022607,-2.543221014,-1.695993993,6.214374537,-1.776108594,-9.740252541,0.913150254
Random_progesterone_124_0004,-2.910553555,2.284691413,5.78131933,3.361976581,4.934179055,2.199499843,5.185724835,-13.1289732,-2.664390612,-0.16441999,-3.664723308,-1.177985892,-0.554589957,6.74248743,-1.272304748,2.881807546,5.940566182,-4.67070718,0.380853466,0.882839106,-4.147844346,6.571513064,-1.968492503,-0.076262844,2.45972259,1.078642045,0.326747821,-3.689971924,-0.496494652,-1.095750881,-3.854777156,-3.093615701,-4.152370515,-2.921413361,3.205084308,1.652055801,-4.014798428,-2.990910891,6.712940126,0.181906481,3.321417984,1.161560511,-1.256466914,-3.44058989,0.273091481,0.602987654,5.187202004,3.256402161,-1.942497188,-0.590223281,3.773192082,-1.459930136,-0.874349886,-4.439247946,-3.585957307,-6.807853368,-2.542042886,1.336682096,5.106518856,1.270107407,-3.168572568,5.976958684,-2.890002077,3.644425704,1.078173425,3.324300315,1.380567381,-5.641851754,-1.030311993,4.363410411,-0.026472974,6.373486326,3.253225442,-1.0452188,-6.461736814,-4.203647156,-8.732644758,-4.145819238,-0.354654871,-4.985257427,2.577525336,0.234195098,-3.002974128,0.744235052,3.685472148,-6.412136353,-9.15517363,-0.736733168,3.417085521,-5.361623529,-0.89055009,5.207449266,-4.632953021,-2.070513677,1.480569071,-8.121823839,1.674309939,-0.138729714,-2.409332568,3.654768644,-4.958621549,3.183551083,2.943295832,0.829794197,-0.608417317,-7.507537921,4.515487738,0.300977426,1.081867557,-2.819510249,-1.571466529,6.224317273,-1.80905516,-9.697022738,1.022380667
Random_progesterone_124_0005,-2.832094256,1.769692833,5.380939369,2.996633269,4.854058025,2.18038302,5.382666528,-12.68140197,-2.752979295,-0.079352959,-3.813653296,-1.209426603,-0.301791589,6.622872869,-1.41794607,3.198190608,6.111206144,-4.668412691,0.300475841,0.769885241,-4.538921395,6.483009013,-1.982095236,0.010073613,2.114506911,1.050318687,0.146979821,-3.982612472,-0.666280902,-0.948159771,-3.934510884,-3.060409859,-4.139781587,-3.347824772,3.002839713,1.702805948,-4.230414709,-3.080882865,6.747693915,0.038195661,3.25309105,1.41463957,-1.310465545,-3.705971041,0.132557914,0.952529262,5.106149653,3.027299077,-1.766588307,-0.69408593,3.385123128,-1.09921794,-0.557104539,-4.406580653,-3.438007031,-7.060100063,-1.784181109,1.136917616,4.94037601,1.016774487,-2.979461877,5.790371933,-2.671639457,3.562021146,1.1876594,3.230939769,1.787656107,-5.65781225,-0.711970214,4.098380496,0.030963254,6.340548137,2.999580864,-0.808383488,-6.688363946,-4.476595615,-8.788388101,-3.918322883,-0.378740038,-5.032481237,2.463073996,0.267807837,-2.800968289,0.875443591,3.62022589,-6.4511161,-9.032659198,-0.806110453,3.407476916,-6.010177063,-1.092197088,5.064900454,-5.235083296,-2.158821644,1.206016497,-8.46669712,1.519209872,-0.364466266,-2.0145281,3.352619542,-4.669901019,2.838243052,2.772324358,0.786283969,-0.912254789,-7.443796097,4.470354447,0.224717351,0.610820596,-2.847836722,-1.878502927,6.11482944,-2.022706667,-9.315137201,0.979980195
Random_progesterone_124_0006,-3.238461702,2.280328867,5.632686768,3.405931449,4.864701517,2.040069174,5.14693666,-12.78454225,-2.938380573,-0.475365352,-3.945326172,-1.44440317,-0.754692011,6.721292139,-1.603613423,2.903380894,6.453959509,-4.701721972,-0.010809418,0.55196849,-4.383446536,6.767983764,-2.249516202,0.068763236,2.624522104,0.858707086,0.182345537,-3.915326405,-0.592821023,-1.168804648,-3.993743903,-3.418617073,-4.351666795,-2.857463778,3.119641203,1.370575311,-4.20832316,-2.669988225,6.992690133,-0.037954162,3.468563711,1.051235841,-1.453105797,-3.623531518,0.515755293,0.934159094,5.20162805,3.542115134,-1.893972004,-0.277399159,3.449533599,-1.506498985,-1.064690678,-4.505612017,-3.640541741,-6.986183145,-2.318330771,1.146158444,5.211746895,1.09607106,-3.249984093,5.942835122,-2.729129258,3.857936057,0.715903544,3.523581981,1.315742726,-5.847213671,-0.879533603,4.253975689,-0.424875197,6.797188913,3.449150364,-1.221643686,-6.820008029,-4.527580782,-8.963556647,-3.936145004,-0.658061998,-4.733916993,2.710972661,-0.062217695,-2.955657697,0.951503476,3.983034148,-6.494820918,-9.248231788,-1.176947659,3.413056205,-5.471305948,-0.779446269,5.118566013,-4.685788324,-2.068888834,1.215713819,-8.215469683,1.583765722,-0.608784785,-2.43221886,3.348859152,-5.033562634,3.017306118,3.032577941,0.53813277,-0.75920821,-7.346127621,4.814019788,0.043012744,0.960707733,-2.846501014,-1.434551594,6.394033541,-2.020032928,-9.335773026,0.750380908
Random_progesterone_124_0007,-3.405248791,2.622588337,5.683430823,3.335121463,4.82059002,2.11209447,4.9043862,-12.74747269,-2.552032205,-0.364766804,-3.72655615,-1.292543555,-0.743901298,7.16583095,-1.182383728,2.972894399,6.588085861,-4.635952478,0.124798141,0.77816872,-4.266457357,6.932967136,-2.045499223,0.121218057,2.338635895,0.78448364,0.161944067,-3.709832733,-0.620578951,-1.073590242,-3.81894055,-3.104306622,-4.198528383,-2.728718373,3.24745426,1.271079825,-4.057675978,-3.068615072,7.136579584,0.042211942,3.673753088,1.342278584,-1.426128591,-3.584012656,0.154349431,1.174673614,5.072357745,3.540033508,-1.77450693,-0.344505532,3.624588369,-1.304315163,-0.837920037,-4.632171922,-3.468010621,-7.006312432,-2.146225842,1.348368847,5.276345171,1.10195424,-3.173727478,5.987936828,-2.490588663,3.981105716,0.888019294,3.724458875,1.325030567,-5.697959763,-1.719088681,4.422668762,-0.308456033,6.849255685,3.442122893,-0.993569386,-6.781898794,-4.31326311,-8.795741863,-3.695091699,-0.430234639,-4.99954272,2.644407443,0.101082278,-2.78790083,0.85915953,3.889702301,-6.567495529,-9.172144851,-0.939640665,3.836702058,-5.570067041,-1.00780235,5.239331442,-4.553506502,-2.310610759,1.255725381,-8.352207807,1.698835323,-0.317305629,-2.310761397,3.529645951,-4.994447499,3.468893472,3.100309741,0.781704323,-0.804537919,-7.281592323,4.862032654,0.252124901,1.028261661,-2.850017302,-1.272018847,6.417502962,-2.151249279,-9.515555679,0.783664625
Random_progesterone_124_0008,-3.269153903,2.58565961,5.880970918,3.522600181,4.99700303,2.012579221,5.492308046,-13.02467034,-2.758798608,-0.698441234,-4.114567439,-1.698211864,-0.820207565,6.976533945,-1.83048217,3.171061495,6.486563361,-4.686636026,-0.031998214,1.003120622,-4.067494256,7.037226151,-2.354247337,0.23749525,2.514854478,0.896584822,0.364693412,-4.135222032,-0.444665351,-1.412200283,-3.950916371,-3.448826373,-4.460378643,-2.55263117,3.299060247,1.615316746,-3.879522071,-2.8587868,7.059529491,-0.105265643,3.836460425,1.023396925,-1.439630332,-3.674094858,0.43439391,1.275557461,5.51997576,3.613340295,-1.687044196,-0.310372064,3.542582688,-1.889213954,-1.127201923,-4.702119803,-3.929999289,-6.973924571,-2.11724166,1.189239236,5.507956657,1.854239261,-3.23710138,6.263371505,-3.132556219,3.983101988,0.834690767,3.399893142,1.144799648,-5.875601974,-1.07294377,4.703434587,-0.10609447,6.68752967,3.784888501,-1.028915515,-6.473081944,-4.46767034,-8.661174044,-3.796132896,-0.34908154,-4.950834693,2.863101065,0.040610576,-3.124583271,0.971289675,3.813983656,-6.688725563,-9.358815947,-1.161688107,3.859163597,-5.382638586,-1.03158129,5.347574659,-4.632697041,-1.88547157,1.482650722,-8.399194052,1.733031067,-0.528638785,-2.248642986,3.399095843,-5.216322681,2.969883074,3.113433462,0.604147549,-0.559486229,-7.533808685,4.777152307,0.030592304,1.054570659,-3.112991962,-1.361012165,6.308311958,-1.808601495,-9.700272051,0.66997745
Random_progesterone_124_0009,-3.030817149,2.19506583,5.708353683,3.378969555,5.265094108,1.678124365,4.753144561,-12.51578272,-3.408282677,-0.34763456,-3.694554625,-1.013117478,-0.575426379,7.097716833,-1.412079741,3.351306779,6.149385547,-4.675500322,0.240514746,1.206039873,-4.150749889,7.123878855,-2.025365931,0.469060147,2.561701408,1.103352467,0.529030164,-3.900200839,-0.266163464,-1.055703558,-4.21974717,-3.122358514,-3.89553273,-3.18082204,2.808132914,1.818537293,-4.333189558,-3.38225064,7.058770162,-0.383853501,3.409650176,1.306420278,-1.246617281,-3.700967941,0.429164163,0.864424491,5.283684722,3.386062868,-2.49178162,-0.247101206,4.065497583,-1.330099913,-0.683773635,-4.244516866,-3.285052686,-7.288259697,-1.462332229,0.883171777,5.376679137,0.954080462,-3.226409223,5.986776528,-2.849425052,3.930767305,1.089271139,3.199317936,1.727505016,-5.899288752,-0.93745107,4.750286118,0.261797728,6.564224949,3.291896138,-1.262652459,-7.160807906,-4.777436704,-8.85200198,-4.033287349,-0.829953277,-5.161206023,2.637361928,0.088181596,-3.145863819,1.074191649,3.979575926,-6.885331717,-8.953968794,-0.801935718,3.73943169,-5.748848796,-0.790069671,5.489693595,-4.824107573,-2.183278778,1.8063052,-8.433349354,2.166195192,-0.762422523,-1.944876986,3.327825279,-5.166162899,2.712156122,3.159523395,0.324146461,-1.148551871,-7.3670786,4.807657825,0.129353769,0.932906009,-2.638530199,-1.35812246,6.44532783,-2.145766423,-9.39056383,0.722088217
Random_progesterone_124_0010,-3.054175063,2.330802468,5.772392002,3.031270888,4.952183081,1.968566732,5.061497226,-12.58051826,-2.999475673,-0.445905671,-3.830682602,-1.193518889,-0.559308033,6.927174095,-1.576029937,3.08077665,6.177448103,-4.923640639,0.030757048,0.822821064,-4.357246977,6.772587642,-2.250143797,0.048126374,2.319175774,1.290909365,0.240784886,-3.863321916,-0.682432939,-0.908472742,-3.848917579,-3.188735877,-3.954013005,-2.846239117,3.233694241,1.598133318,-4.114351249,-2.925692811,6.877151918,-0.041305781,3.316305498,1.35996167,-1.247265543,-3.730116564,0.104268781,1.070514098,5.164910393,3.206366156,-1.913760446,-0.578581156,3.608687709,-1.356919365,-0.872537102,-4.596108704,-3.601535359,-7.207060941,-2.042396981,1.232361062,5.122478192,0.988522206,-3.120354294,5.802308984,-2.798505318,3.699447927,0.911091824,3.186689805,1.50313712,-5.785364433,-1.148440753,4.405227536,-0.136513564,6.412562226,3.355471706,-1.067323952,-6.65626299,-4.607552753,-9.015494578,-3.859765084,-0.365608065,-5.270458993,2.515017887,-0.019802629,-2.966004049,0.599186527,3.722623179,-6.427524763,-9.063793198,-0.952499478,3.439267775,-5.871494316,-0.979990989,5.400654506,-4.827039395,-2.200620301,1.372664371,-8.584035039,1.815718418,-0.489170349,-2.239327606,3.511717787,-5.11958889,2.787554777,2.88073052,0.562863092,-0.979089301,-7.677611975,4.639372872,0.080875599,0.797372746,-2.903818203,-1.592801962,6.26747003,-2.031087919,-9.565189538,0.695735767
