""	"GATA2"	"PGR"
"result.1"	0.0142560850300664	1.9044632537657e-10
"result.2"	0.0249698670560128	7.71624986128927e-11
"result.3"	0.0441479272991026	3.56710216919964e-11
"result.4"	0.0247472824224793	5.12607734037829e-11
"result.5"	0.0399382847049985	3.73825415067586e-11
"result.6"	0.0123087921210203	1.41847866785838e-10
"result.7"	0.0174953436005187	9.9529273711596e-11
"result.8"	0.00936220806148125	2.6358670801585e-10
"result.9"	0.0198598155671805	2.9401991952227e-10
"result.10"	0.0209488719352866	8.93671803225971e-11
"result.11"	0.0182205074019597	1.4686363236649e-10
"result.12"	0.0303787414677523	4.25930402059294e-11
"result.13"	0.019552941825185	1.08944853138837e-10
"result.14"	0.0411057330200504	1.73383529755711e-11
"result.15"	0.0175187094563354	1.24358967568128e-10
"result.16"	0.023496320699639	9.41238198493011e-11
"result.17"	0.0329341273425479	3.32296412608457e-11
"result.18"	0.0148756833440926	1.04438013792674e-10
"result.19"	0.0154708862560751	1.24450671989962e-10
"result.20"	0.0273800913624969	3.78239661813495e-11
"result.21"	0.0469110553617307	1.15489839913607e-11
"result.22"	0.0226121196552325	9.2563290365888e-11
"result.23"	0.0217056237682183	1.22174492744875e-10
"result.24"	0.0544707332974572	3.08832959206029e-11
"result.25"	0.0401968330272295	1.08524300657109e-11
"result.26"	0.0615392769612166	5.82311976415895e-12
"result.27"	0.0165757887239419	1.6946155589892e-10
"result.28"	0.0293028074982993	6.22926155102732e-11
"result.29"	0.0263278410335017	5.59856605519826e-11
"result.30"	0.0884271892078017	8.12216960355272e-12
"result.31"	0.0504239570478824	5.03372898918997e-11
"result.32"	0.0123807124375952	1.92900362350201e-10
"result.33"	0.0255863472861351	1.82104775703351e-10
"result.34"	0.0209281278183369	1.03808739382316e-10
"result.35"	0.0261097958856267	7.37545580165033e-11
"result.36"	0.00741261161798845	5.63585400570332e-10
"result.37"	0.0397840584026816	5.20146148375034e-11
"result.38"	0.0886885657400402	1.03721475852581e-11
"result.39"	0.0136393063196623	1.2759526768491e-10
"result.40"	0.0343269153699866	4.0041081561526e-11
"result.41"	0.0325084258370685	2.29638530413467e-11
"result.42"	0.0436597799357532	6.61475318963767e-11
"result.43"	0.0100383067553669	6.30203000895335e-10
"result.44"	0.036039853638443	3.91457977144682e-11
"result.45"	0.0604948086750716	1.12767573057226e-11
"result.46"	0.00647734082919982	4.27700763694361e-10
"result.47"	0.0354347755290005	4.48991954726807e-11
"result.48"	0.0284580787665785	6.21738216466383e-11
"result.49"	0.0220399178935544	6.98778812591172e-11
"result.50"	0.0406549821589717	3.22137871933137e-11
"result.51"	0.0204794317726964	1.40217837341083e-10
"result.52"	0.05308026244547	3.63702401529054e-11
"result.53"	0.0239575136643111	8.06967825894844e-11
"result.54"	0.0386180437931705	3.81774611923902e-11
"result.55"	0.0175798511234631	6.75033362540489e-11
"result.56"	0.0258231069611918	8.91924312185211e-11
"result.57"	0.0527050773921036	1.34190436540393e-11
"result.58"	0.0151657015261939	1.12305720278982e-10
"result.59"	0.0133995872797583	2.50715226357556e-10
"result.60"	0.0414036610461701	2.82129875017745e-11
"result.61"	0.0421993093323358	2.18225437720321e-11
"result.62"	0.0108615369576976	2.52801113376222e-10
"result.63"	0.0288092758031071	5.74646996653883e-11
"result.64"	0.0364629773726937	4.89601692521546e-11
"result.65"	0.0279846686608141	5.41431344203147e-11
"result.66"	0.0295025898124113	5.55955281811293e-11
"result.67"	0.0235689428307784	7.16326997718397e-11
"result.68"	0.0114872975609033	1.94227078864628e-10
"result.69"	0.0251153402075677	6.60924648343553e-11
"result.70"	0.0236282708446003	3.42508243988959e-11
"result.71"	0.0484136489454829	2.8643976079934e-11
"result.72"	0.0119235009996044	2.82508239024537e-10
"result.73"	0.0182190787576568	8.47100167788994e-11
"result.74"	0.0304978054391016	7.03985758576664e-11
"result.75"	0.0185288973154709	5.87199178170295e-11
"result.76"	0.0392687222624339	6.13886719236234e-11
"result.77"	0.0402144199061811	3.02442515476287e-11
"result.78"	0.0246955501738664	7.89992515848326e-11
"result.79"	0.0184120750795471	2.885254257734e-10
"result.80"	0.0148909871939094	1.30228494654716e-10
"result.81"	0.0338568099112082	4.01589872467412e-11
"result.82"	0.0260727614231255	5.42392797342472e-11
"result.83"	0.0344847284902656	4.25917079382998e-11
"result.84"	0.0164015455914104	1.34668720619402e-10
"result.85"	0.0476664324008884	2.40603093004665e-11
"result.86"	0.0428340033911361	2.49449350064879e-11
"result.87"	0.0126392729740314	3.77832209963458e-10
"result.88"	0.076188050405392	1.61091140427061e-11
"result.89"	0.0306614073008247	2.98767677264777e-11
"result.90"	0.0298758752965855	1.5435497324745e-10
"result.91"	0.0226319589888271	4.9320325601343e-11
"result.92"	0.0141365741977935	2.37215580511929e-10
"result.93"	0.0312847429478094	5.61366508833316e-11
"result.94"	0.0476098286316413	2.04616323884466e-11
"result.95"	0.0370163722401933	3.36912719944849e-11
"result.96"	0.0381867263288482	3.7964742460872e-11
"result.97"	0.0188234260293045	2.38881803227287e-10
"result.98"	0.0164918523686235	1.87419635366837e-10
"result.99"	0.0370791710541749	4.845546186516e-11
"result.100"	0.0311331013359071	4.54851711850779e-11
"result.101"	0.0341929795729294	2.23403517907172e-11
"result.102"	0.0437147535378688	1.89248616777604e-11
"result.103"	0.0520406440263925	2.55193643994289e-11
"result.104"	0.0677222109752222	3.42563755140191e-11
"result.105"	0.0179895495740277	1.3027512402175e-10
"result.106"	0.023364634479131	6.97337743105209e-11
"result.107"	0.0175710555965689	9.11766218081311e-11
"result.108"	0.0209177180463016	4.55564475032588e-11
"result.109"	0.0311064500112659	6.83986201011066e-11
"result.110"	0.010887672426555	2.93491231317944e-10
"result.111"	0.0275157034024927	6.84081680191184e-11
"result.112"	0.0344522742200069	5.12183628842422e-11
"result.113"	0.0185871668443311	1.61584745583809e-10
"result.114"	0.0477713983951715	2.79134493297306e-11
"result.115"	0.0222821576512582	1.14526166328233e-10
"result.116"	0.0267908134189387	5.62221380562278e-11
"result.117"	0.02253327066544	1.44963818726751e-10
"result.118"	0.0168958668812778	4.91540141922542e-11
"result.119"	0.0332843267534497	3.11997094826211e-11
"result.120"	0.0150579430133688	1.36513689241724e-10
"result.121"	0.0283366298950674	2.43354225659687e-11
"result.122"	0.0224934048316643	1.17727383397437e-10
"result.123"	0.054648758148498	1.74162906318998e-11
"result.124"	0.022834788627174	5.12627718052272e-11
"result.125"	0.0122425432670579	1.07323705478279e-10
"result.126"	0.0162383105329262	1.45562228937024e-10
"result.127"	0.0174562751203002	1.35319311311832e-10
"result.128"	0.0318324997217541	5.54136736496957e-11
"result.129"	0.0160331096179276	9.6591179499228e-11
"result.130"	0.0246633909479155	8.5223605950091e-11
"result.131"	0.0361010904879391	3.73263642217125e-11
"result.132"	0.0199876234831553	1.53919765821797e-10
"result.133"	0.0138324681572131	1.4108780810318e-10
"result.134"	0.00425722032923992	4.41168879206089e-10
"result.135"	0.0305699696578878	4.86990447967628e-11
"result.136"	0.0198941339155605	8.05937538927992e-11
"result.137"	0.0186954067373033	9.77484759800973e-11
"result.138"	0.022628040420702	5.26740873141307e-11
"result.139"	0.0432461949561629	3.9078296154571e-11
"result.140"	0.0108493832127883	9.13542574920712e-11
"result.141"	0.0131029834640795	3.38011618694622e-10
"result.142"	0.00946053513179823	1.73107528311789e-10
"result.143"	0.0213960808647571	5.25275378748802e-11
"result.144"	0.0457420127979604	2.87245782715218e-11
"result.145"	0.0325957330630671	7.3974604219984e-11
"result.146"	0.0705756470729328	7.297940030071e-12
"result.147"	0.0356858666710866	3.36146666057857e-11
"result.148"	0.0201237157293999	6.20434814635473e-11
"result.149"	0.0190121216266825	1.08116404717862e-10
"result.150"	0.0381892986063623	6.00226535141246e-11
"result.151"	0.0257631820912878	1.51729739883422e-10
"result.152"	0.0420201150513082	2.04312122775718e-11
"result.153"	0.0238860387748212	1.49317669340121e-10
"result.154"	0.0274526354281717	4.87436757623527e-11
"result.155"	0.0156832874374668	1.60511381963602e-10
"result.156"	0.0253610984907517	4.36666258707419e-11
"result.157"	0.017253876201327	1.43997258561512e-10
"result.158"	0.0540288429140372	3.05711012060783e-11
"result.159"	0.026277959774095	6.944023134281e-11
"result.160"	0.0311690064403245	4.08308942212443e-11
"result.161"	0.0199978718968143	8.84599060668734e-11
"result.162"	0.0574937149134851	9.7239993834819e-12
"result.163"	0.0261012720728897	1.10674802655808e-10
"result.164"	0.0236561289938639	2.91335844337937e-11
"result.165"	0.0295103805364034	6.51323439626594e-11
"result.166"	0.0215310667189439	2.32227570506893e-11
"result.167"	0.0396312514818302	4.41333636302943e-11
"result.168"	0.0467869847991049	1.64912528077821e-11
"result.169"	0.010165166099334	3.16899395613746e-10
"result.170"	0.02183354794526	1.03711705889964e-10
"result.171"	0.0469928600151894	4.74327244148753e-11
"result.172"	0.0310010708444337	5.33744159980643e-11
"result.173"	0.0199416460032593	9.3271168566389e-11
"result.174"	0.0104312716379567	4.20754542318491e-10
"result.175"	0.0639928205523088	1.21584964318799e-11
"result.176"	0.06708874936175	9.63606971993158e-12
"result.177"	0.00933565777942658	1.18409948512976e-10
"result.178"	0.0277603242690445	1.00829788962642e-10
"result.179"	0.021587605798512	7.15425496622402e-11
"result.180"	0.024925610667718	8.41255953787368e-11
"result.181"	0.0768777035978272	1.81967774182112e-11
"result.182"	0.0754626208754414	1.42925671298144e-11
"result.183"	0.0336948231237872	4.30397939510385e-11
"result.184"	0.0173019530287899	1.38822953132944e-10
"result.185"	0.0373020929224188	3.90423249285732e-11
"result.186"	0.0251088706077598	6.66120492098798e-11
"result.187"	0.0421885291964517	3.1042945991544e-11
"result.188"	0.0167755349556129	9.95337146036945e-11
"result.189"	0.0309719414086151	7.66733343482429e-11
"result.190"	0.101831027410516	3.56203955220735e-12
"result.191"	0.0189732480952609	5.4580562292017e-11
"result.192"	0.0283294342982947	1.48882239869863e-10
"result.193"	0.0493284527017264	2.87485590888537e-11
"result.194"	0.0387052858248658	5.3141047118288e-11
"result.195"	0.0471611669691008	3.16973114422581e-11
"result.196"	0.0257893394256807	8.9660501245703e-11
"result.197"	0.0342016902255748	6.40896224979315e-11
"result.198"	0.0189644342942259	4.32696101171359e-11
"result.199"	0.0242728132826153	5.85775872252725e-11
"result.200"	0.0611047039029191	2.15463202835053e-11
"result.201"	0.0145041575531004	1.44344980412825e-10
"result.202"	0.0441345225756513	3.99269506345945e-11
"result.203"	0.0242861036838544	6.23037177405195e-11
"result.204"	0.0200976598048803	1.43278722219975e-10
"result.205"	0.0394406166987473	1.90700788493814e-11
"result.206"	0.0331898136420419	5.29329913234733e-11
"result.207"	0.0227918078521931	6.65540955679944e-11
"result.208"	0.0363488535739476	4.43600711719228e-11
"result.209"	0.0355716123621064	4.8979931221993e-11
"result.210"	0.0186066843593375	1.4643219969912e-10
"result.211"	0.0496821315264551	3.13320480671564e-11
"result.212"	0.0155893819174646	2.66027644357791e-10
"result.213"	0.0155625509886836	1.86500592747052e-10
"result.214"	0.01828001435466	5.82660586445627e-11
"result.215"	0.01501566875122	1.45740308710174e-10
"result.216"	0.0193970548597038	8.9696250427096e-11
"result.217"	0.0449545802598161	2.19477769292098e-11
