"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_EGFR_73_0001","-3.23608839376297","2.1306352284833","5.57097193390183","3.12028846330761","4.80570573847208","2.21912099837094","5.34465091922925","-12.9400290554722","-2.73988196095138","-0.295224065775664","-3.74060289813795","-1.35355359168274","-0.567801565081392","6.88595474977005","-1.46204835722247","3.13952571280191","6.42888589770879","-4.6550217698042","0.233123091421169","0.896844691290599","-4.35981924538618","6.86577360512514","-1.94137937645693","0.101274680114635","2.35089238230416","1.08986329449944","0.3971501749662","-3.77966761902419","-0.565911661748882","-1.04333804063719","-3.7906261971448","-3.20942353452252","-4.12446812231263","-3.07981764316333","3.41056091955791","1.66064687413768","-4.1141226187777","-3.13449628142192","7.05022685084571","0.197365066103318","3.37024403915147","1.44649101685869","-1.1535195968464","-3.62908093277805","0.0889359135900459","1.16658402246016","5.11720072519542","3.34916751438979","-1.7726313676028","-0.507364249520455","3.42615591129549","-1.44138879115211","-0.883933891587909","-4.4241281186269","-3.74900819406249","-7.18583582891417","-2.22092249446246","1.43841061342599","5.14148782862471","1.19339537050851","-3.26179367271612","5.90382208884407","-2.80965100887023","3.68446716059912","1.07855125247135","3.57575747526179","1.45587967080265","-5.95416058552548","-1.24779649579724","4.33607031583898","-0.103747545037779","6.63110384523027","3.35000680497815","-1.02232820075745","-6.73186811485356","-4.61598223481041","-9.05457238436753","-3.99698341984026","-0.364718122327392","-5.22061808992003","2.37974385577399","0.381312284054014","-2.9011739474412","0.839018570630491","3.63680307486796","-6.73328801320833","-9.21382871045008","-0.911245633145502","3.55726173088558","-5.34477200842795","-1.20106424240228","5.50649699221064","-4.88621612570715","-2.12474799473856","1.4796242284928","-8.42505939230948","1.61951428749365","-0.352382306815276","-2.2575470620463","3.62117510844743","-5.12202390589979","3.11738481606943","2.83889891887625","0.883475830385563","-0.56652563825108","-7.59000256745277","4.74698210165075","0.457831684453055","0.73268290214225","-2.77122656101779","-1.62704470390079","6.22598864320408","-2.03189956738558","-9.70139900808815","1.01085842687438"
"Random_EGFR_73_0002","-3.09947096574904","2.13370640698086","5.47824644783721","2.98187956711232","4.68545469758834","2.18310643748582","5.26263023598015","-12.8625547606722","-2.76867625977536","-0.228327139918175","-3.66036051419697","-1.15858334374235","-0.489717716856508","6.68404517548914","-1.3882781550991","2.83102282676549","6.12976983079818","-4.5951354490554","0.317457001607475","0.715120024531313","-4.31427118212859","6.65601348344027","-2.00791855080647","-0.216591906683799","2.16980646650411","0.964782094740299","0.085075728142341","-3.65530491617817","-0.78513340661155","-0.941383392039212","-3.62703596782019","-2.96425778511283","-4.11240065008589","-3.04508280135082","3.23891074573662","1.64592018524021","-3.98431271900428","-3.02823455894906","6.78842610796933","0.0292511650892232","3.18040411153331","1.35310842615346","-1.26183894184333","-3.56313497431921","0.0577759027642779","0.941256880962751","4.88369192275151","3.31834747152815","-1.7073260231057","-0.652096465502848","3.30280592388926","-1.25144374780955","-0.652590434998534","-4.34435780740972","-3.36451642884439","-7.03722096962893","-2.28712029875051","1.20216218270453","4.97863939507948","1.19811642786241","-3.00449457679629","5.80994721247743","-2.81486318318417","3.63727572543572","1.03099326463954","3.35390426596608","1.59872870700524","-5.873735121309","-0.975492000636878","4.21813311671997","-0.213182352689355","6.40414643318636","3.27018626451942","-1.05157934633438","-6.56880568829541","-4.27945281466471","-9.08119463730573","-4.00539466575095","-0.514326425853325","-5.03088161274985","2.35964474897185","0.163511863032065","-3.03858219116619","0.622012260410657","3.65949507782451","-6.63414793370327","-9.14612784428006","-0.847005877256157","3.33755762058642","-5.73100436068986","-1.09961626198986","5.17136614830025","-4.72102918135794","-2.25502906558161","1.12866038413976","-8.32373425287661","1.65084793384873","-0.23333081362154","-2.37131220877165","3.45178253637833","-4.79287810153472","2.95088861139242","2.77010542549749","0.839677216001089","-0.876749107044803","-7.73223998044561","4.60049713548329","0.338988321296963","0.819603646045604","-2.74734655071353","-1.68886177937721","6.25475324570049","-2.03642038244517","-9.476061627779","0.798142692736938"
"Random_EGFR_73_0003","-3.03160444134024","2.14945502266082","5.67870418700484","3.24263871767768","4.65180098858147","2.25559624488924","5.37509356759634","-13.0954245719021","-2.60549003627861","-0.0683918265411644","-3.73560172141245","-1.24719589571425","-0.482261093539443","6.73395423444067","-1.28775664959157","3.01403048700401","6.30422748745567","-4.53529182591774","0.268559372508458","0.668146420969753","-4.39848864220362","6.75854179768456","-2.06238089514763","-0.125020225149241","2.43989023126054","1.01760931514477","0.126557973118621","-3.72903616773991","-0.826708799871643","-0.948130288466211","-3.73372310300432","-3.12440472509409","-4.26393669799998","-3.02118836073512","3.10814191952117","1.682685136326","-3.96630122598949","-3.09644477459514","6.90695115805966","0.146425455778772","3.20787411647515","1.45514231826165","-1.15369498898781","-3.31809663834093","0.154028208286019","0.907869216372885","5.06798914217046","3.5056336854737","-1.65396644728265","-0.49287234604991","3.43652961869412","-1.24788232876504","-0.824780711242281","-4.55108764857477","-3.6447285191401","-6.871236688832","-2.23733097127981","1.26924583210128","5.17129348367856","1.11005166548002","-2.82253224839212","5.85643224712598","-2.76759766088112","3.47704030789403","1.01591013166487","3.37293484612266","1.47800729311026","-5.67537446418069","-0.699089761521264","4.26782843665753","-0.30565559954075","6.56908019469112","3.21783484023505","-1.00742704764079","-6.64984726748424","-4.44602236826448","-9.08331824834997","-3.93604482352966","-0.10509601268504","-4.98957943247158","2.5953274219935","0.154801160168067","-2.95331880845293","0.800979582832172","3.69611794435934","-6.50021205237255","-9.34954419031911","-0.685719309652114","3.5203052221742","-5.51117777550311","-1.05427207197007","5.07522904408495","-4.85677529264185","-2.17125344408398","1.1468369433895","-8.29650174877508","1.5011784246871","-0.128757213174405","-2.56505152148654","3.40340093547509","-4.9205207713994","3.01878266537223","3.01772453862825","0.904230140905378","-0.607836975351446","-7.43381832992055","4.86438256800611","0.315343588716493","0.688030419261318","-2.7561495847346","-1.65321262234631","6.46683161755008","-1.81397179372986","-9.54683679042589","1.02481197066321"
"Random_EGFR_73_0004","-3.24564452344963","2.21352712113432","5.60483002265922","3.2766153161751","4.72181151349949","2.35238915929581","4.93969059896623","-13.2357329848259","-2.90187240423475","-0.183724635996262","-3.61871885263301","-1.21948643611864","-0.687272356973439","6.81959570357966","-1.32182043755484","2.89992663943337","6.5380331088149","-4.44344001015452","0.182348155658058","0.57268383702702","-4.91457473746952","7.0361700361103","-1.89786330856726","-0.319921997696605","2.32416135294748","0.962884948384986","0.203490729217926","-3.6101205641048","-0.864497396047466","-1.05579913012002","-3.70786157005766","-3.23579668626456","-4.43429708646224","-3.20249834833043","3.24790212310427","1.64484235429358","-4.21960248853095","-3.02704434242091","7.10275805635324","0.158347782580935","3.33356299897669","1.44484225747994","-1.03883307117179","-3.36094038035258","0.113541549979233","1.0835361513093","5.04000557532541","3.47362736440712","-1.96704027568452","-0.442617746959684","3.27335071613307","-1.38704466438427","-0.901269921341522","-4.5682098468442","-3.93805450803918","-7.39502653499645","-2.33709538632607","1.22180359766176","5.22971636792573","0.795188977614126","-2.96802934740167","5.80886570735615","-2.54109787941722","3.61025138783798","1.05983458912317","3.47674753024348","1.31985198992226","-5.95779535738303","-1.00807846087957","4.42355698007252","-0.34606923900865","6.74390825238408","3.27581856023717","-1.0870138461988","-6.8093075428216","-4.68758092319316","-9.20631291512267","-4.04547535393266","-0.26387060249404","-5.16493159148153","2.75474052791876","0.391898439835519","-2.70192715190515","1.03604249363954","3.81963743481527","-6.46904517151116","-9.40506279070103","-0.81298762680295","3.49467334023324","-5.58529976164236","-0.865610913292676","5.10558107189595","-5.14748355754849","-2.33180016892891","1.20737380734554","-8.50718206283138","1.33196640839631","-0.262846994273624","-2.76725314150052","3.46299720647637","-4.94166366451468","3.11499742183468","3.08571073545581","0.979132505642376","-0.747027932882318","-7.77930029859486","4.8792718046236","0.431458639109121","0.744463432883759","-2.86702273947866","-1.62066623919425","6.5350002772772","-2.0610407718977","-9.4357505308885","1.15673204925039"
"Random_EGFR_73_0005","-3.17150830753364","2.08630038271426","5.62440273866391","3.12947341045976","4.86453513009356","2.30373609301765","5.14034338638937","-12.9406296927645","-2.89919140225038","-0.199290175393576","-3.46243477730337","-1.11148314418149","-0.461699797871585","6.88376605525333","-1.10337099412743","3.15107972457279","6.54860930246649","-4.74550894974609","0.162337279431361","0.879113970080961","-4.53751263579722","6.89414877001589","-1.70954031341579","0.0659450935042678","2.24869975027483","1.04885414131691","0.465234843736989","-3.59498829401301","-0.633617100783334","-0.814156039447101","-3.78040753522048","-3.08940795460706","-3.95688787025954","-3.26560600260426","3.5248163401391","1.53832548811572","-4.29931032305235","-3.2305459351775","7.11129527938146","0.0935966395121423","3.21195203307503","1.68067834795473","-1.07921001799399","-3.43650897638804","0.0641756331306274","1.0297292560434","5.06133450228098","3.31423964887998","-1.8393402997614","-0.723375051685889","3.37732813569681","-1.33265348393867","-0.823052306949918","-4.34514376994744","-3.69218521362877","-7.16073034307497","-2.03134070650113","1.5364643794297","5.02965293296731","0.927006420211","-3.26031157596475","5.72850253004189","-2.65673224757656","3.58730872342724","1.09458193962355","3.77174267148222","1.57635352104104","-5.83515930867527","-1.11166286800863","4.4915502174522","-0.0325557699872309","6.92023178073971","3.21870629912104","-1.20871175683508","-6.74013222634831","-4.54424321810619","-9.22700518472551","-3.88275389360847","-0.412832963382198","-5.45591885549323","2.4273049103755","0.68148581859958","-2.60488042959418","0.854089651639909","3.66190610174196","-6.61661884994798","-9.18967125521243","-0.770604356490649","3.44859003149142","-5.59073119906252","-1.26433203950219","5.40995912142952","-5.00674514706244","-2.33316673429826","1.5299528248902","-8.43324478567241","1.6610202416729","-0.368572406726114","-2.20578521610107","3.85027545762735","-4.91201806779662","3.27685410180447","2.89095831616581","0.984940836511191","-0.74083584253442","-7.69796175597343","4.66060902571308","0.526795931946561","0.613325041267106","-2.63762562460556","-1.79816064707844","6.22406363674429","-2.13555433447714","-9.72022045357536","1.00781495991665"
"Random_EGFR_73_0006","-3.09707882249253","2.15463840256096","5.66341318397808","3.12769118181868","4.95141298075159","1.86248115905085","5.10612432436124","-12.7886992221153","-2.84205851762419","-0.343538912735782","-3.94380557721272","-1.23915523661252","-0.644537277102441","6.83262773616129","-1.46229577457821","3.04464522026083","6.08869713308119","-4.69749728940956","0.125821647843704","0.994006119363296","-4.15329300146591","6.7205810114311","-2.23319817621116","0.210889299420142","2.52478106401573","1.05890321228593","0.45971426685652","-4.07726594880537","-0.433966021315978","-1.23174686591571","-4.20560427023583","-3.30956183122363","-4.0785572497282","-2.92897615828854","2.91091561445065","1.8894792437284","-4.30380445589356","-3.14518637296073","6.75886083106737","-0.148087457429609","3.43907651048079","1.2737572772902","-1.28360205012558","-3.62592260209985","0.186762574493385","0.901346431708322","5.15422889253237","3.25828828400876","-1.63929349003081","-0.588209084244663","3.54997892602902","-1.51016244393968","-0.705452696704285","-4.11352589971372","-3.26978870420642","-6.93782469375437","-1.79669874082231","0.94831248184071","5.12989070743174","1.37168556058399","-3.2457291017978","5.97811712574877","-2.9090317893954","3.60725470871745","0.904612485769939","3.08416883578552","1.58257060198632","-5.68008795681786","-1.10504745926781","4.29576761669943","-0.00683877527566636","6.46115001469114","3.17796182462139","-1.126631665453","-6.67933111403358","-4.45250280753528","-9.01626358495058","-3.85269223918217","-0.487136958563748","-5.10583492716227","2.2477618297355","0.0995169260744104","-3.2299205045355","0.892833728140624","3.44250425585318","-6.53452104245204","-9.12925748092988","-0.946215464911026","3.69217539907171","-5.59953879216752","-1.0750267442301","5.41850183362432","-4.86133174355015","-2.21140925141383","1.61281593585831","-8.09943294496382","1.72072143229782","-0.585222505085132","-2.11234791868901","3.30206494441148","-5.285405087312","2.70229627506549","2.73895801353753","0.563011006145155","-0.77288139105304","-7.26598939379216","4.67605777007469","0.134499028704157","1.02445675823821","-2.62430028323947","-1.56939782018308","6.11914820956965","-1.82603128904214","-9.62520490685903","0.558525935388809"
"Random_EGFR_73_0007","-3.14840312596102","2.08416706448174","5.5693456789663","3.0401368489628","4.83912143057699","1.94482895605519","5.2364343032726","-12.9769098960865","-2.66662202225701","-0.371456102454608","-3.83306774639783","-1.30027343709481","-0.629485240494545","6.73185844126486","-1.48974330495034","3.08559070336513","6.21170965783962","-4.67675807263233","0.198862757083957","0.970585826891007","-4.21304154407599","6.62990556586687","-2.31100411588962","0.130784959880123","2.32493725464843","1.29668358888783","0.549419845304179","-3.84754259902319","-0.410209160751284","-1.07971209556728","-3.93191335104389","-3.27499793187092","-4.04870502244878","-3.02726553139398","2.92273876995198","1.78937360278926","-4.02525230032738","-3.08186857398838","6.72440796737967","-0.036864131186081","3.25128804140458","1.20884958260722","-1.3912851287628","-3.73739094653567","0.0964931879971287","0.981311044684573","5.04630160726125","3.47993328007669","-1.74834953132102","-0.479073449315085","3.5866534990354","-1.4523450113287","-0.776527579900195","-4.5098868677525","-3.52299540867853","-7.03593684884169","-1.99178742754763","0.853890516367323","5.02501610021507","1.45309497532831","-3.09329763854129","5.85418121091053","-3.04358677801231","3.56732368936998","0.939559515276071","3.20150037729523","1.6240957878172","-5.79705797217848","-1.14434491106781","4.29655540671875","-0.0960234366938947","6.4469762507991","3.21416724422512","-0.954072223968207","-6.90117611127179","-4.47211933626008","-8.90737575508199","-3.88513860338902","-0.346126729773089","-5.00784878570581","2.18124118216283","-0.00313164908248289","-3.25350485852923","0.895611264851907","3.44167737566189","-6.6854675540884","-9.15921534830838","-0.775698839470215","3.51387453911346","-5.48226729482858","-1.17378907892635","5.33619517060752","-4.85962692335352","-2.11758140508797","1.4671407250315","-8.23863154412353","1.85372348453564","-0.44803856094604","-2.21798136376726","3.22261765140647","-5.21291034166715","2.77081404408495","2.70178566506278","0.666803266558138","-0.664891499858018","-7.44040932012108","4.55338658749744","0.0217088635565686","0.784829670673888","-2.65090650299429","-1.64896662215232","6.22914384767468","-1.6082079792093","-9.61874668096384","0.603483936001658"
"Random_EGFR_73_0008","-3.00616929179914","1.94957897286687","5.44295334898849","3.04885890195543","4.82310259595856","1.97608995335757","4.91764930481097","-12.754369410078","-2.77023366207222","-0.252023090631149","-3.59013104896354","-1.11176871615563","-0.559746359598508","6.56749261464763","-1.33568084233488","2.82187153532508","6.01441970855394","-4.54994049602446","0.146847424149633","0.689049231579547","-4.17477716574322","6.62196994495641","-2.17484341189874","-0.157237722961423","2.53484967053928","1.04007817947578","0.217276155047967","-3.7055256948036","-0.513640871867577","-0.931300775989162","-3.84527888353804","-3.19049920037816","-4.23572126170427","-3.15658812574226","2.98149624586408","1.65989514181478","-4.01139386271083","-2.92081849081728","6.61231337681567","-0.0908635601089103","3.04822160123399","1.29768993944222","-1.27446934179898","-3.43812731565265","0.152730416111225","0.865638683324469","4.96545790266772","3.15902249449176","-1.97171045757169","-0.513650314121611","3.50398638379858","-1.26881528325781","-0.806282115620027","-4.32420450234376","-3.78514971292821","-6.75442957362052","-2.00286096738614","1.14664765308804","4.84089222777305","0.980910581656364","-2.93765981199257","5.64072090001112","-2.66265499958764","3.57186364841075","1.05250828706992","3.12089255010675","1.3924842098202","-5.66325815251877","-0.812321568697612","4.23195422220865","-0.165045234832822","6.40306612784206","3.06764428936588","-1.06424810609917","-6.82535120369039","-4.40470011205703","-8.94149950123666","-3.70040753315336","-0.276527012477198","-4.94524195969761","2.34297825349781","-0.188837138323699","-2.86100492675625","0.538477701132479","3.38088607858626","-6.44117374499737","-9.04769598026777","-0.671491290833553","3.25727338177331","-5.88110258925505","-1.00710161419405","5.00319845484322","-4.95727881792741","-2.42145633269957","1.24387116266202","-8.20478969284446","1.51748262444977","-0.445792967086785","-2.46727527493867","3.31374504215125","-4.90864841494021","2.66479895777042","2.78912979996889","0.628633795208294","-0.894141041608785","-7.25604029637389","4.61308135743498","0.198139874720778","0.89257971226746","-2.63272744723423","-1.5733857076673","6.19373065488985","-1.80604464357559","-9.40132520111762","0.692836926106918"
"Random_EGFR_73_0009","-2.96572628676077","2.03921690585724","5.53446565273931","2.97495164335737","4.88878452766504","2.06833500682509","5.10813980586842","-13.1553175513253","-2.64807996511384","-0.113416468969486","-3.64840342744007","-1.13111561416455","-0.349513555599466","6.72108946951541","-1.34343803951416","2.99769317933523","6.20859994235453","-4.60408072780276","0.231758761388083","0.834740796507784","-4.36642431267389","6.66615150427682","-2.04726809411577","0.0513806656491301","2.34380197515346","1.19875379565166","0.224772624341456","-3.79439231337783","-0.673998594632076","-0.996473408245573","-3.89822172328108","-3.00188596262888","-3.98944970389117","-2.97273010970453","3.22219856990879","1.98428859525033","-4.13036403283136","-3.12878012545797","6.75320123622871","-0.0442545483462877","3.32270705928743","1.42223932122993","-1.38051061531879","-3.62913547615009","0.043665711413594","0.757490914890298","5.07105106568086","3.18979409690019","-1.79356920788417","-0.553567928337181","3.49775008691389","-1.23830465142547","-0.613740437471819","-4.45465906603636","-3.54271143509982","-7.00674010092881","-2.33353798732554","1.20237747598081","5.07125807383391","1.00970947257068","-3.21011432332326","5.78433794521868","-2.71476585914486","3.71209649383517","1.11291658340151","3.30415543307625","1.76176475280129","-5.67459916466681","-1.26039903720974","4.33931956103364","-0.133800357657966","6.50320968308179","3.08281534514616","-1.1998657820975","-6.73248167191479","-4.42405391655432","-9.0504411375144","-3.84647577899607","-0.285550675736451","-5.11128847498388","2.40723974395387","0.346801291744071","-2.94175971613963","0.539016796901924","3.6038616578294","-6.65525107927549","-9.2512005776741","-0.741416921554675","3.40990127449014","-5.67356899869486","-1.23923679208454","5.23017937404913","-4.93662949949852","-2.62931800177208","1.26777995924126","-8.80318160572259","1.60196389483037","-0.19365822175253","-2.38172781250449","3.55249661328378","-5.13291110351718","2.97631064139831","2.77312341267995","0.718606776284977","-0.696828128139372","-7.55460607749453","4.55864735323903","0.348547517357786","0.742103608871932","-2.87884419132187","-1.68615073505692","6.15428127550455","-1.70065341228926","-9.87429896884867","0.970920596146837"
"Random_EGFR_73_0010","-3.27507763228318","2.20730533181606","5.63230622022463","3.22725326480579","4.94446389598499","2.01039366092231","5.03015723241166","-12.723362355022","-2.72389070437389","-0.311249862501106","-3.64820864773585","-1.14894915493161","-0.564903109749145","6.94662110739477","-1.32107374788995","3.07564923736577","6.48601858905588","-4.7926029053013","0.28850763374457","0.810673588333406","-4.23558426862046","6.95823642733644","-1.95640861379498","0.107460164152993","2.43002844922801","0.914357691614095","0.392918417791126","-3.75845485645862","-0.629178139724173","-0.930435309376189","-3.90227372529843","-3.19054771655621","-4.11751397606969","-2.99284536407285","3.3026657024602","1.70945405172999","-4.42665790164871","-3.24084100554056","6.90721754556772","-0.0679656747912524","3.47813281439096","1.3397691981773","-1.36502405809834","-3.61308786247946","0.1923055115591","1.06998829262033","5.16919930417418","3.24756944199299","-1.98504001903244","-0.516690700994725","3.67487256678187","-1.30627255686073","-0.683958669411309","-4.47786687335327","-3.69790643824075","-7.09119809670074","-1.98185414155148","1.42398956082051","5.07486444845461","1.09078735071948","-3.34520468247751","5.93436765983185","-2.58111187445742","3.81769757817571","1.17239887941861","3.56735405089034","1.4011121850593","-5.78968400492003","-1.20451586064057","4.54624507622392","-0.120784680661301","6.60509661523653","3.21218915267481","-1.15250424809021","-7.02920284682081","-4.582614087842","-8.98852750229159","-3.869782609897","-0.344896983038894","-5.33377871439496","2.43016629306351","0.23579182076049","-2.89932116549973","0.880435670355371","3.73609502614683","-6.77223808754399","-9.07325658238205","-0.828145665380217","3.62278919454816","-5.59351628531044","-1.11967736835062","5.33085000494879","-4.86292864114743","-2.18756824169891","1.47429766534078","-8.5276356457063","1.79299508290278","-0.387588186228999","-2.21073770654376","3.74223349339396","-5.07529514207519","3.09145504730704","2.96472266749619","0.824999005452835","-0.79802040401438","-7.4155935910267","4.80215675888466","0.304048724411015","0.805459421795903","-2.76910708381172","-1.40279853066695","6.33009537420101","-2.15514097766204","-9.54121081262806","0.88509897753006"
