"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_ERN1_31_0001","-3.19233517563385","2.20606117427733","5.69066654916058","3.23058690363636","4.86075521566695","2.1600568118582","5.33565943699306","-13.0424895379946","-2.78359261833107","-0.341908537645092","-3.79396626564818","-1.23604977004162","-0.636703995804218","6.89790734930408","-1.45962625863329","3.22797128195122","6.36781814408214","-4.60943338346049","0.201095768507924","0.891309023227727","-4.25204605108292","6.87995444099796","-2.03560884424025","0.0998269924487859","2.23292821429748","1.07299694411073","0.321342972239603","-3.79541681561995","-0.710922302925841","-0.953419191608166","-3.98587076888758","-3.22260813696969","-4.23927943159027","-2.95910512083952","3.07577453305953","1.65694348934576","-4.25590229759288","-3.17614565626441","7.04818247848246","0.126671197001348","3.40470857165647","1.44354962049153","-1.15763475101811","-3.5193848001799","0.115417566763445","0.955592898840642","5.23965692827174","3.27299213790745","-1.81515816644154","-0.612557908963308","3.47744709752755","-1.34379229937466","-0.817906864723477","-4.418042970202","-3.66161911914436","-7.09209942966512","-2.07077605383897","1.08849985481801","5.13188102636054","1.17061437256451","-3.15362928169701","5.8293177485452","-2.91499642170615","3.68824046929974","1.12238381691489","3.3191710039352","1.49006341282044","-5.81071186083776","-1.09992051896891","4.45753104785118","-0.253571566329077","6.6814427789428","3.32442905438817","-0.829315255665029","-6.73117513916101","-4.55963138371453","-8.92666048790813","-4.0820634920279","-0.342481677315198","-5.07685306042581","2.47069610448921","0.082441212095638","-3.15061584960309","0.843323125368476","3.77458634744242","-6.63556473165462","-9.3196285120308","-0.798080619112465","3.50448058340441","-5.4930516359322","-1.14279526153944","5.31002493491482","-4.97461513491602","-2.26479620336122","1.30812507954666","-8.41986218379503","1.61462629731295","-0.441115863025381","-2.42888240201033","3.46893252033811","-5.01834667298257","2.94686754374761","2.87639865277924","0.830149584100319","-0.663768245630444","-7.62730919121303","4.63134180134563","0.246720838926679","0.739551271202469","-2.80042145841026","-1.62998126038074","6.22168553519603","-1.90137445097359","-9.51560396726731","0.864997375793829"
"Random_ERN1_31_0002","-3.02406073326526","2.20793563830817","5.59727055192727","3.1778949398802","4.86743393888599","2.09803281616153","5.20865364685844","-13.1102533595115","-2.91529694238351","-0.328214590468348","-3.73841843903451","-1.1925611655143","-0.682608580866124","6.96025356738567","-1.39326418476141","3.03768503082653","6.33062035244626","-4.56079080446316","0.212824028515511","0.818140287559278","-4.36052606390247","6.83798265000174","-2.07501192514843","-0.012601578669456","2.27249622391547","1.20249854580929","0.357096740310462","-3.77192827522744","-0.546138827111386","-1.06423332977998","-3.92630311433517","-3.14932906189817","-4.18519705858909","-3.08783266298747","3.20886365506972","1.71069017704115","-4.14911286540486","-3.08441592670961","7.02636129369841","0.121964467306617","3.34855145610072","1.40077601228197","-1.25382552499258","-3.5069829674039","0.0949939405919671","1.04355196089075","5.11091135128424","3.314036963724","-1.84254802239888","-0.662357523233739","3.5088438929635","-1.31558746808053","-0.765344449814674","-4.41930769016537","-3.5986607055337","-7.32425573971052","-2.13455144990809","1.09244742453099","5.11704227576974","1.20093369753486","-3.16756827408764","5.97183269897439","-2.85821216160851","3.69821571820851","1.07618837443869","3.39485643112311","1.57954959465997","-5.85031153884904","-1.00336420372395","4.40626717918041","-0.237259410260065","6.58780541177816","3.27923699617511","-1.06593683938196","-6.86811391081933","-4.45609225593992","-9.10204121584371","-4.08177677801101","-0.341563520888132","-5.12926711447289","2.39821053526211","0.300659498154849","-2.98290288602759","0.813646987815868","3.69408165206683","-6.75090646729325","-9.32573650724481","-0.822178112346439","3.50750131710134","-5.47832738752019","-1.15724980101725","5.34115853153162","-5.03645395555718","-2.38095202772587","1.36082264006721","-8.57201845650064","1.58232181247817","-0.286600465400557","-2.4087926625976","3.51037194067309","-5.1267769848648","2.97622665407513","2.93873696598463","0.851210287955166","-0.66349724672695","-7.75370224100208","4.74282099797897","0.374098406011378","0.799860132359598","-2.81138487973239","-1.73098722841356","6.29767174574984","-1.97177273824579","-9.69345260202709","0.880474414962095"
"Random_ERN1_31_0003","-3.07901490453058","2.11592899794219","5.64293793852058","3.22762332416112","4.81551688562055","2.00190628986438","4.90040463949489","-12.8831295208658","-2.85218008290036","-0.305814209318633","-3.68451529246177","-1.14727433535514","-0.654841915333285","6.93444748794697","-1.36355416932957","2.93335180167991","6.37351861759247","-4.61352257854136","0.181343049799064","0.7942313549604","-4.41134178207784","6.77891167230347","-2.04402046785334","0.00983634905779365","2.35731330865577","1.10032063709605","0.268209027695682","-3.74989434923366","-0.526137103748042","-1.01841604318634","-3.82508852269538","-3.09989319268371","-4.07074553467903","-3.06248812543937","3.23992706284953","1.60069220134524","-4.22491744849142","-3.11934217212441","7.01461195189733","-0.020785733278634","3.26987434339015","1.32341801968614","-1.17397398598813","-3.58047277475598","0.0933749698474329","0.99044996625491","5.05437844233662","3.30159124434436","-2.05871666428621","-0.456656986899137","3.43649083027144","-1.32798666252819","-0.75930213612046","-4.45991307724301","-3.58867950463149","-7.16042882046969","-2.09869635393313","1.24240218095922","5.03450508845024","0.958802073641137","-3.07721348231368","5.7852627537687","-2.78810186229884","3.72418476406777","1.00994415180391","3.45916168834243","1.43405215816446","-5.8679467335895","-1.03476160697841","4.37847023589896","-0.384882018532405","6.65624714252599","3.17172434232338","-1.33231898069791","-6.84096051296963","-4.53717502145615","-9.09475578938771","-4.05705957418873","-0.470906123021076","-5.15758149172779","2.53677224110513","0.0856344671813688","-3.10996173918141","0.800358000251989","3.67977011189357","-6.72773354972653","-9.29143350979345","-0.78476231469619","3.51568558140056","-5.54700195012082","-1.05374633550497","5.25210277830331","-4.89335520126162","-2.19534578863972","1.32113721688608","-8.51131159852446","1.65097308261825","-0.330481333728301","-2.44463436633479","3.58034297871443","-5.04748705139662","3.16224236685274","2.94191492657374","0.702577742996006","-0.717253392748403","-7.5278554296543","4.73887347197298","0.295065265306679","0.731273139005531","-2.72468862670547","-1.52245113062033","6.35613824912039","-2.09631167109547","-9.59319784369027","0.773304066571693"
"Random_ERN1_31_0004","-2.99299207410966","2.16120358026994","5.47567364565389","3.06977728854973","4.77272786120615","2.1228786107123","5.15133351406057","-12.8139963794934","-2.68006290595586","-0.112324563566669","-3.59720246673173","-1.03713742350991","-0.527799433274898","6.86543672506057","-1.34507111103943","3.06029798976299","6.13867640712479","-4.77154535935377","0.416002950567036","0.911509859767561","-4.40553830372494","6.78729533844363","-1.98311508019142","-0.0142942000884959","2.2481420944095","1.13401830431512","0.418547486546362","-3.64770920992577","-0.740847263726801","-0.81632163929509","-3.83461270423437","-2.97014848918512","-4.00322554169845","-2.97340959783475","3.07011216946651","1.65875011882975","-4.19109016426275","-3.32815113768048","6.85625135556227","0.123567471567262","3.24209406736342","1.4957812680898","-1.00385589582084","-3.47019863221985","-0.0303480463454194","0.870685129657265","5.16296690516283","3.12987857933107","-1.81068077298272","-0.788144258038488","3.43780283381869","-1.17545470432737","-0.656940591895016","-4.56912661016006","-3.41992050524342","-7.09527918036652","-2.40324179639774","1.15664152125358","5.04301260767845","1.07973211546975","-3.1897761015199","5.76488043962813","-2.86230287825183","3.49665272548715","1.24493926196422","3.21674690566539","1.65419782525344","-5.73414350714807","-0.921522624597403","4.32905090190556","-0.0937637861826897","6.47574233858197","3.10985932743919","-1.29968097613808","-6.84113745285608","-4.50917590579818","-9.01509732956509","-4.08507318051246","-0.53000512912749","-5.19794994653552","2.28473776936296","0.248250072915557","-3.06664163807126","0.78550845225879","3.59189771858449","-6.67192467941059","-9.15759768674345","-0.636206888385872","3.39929591238822","-5.69811881873744","-1.23514607725784","5.33866754841664","-4.99756720803235","-2.39521471109419","1.46346446635627","-8.32344277183779","1.64682239218225","-0.249703879964264","-2.28603577684823","3.45694660380403","-4.9979681053799","2.80162516364002","2.72469009542228","0.789798280164719","-0.506492379000257","-7.61698679502694","4.50038479317457","0.298305881673702","0.726794816288927","-2.65375390277684","-1.73261444046552","6.08822665743736","-1.93265449930115","-9.61249990909087","0.855025689649607"
"Random_ERN1_31_0005","-3.13561334422422","2.10695728756035","5.6069204811933","3.06981381433855","4.96345463554486","1.97939613307876","5.19052079783076","-12.9983551804691","-2.87122061890862","-0.267195258578036","-3.67298239364027","-1.12099419178794","-0.576310912558486","6.9375692648971","-1.38627368814315","3.04624151357651","6.20667135553266","-4.70797836560313","0.311775213374068","0.893234020886127","-4.37651278142292","6.89995662268931","-2.04999556119415","0.156934038066277","2.34301905484363","1.24655859391629","0.367233059469031","-3.81053985010181","-0.519375857068899","-0.965726281583559","-3.90652987658701","-3.09915886887311","-4.01259749409229","-3.00244358610963","3.07644037872253","1.72010979022166","-4.22499365021601","-3.22149946935188","6.9573693708105","-0.0277987663173284","3.27828380385081","1.355569153642","-1.20368891596472","-3.63045930829898","0.146688980845833","0.905803701043184","5.17641075441828","3.32137290760834","-2.1861026661286","-0.602245960379701","3.59910086978926","-1.26895577896145","-0.713231934042048","-4.47781245383261","-3.49860410029413","-7.16406260471929","-2.15248582016031","1.13533823333478","5.160422518977","1.22802997777019","-3.21609675822014","5.86350848380592","-2.92531674694537","3.78006809682442","1.05325931608818","3.34093182038937","1.60916375434635","-5.77988711433733","-1.0235058766865","4.45490560382519","-0.0838968672370652","6.60130819264337","3.23753826275948","-1.08017812921297","-6.94797080044001","-4.53865722296581","-9.15225010406706","-3.97630346561365","-0.481570381491473","-5.19635199132445","2.36794386107158","0.0771099154435955","-3.17974867249684","0.675385356702778","3.59684687415565","-6.81468790603821","-9.06159254391954","-0.768087606545","3.52261997210466","-5.62165157401627","-1.16479679272913","5.36172789450939","-4.96748240768356","-2.32070292531646","1.44909185999207","-8.47519092358708","1.76957505295748","-0.433730999288174","-2.22492252244525","3.4790937383973","-5.19059024813034","2.84378362685665","2.76883048546397","0.681965448963987","-0.730513234643092","-7.66126778625579","4.728499756197","0.226388887774535","0.870253430428916","-2.61350775405215","-1.63900583689361","6.29983010569624","-1.88672129491238","-9.81979895112646","0.703302591138895"
"Random_ERN1_31_0006","-3.06012202331059","2.12417800065224","5.50718612460633","3.0639077046134","4.80455640970357","2.06123364926288","5.09464332287049","-12.8601651596487","-2.91125476378455","-0.235317314890996","-3.66457608410562","-1.11927923411871","-0.571730862090911","6.92433925136393","-1.39478701509893","3.09869627475512","6.2469132915697","-4.81140012084167","0.35765575982421","1.00462607745311","-4.33075461640887","6.84140401070965","-1.94708523294158","0.0529819536552756","2.20334645740054","1.18914568234935","0.44895245490013","-3.73933730858126","-0.597419509744603","-0.985412829333842","-3.95874365194282","-3.1566243981152","-4.07059722261538","-2.99850323437042","3.13459532002129","1.72124840311945","-4.31029104426975","-3.13951488134635","6.9302311889974","0.084988864740633","3.2620121857753","1.48038319970096","-1.39144131143584","-3.6131873663707","0.0478347948991855","0.959172455201591","5.10500424186896","3.21541899533343","-1.85981900210147","-0.730687307533572","3.52708028072237","-1.2920574788152","-0.673826893140259","-4.45304179802485","-3.53487601966505","-7.16286119148834","-2.33396266739785","1.17111409852465","5.04513725525713","1.1212955856427","-3.20359843464086","5.7963820166503","-2.94939819655491","3.67900437537072","1.11124086898359","3.32782880247081","1.63516794852798","-5.73069307151616","-1.10574804092867","4.38725487352361","-0.0431880651317831","6.58773211411413","3.12240523585689","-1.239107699556","-6.89090987226527","-4.41914885016477","-8.9493608936225","-4.10819021209734","-0.432406218262645","-5.3185334255379","2.33093839569075","0.277816647541722","-3.07201507166383","0.835001260318111","3.78366094083163","-6.69026650680615","-9.13011122916249","-0.669497246048134","3.43413147542553","-5.65704563237751","-1.24491398382824","5.38367406150662","-5.06634650293168","-2.22586300252795","1.46164186398244","-8.37078047313176","1.73018779404364","-0.367424949720682","-2.2624472062674","3.54551877306319","-4.99572779843495","2.97761215675377","2.82080012334729","0.745771646656899","-0.728454981415775","-7.62773237540672","4.58224378362786","0.306653286509566","0.635255222890388","-2.69720761656968","-1.70545499964934","6.17643189456538","-2.00055237206348","-9.59862592952233","0.915602210368486"
"Random_ERN1_31_0007","-3.12583280024284","2.22466755902534","5.56614961214626","3.19792252204936","4.8338899710694","2.04345394015698","5.29686965865487","-12.8999116106454","-2.84020731633683","-0.38744110099132","-3.88678392295117","-1.31429190707714","-0.68461515342219","6.90396581436453","-1.57606502201981","3.0136743135123","6.33836127215991","-4.76536973703717","0.245648039477361","0.893543162370837","-4.37567267548149","6.89574985786088","-2.11213263210071","0.0530700007191871","2.36812074877672","1.09350403997891","0.351398097086188","-3.89148902098644","-0.606240143912707","-1.17894204214206","-3.89371869262","-3.15083274615522","-4.11139599118211","-3.05429784029627","3.21553246577991","1.64596009172683","-4.15841990278457","-3.05425705495574","6.96007874565882","0.0468819469588278","3.36274268444539","1.29094667633463","-1.33270931709671","-3.64714459245313","0.153742936734103","1.08422444235641","5.03567096577912","3.29761375571566","-1.89077740238608","-0.57242820012992","3.46235877512837","-1.48422165617651","-0.800234554256146","-4.55978432328377","-3.57819746929411","-7.17650557111134","-2.16313755465571","1.22216994227937","5.15956109246559","1.2058476353363","-3.11622007546491","5.90761371386492","-2.84833414612362","3.67321519817636","1.05521543190235","3.44399370612816","1.60415665198906","-5.89562536093249","-1.033613002925","4.41352073854444","-0.0878463201660804","6.57519179760399","3.23000691139439","-1.01252855054563","-6.71006984891943","-4.55690832396216","-8.8520567660575","-4.01986128713927","-0.515763299327029","-5.23408057661629","2.48284333819501","0.175119562575617","-3.02046847431192","0.797075871145725","3.74559655047364","-6.70684408968577","-9.25419822495929","-0.885753962113383","3.51927006491246","-5.69686335993139","-1.15927171205103","5.42428726753431","-4.81053667481657","-2.19622541298818","1.35106485854386","-8.43320617994661","1.59877241261554","-0.425854104164395","-2.2592358566619","3.47062199779453","-5.06796045282705","3.01585025571265","2.88103617429145","0.722101159489996","-0.725692502153559","-7.71217491303728","4.69232283777753","0.227564916554022","0.75645491904119","-2.83818197105982","-1.56681133229445","6.29219575266249","-2.08815459573079","-9.6472046635204","0.903381339655573"
"Random_ERN1_31_0008","-3.20882840701146","2.24604973137173","5.48885196380281","3.28114173579325","4.81947179440378","2.14715672934219","5.14369775506634","-12.9681264432872","-2.88861430886127","-0.319078709762672","-3.77088230452627","-1.15772560858255","-0.602669605975488","6.98446637978594","-1.50224088910981","2.91312794597821","6.35281888334704","-4.65447747260632","0.259675086593703","0.772454928551054","-4.55004637805339","6.94023815361273","-2.02108699434743","-0.0648532686044894","2.34782364590509","1.00518296902241","0.340983327801384","-3.78933774234582","-0.612108698499434","-1.08127472661759","-3.85267058904917","-3.20560425545413","-4.17928712815539","-2.97349409347274","3.23969367542113","1.61970061587879","-4.22189284832136","-3.07520386079163","7.02710705034671","0.0730160340552484","3.38634315638626","1.32951133094886","-1.30200556761952","-3.57958522992454","0.141996805174261","1.05981549661801","5.08732260076955","3.46747231903594","-1.89047950859917","-0.497500293005123","3.42161237881963","-1.38674615379998","-0.782164774113042","-4.59545677019402","-3.70824775613988","-7.19082951163208","-2.39303168921175","1.2678837778601","5.11097000934633","1.07211412677402","-3.13185694166505","5.89235295371055","-2.73374394328564","3.74889182486892","1.005146369847","3.38748467608549","1.46278997753129","-5.75631631069273","-1.11985057110273","4.32430598510198","-0.272636276146358","6.72389243729319","3.32599963040942","-1.04974906197171","-6.80397608096098","-4.65814413328862","-9.01084400203808","-3.99930661867605","-0.465602554253991","-5.17649665199366","2.65363503997735","0.224507995816889","-2.88935240550131","0.841456979357723","3.77196734685664","-6.66147813310728","-9.29798808633003","-0.821134802304959","3.52415376775227","-5.6551580134189","-0.964915971034044","5.29263444089002","-5.06288203245051","-2.24888037639947","1.32047151628468","-8.43995699853554","1.61180220117889","-0.416900154707158","-2.30705143773918","3.57470793672561","-4.94120904169186","2.93501412686936","3.00177950139448","0.741437781558452","-0.714196714091494","-7.70340078030657","4.83025255906819","0.343605906407209","0.886039688278531","-2.78552406617773","-1.62330215967373","6.38148989718356","-2.05356372417175","-9.54370022129614","0.880586201616692"
"Random_ERN1_31_0009","-3.20954674781521","2.15384856634305","5.48305582760583","3.23380373811659","4.74965796405044","2.0839381756144","5.18060070330705","-12.9026229791796","-2.83371043811288","-0.28946517478394","-3.71649182340644","-1.13957553683608","-0.625463395268113","6.88662365995519","-1.44617417407308","2.95974333274718","6.25346343463411","-4.60052199096154","0.246609245285453","0.872657851438178","-4.45956696531779","6.92062451417885","-2.07772348123955","0.0252231930253404","2.25356926987535","1.19364067046254","0.268885830216723","-3.75378845147827","-0.65949805565795","-1.00601599342319","-3.91233206115871","-3.08474095355433","-4.14717809455655","-2.95967737367783","3.08188335296931","1.64394844106727","-4.19421790134303","-3.16664170874924","6.96724034766796","0.13383814131161","3.30865301664009","1.33180307002925","-1.22597830648645","-3.59088812581497","0.169477061340515","0.885815371731225","5.05993017760621","3.26109638837088","-1.92250663548495","-0.56883403821417","3.45112905688868","-1.30499968544265","-0.765820697986726","-4.5092475528058","-3.54652254081457","-7.25866855379441","-2.40222841396867","1.17581765676292","5.07362404506785","1.11768224211098","-3.09922880165445","5.74002902678363","-2.78562860176488","3.73254397259457","1.11221704913521","3.33408905877915","1.60087573266194","-5.71081171068249","-0.977202978323251","4.41880001854529","-0.0938183270144918","6.68703415427359","3.20549102574393","-1.11313773563109","-6.93922996687158","-4.494864335788","-8.88227386759405","-4.03840114142358","-0.492658615608283","-5.2257456365661","2.49601436060279","0.130194159109686","-3.08861969106228","0.920618427030667","3.79263941626626","-6.6215428778746","-9.18098482567902","-0.786988807242068","3.4624832954446","-5.6941793767358","-1.03935207590917","5.29599995865336","-4.92693024895505","-2.32037262086689","1.38856622341938","-8.38870477397613","1.6370120146363","-0.402299360628334","-2.27913588660048","3.4559549323312","-4.96458542996045","2.8727728544694","2.89899383530039","0.750661345003819","-0.703721053334718","-7.67631213712465","4.75530578405532","0.228764755133176","0.715800965406636","-2.69908208740156","-1.62333439182061","6.23114844187602","-1.99845441981701","-9.48931607760401","0.834602393954563"
"Random_ERN1_31_0010","-3.26846829354277","2.17184293522862","5.69816351099113","3.24080048550798","5.05888149130919","2.11768633617768","5.30726737456668","-13.0414128174409","-2.91539115194368","-0.2342019044958","-3.83406130883805","-1.32180860445964","-0.599355565734773","7.13207383124617","-1.48696010024813","3.26487883113232","6.42859100800487","-4.75632770136914","0.149114121218943","1.05013212646896","-4.35712735094778","6.98352246201116","-2.08451344675828","0.201696898965194","2.4020434074338","1.25580045822406","0.544042693543346","-3.8157605610977","-0.442101295460403","-1.06162840117423","-3.94380141786825","-3.13758282201174","-4.07848568047131","-3.03911268981154","3.41566678495289","1.80549634958221","-4.23506900211977","-3.20751697020807","7.11820286717497","0.0392734499688781","3.37395402571663","1.38239376355038","-1.24984142371172","-3.69897397036655","0.196797861943976","1.16627375174833","5.2330743875516","3.43344245166753","-1.83733119366606","-0.630060271895799","3.6264242877638","-1.36455548713392","-0.7324739462951","-4.53323219042249","-3.51645875808842","-7.33466893687165","-2.05161519241177","1.28675770761375","5.21560888257223","1.31849449518722","-3.24731524017762","6.03717406381553","-3.03936968414153","3.77571808223423","1.08928793494422","3.67079751235926","1.73290314591403","-5.89154405292243","-1.08052462921996","4.57188245538049","0.0186050723730854","6.64445891101147","3.32336483798693","-0.908675467918864","-6.9867020858365","-4.68166522445467","-9.01891054502046","-4.07687377936883","-0.48871164730072","-5.27248450992495","2.44135835497251","0.257125606658349","-3.09328451340734","1.04512504578304","3.76441028538466","-6.96146046350333","-9.27499480570729","-0.820229805635323","3.57656660153121","-5.48896547101819","-1.14132708759037","5.64940042471051","-4.97532029491204","-2.22109522923075","1.54360245570204","-8.49665947130547","1.81770315599316","-0.448310972548936","-2.1620532018439","3.76837383906565","-5.18658500058117","3.29308217647056","2.85658693517217","0.807510306646401","-0.652123327734698","-7.83704871878006","4.73320455213653","0.288721351347628","0.796025011213505","-2.74996469324009","-1.62680615629489","6.38278028270708","-1.96019712380305","-9.798145725817","0.887271717326252"
