"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_FOXO3_62_0001","-3.21750896577841","2.15685928671826","5.65197771210466","3.18534874007578","4.88725418250622","2.07275155372862","5.2446453715446","-13.0880472903135","-2.89354022029876","-0.405382894855849","-3.81734857784384","-1.2913953491546","-0.677924387820047","7.01612970382856","-1.46831895536917","3.1107360923592","6.42293871653244","-4.82540271396851","0.201099144507354","0.879214020552739","-4.48159123381952","6.82214806846127","-2.07511009337706","0.131119314362184","2.3128111421735","1.15689376272448","0.343467859712799","-3.84686967788698","-0.472936908221284","-1.09076061482811","-3.85731264081728","-3.13162960280992","-4.04539241804442","-3.18047295408886","3.24184525268845","1.57680026287002","-4.21426843658584","-3.21862319785907","7.06118140200658","0.112582451833669","3.3859476367071","1.36661742636837","-1.30602137750493","-3.79495720892431","0.120248313552228","1.08942193804156","5.15945088924182","3.35856999650056","-2.06777494526097","-0.671810021184497","3.47055999272668","-1.41732898817617","-0.800685515875282","-4.70329313028865","-3.58735780476813","-7.22701331179289","-2.09466600178001","1.26522202281526","5.14081474984589","1.19295126801816","-3.33296650127904","5.86866009746902","-2.87990005886116","3.71817901449248","1.05313082807003","3.49098990688773","1.542244303509","-5.80680308845393","-1.05718043996772","4.43266712809313","-0.153948753134396","6.72191844227483","3.234315781927","-1.08558144462816","-6.87804457607481","-4.73683458274198","-9.2050633175928","-4.1211338585499","-0.474783901489","-5.39266070327995","2.50885242812517","0.265238611215847","-3.053432434118","0.871590596257847","3.77738955080078","-6.8729565182982","-9.34349302538649","-0.81758657858949","3.58141913116128","-5.59528368054425","-1.04922241570715","5.36658059972047","-5.0688712432802","-2.14321994761138","1.36378597905828","-8.51984140156037","1.71353028929359","-0.401957141721896","-2.21167966272425","3.61584021085298","-5.13375047782621","3.02366217476826","2.92005444669463","0.797618399145893","-0.773177318199108","-7.95089305707538","4.79253720040451","0.337491093232939","0.708869067005593","-2.83430352462026","-1.74333896567148","6.36868472673331","-2.1599897395649","-9.91734725130318","0.871313498766752"
"Random_FOXO3_62_0002","-3.19316381252676","2.25292197782761","5.72126154642116","3.13143188807774","5.00280121100367","1.92531551335932","4.96478633556146","-12.6588111584487","-2.88698153346008","-0.349570237685231","-3.85707880102885","-1.26460654782317","-0.653938295417424","7.02352495632656","-1.61599298388916","3.23573568350136","6.09208832795358","-4.79312312946734","0.118345452313249","1.08712870165466","-4.24577629050262","6.94050782227987","-2.1529128340282","0.346669483139481","2.39024430817438","1.07128437950105","0.51548337403328","-3.85604273320819","-0.425588371171737","-1.1310204847874","-4.13010676427291","-3.28980073730836","-4.09314703555221","-2.75073458855622","2.98482202946221","1.6756127791931","-4.27853639033474","-3.34879600354126","6.94699680383068","0.0221164785856909","3.55188662171738","1.32765027886049","-1.5209204485091","-3.70947275235201","0.280817650998092","0.89360426566075","5.26406479600393","3.30551641847008","-1.80633805149015","-0.609314844158227","3.68830152607196","-1.35911018665524","-0.865103261696726","-4.50557060587486","-3.68588298543881","-7.16759311678728","-2.05036353838908","0.983040506348783","5.23378953910554","1.16040374338717","-3.31685457722918","5.93673479940408","-3.07696431455037","3.82427586439399","1.15035834094843","3.2028372573662","1.60528172044191","-5.8018380479395","-1.34128092337237","4.48829694244602","-0.0543733010511807","6.60586520694021","3.21945299545631","-1.08054144988314","-6.9412013836538","-4.60915604065326","-8.78660565588873","-3.91427565581767","-0.658609531095593","-5.20582754156229","2.43667827182364","0.0231175954672535","-3.21999536712312","0.828008754541435","3.82157947693059","-6.77061921024986","-9.05027872536739","-0.937279258070429","3.52901372116496","-5.76500683319753","-1.093478233607","5.39552552767986","-4.75391308173505","-2.05710264448023","1.55960153784243","-8.4636947896873","1.83683059995629","-0.627198197900886","-2.1061267575848","3.40026059573754","-5.08798522814086","2.88660663289104","2.97871085040655","0.732934395120595","-0.801438209529086","-7.51524396377221","4.65639078394497","0.0943056702138495","0.748540095767305","-2.97481006815073","-1.5671667028097","6.14989485263893","-2.09101625164423","-9.6529878352173","0.695460038970364"
"Random_FOXO3_62_0003","-3.46329388444534","2.21844077544175","5.61001305384005","3.29937835848498","4.88759311905965","2.18001661875334","5.02392649768695","-13.1395903585456","-2.70693436742937","-0.332424174254476","-3.68574510712322","-1.26918834664761","-0.562215798960627","6.93253676248573","-1.44315323845992","2.85587770137428","6.48857385318909","-4.57710315380449","0.231958072421495","0.635131341650208","-4.45530327056951","6.87542547848274","-2.01193178678346","0.0269145859497371","2.43826909810323","0.990319904085907","0.322088520725866","-3.74649794102371","-0.723153923872228","-1.02634705723257","-3.76013829074604","-3.33651099131785","-4.23865483187035","-3.06837246098273","3.162016635005","1.59595849847555","-4.148526220848","-3.17046542634484","6.94194353487095","0.071288442965629","3.40443834351252","1.24845323100723","-1.19647248588092","-3.48677657393672","0.276601636803209","1.11815861648404","5.13409484837203","3.57420827531807","-2.07232548999455","-0.305192062124042","3.4142101805466","-1.45278151905052","-0.890503751933029","-4.7282130101971","-4.01840725727133","-7.09573760729993","-2.27199077959452","1.21468417485584","5.35265277647668","1.1351813340127","-3.03206473867675","6.08064139111155","-2.72755855361907","3.78256832060806","0.94040348902281","3.51149823711173","1.4267566129756","-5.83784400338802","-0.88885415337215","4.43419954904578","-0.475642991977083","6.69331308766476","3.46176955933382","-1.08268281561344","-6.75967439327019","-4.66463162852442","-8.90925688231292","-3.80074200416417","-0.284955913264553","-5.19855829846667","2.72858842097355","0.0140299556784301","-3.08938958506141","0.780806922962918","3.59061374221954","-6.60170544362018","-9.48718197193587","-0.853983947774373","3.64025939829789","-5.70231807825921","-0.851086476415675","5.20731186417469","-4.91354851772726","-2.20148792424654","1.3163363909064","-8.57503631000584","1.60721549622779","-0.407417310938217","-2.58460574188417","3.46369448943864","-4.98835766480341","3.06593259559986","3.01532222377514","0.768698448072537","-0.654305072306153","-7.58897173622588","4.86705183384907","0.235221018489626","0.753381599475223","-2.86402570527363","-1.6705591311019","6.48083046529222","-1.84649180280938","-9.53737697196643","0.779990420691926"
"Random_FOXO3_62_0004","-3.29887007862903","2.13583641696947","5.59422114997181","3.14083776258941","4.76391679883122","2.4476098399477","5.49483253705084","-13.2733682293076","-2.7115114475138","-0.301094866947896","-3.62913703866118","-1.22669483401547","-0.45475075728602","6.72856947993956","-1.3136727187592","2.8974419105317","6.52643564656995","-4.74443467255635","0.267005720525098","0.600864953569841","-4.36247925321886","6.79032126769327","-1.85645182619082","-0.376407239346139","2.4450385906192","1.35294722004332","0.189720368193291","-3.71191973412035","-0.505965722778153","-0.930579069278917","-3.72691305956031","-3.07704910846958","-4.05196848456948","-3.15099375766817","3.27132327359441","1.51645223132775","-4.11084504127488","-2.96128098900963","7.00986973413744","0.15984601490285","3.39636505749038","1.61318883980845","-1.38615040440826","-3.42958872674143","0.0423951621061667","1.2257052599397","5.01100852006263","3.44509598123097","-1.66831597401488","-0.573629864491055","3.36093606253698","-1.48296427364355","-0.623978553470146","-4.74216391472751","-3.64399350271686","-7.10413778634006","-2.21073709004668","1.25800947617245","5.16296048684894","1.18231966655892","-3.12916122130463","5.93890157911981","-2.73000735060663","3.71817367391103","1.1556574126224","3.57818676859007","1.61114836337201","-5.90272946414736","-1.18904453761877","4.31491262156428","-0.236893536962201","6.62162429447803","3.29730904690869","-1.22306744077386","-6.75862830673677","-4.50925400894673","-9.0142771080331","-4.0256301716215","-0.271436874869857","-5.16699266589944","2.48798605879893","0.58121664492755","-2.82231265846458","0.717550621846924","3.72937593454467","-6.80744416025247","-9.4358805995191","-0.709509770271868","3.49880504460013","-5.48899444339332","-1.11823136129555","5.24482909016231","-4.83041735714821","-2.34018028586487","1.23579475391592","-8.61110963155134","1.42896909210176","-0.163941152499315","-2.42269298539114","3.52179193593092","-5.02507196084886","3.15953927358087","2.8113878640749","0.91429800544098","-0.559880290673412","-7.78702814417794","4.74747591259084","0.532467992117345","0.782633260091101","-2.94844745676445","-1.67611708527579","6.48242233927179","-2.01622428759043","-9.97710982121084","1.25075807930589"
"Random_FOXO3_62_0005","-3.16819416220766","2.1657616191494","5.60640292651401","3.20182723442624","5.07085327916154","1.70583133337239","5.16421160649601","-12.6134428901917","-3.0859992180967","-0.385461145777979","-4.00952154997734","-1.3002490036836","-0.696283262506498","7.11550375053076","-1.5581101916956","3.46740387305271","6.27495837116657","-4.90816247126504","-0.023815157124698","1.17547055689294","-4.08121854721756","7.02269147283314","-2.35464648437628","0.493038669563697","2.2708922118354","1.23000206623734","0.740521438059136","-4.12512104778711","-0.474958375727947","-1.18936591007197","-4.14539142756053","-3.25426604942272","-4.27815921334475","-2.91894061933723","2.85943557277817","1.70666100219754","-4.29032795845692","-3.36966257909408","7.04406551235772","-0.102458324422356","3.42149935344001","1.17020359422204","-1.59013654842017","-3.81429294520444","0.160670607081731","0.98877982736984","5.29524348629556","3.20399889708978","-2.27580715574388","-0.430900333154986","3.79366127502784","-1.25127547483177","-0.880211142640782","-4.49055399499696","-3.54080145976234","-7.15972778240512","-1.92370118132709","0.896227372278965","5.26956901069571","1.30124252559678","-3.38927617608122","5.93101642729527","-3.10637835797671","3.85055028027218","1.08743768230528","3.26889073533873","1.75012917928828","-5.83825619124656","-1.3663664299895","4.50737506374198","-0.0809807846366724","6.58433364953305","3.15838764215176","-1.04003788078259","-6.87040966007226","-4.45941987214459","-8.98162172482131","-3.88982685951527","-0.651970719670908","-5.15639675075755","2.44664743158898","0.0581244667732322","-3.19332880389274","1.02841136826754","3.97989072858461","-6.87973563249613","-9.01026252659631","-0.88729164332451","3.66339424057028","-5.50934756206125","-1.00117253845157","5.42084643549874","-5.04069130458831","-2.12713447708677","1.65505103583747","-8.73274906934211","1.91857505408804","-0.596349785836604","-2.0795344858849","3.18685430839123","-5.29320001630655","2.71078641431947","2.98432544504097","0.666651705455732","-0.846660501721642","-7.43955132179664","4.6531660645909","-0.00669683456629978","0.850149412774657","-2.93180272492693","-1.44316865016551","6.27898035193032","-2.03534685756113","-9.57696649023093","0.741461069695052"
"Random_FOXO3_62_0006","-3.10003947601549","2.074277992153","5.50654963217514","3.09910568707511","4.80218297538504","2.03346148374093","5.10180758134234","-12.7539810616728","-2.8552868084874","-0.390216375473199","-3.65290722193214","-1.1492942811117","-0.594420260673058","6.90547063639216","-1.33218298481373","3.20939993741122","6.15738481569547","-4.55649979160948","0.251397360455556","0.974907085904216","-4.21675742636354","6.85266083822634","-2.02763284745995","0.104793954540107","2.12882751459933","1.27068644753567","0.599610498195503","-3.692616947006","-0.61797624734237","-0.962315474006169","-3.90593485172287","-3.11449152981354","-3.9296026591799","-2.93267177877283","3.0095200686748","1.77770390114141","-4.38273642350631","-3.25551131008271","6.94819061189407","0.253840862540865","3.23505621251197","1.37079618782048","-1.1110004698752","-3.51338739352819","0.0554325081477192","0.919742841913491","5.24528987733399","3.22839099662685","-1.89000797735934","-0.749982819775638","3.43173861262781","-1.2957910276943","-0.693588110315072","-4.43457769072253","-3.59953769832481","-7.09931369109076","-2.23804946677197","0.987588998915439","5.04566145628827","1.23832801393392","-3.21343141026141","5.76780545294082","-2.92515394253819","3.6830856698404","1.20408305332311","3.23044569513667","1.63657943413829","-5.60998162523473","-1.04646233873952","4.43399265850816","-0.0905274279568094","6.55859438148687","3.22356231915695","-0.824423441830067","-6.9737474272465","-4.47644780320177","-8.8011169556531","-4.04035464066021","-0.339955030222999","-5.27809004383591","2.2761175676403","0.214143923055893","-3.0939659186597","0.985419090329447","3.66351382494591","-6.67902381010334","-8.96461479844428","-0.669260619826549","3.47568575063596","-5.49301638940132","-1.24239887869638","5.44839268895582","-5.12289115779325","-2.14906574203599","1.42346991826507","-8.22318155351313","1.76143286857582","-0.378429164458276","-2.2855689105471","3.38614204955334","-5.05579646394458","2.80023982737347","2.80080751646991","0.765071388452926","-0.606987114711798","-7.48800883363354","4.62950984688628","0.250710924337601","0.759498520459154","-2.52492571877889","-1.80463092015414","6.09039990508552","-1.9449498073451","-9.46615405371331","0.718360031972165"
"Random_FOXO3_62_0007","-2.91008333471062","1.90345989752318","5.5298610122172","3.02126217009504","4.83909363943311","2.13221747922214","5.39059779896054","-12.9108729022852","-2.72960430643045","0.0538913431388113","-3.69816905810838","-1.14948690364976","-0.337519877828323","6.92629593751035","-1.18466238623495","3.18576777787228","6.01744212820823","-4.6132583433641","0.344715626846606","0.830048751358693","-4.30473849347399","6.79447334993438","-1.93779664068588","-0.0936944684798935","2.23363017304108","1.02729677877576","0.218573038784151","-3.68412398850949","-0.772703648982616","-0.9058997828551","-3.93610058867759","-3.19262988006917","-4.09811061506497","-2.95781298294356","2.93819977441027","1.96863586953876","-4.32672123804922","-3.21104496519135","6.77064560563387","-0.00994143202376599","3.08118579201398","1.50543977134937","-1.36637238006157","-3.49992643469811","-0.19770185821075","0.831405941361916","5.13346476900263","3.0808785481486","-1.58451515684434","-0.689259146525062","3.41266306902914","-1.34765333892404","-0.773490316927909","-4.30142960752157","-3.2887305287602","-6.7244733381584","-2.16048216029383","0.938182342377298","4.96647695337862","0.959667892931263","-3.11577423171593","5.88560445016505","-2.96884531279938","3.44440933718678","1.12771178795115","2.92669942081283","1.63664704707095","-5.94684844658192","-1.03363465599697","4.20046563319788","-0.186823855401282","6.32835941261042","3.15174887595102","-1.15716646251721","-6.69409869077933","-4.44779964447101","-9.18989084720488","-3.98055836669851","-0.280582250833162","-5.25229467526328","2.18338015908045","0.307681467552743","-3.0483143510112","0.79615297711402","3.54769764869251","-6.53835063227056","-9.35960045292621","-0.696458811182591","3.48461651263941","-5.68722578994958","-1.26113222669924","5.45592095406436","-4.98360523824714","-2.45767743449842","1.4954614727878","-8.46629850966246","1.44885893629355","-0.290338139960973","-2.32999247270447","3.37503925803707","-4.99240520074814","2.79432458855147","2.75108513341225","0.844012602437041","-0.819473940462856","-7.64433536249517","4.55343195191059","0.369514362897725","1.04456702242192","-2.65072656862829","-1.66507676720914","6.0488849169348","-1.99037311512566","-9.68861341409325","0.843977531989655"
"Random_FOXO3_62_0008","-3.19607142043319","2.41157483754749","5.63496508605688","3.36231309068973","4.78149767129148","2.02069340948389","5.25996396006917","-12.822249406958","-2.99618923538102","-0.49463221671438","-3.78981608719922","-1.28259412347103","-0.775905225310637","7.03690328197547","-1.52585035497437","3.04777052764692","6.44642705631224","-4.59432129486876","0.162009656764658","0.838171208628109","-4.49612310987209","7.01598477342557","-2.11214452442299","0.0272201245184726","2.31817277098472","0.939628039135105","0.289670012550539","-3.83250729519013","-0.645820650284205","-1.19764235561665","-3.87545760893189","-3.16239542928328","-4.18684682198074","-2.89767366447454","3.09026257604032","1.52952717942755","-4.15892495297031","-3.06762348877033","7.18781772966704","0.0544051252243932","3.49347259321929","1.29599546254013","-1.19622925972198","-3.73588218557837","0.254112938672192","0.989632930618835","5.14729490864874","3.41487321696488","-1.91665867557581","-0.494902328561483","3.62395583767536","-1.48340951567018","-0.925029712026013","-4.52933149152285","-3.67479469085039","-7.28950409562746","-2.19990992731874","1.21554544132831","5.32886775194155","1.20982515785375","-3.15667705634298","6.07518484460661","-2.81602931241967","3.75144449801057","0.920146030549748","3.49893072020154","1.43105710944928","-6.0649316088462","-1.03291116156931","4.48002327255784","-0.244859727526831","6.71915467682596","3.30636291868536","-0.984134838434825","-6.83105848869976","-4.67756700749436","-8.83779455607847","-4.03929285849649","-0.524459134950425","-5.16133437967315","2.67138404129266","0.0814749584223026","-3.03558607253259","0.996808882908409","3.92384577635835","-6.79911308100028","-9.46614887822875","-0.849297459740617","3.60929552282598","-5.53888560447881","-1.03049862778714","5.31709175586809","-4.82231063558395","-2.28931529141554","1.44503117520829","-8.46303411482298","1.59469290623668","-0.417045725776472","-2.48728725315409","3.47340321688245","-5.16057917623975","2.98886163538001","3.1488002420771","0.716074385242945","-0.772806124093121","-7.66309441615603","4.87415078590883","0.261979460347024","0.965099038622159","-2.8886856625221","-1.44575331376264","6.42019179477577","-2.18077660597261","-9.56601303500993","0.848043680133691"
"Random_FOXO3_62_0009","-3.19799777879472","2.21135197827507","5.60072261033494","3.16787429849066","4.80364943675793","2.17491373144715","5.06897118087101","-13.1011448113832","-2.78137909455207","-0.258037485855828","-3.71507695983876","-1.21034465258131","-0.512358502176","6.85544335443082","-1.36841849390932","3.03802356859483","6.40183305193226","-4.66797051933827","0.267805640255075","0.945495677321186","-4.28659748403087","6.79024519454958","-1.89583960327218","-0.0606963013858677","2.31497406740752","1.01790506801284","0.336939350558905","-3.78387588619399","-0.561940623005961","-1.00203271321673","-3.74652381755863","-3.11716106775884","-4.09070207322051","-3.01679973849943","3.16565358932945","1.59145253840643","-4.28013642058953","-3.01366542485288","6.94131996938254","0.0875330893735626","3.31221510391712","1.42476642014347","-1.19974370447777","-3.41876657372623","0.131785631789478","1.09169660381037","5.13808613968386","3.30457262872116","-1.77476035179381","-0.550975139766376","3.30653371019557","-1.44467123738843","-0.663095374591761","-4.48980550110092","-3.60105571598896","-7.18171131429269","-2.14718705078143","1.20350492103999","5.14587681295228","1.15179040168686","-3.1646560579101","5.90393206546115","-2.82512359193815","3.58931743512325","1.10279080748947","3.38895323795634","1.44327272769258","-5.72255731704862","-0.948590603087023","4.44615901436461","-0.0610073653911452","6.72449721890881","3.36299845049338","-1.11408696847436","-6.63517504601005","-4.70045829442321","-9.20929723554591","-3.96585582386109","-0.282723878915584","-5.10247245446173","2.57877412452372","0.290925063355176","-3.0814361297265","0.897162935935516","3.60386273078038","-6.54349653751537","-9.20634854458033","-0.884557784031066","3.65431104061647","-5.44478991556582","-1.22213203832247","5.34190821591758","-4.84693482113447","-2.3290924034341","1.2746138328572","-8.54271896517697","1.52289247128788","-0.284439286322215","-2.33520933835324","3.52597634681035","-4.98530578599137","2.94202556447149","2.84206269741495","0.809595209064002","-0.62944063324879","-7.52090595969267","4.6970835894021","0.345337835415706","0.732012373534457","-2.82575231272839","-1.58429181792041","6.22978531979531","-2.05125996531722","-9.61850841382919","0.989065805818312"
"Random_FOXO3_62_0010","-3.07853499364389","2.05128503618583","5.61477849553081","3.2622465638696","4.62914968539629","2.14552617273966","5.4095903320437","-13.2386511437248","-2.5419001063983","-0.187567950211666","-3.73840122699455","-1.21274922456604","-0.662166158557868","6.7953174548822","-1.37636376623464","2.92058598934094","6.46037822191631","-4.51533655931463","0.11751012886343","0.545266922209346","-4.95429167797489","6.74718343759696","-1.99754087628352","-0.404510188116272","2.57217703310697","1.23089089184924","0.150941034314092","-3.83622275496783","-0.454781365354084","-1.05598552464852","-3.93946085634776","-3.08227188724045","-4.42346617137466","-3.19479919679724","3.07110961097399","1.64701504076885","-3.99914186440071","-2.65757656651689","6.96103498215695","0.0477176278648833","3.30615981700425","1.44030894831112","-1.32559391444849","-3.68123434116748","0.0954969542275011","1.03803136475467","4.96959659941887","3.41305232862485","-1.8245930219203","-0.660366625517863","3.46097370767397","-1.42749120128407","-0.710649752615921","-4.41704164266773","-3.58348787916999","-7.17095685814756","-2.32592538565407","1.04687139892879","5.08746355356627","1.18149953321246","-3.27172638208757","6.02840811519134","-2.77464335902652","3.70188722800721","0.900650630825927","3.39609389985865","1.41665893106354","-5.7985931515182","-1.26728548097038","4.1739067203305","-0.389298958247198","6.61484737160543","3.00787856827596","-1.08469637686922","-6.72036148558426","-4.4759572128301","-9.28494692422357","-4.07603636308253","-0.234784260893232","-4.97983612735156","2.50290195504889","0.0932859639808839","-3.02031788625318","0.727094409295319","3.72501077537226","-6.73968852493035","-9.4057338416779","-0.878011000322782","3.47509690928591","-5.62119886515401","-1.1629194420898","5.20351396251009","-5.17110470872313","-2.51828345889692","1.21917846804318","-8.34316350761584","1.31350474101239","-0.322351182233664","-2.67776550194658","3.38898855898148","-5.11487817380531","2.91847814123421","2.90280752914077","0.867372662591387","-0.429430566650019","-7.40993056832508","4.68571044253236","0.227772383941008","0.895888881278217","-2.49858966076013","-1.71224016499593","6.39309396347405","-1.93609034162471","-9.75450985086291","0.895194591179587"
