"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_HOXA10_39_0001","-2.89721729609407","2.01277759794514","5.54642961594172","3.16466850539595","4.79021435485164","2.06228461968737","5.12850488678478","-12.8971755583622","-2.86605706896114","-0.182429420849189","-3.64253079243298","-1.02994773793711","-0.550161269098792","6.80555557789555","-1.30037737291173","3.07972988434473","6.06377173280671","-4.79458162649425","0.443242311353518","0.945992202160477","-4.22702417921341","6.7791861960339","-2.04034308744042","0.0357805386147226","2.31913767468897","1.20359782798394","0.438714927501689","-3.68962462610947","-0.33726417767621","-0.879191967915585","-3.9321100093565","-3.03280388178769","-4.07591213526818","-3.02352991564439","2.91449311872997","1.81866609786376","-4.34595403422419","-3.1598073674346","6.83246330301413","0.13141706929932","3.18088368492488","1.49675008468862","-1.25028670564441","-3.38544143891327","0.0229475670448523","0.810072359631254","4.98793060218646","3.14503423797979","-1.8543463249506","-0.71389262714853","3.53917059050658","-1.21030023914559","-0.619929257333296","-4.30102653799068","-3.44784853063942","-6.9603406835546","-2.2086278630957","0.97450702275996","4.98076432482108","1.12822670930576","-3.13221128254529","5.77238998995357","-2.87440651918412","3.56406287719399","1.20602949483562","3.05230114782836","1.62804879932311","-5.76177649821688","-0.915519093894623","4.35751339736282","-0.139411693877006","6.44449485886594","3.02557384366877","-1.12353068502914","-6.81883136211283","-4.36201426727111","-8.9868046094334","-4.07294570901599","-0.332644177160562","-5.19813756511221","2.25059545024266","0.146003502084372","-3.15794406026452","0.763481903488203","3.57683039664629","-6.59795158156584","-9.07475627319702","-0.619360153176371","3.39828540115072","-5.67136356400874","-1.18565460218314","5.35431439630065","-5.04704061434509","-2.30980656784567","1.4702218259359","-8.35875128583062","1.65338372450171","-0.3599240107451","-2.34248562010644","3.34194452727567","-5.09711833203366","2.75362734593594","2.79480262639525","0.824206389704093","-0.752871728355131","-7.4360726425466","4.51141143884617","0.305202279107058","0.751512437377692","-2.45227763643297","-1.7913138277482","6.08878166794586","-1.98130758612365","-9.50042663006027","0.762897731588587"
"Random_HOXA10_39_0002","-3.32928024907819","2.24725869394892","5.66954436228648","3.18037876759745","4.85934383118301","2.06359366921073","5.07130153720989","-12.9517399388008","-2.91228969511899","-0.363091326730592","-3.79235126807329","-1.25334905979532","-0.680022518446815","6.94027177576483","-1.41244630888146","3.08337381939037","6.38428011132586","-4.66884810119317","0.0963298536439361","0.900983586760292","-4.24820362421789","6.97842138629627","-2.00331008797739","0.192301728987695","2.26034853613403","1.19505852847075","0.341678069964029","-3.73905433246133","-0.497536761485367","-1.1177966470353","-3.88328432048404","-3.22989412696542","-4.12537269613498","-3.04550652990894","3.27372723801294","1.56353748051408","-4.2508200898585","-3.16223740556227","7.00619929234401","0.0180187050931646","3.30154392313752","1.29280927974561","-1.13027107107774","-3.55529772090332","0.0779805568438785","0.985415940239141","5.18380241273364","3.40677764318512","-1.91707010644506","-0.549140319914332","3.42389123222845","-1.45261638821362","-0.872130279752149","-4.52685831538978","-3.65517781287247","-6.99734815659246","-2.11987328710492","1.37229777643947","5.0815682704888","1.05100856627929","-3.21170939242304","5.74877791309513","-2.92102231210943","3.70667188394807","0.987630575624849","3.48069191661439","1.41187255028353","-5.81884699081634","-0.915502144820842","4.46565965322897","-0.28976693358959","6.73644390535325","3.28063748134203","-1.04814503069151","-6.95027419227242","-4.48440553521439","-9.03214621935359","-3.97434184893323","-0.413748794351729","-5.28382368385348","2.49077476130111","0.123965550704198","-3.0333243781558","0.77917281568031","3.69978467315619","-6.57519272660608","-9.26734922995871","-0.957361224362043","3.50456815186651","-5.43208997405135","-1.09391458905463","5.33910108225414","-4.95937073295182","-2.13994250962462","1.51134669231428","-8.2823042566187","1.65966201242209","-0.490887098151371","-2.21893976029534","3.68819877462961","-5.02414877675947","2.97585564410199","2.88758576987972","0.78911297467512","-0.713367721162126","-7.44790103116863","4.69358315945187","0.300870372405731","0.682242654602348","-2.73423273654077","-1.64250716554699","6.29640298626211","-1.90730326750074","-9.4681691550558","0.738796109379169"
"Random_HOXA10_39_0003","-3.01717230491262","2.33197204098097","5.65751853320808","3.22314193222856","4.91889588449905","2.0217300749667","5.04941973666275","-12.8311851020377","-2.76698503867147","-0.201638126584798","-3.66374144259622","-1.06018417277533","-0.478754258536528","7.0750009196674","-1.33814449477243","3.14900802161272","6.28375188249712","-4.73486891273856","0.315336574204135","0.852186167204714","-4.297166138774","6.96523543844805","-2.06771504704264","0.0238343219140355","2.3406034989678","1.20279350783687","0.252166230614151","-3.73542269787584","-0.539432997995578","-0.972684670868232","-3.91570896512904","-3.08077000279635","-4.04672006833181","-2.91670153348978","3.06049035035957","1.6142287580046","-4.24345747723927","-3.04631950303607","7.09809114943975","0.00545650309334817","3.40225223410974","1.42118594590434","-1.18757865310858","-3.62173920695727","0.0759799409460887","0.855683930597324","5.24817365463416","3.36132583902633","-1.91529673559974","-0.544575059892921","3.7182836493478","-1.14814334643871","-0.668647397297993","-4.44848746395617","-3.37596380980552","-7.11392343363894","-2.07097581885887","1.11739860934646","5.24538750227024","1.05584972388952","-3.22927161588215","5.9842606506025","-2.81815989441685","3.84287524534309","1.10731713397539","3.32408266233499","1.6061999401311","-5.82784847162383","-1.06244785532282","4.42023207492547","-0.0306822940200911","6.5689988143029","3.23099565596946","-1.19956421160416","-6.91247036334647","-4.26953507304965","-9.06279995968503","-3.9662444060498","-0.356562167396786","-5.12504002030381","2.52124716965004","0.105166478837362","-3.06998528026981","0.771166032210686","3.82187468252986","-6.67673338322762","-9.17236165627666","-0.686652892845723","3.64217275978889","-5.63236247286606","-1.06010099560245","5.36187415019514","-4.92022732793367","-2.46533712866325","1.40399386892556","-8.50008615382801","1.72670878572218","-0.266161030414357","-2.39922766742978","3.45622790051718","-5.04751981069676","2.94596240841666","2.98668855102453","0.716818297675137","-0.644471984319428","-7.50198972152669","4.75378196654771","0.250613817951689","0.902630943534458","-2.6974190035102","-1.52708552727536","6.41191002374313","-1.94818853452377","-9.69081667624929","0.812858513311264"
"Random_HOXA10_39_0004","-3.16033810160599","2.20702406670841","5.67845946801944","3.13913237779662","4.93655399764347","2.11815578580101","5.17466072800825","-13.0574632126791","-2.81257765736971","-0.212645179877986","-3.68955539490063","-1.1050816913447","-0.512560883119466","7.12433702912404","-1.29478393543117","3.17568964051351","6.34769941613664","-4.71700943585069","0.314870789412122","0.870031409126947","-4.39674664701953","6.95973016878181","-1.9557897357044","0.0982666138284587","2.27623724215139","1.21098789208854","0.409944866978248","-3.75313504000081","-0.570887756729108","-0.966000886770223","-3.93734442720114","-3.07168010961076","-4.02728340440349","-3.0148588697651","3.18376958845879","1.69619146383554","-4.22933562903046","-3.26812289185363","7.02671601758801","0.0759863078224421","3.36298530003782","1.44749568648682","-1.22934866923108","-3.61929924552772","-0.025333515036905","0.885205950906765","5.21187373364239","3.31240723715296","-1.91425548905943","-0.683608774248473","3.52798400009695","-1.35248541713308","-0.72771865346848","-4.51622370601508","-3.58925820531417","-7.1641024646697","-2.17028649276359","1.17845216929418","5.12556808130451","1.05746280713384","-3.24719878009572","5.89006483639623","-2.86391914761679","3.74891673380556","1.10003386479494","3.41378105699853","1.58609591695759","-5.84173478394528","-1.06913697761944","4.43855602067561","-0.0829266200966682","6.71475480926682","3.27695504568784","-1.21069888330383","-7.01064149485317","-4.58281691793115","-9.22470427281644","-4.03991665571413","-0.297254470211765","-5.31456608338495","2.45115140925097","0.316494908773908","-3.00098352375183","0.736655301710371","3.75040347228363","-6.6749738968593","-9.27326956093483","-0.777193229991873","3.46916036690937","-5.63393870881654","-1.21350176948901","5.43361140372909","-5.00131690801459","-2.39157152078993","1.42443938137518","-8.49526083204563","1.74625329091008","-0.359414734576604","-2.27494415944484","3.54291097615745","-5.1404224454118","2.95567336003719","2.90840977246689","0.806724751531659","-0.706323250176576","-7.70670649798469","4.71677626072972","0.318107689619403","0.818783874353893","-2.73846125841718","-1.64363442716818","6.32685121059466","-1.84077762253612","-9.77896814411704","0.820653483364626"
"Random_HOXA10_39_0005","-3.2216055801507","1.89186639660687","5.22829262967146","2.94289101722025","4.6482493848681","2.33215387914545","5.24097330850723","-12.9811603140675","-2.63595106736088","-0.0920148937578105","-3.57720789473354","-0.996969104467589","-0.358571452314511","6.87968610457245","-1.31253466143416","3.02437375121097","6.22504234929551","-4.3708541414163","0.391700169908696","0.811044804346606","-4.63797903438669","6.77003434812","-1.85959903027347","0.0311334835412311","2.07183106311184","1.19862091769426","0.358476594383864","-3.58748929756065","-0.795459884053105","-0.774838780940225","-3.64149418856997","-2.97746224696237","-4.06605757029144","-3.06191323341107","3.10837611517119","1.86333324819881","-4.21129518304212","-3.25207918439128","6.92001150617342","0.303989377262286","3.11635851462352","1.57999822549446","-1.04353856376812","-3.34904210969237","-0.089849571767411","0.98636732392644","4.8067049371176","3.30678693654385","-1.67520415027761","-0.739989718525808","3.32192347560673","-1.22737807062216","-0.564930671594742","-4.47367926643625","-3.62126468882165","-7.18361080303997","-2.41726424558752","1.10638478035726","5.05620554697847","1.04282793026512","-2.87936362637756","5.60004522816294","-2.65949715718987","3.50386223997457","1.28341406898596","3.28579193835953","1.72760479322253","-5.69546253926892","-1.05203539273837","4.23193859810941","-0.291852797922106","6.46309064652208","2.93354635302829","-0.989686740124909","-6.92360440732068","-4.48307774208417","-9.21624006060161","-4.19666842078831","-0.191941070948222","-5.29900581915398","2.27016814793509","0.38105865007068","-2.90329129465498","0.706388755798224","3.63517400021366","-6.61524547088936","-9.18403748531849","-0.578589365170691","3.31143284155196","-5.63249886523465","-1.35621735781403","5.27141608415982","-5.09988239461992","-2.29165782585319","1.31898234167136","-8.48679598152211","1.49418691689956","-0.253218102268112","-2.44284549815349","3.39853754219786","-4.8319870949988","2.87634774879372","2.74993550828756","0.985543298808868","-0.55505391486682","-7.59750157946758","4.56895475964727","0.357145203499371","0.49476399038574","-2.48332623473085","-1.83544055865989","6.16277526167264","-1.97140778193098","-9.44771811838942","1.03690530024545"
"Random_HOXA10_39_0006","-3.10035295636952","1.90646907291423","5.43772747257976","3.16764190195896","4.82415129927732","2.20692235347793","5.23576745284178","-13.0357524521976","-2.72169466087428","-0.21092240958316","-3.57613000993581","-1.10293545972625","-0.520601145743604","6.75431527262759","-1.35418105582112","3.05821718373414","6.19350524957215","-4.43991374188641","0.363323075915664","0.729635884912472","-4.54735896805077","6.7516944828847","-1.92833082150349","-0.182281015837846","2.40950739394944","1.3177325225652","0.219276393376151","-3.68812382257317","-0.506235194649539","-0.995288183472681","-3.88786716583781","-2.97989311105272","-4.06113961277142","-3.25014831243094","3.31688902067625","1.8897960470975","-4.14411673473491","-3.11813479473705","6.84080433018163","0.0731229229583796","3.14618882515063","1.51644905297922","-1.18167760249231","-3.47083233828141","0.155131222859123","0.850702406060875","4.99062850030729","3.20387307068991","-1.82862496372183","-0.691409983791686","3.35542276296186","-1.35880691816878","-0.659536433182731","-4.39156832045733","-3.5191780454749","-7.24385737208565","-2.25196157115506","1.28126117831929","4.95215124956754","1.0674417589139","-3.14670722677318","5.80677903337888","-2.71360737393658","3.6384410199595","1.04650120844389","3.62251895084138","1.55182864399377","-5.74536414047547","-1.03718545691424","4.24731671214224","-0.159173834619047","6.49185097252782","3.1381758800108","-1.0137623806134","-6.71409025714143","-4.36805664166173","-8.92708006359751","-4.00386584350553","-0.3731724308076","-5.10724152030592","2.40878607579102","0.283076187442549","-2.87856519794415","0.761412217770023","3.61147415813166","-6.68510208905858","-9.27180552041189","-0.775512351720984","3.39465721438328","-5.6848884001234","-1.16115397715681","5.21635638673752","-5.02982190622323","-2.33751748532515","1.3455446775084","-8.25199348555352","1.54888555610775","-0.333237082008291","-2.56544492646011","3.67601568534552","-4.91048282713858","3.157234459621","2.76371753093595","0.847698394324262","-0.489644856836741","-7.55732935360307","4.63464334456076","0.472280356562438","0.67692876956942","-2.54809222401764","-1.761034460493","6.15516342662134","-1.97993194801088","-9.60566412384925","0.957557976006319"
"Random_HOXA10_39_0007","-3.1075823872777","2.2008895461483","5.55826524871967","3.12239099515751","4.7571521576127","2.1908411048638","5.09797623740164","-13.222179408493","-2.73789787388664","-0.173818241566348","-3.65523478151891","-1.22127681260235","-0.52890338973862","6.79892317032512","-1.17447445362242","2.93316238527949","6.51270630648215","-4.70035511231515","0.193979257493759","0.724395816626043","-4.41394824419646","6.75590033241886","-1.85457498720743","-0.190768354336951","2.36375715689455","1.04325176182159","0.351055515754661","-3.70258976191461","-0.644093504574024","-0.908127679401721","-3.77071789387925","-3.10817877854706","-4.03414419649647","-3.12892164330014","3.38055004020507","1.56681749027312","-4.20299194812604","-2.9805269285998","7.04067428126414","0.216701938639292","3.20647058966585","1.45759024350301","-1.1321379240428","-3.45752649298288","0.0400062981887386","1.14792651784791","5.01163327382912","3.46140661471478","-1.74282366849444","-0.585343072395679","3.33536734249472","-1.40634964278894","-0.6776897572196","-4.48147857990845","-3.69119791033728","-7.11355816255712","-2.2281314704528","1.30136114888479","5.09663436265646","1.02205355436939","-3.22210944445637","5.77820035375411","-2.74027754960432","3.64020619189116","1.07062234829361","3.63289799550501","1.48444325348754","-5.78321210778874","-1.29502574288151","4.2276379793981","-0.222330408179687","6.75125717896343","3.378434262676","-1.13873709363903","-6.67784438720678","-4.52463873000115","-9.05866987320312","-3.9306477942742","-0.33896819782585","-5.24855978421888","2.49630042624215","0.427226346206506","-2.93198527459159","0.825811803091511","3.70559316012403","-6.67135985829845","-9.23475303267866","-0.774106123871423","3.564689867991","-5.55447669126673","-1.13169497726376","5.25791752239297","-4.90271567127494","-2.37761096468053","1.37998708382328","-8.35500263471489","1.54285699365811","-0.241924361530333","-2.30822494350528","3.69530411398652","-4.87039040953388","3.26263567953198","2.84953335427788","0.894474469876728","-0.633729752673884","-7.69171222585438","4.73787135321253","0.450824528508708","0.812961600789182","-2.7015485085393","-1.64078739679903","6.34902134979399","-2.25548120999928","-9.7461495760912","1.08366758975794"
"Random_HOXA10_39_0008","-3.20210970683829","2.04776525474715","5.36827321576846","3.08339162552301","4.59590305659899","2.19463105736935","5.01062869571566","-12.7902648208694","-2.85968450209849","-0.101123730185865","-3.52571369151068","-1.00220431312087","-0.459458002407898","6.85692003637923","-1.29615400551839","2.97039072215644","6.26949193251435","-4.62817926354106","0.461349529409126","0.832234878760605","-4.41872956314235","6.83931484887619","-1.85032617104145","-0.0248134046870255","2.06841580075774","1.17737020744302","0.326041540592227","-3.54328457856022","-0.661659171422336","-0.802623200117105","-3.66788742212088","-2.86322223667173","-3.87780183623033","-3.17149747212134","3.21982576156158","1.72883910296079","-4.30437366520778","-3.15132005779308","6.96912157144227","0.285048220074306","3.15362294359863","1.58757917744382","-0.953177804006148","-3.38057404858623","-0.0316691265184955","0.947857303854549","4.95792288638613","3.17668843737061","-1.80864480371536","-0.801188836573245","3.29419593444315","-1.21572358736923","-0.530749418337362","-4.59388060405863","-3.47446879009626","-7.14040335237008","-2.39143335561159","1.23526321212058","4.92824008416015","1.01894361892354","-3.03714217746646","5.67693875551922","-2.71991551467234","3.5638948463941","1.2575484563271","3.35605929187653","1.69561670017401","-5.51262664076923","-0.844706756797917","4.35662704231828","-0.121541156788003","6.57366244611254","3.1333158537666","-0.974088181910732","-6.82405219529966","-4.38717243554453","-8.88875310198536","-4.12800480629557","-0.270961487127876","-5.35771228322064","2.40817341245146","0.283159618241071","-2.93704272335308","0.668284884072047","3.6004664094984","-6.6046314626717","-9.12773111076471","-0.593643979081943","3.33684232361849","-5.72062869124534","-1.33594478571374","5.18928330743606","-4.96288821089178","-2.36806073864791","1.27900156591708","-8.38383772110539","1.53280119536491","-0.191165544391205","-2.26132270181668","3.5946686615421","-4.88694629023474","2.9098680865598","2.81193497536571","0.920426483367765","-0.524045640818775","-7.56169729790378","4.54165120907903","0.425844968678773","0.658724029821987","-2.59077510183551","-1.75819491596472","6.1693114776821","-2.11784650710964","-9.49025726113069","0.956832345148739"
"Random_HOXA10_39_0009","-3.24537753459773","2.11286173980084","5.5546865104242","3.12783330222238","4.78683870622834","2.08339322878306","5.24069032548544","-12.7916620024676","-2.69795703744327","-0.315059344457611","-3.74516846950207","-1.26709701408907","-0.682781977498658","6.80557062223737","-1.50928793271875","3.09135873517436","6.24041372739642","-4.70209938280702","0.154576560663487","1.01952430728068","-4.26014358828528","6.76375074002795","-2.01160553907538","0.0644679824866067","2.2334233726299","1.14719738293828","0.628643823074983","-3.88805284179554","-0.551620148885999","-1.02934226562948","-3.80700189740657","-3.06529031749591","-4.10785122890637","-3.09178685322384","3.01039597040691","1.58608897099088","-4.17664032584856","-3.01529820599144","6.8522369432772","0.0851754646714782","3.31759699718525","1.40655514454631","-1.24560199313321","-3.55898837463503","0.148589308167157","1.21032718725085","4.93939511860256","3.27067148235361","-1.75204964343006","-0.68135687807219","3.37355343246074","-1.34074496437445","-0.691464152872303","-4.52113918034629","-3.49746451749862","-7.12882006139933","-2.13574887415203","0.996796476021334","5.04616102495783","1.31001797936854","-3.16211839014441","5.84066264052703","-2.79830403024871","3.67805031049716","1.05846930743663","3.38269476110217","1.52737281960904","-5.75832097449721","-1.12488097945979","4.38361270946466","-0.0695396399987865","6.43014678449807","3.31994133601141","-0.887731802602733","-6.70948846569172","-4.57155445495772","-8.92766632734992","-3.95514320568893","-0.303482482678285","-5.19118681151003","2.27652386083626","0.227108893044303","-3.0614896400272","1.01928849425855","3.53285373964409","-6.71576907975532","-9.01326726219506","-0.79383922934031","3.5442023808115","-5.51635653686141","-1.20269468743536","5.38808212224319","-4.85360541055132","-2.10276004469661","1.43797141537868","-8.19073143927307","1.74951940089613","-0.493042005366872","-2.13515412629588","3.25338378875484","-5.09050827234834","2.77773547258158","2.73323016223502","0.811596645317764","-0.677855269355155","-7.55974278973593","4.65233060003687","0.19493978618943","0.772069657682149","-2.65638688820653","-1.53902868414534","6.1823298380764","-1.9762668404591","-9.63875288666035","0.736780684952003"
"Random_HOXA10_39_0010","-3.2159885389683","2.20101978566422","5.55317370865667","3.2239855041875","4.83783320673293","2.12221492092796","5.30096122057566","-12.7845957993077","-2.83987889712739","-0.25518387758219","-3.76190728086627","-1.17261100594218","-0.63642822877987","6.96256127195339","-1.52852024248568","3.20296780566434","6.24001947248028","-4.7094987764577","0.200497056771061","0.998370911187126","-4.4283724941862","6.87225894265337","-2.08195447197877","0.123640873012521","2.39414886259234","1.20193886204617","0.284457781668086","-3.75547662293919","-0.637930014674422","-1.00524324494521","-3.86387000731132","-3.07935541718155","-4.10521781945316","-3.00506228231804","3.06725457314951","1.68543109362395","-4.21614831764718","-3.09256046021805","6.94550602032985","0.222171682293492","3.41654621111215","1.37366170149909","-1.22829250278731","-3.55120344922755","0.177320614396508","0.98849572042993","5.03939341853821","3.29184402094013","-1.95212036757356","-0.512425696623179","3.46458990283344","-1.31087591255939","-0.799529536312162","-4.48837637196686","-3.58277061646285","-7.26739235972509","-2.12377771975465","1.00938540344966","5.0719503155719","1.10142425189474","-3.10427253599986","5.84465489975552","-2.71505627346885","3.65429886419202","1.11172133730991","3.38497239308266","1.69012429521862","-5.95976831330137","-0.961631175700809","4.31387502788761","-0.183261858398611","6.53050572310426","3.19365577255621","-0.900643370611097","-6.84734192776188","-4.67968021735126","-8.79231884755347","-4.02500995693155","-0.403093301480785","-5.21238388613906","2.4708526829005","0.176400104124536","-2.96859523305789","0.89963565771431","3.70040763703697","-6.6702355138108","-9.26560045583828","-0.7590905723524","3.40149661548679","-5.53614184208347","-1.0416042341421","5.32679648699978","-4.93553139416081","-2.24463354096277","1.46147804892355","-8.34597429986686","1.74442939920754","-0.41570877953258","-2.37583058285677","3.45013820668329","-5.06560117851772","2.90975990106891","2.96923140630124","0.820312690719588","-0.686498774803056","-7.52692285019456","4.71014645190967","0.230966244080237","0.971788293478997","-2.70568867014436","-1.61766649000114","6.28097759338898","-1.99730202751975","-9.35615965839551","0.871217315154563"
