"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_MITF_27_0001","-3.02913948214639","2.10019904100299","5.67600857832896","3.27921184111037","4.90054029179071","2.11504690870899","5.00056001825103","-13.03688188337","-2.80875252917357","-0.24923053616975","-3.66631842144308","-1.19168040862","-0.64112511154665","6.85108837524123","-1.34032025704225","3.10753552215611","6.36058405174929","-4.60217445316664","0.293580150578202","0.835145078939515","-4.38037145237901","6.90633104115376","-1.95726700893332","0.0165741031827013","2.38847899443524","1.06122426442237","0.320434242044863","-3.73130231457006","-0.601546603508008","-0.960771902463502","-3.88788564193642","-3.17378469244614","-4.17227453146383","-3.00700995353998","3.16289506287062","1.66750247250052","-4.29386843708698","-3.17489362773157","6.9171388099332","0.134692631359839","3.42898626905564","1.44539032040514","-1.12958961627622","-3.51032091867238","0.1434613602375","1.03108683773069","5.25311354979026","3.31043519608178","-1.89819725349673","-0.539575472740141","3.44008712225687","-1.34649706685239","-0.766765222849045","-4.47717693471614","-3.76996526924528","-7.17320114653246","-2.19440874788963","1.20938059722918","5.1315666186494","0.973605304866607","-3.15418890962645","5.90016645197442","-2.77227767471313","3.70012381590752","1.12648315292566","3.29063613574329","1.44808148590466","-5.90485941493955","-1.02669817499669","4.51155987787871","-0.231011533748094","6.57231648870278","3.39841869862676","-1.15766559742274","-6.73243464725083","-4.53879342072608","-8.96740291424007","-3.99720302237247","-0.313803832089748","-5.19054089037724","2.51350654543046","0.275421053509239","-2.94526415976198","0.801965434675133","3.67998498717189","-6.57296656754245","-9.1561909470949","-0.854358729224659","3.50703947852375","-5.67788718000302","-1.08672424768605","5.36821506330446","-5.02044121564781","-2.19022253527517","1.36474322015936","-8.47946892381317","1.59870668646038","-0.361747712270433","-2.46693066993819","3.55354767620214","-5.11255458010727","2.89076810303446","2.95841394421601","0.799134747342788","-0.648858063500166","-7.53988424823237","4.75928917380846","0.316369848289858","0.714522386394984","-2.77359488193851","-1.64815497132399","6.32952091793277","-1.91667113218685","-9.54330441598622","0.876736635429941"
"Random_MITF_27_0002","-2.99798433986841","2.0948115144296","5.55697400803853","3.16813044464303","4.79908736937373","2.06380558147124","5.09078425985295","-12.9953727883574","-2.89301697019616","-0.241099744327629","-3.7491836145229","-1.06597001413296","-0.63818057382623","6.88604359439025","-1.36879278478165","3.22361498937039","6.36374474148244","-4.66789414444794","0.191216314377225","0.934793037127548","-4.31765180594066","6.8232274909133","-2.01282337057274","-0.00233185447849007","2.29702348939343","1.18163205476763","0.339205081360555","-3.71803407661747","-0.553873923098414","-0.944786020171424","-4.01511552216366","-3.10778730773688","-4.17174905848421","-3.0816053696199","3.01589569535525","1.65829563715368","-4.34581951154672","-3.19375836696647","7.06468696350913","0.0996302116112847","3.2228556268443","1.46145124680491","-1.13040789750183","-3.52456342744564","0.109433643888701","0.980218341076163","5.13601943460985","3.23430691100645","-1.84500194008351","-0.734731807900308","3.46547070513752","-1.3055476614242","-0.774599448280043","-4.2616939639382","-3.55528003376521","-7.25420773045591","-2.10723861265798","1.0191539435145","5.01084487490339","0.982552159194564","-3.23435881096817","5.75260772730556","-2.94121961484404","3.59254260778726","1.09844937581727","3.35639005978074","1.55723966274969","-5.7786820434741","-0.964386528775343","4.40811802852581","-0.223313052215499","6.60659316845458","3.20905983970395","-1.02797436004332","-6.81506611003994","-4.54434274601196","-8.99274789928991","-4.1854342485687","-0.326100436914656","-5.14571933177187","2.37953202941371","0.0669660590877187","-3.17560729282311","0.904605524118083","3.6769261089907","-6.65516737157351","-9.16699478638224","-0.713524702392416","3.44841331478023","-5.47295849541011","-1.19729208012872","5.35247473013986","-5.09019850327274","-2.2734739691759","1.39879841577901","-8.38921634307692","1.63340292905175","-0.395909950370833","-2.40596991885963","3.39541006288721","-5.11122125633982","2.95007171633817","2.82362572307442","0.819431200224933","-0.632302253637912","-7.49595172791223","4.62124464856378","0.275624135972759","0.7168682136779","-2.6457636776558","-1.70502704566325","6.20330163478062","-1.95907438263917","-9.54064180973591","0.776409533109864"
"Random_MITF_27_0003","-3.04751376574457","2.07481096061439","5.46870620818265","2.91047918513295","4.72553399800357","2.28109642950288","5.26851313113508","-12.8668108965272","-2.70382463005985","-0.128538112242657","-3.5042474424936","-0.954321542548696","-0.281581188517155","6.74955581258088","-1.19816992756747","3.06840819337114","6.16326709733751","-4.76808937701599","0.44485250388362","0.79379745272995","-4.47095461833444","6.64351400517474","-1.85460572043285","-0.0765152115888201","2.13473000673692","1.35755830837979","0.296129569374982","-3.68368571490587","-0.630239513086287","-0.807987557556538","-3.72345371745174","-2.87201378712241","-3.86709472811093","-3.09846744393519","3.21264177734666","1.73307612218463","-4.19950465588615","-3.23265127908576","6.77795790364915","0.219319651824586","3.11374777737408","1.55951522556237","-1.16853906018108","-3.50257019526787","-0.0533668322333345","0.939223222983229","4.93635892238816","3.17119680704804","-2.01038243287682","-0.764599418561189","3.3297028676976","-1.12777376539942","-0.512866031355714","-4.49064364084183","-3.35305016168071","-7.0507987405793","-2.26028905115403","1.23736679773845","4.92833725329746","1.11897815906126","-3.16974404819794","5.74190709224386","-2.82136850029","3.50171132483146","1.21827797020753","3.38808260724173","1.69518534730578","-5.554149193403","-0.846948749525049","4.26484888273629","-0.0246176186128869","6.42810531019383","3.0150972401189","-1.09759158539372","-6.81977082367399","-4.30801008873082","-9.10217908934428","-4.07784343916114","-0.162022212874972","-5.30123784429418","2.22138855368911","0.352574461118638","-2.91455976485146","0.643781529374483","3.47894187860522","-6.74733899132831","-9.03241223886161","-0.659396739456967","3.35792133535107","-5.71552483286131","-1.34333985590885","5.24961973481528","-4.98785750932818","-2.3474919472274","1.34491184789368","-8.45193187581183","1.6297343625405","-0.114638668523964","-2.24395152915497","3.60162626412109","-4.9289428181765","2.88406436545814","2.70213729892614","1.00311477669194","-0.574922533244227","-7.77867421563924","4.48902792891451","0.53871327407536","0.711026374357389","-2.68891084564988","-1.8307476738537","6.10551599867174","-1.88356536046358","-9.77887704892359","0.952449020467163"
"Random_MITF_27_0004","-3.15364765219606","2.34310472659318","5.78190825087596","3.20986837900885","5.11732691466202","1.97626810068685","5.24293057524806","-12.7588258579413","-2.92460792515435","-0.371568577201437","-3.77477101718624","-1.21766547917158","-0.726808193831509","6.93883611776165","-1.58500318813904","2.99177038099537","6.45940598369295","-5.03145946011895","0.064557694007634","0.931889179066851","-4.21151116944548","6.86935850362758","-2.12427752481402","0.0184241231453046","2.49650863637921","1.06847829875086","0.328416372995276","-3.87119957334777","-0.441136481585098","-1.10145295058923","-3.92667348074444","-3.12101394365487","-4.0463153157053","-2.93795347594773","3.20419334392677","1.38243098103709","-4.03609284405725","-3.01753645390429","6.92677127371359","-0.17363626801412","3.45867655120154","1.23797575943762","-1.24125227822184","-3.75447861461183","0.21142360056183","1.04199943745697","5.35386089026526","3.3411224132657","-1.94639290423281","-0.542628925074979","3.65641306478983","-1.47931323437907","-0.789271544460039","-4.70601947895586","-3.4253053330849","-7.07991588415997","-2.01537016572681","1.19792111688062","5.21285031706105","1.32787411694302","-3.32742598632159","6.06200329633216","-2.91189916056968","3.97768693928032","0.909893745172126","3.50040741104004","1.46506915572322","-5.87830287776641","-1.0596941524962","4.58050744894365","0.0388687348880525","6.75538591239626","3.4452693403102","-1.16201599809597","-6.72588567358568","-4.49794092688595","-8.87668820391334","-3.87059350798639","-0.543974331972728","-5.11568089227585","2.5780086621105","0.0977070343563293","-3.11791955219691","0.852757008300002","3.76522854393723","-6.94782742209787","-9.29463039797631","-0.956062796307155","3.67978692684448","-5.61091743986591","-1.08589379468939","5.35891970592554","-4.67834471057753","-2.12495184483381","1.48658587496477","-8.44424119529388","1.74419950391734","-0.459180624446497","-2.28395735783536","3.53423231387487","-5.16184230565104","2.9854241605267","2.90943836251843","0.58650620606503","-0.851871939232087","-7.72955509726068","4.80559763374366","0.181186111204274","0.908113424922545","-2.88158974343005","-1.44553489104386","6.56112214572727","-2.04230156656794","-9.87733155519401","0.778493350903862"
"Random_MITF_27_0005","-2.99324996349077","2.12927703617081","5.4518286925507","3.02618175440914","4.71150047112182","2.25594033432826","5.19286174876457","-12.963068954707","-2.75699604028667","-0.14479933563201","-3.58286827072732","-1.05481404474905","-0.509080807670356","6.87491691778619","-1.22045812617605","3.09025654627818","6.40674672693931","-4.55868219281097","0.434620017174671","0.8232744320362","-4.53632314008265","6.82544223674233","-1.90263379648066","-0.12772562811884","2.17647603034461","1.22230086381878","0.311431089598932","-3.679590967695","-0.663899837252418","-0.87963476299632","-3.82752989174857","-3.03860927765575","-4.05988196423022","-3.03768466446237","3.09040963443916","1.75243019634189","-4.35795400436873","-3.24299169383226","6.96174513532848","0.277267135693496","3.25163468885973","1.51892677342859","-1.14994363198531","-3.429964412049","-0.0592528267941453","0.957896441501762","5.05470768954428","3.23156988594681","-1.86452967608218","-0.727673988834391","3.36497726228188","-1.20750803069119","-0.652381063787269","-4.55365329955881","-3.62355598350925","-7.12459290473789","-2.22587989616622","1.07274793657284","5.09305561396667","1.03187461846746","-3.10843834779252","5.75927601890931","-2.74331571006699","3.6368849041935","1.20909305100144","3.3392899885357","1.67310902418472","-5.73763259327442","-0.889226084886662","4.36578303750419","-0.0861437569030362","6.62487915136525","3.1728929715007","-1.07914728108522","-6.89273568854052","-4.26066453127261","-9.10646935429585","-4.05136436551983","-0.279347400407988","-5.3327324194076","2.45833272131754","0.372117769738365","-2.91604334879279","0.692092867765804","3.7017578059927","-6.58717964594311","-9.20061345190529","-0.702264826438113","3.38810107323766","-5.63783048224321","-1.25090246654536","5.27147352418192","-5.16294994849868","-2.37139357939691","1.27128706001005","-8.36930390497941","1.5677203205654","-0.19097157245359","-2.49824271650801","3.42478340598752","-4.89719865449446","2.8589785060953","2.85392776151674","0.930904034719126","-0.57376769464595","-7.71246986786626","4.61011819890366","0.461759004519158","0.735142951046042","-2.727550606912","-1.79000905506084","6.21112512109015","-1.88337038634342","-9.65417324484102","1.02216387318641"
"Random_MITF_27_0006","-3.21965935585014","2.14632802575361","5.55249375041371","3.13905181049844","4.81430333242338","2.06906555562571","5.27386643249247","-12.9971955167534","-2.72705047637399","-0.306486080369143","-3.79336891354612","-1.22494576000353","-0.644191352260902","6.79687772968507","-1.43733816753024","3.10618113877684","6.3662025133119","-4.59987391845564","0.183099302830669","0.825552100580188","-4.30645239958663","6.78707871074256","-2.05293923538654","-0.0056060325798858","2.38171863534513","1.19763470459677","0.345738178863555","-3.82394482910766","-0.594488725161565","-1.05721409675404","-3.83859021064508","-3.14859234387062","-4.10231956975124","-3.02240726991","3.09335888596761","1.65391709104493","-4.19810344388718","-3.00323630078183","6.97820676587383","0.0731130717641403","3.33061955485984","1.3164095298405","-1.29214040733645","-3.58282271647095","0.0837097801669587","1.11592656442142","5.04158579365482","3.35856614786109","-1.82023139494274","-0.583855823736836","3.44410411657767","-1.40098823073158","-0.779242625035552","-4.5119913184723","-3.59888728378299","-7.1576678136014","-2.19102524086959","1.12974924396798","5.09735174866094","1.16689464513162","-3.11457811770754","5.89468184381043","-2.87591216145152","3.63696749933486","1.04359674277631","3.37576820444934","1.53376235524596","-5.7905000085446","-1.15186037984377","4.37145981373305","-0.144016660252248","6.58449411104363","3.27155189183889","-0.989338611321414","-6.82923287948707","-4.49278819564929","-8.99855036339007","-3.95842849226726","-0.326551132671417","-5.19730233050412","2.40143157910553","0.117333010652293","-3.09314155397146","0.823785189913519","3.59927762204564","-6.64935970266333","-9.17967038604127","-0.744528074218014","3.54111457084984","-5.54723031127997","-1.14443962677841","5.34385636946302","-4.87676463795813","-2.24254499148139","1.30376348914639","-8.42292061061925","1.5716166652083","-0.423195835521828","-2.27173732621183","3.39671970543959","-5.04904621167143","2.85804339194212","2.83503841443851","0.766096997895221","-0.661834204024703","-7.57387425242141","4.70033451291781","0.252409966564579","0.851549634321355","-2.77412631739273","-1.6529092312725","6.27716098537899","-1.92321975605524","-9.67603064312014","0.754190395790107"
"Random_MITF_27_0007","-3.28402297855514","2.19053503586084","5.61567268468689","3.10052422290722","4.83662797795914","2.1114948953364","5.17170759009716","-12.8689936260277","-2.80871301629096","-0.386231613408794","-3.8202312865097","-1.22551685683917","-0.63155560248098","6.86543947379022","-1.56260443850706","2.95561762267697","6.32101861665333","-4.76996627811602","0.232533271861261","0.82918887512703","-4.2750581048128","6.85745843100747","-2.10650788081017","0.0393949263982763","2.40049147720472","1.06841361118788","0.378453091849134","-3.88501125038977","-0.519872558890172","-1.10752140473014","-3.87691234285449","-3.16438215943978","-3.97120867558239","-2.95308581403907","3.21539963150694","1.71559059664551","-4.10712923991413","-3.03052807980087","6.88233874664741","-0.0178307491533911","3.35163890328784","1.31813939627901","-1.36213152665362","-3.63599919098908","0.169153214864575","1.15535008925268","5.07604368274652","3.25302565766694","-1.92436579254509","-0.567917607095594","3.58150221716989","-1.31348883967078","-0.730123220405743","-4.45865034152917","-3.47280406555761","-7.20637866036843","-2.05336765455124","1.21454129134925","5.08576038495827","1.31190059662368","-3.27273100364656","5.92856739254726","-3.00212877394171","3.82015022757225","0.977084194622799","3.44410924266724","1.698479936246","-5.72381401598026","-1.2578166281567","4.45099743927176","-0.0350511229711385","6.59466701384746","3.21970532484169","-1.18066618916149","-6.83805508194714","-4.51708744667599","-8.97358440286579","-3.96572640508955","-0.529225019013466","-5.03614653853952","2.36922361752849","0.301151951653819","-3.05266784114035","0.769950403172126","3.67816523436734","-6.91195292359408","-9.28826663122568","-0.818576871839661","3.58427963135415","-5.77357280580282","-1.19906635451243","5.39109587313634","-4.90504655005026","-2.32872091248457","1.49294962455696","-8.48189366535959","1.74856965792283","-0.566895606339362","-2.11134487649367","3.54862345772451","-5.18470046247386","2.91832216284018","2.85029895347267","0.722653082904992","-0.818504715228694","-7.64727211411764","4.75359878577439","0.154989916080566","0.89630628667787","-2.8023489129168","-1.54695990552343","6.32902504576303","-2.02159378550231","-9.74281655443959","0.829050546900911"
"Random_MITF_27_0008","-3.20670711139278","2.10211243185962","5.57197311968818","3.15586437541676","4.84656390021172","2.13402491795563","5.28765218166649","-13.1463913994244","-2.7277111216324","-0.299164925798182","-3.78001980915732","-1.2306608302083","-0.550519348753654","6.80940340257052","-1.49618868155798","2.90316877956707","6.41656235599133","-4.53506568425126","0.230622019416521","0.727269402556166","-4.28068936532818","6.88609680241097","-2.07998692651076","-0.0180556361378883","2.52925977718446","1.24693498603218","0.410734826370754","-3.8521437885798","-0.521990702712898","-1.01365002231107","-3.8551261322524","-3.16251114539089","-4.0829859799937","-2.91789419076046","3.06341202739386","1.6709561945407","-4.1523888754523","-3.14722189614389","6.96464797940191","0.0649164063181972","3.28286124980089","1.32224813936186","-1.2616222343264","-3.60246200186048","0.0858140347480007","1.13875430357633","5.09856152205329","3.47463031480517","-1.81820874470527","-0.453148068790743","3.4660469050182","-1.28896633349201","-0.686695188176589","-4.51183650223029","-3.57226666935963","-7.21700054123984","-2.20217481064827","1.10180465365922","5.12133327783304","1.32536349758255","-3.07667486614275","5.90302366915134","-2.88017967004218","3.62793090370443","0.993600569438798","3.34637865029953","1.58166906937294","-5.85260687314905","-1.09582168435668","4.32675424123907","-0.297676038838357","6.65933113520229","3.19029707176655","-0.937989883456667","-6.84876295738483","-4.55206947941864","-9.10868990214745","-3.88772814092414","-0.379644979312522","-5.13923853326421","2.43405770175473","0.174697760402293","-3.09208483450489","0.816524588402683","3.58920298344656","-6.73413987920825","-9.25621517838346","-0.827943944029436","3.60141322594448","-5.50470730453497","-1.16552366885722","5.33125388843948","-5.02998952251048","-2.3690819104547","1.27210504050393","-8.38494735517346","1.54429857174935","-0.388839779505193","-2.20057183567932","3.37159973585954","-5.08187059202524","2.80690053421012","2.82137366564624","0.748114015094295","-0.71103226906583","-7.57990814296408","4.82777275892914","0.239011761516641","0.884986139662608","-2.80627823236819","-1.66328598432705","6.33988596290252","-1.82142887836695","-9.66656457063425","0.785770596281522"
"Random_MITF_27_0009","-3.02058739362898","2.24386299683574","5.65251455570382","3.29842434113122","4.80778992591502","1.98242594437035","5.03740732034548","-12.8996962068138","-2.9536231738373","-0.344220744864375","-3.83076686992705","-1.22361412591722","-0.676453288151553","6.97044726761721","-1.44838118243055","3.1681540758643","6.36912745708732","-4.72233423560069","0.227919016395874","0.981873364387042","-4.3019278507771","6.87351391045584","-2.06351430529005","0.0312566115714929","2.32103797914906","1.15623811834285","0.346507058209224","-3.86248484687773","-0.474745719653593","-1.08060924506089","-3.95540216428976","-3.18955380201642","-4.08224297704361","-2.97945694117761","3.09897498830045","1.64690454810216","-4.27774412822203","-3.26783297550163","7.03624797591971","0.026905934890392","3.41141495876398","1.27549292044346","-1.30933804244627","-3.65354740719847","0.119277339232751","0.932490207451613","5.10750919418302","3.28055561025951","-1.88901337964507","-0.609638366370022","3.56805581212351","-1.35743726246768","-0.816263265425174","-4.50576628602685","-3.5732280699889","-7.11874529460062","-2.11775176127931","1.10939698952898","5.11591510705756","1.10490192048234","-3.2794402567497","5.87851360301195","-2.96044534214402","3.74711360169512","1.06521496291782","3.33976382917551","1.51418734091945","-5.78186851526788","-1.21358142562324","4.4620788512532","-0.172100306794977","6.67027110535203","3.23516748895372","-1.13723081259632","-6.96676650619975","-4.52570263498416","-8.95721601799072","-4.07127927082647","-0.517933507453327","-5.1973489686338","2.50751149528474","0.187715806671684","-3.09213502118588","0.853802133957712","3.75942500399817","-6.75600042459498","-9.16611002292314","-0.894826108710836","3.50533990526967","-5.59051341162648","-1.14803463349072","5.37483225594976","-4.93472931092783","-2.15341661395088","1.50038633350187","-8.54329125771683","1.72029496868477","-0.43349043944149","-2.21361823016861","3.45429170654806","-5.24807964409659","2.97148536779668","2.95008169020054","0.679970059214608","-0.69139920020801","-7.60561556464985","4.73611022400207","0.329801783597151","0.857319643491679","-2.7136222035545","-1.5457759308817","6.21110801761165","-2.13289508950464","-9.66512086054417","0.798892942296815"
"Random_MITF_27_0010","-3.40389760278571","2.26899725480044","5.59014375555138","3.26921577260392","4.93932059494262","2.01810451006483","5.18986254768199","-12.9478617776376","-2.88007271700562","-0.451127565460794","-3.91503755709069","-1.34185267329477","-0.711842711079638","6.97514553893441","-1.51433022827198","2.98538206262794","6.42089333039818","-4.69342908776616","0.150574061788192","0.816504505910299","-4.38224209472754","6.98549488293048","-2.17956588613957","0.0608413741997917","2.36432131223149","1.072322135883","0.345771812090264","-3.93141536283062","-0.484012904965945","-1.24738755683181","-3.94049903173842","-3.13432622964099","-4.0138884489025","-2.94862087088045","3.19184424369274","1.58757073556468","-4.13812706016132","-3.11969372235879","7.05870643521471","-0.0323824816785649","3.47743796883249","1.2126528036418","-1.34900088291777","-3.69799038343162","0.241133255323746","1.01779352485106","5.2124024295228","3.46691735700365","-1.79218105135026","-0.510198606765223","3.56862433199366","-1.4871736836545","-0.817851669861235","-4.58170515155135","-3.62715660134339","-7.13100242870444","-2.10734917533019","1.24774972398775","5.20170221081593","1.2830321771875","-3.220063726271","5.9941896494367","-2.87544156147871","3.89333265977198","1.01082447783672","3.46749181129811","1.58076325667604","-5.82995479377263","-1.16416734680368","4.57536174542866","-0.118190751995287","6.67605609904976","3.29908987206682","-0.994414267035546","-6.73957902015196","-4.59774399976605","-8.89758409325539","-3.92392392353553","-0.556056765629532","-5.1075245620966","2.61281698321548","0.102531356202171","-3.04509385233872","0.842759594636391","3.84653526900893","-6.79054626305757","-9.31005368710758","-0.915101212748078","3.57160589078285","-5.70669680127576","-1.07356603262149","5.3657817249561","-4.77170102389079","-2.25565711958006","1.40529678851128","-8.38826323115699","1.74862342480162","-0.462860011598217","-2.18837444395007","3.53026556865211","-5.1002395208233","2.99952233262344","2.95850060855663","0.703284870019371","-0.733045685304938","-7.62408371114698","4.7773588132852","0.17750040892372","0.84956645904589","-2.88956806585596","-1.50584744148266","6.40402585471094","-2.06165466060742","-9.70312201444587","0.855497776705875"
