"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_PTEN_83_0001","-3.41516805590328","2.27100207731243","5.51158369643214","3.09341660362904","4.86118931013368","2.13112526666423","5.51392173879545","-12.9250862664999","-2.8641283890059","-0.335109148974448","-3.88828662535033","-1.20500747827371","-0.605068532152263","7.0300810818667","-1.4780794339218","3.02537822164688","6.28748670604421","-4.8242163558979","0.160860435146176","0.740754438227791","-4.38915093733739","6.81705815962237","-2.09252649834325","0.0658114091345098","2.18611670331571","1.1180232344143","0.329974053007566","-3.8692455946127","-0.591788841887305","-1.09548418135566","-3.8982934540416","-3.11265604586183","-4.03041717986502","-3.39488996432971","3.14034745048925","1.43356730263521","-4.29446571128117","-3.04146822981816","6.97164846066336","0.111674136859007","3.3533084947021","1.34925655678927","-1.29087423321896","-3.69230635946367","-0.00169943617372143","1.1542727744806","5.05912551220009","3.35183047357188","-1.84666976564133","-0.749583746746732","3.43492106809842","-1.49072225887726","-0.779583716318929","-4.69704077747312","-3.53817444597076","-7.20462214060045","-2.13734159539031","1.15026659522684","5.06458907399777","1.37795235140347","-3.29058514299907","5.90619072871374","-2.91419710075038","3.71065489766655","1.12833627558268","3.45794322476047","1.8234230024482","-5.70090033585929","-1.26334043835282","4.27292506137458","-0.119498270502655","6.61770434087072","3.23534228432665","-0.995830742023604","-6.85405808551236","-4.59203777802304","-9.01000235983299","-4.04218772545402","-0.458196218005214","-5.30295261401747","2.48138019979228","0.299352684366433","-3.08755979204786","0.918508572513094","3.75682449319475","-6.9912110052703","-9.30275465886898","-0.779772107690529","3.48148717688327","-5.75142314218093","-1.08819222838282","5.33376121073282","-4.80748400760372","-2.21067572680863","1.42094357064078","-8.4209303424589","1.75133786815443","-0.405681779817139","-2.06501636740124","3.39528500438246","-5.00387963094372","2.93620451089315","2.69448242950209","0.796885170220511","-0.636047352682958","-7.82082016177524","4.73003083248084","0.196916960055522","0.892986914936223","-2.85783295282466","-1.75611407244778","6.41414514452892","-2.18307091384773","-9.93941865698078","0.914858076009969"
"Random_PTEN_83_0002","-3.04213407814064","2.08953552359731","5.65564683772584","3.19166284888734","4.80340463921144","2.37431815879813","5.34840116600718","-13.347339492616","-2.49399070237669","-0.14995921265596","-3.55006393494363","-1.1425169566822","-0.504980142491606","6.83510327064751","-1.24782709847495","2.93638806888715","6.5319980682998","-4.62458016401623","0.283994753354793","0.725371589820269","-5.19559380101828","6.8957803851854","-1.86816190011731","-0.257160804244095","2.39872907949478","1.1964430338101","0.406904058032161","-3.68654789232584","-0.705348797966581","-0.99772428331491","-3.65299869156976","-3.07907890240602","-4.15370547332752","-3.04312269825141","3.22638007853813","1.84774245698771","-4.13504438530566","-2.9307236575052","7.02760242710949","0.306609588908871","3.30719802572115","1.54084375074587","-1.05069833078685","-3.37162883837822","0.095808198684467","1.1376379565268","5.1105749749581","3.34412967364331","-1.84216198856468","-0.626260130499836","3.32561651669761","-1.38287116738647","-0.701445189360219","-4.49510283202402","-3.82096723170084","-7.025937357844","-2.25281998348421","1.21689671260307","5.13416572424547","1.17160794766351","-3.05763692508594","5.93032287481347","-2.51951531341272","3.70487277463318","1.11352132734503","3.4608306976094","1.43868715378647","-5.83329478977448","-1.15424694516737","4.37339541139056","-0.179413831157556","6.67634966063519","3.43111292111465","-0.85693895223417","-6.71497765217148","-4.50079981045535","-9.19110242780707","-3.835777773882","-0.189814947440072","-5.18679430873567","2.5931698160226","0.353925336686197","-2.72904101824743","0.89593553316844","3.65057755694453","-6.60190739458485","-9.42061280149063","-0.691684269223106","3.53616812794685","-5.57649144258772","-1.04271884677602","5.20300416213642","-5.15590859066521","-2.42157986313846","1.22707953487594","-8.5713170771439","1.49616609053706","-0.127113356137708","-2.63742801142323","3.45765361852821","-4.90531457664951","3.09548738586665","2.97263549195757","1.12973093525353","-0.63164098176009","-7.69190779673845","4.7969036927054","0.467322327746875","0.713296769682959","-2.67264298647038","-1.64637966041022","6.39105859763883","-1.70783691889546","-9.61114041029839","1.01844069252933"
"Random_PTEN_83_0003","-2.86923409745327","1.95327449663698","5.38923846959286","2.91999243529114","4.72106774169086","2.01639242695428","5.01101917396767","-12.6809817335083","-3.09784893282613","-0.0831400704194468","-3.62549302966798","-1.06177948278796","-0.588044542593425","6.84525424684722","-1.24087633484143","3.02889810814384","6.29453468296999","-4.8309851322069","0.247043097584568","0.844578689571537","-4.32081909729464","6.63051934533993","-1.90949154859561","-0.112998390115819","2.18844746119279","1.10485939033508","0.414508792163445","-3.63985355357617","-0.478497285475097","-0.929990303590422","-3.95947360608976","-3.09354262648808","-4.03452885116319","-3.12181417008894","3.27152345293026","1.58246835728135","-4.34027110961689","-3.11158595960023","6.8492388889273","0.159611525137361","3.14171854151079","1.45486126726532","-1.16678508015777","-3.5573559802698","0.0304824517952724","1.08397285680054","4.86526197338061","3.16824973319075","-1.93080711480305","-0.688296147824677","3.28751503725568","-1.29660382486189","-0.786474354191262","-4.40436425683985","-3.44152950142927","-7.23049018119728","-1.82367245447856","1.29197807794103","4.80095673584309","0.77978843509833","-3.37150284012351","5.71356839502049","-2.71024805221769","3.51057762367211","1.15528124483058","3.37965282490407","1.56237982421884","-5.7798806785568","-0.89832413017039","4.26065896093944","-0.0427376716212799","6.48443087860236","3.06843168077211","-1.08910343629067","-6.77410736319545","-4.64246734629771","-8.8255664594423","-4.08471996259389","-0.325023778031121","-5.33500399331974","2.3231065727218","0.299715698069914","-2.83640137067736","1.02168868192157","3.69281915438496","-6.77195567620688","-8.98944477878105","-0.640473141876769","3.34126504421351","-5.50102232371587","-1.1920506864094","5.35729162448251","-4.97406337025984","-2.36448848117309","1.36554720332722","-8.32906223396369","1.5867667108957","-0.436622654461598","-2.19089612796386","3.66451084770506","-5.08783646663833","2.92955462171841","2.69639773803506","0.780618001475558","-0.698675687975664","-7.48045219970686","4.57884068488075","0.454779024831997","0.640768749453259","-2.66480654518016","-1.69449215363818","6.11204663784948","-2.22708615044404","-9.47273849940949","0.973599523554988"
"Random_PTEN_83_0004","-3.38576469166874","2.14209785764385","5.58964720166245","3.17289065227211","4.607416863875","1.85589145241708","4.94118619445325","-12.9053803899357","-2.88587051886201","-0.486575709415495","-3.93878374606537","-1.24772601596837","-0.733157286528827","6.90206684516776","-1.53889827073341","2.71488979759331","6.52790101956279","-4.76108020991417","0.1006540107142","0.653036536243218","-4.37405891432625","6.76988704294638","-2.23562609727634","0.226231463896601","2.43251171552966","0.951574572111552","0.438459001644093","-4.03570260044955","-0.433150634581397","-1.0960105071191","-3.74625789718336","-3.20738916008921","-3.8540436848402","-2.84331429485967","3.21189221995292","1.34949485981479","-4.1675333721107","-3.012764306279","6.94473235537724","-0.221611381996327","3.21432154146011","1.14837420413542","-1.26052169148589","-3.85044274628772","0.0791309094437055","1.23617070849881","5.07273907849351","3.51543388954088","-2.01886172692785","-0.342794981329216","3.48061956128883","-1.51503427377978","-0.699368149315529","-4.56547290279157","-3.29444537605884","-7.43826228048909","-2.06238045884825","1.22187986181042","5.11850963638576","1.30069172017304","-3.19671332598861","5.81103468865659","-2.90839283359512","3.66340644660288","0.756002044470533","3.66194474672661","1.62212706573233","-5.91635293726703","-1.42502165999086","4.36266990458478","-0.298297194579072","6.80203165689903","3.44810929562414","-1.1725397388346","-6.8735898176523","-4.58532438442866","-9.2566755352801","-3.8380297534181","-0.695304552157205","-5.24756817207115","2.52428628733017","0.000318705328208347","-3.15978972787318","0.969919056774319","3.71357486448238","-6.74195329818597","-9.14570467595855","-0.825833710086824","3.55712512209367","-5.59139089499134","-0.989602753635572","5.25776205502724","-4.64690012062862","-2.10969520091436","1.25188638760305","-8.1961890684795","1.66922469735397","-0.54915871808794","-1.83846694947452","3.43248976091836","-5.10579848475659","3.02067433649937","2.8673420300418","0.473749143206155","-0.869013960904706","-7.47367949292696","4.9254481729761","-0.0731638090474204","1.03776127754029","-2.82019311121619","-1.44297526192454","6.48142458869535","-2.46469144053674","-9.80029309784355","0.687439216127978"
"Random_PTEN_83_0005","-3.22837403128188","2.50315111117338","5.66278077908588","3.40462306085037","4.85793479048358","1.93160225254181","5.07833328945829","-12.7511093021853","-2.91113102346216","-0.61187321298542","-3.97266835951138","-1.37299194092961","-0.825068490344926","6.97437859637529","-1.59097113237137","2.87996977205385","6.13425420257195","-4.71995408477597","0.00178814112652683","0.7496180027689","-4.02928687931868","6.93615950484392","-2.26837429540912","0.126726741612121","2.51806717650315","0.853161129698957","0.327121995984689","-3.89785473374734","-0.247310917041319","-1.28924368133171","-3.92497906836152","-3.23415465935409","-3.99530253146238","-2.75023830126772","3.08512627695043","1.44806013163358","-3.97773882631851","-3.00179850144135","6.9728577109645","-0.0847763886333504","3.48040960884209","1.09508788520697","-1.33885260046658","-3.69238744296243","0.301175529431257","0.978339158171571","5.20023841084066","3.4877080588546","-1.88595048716361","-0.398492128103692","3.62299393552332","-1.56281882215406","-0.888147273206881","-4.36481468607684","-3.67487954010061","-6.91680588176634","-1.96500012805859","1.16939989692997","5.17672563643276","1.26838451094205","-3.18511193266816","6.02441228552678","-2.72221993776723","3.98157785775263","0.842647992210404","3.2864708607105","1.25619457448384","-5.90454238637854","-1.17603001145781","4.494789946174","-0.210765282553547","6.66626007597277","3.41314878671946","-1.02232257848143","-6.68201671147231","-4.54099857291261","-8.68860523296676","-3.67631913347895","-0.64987462447038","-4.99297023987257","2.61972817097254","-0.00039248009602398","-3.13113315324058","0.882594259436907","3.81781533837309","-6.55889252148063","-9.21219148518183","-1.01227612729416","3.69920389143713","-5.28647492452426","-0.816873809439289","5.22383562650587","-4.56500013105025","-2.07574813218332","1.46356731529659","-8.13505053587974","1.7506673541877","-0.606501060783742","-2.19182288874675","3.44849275089025","-5.11619422607824","2.9372499897669","3.25427976364691","0.613965347755059","-0.894268618869635","-7.33477202330191","4.92735593109615","-0.0204652495954412","1.1399595566377","-2.73167689999733","-1.28376431890569","6.37833952881317","-2.10848704891997","-9.52208483515645","0.67308354198548"
"Random_PTEN_83_0006","-2.85380304125329","2.06174892783126","5.43412415658763","3.17190368628065","4.96150796154033","2.02980757831798","5.05754539301014","-12.8423744810561","-3.02586956783091","-0.214648519788514","-3.63680758130521","-1.08728405135368","-0.524023656155162","6.80461032754295","-1.28544452263034","3.22390977049397","6.17515272195893","-4.55353884643171","0.394054368469364","0.968070488120776","-4.33582265999015","6.85658438544079","-1.95431538881179","0.0188481908458697","2.28527277353163","1.12957253786587","0.305363401585118","-3.61126889348055","-0.452141205986804","-0.951705208749519","-4.02656428654653","-3.0111313870654","-4.13461039509477","-3.04802891577407","3.11229869665524","1.79125641599971","-4.32154807669298","-3.37126516675284","6.92107242265735","0.206235036512592","3.17019411571831","1.46247846458674","-1.16819631846757","-3.5611448939976","0.0283661994102546","0.83968342380769","5.14629338006589","3.16972880600583","-1.91789372690846","-0.638558092357251","3.62113204694481","-1.14791419081601","-0.658961334397341","-4.35396529443536","-3.48017677955472","-7.11543264589563","-2.11368916399992","1.07467210992055","5.02185022887316","0.94075787113248","-3.22908105352813","5.7462114109441","-2.85436591922748","3.67546981772532","1.25578068757775","3.34459545215894","1.58407017413736","-5.76258062871142","-0.891329556901378","4.43763539711744","-0.0362117768459753","6.47774154320221","3.0805337493789","-0.967330048128564","-7.04584597172276","-4.33219503126266","-8.87229271783306","-4.168898742889","-0.532828022790756","-5.14681027306752","2.41625731270368","0.148978889012172","-3.02443481405853","0.894477841221058","3.63521407792681","-6.68083066234546","-9.0677358699159","-0.625622415600128","3.38368493933748","-5.61100881098026","-1.10019592486767","5.33229308941049","-5.01114269524032","-2.27420058775217","1.42053538482199","-8.21220330706863","1.83794038016281","-0.464888519337657","-2.29590656642018","3.52458433916738","-4.94192536367593","3.03101931749542","2.84167542488561","0.828060495917494","-0.735801367916264","-7.47965629922228","4.58533112862267","0.369734167352331","0.762805279240047","-2.57895843418746","-1.63283621244887","6.17334079661396","-2.10478779063775","-9.29037590664508","0.715717773689361"
"Random_PTEN_83_0007","-3.17426533930297","2.28065415354667","5.50012844349627","3.231437443042","5.01149618677957","1.98053167516331","5.13865363909639","-12.8809918983736","-2.93003251632018","-0.338159678907234","-3.73490493707966","-1.16451562919005","-0.619478219861634","7.10697894562017","-1.42271739207614","3.19597246709643","6.43004836489955","-4.71495554045852","0.124535208181928","0.873776318609787","-4.32895465250254","7.10911782319413","-2.07548444430811","0.166096324870473","2.30618283634625","1.128257019624","0.445438425568739","-3.82483176423439","-0.463292284702272","-1.06996262753664","-3.95356245163295","-3.14788747102063","-4.14042567714533","-3.0270443487137","3.07098234637696","1.68286933662676","-4.05443391319","-3.23780190442873","7.05734484591191","-0.00892389905811833","3.41111239668006","1.27360292050045","-1.25485529321382","-3.67710010689873","0.0467310242164688","1.04647848065648","5.22153310127011","3.32449213538763","-2.06390552116818","-0.453762643902385","3.55041385312178","-1.29717186611657","-0.771603461167519","-4.46751619323244","-3.55681534017601","-7.11068721504174","-2.18060483500843","1.12701351574834","5.27488836659864","1.12563107697512","-3.17516519903442","5.79789084974087","-2.8486482449524","3.80375207716804","0.973606799277792","3.47035751589209","1.67690291727563","-5.66371881701121","-1.01851628552073","4.43567539425172","-0.138890338954715","6.75335653163797","3.43740231958044","-0.939436146136961","-6.74788462429643","-4.51452150519822","-9.0493626346123","-3.92102668751421","-0.406671118078864","-5.27336297236721","2.58712964569675","0.175204511353503","-3.0558512252992","1.02462309823863","3.85045136172965","-6.63886329337655","-9.13553349551946","-0.938974521600161","3.59686320029601","-5.60447709695727","-0.989360788477474","5.3344318075645","-4.96485751297887","-2.24676469819239","1.5024317486861","-8.58083170831955","1.68232444152887","-0.425430978974263","-2.24155789317609","3.38519276727281","-5.15067148010289","2.81988430737813","2.97046226117285","0.675290823066411","-0.783156543594834","-7.55574634673955","4.79364712495914","0.24589400446054","0.803848069782037","-2.74184207274521","-1.58352725407554","6.49165306268738","-1.94120590866376","-9.68942536209258","0.721270057619579"
"Random_PTEN_83_0008","-3.07969307253515","2.25299504995193","5.58015346003896","3.15620116910531","4.88195410287656","2.08800004811549","5.30709403743338","-13.039694133669","-2.55246874276552","-0.365054751395152","-3.78827783690019","-1.35390926947573","-0.546682786114423","6.69761793960091","-1.51609799654544","2.71446507048691","6.2447462420382","-4.57842379288831","0.20693406843362","0.808300787954301","-4.28941920778904","6.84276498229641","-2.22346526232968","0.01127663830661","2.51369919298512","1.00597410158505","0.124713384538272","-3.78627223943534","-0.565722691531865","-1.04558359224758","-3.89460406509786","-3.22814965800078","-4.21079839217492","-2.80984848615245","2.93996394600046","1.52677743733405","-4.06287345359216","-3.02356772795096","6.88430119333493","0.0972499134021802","3.51180335324449","1.28900881985013","-1.40157563006865","-3.58627290341456","0.385306404826125","1.050641914725","5.24204102295462","3.50822840654151","-1.69436538854658","-0.376507281155865","3.62988936584723","-1.48284089743181","-0.909098353249875","-4.40251018307567","-3.76255900782377","-7.13634745987517","-1.96775287995133","1.01315950017067","5.29116565322284","1.3512490478582","-3.18528319119434","5.95215213350745","-2.78878254251198","3.89867690324397","0.853140040568437","3.17234989755537","1.48460622235275","-5.64433517673285","-0.916147666098626","4.42246363854552","-0.277533425471696","6.62662484509759","3.56365631768099","-0.937823262337213","-6.57348097888085","-4.57979218604937","-8.80603195046657","-3.74917459389366","-0.37480774116966","-4.87097018125572","2.51931197935073","-0.00835652992511169","-3.04870257959388","0.847309424982104","3.69786601627759","-6.44837908610117","-9.10039592109976","-0.948498274558458","3.76049673812167","-5.3288084090503","-1.0350629264768","5.21566839817302","-4.80345944388094","-2.18852650521018","1.31234996183775","-8.31375402413233","1.58141840757618","-0.41152841401401","-2.37294314431718","3.17878392742285","-5.11551462085109","2.64202222946015","2.99875814905972","0.759063349159646","-0.638061458849758","-7.39411725653658","4.82521997235605","0.0605917586692333","0.989278980711281","-2.83791639285296","-1.35634859591611","6.35622441979167","-1.56917940164952","-9.61803832683657","0.790038822867447"
"Random_PTEN_83_0009","-3.27160859951235","2.27366980062923","5.64284345232302","3.20404514059368","4.98455178960915","1.95080588553083","5.07648088953599","-12.8961478017734","-2.86285874355392","-0.409398479950836","-3.88995060501995","-1.24857150772256","-0.557703252220958","7.05814950352275","-1.54530312055883","3.19261407189685","6.38935739273184","-4.81124943241768","0.0481845644346182","1.00269640273121","-4.19196940208423","7.08996437078563","-2.17833483163584","0.229913120263233","2.36771059394606","1.14931342793243","0.539897962129738","-3.90473745290333","-0.512600581103461","-1.10855842008177","-3.99098467212628","-3.17476750414424","-3.97930044524224","-2.86470742118725","3.02576835027548","1.82996788072795","-4.20182376824421","-3.25223932999156","6.91422027983751","-0.0861251481874651","3.39543650531369","1.40752285158906","-1.53279674284977","-3.70661024929308","0.00615505275769286","0.930637150369722","5.28151135602856","3.31841586467263","-1.7425022092116","-0.558313458430097","3.55142213576298","-1.48957408691986","-0.847047288084122","-4.54431369320048","-3.5652423377803","-7.12849926840548","-2.06978738191492","1.09070597490005","5.1993154777527","1.24827580859393","-3.30140106072448","5.90796467096136","-2.96697159269433","3.82861281211528","1.06886346828568","3.3465709420209","1.61778692990604","-5.72929469142763","-1.32148499619354","4.54023004579124","-0.0895968864130083","6.75195772648218","3.19009651108302","-1.12296121455665","-6.93796634333866","-4.70635865555277","-8.89096894048353","-3.93512944617806","-0.455844396013257","-5.09328116320667","2.35002848729624","0.184746669312915","-3.16027290729032","0.900638707586194","3.68212392947487","-6.69263276521623","-9.10227214943386","-0.867858479278637","3.63469275613904","-5.51407674225354","-1.08920478534614","5.50892416770301","-4.96746598477858","-2.47237241490403","1.43614202442557","-8.3414899127841","1.81954203666924","-0.482219670289098","-2.15831779522819","3.33061425342359","-5.08700623014372","2.8416198661092","2.95673728681722","0.745831461978075","-0.68956657011209","-7.39704796357122","4.81558637173555","0.207666510381368","0.817727115829544","-2.8214920298935","-1.55284659726478","6.29738240724007","-1.84246637835539","-9.68607327752418","0.739854229149056"
"Random_PTEN_83_0010","-3.17614120299286","2.17012348313268","5.33267941633924","3.1340853514656","4.91153321899906","2.17931341162667","5.26027061538853","-12.7261079608499","-2.97686964247544","-0.291913676400982","-3.76972559511311","-1.26870422144137","-0.62658513751153","7.04416395823108","-1.42549651990851","2.97290999985309","6.56098038382237","-4.81357612873268","0.193975991692496","0.811380797820114","-4.37160184988402","6.9772935085892","-1.96203373141576","0.101064067488753","2.06215991501912","1.1835313133918","0.225258035439046","-3.78859280567133","-0.657433234972736","-0.902157008396414","-3.84802961429703","-2.97642158412896","-4.10298742279691","-3.30417183322519","3.21415955039707","1.53013748394666","-4.34617773958875","-3.15998835819655","7.22419521201325","-0.0198277286594901","3.4066541219909","1.38378397107931","-1.27873739973501","-3.79287280672575","0.0252486685059359","1.05088236283231","5.09773657257097","3.33420709202421","-2.0193495869821","-0.573576343819556","3.4278535598118","-1.26989878853828","-0.605053639094373","-4.65175030892558","-3.49381962384157","-7.3010250580087","-2.02665574352208","1.11205717693987","5.07695835532378","0.9694672302678","-3.38439381901696","5.86453141652661","-2.92047832744671","3.87247513940768","1.02969605247727","3.51935371846641","1.70933539747665","-5.81836778413812","-1.15961063332562","4.4962165752478","-0.0578928081927838","6.8346594732528","3.15078127433247","-1.07355193336942","-6.843181671787","-4.54180151358247","-9.0987835362873","-3.92755597846498","-0.429420915644874","-5.32336705095782","2.60326391047549","0.282473650237801","-2.96907938019244","0.971650476909997","3.74420265005694","-7.02561525493269","-9.22637252798872","-0.789431565223585","3.45141414931988","-5.80077866086041","-1.17519399003408","5.4519951398938","-5.11919200536441","-2.46870451293498","1.27991818773166","-8.79194647971214","1.70487598827854","-0.469897714222667","-2.33522604096772","3.50824692270047","-4.99412070324419","3.06335185319545","2.66914042753377","0.73509249577513","-0.787034554767006","-7.72496284625049","4.68272534643197","0.297553601675224","0.563843747734164","-2.85404938430689","-1.81075380872663","6.47753875096906","-2.04300578401068","-9.77303821533104","0.899432498837374"
