"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_RUNX3_20_0001","-3.11766588211895","2.20734871185557","5.64742030537896","3.19566942211207","4.78559486545976","2.06909248983206","5.30820594185542","-13.230896198303","-2.70559859377517","-0.303297897104024","-3.7710531722821","-1.20828080508135","-0.627611949427444","6.83153589213573","-1.54291611694456","2.97891064903766","6.30998422447871","-4.68226249280127","0.245171071313362","0.774732410576636","-4.2824712443957","6.84942322010212","-2.11881691185375","-0.113296370274125","2.35662384401991","1.10796861118229","0.298510086940641","-3.90258109725165","-0.640774578259108","-1.07334734933606","-3.85792342267132","-3.12565451905868","-4.19327273350523","-2.94040413461963","3.02983228132634","1.60338241125972","-4.18419076481575","-3.0239420234094","7.00351063740788","0.0426300984092434","3.36059586467546","1.37828802898878","-1.35930148494441","-3.53351496919587","0.0617837542941262","0.973874762523416","5.10325353250868","3.32582727883526","-1.8357071993689","-0.599354792370197","3.45811928479719","-1.42782255371046","-0.727896563179558","-4.67162152739501","-3.62825736454258","-7.13231949753178","-2.38012431425344","1.0294804536929","5.21635305936711","1.28936558990715","-3.17184622472834","5.92472685013876","-2.90026649508334","3.72710278062924","1.05891802171489","3.3278750134596","1.5401585866417","-5.8220377924564","-1.1758403234204","4.36500078115936","-0.200029578881514","6.63985324772515","3.189628843846","-1.12750733824573","-6.68523130133034","-4.45136310334069","-9.00900128655083","-3.94692926816984","-0.382788339667623","-5.13668290583264","2.43211967749533","0.133341842742386","-3.14099763473817","0.741826126827049","3.6908397893742","-6.73314401287438","-9.34836669851928","-0.782672447865885","3.58055966134182","-5.58135662840438","-1.10810420034587","5.2259523605184","-4.87872209133197","-2.34312776204387","1.30443394703698","-8.40867968488106","1.55716528894834","-0.274804166402728","-2.41051804293436","3.34051627137233","-5.04772538448087","2.85607256535405","2.91822634843406","0.728424193519755","-0.642042731427962","-7.5552456211149","4.7973433705057","0.215622269007852","0.935648604488727","-2.83974724561751","-1.57134002144381","6.34756767149288","-1.93236148765407","-9.81542873584312","0.787875849314485"
"Random_RUNX3_20_0002","-3.06148607048634","2.00491299005274","5.48205685074165","3.00809852298669","4.75019522465565","2.19591027559704","5.19670927232848","-12.9116100667498","-2.65164817568976","-0.154121766021154","-3.55669628781276","-1.02678872127391","-0.382052578100385","6.78523634143866","-1.31147359675978","3.06823412746182","6.28177491563346","-4.5268762067691","0.410454613087605","0.83579981579734","-4.4334646811871","6.74322150334959","-1.9446381872466","0.0216095438373324","2.23633544036938","1.36993223168597","0.339931044980668","-3.645700612272","-0.60273499480271","-0.856370469494739","-3.74309642508848","-2.96115942673306","-3.89460689510852","-3.00982861099819","3.02104359367314","1.83756229418876","-4.2006366321734","-3.19962401978609","6.92002507274803","0.200270506501673","3.19861992269457","1.53322477579656","-1.12763384545351","-3.48465680306851","0.0475960203746925","0.999081538734355","4.96682542298366","3.20723641877571","-1.78321661567371","-0.692050269791539","3.49966123374425","-1.19184552523848","-0.533878410004723","-4.42506365155012","-3.39150718275065","-7.07286077757887","-2.13607777878204","1.04340365327129","4.98553313253277","1.17478283863919","-3.01868727759233","5.75134830031935","-2.82715835320732","3.55107627884045","1.17592852356551","3.34478700425029","1.8174305458318","-5.65489150835896","-0.936816541576045","4.28311583263843","-0.0920928392371979","6.54582134046065","3.13262570271489","-1.03850335909307","-6.8495930411873","-4.40545556298302","-9.10787465734594","-4.02926318072261","-0.287822458998711","-5.16398124367634","2.27067395766767","0.292488491850205","-3.02832735549052","0.719628222102264","3.56103530848856","-6.67063795065664","-9.04167608917573","-0.60345986286285","3.42271779545854","-5.65035893054771","-1.35357924022276","5.32846413639272","-4.96622300710066","-2.34970577310755","1.27573508193375","-8.39653066177335","1.67118613948503","-0.256173902607031","-2.22193691374763","3.37999364958209","-4.96567528621633","2.89174656278064","2.72298361960827","0.861248945181031","-0.591390812477029","-7.57077839751244","4.62808166444742","0.347832055741916","0.780435576187739","-2.61480698755592","-1.7469295079965","6.19578729742366","-1.85547635956151","-9.60235613690229","0.874382445053467"
"Random_RUNX3_20_0003","-3.09541557901365","2.12897514745303","5.63329998882592","3.20426494017376","4.9502952695901","1.93245254004899","5.25905667516793","-12.8529834449181","-2.72113410438022","-0.395721701602045","-3.93710768177329","-1.31383641142538","-0.611151887167044","6.8296395291952","-1.57311349961691","3.04651949633339","6.25117403245759","-4.75394963336771","0.12682244683705","0.990752601134047","-4.21211386551708","6.85186470349733","-2.17755818109782","0.158680722294064","2.47000840906354","1.15503945685299","0.550256735662916","-3.92941868585808","-0.48192842029283","-1.0550123326969","-3.92115779502157","-3.25709669809771","-4.06076157652188","-2.93643273839717","3.04596222121356","1.67503943738553","-4.22532391852903","-3.00992184623185","6.93886457916249","-0.0658477775190072","3.32994685600272","1.29493948734024","-1.32205091222058","-3.6309352797142","0.20238022488998","1.06858906535204","5.11289395748564","3.35040564965583","-1.74347285016359","-0.502812769053062","3.55993035307902","-1.41732764498595","-0.811421546809077","-4.4273264883299","-3.52821835342406","-7.1007143087907","-2.02433927992393","1.02480169289933","5.11156913816526","1.2230468060341","-3.22920941738351","5.98711507173016","-3.06045441535884","3.65195608410899","1.00420156648949","3.24292981907474","1.59403641040268","-5.70549629019717","-1.16162171780232","4.47682561427331","-0.124022540352026","6.53780728642116","3.22668341888446","-1.03564167134888","-6.82950707830086","-4.60457534158812","-9.0409211040464","-3.83558622096438","-0.330593336665929","-5.13543159123246","2.31771393070695","0.0334387067070647","-3.20942968616433","0.958890825610689","3.58262020180171","-6.72425257655833","-9.19271678575733","-0.813596117661078","3.64170260483259","-5.54942898642183","-1.17001313704271","5.5190387363619","-4.91442440153697","-2.17935530558679","1.54030642501584","-8.39780204458496","1.81282442362464","-0.476746660597265","-2.09838911621077","3.36893774598327","-5.24355546216823","2.80490011025095","2.79797105691499","0.610725853073098","-0.6468982829282","-7.47764025739718","4.68311292056487","0.127685797008035","0.940416348867526","-2.6661881349056","-1.64371433219691","6.28220880412301","-1.92271938379087","-9.71177793743623","0.743675722596811"
"Random_RUNX3_20_0004","-3.18814596590076","2.09314551216918","5.51528649667329","3.11527060588324","4.86596946831443","2.09351744925834","5.20511719610603","-12.891190742652","-2.90663169512905","-0.278085549326214","-3.69344065341902","-1.13016277877583","-0.550282123689883","6.90589846028291","-1.41566937288346","3.10703449058888","6.34733557860075","-4.62344014581205","0.271350792661185","0.85441822915837","-4.34297428902576","6.90806386494942","-2.01832110398098","0.148030501614917","2.18752622094863","1.18874892860833","0.373143707380454","-3.75638136901593","-0.706868785241558","-0.946785388038629","-3.88114266473812","-2.98521640723674","-3.91396053600595","-3.20875879423112","3.09582150631886","1.61852623739486","-4.41266598350018","-3.20508977015852","7.01777979521575","0.0931023271782319","3.31075169099387","1.43667798803904","-1.17578922624711","-3.59834564976888","-0.0727716340345917","0.947738565321119","5.00609507251152","3.31009623602842","-1.96467800745113","-0.622224115233191","3.45049142725099","-1.24480996421843","-0.639757096583773","-4.43158881751187","-3.5166100886225","-7.18367483591627","-2.13527441911519","1.07965104933197","5.09672999225901","1.14142151034453","-3.2046380484442","5.79504930687919","-2.86333069544713","3.68182016317003","1.13440151604792","3.38900810908704","1.7132805725816","-5.76368414462515","-1.07066893781676","4.35343901898836","-0.202929523653559","6.58561539717526","3.11834848914699","-1.00254082278217","-7.01511597513216","-4.52337719990025","-9.10613958381742","-3.95679746452341","-0.409363725906283","-5.24642684310448","2.42980306496568","0.167773217007639","-3.06493595258683","0.734344008175623","3.72613593392498","-6.79587641088664","-9.13209541162693","-0.679064706496556","3.41825267595558","-5.53607502770585","-1.15612547381572","5.40581137497073","-5.10128158502616","-2.42342105440072","1.43124073032186","-8.48576275440134","1.71399683380323","-0.400166122256643","-2.16530337411279","3.45413083330722","-5.0385477359494","2.90264396953696","2.84646295468749","0.759579345567147","-0.736849750466526","-7.54480504916852","4.6530514926407","0.264392762251351","0.788703754557189","-2.60184374649192","-1.80052960388583","6.27942011702294","-2.15922465988895","-9.58013709831234","0.830677786144242"
"Random_RUNX3_20_0005","-3.20429836468006","2.13615526682408","5.51472229247478","3.1640423773477","4.81338940007155","2.10894846065429","5.37360971025202","-12.9217549290782","-2.66999923105668","-0.434435320796255","-3.78752171533783","-1.26803474675808","-0.605507717000675","6.90617501493259","-1.54373388065005","3.07983770231198","6.33095262286397","-4.82850604827958","0.216694418326568","0.940775882425609","-4.33387398307427","6.91377508213624","-2.07472254752373","0.0357956649222629","2.36825191891207","1.14766961139622","0.474114449182065","-3.90381139056247","-0.578282314329086","-1.07490282547486","-3.76560992682001","-3.14153868834511","-4.03269307251264","-3.0596083968229","3.11406261702795","1.72401335664194","-4.24515958670691","-3.2180499632501","6.96548573591435","0.0439495313754222","3.36328017728433","1.34184364913767","-1.3415767282671","-3.60563468035894","0.078802976471254","1.17050437254042","5.08069815392234","3.45390662984364","-1.84432305772368","-0.57292520407807","3.4760017902535","-1.35986214506128","-0.692765975866876","-4.43175777919975","-3.62091073461976","-7.05097341128261","-2.19073665609086","1.13491570869754","5.14813070556203","1.42733881214759","-3.17289558281714","5.9255165576836","-2.94737474671157","3.60366500569922","1.0423095692539","3.47822412257201","1.61489464198993","-5.82726983514743","-1.18656085670624","4.43493308482026","-0.0464460000647581","6.60557760060282","3.22973808871337","-1.00755068866837","-6.74949726184047","-4.54390234368236","-8.95316392696719","-4.01233303082792","-0.320390056733533","-5.22410074855786","2.41259187759629","0.178190303343427","-3.04821520306854","0.805500190721228","3.67664314889489","-6.76265829923219","-9.10282428371871","-0.835458340308557","3.54054262198486","-5.41884769580394","-1.18250074023034","5.45244462673148","-4.90434843318653","-2.23602310186503","1.39809079487692","-8.45068597015945","1.69305429016114","-0.408587252657525","-2.19588315155814","3.43784701483674","-5.09625389900989","2.93930555629272","2.8319559556284","0.75045068550758","-0.630270906287174","-7.60941117291839","4.77118997583727","0.259086180206503","0.754699759849296","-2.76119191987094","-1.66843393418113","6.25539744090143","-1.94094156905117","-9.78761398639732","0.792024742608495"
"Random_RUNX3_20_0006","-3.12445085646905","2.19587941532177","5.5606214986985","3.08747268491212","4.82382951756469","2.14378762971458","5.34525869627449","-12.9187231208397","-2.74025905014496","-0.273838509357008","-3.78832687246393","-1.18778444988374","-0.585542289582126","6.92190960098778","-1.50769935564325","3.06148383203887","6.40293628494195","-4.67002193279093","0.259988313284258","0.881796284798855","-4.44589381579717","6.86440997303733","-2.0432464278919","0.0656756944123543","2.24980624585238","1.17014831866371","0.353584619542809","-3.79676197309598","-0.614567454687382","-0.952733146306921","-3.8507528772749","-3.0523877973689","-4.00770112210528","-2.97925047595647","3.08008606008991","1.70485198767444","-4.15501864771313","-3.11537155087634","7.04882852144051","0.0607797324997726","3.34385580599233","1.42562896081642","-1.23883470809941","-3.56230090735627","0.0371736420321016","1.04247530550046","5.1452370432233","3.30213604877216","-1.88621324739878","-0.685109261845695","3.51279009994222","-1.30567898573665","-0.658796448634695","-4.59247171845135","-3.4380380058257","-7.36567515484633","-2.21385865227458","1.0758012041543","5.17921567698437","1.23183993124177","-3.15404461036471","5.84702156648751","-2.90627445023894","3.6773711744064","1.10946195120602","3.37471699416013","1.74527304031953","-5.76068951612178","-1.0458076196078","4.40601238679855","0.00443065140242439","6.60239315828642","3.16220548288143","-1.02954197024799","-6.90137021180842","-4.52316741537767","-9.13572774151899","-4.0545814148218","-0.411785169585857","-5.29652458601646","2.41332971344205","0.240862604297768","-3.0823833368152","0.80757066476868","3.73555739775143","-6.72796795862731","-9.18779476313495","-0.715855284245593","3.52132751465092","-5.68255018001641","-1.20350517851761","5.40050586711734","-4.95817656026951","-2.3400504232736","1.34225634067539","-8.57983256398988","1.63363533474425","-0.312418004968037","-2.27411139143622","3.44997093210917","-4.99920304475452","2.90372693613643","2.82900982972104","0.88379106049945","-0.705299671137406","-7.71673378102161","4.73693457301312","0.224172141366526","0.791366071612029","-2.78731980456116","-1.66670523635524","6.26845958544503","-2.0166524733721","-9.72169163582049","0.876658643021528"
"Random_RUNX3_20_0007","-3.18643581773984","2.18752429315088","5.62892636326212","3.19416222141429","4.87123239844166","2.06652124006335","5.18782565450313","-12.9369602625722","-2.77694366527246","-0.333299620679704","-3.76152161921044","-1.18454992220773","-0.644716648596878","6.89226386196095","-1.44484958753081","2.97953506464629","6.33647859102065","-4.67815260147337","0.220066433501982","0.829183434224232","-4.35964194889713","6.87459598428436","-2.08813119395398","0.0543361587415191","2.42504239390345","1.09736904532544","0.298419006041696","-3.80496276358914","-0.539666534546706","-1.03986064754451","-3.87724423910388","-3.1491307996983","-4.12594490969501","-2.98597901865549","3.1208679367345","1.61767953088333","-4.17107393872694","-3.10098953588604","6.98749357364521","-0.0123917666538028","3.35728319385779","1.33115070443043","-1.27253531081644","-3.62038039187328","0.134341885094448","1.01526394602382","5.17804258988848","3.37707503971241","-1.90914616267035","-0.509006185574574","3.55957144206622","-1.36344290219857","-0.772115688566977","-4.56141362324835","-3.57436559030284","-7.1378775621624","-2.15721516277647","1.14332782484069","5.1879995122746","1.17139310295641","-3.12581418502843","5.90879677649353","-2.83032927557932","3.73146482798095","0.980112386280155","3.39097773151512","1.52633830425876","-6.21093475919409","-1.05573043849315","4.42362940694678","-0.218852094993091","6.66172499804265","3.26052770521709","-1.08735543684814","-6.88800907766449","-4.55120300496134","-9.11413586265066","-3.94018467176537","-0.434707740251638","-5.15884529561421","2.48281751585382","0.11145567175916","-3.04755585411911","0.776185597344803","3.70304448673091","-6.71285620503961","-9.21674074450777","-0.810843452925166","3.5731572590298","-5.6435560390961","-1.10985907659863","5.33830088614017","-4.90923616740495","-2.29680141282503","1.35124307403709","-8.45992234881599","1.69504010083629","-0.4016286319389","-2.33986817639819","3.45858090728994","-5.09486973501224","2.93110540888405","2.91849571823712","0.718881003147458","-0.711003391067623","-7.56687236609045","4.77966806507718","0.241009437698625","0.82712171932815","-2.77315576578383","-1.56561334472181","6.36567345509353","-1.91914907944706","-9.70128652866981","0.753776328801618"
"Random_RUNX3_20_0008","-3.21690713388994","2.19595931245468","5.62821130182139","3.21885241138121","4.85353922191583","2.08393486903237","5.15490916055922","-13.0222109115674","-2.82184809784516","-0.278596122827243","-3.73499964335556","-1.18935865779895","-0.600968132208421","6.95862894306958","-1.37804195527218","3.08013739310632","6.48531069357939","-4.66943180466911","0.194802476073677","0.869012516761389","-4.32873533931808","6.93075864999974","-2.06582450960405","0.0633095750741493","2.43594455174386","1.09479237343373","0.312767614148098","-3.79539934271889","-0.573028053029381","-0.989107930611028","-3.88145757499061","-3.13175841041733","-4.11953222702788","-3.05285645782498","3.23956416052881","1.64336331142788","-4.23065235627512","-3.04526862686432","7.03770260290231","0.0212990837652588","3.33828729076711","1.37130378293296","-1.21178586245556","-3.57170472321248","0.118103674822771","1.02360496938212","5.15654007796068","3.38209306409747","-1.84952985647823","-0.50730608532618","3.50186227247612","-1.2944262402244","-0.776875347334772","-4.50494244929346","-3.5421213157644","-7.1393051459841","-2.10161983143443","1.23604638336264","5.11598620451212","1.09786404721623","-3.19402396275128","5.83205186634882","-2.80414571412809","3.73568822433757","1.11663715063258","3.49641039254432","1.57665720261767","-5.83779883269293","-1.03171023555734","4.45333908183501","-0.25284681459595","6.71942644523402","3.3056843295418","-1.07609873277864","-6.92076345777138","-4.47523243053425","-9.04777644897409","-3.92512603788136","-0.384258125381061","-5.18410520401418","2.5219542441596","0.204247438813249","-2.98541349312517","0.824759668574819","3.68745628323933","-6.69373142953592","-9.34739123116173","-0.789683854185504","3.57314007319167","-5.64965565126431","-1.14370418071072","5.38091587449262","-4.99245772142227","-2.28650209376555","1.4279664599645","-8.49668047420696","1.64212004303025","-0.40180463182723","-2.34116696101551","3.56538394177468","-5.00402905541394","3.03692792411573","2.92729280069111","0.755925541042068","-0.742065426245797","-7.53794571439856","4.77746747105655","0.305008618819246","0.802840057775293","-2.71359518122584","-1.60064513583177","6.31480437340845","-1.99569277417955","-9.61599310788916","0.837692721227315"
"Random_RUNX3_20_0009","-3.16819203668445","2.0673949452553","5.50592049741147","3.09785368896647","4.85913998197515","2.03247779183423","5.07724897916632","-12.8799054114065","-2.89632899514169","-0.317558502951898","-3.70001694978931","-1.20696557211651","-0.60456696801249","6.8954736854132","-1.34788984472906","3.06024749407795","6.42825912506138","-4.69258342473996","0.22414727139331","0.865592293421225","-4.38648562606865","6.85909759316712","-1.98575076007159","0.0873048929194418","2.25881855787244","1.18339957464799","0.329679980325321","-3.78602449799638","-0.563755645114563","-0.959728974312913","-3.90985030721083","-3.15243133664982","-4.01662414062828","-3.14529734860084","3.14226256399974","1.77935967299737","-4.3191843288569","-3.21282931093048","6.99262389817492","0.0496095558761514","3.21191372291186","1.37728497591915","-1.21096768406914","-3.61264074049262","0.0617583542162576","1.06326911383476","5.10796388829132","3.22814503120682","-1.98717372132096","-0.599614648748808","3.46232315821828","-1.33216197390837","-0.714285056929805","-4.39693599897314","-3.56656412821102","-7.0995919747951","-2.08616777309996","1.167042610127","5.05731808225349","1.05371411371108","-3.17494046609737","5.79421282311982","-2.81094755244515","3.63103286138655","1.13817036957504","3.44470406287913","1.61096037888326","-5.75843285330577","-0.883742343642549","4.36838242122468","-0.019139199761569","6.67790903565004","3.16459051538357","-1.1664339801444","-7.0121888831153","-4.54123630818435","-9.17921029223118","-3.99601248022468","-0.429804762861378","-5.37241866862909","2.45268227320711","0.22019186304403","-3.0286354701188","0.704367266990273","3.67808256808","-6.65781135664817","-9.14881642978949","-0.729248575371339","3.43204287431619","-5.70228118482095","-1.21230803207406","5.31708336348917","-4.92540737384521","-2.24917713819779","1.47027190761404","-8.45767892240636","1.70903608512387","-0.432976101696801","-2.19912836708082","3.49332380156125","-5.0764609968786","2.95136299596853","2.82062544406498","0.722141732402983","-0.7841927481739","-7.54167674865904","4.63471350755861","0.262751297334001","0.722945647596982","-2.68387269786099","-1.69206300178188","6.26110740050687","-2.10405391292525","-9.69342057728063","0.848937748055156"
"Random_RUNX3_20_0010","-3.08446390813267","2.33768389210216","5.6727961315497","3.32901557764731","4.97814035298144","1.91163586531049","5.1852650710903","-12.8443118285686","-2.82862412129154","-0.471289941773169","-3.80342229593919","-1.3245413373891","-0.712206091071666","6.96772159029067","-1.52556049746689","3.0210150029962","6.26217986467928","-4.76429953221717","0.0924114715558019","0.873647321510445","-4.29646635643526","6.93213517226701","-2.22253777164371","0.162375981327047","2.42457046606246","0.980998369982232","0.305368966674798","-3.86190617561587","-0.427280057285887","-1.12131427646125","-3.91529557490221","-3.21261859711418","-4.08729314161655","-2.7916979418771","3.12429668508134","1.58499566073091","-4.10654204443731","-3.04928731079729","6.9275036075617","-0.174851734125739","3.53169786375353","1.18472678420519","-1.36030039380422","-3.76310033392682","0.288179856890797","0.932942536675949","5.28061785510584","3.45637107472929","-1.94328279504611","-0.46764648940471","3.69400601677127","-1.44067020998262","-0.804198555794572","-4.55599229256488","-3.54541827109867","-7.13943774010155","-2.05464424769614","1.15019445046674","5.2805712977341","1.36805269695345","-3.22857910422584","5.99101443764888","-2.78916137830442","3.93717510713745","0.906968874323516","3.41074426281213","1.57430218965895","-5.96394136052241","-1.17261728047695","4.54261204539369","-0.087476970918444","6.62262877542984","3.39311904201002","-1.04426578188745","-6.68622465483393","-4.55308066714009","-8.85646575741168","-3.909223276726","-0.577674661866114","-5.02826537491861","2.66990846226119","-0.0229322168694277","-3.08054999456542","0.821277719290027","3.74638475365203","-6.75459527009805","-9.26568314805256","-0.96655814302198","3.62056432761182","-5.62890347483266","-0.996243466965677","5.27930222000337","-4.73606615876759","-2.13220939336821","1.51865462201704","-8.42698335694248","1.77525284016401","-0.488513859572128","-2.33141157988484","3.50062988512758","-5.08111049618377","2.97878439649252","3.00511457561443","0.634827514030818","-0.87185612648301","-7.49972025502528","4.7870836999976","0.082468692670861","0.946444156108926","-2.85742964127191","-1.4244320166865","6.36592939939314","-1.93553590711182","-9.67925189670981","0.663931007648629"
