"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_TGFBR1_14_0001","-3.12260260465235","2.14541506980856","5.66265969364053","3.21675184341503","4.90536680742831","2.02803240268685","5.08224455434327","-12.9715088265704","-2.85633485944219","-0.3424263343232","-3.76480665924673","-1.15504871361744","-0.588212511359381","6.9098126465627","-1.37960490215906","3.14552822683446","6.2614084977144","-4.75615531168682","0.27554777272908","0.965861625837648","-4.26386533779716","6.82171605897821","-2.03215774593947","0.146423967581911","2.3161656348589","1.1134149512969","0.485304554112086","-3.79093974175176","-0.521526147991008","-1.04219482811907","-3.9667382725225","-3.16835122848306","-3.99093614545966","-3.01833748357134","3.11960928947634","1.69100864035276","-4.31707590987838","-3.15626504138657","6.99331124160603","0.0570806976654851","3.31351429572227","1.41066599805569","-1.2039999612687","-3.57283322542244","0.129693258590913","0.99435517364592","5.11476870061757","3.32464014323503","-1.95054571822051","-0.613512554520458","3.59042342092616","-1.35066007477369","-0.717294923182829","-4.41869023080565","-3.57805051219879","-7.19183075157255","-2.10666849281545","1.1299299389593","5.12105345356776","1.14251166257955","-3.35305984859216","5.85136350716923","-2.9433890036505","3.65146797006839","1.12148184138995","3.33267184903281","1.58517837146471","-5.7899050329747","-1.0747833553293","4.47184082762479","-0.134947600699736","6.58059410054376","3.18579178628791","-1.15332023049656","-6.86142044351874","-4.49478918992051","-8.99923178880325","-4.05545895208986","-0.476061648673862","-5.21258297649007","2.38305569667468","0.209177897937729","-3.0890494314621","0.921885335039428","3.73253250451484","-6.7663540818532","-9.17898605121749","-0.777274741345111","3.57653880044276","-5.56866281283445","-1.17543080727052","5.42267751941402","-5.01133665257951","-2.21971680026865","1.50564140006166","-8.46379845221536","1.75221859520579","-0.391977966138921","-2.23435083766067","3.51792928563398","-5.05328708383905","2.9835732114304","2.87093712897898","0.797759758636505","-0.737485087231691","-7.53153436123719","4.67756668296253","0.294293235579831","0.780495970342844","-2.65277454671388","-1.65920497384506","6.30309877915687","-2.03289669098181","-9.68765024855109","0.816593048846239"
"Random_TGFBR1_14_0002","-3.11825713427472","2.09885379572352","5.5803917622582","3.0937064270246","4.81622707446872","2.07920164241953","5.09236135367521","-12.9288427854619","-2.93358242678591","-0.228408127935096","-3.75237068272163","-1.11818459727291","-0.590667684482028","6.99010079038423","-1.36579641724165","3.21115862683163","6.33773511544725","-4.7496948247396","0.303623135206979","0.982409857486053","-4.38558126451121","6.8513005914375","-1.96385821030046","0.0968901217818529","2.21774272517087","1.22808948649262","0.535072136058221","-3.7275907251573","-0.55755393751954","-0.978936545327644","-3.92901115542924","-2.97762547429025","-3.96400596682376","-3.12861296790633","3.09445438437541","1.75345661270524","-4.41315867389502","-3.28803099955758","6.99260303962244","0.171046554587785","3.31586391938653","1.51058180823943","-1.19457657984864","-3.53751483141187","-0.015436883467052","0.948724909567389","5.05079523647822","3.20781809525143","-1.90607147410936","-0.746213217468351","3.41344745748696","-1.33075498836556","-0.706721668373924","-4.45678940583768","-3.52929460793207","-7.28047434628804","-2.16384918963637","1.08548169862521","5.05194871702694","1.19448441073981","-3.24793172650422","5.79053114357863","-2.95299705220849","3.60752946683608","1.18478178819467","3.35499487909888","1.65813370574978","-5.79631945375363","-1.09785776681524","4.43112764978319","-0.111506424313721","6.55085553368584","3.11006837966133","-1.05614845093256","-6.84386554220809","-4.51602047598543","-8.986092045619","-4.17157339908248","-0.453337748447766","-5.29682267714438","2.33235049479188","0.253992459933368","-3.09634430926115","0.870066823341396","3.72189714124309","-6.80939103741177","-9.12760184954662","-0.697571714472024","3.45593092531248","-5.53501058669027","-1.28701485726458","5.43515738532353","-5.0491589591845","-2.17210766047472","1.46937173973209","-8.4821149924264","1.70821283198654","-0.387761224910151","-2.19003658227723","3.47597362868679","-5.07812689043114","2.94232886748205","2.75440500804377","0.854760891667944","-0.601015226117981","-7.74011780648871","4.59859534434463","0.313928881794831","0.689136208003015","-2.62821019839367","-1.74138877462367","6.18373614667926","-2.11128220073462","-9.65441030631952","0.9146449412649"
"Random_TGFBR1_14_0003","-3.18478900056399","2.26805718322756","5.6488943233222","3.19977039387854","4.89423791464844","2.08956250161373","5.16934290730236","-12.9604470731761","-2.84104633402581","-0.327061632551078","-3.74572964574158","-1.22177906844741","-0.632462135468514","6.93340730509427","-1.41622183002707","3.14831713604252","6.33909720651526","-4.72979593166986","0.220590976231169","0.879023515760204","-4.31220960001731","6.90931503068419","-2.11705785352936","0.0664758703103466","2.33963211899704","1.12916489193698","0.297263105009767","-3.85185794041292","-0.599145681672157","-1.06749623400858","-3.92709886394567","-3.1321194108751","-4.18080519445248","-2.9522988774916","3.08782058543224","1.65857856199137","-4.19059812623349","-3.19130276056979","6.95018553090959","0.0344154387881802","3.37041198668069","1.35500616517567","-1.38214509144346","-3.59091146309406","0.0763866962519592","1.02758166999134","5.20999052324962","3.28613339940711","-1.93194094859454","-0.592872139164167","3.52061750913022","-1.32547285729848","-0.749130333874954","-4.55122719541748","-3.67163195790279","-7.17065571671792","-2.20569695453194","1.12858007287543","5.21046819401626","1.22697553913752","-3.17368732534849","5.93228948939294","-2.87243149167015","3.76539345974713","1.0831944735551","3.3580779419271","1.48414639430297","-5.78183620360407","-1.13665418958972","4.46198610617567","-0.276286883915756","6.61974304046533","3.19792918874932","-1.07944793221717","-6.89976873865696","-4.47970824988029","-8.98750267382735","-4.00983681894011","-0.400044959539983","-5.16845635441672","2.46944793153455","0.143245797756089","-3.06309393930913","0.778759323081767","3.73815339681824","-6.72198998095628","-9.21201052950514","-0.852444071067983","3.5251388150193","-5.59143107805274","-1.16000820544537","5.36418118158263","-4.98789335886525","-2.35471514626887","1.34244725606529","-8.51638989558304","1.70195179068862","-0.354529713908612","-2.37658429744197","3.41325224300348","-5.05458281106054","2.9061185273877","2.94751646809695","0.810393998422962","-0.731305047779399","-7.60668112520466","4.69453786151755","0.275797931578778","0.83089496868006","-2.8616858518204","-1.61759196351478","6.32425493655529","-1.90848934970278","-9.6175858591894","0.795065382938215"
"Random_TGFBR1_14_0004","-3.22146517403648","2.20591120283856","5.62367071193189","3.28829893604685","4.87271292939778","2.02475459571607","5.19617188128409","-12.9792415384238","-2.92229953665846","-0.392408303319338","-3.80056266972865","-1.28224215172751","-0.691805909481645","7.06139902972891","-1.49364440873386","3.02863903363228","6.48070879783516","-4.74216349667096","0.167528063338289","0.85364914092558","-4.38826267087828","7.0176336278313","-2.11374479813907","0.0824291120159386","2.4219505837291","1.12986015216549","0.447511256041289","-3.86354514605821","-0.516868706162395","-1.06361758534976","-3.92118835852712","-3.23272189468586","-4.1054089329944","-3.06917747702735","3.1718467556759","1.6003604331707","-4.25075960243063","-3.09316399577287","7.13673909575534","0.0597192969059825","3.34388572130059","1.30269215482033","-1.24444748567863","-3.65340540307338","0.0941885038646234","1.08326219445516","5.17028991811633","3.44799543452115","-2.01081700300037","-0.525738714011394","3.57187946294287","-1.44720709335643","-0.778395895422317","-4.55027029608624","-3.61923732462446","-7.26537920610408","-2.1604051239574","1.14149196390234","5.24922162717952","1.14984910930682","-3.19807174772321","5.98109867142035","-2.86439139773458","3.79937446259917","1.03390102410965","3.48269420527658","1.56786218681931","-5.86533606063678","-1.13640693206964","4.47919757254219","-0.161409283793054","6.80426459634102","3.33837114573062","-1.06168709182092","-6.8460045355753","-4.57966321521573","-9.00381447182943","-4.00511235920567","-0.414922123987178","-5.16710319453842","2.5835398251109","0.109554200076353","-3.07687803341243","0.933528455882257","3.82595957391464","-6.83013185160398","-9.2202335000572","-0.81266877943799","3.59478976937775","-5.53775181215828","-1.05209111670895","5.38139774776301","-4.96753926235578","-2.2345468536678","1.41782721486408","-8.4411889971201","1.70054514906844","-0.444771096572078","-2.26227617809127","3.49923340617577","-5.14944946988474","3.02913730200186","3.00210686256788","0.689295517439053","-0.722022315841016","-7.58922840826781","4.87777772350559","0.183048962707064","0.940539627694724","-2.78902378604752","-1.62164855991051","6.48551472035847","-2.07780253626779","-9.69378459525753","0.824111799373849"
"Random_TGFBR1_14_0005","-3.286941040748","2.17410594097888","5.58178033453439","3.20297149511988","4.84184705641646","2.11184969285265","5.22989768571539","-13.0185339477645","-2.85735069332429","-0.283305722967285","-3.75163568471443","-1.17593176813501","-0.646014529056446","7.00560132085795","-1.45624989789378","3.0698958345077","6.36760266847524","-4.68962784331276","0.210182754909453","0.7884953420571","-4.41194492792375","6.9590059712475","-2.08097692000205","-0.000977515316705376","2.32760901356334","1.07821620120173","0.298045813700182","-3.79254812495462","-0.661079828413076","-1.06528762918881","-3.85363732185873","-3.12630398447898","-4.0888692028616","-2.97631585778851","3.25305583058334","1.68639608851631","-4.25511044778747","-3.15564251069289","7.09103601933701","0.0215749530361036","3.35514267637341","1.29010983664432","-1.24582907135243","-3.60702417873668","0.133187278093891","0.954858385118065","5.1442719108036","3.38205189069172","-1.91316993447764","-0.615179668134209","3.55386926953879","-1.36885771679638","-0.775841167009517","-4.57374186200404","-3.56457432402477","-7.24905107908428","-2.22255995960197","1.20447077954151","5.15007655195984","1.13022899210697","-3.15774215879738","5.90789340263088","-2.81314425840178","3.7750216966355","1.07110000190889","3.40849535736281","1.55839553916129","-5.7446883952987","-1.08293995421442","4.4302256456143","-0.124609655716204","6.64629877761453","3.24796940155829","-1.0573730792812","-6.972757458403","-4.52044901449962","-9.0012625559237","-3.98261770594904","-0.469688796278802","-5.16692310799192","2.55097814285402","0.153637398744103","-3.02187180143124","0.830937445791295","3.7723733764363","-6.83985268977547","-9.46145447432563","-0.796115690582986","3.52241276376738","-5.66961342171565","-1.12778184779364","5.31600196521811","-4.96505659817999","-2.32035595759894","1.35298904268794","-8.49765584934554","1.64263110147441","-0.398081535861375","-2.36716844422969","3.5735809209782","-5.06166404391719","2.97854977345253","2.94303893576879","0.770235702117429","-0.76671049556696","-7.6728097228936","4.79042569136014","0.334126860666721","0.886059745702075","-2.72877411056906","-1.60071483781268","6.37794372275477","-2.02033976159937","-9.71370917909604","0.919876840786314"
"Random_TGFBR1_14_0006","-3.17577233645635","2.1172019553257","5.57771258997914","3.14415412172295","4.771878161534","2.07314595820924","5.26382000216065","-12.9442169531344","-2.7641341255825","-0.296244580000198","-3.79746398390769","-1.18529685461281","-0.751832005711364","6.86865401574244","-1.47956376467861","2.96233294196748","6.3517244447266","-4.59370532975049","0.175194014415082","0.756348740283353","-4.30395490364703","6.81052248960168","-2.19271023515169","0.0652374868346377","2.32237463904551","1.10204598248365","0.327536032795529","-3.82819403457765","-0.561782276872819","-1.02897058352496","-3.84531293374687","-3.17578988671513","-4.06357773537803","-2.98751906038469","3.18359417944828","1.6872233274928","-4.10249913670076","-3.1105890430357","6.89657182447733","0.000244568426360528","3.25092863933602","1.29702930402601","-1.30749130222824","-3.55242835165499","0.0952986508338257","1.0060944152293","5.0916229831991","3.33674097235647","-1.87598102339859","-0.496181963437345","3.56400851536888","-1.34864362023784","-0.777221742587351","-4.47384441934394","-3.6382253440035","-7.17739810076405","-2.06375924937668","1.1459407411192","5.16142104345011","1.21823306548106","-3.14114989883751","5.93722306972437","-2.79719223471483","3.76232809726003","1.03950606281353","3.43873013884056","1.67550779875412","-5.75691768901455","-1.0859899198589","4.38829364419879","-0.182290683047291","6.60018575267165","3.23158583904976","-1.07887997426544","-6.81114976667137","-4.46446462347945","-9.04721144479473","-3.94726944262325","-0.456173979537548","-5.02212495520922","2.45970994973105","0.146197374661727","-3.00062948636637","0.794378003767589","3.76148573918995","-6.6937531767608","-9.19206200383506","-0.778168543752765","3.50321799825399","-5.63263610778316","-1.09099261208869","5.22944362054613","-4.90041336643957","-2.34862856237176","1.24437623908275","-8.41782549565938","1.56548877259984","-0.391986097263003","-2.28516185230487","3.44590432080795","-5.06893761894293","2.96321563412097","2.91152553810084","0.752629519764576","-0.761982962883567","-7.53251748027999","4.87065429157121","0.202660582751027","0.965833945287215","-2.79281816600333","-1.61619942487192","6.38500255987712","-1.98366406065572","-9.67830863011543","0.856963911540646"
"Random_TGFBR1_14_0007","-3.02543984433209","2.13710232101777","5.645486655661","3.23747064494708","4.94156606335817","2.05755951510912","5.03984829159299","-13.0220659107396","-2.91443386675593","-0.282732530660265","-3.80261564419716","-1.14038702814025","-0.57236382093679","7.06172409945384","-1.40478857853231","3.01477915636647","6.4246749165005","-4.61375196776829","0.248440409968281","0.856450614158879","-4.48575619917837","6.93361341069938","-1.99900692817757","0.0197387341779221","2.39220454288256","1.09785753976805","0.244992170539004","-3.8092329573355","-0.51536710541911","-0.956782804840415","-3.852125780931","-3.10465317109978","-3.9342541667545","-3.15510110521049","3.09953350716615","1.71281561246617","-4.26384099441942","-3.34989232421358","7.05043999874708","0.0581171912172091","3.38250298508957","1.39121418520552","-1.18337408221771","-3.57102467138907","0.261336379975159","0.896265395748734","5.2019563671177","3.35689595762571","-1.965619829558","-0.587189285641376","3.54353827501772","-1.38800207151395","-0.729301675671055","-4.66550124938359","-3.64687065684486","-7.18550108737302","-2.00818930343032","1.11203896223943","5.12091096785771","0.95924305539953","-3.22257945685381","5.95087107739321","-2.91409841557531","3.76429900308714","1.07985673934046","3.38918316698132","1.61473459090054","-5.78518497625017","-0.893974580480728","4.45152766851259","-0.108638117287482","6.71619397977116","3.31645178475579","-1.18022147601014","-6.81144376003927","-4.57730209665964","-9.15298958438358","-4.02059710291788","-0.519741028951494","-5.38009919469953","2.54162416523404","0.235046385201047","-3.08976552903075","0.769632435560925","3.73840763764687","-6.7995601336209","-9.20036027378331","-0.878929884664586","3.63176163808122","-5.78987725617765","-1.15788148601696","5.29099017418442","-5.05457317076467","-2.35566349649331","1.45215253227796","-8.5093842364612","1.69560573537647","-0.370618371656071","-2.25932337357792","3.49059036676465","-5.220046646246","2.93721676663338","2.86308435342532","0.696757896996972","-0.762039243740609","-7.67909478246506","4.75607400188808","0.315681465106884","0.940605389272927","-2.70876876616898","-1.59445062310068","6.36615540411637","-2.0962919938741","-9.82464367043429","0.875139372661012"
"Random_TGFBR1_14_0008","-3.10058249425115","2.10141631504358","5.4957602119544","3.08952943342925","4.78372772519001","2.11586288739562","5.25654733465344","-12.8894053247876","-2.80037462503511","-0.167970351512779","-3.71202442611001","-1.14767255351747","-0.548012354732683","6.8477083913002","-1.36545261347888","3.05801034817088","6.26847419117644","-4.71598819220402","0.308191493495408","0.817725455423254","-4.2641972980126","6.85595586137385","-1.99189203461427","0.0072861655777562","2.22563599940003","1.16119798133892","0.292148351723063","-3.76461515560575","-0.70948343108055","-0.993618722205919","-3.90013606766709","-3.01196556561496","-4.12423493528338","-2.96615346880465","3.04253812871443","1.7229063137772","-4.21670451201795","-3.22950487100943","6.96586126548671","0.0970374501574186","3.21541389813592","1.3923627472466","-1.30685151593394","-3.53589146801019","-0.0369564698504302","0.943261738706769","5.06937239287092","3.20432088042779","-1.83127293907267","-0.669942594879235","3.50327695933568","-1.28305726961323","-0.689573926506306","-4.34395014474522","-3.52751349518543","-7.0622160932434","-2.1153819736042","1.03245770889062","5.05355735428249","1.24957886780082","-3.10922324972623","5.80402965277323","-2.9225268592661","3.64471901921523","1.14430311593927","3.29508935357954","1.64924670484986","-5.74167722195306","-1.02919097458618","4.36997755576852","-0.0966761901421199","6.54976205796271","3.12657354747592","-1.01247194154348","-6.9550854266989","-4.4019689075051","-8.9932059988108","-3.97725308763638","-0.297853054869107","-5.18764703032161","2.39104844303614","0.182801815738899","-3.01801481260835","0.785818496048426","3.67974306017517","-6.65867472650568","-9.09854251716868","-0.645611065006192","3.40423856247974","-5.65238060357181","-1.23225614418782","5.28385515269691","-5.0200347292477","-2.40785256816489","1.30801209510907","-8.37911063012624","1.58161117103269","-0.3474831712264","-2.40734542538976","3.386529798983","-4.98084893020312","2.88393045183595","2.84305056318283","0.860790980712111","-0.672614424320247","-7.53843528042537","4.62431093090818","0.261374253215706","0.812211161458904","-2.67844516412965","-1.62375376000334","6.22345976322036","-1.92875358621369","-9.54627367715774","0.852457824502026"
"Random_TGFBR1_14_0009","-3.17147322066132","2.16678237788191","5.58792306572991","3.18722356715866","4.82145195435346","2.0678097167804","5.20756974922067","-12.9736872154623","-2.89242829787193","-0.30723630490982","-3.76852277146105","-1.23671544841068","-0.606003215409884","6.97885495706084","-1.4104562635511","3.05298102615005","6.35803381738503","-4.73830371088384","0.216212218830356","0.847297062061995","-4.37547816932003","6.87193909201447","-2.14538827888387","0.00528815980146913","2.26651964591417","1.12376001801692","0.364278637915052","-3.8338052803466","-0.621816460631468","-1.06500362079561","-3.90814681638822","-3.07324707359357","-4.01123305824877","-3.04621530918014","3.2502334275393","1.62239632560746","-4.21848613934464","-3.0870358194408","7.02429962317143","0.0485024255627012","3.30315320544178","1.3834067171152","-1.22145159649023","-3.63449877912631","0.114247004821284","1.02314607343689","5.05695961291869","3.34427314200417","-1.92303561235973","-0.566824464666061","3.48861119069435","-1.45492631239144","-0.78925581256378","-4.4987657787416","-3.61192389167307","-7.24878035349452","-2.16396500738019","1.20699304614168","5.14189424545803","1.16037025792734","-3.20345685996106","5.87408556537006","-2.86331593351353","3.72012904095766","1.07071181208849","3.45343384603843","1.5115799661944","-5.87717990249901","-1.06641639807303","4.42326741378025","-0.116503248470462","6.66263363021413","3.22887579333962","-1.07602421174237","-6.79373595182842","-4.55788262136142","-8.95143158913266","-4.09879344042245","-0.424466725050212","-5.20610405643474","2.53144388831755","0.230313705093498","-2.98783514343376","0.924861356800612","3.80822240297839","-6.73575553235672","-9.20574024431616","-0.83368546351184","3.52541835785343","-5.56294727992992","-1.08709902243973","5.34935822866706","-4.91053074538977","-2.23219371800932","1.40737051623624","-8.3681134858479","1.62655057537176","-0.378242574788095","-2.2329190254253","3.58566629075806","-5.01104698437616","3.07288287506676","2.90817858628445","0.823148731693803","-0.719087939410499","-7.64099329449931","4.74907812506238","0.284396885646027","0.755939114988518","-2.75878801809196","-1.57756109770058","6.36141743979017","-2.13809859944636","-9.6604409180918","0.960641131346407"
"Random_TGFBR1_14_0010","-3.21276459547663","2.09984045885087","5.57504424083981","3.15995603901125","4.81015491795372","2.14403036948902","5.3028494583376","-13.1726866797531","-2.7486003516057","-0.320619783983644","-3.76811473331328","-1.25344934892","-0.556679254051438","6.86261552833109","-1.44722111634946","3.03984552083898","6.31659343123083","-4.71176981240209","0.266922097206485","0.83194194528316","-4.46777819084365","6.82623370277722","-2.05120364188452","-0.056849013767899","2.36099607156179","1.17133762155081","0.351454003136988","-3.79606740000023","-0.593063694325158","-1.01081775935251","-3.79728737930208","-3.12774899767246","-4.17325291466492","-3.06993422819232","3.18603106051104","1.66118161919853","-4.15937075282709","-3.06648020483718","6.99545461796467","0.136049187841457","3.29235096987815","1.40907176399969","-1.27725266085884","-3.59288410461261","0.098763801532037","1.10368322257092","5.07172300522869","3.3693302932006","-1.8618064766093","-0.598697060878379","3.44028175375114","-1.36410113035234","-0.758962668531192","-4.55535298471765","-3.61315294574436","-7.21059809987864","-2.22011604610808","1.18726030748637","5.11393066612092","1.18232033649931","-3.14621282947434","5.91345780383803","-2.85843405016311","3.67423185336359","1.07338604375769","3.40962395275177","1.58799033043017","-5.85353403947164","-1.13363775071248","4.37396798650329","-0.174373437246384","6.55799927561807","3.22074527587974","-0.984501423638918","-6.86720811220393","-4.53070515858663","-9.04997841972588","-4.03701350001526","-0.340024929870128","-5.2428873805911","2.37165519378046","0.249335312345558","-3.01982102962092","0.874720136253967","3.65053825877466","-6.75732049360644","-9.32625586649884","-0.786199779805343","3.50054546252014","-5.60831683902898","-1.18600959484178","5.36569396325693","-5.01353678671566","-2.25405842648626","1.38398706092429","-8.48127696001757","1.60863665430786","-0.298506025738082","-2.35686160525297","3.4947299065393","-5.02252727918381","2.90280001355087","2.81171811580484","0.81204734170325","-0.629372165817302","-7.70682382926199","4.73289491761172","0.296786012552466","0.780050278568307","-2.78851501110701","-1.69255995537952","6.30664561241862","-1.97728940502655","-9.73426430704176","0.929952005428138"
