"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_Vegf_72_0001","-3.21604917516502","2.25368400330783","5.85709990840179","3.25711629755023","5.11716217300648","2.0159214037438","5.17614494203218","-13.030675235264","-2.97304683599129","-0.483668919330768","-3.79739412119096","-1.37702966369269","-0.684042912826528","7.10137651363937","-1.45975296428755","3.14317812114337","6.47969155652813","-4.85223183491276","0.161366789279362","0.912111590133595","-4.27288229399211","7.02797371436834","-2.05619571436902","0.129607932360921","2.59717266327984","1.00953110713221","0.490124335048308","-3.85960880284511","-0.289688367441155","-1.11511787422987","-4.00614337120705","-3.29123316466662","-4.14234925083955","-3.0531657541483","3.15461234189274","1.69075763678678","-4.31079667955821","-3.03940902288528","7.15531347810019","-0.0456391378976703","3.45448697910434","1.31146731787536","-1.48569391750496","-3.79200606369204","0.334000813851674","1.13441016348318","5.22996295090893","3.45085091914754","-1.9823373135829","-0.440900755147762","3.778182964795","-1.40199772206122","-0.769080910633897","-4.35187379543923","-3.57129742158153","-7.34201985315972","-1.86855988472687","1.23868147225536","5.30069060965655","1.03898185546337","-3.33397571400566","6.19239686527856","-2.94139584510936","3.79393094704519","1.00334686838358","3.33862898989832","1.52161126246036","-6.00061142984567","-1.24875980824385","4.64641190801985","-0.0357327474501226","6.73533776246263","3.29509551100589","-1.37403818958137","-6.93689968300383","-4.79911935938923","-8.90437325384595","-3.97622266794442","-0.625629986309021","-5.05708580661382","2.53125959041247","0.25944606798279","-3.00740069290911","0.965276967586706","3.78605814863822","-6.93473401751189","-9.2243897456212","-1.07509171692331","3.77511790565106","-5.58859739231746","-1.06365862889748","5.57544808128069","-4.94702746384551","-2.21427274874461","1.59877623169955","-8.53368226822404","1.86257500966665","-0.59690453362968","-2.18718962242356","3.59946748932055","-5.23912511461206","2.87771580053047","3.01871641275808","0.614127133045575","-0.917374446125496","-7.6039285783859","4.83936597050383","0.247817284034436","0.970840103801053","-2.91653959952856","-1.65081501660125","6.41607723345564","-2.08264380731313","-9.82874675523435","0.896859371779167"
"Random_Vegf_72_0002","-2.78705787676044","2.10344031612918","5.56519076745295","3.04989256233639","4.87497234238095","2.16664254110951","5.1021134071326","-12.7873867007779","-2.8939424923611","0.0149764852985595","-3.50715329134451","-0.905388933199662","-0.176731725242965","6.97304673532571","-1.15302211993809","3.24025851905814","6.00794796157658","-4.65409379527051","0.520648424699282","0.979345520280835","-4.22955324679164","6.81909542202257","-1.69558645207751","0.0809900961959406","2.16931720195209","1.27840435346538","0.349307789178836","-3.56967612321908","-0.564445283924286","-0.71959111570006","-3.82216970584316","-2.78392599637943","-3.82058397849934","-3.04935565865434","3.03932953256116","1.91929203205033","-4.23795162926811","-3.55640131492679","6.84414594398807","0.108321587921023","3.27400338618357","1.6432580547331","-1.18340658347953","-3.47419543275484","0.0147363885896657","0.745470704723946","5.04773363949688","3.02793539648924","-1.78742617158291","-0.752008471270148","3.45546452115974","-1.09159882861417","-0.361959907981782","-4.48185160048601","-3.24840531289906","-6.98576193250189","-2.07021056711802","1.10990343727244","4.88250580723849","0.794187897098915","-3.0541699580195","5.67623519169926","-2.68726116111053","3.56320888160327","1.23864071967291","3.11628975693189","1.7630291778916","-5.68196133037818","-0.78667553309576","4.37992100047508","0.133700286331304","6.47038140482579","3.26926193284257","-1.4160018977363","-6.91176995948295","-4.34954505130016","-9.27521825903515","-3.9755813849067","-0.287491761725211","-5.49301807599532","2.35996477368025","0.480237821131548","-2.88582167116579","0.662163033107776","3.59151912153862","-6.53367925284588","-8.89768397176039","-0.517896160194404","3.18556287325753","-5.89407662818637","-1.33065584974096","5.40687008955467","-5.05724693900089","-2.31051155366732","1.4326286392281","-8.42679217321485","1.78482664546111","-0.197878944590642","-2.18619979816129","3.48223127478402","-4.85373707405682","2.79067251721029","2.67680333978166","0.824567237807464","-0.679565727014769","-7.3984099793351","4.47113267185088","0.614604894005408","0.727649143512555","-2.59549542362276","-1.71206798822221","6.11071882788654","-2.02423476126418","-9.5665755029925","0.884218032805619"
"Random_Vegf_72_0003","-3.225943214542","2.06482266242478","5.75522442081244","3.18101805053809","4.86276327944943","2.02222771898372","5.11901145142637","-13.2132975123552","-2.83256390535497","-0.22654672833893","-3.8957748854742","-1.29376955567268","-0.852153765797225","6.81138318038954","-1.47453798818684","2.99498560170644","6.34436020213477","-4.60902438555719","0.187494660692973","1.05438952371449","-4.08497297475899","6.82631726179999","-2.12113511184321","0.127763238768096","2.49742118668241","1.26781134792925","0.606093538535977","-3.87152948878108","-0.379885774341651","-1.11255318122299","-4.0020333332181","-3.35652538154823","-4.05709483616661","-3.021720046494","2.87883609671835","1.91470241981198","-4.33310180929103","-3.10761590684886","7.0245871619235","-0.0137509935167372","3.29678624810116","1.36522869778519","-1.44025075781079","-3.70387731651534","0.128508914123477","1.09959041447664","5.02450763215909","3.34119832448612","-1.79700655879449","-0.550201439401924","3.55479329443528","-1.50481133351326","-0.865428776475581","-4.2202786107805","-3.53656925977305","-7.22816130857463","-1.74908712635721","0.90371953676035","5.03250179793258","1.38841411323564","-3.20676175375094","5.8902793605819","-3.1953447395349","3.66285151228412","0.960186600017433","3.19907029941181","1.55323155352655","-5.87048397961262","-1.22783665707814","4.47380775748215","-0.0810837404771594","6.60450070469767","3.18852474308816","-1.16311888737722","-6.8168232167731","-4.59483067283337","-8.85516605140281","-3.96914249872981","-0.410529101795063","-5.17859278097234","2.216073800061","0.282468997838843","-3.39299639289634","0.961338579167653","3.70588898684088","-6.75979671333318","-9.22541143116656","-0.718879060147512","3.5570147049148","-5.50817739509174","-1.19815773100427","5.49854134347073","-5.11941483337868","-1.96718053564678","1.54980895555708","-8.33329575909454","1.6850548747867","-0.500778074468165","-2.15516331066081","3.2911023336209","-5.23891491863194","2.73732243985752","2.7383315711298","0.695015058722203","-0.641889627710911","-7.52711388717463","4.66705071038318","0.0435775841397861","0.783630436405676","-2.60179531760701","-1.68810630488834","6.26761357153229","-1.93355389107253","-9.73926882560289","0.955909421054503"
"Random_Vegf_72_0004","-2.8243695376221","2.34648644313313","5.98500854928277","3.38934682226344","5.24676316779557","1.68305001952781","5.0529209372528","-12.8484163400819","-2.92688302903829","-0.394134038500932","-3.92884405959236","-1.28806588400788","-0.677640617948728","7.19647843368947","-1.52630342958034","3.22077128701845","6.19209857720754","-4.92526827236194","0.0382341682042897","1.07210750750149","-4.06657571059588","7.2777774062595","-2.29729060346104","0.306201323604141","2.54209009795912","1.12561708844716","0.517347067765725","-3.97230541927175","-0.416765419789059","-1.26117213847265","-4.24865997414933","-3.33296915382426","-4.20889427699379","-2.89331666344383","2.86378219502036","1.70444787482483","-4.17702843084867","-3.16224851850394","7.07370739377139","-0.228409408495209","3.67044929859239","1.168756943012","-1.44412360311655","-3.5915463740798","0.260592069228438","0.823831562436653","5.43951618515659","3.37045297488561","-2.17110943949216","-0.308066948346758","3.83864485001257","-1.44329326728166","-0.969432713768336","-4.51469799108273","-3.6499806406387","-7.08318082824607","-2.00656686902905","0.873126575677101","5.42939381660484","1.27561451196792","-3.33836328434353","6.17343500289116","-3.20028903121289","4.00720588279738","0.906197529002464","3.1179431085864","1.35971921499857","-5.96235027080069","-1.18643637511615","4.62757729649914","-0.0579058201748177","6.80885243062319","3.45473117570322","-1.19744789942549","-6.82383503185957","-4.53484957582802","-9.20408275696246","-3.89409985261596","-0.625787704117192","-5.08121206931332","2.72753349527081","-0.0215527882151008","-3.33489109150583","0.989281037012416","4.00645202778563","-6.81698247508366","-9.17966842779991","-1.0169940736775","3.84273228008549","-5.49714059247789","-0.811662039616532","5.49282200115357","-4.86835199882776","-2.13154648542754","1.64636590446768","-8.73248601240632","1.89482659754645","-0.595011831550938","-2.36548097202716","3.2657676430565","-5.32374996768781","2.74106196089728","3.11515786341104","0.566958353167856","-0.977316239567993","-7.44209197956647","4.79018183297062","-0.0426982613818266","0.94789799797477","-2.85295296057312","-1.4687261796255","6.47101992166725","-1.74540159821686","-9.96858037129402","0.696327396555972"
"Random_Vegf_72_0005","-3.15707843983848","2.25088150151541","5.58751583014942","3.3661188474523","4.90716661774036","1.95125088699733","5.18165563697102","-12.627516954329","-2.69184483427555","-0.476374476700521","-3.85967441350698","-1.35874608216657","-0.726091198223058","6.6992255411775","-1.54437768278285","2.84179426592193","6.41156989608133","-4.81488078078464","0.0322422989055942","0.736641729865359","-4.21171518456723","6.78606886388707","-2.17873694130821","-0.0180035131208273","2.71324484091866","0.807059432636367","0.232922759689611","-3.91041394486968","-0.52910552150253","-1.10082039045663","-3.87576007121609","-3.2772156236027","-4.26549327143536","-2.75781067595025","3.11254112643227","1.63568060251833","-3.93993073212343","-2.86367951462093","6.84375913118936","-0.159215296992019","3.49090072908666","1.16985612688771","-1.37354945975624","-3.7295445532004","0.312628637383522","1.06870639739144","4.99870402177876","3.4359025555439","-1.78293155578689","-0.195819344099599","3.66476989871986","-1.37185141246199","-0.886009797781256","-4.3582384932495","-3.61893482954739","-6.93651465353577","-1.79557771760279","1.27405555624823","5.23431976824516","1.21663720189243","-3.08670321759716","6.03894055126188","-2.76519952978813","3.78726978815531","0.887451808488648","3.52811590058247","1.39684150505421","-5.78539498334401","-1.14289952140626","4.44779037320788","-0.221072858980732","6.54249808676754","3.40713813160445","-1.00888243626811","-6.63805700137805","-4.66587781720246","-8.89823653185611","-3.9397144475178","-0.411854366459439","-4.86394793184232","2.57364187924628","0.0785667011297942","-2.96504639848915","0.980185364856926","3.79581194977726","-6.43092140650121","-9.15998713107011","-0.96168016412855","3.72772153498533","-5.72284973277307","-0.891304870576211","5.15422331265679","-4.61596378177698","-2.2509681052109","1.36382672336708","-8.53799936769582","1.68372215463148","-0.571151750258889","-2.29426462917005","3.30958702187831","-5.03636850702405","3.00936619096029","3.10727589347246","0.620059677684796","-1.02513683261633","-7.24990062855041","4.81858706935855","0.298181901934878","1.00740795487058","-3.00349915461148","-1.21163350619258","6.46668687190652","-1.86220506409806","-9.56191810191102","0.871433678398903"
"Random_Vegf_72_0006","-3.07241152775636","2.09332467807254","5.47418948864296","3.07493395135637","4.83754200128509","2.01235260912183","5.04168145332232","-12.8397509344837","-2.68823155967793","-0.249555106878456","-3.63633931557442","-1.07991077385769","-0.556764696937747","6.74912774777137","-1.33639895679256","3.01360466447681","6.23528566753809","-4.59248586986358","0.212082005672871","0.771194403185194","-4.36880576546382","6.8027161244648","-2.04753230126198","0.0340521810659114","2.30387558353611","1.24689438265194","0.368999783022842","-3.77268021930272","-0.637336053544293","-0.99363221407823","-3.86532852423622","-2.95944758838427","-3.9363948436308","-3.03049257243325","3.15752445063585","1.77566742883462","-4.07099535768393","-3.18008992399087","6.89600863799955","-0.0577413458758083","3.27124746819341","1.40563867638217","-1.14752304413659","-3.47805018627799","0.0154109725140763","0.969537305906872","4.99815383459628","3.20394242043833","-1.8862612674143","-0.569286127978863","3.46207255618121","-1.16628550160183","-0.642560183339582","-4.41724518252055","-3.37298117084284","-7.11636441133001","-2.15910140754971","1.20051822162209","4.93670830093372","0.969249799241203","-3.05252195796799","5.66365570127073","-2.81318419328025","3.6205776844832","1.07971022738734","3.38062634542346","1.62952392427046","-5.75940583428853","-1.02916296151639","4.33613866656146","-0.173351882344425","6.4797958815188","3.15763717882442","-1.08891735170683","-6.9123706404286","-4.29621635332656","-9.18507058159505","-3.92454806038256","-0.309537572322755","-5.16140079357171","2.30160323508474","0.0866897319244921","-3.13707214794715","0.841527870158119","3.54823938725846","-6.57231744878947","-9.21581876712291","-0.670417022155645","3.47136368103074","-5.53874739645012","-1.20557399304543","5.24717975893082","-5.04090683325316","-2.40781166866165","1.1815490365169","-8.3948361175457","1.54538352444088","-0.356701937215722","-2.33277706717451","3.52558269893527","-5.04182439584665","2.99150354585905","2.74815005856979","0.778824792947856","-0.529335022359868","-7.43728409585791","4.61203515520609","0.233187023484908","0.822079115940274","-2.59526304168765","-1.69441833790738","6.1532523547673","-1.75401634500108","-9.52733899115376","0.631686028230268"
"Random_Vegf_72_0007","-3.45459744899907","2.18488025748135","5.52544237168314","3.10777098594457","4.76729937548412","2.13218765425782","5.15936311909223","-13.0301904129754","-2.60970275599496","-0.256748086464627","-3.75225940441518","-1.29734445868749","-0.497128612069442","6.64611343185974","-1.4413821063589","2.78358230252821","6.25271852009906","-4.67230939506789","0.220346957825781","0.643584144114154","-4.37691506312558","6.68527968829168","-2.04480979135957","-0.170514257222976","2.65198873810668","1.09033822262978","0.215443700889396","-3.82141539609442","-0.660850601466981","-1.07497780328535","-3.76843092399262","-3.25782980957525","-4.22264629620677","-3.04540921741566","3.22499814350911","1.69890424909338","-3.95231792368928","-3.19512362130692","6.72590291629994","0.104066306152696","3.31534097587207","1.32864043960391","-1.30574918062075","-3.50125386217241","-0.0217224243144548","0.922890744670945","5.06596379658753","3.26028684840911","-1.91134291929095","-0.450379317995009","3.42348406692743","-1.39207699632876","-0.820387066962117","-4.50390378769204","-3.87377998012728","-7.0570577711253","-2.44346717999558","1.25078162633183","5.05025868678251","1.19257846841224","-3.009519282725","5.82634200851959","-2.78721234742132","3.60948695985757","0.903652296855941","3.37577881597143","1.64738370223288","-5.99823659919897","-1.05653736011836","4.21786550590544","-0.436867624911769","6.3666031626282","3.34380644266371","-1.17288008007883","-6.88925070595502","-4.43545347821433","-8.98872301142629","-3.71705120333371","-0.206903587112924","-5.11307507948435","2.44127363269616","0.239359449847691","-2.91958626559287","0.555256061695264","3.48248818318049","-6.52961878598109","-9.33899678295529","-0.830472370948087","3.39816459397839","-5.72500634555743","-1.08254033533426","5.07749659216264","-4.76536042130324","-2.27520033700514","1.17568624350459","-8.29770919639815","1.48654375878137","-0.387571463084772","-2.51664455226122","3.46713409129008","-5.00589744953289","2.94382301191242","2.83865215123055","0.798011649544661","-0.769575703436895","-7.44515648354998","4.54568936503903","0.339747067247591","0.67217143732105","-2.91154630249031","-1.55770112148134","6.26795896536702","-1.79436186326839","-9.48113457013895","0.852305827281297"
"Random_Vegf_72_0008","-3.08973572000323","2.07366738950189","5.68481184240268","3.30309729194806","4.95159347743876","1.98770522702577","5.08117570253178","-13.000726830047","-2.95590498217585","-0.363925175268507","-3.81447840784624","-1.26986246558863","-0.713565438659647","6.90173975280759","-1.29074035580917","3.2196584789278","6.42911723475167","-4.73928898213076","0.185182995125149","0.931908591044927","-4.2984355239491","6.98702014977601","-2.11223909883947","0.309068131820063","2.40150642659139","1.08774086073748","0.247824737453017","-3.85755028691166","-0.504812047010072","-1.12118824588418","-4.04824380759083","-3.08990319026105","-4.12463440792024","-2.8888321422183","3.12486670262254","1.59772473637358","-4.20565472017017","-3.20154613654743","7.04996733812666","-0.03766988890763","3.51558371202323","1.38650951079157","-1.35474024092653","-3.69734807468912","0.29040535996272","0.921299846883997","5.29014568983268","3.27365038566973","-1.90448276134253","-0.45809970764618","3.69680592210279","-1.34508537796734","-0.75858126982633","-4.54610467658211","-3.69373455216903","-7.13349442269078","-2.02599446159476","1.23578780263222","5.0884652924233","1.22377217367811","-3.25648678328442","5.88319141332249","-2.95419033859162","3.7721059840621","1.12552629665255","3.48201102953849","1.53644388413516","-5.81564465113108","-1.12649607548517","4.55337645819293","-0.162411087852102","6.66053630905021","3.26874818157545","-1.21532550051153","-6.83682176151227","-4.4390629968907","-8.97722377573888","-3.96347122503776","-0.348597761998657","-5.0845986123101","2.62960959243189","0.200252849098509","-3.16328805800747","0.820135172945371","3.81128963892939","-6.66096548506937","-9.27919355072536","-0.833340123621549","3.39934138000787","-5.62966092833267","-1.07553582386509","5.28420451718817","-4.7770306791981","-2.05467932884874","1.49951655778547","-8.44563441026175","1.71237343521312","-0.421512677481078","-2.36784971675271","3.5831779147962","-5.11512596840196","3.26958209005592","2.89390273467668","0.773086640050969","-0.788097672376554","-7.44564748787388","4.65087728043429","0.280801904984296","0.887264129317416","-2.82178860499516","-1.46924811092623","6.25095925524755","-1.97311011619842","-9.60221267737285","0.872032110408222"
"Random_Vegf_72_0009","-3.18271517779276","2.26281504902935","5.56414694832717","3.1345528643382","4.88983399097952","1.98170146197541","5.09214171865758","-13.2381244868086","-2.86181323286715","-0.262950791948226","-3.76419995306108","-1.26513891986689","-0.698401025023734","6.93759651077198","-1.58475857765644","2.9221854306318","6.49992016590206","-4.62436926361913","0.161674783867191","0.689269966093192","-4.51896225904216","6.88728884855718","-2.04600028287972","0.0678497900731017","2.45434390131239","0.921109083953674","0.336323253723963","-3.73664670243601","-0.600741013119906","-1.0795212872717","-3.84412057961188","-3.22703699649898","-4.14312563767902","-3.06587188063307","3.29240446306205","1.56124478128607","-4.22711868206918","-3.20043763618221","7.05116306631901","0.108753057341446","3.16634380389526","1.19777349517697","-1.12463893805794","-3.62366634738532","0.200847653972477","1.01844780905589","5.16242835930835","3.47392485437301","-2.00659751542651","-0.556579333379131","3.42282664084693","-1.63495272731794","-0.875581040957","-4.49204244255194","-3.68817453165244","-7.20712204652954","-2.10690112343818","1.33795695923263","5.13043814033617","1.14905757649832","-3.15863599474507","5.80915092177767","-2.76102034821515","3.87537232968115","0.933507262306067","3.68065726455197","1.41719738884206","-5.71173422490007","-1.05699968824543","4.40766279891344","-0.244603763070548","6.92209406669571","3.53721965449834","-1.07745063337564","-6.75497322646332","-4.60785793140039","-8.95158847284654","-3.97940910631113","-0.338627406909961","-5.11975792762764","2.64562769697543","0.105887420514594","-2.94452838839808","0.952718229853736","3.68540172821025","-6.72056510479405","-9.35537616366267","-0.873943420264203","3.48338333649962","-5.64194888799057","-0.994357447145152","5.2085916455961","-4.9933646189418","-2.15408136545323","1.36022064403341","-8.18802998878303","1.56399297312329","-0.583947176047048","-2.39116536809893","3.57773087772419","-4.92965864409805","3.16733830619648","2.96239768876786","0.686022974006342","-0.792057345378555","-7.83385837431239","4.89949546062639","0.285250394092503","1.00646907194086","-2.77568600180021","-1.60689329697015","6.60200294011185","-2.21656442882332","-9.51240245934072","0.772635025890273"
"Random_Vegf_72_0010","-3.25677287020519","2.33213912156648","5.57888705515714","3.26159508018449","4.80811436925991","2.07128466417516","5.23519174266446","-12.7249930292463","-2.79821480111395","-0.47430092423203","-3.86208912849235","-1.26985259304939","-0.633093504670801","6.87509337908929","-1.48463205065517","3.11419858309998","6.39577680612891","-4.77158379746902","0.268637083537297","0.871419121306709","-4.13578187269986","6.88921412031009","-2.09477151419484","0.0993819323686406","2.38689800510081","1.03992162319675","0.358902398400661","-3.88909961614505","-0.342654640809924","-1.20568586018787","-3.86144810732167","-3.18906679812979","-4.06908236790774","-2.8849603145906","3.08234576460426","1.59559172255763","-4.25627202942713","-3.04775324684424","7.14694628615081","0.00929104105361962","3.40101388673639","1.28786119949903","-1.37352968707595","-3.58118128482594","0.11114832026377","1.05054093771243","5.10742202787026","3.36937402729424","-1.94597928877581","-0.554161905716625","3.51919232276248","-1.29553934598903","-0.743308115031673","-4.43579511453602","-3.53439415177893","-7.15976758631587","-2.11250732081034","1.1722468500095","5.11925007519976","1.12682781863512","-3.28753069614569","5.83806648481945","-2.7422129979368","3.67610461142757","1.03862498868738","3.37395380932133","1.47035062391869","-5.62415492468294","-1.19362337165975","4.3780266411588","-0.072225107953442","6.67643800010586","3.35991013489419","-0.935249534183023","-6.8584246827117","-4.38494324653775","-8.91651638845618","-3.81735218014657","-0.408557803705784","-5.2600012720539","2.44822471049273","0.0416474697726146","-2.96030325451689","1.02855374540192","3.60396396951535","-6.65225525839886","-9.21126279090411","-0.748655974435796","3.59773623856119","-5.45167297940469","-1.11621856520166","5.40605295697195","-4.78850163187971","-2.29097649609293","1.4192868323547","-8.27485272939613","1.69490018700124","-0.440073742791926","-2.21676737593959","3.50879956370822","-5.05017279926939","2.92517875958581","2.99397030537616","0.724996436251619","-0.710841164878966","-7.4803998172793","4.78634889483002","0.244228081473356","1.0287282006459","-2.63697446731312","-1.44376525801664","6.19942150107699","-2.04296465180251","-9.5261981670288","0.716354295443842"
