"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_beta-estradiol_289_0001","-3.09008518107701","2.11898568293334","5.53576635351382","3.55212364425562","4.84274693804125","2.04664142873099","4.89210521203348","-12.0787962674646","-2.64279784650303","-0.486960859957958","-3.46628505096327","-0.821034693382231","-0.529053831541047","7.02296521719223","-1.47854761892204","2.7316855686787","6.49795176946085","-4.90269679810514","0.292756887914395","0.962631687327158","-4.35503208375306","6.89366446006499","-1.81742367528361","0.0412047919057623","2.48256161075627","0.729669359357509","0.260105097054248","-3.70663214759234","-0.607653314385094","-1.00110437134019","-3.7877510475811","-2.74745563408303","-3.8861950767043","-3.14287782873756","3.63429525941035","1.6594213144205","-4.28543091515791","-3.46985475342186","6.93742967729276","-0.0108149811455773","3.54956507651903","1.40905918949596","-1.15028265460785","-3.48766859850674","0.611673987904932","0.844173555065332","5.2743638235069","3.43751278843793","-1.89662354463939","-0.401934726488943","3.58680619460619","-1.10443942107289","-0.604965135043959","-4.15820295160758","-3.82770382188555","-7.1927223508337","-1.81248335552043","1.73094735616676","4.99664507363135","1.31969081193288","-3.12036146450949","6.03783223773163","-2.55340019465769","3.76315454687247","0.873413930467332","3.64906020583617","1.21201014001501","-5.58855404112612","-0.504012809527423","4.67587871854374","-0.355194139623335","6.46711578523766","3.22884335527462","-0.621805526159501","-6.59503699984194","-4.4900219553793","-8.36539165427722","-3.97198733076916","-0.338663693198069","-5.1068066444541","2.82782657909928","0.363102421242136","-2.85129779753119","0.843030660631034","3.7812350696578","-6.3915757298831","-9.00097986255187","-0.91929017057646","3.54694104436009","-5.71513208957617","-0.789837430002544","5.03152236230897","-4.3754228082045","-1.7759167962761","1.40538873254238","-8.70472076002527","1.62759998804376","-0.281714164844032","-2.58971529610973","3.94549049153343","-4.87474184808589","3.21182801608366","3.13433529417944","0.841079872332897","-1.0493986892297","-7.30459336879849","4.7084254751041","0.29780202246275","0.353008269022165","-2.76141944845444","-1.34331787315973","6.21241724722746","-2.11434844747577","-9.30249739255204","1.03716196150939"
"Random_beta-estradiol_289_0002","-3.76755192806969","2.08291426780836","4.93315621801252","2.61455968325035","3.95153367099493","2.22039852122","4.95954838202991","-12.2255088506218","-2.5154732158854","-0.164577340734946","-3.73423560608483","-1.07520692516493","-0.634456366248116","6.48878846699183","-1.89062403306009","2.17736344361416","5.73361591019297","-4.16794535506997","-0.0186113979166533","0.158919143181804","-4.21856233877986","6.34668874741656","-2.03623889525924","-0.452716236760351","1.92538832681895","1.24317750906708","0.254609625852571","-3.60253993546041","-1.40121191576339","-0.915276788267725","-3.18220944930071","-2.70289444079309","-3.48827305329516","-2.83548299702181","3.01733637594025","1.65653098330242","-3.53654585595373","-2.30370788869005","6.43762850391679","0.368412478427741","2.99350586262492","1.13462542339884","-1.28025310318849","-3.08382324004433","-0.177442714916618","1.20680607388587","4.35396800994519","3.37775916014822","-1.5233539125643","-0.735578372742166","3.10258936531026","-1.27336288052484","-0.514203588517093","-4.77328853630158","-3.51598599139494","-6.40886275259083","-2.48337735614019","1.10821230492833","4.87382828057555","1.33704151126663","-2.38207123644553","5.7670960235217","-2.62084467859701","3.17201288279845","0.923963077778809","3.22821622743974","1.81541050065654","-5.25807641506673","-1.43366234759801","3.66858027400247","-0.445703566180847","6.23312499225939","2.87615196642118","-0.656592863486691","-6.04950476496467","-4.01560607485701","-8.75424904233217","-3.81914731116839","-0.0370435786776966","-4.80197234372179","2.29536590025017","0.15787638365363","-3.0152030467761","0.339981648175459","3.20413104236335","-6.00812745700945","-8.65442382378326","-0.781649697592596","3.34403645880488","-5.47567600226197","-1.11856078616219","4.53320003250817","-4.45910154865703","-2.40416880019429","0.735761086983204","-7.84924101655224","1.1471657463731","-0.104619616676386","-2.05036079990232","3.11103862324318","-4.63545596267024","2.69361971704877","2.46151948024775","0.962031054407584","-0.331826165935558","-7.9059496190423","4.55379624667584","0.315019459831625","0.767748690876624","-2.54420053422351","-1.83208602237722","6.07505750952347","-1.82677021711669","-9.04590727732921","0.844359749940707"
"Random_beta-estradiol_289_0003","-3.3265649253707","2.00811980290964","5.13416080444754","2.97164231245061","4.74170416335177","1.83205418497005","4.65006271522736","-12.0059371624477","-3.05337574389039","-0.394513336929949","-3.71582984353341","-1.27784021806422","-0.557621448589819","6.68916640752219","-1.39422151359128","2.89151150491958","5.87055234568561","-4.69068117259453","0.0520046998647615","0.770935698708028","-4.33831345909612","6.57274689176493","-2.18694013925121","0.387938882974847","2.11145558665546","0.922884545633855","0.300485952809747","-3.59112060612955","-0.642667662044512","-1.115286973516","-3.80202016518161","-3.3250644203632","-4.19242479592556","-3.02122174973499","2.73485831311009","1.36417597107638","-4.04598834438341","-3.2086459956729","6.58066662116641","-0.203195248619887","3.25858173002392","0.708621418658709","-1.18273095046211","-3.40309371944901","0.322686426688226","0.886940438817858","4.80086352406583","3.27783285845132","-2.15446222889596","-0.493926838403514","3.46269024935124","-1.24277540281112","-0.76959619034372","-4.2553931150771","-3.43577719965846","-6.83652462518051","-2.07301034389925","0.964256821243563","4.78105904278885","0.883649405294296","-3.02711685924385","5.69163215748004","-2.8281833421526","3.75728698261569","0.847461664838645","3.31436523441937","1.5415321487745","-5.97297263802084","-0.902504805720058","4.09694560731166","0.0515461354103229","6.40359306337858","3.19193440953853","-1.08761108878172","-6.73839792743391","-4.18434795690266","-8.44196871856189","-3.74083526236885","-0.566961860302768","-4.7257918805173","2.5442245892264","-0.258865739394117","-3.04164111045158","0.759022572018942","3.78563808691209","-6.21521619372217","-8.71501201679515","-0.911693669162803","3.29394752581995","-5.8862256782259","-0.886346921553729","5.02416855711539","-4.58925246740038","-1.83806981413288","1.51923570915053","-7.85089893186086","1.7587462819407","-0.515401129510059","-2.10202947207838","3.12047129569895","-4.86182105132494","2.7256966248098","2.86972756531795","0.531010616342361","-1.03667762825424","-6.94097055475626","4.75856705474101","-0.0200582792083539","0.818581212985026","-2.75474287338574","-1.47422077535583","5.99725737883013","-2.23356860368444","-8.97690455640713","0.447554657618528"
"Random_beta-estradiol_289_0004","-2.78728185871829","1.97846767480514","5.3832567320408","3.16965006156843","4.52560809448928","2.02668439239016","5.20761537614995","-12.1353518531405","-2.58554994404981","-0.48814279741564","-3.61936084511307","-1.30824451076547","-0.59145035107918","6.44217468279238","-1.3390993149838","3.01425864693017","5.72051549159699","-4.25607210663049","-0.0302967462098824","0.953427707553457","-3.64343407615963","6.37516649414383","-2.13842882367103","0.227062021720564","2.31235456971388","1.09480561459888","0.869254499795902","-3.51592820050842","-0.136553883931086","-1.02677647909033","-3.58891330017062","-3.2241306615894","-4.30728190652658","-2.72497447977413","2.77753132593393","1.89905653198606","-3.93792301164052","-2.84769200308613","6.53260423371588","-0.06642623552152","3.28488150002834","1.17663593847643","-1.34789764489516","-2.97529612367716","0.341999716209985","0.912662120703938","4.83383376724533","3.26681260072082","-1.69815383537923","-0.379626702081031","3.20634008945024","-1.09347944948911","-0.730246244457286","-3.83179170924975","-3.58638673886756","-6.61449638118553","-1.78761825890415","1.00829732655399","4.92642666588183","1.22816386544821","-2.72971057557566","5.55020235806999","-2.42290530908176","3.51176174421549","0.99051904867911","2.69614229777274","1.48471562846081","-5.78612944053573","-0.703844909849051","4.10580999776471","-0.352516836147218","6.07800927136406","3.20254018749617","-0.982952733839119","-6.53215829792113","-4.43789328709186","-8.69331172084436","-3.77947587701559","-0.299481347854706","-4.7165356920736","2.19386343671716","-0.156233322253933","-2.74365918836485","1.04399900578227","3.23191812657827","-5.83110693432796","-8.71962118430754","-0.864149127549886","3.3201706924442","-4.81649057825766","-1.08792361388751","5.2035329916708","-4.27569538377495","-2.03729746195682","1.52423781857945","-7.92785310009358","1.68803196374171","-0.394158125194295","-2.06349935377928","3.1391332159997","-4.98044708492771","2.31378759952037","2.88549294056861","0.764553014039144","-0.574285816811087","-7.08655207409054","4.31902441330689","0.108702769405208","0.884098184971591","-2.34527002383837","-1.28627122071242","5.67117587661025","-1.60206283450784","-8.80323173089885","0.423550310638093"
"Random_beta-estradiol_289_0005","-2.7141247963986","2.22951187476971","5.38781906954189","3.43415673484021","4.61065779953348","2.30825128712234","4.83191208449016","-12.2484305592953","-2.93038442707908","0.101957491766949","-3.52186958721642","-1.25319120131487","-0.540273880984276","7.20420877789547","-1.27158538387728","2.97711396307951","6.06101591380862","-4.17060215773814","0.230087803057948","1.06201519831397","-5.21892735963172","7.0236434458533","-1.72916991239945","0.159192326604674","2.09967811314127","1.15900486701022","0.52139823734664","-3.45157771314003","-0.949079588970311","-0.897086583433403","-3.7854428898193","-3.12838683392904","-4.02723809097195","-3.25930572734035","2.72392607401746","1.79871485861202","-4.04206590996331","-3.32969168469394","7.14364653890159","0.415075299350717","3.41118849247785","1.44363213205255","-0.951984100818303","-3.19472025311154","0.0608575283093224","1.14393186570028","4.84881530616627","3.23421306484304","-1.91059540378792","-0.461739239552931","3.40436677221343","-1.08411981334799","-0.755734747815199","-4.22241555143327","-3.26442767848289","-7.05692162679565","-2.14601908847733","0.863293840105858","5.0361492614193","1.1184114265226","-2.7631233394084","5.4248150540041","-2.59855096899994","3.60072949711098","1.30135293193075","3.00879049856779","1.64514601669808","-5.82942320719595","-1.08374187584221","4.23092082749373","-0.197601195922491","6.66904426016747","3.03852659729118","-0.775520856981318","-6.25065109460184","-4.4655113601363","-8.73807606827134","-4.28533783430424","-0.48185876586848","-5.35634428958924","2.83327696269325","0.475532430126513","-2.55163604656218","1.17950548609028","4.40939766450482","-6.28272304528383","-9.27656327653418","-0.753690756322444","3.42918323614415","-5.23250816074784","-0.612919506874291","5.23263223703708","-5.82835527623891","-2.21253057814009","1.45071007026694","-8.33666732584038","1.36325842052401","-0.179480040374925","-2.20364554960523","3.17612613059584","-4.41580740248444","3.11510165263453","3.24912316837277","1.38639590877689","-0.878114879037309","-7.36912468526035","4.84097865148136","0.440597188023385","0.697353360641823","-2.95308737193901","-1.57199934395399","6.50414317453952","-2.13039952591537","-9.05585746588281","1.49102757001807"
"Random_beta-estradiol_289_0006","-3.20590380599903","2.01421317109043","4.9591324773219","2.66936318821822","4.43980055302619","2.07130440233635","4.65069247835301","-12.2712178077606","-2.74587669602427","-0.249664549377413","-3.43584542759513","-0.993783969758907","-0.411912599690738","6.682798700349","-1.27498267647972","2.66446874404129","6.2980683529536","-4.59685109158003","0.504843849618662","0.978647382794487","-4.79467712538174","6.60194120623966","-1.76150686978521","-0.128881954959738","2.0211548431457","1.1292628801529","0.599234716808626","-3.37096381894155","-0.697481920987318","-0.970502850584517","-3.62493923885983","-2.66893817974528","-4.05664521217054","-3.44341249030378","2.82973507759831","1.75677934227786","-4.39110572336644","-3.10336045276794","6.95958323503115","0.0510601235770447","2.88467900488556","1.39514810340172","-1.01096271940608","-3.71535740629332","-0.0576348428605549","1.37003334253102","4.67936214433688","2.88731402747156","-1.77067051653736","-0.974117652407377","2.96524228578084","-0.822556653394391","-0.58215177242814","-3.96145120613858","-3.13600417444003","-7.29319378617992","-1.79975155595476","0.857311733794173","4.89841144789017","0.749872595814495","-3.41492482569959","5.43272665856588","-2.50716379001324","3.44764146394433","1.16019709021462","3.52501337810977","1.70289598346031","-5.49079693708319","-1.4201770767448","3.91816282280002","0.0695299591706385","6.57216151796123","2.9579519997791","-0.681146220422747","-6.92898028776476","-4.25060368720122","-8.86680583554269","-3.94632583200219","-0.799581462902769","-5.55265369498944","2.04717880231952","0.311304289461523","-2.75243281633112","0.890569931571284","3.54462665842208","-6.22364841400978","-8.9519576177814","-0.578094406967245","3.52766884102678","-5.5216114639774","-1.17090630375675","5.28971644539207","-5.18323669614285","-2.45729038983584","1.15524284102968","-8.52666476963669","1.28451187633307","-0.406604923694106","-2.34055069740399","3.16422616423732","-4.45433569692633","2.77347332512503","2.46347939790462","1.00923993518727","-1.10104465041118","-7.53183770075777","4.57310171219397","0.186566379900713","0.467885511969065","-2.84054859947608","-1.41974988881324","6.01201120814","-2.05011381240765","-9.15674279837572","0.831114021216441"
"Random_beta-estradiol_289_0007","-3.14870761113867","2.12119057975031","5.49173667729868","2.95671252043587","4.83450915444907","1.84575895703043","4.91589532212908","-12.6545720483408","-2.60213704150475","-0.476611158558427","-3.59788085204621","-1.25556156330748","-1.05778392565776","6.59213406001481","-1.42030870262872","2.84776522063072","6.02434722396486","-4.69169991189639","0.115737698962766","0.696227849369428","-4.05392888965834","6.60803589420623","-2.33402142743863","0.303264642884194","2.42266400738181","1.16954667682291","0.441328795840468","-3.93562871574221","-0.390735879229925","-1.02918201549304","-3.58932766332365","-3.19113998718903","-3.81099652140461","-2.95415081082522","3.40100201261153","1.64051248445773","-3.64311956860755","-2.94531387210171","6.59611052424399","-0.17115575563773","3.35496794977854","1.25013386540867","-1.27685602567819","-3.56985648222165","0.114616065597744","1.19752320878545","4.91235317887476","3.38935362308394","-1.94029173301272","-0.378712175784869","3.49415800502212","-1.51248534045859","-0.87846689873476","-4.54500989467828","-3.4016619242815","-6.76172650139953","-1.62749886961377","1.51702803983245","4.91811693436874","1.52243669994654","-2.78575523755461","5.74626898007411","-2.682384714393","3.58041295144604","0.719013423054659","3.33956149580661","1.51390931404141","-5.67219731390214","-1.17493934697949","4.14935191675928","-0.284394208705174","6.24184827730726","3.26156098395684","-1.19156129586604","-6.48462946854091","-4.87540471723904","-8.68822263898212","-3.39160971061418","-0.411279051013888","-4.87906152913752","2.3634957479699","-0.0436489915539946","-2.99883541004679","0.644085214918449","3.34154410814258","-6.57607486327883","-8.80177760015004","-0.888488498389112","3.62450365303457","-5.84272321915667","-0.887241391738621","5.12107159162858","-4.93864728086489","-2.30313988837815","1.34601890485143","-7.95049718489045","1.54536178039162","-0.651263077922062","-2.1266293490655","3.75519261159323","-5.04954969294308","2.90108962829066","2.89300772437689","0.549236627791898","-0.928512620432923","-7.43995061757256","4.7001668879385","-0.0483133586502787","0.770189631736161","-2.66249628624015","-1.65854579939648","6.33706209704002","-1.69366237720867","-9.26200093343416","0.620057266719298"
"Random_beta-estradiol_289_0008","-2.7678797092805","1.72456136807015","5.17849159615915","3.22010397180319","4.62653621397098","1.89173548710474","4.67410789292815","-12.1602282317795","-2.51900662692082","0.076680796338799","-3.32302330252445","-1.07757035798579","-0.430191588727118","6.54757515794521","-1.32174592274062","2.5221059085505","5.74690721894242","-4.23022790839912","0.493931233802007","0.472980062901677","-4.20736742624832","6.74123981389142","-1.74767727603379","-0.168069644219766","2.22650650524551","1.02236526372036","0.194666295321056","-3.6042858168582","-0.68307451501527","-0.72324220186848","-3.61266857780195","-2.88327965495677","-4.00438573257774","-2.88547661924499","3.08471817310654","1.5965590246862","-3.90717812336609","-2.93556681679591","6.77115940394704","0.110150392487151","3.14067847093081","1.29211887454587","-0.801989029752843","-3.09355370182588","0.122485974946367","0.332351664232167","4.56172976347943","3.3953071321036","-1.78698171797686","-0.80331082820843","3.25341798510691","-1.42090739108412","-0.717286349693782","-3.99073257655511","-3.13420038691949","-6.64549551413606","-1.95150156733904","1.20805829773546","4.65632617510872","0.769243082653834","-3.08970765671408","5.78499771925023","-2.81892711834077","3.75027223715107","1.11722978116169","2.83858697255075","1.61996103192645","-4.98336139255698","-1.0784961788178","3.97220291218908","-0.182444830936809","6.38332794408831","2.83806761919399","-1.12715243286471","-6.16405914844781","-4.27515962284169","-8.61086571023138","-3.88110882784534","-0.373967143064928","-4.62109393334718","2.4246361061723","0.424877397662116","-2.83209210613338","0.664347275370964","3.68563260556224","-6.25295516594739","-8.86682200461389","-0.494618520335131","3.43308512535524","-5.76452789863543","-0.897320555323275","4.85193732368969","-4.96253544391229","-2.3051109332685","1.19878147067992","-7.68043097160652","1.64845845874258","-0.28208237795614","-2.30817613234381","3.36472122019959","-4.79446162678038","2.81161117229465","2.7167076824415","0.856267897019774","-0.923525910623737","-7.11051959222763","4.69203409412696","0.411707714812689","0.886452319546538","-2.43866270127868","-1.93972521614575","6.13914757377863","-1.9214464631425","-8.88592585570735","1.19255829020614"
"Random_beta-estradiol_289_0009","-3.12874292874669","1.95993150891741","5.30017300825726","2.94610762298225","4.66353500890463","2.13059599873077","5.06969449656169","-12.71457938398","-2.88092920775779","0.145399115814727","-3.33593881514862","-1.09812632104552","-0.478280489341459","6.68336424073692","-0.936042041385242","3.12047609170034","5.83284446069429","-4.80899613869387","0.476833978832162","0.877686165782797","-4.54410423148079","6.48614801328851","-1.59801771120531","-0.0442370890151228","2.06815980030886","0.842998238121558","0.195453765365956","-3.36850259214726","-0.772553723304433","-0.888587315249042","-3.95830993635071","-2.86253322160517","-4.36614603230956","-3.10145043713691","3.40547070178207","1.47889717275491","-4.30958896223762","-3.41105417865115","6.58264285196258","0.137171122782739","3.46654856171533","1.68627544205378","-1.1996646723209","-3.50046852368694","0.481580390446442","0.804044748378931","4.9194361692182","3.15392673957565","-1.89904725351616","-0.557602913794155","3.38333967658228","-0.863971280574074","-0.646460094043584","-4.54832019277332","-3.77758352430975","-7.40752740762114","-2.44716155775225","1.65589437849691","5.16842743794614","0.554351656244013","-3.19338368421552","5.73354517804426","-2.06517403385117","3.60215208257484","1.13543382171973","3.46700371771946","1.42032032286732","-5.75277975483544","-0.739650207263208","4.09639305110361","-0.383153852418763","6.18889350463488","3.06928835337855","-1.32774141005458","-6.91096424400879","-4.3947857527506","-8.85000802094951","-3.91695562843654","-0.373368926774007","-5.27904176976644","2.52530302710487","0.669413771902162","-2.45324171575504","0.803078571089431","3.86481038630117","-6.12205950057805","-9.14771484040643","-0.795858568762103","3.23018049267545","-5.85322221314564","-0.940747120270323","5.05676457187934","-5.28361759938562","-2.27802343920241","1.48989908767128","-8.67362279455755","1.59142892637606","-0.296820134962457","-2.706153271699","3.93224159234355","-4.68562625620608","2.90105978829697","2.95795102163143","0.947611198935807","-0.800976330958577","-7.42170930489175","4.4412533565385","0.583733139237218","0.29611440818258","-2.87011076093613","-1.53300918724315","6.13256858025893","-2.05161895340906","-9.29845819282628","1.30634006969868"
"Random_beta-estradiol_289_0010","-3.31190162745643","2.49906181211325","5.26235795770099","3.20752405076146","4.22569859895679","2.3287196090334","4.65382966244917","-12.2382729746718","-2.95191987092362","-0.458854086372236","-3.55431413063881","-1.11557453244939","-0.980913713521028","6.94294092935924","-1.37742947660322","2.83586047858515","6.73558475406761","-4.10884609473603","0.119248437078327","0.949399395310034","-4.25729254919028","6.74022739399732","-1.88113781604154","-0.0499129210083306","2.2364273376527","1.06607907381385","0.808240648805559","-3.49174186952313","-0.809839215506344","-0.914149657831727","-3.77266731337233","-2.91042507048074","-3.67092111704532","-2.4969117468378","3.08800463880108","1.33247279364284","-4.13540249614379","-2.65045982084922","7.27184760546715","0.604351436964654","3.30214503424106","1.55234898239312","-0.565415099232905","-3.12266685767088","-0.228376138545446","1.36178383268628","4.87832271286723","3.46069369838321","-1.3568623096573","-0.594147529079137","2.79828365074207","-1.61501460459113","-0.905132583751756","-4.08205805154269","-3.45295527000761","-7.2666334922018","-1.90065298998579","1.13584643305823","4.92143311224991","1.10037789291771","-3.01854231106396","5.63684809906163","-2.77690200096675","3.3225281247274","1.05564659517674","3.71464286031088","1.32481894515884","-5.52926512467225","-1.56212890254912","4.27137894272404","-0.122114493581978","6.83167092697457","3.37897244552003","-0.795541856858801","-6.55391386329962","-4.51706026333775","-8.32261681448518","-4.00174210356132","-0.10865527989035","-5.0760855149647","2.57779089417706","0.633400903837325","-2.73827180090577","1.20983026882449","3.62644098776702","-6.53060276362816","-8.75958108787212","-0.840594530762179","3.39452283943548","-5.03127961523992","-1.26638661199701","5.17838410851016","-4.61369217457931","-1.85030783006856","1.59050233147744","-7.88613653046436","1.54556351365118","-0.399694651948515","-1.98208411114684","3.34340533139851","-4.83172202187762","3.2004708084657","2.85506045027586","0.992996034781603","0.0264752721348593","-7.32370792610936","4.50148223371732","0.477222869484242","0.777209114598253","-2.44135065960863","-1.54343117601188","5.98265350779483","-2.10478899994233","-9.02840318338974","1.15969117195301"
