"Run","control_10C","recurrent implantation failure after IVF_10P","control_11C","recurrent implantation failure after IVF_11P","control_12C","recurrent implantation failure after IVF_12P","control_13C","recurrent implantation failure after IVF_13P","control_14C","recurrent implantation failure after IVF_14P","control_15C","recurrent implantation failure after IVF_15P","control_16C","recurrent implantation failure after IVF_16P","control_17C","recurrent implantation failure after IVF_17P","control_18C","recurrent implantation failure after IVF_18P","control_19C","recurrent implantation failure after IVF_19P","control_1C","recurrent implantation failure after IVF_1P","control_20C","recurrent implantation failure after IVF_20P","control_21C","recurrent implantation failure after IVF_21P","control_22C","recurrent implantation failure after IVF_22P","control_23C","recurrent implantation failure after IVF_23P","control_24C","recurrent implantation failure after IVF_24P","control_25C","recurrent implantation failure after IVF_25P","control_26C","recurrent implantation failure after IVF_26P","recurrent implantation failure after IVF_27P","control_28C","recurrent implantation failure after IVF_28P","control_29C","recurrent implantation failure after IVF_29P","control_2C","recurrent implantation failure after IVF_2P","control_30C","recurrent implantation failure after IVF_30P","control_31C","recurrent implantation failure after IVF_31P","control_32C","recurrent implantation failure after IVF_32P","control_33C","recurrent implantation failure after IVF_33P","control_34C","recurrent implantation failure after IVF_34P","control_35C","recurrent implantation failure after IVF_35P","control_36C","recurrent implantation failure after IVF_36P","control_37C","recurrent implantation failure after IVF_37P","control_38C","recurrent implantation failure after IVF_38P","control_39C","recurrent implantation failure after IVF_39P","control_3C","recurrent implantation failure after IVF_3P","control_40C","recurrent implantation failure after IVF_40P","control_41C","recurrent implantation failure after IVF_41P","control_42C","recurrent implantation failure after IVF_42P","control_43C","recurrent implantation failure after IVF_43P","control_44C","control_45C","control_46C","control_47C","control_48C","control_49C","control_4C","recurrent implantation failure after IVF_4P","control_50C","control_51C","control_52C","control_53C","control_54C","control_55C","control_56C","control_57C","control_58C","control_59C","control_5C","recurrent implantation failure after IVF_5P","control_60C","control_61C","control_62C","control_63C","control_64C","control_65C","control_66C","control_67C","control_68C","control_69C","control_6C","recurrent implantation failure after IVF_6P","control_70C","control_71C","control_72C","control_73C","control_7C","recurrent implantation failure after IVF_7P","control_8C","recurrent implantation failure after IVF_8P","control_9C","recurrent implantation failure after IVF_9P"
"Random_progesterone_124_0001","-3.37623531259282","2.26741778409293","5.59993565521112","3.18808697991768","4.83694485694112","2.07763420005113","5.3747374455805","-12.894118841805","-3.04238474990633","-0.529405075498882","-4.12805893857371","-1.45845042770455","-1.04003344341864","7.22544142520316","-1.79254327323894","3.22055141146782","6.51014823203786","-4.43378392230481","0.11382291415844","1.11723564122673","-4.3150886252434","7.02639792502352","-2.22703039998615","0.478166062545588","2.03174198538713","1.19180256262763","0.735238098495282","-4.1377675372008","-0.364508850050312","-1.3633880375828","-4.13431705418757","-3.32644179281513","-3.87137346328129","-3.00134615287618","3.09401140733549","1.60697430801227","-4.41851010484539","-3.29707183619279","7.0822291069807","-0.075189707798558","3.46874132865842","1.18638980527068","-1.27174225308588","-3.84103452786059","0.0121940765401551","1.13034649435981","4.91720259369588","3.27336706520499","-1.91056831270031","-0.685362024318057","3.4382904550261","-1.60532138335107","-0.910664050519462","-4.5411052708536","-3.48450461811578","-7.28411864187044","-1.90064837191545","1.0508333320526","5.06458163215154","1.49523499324058","-3.39390338884398","5.75787846744887","-3.22073666154095","3.68791632958347","1.06701604814728","3.38217022854789","1.64825738556219","-5.69781323381232","-1.38617741605304","4.58581802862089","-0.251413840464831","6.73709414640514","3.18271466611932","-0.735375632597649","-7.0856640573544","-4.84614782732475","-8.98841725776154","-4.35660665396416","-0.46648799409812","-5.40098107518853","2.38094110590843","0.0775101946180743","-3.15101506867837","1.00024408455193","3.89625584760871","-7.06483254108383","-9.06607873825981","-1.07170514359843","3.51054681728872","-5.35518053327441","-1.45884786150989","5.74824180304753","-5.08495476763841","-2.1738360197055","1.46914766379549","-8.52340061115622","1.86904679619572","-0.726733101840775","-1.9568895290946","3.47416078286923","-5.36322729915376","3.11022549453521","2.84511170007382","0.761782066301972","-0.589536096508329","-7.67599794286461","4.60000157811182","0.230708579793008","0.588106968389011","-2.95086088537576","-1.58776299635354","6.10162745913358","-2.17091021041464","-9.782034857378","0.711186205072035"
"Random_progesterone_124_0002","-2.97354400147396","2.26570247017013","5.60231819801563","3.19483301530721","4.95731958027133","1.68324153827172","4.97992119496585","-12.8092789236016","-2.93144461728834","-0.458017661853955","-3.81278881866016","-1.32491768967529","-0.571991089122221","7.07119031368669","-1.68806843786913","3.24466274294487","6.30792784091611","-4.64247560417182","0.126389746866377","1.16497483297031","-4.09963641897296","7.08772266378441","-2.33775964351682","0.454778321616739","2.11449613955551","1.1886189333294","0.493797989764522","-3.84037414726293","-0.504969107121599","-0.96677017407113","-4.02098085472433","-3.16910989128656","-3.91836859503475","-2.93808914551858","2.98701084975664","1.67951231535545","-4.4322268303794","-3.31728178069293","7.10406859590902","0.101576099645003","3.51155169575179","1.27380410695664","-1.05193054687774","-3.61601993743576","0.308747175456959","0.810111182445239","5.00597283578341","3.40098240731159","-2.14833745393817","-0.563707081769022","3.72617840993285","-1.37352568817913","-0.750907455236723","-4.66649284817908","-3.53738509745035","-7.33185212816619","-2.2571168390515","0.983299887044199","5.17054484839891","1.1406287290984","-3.43044008954767","5.82703963307444","-2.99787955695478","3.84314144755936","1.09947225028376","3.24032550500213","1.78494513337124","-5.7023065979252","-1.15183240750524","4.60174049674647","-0.0870974249591445","6.71119106269948","3.10211735356934","-1.08003785493211","-7.1252298648078","-4.58631813910663","-8.972850848606","-4.10918271070641","-0.49213498127287","-5.11741020462438","2.45305795267791","-0.171068183254351","-3.27578410645756","1.12352531753861","3.78974203649911","-6.85777018347607","-9.2499651154055","-0.676063543013836","3.43647355000206","-5.67613217057622","-1.19875416578582","5.4842503248515","-4.74275622953247","-2.230697213389","1.64296681923559","-8.34806681212434","2.03335957485795","-0.51594234350318","-2.31559520531649","3.36780193574674","-5.32226914739122","2.87472945278341","2.99580661942296","0.535511669096672","-0.736186561485356","-7.32257554104274","4.65785917144713","-0.0599653121826266","0.826172817957793","-2.65688632310655","-1.57108376784002","6.24351132871759","-2.19312031371567","-9.56932404881006","0.451000135413501"
"Random_progesterone_124_0003","-3.47251260872457","2.31284936682657","5.76810464710974","3.41199322487986","4.78346922562021","2.57743849821532","5.24875720486753","-13.2590360006273","-2.85718552565748","-0.432381013084136","-3.68197731117756","-1.27385308515303","-0.702665016256598","6.90810927904532","-1.30676229709093","2.74296114129966","6.68371150112829","-4.70758642933602","0.157778689851018","0.621235880261956","-4.4541892842564","6.98587548446053","-1.76306911965892","-0.0462038127218079","2.30230616464444","0.850798376081074","0.2554149264183","-3.62783370363382","-0.952647720502967","-0.973196165692367","-3.68055042512211","-3.21745562381532","-4.29022142935662","-3.19197181440249","3.57997138476184","1.45327638682893","-4.378325382107","-3.09667381631375","7.08549515910857","0.308050408464898","3.42471309355802","1.55935852587249","-1.17481191423411","-3.44622668919602","0.190287070626851","1.04128744034082","5.13993159427965","3.52799074679903","-1.60538071017292","-0.558030624096943","3.17859659027908","-1.50283316061806","-0.97680784590074","-4.77200932011472","-4.00479853715314","-7.22172039432035","-2.58102230629872","1.69693784394422","5.15398729854067","1.02384089353191","-3.36696320294921","5.98401058214346","-2.56054071582341","3.65869365439249","0.9068302889163","3.84296605292845","1.32425209083533","-5.87598042512431","-1.30748980111407","4.4629463868377","-0.695800217331467","7.02556296994478","3.42974059140876","-1.07830847748258","-6.71800686634087","-4.64318111574202","-9.31068433106407","-4.08995791360242","-0.41662116955347","-5.43643662094207","2.6495674759023","0.523659054361205","-2.71337382821322","0.751405164258994","3.62562096136889","-6.50488476300515","-9.20398711717686","-1.06660070399555","3.5568005012276","-5.45568155495687","-1.11412635941101","5.3887051220814","-4.9781926225328","-2.20667973955468","1.36345393711745","-8.41349289126086","1.50783558898092","-0.262869791579089","-2.55885530859974","3.94190969830022","-5.00045923160083","3.31013123965384","3.01233054416957","1.03996004458928","-0.556963528850325","-7.75900094677624","4.80868809362429","0.57209328569951","0.510898063968413","-2.95928050570935","-1.73195012388261","6.39938750917789","-1.93808910280956","-9.93743853796964","1.12468389902496"
"Random_progesterone_124_0004","-3.11082506821863","2.21586064172917","5.35118207688272","3.3042501121921","4.67664610030575","2.08470036599036","4.94592722126979","-12.6769719438871","-2.61067686184337","-0.295987075465401","-3.65216296974097","-1.24942157438045","-0.48560459732363","6.85429035884363","-1.3281071783465","2.75538539717955","6.55342774438623","-4.46304716025351","0.157418349664543","0.722443100658366","-4.34234868645691","6.82010534823005","-2.00168100606122","-0.0525122879132354","2.32434481839737","0.698415601531691","0.152421046484512","-3.71077388769742","-0.754003044322914","-0.898337066492694","-3.67479394620681","-3.20240094907445","-4.11784443147868","-2.8993368676574","3.19523977039117","1.4797855649091","-4.10136866476166","-3.06932277766601","6.92090150486785","0.126415633634671","3.42160016379159","1.26254090476221","-1.31817890647469","-3.51017307946687","0.166943671537333","0.972213972120154","4.93407040740727","3.38828324035556","-1.94227703870438","-0.457385769164491","3.43099516382364","-1.39353822871173","-0.710721909570723","-4.72896730961641","-3.7417883529083","-7.2731120352871","-2.21251407261242","1.2863083005601","5.12696966752723","1.03362960241206","-3.06808087437545","5.96966649777376","-2.66175674397445","3.79874630220778","0.951411817768238","3.44765886408269","1.27315286746321","-5.66774715957906","-1.09247503309537","4.32681552370192","-0.281835016523643","6.68293186010973","3.41646085922948","-1.11648110732464","-6.573569195617","-4.48401166530777","-8.72472805510728","-3.73557655114014","-0.321068269311627","-4.97080760228424","2.69098221992566","0.108477835094152","-2.97910293957748","0.921264065167313","3.76351360144751","-6.43072155588697","-9.0189329186381","-0.799843900199499","3.50392517058902","-5.64945981473415","-0.946035478504022","5.13039012480533","-4.74261156614044","-2.2207079565846","1.12037008912628","-8.3614718837097","1.52884909403531","-0.251773653117751","-2.42749824978071","3.4519250639143","-4.92797805382296","3.10406815894362","3.16844870878161","0.707682204506792","-0.74055888698704","-7.37377895226117","4.8188085137794","0.314392898564258","0.973347496648337","-2.83895816910256","-1.37151760403821","6.35550378495904","-2.15773105531443","-9.25875681955005","0.925105589590621"
"Random_progesterone_124_0005","-3.01092326761645","2.05439769295683","5.49881985089157","3.07361582204758","4.7489813688537","2.07983928015172","5.15040136717438","-12.8415594398329","-2.6072857376546","-0.370925357619284","-3.68637396903558","-1.31489724998987","-0.433570607676605","6.78970835796543","-1.45164817295306","2.94900250457268","6.09784548667932","-4.67769257891412","0.317757703413308","0.870050455934952","-4.2748816923787","6.84141192470981","-2.18317141990202","-0.0814942960801502","2.36882248231839","1.14583802739382","0.347441483908703","-3.76242723077152","-0.602423737707108","-1.03579766488167","-3.77240727082905","-3.10757077753122","-4.17509681661487","-2.89949897959653","2.75249789117938","1.77788443684566","-4.13295651077099","-3.07395034086909","6.83472605494324","0.233529992481682","3.47765107842384","1.28942678488594","-1.15091263090791","-3.4593642345399","0.236516344283583","1.19614004957972","4.92850177541975","3.3707887085897","-1.62494148256507","-0.511316746055027","3.24851789010142","-1.3169229371888","-0.743820430580239","-4.34002192929779","-3.65098412917979","-7.22490934632552","-2.02105034704545","0.793154175141816","5.02624381120342","1.03444954315564","-2.94170566294","5.77227788340473","-2.87849897135955","3.64745808382459","0.975834600680223","3.11368112126763","1.56982325254236","-5.81357839627269","-1.1260856075807","4.28970367365654","-0.183513547593775","6.49580080341683","3.29042527920716","-0.879995511514712","-6.56491146635752","-4.59363325281975","-8.68871226304486","-3.9648609282894","-0.477124418827996","-5.2309120192835","2.33053338813771","0.156885343732031","-3.07979957108833","0.983235605912242","3.68363504710023","-6.71605165390751","-9.15602186912286","-0.744000768271389","3.57822086337301","-5.51068997698263","-1.03047913130351","5.22907463780146","-4.91369803228759","-2.06354964958228","1.29325780918726","-8.13267946468373","1.49405251302321","-0.388905468385144","-2.4541337623243","2.97643095529582","-4.94576720723587","2.69711905599525","2.81549129748839","0.905097742223829","-0.512777840799699","-7.62767810658305","4.8454163567864","0.213625134481229","0.664174433038159","-2.64560791982323","-1.61030107427324","6.27460561347359","-2.04009814231269","-9.43372643879775","0.682939871693559"
"Random_progesterone_124_0006","-3.32225887787007","2.26273196223301","5.48911291316716","3.3142162151068","4.73624085583574","1.97518376376469","5.09069990028639","-12.7913317683906","-2.86629366729328","-0.414449178459344","-3.94210191883072","-1.4735197065357","-0.893264484574958","6.94413610200443","-1.72319681062094","2.8520506578482","6.33384950425295","-4.57444820437052","-0.0281037499710531","0.85442977263094","-4.40624582066418","6.90284769167338","-2.31394001922521","0.183271196004887","2.47142790808355","1.05616804460379","0.549079613397033","-3.99304417134832","-0.552276966791625","-1.28404264920388","-3.90177145187042","-3.28469277763079","-4.12000205355156","-2.93274602412064","2.78743217715209","1.7799984301667","-4.07742404463269","-3.06421267484801","7.09443371656991","0.0357645313059798","3.40042576586589","1.03877639567203","-1.28061770872408","-3.78873828994155","0.285148997118088","1.32705377990327","4.92781406419709","3.72834610318489","-1.85171360272387","-0.332648028329715","3.59161890664323","-1.55782128261678","-0.990662918097864","-4.22357167115622","-3.71787742466825","-7.06917923580062","-1.97536221726933","0.836932719459069","5.28298488366661","1.36591665643075","-3.11888093005506","5.95130284161566","-2.69670802665336","3.73434583391091","0.895399820556266","3.31203022375918","1.45158422736983","-5.75923234395045","-1.25013463262795","4.3819802223821","-0.114304232789493","6.63573703883042","3.38142242901627","-0.781986578274138","-6.61352150879917","-4.68608623867614","-8.70980296229555","-4.14648798705099","-0.638741300162394","-5.00109500321431","2.58522469763748","-0.205257692807796","-3.01126889268888","1.18267066503112","3.90539174376996","-6.72294919560774","-9.016024389779","-0.962251583834691","3.7772737180473","-5.46902524870466","-0.731177739002374","5.20744259514289","-4.69642963493004","-2.10812075055449","1.4830830137003","-8.46366710499867","1.48722342980842","-0.555067830275899","-2.13410034845731","2.98816842991277","-4.96749308928597","2.7181261768748","3.04499362120608","0.683529341242589","-0.779998595452374","-7.45404700412559","5.06733498997739","-0.0787024091918645","0.766658072369545","-2.90508741015446","-1.34876729488366","6.45104009659944","-2.11951368137648","-9.6443633897323","0.807258230057265"
"Random_progesterone_124_0007","-2.95289561195434","2.3733059530541","5.72905611622852","3.39675074765086","4.74353351213197","2.27440011855131","5.22559739876502","-12.7605185649197","-2.813257002086","-0.270335215117767","-3.84424286482087","-1.45599830988642","-0.873565437804475","6.73258891512711","-1.46388780863852","3.16783483258225","6.17611810501442","-4.49861550384484","0.0616068410627123","0.891356676430374","-4.71220788161199","6.62454340695529","-2.02306715380142","-0.0928844544051393","2.59102889778061","1.29253225828845","0.265840736655673","-3.86013206365307","-0.481692746327291","-1.14806635380633","-3.77742839911435","-3.17671133467356","-4.35593180842777","-2.91711857857473","3.04121758507343","1.62118596907188","-3.81435114311235","-2.84702752467309","6.91829507390228","0.303964149803017","3.52969807566209","1.32632821637193","-1.2909604196925","-3.52899924630686","0.138003970631753","1.06057329515766","4.99868540985217","3.38682280183562","-1.67174617149364","-0.391736299689304","3.3902171475963","-1.36389777196602","-0.754795310682257","-4.35247351541776","-3.81276092798606","-7.27309358541086","-2.19620451287898","1.05157000967937","5.27999572842499","1.22535843691646","-2.98718073604662","6.09119193967724","-2.85586003993692","3.609088752065","1.09898200878013","3.08664244063224","1.16852793528354","-5.84694609796593","-1.16666398868022","4.346653975676","-0.362643004578111","6.42683445301983","3.25791123963319","-0.972384658823474","-6.62358084866645","-4.36999699501612","-8.89161716541113","-4.02576967864777","-0.127878143485573","-5.09650385237163","2.6028246928761","0.184707839273247","-2.83552157581695","1.05791439244213","3.75902023140814","-6.57330247680713","-9.33388810685157","-0.667141734626502","3.73165292999769","-5.35082943654609","-0.863955125816527","5.28535678961881","-4.88830148550173","-2.39199926952132","1.40495018577166","-8.52716023893264","1.54544692714858","-0.232336819144183","-2.51419577095045","3.22814625880978","-5.13536446492646","2.93337053878634","3.0369884721323","0.873489991269178","-0.382575718063245","-7.39211014334172","4.63193165433788","0.36238043270336","0.990724590279491","-2.73135021552107","-1.56582670617822","6.22024912881783","-1.89440622269999","-9.53237225683377","1.11913960529987"
"Random_progesterone_124_0008","-2.8202926842736","1.68143138629324","5.07821338526437","2.73142935630355","4.6028711551849","2.25069773998114","5.12928767751217","-12.6464507393857","-2.86286328670068","-0.1391822427103","-3.30849504342187","-0.928288782562741","-0.169817005005673","6.7534278495039","-1.11499431396072","3.32130690509094","6.21589761073181","-4.71131962662156","0.571763532024517","1.05053737587979","-4.72625709020975","6.53944796546012","-1.61532191830388","-0.00148482864723668","1.89680572032021","1.63238238404099","0.65779809341073","-3.3090310350673","-0.764896576190358","-0.493302812928695","-3.70186770166772","-2.50272879175479","-3.55817323812163","-3.42283686993729","3.29511738181249","2.22466675010497","-4.53020265992125","-3.47142372542848","6.72961652586644","0.55106561972465","2.90974708704332","1.899551476975","-0.742559360156445","-3.19563356385325","-0.0885660631689288","1.26886119948222","4.50079446377035","2.90589475154056","-1.56897747036145","-0.930530994974829","3.35245650790509","-0.837861967907706","-0.31458344223523","-4.13059628959716","-3.33960001348059","-7.30665663114735","-1.83892240468178","1.10070461497382","4.58342543834477","1.16230791666792","-3.06629025491878","5.44863884445066","-2.79995320183767","3.23188245434438","1.71616180753235","3.58443203995243","1.91913970901682","-5.56540655276644","-0.698237135872903","4.14023139914023","0.324225119113272","6.17208311165871","2.94935592151508","-0.757165977104158","-6.94349330563239","-4.56887939113769","-9.04796906925315","-4.37366283382766","-0.111258029887681","-5.43283127346412","1.95956983798194","0.607829588289488","-2.86122641984253","0.819584323963438","3.32257040340375","-6.78317936309788","-8.6255409960013","-0.311417304171623","3.08618017918762","-5.68914791115826","-1.56884525111839","5.49560356046164","-5.21089113933","-2.28140572410508","1.27488308651844","-8.64343370447612","1.75569715490176","-0.0753707017518628","-1.93204176806229","3.66680577069832","-5.06399438652529","3.04414612671093","2.30904281914314","1.14339495664678","-0.500416905651571","-8.07982466511515","4.34233405818801","0.499280418814582","0.436885988710474","-2.24484280499791","-2.1413119999023","5.75554364929801","-2.30267804727868","-9.50011838286224","1.07682255599627"
"Random_progesterone_124_0009","-3.13145757876986","2.08154625506426","5.39984735969017","3.2600323742888","4.52003309303871","2.08605546952669","4.95291690020868","-12.4137785477294","-2.92917373011013","-0.186432608367599","-3.71334551090953","-1.08508525701163","-0.523454405385275","6.74398427371667","-1.33136952627472","2.98467073624766","6.06890814984472","-4.45488814843433","0.362531489250813","0.922052001322849","-4.26451861104682","6.60650789858409","-1.83335808401218","0.0147430971366099","2.17471348486625","1.08351382758519","0.478610750895218","-3.46048285761815","-0.506293143561628","-0.949309976438983","-3.93698988549632","-2.92150992776802","-3.88413122232897","-2.89141195084218","3.12580351588494","1.42308174385894","-4.13318024402369","-3.04113280554167","6.8159888070829","0.265258436191195","3.3051074504797","1.47245569692759","-1.01123951960808","-3.29726444241619","0.28512084845645","1.24267850396094","4.91216980445009","3.24483514236834","-1.68811336722173","-0.599913746825684","3.34598519294599","-1.14587223852145","-0.731784441598101","-4.18721447876017","-3.63073477687719","-7.04513182756779","-1.92983498209821","1.13188887560594","4.90843401137129","1.06622881694051","-2.93111406758285","5.5777982412858","-2.59636491433412","3.62551178276262","1.0905493684258","3.25984172785597","1.48761515468911","-5.4618092738766","-0.757229636743955","4.21598631421255","0.022949887136138","6.34928972512158","3.13852797157377","-1.18407800026116","-6.84871315767515","-4.19186731328572","-8.48679145473714","-3.96397566910946","-0.417332733132225","-5.03117645226364","2.37939520056256","0.392804656278445","-2.74202846966462","1.09873524429057","3.57351407277064","-6.34387081150416","-9.18229013696289","-0.738910190626014","3.30694320037448","-5.44651430213283","-1.04870736275405","5.20955214922116","-5.06408503234613","-2.08857833954116","1.35102837875092","-8.27833628246893","1.72075982053013","-0.403360534521706","-2.36447138737448","3.43115117445566","-4.87581424501403","2.7411285518054","2.76179126535059","0.83560719598259","-0.435374187086922","-7.37507896850799","4.41804435385169","0.565452105627501","0.534712477549175","-2.66945622778664","-1.65743063256039","5.98898857141982","-1.98640962980858","-9.07950616718228","0.867530376581676"
"Random_progesterone_124_0010","-3.06816399021491","1.76840359121638","5.34998364743571","2.82479893440931","4.70221629242581","2.12272503066079","5.23457759795648","-12.603728065471","-2.78623873964259","-0.115928700054866","-3.67658410056391","-1.04487979243645","-0.342657538973049","6.89721031981414","-1.44720527322941","3.13030611557387","5.96336121660051","-4.74042877329262","0.352645690634521","0.794228025757033","-4.27333597329218","6.68726148997397","-1.96609182620868","0.018434577521506","1.83481329115576","1.41655714724377","0.360806774098899","-3.621328730127","-0.594465839055843","-0.859912167222048","-3.68211074816251","-2.85835675667049","-3.53733646880513","-2.8023407698655","2.96952378969488","1.93189434097676","-3.97510805510163","-3.10610179706499","7.08292406138453","0.330877930061316","3.0819558340395","1.48987238017683","-1.20867024380622","-3.50936270525086","-0.287962086302871","0.932952735800782","4.75071861584192","3.10846475104243","-1.84841106654362","-1.04370635156532","3.47182913937999","-1.19714345792139","-0.286871276114721","-4.41582424117269","-3.21201287875799","-7.01294953498616","-2.35227076045638","0.776896964230708","4.88900662899325","1.40839695007192","-3.19903908003543","5.78325142280954","-3.09201111539261","3.59952474384232","1.31868471262186","3.05949014683542","2.05090857455745","-5.74675384786433","-1.17537939720507","4.32705044665917","0.159855234359259","6.44413830256705","3.02144082185188","-0.759190876430356","-6.87009514813273","-4.52523335626847","-8.8796860418111","-4.1511665775597","-0.459797130991134","-5.22093197994147","2.0899430407031","0.363380609830641","-3.0803254720684","0.542928369873198","3.54851086471025","-7.03827196346831","-8.77885063560198","-0.484718240738918","3.2104711650472","-5.71294493256598","-1.42556246730438","5.4120955397866","-4.75940500627869","-2.4363470035205","1.31560076501531","-8.12619430456988","1.78190245253639","-0.144717331374903","-2.17605225192538","3.25795650707952","-4.98525684037292","2.59038399585485","2.5308882299425","0.839328250949728","-0.503243222333025","-7.84546353462626","4.45804322093557","0.22885205059862","0.881659194220845","-2.54395366386311","-1.76875764442181","6.16670880958779","-2.09457228696369","-9.6316467056529","0.68707225955466"
