"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"1" "Index1" 0 "114" 0.136802668591441 0.0365935933030749 0.151664868070151
"2" "Index10" 0.0758293838862559 "61" 0.0446993814525469 0.033383222161711 0.0472090974906215
"3" "Index100" 0.528455284552846 "2" 0.0292111369740264 0.0294910631148938 0.0292850824400756
"4" "Index101" 0.158333333333333 "2" 0.0303260525364086 0.0295970128929545 0.0304902440712338
"5" "Index102" 1.09016393442623 "2" 0.0282111991072733 0.0295546622744434 0.0282801828873303
"6" "Index103" 0.782608695652174 "2" 0.0288422396250712 0.0294921401177002 0.028921763742631
"7" "Index104" 0.553225806451613 "16" 0.0255155269366987 0.0299516809966173 0.0260053382584753
"8" "Index105" 0.0162337662337662 "7" 0.0383214641025866 0.029553850474522 0.0387148848853414
"9" "Index106" 0.421792618629174 "35" 0.0220366492103627 0.0310972405142849 0.0237597103375295
"10" "Index107" 0.380597014925373 "26" 0.0323331815970616 0.030663036308237 0.0338511809334057
"11" "Index108" 0.0517799352750809 "8" 0.0334320271426454 0.0298713948892847 0.0339404123429425
"12" "Index109" 0.242339832869081 "13" 0.0314999241964773 0.0298676190402713 0.0321743063713097
"13" "Index11" 0.732503888024883 "20" 0.0265287716619826 0.0312392180407177 0.0273718255544621
"14" "Index110" 0.0167464114832536 "34" 0.0495821200864532 0.0310810963541725 0.0520512976757995
"15" "Index111" 0.00386100386100386 "6" 0.0425273814860663 0.0300560539331869 0.0429632831128521
"16" "Index112" 1.03041825095057 "6" 0.0282081440993502 0.0297254777928415 0.0285021722902006
"17" "Index113" 0.156 "5" 0.0320299200328424 0.0296833854850963 0.0323378248594534
"18" "Index114" 0.00227790432801822 "28" 0.0513857701733662 0.0308731364209523 0.0538219334798957
"19" "Index115" 0.137123745819398 "7" 0.0326709514315648 0.0299094646514445 0.0329056513561793
"20" "Index116" 0.138297872340426 "3" 0.0308525569507667 0.0295832093230712 0.0310868720094731
"21" "Index117" 0.0153061224489796 "3" 0.0381449822705482 0.0294302585146029 0.038305724990238
"22" "Index118" 0.118556701030928 "3" 0.0291661462634367 0.0294212182007383 0.0292785266494886
"23" "Index119" 0.113989637305699 "3" 0.0321317240565575 0.0294904032250559 0.0323358985471872
"24" "Index12" 0.10321489001692 "24" 0.0194751418949919 0.0305952711244652 0.020135612924145
"25" "Index120" 0.029535864978903 "4" 0.0356610048325365 0.0296069050907022 0.0358028618875347
"26" "Index121" 0.028436018957346 "4" 0.0360029982851284 0.0297005301483009 0.0361259414151639
"27" "Index122" 0.45748987854251 "4" 0.0288894974112655 0.0294795579009996 0.029034060209367
"28" "Index123" 0.52078239608802 "45" 0.0318916027085745 0.0317856216052825 0.0348178178595377
"29" "Index124" 0.0125391849529781 "12" 0.040995415182165 0.0303461931155691 0.0416915674245038
"30" "Index125" 0.0264150943396226 "5" 0.0360443678982472 0.0295844645845124 0.036396953572156
