"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"1" "Index1" 0.220168067226891 "38" 0.0198275513003172 0.0316806632235155 0.0208802972122923
"2" "Index10" 0.194103194103194 "51" 0.038930014450395 0.0325881353487007 0.04115407701915
"3" "Index11" 0.0075187969924812 "32" 0.049697857649122 0.0317661928726837 0.0510853635609629
"4" "Index12" 0.0769230769230769 "14" 0.0354892609362152 0.030210451396445 0.0353094759812257
"5" "Index13" 1 "17" 0.0280674547303017 0.0304999084598852 0.0284542567602403
"6" "Index14" 0.0317848410757946 "22" 0.0412833909694885 0.0305914792591176 0.0420742733400401
"7" "Index15" 0.00543478260869565 "14" 0.045583098848178 0.0303869250227668 0.0453689264350153
"8" "Index16" 0.0122324159021407 "10" 0.0421733548587282 0.030004781885358 0.0422781325741842
"9" "Index17" 0.804568527918782 "26" 0.0295764328798787 0.0307504331635406 0.0304253596537496
"10" "Index18" 0.0328358208955224 "9" 0.020794013259134 0.0297028912124585 0.0208889727028294
"11" "Index19" 0.0263157894736842 "12" 0.0392543030786434 0.0300644770878233 0.0389965890319749
"12" "Index2" 0.0362694300518135 "31" 0.0461045031196223 0.0314171739823883 0.0471896309165898
"13" "Index20" 1 "9" 0.027370643839566 0.0299673316092686 0.0270329354383113
"14" "Index21" 0.393203883495146 "33" 0.0336924121276139 0.0309730545400841 0.034347151099538
"15" "Index22" 0.0234604105571848 "15" 0.0412196660081354 0.0304606564933093 0.0412933346863094
"16" "Index23" 0.148367952522255 "9" 0.0332836050134837 0.0297396595417903 0.0331462362795184
"17" "Index24" 0.028391167192429 "10" 0.0375589174184634 0.0300792209582537 0.037385935568625
"18" "Index25" 0.205546492659054 "27" 0.0211975364852102 0.0311251858901242 0.0217396073724176
"19" "Index26" 0.0376811594202899 "11" 0.0368951715849819 0.0298884815198366 0.0366335228964892
"20" "Index27" 0.00294985250737463 "16" 0.0508699269353989 0.0305720789332063 0.0510374380717685
"21" "Index28" 0.414790996784566 "16" 0.0245499412905892 0.0301714737610014 0.024871507296646
"22" "Index3" 0.0916808149405773 "23" 0.0198404249108024 0.0306306466786032 0.0202862536609926
"23" "Index4" 0.178743961352657 "16" 0.0231644266869084 0.029963244569239 0.0230886644230926
"24" "Index5" 0.65359477124183 "64" 0.0306989622566425 0.0322923122450819 0.0334495812474275
"25" "Index6" 0.05 "24" 0.0415472822332421 0.0306612398309018 0.0425841506011189
"26" "Index7" 0.0637813211845103 "171" 0.0658557537022517 0.0395712355522866 0.0793356164692187
"27" "Index8" 1 "8" 0.0279653629534533 0.0298769612415711 0.0279510876434043
"28" "Index9" 0.811274509803922 "26" 0.029047787857287 0.0302604251510944 0.030124460493176
