""	"GATA2"	"PGR"
"result.1"	0.0664145308599668	1.25650601034977e-11
"result.2"	0.0701574738722912	1.33142386005147e-11
"result.3"	0.0614405363155137	1.35007560686518e-11
"result.4"	0.0711146687317081	1.10158548949357e-11
"result.5"	0.0699893771532418	1.42508227440885e-11
"result.6"	0.0849356213359123	1.03579367305429e-11
"result.7"	0.0890196486165316	8.36286595529145e-12
"result.8"	0.07618305731685	1.07911457547516e-11
"result.9"	0.0752224424995442	1.1287637491364e-11
"result.10"	0.0655518630920435	1.68789426879812e-11
"result.11"	0.0919787835269676	1.05881969858501e-11
"result.12"	0.0686677501261457	1.21633814131883e-11
"result.13"	0.0696597972653192	1.22803989199838e-11
"result.14"	0.0911887438038783	7.27329307892433e-12
"result.15"	0.0760976009764929	1.1192824445061e-11
"result.16"	0.0803339468076396	7.17559345275731e-12
"result.17"	0.0667334608742247	1.16797682636616e-11
"result.18"	0.0619924994098373	1.35873534645725e-11
"result.19"	0.100452916191043	7.79976083720157e-12
"result.20"	0.0732374461695944	1.13173914684239e-11
"result.21"	0.0786236285931441	1.15492060359657e-11
"result.22"	0.0489385192543761	2.34676722499216e-11
"result.23"	0.0762769456314178	1.06243902564529e-11
"result.24"	0.0755339384443863	1.26576527037514e-11
"result.25"	0.10132365038295	5.84265968939235e-12
"result.26"	0.0876761040169749	8.92819151943058e-12
"result.27"	0.0581802533301812	1.436495367102e-11
"result.28"	0.0706670830888163	1.34621203073948e-11
"result.29"	0.0987241793447888	7.04236668980229e-12
"result.30"	0.0653122790450307	1.59783297704053e-11
"result.31"	0.107833455271114	6.92246260314278e-12
"result.32"	0.0738299915517171	1.34345867763841e-11
"result.33"	0.0612330089978264	1.29458666009441e-11
"result.34"	0.07524166052021	7.75401964858702e-12
"result.35"	0.102994280041468	7.22044646295217e-12
"result.36"	0.0670076511099946	1.10917941498201e-11
"result.37"	0.07685937725433	9.00346464050017e-12
"result.38"	0.0718875757518243	1.0049516774302e-11
"result.39"	0.0652044406084629	1.28161925516679e-11
"result.40"	0.0816627383907185	7.93365373397137e-12
"result.41"	0.0669383177330556	1.71902492240861e-11
"result.42"	0.0910320886515212	9.32409705001191e-12
"result.43"	0.0646010989391386	1.2507772595427e-11
"result.44"	0.106482951018109	4.84279283341493e-12
"result.45"	0.112823578253086	9.7275520971607e-12
"result.46"	0.0393192096576893	2.78748135684737e-11
"result.47"	0.0580387760824461	1.30244703910876e-11
"result.48"	0.069650043906792	1.39108724539483e-11
"result.49"	0.0548692669861124	1.78617121093794e-11
"result.50"	0.0558871916788475	1.33018041026389e-11
"result.51"	0.0459848406136947	2.25874874359988e-11
"result.52"	0.0761738776125807	8.6888274353214e-12
"result.53"	0.0635421196188604	1.68827174462649e-11
"result.54"	0.106078073060146	8.85225226454622e-12
"result.55"	0.0884725551525694	5.93991522634951e-12
