""	"GATA2"	"PGR"
"result.1"	0.149779180487941	3.76343400887436e-12
"result.2"	0.106811490184276	7.2739592127391e-12
"result.3"	0.13155387398743	5.1183501881269e-12
"result.4"	0.0905911748856258	9.30588939240806e-12
"result.5"	0.102367870837418	4.88986628965904e-12
"result.6"	0.0522575520773088	3.1176172754499e-11
"result.7"	0.153689425792035	2.70250488654256e-12
"result.8"	0.108035918335673	7.95852272972297e-12
"result.9"	0.0497190420960161	3.17845749719936e-11
"result.10"	0.154255336161105	3.83826304073409e-12
"result.11"	0.0601468083937198	1.04862785121895e-11
"result.12"	0.0854565805195873	1.04105613019101e-11
"result.13"	0.0854312928593119	8.58735305087066e-12
"result.14"	0.158791209222006	2.53463916521923e-12
"result.15"	0.107548069841034	4.71889194386677e-12
"result.16"	0.103464022410093	9.28568333335988e-12
"result.17"	0.148017386856585	3.85469434149854e-12
"result.18"	0.0532677482056116	3.30431237927087e-11
"result.19"	0.151324904199585	2.59081645026527e-12
"result.20"	0.152462847418641	3.97748500802209e-12
"result.21"	0.106048857739268	8.80184813922824e-12
"result.22"	0.144024697829198	7.58637597186862e-12
"result.23"	0.131026692101563	5.41056088820824e-12
"result.24"	0.127944969371409	5.27911048209262e-12
"result.25"	0.121384934820384	9.41402511500655e-12
"result.26"	0.140401251216453	4.27169410954775e-12
"result.27"	0.13093006153394	6.73883171486978e-12
"result.28"	0.225527812781511	2.19246842902976e-12
"result.29"	0.0942083466093111	7.95585819446387e-12
"result.30"	0.121178197479302	5.43121103646627e-12
"result.31"	0.118072975490553	6.7683636473248e-12
"result.32"	0.193446715817595	1.92534876930495e-12
"result.33"	0.217662049809056	1.55253587763582e-12
"result.34"	0.166557638358442	2.75379719028024e-12
"result.35"	0.137858884701239	6.31295016262357e-12
"result.36"	0.107972130779552	6.28785912226704e-12
"result.37"	0.120234940380636	8.22741874628719e-12
"result.38"	0.147480674626322	2.18647322469678e-12
"result.39"	0.0494640222196578	2.33584263042985e-11
"result.40"	0.158121096198599	4.68203253944921e-12
"result.41"	0.149578983783195	3.54072327013455e-12
"result.42"	0.102654331122126	4.95536944811192e-12
"result.43"	0.0914507633673647	1.57158730473839e-11
"result.44"	0.124069264980387	5.20583576246736e-12
"result.45"	0.170626585606108	2.93365332026951e-12
"result.46"	0.0848466231080405	8.89865958697555e-12
"result.47"	0.0658128954070114	2.13720152686392e-11
"result.48"	0.117424619292558	9.54103462902367e-12
"result.49"	0.0895578153915082	8.01070321188035e-12
"result.50"	0.0972359151793807	7.50288720041681e-12
"result.51"	0.119793730149817	5.91615645362253e-12
"result.52"	0.131644416360639	7.0841110755282e-12
"result.53"	0.142176338295837	4.60786964140425e-12
"result.54"	0.0699324430055615	1.3414158672731e-11
