""	"GATA2"	"PGR"
"result.1"	0.0502060036191589	1.56192836442415e-11
"result.2"	0.0453674419044332	1.30369048889634e-11
"result.3"	0.0865783245621266	5.95701266092874e-12
"result.4"	0.0731552091487719	9.15512110566397e-12
"result.5"	0.0478271314938652	1.6076917574992e-11
"result.6"	0.0426138475508613	2.5750068743946e-11
"result.7"	0.0398723205178302	1.91677784755484e-11
"result.8"	0.0393323997350663	2.97941671334456e-11
"result.9"	0.0423734755454992	2.38526975948616e-11
"result.10"	0.0361479390819832	3.35316219235438e-11
"result.11"	0.0570059533449869	1.72517555796503e-11
"result.12"	0.0387589298484716	1.90276683298407e-11
"result.13"	0.0475461783465871	1.07462927445567e-11
"result.14"	0.0484649787956357	1.56497037551162e-11
"result.15"	0.0536493293267681	1.86846094152315e-11
"result.16"	0.0530107493669911	1.49531498294664e-11
"result.17"	0.0382249643696035	2.28366214827247e-11
"result.18"	0.0559921935820427	1.9029666731285e-11
"result.19"	0.0443551129497524	2.09150474717035e-11
"result.20"	0.0426825784763838	1.77664549738665e-11
"result.21"	0.0487401341003808	1.84892101628975e-11
"result.22"	0.0460531433382272	1.80533366034297e-11
"result.23"	0.0768356761582811	8.11173350712124e-12
"result.24"	0.0371477745512392	2.76123568454523e-11
"result.25"	0.0469755945734107	1.95001792491212e-11
"result.26"	0.047169530988354	1.56636925652265e-11
"result.27"	0.0609245460131922	1.35751410113016e-11
"result.28"	0.0440966443019131	1.85227388982412e-11
"result.29"	0.0699782558506694	1.12976294985856e-11
"result.30"	0.0458707166015622	1.72928338315614e-11
"result.31"	0.0460296146865098	1.70972125346225e-11
"result.32"	0.045037867609846	1.5964340960295e-11
"result.33"	0.0513788815603207	1.43312028910714e-11
"result.34"	0.052577386577499	1.71413994110026e-11
"result.35"	0.0583137750001748	1.34636746196293e-11
"result.36"	0.0383468688139603	2.78936873598923e-11
"result.37"	0.043365161995442	1.90703008939863e-11
"result.38"	0.057847528900568	1.57229784747415e-11
"result.39"	0.0468586815630809	1.6242562850266e-11
"result.40"	0.0440053200079018	1.82298620643451e-11
"result.41"	0.0506141290691264	1.33475452912535e-11
"result.42"	0.0640775320786935	1.03759223435418e-11
"result.43"	0.0532006762946819	1.32429622823338e-11
"result.44"	0.0446979498564246	1.92539317822593e-11
"result.45"	0.0433764274518551	2.06514805256575e-11
"result.46"	0.0443805427470025	1.89983584419906e-11
