""	"GATA2"	"PGR"
"result.1"	0.053379016836586	1.01521013817774e-11
"result.2"	0.0491345661833789	2.46023201810885e-11
"result.3"	0.0438707000728518	1.78930203986738e-11
"result.4"	0.0830138814559924	6.00319793875315e-12
"result.5"	0.0656248369057695	1.38207223443487e-11
"result.6"	0.0575879119926992	1.51296752903818e-11
"result.7"	0.0645973017327306	8.74988970167578e-12
"result.8"	0.0713565894037762	8.03201949395316e-12
"result.9"	0.0544099557721798	1.1699308188895e-11
"result.10"	0.0531327763761513	1.85158555154885e-11
"result.11"	0.0929172796550231	4.02566868729082e-12
"result.12"	0.0437326203013781	2.1049828546893e-11
"result.13"	0.0337517025797693	3.04023473063353e-11
"result.14"	0.026854722607224	4.61910509841346e-11
"result.15"	0.095761185744323	5.05284702967401e-12
"result.16"	0.0504151846632321	1.23547838626337e-11
"result.17"	0.0640488998004112	7.1187500338965e-12
"result.18"	0.0917142051919264	7.4478201383954e-12
"result.19"	0.0462587404652084	1.41895384331292e-11
"result.20"	0.0556140692183849	1.33477673358584e-11
"result.21"	0.0530669849632543	1.50290890843507e-11
"result.22"	0.0266244776059492	5.21336307457432e-11
"result.23"	0.0476378821251509	2.01418881573545e-11
"result.24"	0.0451666128569721	1.38420386264215e-11
"result.25"	0.0601198534335619	1.92996729708739e-11
"result.26"	0.0769265336925047	6.95599133848646e-12
"result.27"	0.0513640137384104	1.46733736272608e-11
"result.28"	0.046929148985744	3.07736058857699e-11
"result.29"	0.0541506996707275	1.70252700826268e-11
"result.30"	0.0263046051169267	4.84186024607425e-11
"result.31"	0.0422499246346715	3.35562688746904e-11
"result.32"	0.0570616484389552	2.70257149992403e-11
"result.33"	0.0336473019095	4.37980762768575e-11
"result.34"	0.0773024553318882	7.59570184527547e-12
"result.35"	0.0483209858948628	1.30877531034912e-11
"result.36"	0.0805406598470324	1.1489031948031e-11
"result.37"	0.0573095351527488	1.69559921658902e-11
"result.38"	0.0421126383718533	2.94533286648857e-11
"result.39"	0.0722097894602642	6.53432863373382e-12
"result.40"	0.0766448320256998	7.2810646400967e-12
"result.41"	0.0773538496152077	7.20112858232369e-12
"result.42"	0.0511550058654786	2.04027905681414e-11
"result.43"	0.0443247585968298	1.45790046701677e-11
"result.44"	0.0510245152205189	1.69690927975807e-11
"result.45"	0.0349612776823931	3.42441630607482e-11
"result.46"	0.0668991285934815	1.32360788995811e-11
"result.47"	0.0563265085967057	1.2051692976911e-11
"result.48"	0.0675826053271678	1.19380061391894e-11
"result.49"	0.0497917957905889	1.88735693740227e-11
"result.50"	0.0500553456978581	1.81601400583986e-11
"result.51"	0.0505566355627052	1.87001525375763e-11
"result.52"	0.0506236252355725	1.49589229891944e-11
"result.53"	0.0874478015480382	9.87832038390479e-12
"result.54"	0.0897494573305586	5.8271165670476e-12
"result.55"	0.0382056762117393	1.63329350044705e-11
"result.56"	0.0357332851401428	2.61073385132704e-11
"result.57"	0.103082533477154	4.2463810245863e-12
"result.58"	0.0456569436859962	2.34328112469484e-11
"result.59"	0.0256462368659958	2.96445090697262e-11
"result.60"	0.0495885421956777	1.48618894968422e-11
"result.61"	0.0775447796664184	1.03854702615536e-11
"result.62"	0.0604726498004924	1.58237867253774e-11
"result.63"	0.0797443059736085	5.52846657342343e-12
"result.64"	0.0757919318291267	5.3170801095348e-12
"result.65"	0.10310330069143	4.62807570045243e-12
"result.66"	0.0419172307221238	2.47044606993541e-11
"result.67"	0.0559019767703366	1.87021509390206e-11
"result.68"	0.0322744503481101	2.94513302634414e-11
"result.69"	0.0559198192494827	1.37156952462192e-11
"result.70"	0.0474567740323111	2.17008633285332e-11
"result.71"	0.0586174921938469	1.0168088593332e-11
"result.72"	0.0564106850281652	1.01008090780397e-11
"result.73"	0.0488435672395877	1.82800441450581e-11
"result.74"	0.0464261049609802	1.8594237261027e-11
"result.75"	0.0266700235557134	4.68287630894793e-11
"result.76"	0.0336147647636762	4.8517634354539e-11
"result.77"	0.0568513631412142	8.22253376497883e-12
"result.78"	0.0607305044580186	1.78093095826171e-11
"result.79"	0.0581534412410951	2.13262740800246e-11
"result.80"	0.0494135923465897	1.96354044135205e-11
"result.81"	0.0519477557434276	1.54070090019331e-11
"result.82"	0.051968873698204	1.98403515838663e-11
"result.83"	0.0451198470006988	2.30011565349741e-11
"result.84"	0.0381117198548937	3.08881809019113e-11
"result.85"	0.0798584782314027	8.70614691450555e-12
"result.86"	0.0560857296455277	2.89261947727937e-11
"result.87"	0.0690794239546442	6.47948361631734e-12
"result.88"	0.0319505055771145	2.61777266530316e-11
"result.89"	0.0739955045514094	1.10864650793019e-11
"result.90"	0.0714767969394254	7.15960624120271e-12
"result.91"	0.072494868464859	1.1106893182955e-11
