""	"GATA2"	"PGR"
"result.1"	0.0290592876521842	6.95596913402596e-11
"result.2"	0.0396957334224175	4.50690595954484e-11
"result.3"	0.0493568969411602	2.77511347235304e-11
"result.4"	0.0448841189809246	2.52109444431881e-11
"result.5"	0.0584331957812205	2.06750172537795e-11
"result.6"	0.0372135725446419	4.23672208427206e-11
"result.7"	0.0407002695041392	3.00350855297893e-11
"result.8"	0.0256224415650912	7.59070584166466e-11
"result.9"	0.0382668521138334	3.40858452574366e-11
"result.10"	0.0383539583535737	3.38624683848820e-11
"result.11"	0.05749487473541	1.76811898455753e-11
"result.12"	0.0409919392703972	3.03039815463535e-11
"result.13"	0.0487055860112202	1.87716509003621e-11
"result.14"	0.0361704133531238	3.07174286007239e-11
"result.15"	0.0306223101099363	3.55244722527459e-11
"result.16"	0.0551315020623036	1.84696702376641e-11
"result.17"	0.0390341493548165	2.88802315395742e-11
"result.18"	0.0470088946417919	2.28519425604645e-11
"result.19"	0.0489400940994942	2.61120014499738e-11
"result.20"	0.0466827981403184	2.8264723894722e-11
"result.21"	0.0342692261450903	5.40818501093554e-11
"result.22"	0.0413702061797583	2.36655139929098e-11
"result.23"	0.0361892988018844	5.02011765490806e-11
"result.24"	0.0419547756920911	2.52680099066538e-11
"result.25"	0.036088650099207	3.2005509353894e-11
"result.26"	0.0389841922163143	4.08759692760441e-11
"result.27"	0.027214975279529	4.52664572492267e-11
"result.28"	0.035734797714726	4.05040445627947e-11
"result.29"	0.0528408318718954	1.78574932618858e-11
"result.30"	0.0264935097306633	8.47648617963159e-11
"result.31"	0.0253304178254747	7.49598161320364e-11
"result.32"	0.0289371431123182	4.25066648546135e-11
"result.33"	0.0570610446074196	1.97475369390077e-11
"result.34"	0.022357289893385	8.23767720703472e-11
"result.35"	0.0280970292513025	5.31008570447966e-11
"result.36"	0.0319119987290242	5.23925347550858e-11
"result.37"	0.0565088537302558	1.39297462453669e-11
"result.38"	0.0335028983005554	6.16613426984713e-11
"result.39"	0.0469880389753499	3.18940429622216e-11
"result.40"	0.0399157158805781	3.2337243993652e-11
"result.41"	0.0277160014558324	7.74789121749109e-11
"result.42"	0.0345699317801076	3.91362497964565e-11
"result.43"	0.0268580075254454	4.6296300126869e-11
"result.44"	0.0337227400934756	4.01250144221876e-11
"result.45"	0.0232214965382413	1.00966346394671e-10
"result.46"	0.0432883994311601	3.84317022650293e-11
"result.47"	0.0564807294042333	1.37920785903134e-11
"result.48"	0.0380014404130025	4.77395900588817e-11
"result.49"	0.0433929406919698	2.5379920387536e-11
"result.50"	0.0369474965328678	3.83773013368227e-11
"result.51"	0.0548909672620954	2.10702566505461e-11
"result.52"	0.0532380593280777	2.12010409228469e-11
"result.53"	0.0347412176161772	3.08484349176297e-11
"result.54"	0.0402462637457828	2.40967246156742e-11
"result.55"	0.0416459178169741	2.86541901317605e-11
"result.56"	0.0645210351696015	2.13700168671949e-11
"result.57"	0.0407051623276211	3.94759780419918e-11
"result.58"	0.0387243335680041	3.21369597600096e-11
"result.59"	0.0347664028964856	4.33475477734646e-11
"result.60"	0.0299801320700215	5.18849407882271e-11
"result.61"	0.0301232352904455	6.43674002986927e-11
"result.62"	0.0414290096043473	2.89739343628526e-11
"result.63"	0.0281756439221852	9.03068730906398e-11
"result.64"	0.0357113655247652	3.64503982552833e-11
"result.65"	0.0452581852497949	3.42215145110458e-11
"result.66"	0.039192966502748	2.85660384236053e-11
"result.67"	0.056077414047029	2.26743068765245e-11
"result.68"	0.031493540882507	4.56130688775147e-11
"result.69"	0.0323271771691118	3.65136809676869e-11
"result.70"	0.040262199877543	5.29452037767442e-11
"result.71"	0.0346113450259093	4.00697253155613e-11
"result.72"	0.0356139062204586	3.977751461548e-11
"result.73"	0.0382702622192086	3.58415519485789e-11
"result.74"	0.0410839925154278	3.0927482796983e-11
"result.75"	0.0472659948939476	2.35202968212889e-11
"result.76"	0.0295196170410115	4.73157069080798e-11
"result.77"	0.0322814960953355	4.7575943185052e-11
"result.78"	0.0297246288809143	7.33719751622175e-11
"result.79"	0.0398891849357395	4.91300333749223e-11
"result.80"	0.0247475576911727	7.72348851540983e-11
"result.81"	0.0318049288715208	8.67095284462494e-11
"result.82"	0.0494080104865997	2.30000463119495e-11
"result.83"	0.0338370056344204	4.39406289132194e-11
"result.84"	0.0282514503363682	4.43827197216251e-11
"result.85"	0.0291377680448828	6.76887434991613e-11
"result.86"	0.0353159667436564	4.4759307371578e-11
"result.87"	0.0405715671363436	4.41280345597761e-11
"result.88"	0.0394836808192007	3.35396155293211e-11
"result.89"	0.0340544881367884	4.22784030007506e-11
"result.90"	0.0416843623504017	4.88697970979501e-11
"result.91"	0.0347201462098539	3.81110698555176e-11
"result.92"	0.033195824837424	4.91602314411921e-11
"result.93"	0.0424481616576116	4.77569095380659e-11
"result.94"	0.0475638395913465	2.77036171780765e-11
"result.95"	0.0312913171624192	6.10560491054457e-11
"result.96"	0.0375480029904298	3.12012637948555e-11
"result.97"	0.0338204306244756	4.24988932934411e-11
"result.98"	0.0187883246320451	1.64563029869669e-10
"result.99"	0.0419770798848536	3.0687674623664e-11
"result.100"	0.0371949988168008	3.06770164826276e-11
"result.101"	0.0409765231837971	2.63571386938111e-11
"result.102"	0.0544389251973643	1.74456005197499e-11
"result.103"	0.0292471253426232	5.31394928060536e-11
"result.104"	0.0449561563871017	2.68749467124962e-11
"result.105"	0.0221374742746536	7.21163129213664e-11
"result.106"	0.0423688213011004	2.40076847290993e-11
"result.107"	0.0430194786763738	3.342415233476e-11
"result.108"	0.0353789584960205	4.75592898396826e-11
"result.109"	0.0370607389981104	3.71038755275777e-11
"result.110"	0.0440539383792433	2.6982194256675e-11
"result.111"	0.0427673208829908	3.77105013882328e-11
"result.112"	0.0410304869755931	3.46040973653317e-11
"result.113"	0.035502040522865	4.35884661698083e-11
"result.114"	0.0276035191074357	7.15538739370913e-11
"result.115"	0.0350165086569916	3.33593153101219e-11
"result.116"	0.0359483121871247	5.72948355426206e-11
"result.117"	0.0475299324890119	2.91968671461973e-11
"result.118"	0.0332185340862814	4.39370761995406e-11
"result.119"	0.0397480239229198	2.17108553357548e-11
"result.120"	0.0264398066404472	5.3268500721515e-11
"result.121"	0.0265458099721343	1.05228714630812e-10
"result.122"	0.0249621001898923	6.86517509507212e-11
"result.123"	0.0409851436684405	3.52549101023669e-11
"result.124"	0.037319028719621	3.55071527735618e-11
"result.125"	0.0186174904947995	7.49837969493683e-11
"result.126"	0.0393712804529873	3.29993810055385e-11
"result.127"	0.0467878005790563	2.07809325303288e-11
"result.128"	0.0516307232208724	2.7968516391752e-11
"result.129"	0.0295768253900421	4.99493779670956e-11
"result.130"	0.0370178150410809	4.67652583324707e-11
"result.131"	0.0305383038734068	4.57600624059751e-11
"result.132"	0.0420447755362727	2.50113263433605e-11
"result.133"	0.0256482732636976	7.86537501795692e-11
"result.134"	0.0301589097214545	6.27153884380505e-11
"result.135"	0.0334565223371195	5.10114173124521e-11
"result.136"	0.0308730201427858	4.8008264030841e-11
