""	"GATA2"	"PGR"
"result.1"	0.0419460011807455	2.68214339627093e-11
"result.2"	0.0468588729104695	2.33231212121154e-11
"result.3"	0.050786287841736	2.05429007138491e-11
"result.4"	0.0516308260346205	2.07369676985536e-11
"result.5"	0.0314461853508614	5.41053868374775e-11
"result.6"	0.0540851379281995	1.75810477287541e-11
"result.7"	0.0465787733851328	2.79793965773933e-11
"result.8"	0.0568787258713899	2.00615080103717e-11
"result.9"	0.0449568926992616	2.27493579529892e-11
"result.10"	0.0495791486888248	2.20088391955642e-11
"result.11"	0.0477037661111301	2.03443928370461e-11
"result.12"	0.0355940590667809	3.09721137625729e-11
"result.13"	0.0594073177845622	1.49149581574193e-11
"result.14"	0.034988458043747	2.12290185430675e-11
"result.15"	0.04637446022475	2.11981543429829e-11
"result.16"	0.050140159832609	1.9767298908846e-11
"result.17"	0.0407910674999978	3.15427683972302e-11
"result.18"	0.0595445630190783	2.28577157201926e-11
"result.19"	0.0692685393836852	1.24706911464045e-11
"result.20"	0.0425480342460722	3.01494385013257e-11
"result.21"	0.0746529200815527	1.22948318193039e-11
"result.22"	0.0478587707029885	2.23214779992986e-11
"result.23"	0.049076021169131	1.94728677627154e-11
"result.24"	0.0526621772672231	1.59543489530733e-11
"result.25"	0.0484737948416607	2.06383798939669e-11
"result.26"	0.0512495847337728	1.99784633281297e-11
"result.27"	0.0655486882550587	1.3446799229655e-11
"result.28"	0.0897520156704532	8.03868083210091e-12
"result.29"	0.0370766138194605	4.3639758473546e-11
"result.30"	0.0456769569416917	2.70472533259181e-11
"result.31"	0.0613416443311519	1.34068312007685e-11
"result.32"	0.0399481910419595	2.97020186224017e-11
"result.33"	0.0562064016010477	1.66577862614758e-11
"result.34"	0.0543178335826404	1.43793865703401e-11
"result.35"	0.0587182502676948	1.43021150478262e-11
"result.36"	0.0539280013765329	1.61668456399866e-11
"result.37"	0.0550681035793052	1.18136611604314e-11
"result.38"	0.0375438224522515	3.59179352926731e-11
"result.39"	0.0585988269942421	1.79540826650282e-11
"result.40"	0.0391791364142857	2.59119392609364e-11
"result.41"	0.0682815933719043	1.89710469555848e-11
"result.42"	0.0599527050794046	1.27124977211679e-11
"result.43"	0.0504310406163366	2.44868569865275e-11
"result.44"	0.0803056055692319	9.2414964569798e-12
"result.45"	0.062295176584513	1.53388413082212e-11
"result.46"	0.0691264000780183	1.26207932993339e-11
"result.47"	0.0591802806082653	1.89164239827733e-11
"result.48"	0.0473540534571752	1.87609927593257e-11
"result.49"	0.0536669486240089	1.86819448799724e-11
"result.50"	0.0426690413129294	3.83773013368227e-11
"result.51"	0.0515674511377628	1.80262471616288e-11
"result.52"	0.0598004461798525	1.1645795439108e-11
"result.53"	0.068130638127688	2.01920702380676e-11
"result.54"	0.0434240273615678	2.46616060906035e-11
"result.55"	0.0504413147480045	1.99631422503899e-11
"result.56"	0.0576144666790899	1.85076398651063e-11
"result.57"	0.037971865320527	3.41300321338167e-11
"result.58"	0.0462864942119214	2.268762955282e-11
"result.59"	0.0536104082464011	2.00448546650023e-11
"result.60"	0.0431158436843309	3.81361608958741e-11
"result.61"	0.0573182169744566	1.50572887491762e-11
"result.62"	0.0398932784985422	4.14632772560708e-11
"result.63"	0.0389380410685827	3.30917515611873e-11
"result.64"	0.0637198705020507	1.48916434739021e-11
"result.65"	0.0555666935143966	1.57565072100851e-11
"result.66"	0.0590058351962419	1.7042367517206e-11
"result.67"	0.0449898858985465	2.19528839551231e-11
"result.68"	0.0406030240590802	3.60127483389761e-11
"result.69"	0.047602495421424	1.91280324912668e-11
"result.70"	0.0627708547010504	1.58815183226579e-11
"result.71"	0.0437851235410214	2.6049384871385e-11
"result.72"	0.0322928945413061	2.66067168297468e-11
"result.73"	0.0552055171458814	1.85538251429307e-11
"result.74"	0.0407599187055929	2.46327402919633e-11
"result.75"	0.0585138981237574	1.4821033289536e-11
"result.76"	0.0389755233764644	2.75961475892927e-11
"result.77"	0.0399109559814268	2.8004265573145e-11
"result.78"	0.0520397171792348	2.09130490702591e-11
"result.79"	0.0540801199909191	1.97235561216758e-11
"result.80"	0.0398432565470266	3.9164449461282e-11
"result.81"	0.0607983978227031	1.38402622695821e-11
"result.82"	0.0515066667531856	1.96036520350162e-11
"result.83"	0.05817575409761	1.32462929514077e-11
"result.84"	0.0570174874967064	1.67246216875583e-11
"result.85"	0.0520463874333241	2.50464093909386e-11
"result.86"	0.0513852440925131	1.95137239700216e-11
"result.87"	0.0719128397387614	1.10660369756488e-11
"result.88"	0.0540633313355956	1.91715532338321e-11
"result.89"	0.041866402336574	2.19571028026166e-11
"result.90"	0.0464230342099206	2.14794848574229e-11
"result.91"	0.0466680139495523	2.65218957906654e-11
"result.92"	0.053296778452002	2.5415447524324e-11
"result.93"	0.0584010931200833	2.0270896072816e-11
"result.94"	0.0433449341035728	2.52928789024054e-11
"result.95"	0.0441863672704426	2.32702745961433e-11
"result.96"	0.0546785467124962	1.68096647712446e-11
"result.97"	0.0539129163630059	2.29667396212108e-11
"result.98"	0.0536007824622646	1.95050642304295e-11
"result.99"	0.0475788281715215	2.43562947588316e-11
"result.100"	0.0692248982092898	1.05899733426895e-11
"result.101"	0.0565340789576103	1.69253500104105e-11
"result.102"	0.0594917352895077	1.87561077780174e-11
"result.103"	0.0486273092311282	1.74118497398013e-11
"result.104"	0.0580516939173072	2.00826022478395e-11
"result.105"	0.0524086192948441	2.30242491738863e-11
"result.106"	0.055228845734085	1.58306701081301e-11
"result.107"	0.0528774086268216	2.18753903880042e-11
"result.108"	0.0420866590721463	3.11151104881446e-11
"result.109"	0.0703200438607454	8.85713724585457e-12
"result.110"	0.0408851783005522	2.22664109372772e-11
"result.111"	0.0484478268230697	2.2450707959365e-11
"result.112"	0.0452146555983755	2.95521385140773e-11
"result.113"	0.0699620882178746	1.03652642025054e-11
"result.114"	0.0474985952877263	1.84774417988365e-11
"result.115"	0.0721359348307664	7.80553399692963e-12
"result.116"	0.0477200187368558	2.50595100226292e-11
"result.117"	0.0469750669665179	2.44175790697909e-11
"result.118"	0.0517655877164709	2.28130847546026e-11
"result.119"	0.0480505767641561	2.99122948632657e-11
"result.120"	0.036106581710635	3.54429818827384e-11
"result.121"	0.0386495930224724	2.59632315646741e-11
"result.122"	0.0371186453536916	3.85280696235668e-11
"result.123"	0.0479725146412877	1.58948409989534e-11
"result.124"	0.0352527854322153	3.59126062221549e-11
"result.125"	0.0520601018551172	2.17261764134946e-11
"result.126"	0.0582072454283957	2.56719090430124e-11
"result.127"	0.0495247203215692	1.91544557992529e-11
"result.128"	0.0624307797397292	1.54525281459428e-11
"result.129"	0.0457680179558648	1.68689506807596e-11
"result.130"	0.0459494662975108	2.73836509023795e-11
"result.131"	0.0455858494027674	2.36883845872171e-11
"result.132"	0.0559576954231487	2.05664374419712e-11
"result.133"	0.055694517769119	1.84932069657862e-11
"result.134"	0.0490477210834894	2.02640126900633e-11
"result.135"	0.0551422483309749	1.43478562364407e-11
"result.136"	0.0480000662481899	2.43467468408198e-11
"result.137"	0.0629862173573854	1.48525636234353e-11
"result.138"	0.0594333274660777	1.57871493655648e-11
"result.139"	0.0467533714267148	2.2660984200229e-11
"result.140"	0.044447638569205	2.52817766721591e-11
"result.141"	0.0488707697297741	1.87521109751287e-11
"result.142"	0.0480323244234087	2.08677519708544e-11
"result.143"	0.0461812276987781	2.16375806161295e-11
"result.144"	0.0401483639840317	3.08242320556928e-11
"result.145"	0.0362664017164458	3.44617667735747e-11
"result.146"	0.0548785300976582	1.78534964589971e-11
"result.147"	0.052236905234754	1.85929049933975e-11
"result.148"	0.0424057647191876	2.90563129112797e-11
"result.149"	0.0504297757166983	2.25421903365941e-11
"result.150"	0.0735185830275378	1.16309184505781e-11
"result.151"	0.0353654047386409	3.59010599026988e-11
"result.152"	0.0558977109021435	2.26605401110191e-11
"result.153"	0.0521056927261523	1.93176585838728e-11
"result.154"	0.0464716237818272	2.74267275557349e-11
"result.155"	0.0272011828708263	3.90107945946738e-11
"result.156"	0.0334125884210521	4.06390476825891e-11
"result.157"	0.0634950226713347	1.55029322712608e-11
"result.158"	0.053288475350495	2.31965557873082e-11
"result.159"	0.0521725755080502	2.28366214827247e-11
"result.160"	0.0364922998819963	3.3284930367472e-11
"result.161"	0.0483365375613858	2.05280237253191e-11
"result.162"	0.0447548307273005	3.30533378445352e-11
"result.163"	0.0539394324397522	1.85575999012144e-11
"result.164"	0.0406426100111532	1.95901073141158e-11
"result.165"	0.0635787627679751	1.64288582737981e-11
"result.166"	0.0610839857344931	1.58968394003978e-11
"result.167"	0.0625872527497955	1.54305457300552e-11
"result.168"	0.0409349980477618	3.3190339365774e-11
"result.169"	0.0448463491804514	2.61874966156483e-11
"result.170"	0.0602579748690808	1.99673610978834e-11
"result.171"	0.0462557854506658	3.09152703437121e-11
"result.172"	0.054224539632461	2.88085111321834e-11
"result.173"	0.0526312988622615	2.25410801135695e-11
"result.174"	0.0580850453997912	1.50950363320135e-11
"result.175"	0.0614432366162094	1.2780443370275e-11
"result.176"	0.0493096816406993	2.04767314215815e-11
"result.177"	0.0489946558948087	2.00064409483502e-11
"result.178"	0.0524074729625494	1.9500845382936e-11
"result.179"	0.0475635313104883	2.04638528344958e-11
"result.180"	0.0414224288419731	2.3659074699367e-11
"result.181"	0.0515966608717864	2.37259101254494e-11
"result.182"	0.0703815889013888	8.53317416726895e-12
"result.183"	0.0468484406264571	1.84388060375795e-11
"result.184"	0.131117808999761	6.28053165030451e-12
"result.185"	0.0670852879255499	1.03417274743833e-11
"result.186"	0.0797117335639561	1.3935519405095e-11
"result.187"	0.0646935103131776	1.52553525367694e-11
"result.188"	0.0494281572964381	2.07556194453673e-11
"result.189"	0.0503130658818427	1.89570581454745e-11
"result.190"	0.0486024243654279	2.72639688603249e-11
"result.191"	0.0617850244719287	1.12041487199122e-11
"result.192"	0.0555996934206036	2.45983233781999e-11
"result.193"	0.0438674334142604	2.10622630447688e-11
"result.194"	0.0480041794542199	2.18285389763651e-11
"result.195"	0.0526299379023583	1.79660730736941e-11
"result.196"	0.0460500480394046	2.25586216373586e-11
"result.197"	0.0494991447677575	1.85278459241545e-11
"result.198"	0.0492931561772783	2.26392238289463e-11
"result.199"	0.0448555097447887	2.10427231195354e-11
"result.200"	0.0459456719273426	2.13298267937034e-11
"result.201"	0.0557476328993627	1.50019996425499e-11
"result.202"	0.057341226153663	1.94233518158171e-11
"result.203"	0.0437408184879042	2.74378297859812e-11
"result.204"	0.0559587148229379	1.83202342185496e-11
"result.205"	0.0370007137268675	2.83435497294704e-11
"result.206"	0.0479612031845631	2.40927278127856e-11
"result.207"	0.0501400870794353	1.77340364615475e-11
"result.208"	0.0384959288638533	3.28501670310288e-11
"result.209"	0.0499072687874824	2.91999757706662e-11
"result.210"	0.0550757061762814	1.87141413476866e-11
"result.211"	0.0491649016574625	1.89681603757208e-11
"result.212"	0.0422145009031998	2.1319390697272e-11
"result.213"	0.0487171169278073	2.90125701241095e-11
"result.214"	0.0327245051713481	4.55659954212706e-11
"result.215"	0.0314492220903861	3.2319480425258e-11
"result.216"	0.0654288134252907	1.27482469025608e-11
"result.217"	0.0377314803033761	3.23627791232184e-11
"result.218"	0.0613871873470293	1.17876819416551e-11
"result.219"	0.0503738229793178	1.6272316827326e-11
"result.220"	0.0498842788319935	2.34938735133028e-11
"result.221"	0.0384975264255027	2.16529016938694e-11
"result.222"	0.0319158147595362	3.77049502731097e-11
"result.223"	0.0457936053751329	1.52764467742372e-11
"result.224"	0.04624566513951	2.41826558777802e-11
"result.225"	0.0338686374549273	4.23818757866457e-11
"result.226"	0.0432885449243248	3.56201734774686e-11
"result.227"	0.0434256454214383	1.91324733833653e-11
"result.228"	0.0576543232735043	2.14255280184261e-11
"result.229"	0.0436601158807548	3.31350502591476e-11
"result.230"	0.0443719234897602	2.25888197036284e-11
"result.231"	0.0446029294092305	2.29507524096562e-11
"result.232"	0.0584334712402186	1.44841916238647e-11
"result.233"	0.0640524004767244	1.20876642029089e-11
"result.234"	0.0470624859715598	2.43003395183905e-11
"result.235"	0.0385033093507177	2.86228818424661e-11
"result.236"	0.0375133949148381	3.3311797764668e-11
"result.237"	0.0707975490099975	1.50837120571623e-11
"result.238"	0.0611177636185065	1.31301636230319e-11
"result.239"	0.0554033599560604	1.65580882338645e-11
"result.240"	0.0349945867193708	4.26301216549518e-11
"result.241"	0.0428815321141662	2.86699552987102e-11
"result.242"	0.0472926997578484	1.82625026212690e-11
"result.243"	0.0569881141637274	1.80213621803205e-11
"result.244"	0.0530513849835719	2.05873096348341e-11
"result.245"	0.0602238033144613	1.44917411404322e-11
"result.246"	0.0603523762607963	1.73316916374233e-11
"result.247"	0.0697933715651979	9.0081275772036e-12
"result.248"	0.0398705704668432	2.67770250417243e-11
"result.249"	0.0533116970337748	2.2012391909243e-11
"result.250"	0.0738915447045838	1.24924515176872e-11
"result.251"	0.0589052237810685	1.66762159636846e-11
"result.252"	0.0714458981146877	8.22897305852166e-12
"result.253"	0.0646724154768823	1.04698472114251e-11
"result.254"	0.0477484217131448	2.82496248615871e-11
"result.255"	0.0451022523552913	2.32742713990319e-11
"result.256"	0.0540298556671535	1.82229786815924e-11
"result.257"	0.0509121030110462	2.61348720442811e-11
"result.258"	0.0572447843725454	1.74149583642702e-11
"result.259"	0.0423902225369905	2.58555399312854e-11
"result.260"	0.045817240173053	2.30737651207846e-11
