""	"GATA2"	"PGR"
"result.1"	0.0767106093410874	1.81468173821031e-11
"result.2"	0.059236696011719	3.28685967332376e-11
"result.3"	0.0365358308997912	5.51629852907354e-11
"result.4"	0.100762558433216	8.31845703430645e-12
"result.5"	0.0929627716455905	7.53064277603244e-12
"result.6"	0.110588791547157	1.01179065126189e-11
"result.7"	0.154750785686216	3.0266900097331e-12
"result.8"	0.112582375018166	7.23154869319842e-12
"result.9"	0.0894315218654069	1.28881350036636e-11
"result.10"	0.0569467170453903	2.80022671717006e-11
"result.11"	0.0854513814282409	1.31290534000073e-11
"result.12"	0.0815430368065779	1.06366027097238e-11
"result.13"	0.0889154765379876	1.24851240457247e-11
"result.14"	0.0735007898497824	3.31972227485267e-11
"result.15"	0.0561809079752222	2.19511075982837e-11
"result.16"	0.0544219667809052	4.32978097819614e-11
"result.17"	0.0732493287268561	1.41096023753562e-11
"result.18"	0.0763043311113896	8.05089328537179e-12
"result.19"	0.0977006623790706	8.3082429824799e-12
"result.20"	0.0412958082701294	4.26467750003212e-11
"result.21"	0.0941786792089228	1.04340980300321e-11
"result.22"	0.0807188505804297	1.52819978893604e-11
"result.23"	0.119264930681152	1.26236798791979e-11
"result.24"	0.0755527391886712	1.87447835031662e-11
"result.25"	0.0648183539203437	2.53341791989214e-11
"result.26"	0.207962455647202	2.51354492775135e-12
"result.27"	0.0851408393467989	1.0422773755181e-11
"result.28"	0.126380717392964	7.05457914307317e-12
"result.29"	0.116747460039204	7.18802795063311e-12
"result.30"	0.0961834594761679	7.78599407169622e-12
"result.31"	0.12066458383058	6.33115782022742e-12
"result.32"	0.0721051309096092	2.33426611373488e-11
"result.33"	0.0882473418411123	1.00082164777859e-11
"result.34"	0.0782788927758342	1.32285293830137e-11
"result.35"	0.0754898737874075	3.35886873870095e-11
"result.36"	0.0530773600815408	2.80879763892017e-11
"result.37"	0.0385024643063578	2.89805957010003e-11
"result.38"	0.0867593891745306	1.22784005185395e-11
"result.39"	0.0977064368271354	9.68469748841017e-12
"result.40"	0.0954775215060886	1.49302792351591e-11
"result.41"	0.094007042186369	1.42756917398401e-11
"result.42"	0.0747436022435271	1.23314691791165e-11
"result.43"	0.0688527616930832	3.21147552995171e-11
"result.44"	0.0856976326318746	1.5970336164628e-11
"result.45"	0.0586294623431289	2.25270913034592e-11
"result.46"	0.0919255755684694	1.11508580147301e-11
"result.47"	0.0954309066688972	9.18176645825497e-12
"result.48"	0.0885704275562098	1.88591364747026e-11
"result.49"	0.0804905872604251	1.59916524467008e-11
"result.50"	0.0729306650690125	2.04800620906553e-11
"result.51"	0.0921612995860877	1.57571733438999e-11
"result.52"	0.108733878556018	8.41282599139959e-12
"result.53"	0.0601904947787828	3.03768121767689e-11
"result.54"	0.140086539055885	4.85500528668581e-12
"result.55"	0.07416156439635	1.34598998613455e-11
"result.56"	0.0778991845936905	2.41002773293530e-11
"result.57"	0.0660247842067729	1.48940859645563e-11
"result.58"	0.10161818170249	1.16058274102215e-11
"result.59"	0.0752298494599244	1.1565859381335e-11
"result.60"	0.135145592555632	5.48006084954977e-12
"result.61"	0.106817831847416	5.87552229092125e-12
"result.62"	0.0774551163436528	1.24362742326412e-11
"result.63"	0.0779309514202509	1.87829751752133e-11
"result.64"	0.120206626587669	5.3392845700273e-12
"result.65"	0.0845167989912061	1.91953120065591e-11
"result.66"	0.0615797446137989	1.84317006102219e-11
"result.67"	0.0752972361783535	1.75675030078537e-11
"result.68"	0.0837451558834166	1.07764908108265e-11
"result.69"	0.0696738237297869	1.5280221532521e-11
"result.70"	0.123699338310587	1.00179864404026e-11
"result.71"	0.0895741849991567	1.13917764110738e-11
"result.72"	0.050999939176547	1.98281391305954e-11
"result.73"	0.0490892137489185	3.08901793033556e-11
"result.74"	0.0801943511618242	1.75328640494854e-11
"result.75"	0.076851852858689	1.55493395936901e-11
"result.76"	0.105616254182878	1.06794573184743e-11
"result.77"	0.0662075181480559	1.77806658285817e-11
"result.78"	0.100100054493058	6.97819579897896e-12
