""	"GATA2"	"PGR"
"result.1"	0.0413130698872877	2.48796538926399e-11
"result.2"	0.043906162374578	2.37581065931636e-11
"result.3"	0.0581830164573314	1.30149224730758e-11
"result.4"	0.039060146265564	3.86335408109062e-11
"result.5"	0.0438504558475956	3.29209992599999e-11
"result.6"	0.0580314064708567	1.33051347717128e-11
"result.7"	0.0387004503065715	2.58404408981505e-11
"result.8"	0.0354590958813306	3.3388847242577e-11
"result.9"	0.0429698113590891	2.36315411683563e-11
"result.10"	0.0427445175624683	3.07522896036971e-11
"result.11"	0.0420080271548255	2.32707186853531e-11
"result.12"	0.0401654388377599	2.62727617439396e-11
"result.13"	0.035610060387762	3.92068599808226e-11
"result.14"	0.0458862011240564	1.59763313689609e-11
"result.15"	0.0277130594388684	6.07125461016267e-11
"result.16"	0.055641898834925	1.40802924875061e-11
"result.17"	0.0333759577732891	4.35342872862066e-11
"result.18"	0.0263774785950959	4.9963144732601e-11
"result.19"	0.0432993597054645	2.55675480786977e-11
"result.20"	0.0385273332332212	2.8442359578662e-11
"result.21"	0.0413862803216667	2.77398104486792e-11
"result.22"	0.0377303987753879	2.55235832469225e-11
"result.23"	0.0383262384956962	2.84072765310839e-11
"result.24"	0.0361052156497328	2.84257062332927e-11
"result.25"	0.0496167439177617	1.7676304864267e-11
"result.26"	0.0334489030182974	3.95150578924586e-11
"result.27"	0.037616775554753	2.36859420965629e-11
"result.28"	0.0386916000755875	3.43891581877642e-11
"result.29"	0.0388911396452247	3.4543923277397e-11
"result.30"	0.0399112353188462	3.12998515994423e-11
"result.31"	0.0562612341197111	1.66917590860294e-11
"result.32"	0.0477862377155607	2.71715983046761e-11
"result.33"	0.052848708888604	2.12900808094219e-11
"result.34"	0.0389830080732643	3.0204727607952e-11
"result.35"	0.0440299625969016	2.64035460162404e-11
"result.36"	0.0333929668417856	4.22544221834187e-11
"result.37"	0.0441926606354757	2.15969464534282e-11
"result.38"	0.0482026165858795	1.68418612389587e-11
"result.39"	0.043034197554445	2.39550601577321e-11
"result.40"	0.0311510146951803	4.05064870534488e-11
"result.41"	0.0447215979326561	2.61086707809e-11
"result.42"	0.0419790294328828	2.50715004312951e-11
"result.43"	0.0378982795133935	2.69271271946536e-11
"result.44"	0.0491472773616561	2.93056690026106e-11
"result.45"	0.0316261580956321	3.59350327272523e-11
"result.46"	0.0439301761200868	3.68234331915573e-11
"result.47"	0.0411093186422409	2.61628496645017e-11
"result.48"	0.0461689367633982	2.78417289223398e-11
"result.49"	0.0419072359240953	2.69642086436761e-11
"result.50"	0.0466689789287849	2.08340011909058e-11
"result.51"	0.0379387497638075	3.88662435568676e-11
"result.52"	0.0515845276028608	1.75572889560272e-11
"result.53"	0.0428396744686459	2.24342766586005e-11
"result.54"	0.0408015906060992	2.51210163781934e-11
"result.55"	0.0374842072669233	2.99253954949563e-11
"result.56"	0.0347528338026213	3.53326257140907e-11
"result.57"	0.0526530437853192	2.2743806837866e-11
"result.58"	0.0474758238833559	2.04611882992367e-11
"result.59"	0.0379709274984641	3.21964677141295e-11
"result.60"	0.0393471769767169	3.28961302642483e-11
"result.61"	0.0330878991483732	3.07491809792282e-11
"result.62"	0.0440268083025448	3.35036443033232e-11
"result.63"	0.0413904174972179	2.1026069774166e-11
"result.64"	0.0350258482134367	3.36246586130073e-11
"result.65"	0.0503922870046927	2.21735962924186e-11
"result.66"	0.0394667793103387	2.92474933161202e-11
"result.67"	0.0387787890131619	2.29656293981861e-11
"result.68"	0.0541686968979578	1.39603884008466e-11
"result.69"	0.0388533341445338	2.40873987422674e-11
"result.70"	0.0383270645350597	3.01461078322518e-11
"result.71"	0.0511067330689265	2.26709762074506e-11
"result.72"	0.0311956781032834	3.8083092235297e-11
"result.73"	0.042315866806762	2.81068501806203e-11
"result.74"	0.0512527422599069	1.87949655838793e-11
"result.75"	0.0282107205093896	5.16473530609574e-11
"result.76"	0.0455850799783635	2.57773802303518e-11
"result.77"	0.0421381395775269	2.88180590501952e-11
"result.78"	0.0419032542028519	2.23601137605556e-11
"result.79"	0.0249002968473115	7.01823044124694e-11
"result.80"	0.0399426604784321	2.92850188543525e-11
"result.81"	0.0354208258957796	4.20232737496917e-11
"result.82"	0.041370489316638	3.42463835067974e-11
"result.83"	0.0393452939483028	2.99993363483964e-11
"result.84"	0.0732132928828417	8.47233394551949e-12
"result.85"	0.0371192025368396	2.83109091725464e-11
"result.86"	0.0358361680296877	3.0974778297832e-11
"result.87"	0.0409791244131434	3.25099946962837e-11
"result.88"	0.0557168738346763	2.15061302100139e-11
"result.89"	0.043953587830891	2.57556198590692e-11
"result.90"	0.0419988427441877	2.9221514097344e-11
"result.91"	0.0420053102870808	2.64890331891365e-11
"result.92"	0.0356365165336081	3.82769371753966e-11
"result.93"	0.0445455235254792	2.20903295655717e-11
"result.94"	0.0391462175330262	2.96258573229125e-11
"result.95"	0.0422047945202562	3.00497404737143e-11
"result.96"	0.0472367229509498	2.37827535443103e-11
