"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_Vegf_72_0001","-2.54801884927864","1.74413688026129","5.833480966488","3.01069596228928","4.36512824655416","2.83188012317803","5.0821208572178","-13.142401624298","-2.50930544458149","-0.00574902868074681","-3.42011828188408","-0.887417227855199","-0.216898411814778","6.19004892522309","-0.806650779354798","3.00501208054757","6.50295030339124","-4.66424513725282","0.699751979400007","0.568724864367025","-4.27812870238483","6.33489632643311","-1.52583926219013","-0.68370956663872","2.25155667050083","1.17939778065114","-0.143052177898754","-3.44702285362668","-0.674272951862679","-0.55079015395877","-3.52154947244706","-2.96562650820506","-4.1717256335601","-3.48089665877903","3.15841102281176","1.71556264344945","-4.41161999645477","-2.82950006297599","6.88889497586896","0.347667759590787","2.74252822577347","1.84178623019264","-1.54791148775742","-3.18919654812654","-0.259726071658477","0.838884983519452","4.84383126878335","3.05280713351562","-2.06052575347265","-0.958657818404934","3.00818971406307","-1.15796059008437","-0.31211500362567","-4.4667886564639","-3.60129257384525","-6.86278490589201","-2.45438065035179","1.11785231010527","4.844941372222","0.804338842075303","-3.13056276531185","5.38024465386076","-2.88215355902119","3.24977253651425","1.31925007017414","3.28894769228185","1.57037795467523","-6.21170832047351","-0.787947664827918","3.98982761404557","-0.251098537500785","6.53929672042854","2.76420669742878","-1.6309245702126","-6.4353209266555","-4.23872492986273","-9.27776792164636","-4.12641447089235","0.331174926420297","-5.01294292639596","2.12817798141363","0.712670974931192","-3.03046591079113","0.402422015981693","3.25920699116478","-6.27961551609814","-8.84350219240956","-0.421272227242659","3.13415366303637","-5.55708881450577","-1.42242423816812","5.05802398639557","-5.00800908538974","-2.38501588674445","1.03869931196142","-8.29190663362294","1.27973177638838","0.094558226946926","-2.45923447689945","3.46364875657738","-4.53380178472865","2.97354366320348","2.57959565596791","1.32347215495667","-0.523153785341992","-7.36541069006075","4.23508983597242","0.55577140121584","0.593662516861389","-2.57566818235464","-2.05955202955745","6.0407522713948","-1.8194352813649","-9.37592695711742","1.37224713635"
"Random_Vegf_72_0002","-2.64537280733824","1.5066637741037","5.11577268702465","2.58384913373202","3.91553705424824","2.98302793629099","5.27845615518966","-13.0090453716997","-1.86862088317587","0.244898929467278","-3.33343284759544","-0.726501598171678","0.00313598191287139","5.82020031360904","-0.712989617001244","2.84510274948638","6.23390504993674","-4.39725489111926","0.802759964044293","0.447608698944763","-4.64612900076236","5.97435996917145","-1.39641300183525","-0.670327852860019","2.21112746316972","1.04221686784288","-0.270834957297767","-3.35046986401918","-1.09798177685425","-0.271830122387313","-3.32516551945514","-2.82934087327673","-4.07648476366447","-3.56206615512813","3.21678237301314","1.78414422769918","-4.3317166221967","-2.83781316178719","6.54179045990114","0.492639587776079","2.53255216674982","1.85536748887326","-1.35344722903745","-2.88712572732446","-0.358240199711595","0.739685187730204","4.42543869503064","2.82159697016263","-1.86209768896156","-0.87329628963606","2.77537479320037","-1.01226305307385","-0.278440422236512","-4.33326731054784","-3.50480969155952","-6.45045187640501","-2.44655570368514","1.25142902468716","4.45701301539586","0.735531779505984","-2.7151635256755","5.09207797397792","-2.50682661790273","2.91042489241369","1.32031409159688","3.25917205155391","1.91313459460939","-5.5688695018081","-0.50563132809226","3.61454184896922","-0.362302240687663","6.0968396024601","2.87230401007316","-1.26731765021742","-6.43920471291435","-4.04113233733104","-8.98909502511924","-3.8002451064404","0.420853520581853","-5.0765773955759","2.01918117025604","0.845164353741166","-2.62018684643136","0.429727152423658","3.02601927305354","-5.87105808113232","-8.68626858247761","-0.288197781024847","2.68019054088588","-6.10725823248256","-1.42979595534048","4.68360626966652","-5.31703919508332","-2.42677603673433","0.860142805565834","-7.78454972259918","1.06592499290784","0.137854603946583","-2.49529807176607","3.52877081790453","-4.32235571808928","2.86238851616516","2.21930529928819","1.54642191528673","-0.748124486469208","-7.52147413423715","4.2021468317428","0.818616568890924","0.499261140363888","-2.42587193592086","-2.21904914668557","5.7297002598083","-1.73558277061523","-8.94907696438008","1.48845794691359"
"Random_Vegf_72_0003","-2.83390561534589","1.71997276968468","5.4647858073603","2.60865192350912","4.3145537529226","2.76142589982412","5.31516269907618","-12.8844965951744","-2.53802422520519","0.093788494814565","-3.47011790599751","-0.821396274941979","-0.0841751283703537","6.20354780125748","-0.856792241473262","2.81575306417147","6.42258068353084","-4.7295888906571","0.663059688624297","0.451864042173871","-4.50129367359979","6.18576956855418","-1.52119572056502","-0.57094874685923","2.04423245217817","1.11721077287863","-0.119309047382498","-3.62374141068652","-0.75172321881989","-0.317459797936566","-3.39827420318508","-2.77933334206473","-3.80978523172744","-3.42705303131101","3.40134629972484","1.71438592781017","-4.55767426293189","-2.95360467860664","6.78562428422752","0.349150702128207","2.80804630381154","1.76471586791096","-1.51244411653541","-3.31402445498579","-0.384185262402691","0.872751129901873","4.67137509317511","2.95774275839403","-1.81357237905678","-0.920571356316656","3.03336325218947","-1.10418527650694","-0.259866836607075","-4.49825894591151","-3.2164508231667","-6.76264121006311","-2.19490244183713","1.27520779512675","4.70151620238109","0.774585177572039","-3.02917648606333","5.47087767619452","-2.86399748163425","3.17579710874689","1.32712436134491","3.47043877665667","1.94160131843146","-5.96976475292463","-0.722277366111622","3.84174905568927","-0.402231980437784","6.18476364825823","2.99413765254391","-1.18888260217775","-6.58372190391811","-4.32210017995054","-9.16466102539445","-3.99255469697602","0.31967238349847","-5.20052438709286","1.98488784651369","0.822452966573647","-2.90744613914765","0.496198379318827","3.23946262136031","-6.22190035163386","-8.70469118354589","-0.374577389151634","3.00684702206672","-6.16952720029392","-1.53986100127402","4.99287814238468","-5.11274946556575","-2.38328922711783","1.03854570385342","-8.09295742083332","1.30227507969165","0.0553144919396242","-2.16451602753611","3.62271783492301","-4.48131223745094","3.02739231627365","2.41263982784399","1.32608040665344","-0.686307317191547","-7.61553238997504","4.25736633511245","0.673169171685616","0.611052353310994","-2.41084887908079","-2.09960569820871","6.01445843614235","-1.92630691439775","-9.52221650909441","1.44591572008471"
"Random_Vegf_72_0004","-2.64583420724368","1.5521070596768","5.39925485938377","2.61964191522989","4.11564173298415","2.61291588932311","5.25146311136666","-13.0205059424131","-2.10518282774689","0.09595883536144","-3.29742279562198","-0.83000792157257","-0.151991939452197","5.87691223828642","-0.987993871480053","2.82061622939026","6.38557775997831","-4.65221346338628","0.760644859341387","0.302336199316635","-4.21153886144424","6.23779485936246","-1.90590936842192","-0.726656044146242","2.37347015267054","1.11301322706588","-0.281205152032853","-3.64067789945171","-0.947480143808328","-0.455413998809182","-3.31501131350636","-2.78577860666513","-4.00804879131537","-3.337859926684","3.12428564899244","1.78565516943724","-4.29768591870174","-2.89137654952642","6.60040313836614","0.108971089716122","2.75337684105112","1.6268435913254","-1.36176168425399","-3.21967992444135","-0.427847479495079","0.638729136623589","4.66937785560333","2.92894550538232","-1.89386281138308","-0.866137145608736","3.0235728604613","-0.971468109878757","-0.156358168780884","-4.23828441953408","-3.60830865435263","-6.75505693879451","-2.26362660231544","1.04085119655257","4.74179623929619","1.01187346060633","-2.86222043304147","5.54592823365065","-2.7175813390952","3.28655499279826","1.25976401601804","3.32208082744167","1.88725672130663","-5.80585642079428","-0.771846550655278","3.67480560618825","-0.149909317203881","6.02394546516778","2.84792867684866","-1.39470026858115","-6.29038284741434","-3.601309685702","-8.65130205385312","-3.56691480710242","0.162047095100651","-4.94514093809062","1.88752745950366","0.365233376444377","-2.95745597539621","0.163202255937634","3.14049887339464","-6.06634232622162","-8.59611117736593","-0.29962245945647","3.10716807463889","-6.07363685787548","-1.55900479981284","4.81737569512469","-5.15135979138478","-2.59106432440796","1.05061639553023","-8.13862842325646","1.16465887384376","0.0958978587208805","-2.28459222615239","3.33723607663367","-4.62417796476038","2.8777289301132","2.41672318202082","1.14584591059431","-0.874204426455356","-7.39180195238516","4.44205712185094","0.430459626591348","0.91914682160696","-1.97368902291832","-2.13348335915874","6.03736602051691","-1.75983674815608","-9.31593808381438","1.07076610910003"
"Random_Vegf_72_0005","-2.7351440924548","1.57325367839243","5.61788043284904","2.64979490216642","4.26534878789779","2.75610117265605","5.52686024979986","-13.2179820520013","-2.24468333468005","0.142671493824892","-3.52832695412611","-0.961170082300741","-0.0311290390137671","5.9517960572656","-0.730254309092725","2.82922048567105","6.17253619964743","-4.73107214473872","0.759197600507738","0.44163221517445","-4.37538512089002","6.14489121739236","-1.70309992301573","-0.71287425444186","2.41912116860738","1.02792940286271","-0.0129313559972456","-3.71032313003029","-0.729061216917511","-0.507978727298421","-3.51283446432084","-2.88855221874283","-4.13733572133242","-3.51601580020157","3.16395535249363","1.86641883271423","-4.34726296832407","-2.87593107259787","6.51733604739461","0.120162818250451","2.77071519539","1.64408347596817","-1.61236518396744","-3.19946690315236","-0.0932679351172192","0.800242416040808","4.66875155809725","2.93935251515988","-1.79241548513884","-0.859984315161967","3.09944308890754","-1.12574769283383","-0.322145526319963","-4.21671261793195","-3.38778946441319","-6.44812427142601","-2.24898726758585","1.14033599462169","4.77378776188184","0.99571972520305","-2.89908088367997","5.48583633101906","-2.89392564809785","3.2184135255814","1.22205385220071","3.14052546182332","1.77488040368976","-6.0130181608529","-0.786081106909651","3.67606464109734","-0.0644019729963705","5.9636953390424","2.94293935883585","-1.46974068928391","-6.23694085179183","-4.14667139809336","-9.11639270106583","-3.93254997792394","0.288776964691822","-4.99257761645941","1.87398023603689","0.694939866464565","-2.81628505476582","0.39287225874037","3.14459259214279","-6.09447473295542","-8.76075426446636","-0.354079340008725","3.13493883370579","-5.94175547809806","-1.47317994590842","4.89848164734093","-5.08083966498875","-2.24791115025968","0.998663748612242","-7.90243601380495","1.09472890741104","0.0261508976107793","-2.13099312053379","3.49891186797539","-4.53567794856658","2.79692939672543","2.34212710461844","1.29628510150011","-0.616129010210027","-7.5389844408965","4.30020778635888","0.693571162311904","0.715660519625789","-2.56670355009192","-2.01977053838052","5.87997586702645","-1.7506728091941","-9.65575169572148","1.43372256799775"
"Random_Vegf_72_0006","-2.92253772129772","1.67295211882659","5.34687581236841","2.62620415119404","4.20927689633916","2.93392521774792","5.12007998437276","-13.1326905363152","-2.06667402911057","0.287708540700736","-3.20444121686244","-0.627589819036754","0.0193274933068274","5.99868846294884","-0.697780250137899","2.83654592004848","6.3970865596098","-4.7303990701186","0.889477223406088","0.287016609353812","-4.6454168719332","6.18208167982414","-1.46325687649372","-0.619136517613638","2.15973965023219","1.27070570404548","-0.101798294061894","-3.29735583545071","-1.02662636046387","-0.185136447764174","-3.15189739827867","-2.73354359729633","-3.94166764391059","-3.68313162776172","3.21225809628348","1.79203973041958","-4.37432350522445","-3.01633204850765","6.5863036385182","0.357290213513408","2.72266752471502","1.95979070759218","-1.30791731621435","-3.03843364549675","-0.614293328303149","0.65186072499936","4.67544302868013","2.77635851792378","-1.80579645694008","-0.918961818032872","2.96084663909749","-0.923671508650032","-0.0602975277238436","-4.36964437825224","-3.49060866999935","-6.57945121148856","-2.52292808904035","1.18373449944955","4.55927893695895","0.815732440353693","-2.89627259875615","5.36047419225906","-2.65401498789922","3.04776359508655","1.35135718257977","3.3830897044587","1.86618699421133","-5.71709204992947","-0.819120357592032","3.80137950919077","-0.355199181613614","6.12815715995998","2.89370717398753","-1.53144544080879","-6.58430240073525","-4.0796115067049","-9.34387216422412","-3.89088697264411","0.386883949088459","-5.34868893657727","2.03047037335702","0.743100577891985","-2.81471568417233","0.279512020458115","3.00353923262751","-6.16105690357272","-8.77577412988011","-0.165012750128285","3.02919562300008","-6.40355409973547","-1.59753697350538","4.79644731921526","-5.25842334310027","-2.46273179506685","0.989125894980012","-8.28659220464847","1.11092159258843","0.287583163901529","-2.32082918599288","3.52194705976824","-4.41117359847432","3.01020244419357","2.31980287188198","1.48369386034773","-0.689388181180278","-7.71806563300912","4.16016296758779","0.704314893233773","0.421710995126649","-2.27165155155114","-2.34677409045864","5.80436775678301","-1.79431948615469","-9.50505808109286","1.27900990594119"
"Random_Vegf_72_0007","-2.73121630717871","1.75593886672997","5.71374118568736","2.8810973226941","4.40199942505056","2.7193846002335","5.22181339895954","-13.1480056576014","-2.38535795206501","0.138403648150005","-3.48278767178272","-0.845003015253497","-0.192089555230807","6.24279667169219","-0.772407871227801","2.92577300415303","6.39514580968682","-4.74226078571437","0.647056253551851","0.526226812282913","-4.25699320814358","6.2958903067416","-1.60479902892895","-0.505632174921772","2.44403428756216","1.10763053468461","-0.124070801894959","-3.5080424331271","-0.670739212179699","-0.484931188086555","-3.50501221501814","-3.04122789485434","-4.11431821880318","-3.34826474668216","3.29055356318965","1.58108666307914","-4.35306047478831","-2.86529131830055","6.91400819202594","0.244633343190701","2.88696170252181","1.70044162339798","-1.48163292651843","-3.2462017051917","-0.208626228825681","0.730988764225017","4.83233449766282","3.07391620475195","-1.95981792435524","-0.749656768893848","3.18781381984426","-1.07379045955259","-0.296272822007032","-4.24866199338593","-3.47100186207866","-6.77389668875934","-2.24187654108945","1.22251993853629","4.8845001204422","0.897228718413398","-3.06062685544798","5.62580798412188","-2.82236562504324","3.18936023244195","1.18248125459932","3.2325442672307","1.65914589923468","-5.98271131510903","-0.726931832494659","3.93773162442774","-0.268637677792059","6.19625000588681","3.08135795059556","-1.59111247019064","-6.55770246668474","-4.26243743589533","-9.20484086967239","-3.78368127439034","0.241498745213431","-4.96495479860692","2.10788423401653","0.69119104168569","-2.88278883484414","0.514355675115531","3.32438784702052","-6.14848864532188","-8.83182406576042","-0.369996510049095","3.14078636446286","-5.9753759927002","-1.35355449852055","5.05593333983738","-5.08447061183774","-2.32072221525815","1.04162617583229","-8.26459424174222","1.25246516050935","0.0303815207918985","-2.33910402231951","3.59295185517717","-4.57264949069896","2.98663618431721","2.5684208023594","1.25961867579163","-0.714805999337888","-7.49359814713368","4.38071175021854","0.641905502779582","0.705465063184946","-2.52916509566917","-1.99577337175184","6.11169850057624","-1.87444971573986","-9.32671307100781","1.32272757802026"
"Random_Vegf_72_0008","-2.62049894950621","1.40720940016751","5.57685099037027","2.54367098633675","4.22287902722395","2.76251615817442","5.55581383717962","-13.1330688527171","-2.01304313071832","0.35397022815591","-3.36244137490702","-0.731173095028848","0.0594278903539851","5.84899175040956","-0.767812954973641","2.63290005934729","5.92224883820759","-4.61694816623929","0.735066382921105","-0.0623421308388168","-4.44558317118463","6.10483250035771","-1.62146931849065","-0.688429954280642","2.40901118229781","1.3226271739308","-0.108564698467706","-3.44703305982724","-0.792334229191467","-0.409025486996425","-3.45345243441994","-2.61313767961322","-3.94461240211207","-3.24286616020113","3.00771063649774","1.81513485948456","-4.33219067570382","-3.00634557168229","6.59854163350563","0.317811127203827","2.77538380854929","1.75703160272038","-1.41211638107793","-3.29746505004153","-0.415549910900038","0.485496153793132","4.7126702496348","2.93259005947867","-1.93062871511214","-0.821455269474395","3.20872646750781","-1.04463124873707","-0.0357629368544856","-4.4495599270043","-3.18903712879491","-6.58663484637801","-2.6557696138363","0.903802957903593","4.5855624622389","0.765487638893659","-2.92868864747122","5.54724594297339","-2.8376982491883","3.19729470073202","1.34159305002608","2.98550188148971","1.86350625898773","-5.79859144709405","-0.636151830329952","3.46551841591607","-0.142998955624648","6.08304849730292","2.93026272722756","-1.55051165953568","-6.36489306346732","-4.04289738911051","-9.19623119502166","-3.92240141050933","0.262197384175284","-5.04447744815326","1.85656773399763","0.633020774456076","-2.93570096897023","0.151594646756135","3.05424156416268","-6.12282790651174","-8.75098417338907","-0.146321276556247","2.84091003544103","-6.40728681295259","-1.61303946231935","4.49037587862612","-5.18531808389371","-2.51233698784862","0.899615523525602","-8.0493632297634","1.07846653769862","0.18793388400987","-2.34342287380792","3.26001986787147","-4.47255212926223","2.62506653253094","2.17760485427194","1.41245393539845","-0.814832936621321","-7.390985302341","4.20713187101263","0.660245320335","0.808573223492263","-2.37256430414147","-2.10363370546399","6.00482626380994","-1.52988408126303","-9.5218683774751","1.26699908346247"
"Random_Vegf_72_0009","-2.94821969130322","1.99747261045305","5.69327884013132","3.01490812701325","4.37268666615757","2.49350129799552","5.2163131532257","-13.1113692251562","-2.42863987004788","-0.237437105630305","-3.73551594305801","-1.06454270780824","-0.331836972949184","6.38550900973616","-1.11512281957786","2.75617127295652","6.36412866473183","-4.69002886032924","0.399259847280549","0.510703937189911","-4.24438987510787","6.47486394532077","-1.72237371430939","-0.415739636960288","2.69837903957557","1.11009325552234","-0.00239024517160366","-3.79346890074149","-0.615447356867351","-0.721862476769407","-3.60066900277905","-3.01663410012797","-4.09673552133858","-2.91865373302108","3.18025311618873","1.3245986976661","-4.12513435086519","-2.5735957424873","6.53440634000615","-0.108119219892101","3.02255720056917","1.39494339874783","-1.61202605929097","-3.55849013140969","-0.0326669025962083","0.919133476911345","4.81306908402024","3.29921231832765","-2.02544743369485","-0.515154411165071","3.29938357276019","-1.44225244537403","-0.510109406707419","-4.5299398019603","-3.16655901708403","-6.64687104743328","-2.11212663010693","1.21671175105545","4.94383335844661","1.02350686000734","-2.97499370255842","5.76299794508524","-2.75590355136049","3.52299999176634","0.794079084099725","3.40246068925296","1.35785560091325","-6.15228144819027","-0.9566748831286","3.95888527611652","-0.148423400885454","6.46886718320989","3.28873658732601","-1.55643142585939","-6.63893531253148","-4.29316324822705","-9.05260333233454","-3.6752633392393","0.137556670983254","-4.71005573103079","2.36865177075888","0.450595271564546","-2.86658656753961","0.568492359297976","3.27702747448175","-6.25630812364758","-8.96526175813278","-0.478460668337631","3.4588277662582","-5.70424586916014","-1.20688840639485","4.91964868105634","-5.03477194000612","-2.29758888565631","1.22813228912665","-7.58903567618092","1.33222808812267","-0.166696465438359","-1.88827620742455","3.36981629033157","-4.78360811725844","2.87354483738645","2.65515807303487","0.890061446916763","-1.05266827530775","-7.38645827150864","4.77204645159348","0.467721088921198","0.836308873334742","-2.45146020250279","-1.66519755957116","6.33070951405772","-1.91429934865641","-9.59425308123289","1.03088765131058"
"Random_Vegf_72_0010","-2.73408924457424","1.61274350434642","5.62373624139564","2.72128638447375","4.3866765065488","2.96201980060974","5.69215585156971","-13.3641276150113","-2.16465719425605","0.31925021315634","-3.40638322420093","-0.863891409850721","-0.0201752677679609","6.04834284231785","-0.81086008256708","3.00433609946618","6.27568084897946","-4.91454223486147","0.793069244505656","0.350322404557742","-4.6593355174711","6.24562551650159","-1.61130524501406","-0.66885100528849","2.49887399005774","1.19801087800996","-0.310546154281965","-3.51422611572291","-0.964177161291325","-0.343691849662826","-3.42287413365902","-2.96636600851452","-4.2914080968229","-3.64221423450866","3.15917434829722","1.91032814652159","-4.24098276290509","-2.93840198250049","6.5871537671482","0.385125807230575","2.94710933340614","1.92475138159608","-1.66554163011585","-3.31493900105845","-0.323174881646199","0.673240960208665","4.8571923362564","2.97843159665067","-1.71755536977406","-0.953397794868095","3.07028214045241","-1.08982605818978","-0.257942871046709","-4.47617301513","-3.54389126491372","-6.75774962929781","-2.53421819419778","1.07186725468611","4.88124287027419","1.07118005223605","-2.86367980013046","5.69984991393961","-2.72504966891034","3.14768771627701","1.42593539686604","3.21807252251061","2.02174835712269","-6.05717716558822","-0.647692850711823","3.63864554838595","-0.153501714708802","6.04176229546347","2.93816286079845","-1.43915177574016","-6.49935846489853","-4.21564871563436","-9.34325352122578","-4.02505460197945","0.488006004266828","-5.1092421106886","1.98205474015629","0.907736554011296","-2.63565343253551","0.291521772821916","3.18655237811179","-6.22202214378361","-8.79576943277927","-0.292267780988126","3.07672344076614","-6.17647305766082","-1.33715756436897","4.93485052558519","-5.25777866905667","-2.48709922149379","0.963942184749964","-8.42589620541509","1.14881933213956","0.22301378682661","-2.42269763022283","3.38690332714511","-4.58546471078521","2.87197800675692","2.43195320986144","1.51519667923358","-0.728245200315052","-7.68303686291332","4.44316398506539","0.859181888564003","0.722617209376108","-2.62042261612031","-2.22463269300681","6.17975411327762","-1.8415798395626","-9.68130440465124","1.57740972999211"
