""	"GATA2"	"PGR"
"result.1"	0.0406730940388773	3.77748943236611e-11
"result.2"	0.0503058108624326	3.16362491759037e-11
"result.3"	0.0333591831324922	4.61137794616207e-11
"result.4"	0.0361600127930057	4.9279025304827e-11
"result.5"	0.0298567391330633	5.8285820614401e-11
"result.6"	0.0382072569942116	4.21338519629444e-11
"result.7"	0.0322108133295087	6.19566620230216e-11
"result.8"	0.0327755917128252	5.19451148761618e-11
"result.9"	0.0331581040808753	4.40218972386219e-11
"result.10"	0.0328759566748109	4.4243719798942e-11
"result.11"	0.0384093368037839	4.8532511343069e-11
"result.12"	0.0391617936524149	3.82747167293473e-11
"result.13"	0.0505197479128767	2.74262834665251e-11
"result.14"	0.03939528026737	3.72839537021719e-11
"result.15"	0.0303999124286494	6.26609875098438e-11
"result.16"	0.027455531063862	7.25222104591694e-11
"result.17"	0.0284294622240895	4.84892126451086e-11
"result.18"	0.0251287866482623	8.58855209173726e-11
"result.19"	0.0348297601887677	5.22224485877132e-11
"result.20"	0.0318180719484695	5.21145349097196e-11
"result.21"	0.02741808749395	5.24360554976511e-11
"result.22"	0.0315564775955217	6.24063023479948e-11
"result.23"	0.0372270212057149	4.04609679094392e-11
"result.24"	0.035468146808741	4.17852419332121e-11
"result.25"	0.0336572455527071	5.4162896390153e-11
"result.26"	0.0433821652815569	2.60973465060488e-11
"result.27"	0.0394676033091002	3.21940252234754e-11
"result.28"	0.0238458477481938	6.32851548942881e-11
"result.29"	0.0272503153903703	7.07360836571524e-11
"result.30"	0.0327931787151721	5.60671509219901e-11
"result.31"	0.0356102221125356	5.11564124394681e-11
"result.32"	0.031594206781496	5.81739101335188e-11
"result.33"	0.0312569814136727	4.87394569148591e-11
"result.34"	0.0375454973433642	3.86428666843130e-11
"result.35"	0.0325574366247912	5.29962740358769e-11
"result.36"	0.0373947432954558	3.83404419324052e-11
"result.37"	0.030031258147325	4.78244110979631e-11
"result.38"	0.0289269550107212	6.16138251530174e-11
"result.39"	0.0344663109792516	4.37341274306391e-11
"result.40"	0.0405386867055026	4.05908640033203e-11
"result.41"	0.0200922819750819	9.60129753480032e-11
"result.42"	0.0324312841652135	5.49398304627857e-11
"result.43"	0.0334055424710771	3.57864848865574e-11
"result.44"	0.03241234080285	4.4898529338866e-11
"result.45"	0.0308271712319188	6.93287649511376e-11
"result.46"	0.028244261218944	7.47402140177655e-11
"result.47"	0.0273925981777638	6.01685368195604e-11
"result.48"	0.0352702104578617	4.2040149139666e-11
"result.49"	0.0384747527128855	4.35831370992901e-11
"result.50"	0.0383411146877104	4.93032281667638e-11
"result.51"	0.0350933552151802	3.9546366181753e-11
"result.52"	0.0284234949462485	7.57374163384839e-11
"result.53"	0.0317630091402685	5.19755349870366e-11
"result.54"	0.0413374537450351	2.83559842273462e-11
"result.55"	0.0315474928945543	4.53024284752246e-11
"result.56"	0.046919839326353	2.57986965124246e-11
"result.57"	0.0384005878572273	4.38880043418521e-11
"result.58"	0.0348649233641065	3.66058294787308e-11
"result.59"	0.038989185406588	3.4502400936276e-11
"result.60"	0.0328324359779844	3.70297126295327e-11
"result.61"	0.0358331049600766	4.28743707203694e-11
"result.62"	0.0320911989823225	4.8195003543583e-11
"result.63"	0.0326402976789639	3.91289223244939e-11
"result.64"	0.0319158229036132	5.02999863982723e-11
"result.65"	0.0358382360865279	4.22917256770461e-11
"result.66"	0.0327302663549054	5.14077669322432e-11
"result.67"	0.0332830772359152	4.69699834582116e-11
"result.68"	0.0347894724936841	4.85995688137564e-11
"result.69"	0.0379615619779565	4.10917966320312e-11
"result.70"	0.0341491050474247	5.49345013922675e-11
"result.71"	0.0387079505262273	3.29161142786916e-11
"result.72"	0.029813797349117	4.80298023575187e-11
"result.73"	0.0367808475053557	3.91782162267873e-11
"result.74"	0.0409355594456893	5.01836350252916e-11
"result.75"	0.0308719214534421	4.4042325342275e-11
"result.76"	0.0313010192020009	3.85345089171096e-11
"result.77"	0.0423178286076706	2.89790413887658e-11
"result.78"	0.0369474460004848	4.39459579837376e-11
"result.79"	0.0345468202047168	4.22990531490086e-11
"result.80"	0.0306277502670569	6.21405149558996e-11
"result.81"	0.0429916430616288	3.29232197060492e-11
"result.82"	0.0324574822996535	5.40025801853972e-11
"result.83"	0.0287991855676852	6.4049654469045e-11
"result.84"	0.0360308846554493	3.1659119770211e-11
"result.85"	0.0356064810553507	5.07305308872219e-11
"result.86"	0.0308312833247226	5.49811307593018e-11
"result.87"	0.0332651812486204	4.18314272110365e-11
"result.88"	0.0384330052557322	3.84494658334233e-11
"result.89"	0.0234899438453151	6.46362963152569e-11
"result.90"	0.047014906744731	2.26427765426251e-11
"result.91"	0.0387644432854535	4.31121804922441e-11
"result.92"	0.0342417185016857	4.29538626889325e-11
"result.93"	0.0362343825101141	3.95925514595774e-11
"result.94"	0.0328663594400085	4.70543604080831e-11
"result.95"	0.0437001786657663	3.03641556342882e-11
"result.96"	0.0411143892867065	3.92632593104736e-11
"result.97"	0.0352213741015552	4.21911394710150e-11
"result.98"	0.0298270576152091	5.53910250999934e-11
"result.99"	0.0321816093134668	5.41460210001787e-11
"result.100"	0.0429981676694435	3.46151995955779e-11
"result.101"	0.0336649303668533	4.54931647908552e-11
"result.102"	0.0286457450225235	5.9023452791962e-11
"result.103"	0.0343755754465316	4.18556300729733e-11
"result.104"	0.0330666941209246	4.92146323693987e-11
"result.105"	0.0443154136285371	2.65929500642414e-11
"result.106"	0.027236645613925	6.47852882451616e-11
"result.107"	0.0328853343902615	4.28705959620856e-11
"result.108"	0.0357728143564322	4.99900121297969e-11
"result.109"	0.0322161195874655	5.61299895451839e-11
"result.110"	0.0344871166479017	4.93156626646396e-11
"result.111"	0.0345341117421223	4.57924809182941e-11
"result.112"	0.0324875166739294	4.83788564764609e-11
"result.113"	0.0268524335175009	6.20807849571747e-11
"result.114"	0.0393902037723648	3.57553986418679e-11
"result.115"	0.0262274000989933	6.3792082727332e-11
"result.116"	0.0308345523438995	5.20439247253535e-11
"result.117"	0.0406674688073767	3.45106165866582e-11
"result.118"	0.0332706891375438	5.24729149020686e-11
"result.119"	0.0267902538193705	6.62763177672332e-11
"result.120"	0.0231156270280244	8.37341307402539e-11
"result.121"	0.0289032419749451	5.78717074262158e-11
"result.122"	0.0370005093084793	4.16815471027121e-11
"result.123"	0.0299283050448511	5.56381607452749e-11
"result.124"	0.0308657520159632	6.92796930934492e-11
"result.125"	0.0264934936866796	6.98792135267468e-11
"result.126"	0.0297200427608755	6.99471591758538e-11
"result.127"	0.0418278269594092	3.45754536112963e-11
"result.128"	0.0400363966848754	4.23112656022795e-11
"result.129"	0.0338604113498859	3.65363295173893e-11
"result.130"	0.035662718544466	4.45499193091337e-11
"result.131"	0.0315600448132916	4.49593695606154e-11
"result.132"	0.0341696930751669	4.50284254327471e-11
"result.133"	0.0469644442037893	3.57429641439921e-11
"result.134"	0.0292446000102318	5.56021895192771e-11
"result.135"	0.0269979887008212	6.46205311483072e-11
"result.136"	0.0314918863781901	4.89817075788324e-11
"result.137"	0.0347746586861035	4.23145962713534e-11
"result.138"	0.0408503944376337	4.08255651507261e-11
"result.139"	0.030430760303497	6.60633769911101e-11
"result.140"	0.0384361490019154	3.81625842038602e-11
"result.141"	0.0354104010698779	4.75659511778304e-11
"result.142"	0.0322332059961989	4.89723817054255e-11
"result.143"	0.0410000616328554	2.92765811593654e-11
"result.144"	0.0264246510236477	5.80984149678443e-11
"result.145"	0.0190176820532262	1.40605083132073e-10
"result.146"	0.0384340313450253	4.22355483920001e-11
"result.147"	0.0304779346427371	4.73996397687415e-11
"result.148"	0.0270384531206815	4.94813079399137e-11
"result.149"	0.0314366202037923	4.21984669429776e-11
"result.150"	0.0404707890237639	3.97091248771630e-11
"result.151"	0.030920057460156	5.41666711484368e-11
"result.152"	0.0296001708323801	5.61395374631957e-11
"result.153"	0.0300774152065399	5.00408603443248e-11
"result.154"	0.0288999345297514	5.5525584130578e-11
"result.155"	0.0393455330625958	4.43116654480491e-11
"result.156"	0.030279697771574	6.94060364736515e-11
"result.157"	0.0403154487877604	4.36966018924068e-11
"result.158"	0.0381939863790959	4.01365607416437e-11
"result.159"	0.0565129663584569	2.15747419929357e-11
"result.160"	0.0286230080435688	6.19420070790966e-11
"result.161"	0.0390460582927687	3.59010599026988e-11
"result.162"	0.0267662058574258	6.50934861567976e-11
"result.163"	0.0329216020263179	4.98678875970882e-11
"result.164"	0.033260287519135	4.58562077199076e-11
"result.165"	0.0299810276670354	5.08570963120292e-11
"result.166"	0.0316635854505083	4.22424317747527e-11
"result.167"	0.0328809350889023	4.82798245826643e-11
"result.168"	0.0315330962167257	4.60411708758102e-11
"result.169"	0.0382037369649482	4.12061496035676e-11
"result.170"	0.0292465897573699	5.57869306305747e-11
"result.171"	0.0385279320224707	4.26536583830739e-11
"result.172"	0.0279195103348773	6.42683684048961e-11
"result.173"	0.0304347449155122	5.61226620732214e-11
"result.174"	0.0328643272276856	5.38089572899025e-11
