""	"GATA2"	"PGR"
"result.1"	0.080314467468567	4.86610751693206e-12
"result.2"	0.125492772751397	1.57229784747415e-12
"result.3"	0.0887463713754186	3.83404419324052e-12
"result.4"	0.0816471568759387	5.37969668812366e-12
"result.5"	0.0902336326560562	4.2605918793015e-12
"result.6"	0.135313313234813	1.69064762189919e-12
"result.7"	0.0730935720717367	6.01496630281417e-12
"result.8"	0.128054650386236	2.83040257897937e-12
"result.9"	0.0345646059633342	2.29016805519677e-11
"result.10"	0.134103179481019	2.31037411424495e-12
"result.11"	0.0868753376553906	3.90176779774265e-12
"result.12"	0.0515646087735295	5.62949686866432e-12
"result.13"	0.057669056165037	1.24589227823435e-11
"result.14"	0.0832205596989852	4.74820183171687e-12
"result.15"	0.0761220828111671	7.18047843406566e-12
"result.16"	0.153498938012823	1.59872115546023e-12
"result.17"	0.0935374182615811	4.74065231514942e-12
"result.18"	0.0615556258275836	8.78919159674751e-12
"result.19"	0.13887144734919	1.69397829097306e-12
"result.20"	0.08479810253302	5.03708186272434e-12
"result.21"	0.0612418664468732	4.92694773868152e-12
"result.22"	0.0662871305137569	4.56301663120939e-12
"result.23"	0.0615996672461994	1.10185194301948e-11
"result.24"	0.0870880614901497	4.29145607938608e-12
"result.25"	0.0600245622239692	7.26840809761597e-12
"result.26"	0.118120999566091	3.06465963717528e-12
"result.27"	0.0745828479850903	6.87405687926912e-12
"result.28"	0.0825882107757503	6.22857321275205e-12
"result.29"	0.0798535222036036	5.45230527393414e-12
"result.30"	0.0611958037067195	8.47477643617367e-12
"result.31"	0.0730936020853235	7.33013649778513e-12
"result.32"	0.0789518528059527	5.49671419491915e-12
"result.33"	0.0898902986212022	3.79185571830476e-12
"result.34"	0.0622217714991156	7.13562542387081e-12
"result.35"	0.0652230555587625	5.40478772848019e-12
"result.36"	0.057911899152026	1.13400400181263e-11
"result.37"	0.0503469320574339	1.22222232334934e-11
"result.38"	0.0814972617656999	7.12696568427873e-12
"result.39"	0.0765171577234087	7.54307727390824e-12
"result.40"	0.077099769196979	8.3260065508739e-12
"result.41"	0.0912973489660434	3.714140106581e-12
"result.42"	0.0694134929598309	5.64925883850265e-12
"result.43"	0.067724608785497	8.14459610865015e-12
"result.44"	0.0913954964156298	5.79114534104974e-12
"result.45"	0.0613025434750472	7.62367946549602e-12
"result.46"	0.122335029681097	2.20667928374496e-12
"result.47"	0.0732678359526844	7.54751816600674e-12
"result.48"	0.0577492909796766	5.86930504198335e-12
"result.49"	0.0539469381331652	1.04740660589187e-11
"result.50"	0.0887878962651789	4.68181049484429e-12
"result.51"	0.0743266674794434	5.62017099525747e-12
"result.52"	0.117843503304627	2.63078447915177e-12
"result.53"	0.0913179280386291	4.37894165372654e-12
"result.54"	0.0704530744418506	6.15330009168247e-12
"result.55"	0.108901888371868	3.83049147956172e-12
"result.56"	0.13327725930047	2.63145061296655e-12
"result.57"	0.0546695725839488	9.1970875359948e-12
"result.58"	0.0546374312294879	1.27235999514141e-11
"result.59"	0.0879417892553471	9.30788779385239e-12
"result.60"	0.0677812723932498	6.53566090136337e-12
"result.61"	0.0447033308650113	1.18527410108982e-11
"result.62"	0.0398749341718869	2.00470751110515e-11
"result.63"	0.0609225991910929	5.59774449016004e-12
"result.64"	0.0856442897865159	4.04365430028975e-12
"result.65"	0.0742618182714483	6.99773572421236e-12
"result.66"	0.104730064146702	3.82871512272231e-12
"result.67"	0.0936266452830181	2.29705143794945e-12
"result.68"	0.0807730210281905	4.36761737887537e-12
"result.69"	0.0699397290342154	6.0444982352692e-12
"result.70"	0.0626278415150388	4.65338878541388e-12
"result.71"	0.0826389177344107	4.17288426035611e-12
"result.72"	0.0755103372569799	6.23390228327025e-12
"result.73"	0.0705646307932553	6.3762328750272e-12
"result.74"	0.0816657446839839	4.5923265190595e-12
"result.75"	0.0877691978148116	6.37734309805182e-12
"result.76"	0.0536902102086356	7.41962047356992e-12
"result.77"	0.0835074060531977	6.79101219702716e-12
"result.78"	0.0991444466206903	5.00488539501021e-12
"result.79"	0.0876581221775248	4.26525481600493e-12
"result.80"	0.0382163706356757	1.3316459046564e-11
"result.81"	0.106272324830672	3.15947268347827e-12
"result.82"	0.0583960282217835	9.32742771908579e-12
"result.83"	0.0566761724986609	2.33841834784698e-11
"result.84"	0.125764139092633	3.06110692349648e-12
"result.85"	0.0601414317044289	7.93587418002062e-12
"result.86"	0.0971410075601882	4.44289049994495e-12
"result.87"	0.0774969362866016	3.24762439163351e-12
"result.88"	0.0835059087169567	6.14130968301652e-12
"result.89"	0.120034783948254	2.62412314100402e-12
"result.90"	0.0537199386291878	1.20337073639121e-11
"result.91"	0.063735577285569	7.70894459378724e-12
"result.92"	0.0486315719023771	8.20321588435036e-12
"result.93"	0.0557160989592476	9.71311919784057e-12
"result.94"	0.0624164846525828	5.00954833171363e-12
"result.95"	0.0632532954785154	6.3984373355197e-12
"result.96"	0.0543717647610973	8.4936502275923e-12
"result.97"	0.126770880741393	2.01838545876853e-12
"result.98"	0.0996871416821792	2.58504329053721e-12
"result.99"	0.0788276857092443	6.32804919575847e-12
"result.100"	0.105664576928518	2.87836421364318e-12
"result.101"	0.0898022388193187	2.47246667584022e-12
"result.102"	0.0632939469033496	6.98952007383014e-12
"result.103"	0.059480496462635	8.56270609972398e-12
"result.104"	0.0942034443343731	3.41260353309281e-12
"result.105"	0.0684720752229868	7.56150697611702e-12
"result.106"	0.0576207951247405	5.94746474291696e-12
"result.107"	0.052732381080933	9.04609720464578e-12
"result.108"	0.0429138061865943	1.23747678770769e-11
"result.109"	0.0822139665806039	6.85762557850467e-12
"result.110"	0.0911544711467895	3.43414185977053e-12
"result.111"	0.0945344087843702	4.70090633086784e-12
"result.112"	0.0979504655965049	4.12336831345783e-12
"result.113"	0.0657550771496049	5.67501601267395e-12
"result.114"	0.0845270542214067	4.69912997402844e-12
"result.115"	0.090192834090334	4.69313476969546e-12
"result.116"	0.104595747952953	2.84638979053398e-12
"result.117"	0.0613384819367471	1.06998854221274e-11
"result.118"	0.0940814295165993	4.60853577521902e-12
"result.119"	0.090263997914809	4.59543514352845e-12
"result.120"	0.0851615010686977	4.43045600206915e-12
