""	"GATA2"	"PGR"
"result.1"	0.0295273510380774	3.88642451554233e-11
"result.2"	0.0265489110046924	5.42046407758789e-11
"result.3"	0.0339883979032356	3.8189895690266e-11
"result.4"	0.0364531420570331	6.40754116432163e-11
"result.5"	0.039174764814583	3.13511439031799e-11
"result.6"	0.0280191149267537	3.41033867812257e-11
"result.7"	0.0269236917935336	5.36575228693437e-11
"result.8"	0.0197293073434814	9.46378531097025e-11
"result.9"	0.0377468302545108	2.86322077158729e-11
"result.10"	0.0247345760690505	7.30342453181265e-11
"result.11"	0.0303447984833607	5.05118169513707e-11
"result.12"	0.0225147686148892	6.76674272170885e-11
"result.13"	0.0341573852901522	4.72104577653454e-11
"result.14"	0.0342132118155358	6.2429617031512e-11
"result.15"	0.0209572669529814	7.90361109892501e-11
"result.16"	0.0339536095654851	3.49096307417085e-11
"result.17"	0.0191447444562605	1.03213437796512e-10
"result.18"	0.0409113940397181	3.66731089940231e-11
"result.19"	0.0394436482299727	3.87812004731813e-11
"result.20"	0.0292671391749666	5.11646280898503e-11
"result.21"	0.0366860926740815	3.67512686949567e-11
"result.22"	0.0326234379019614	5.46023226632997e-11
"result.23"	0.0299133701663481	5.03099784054939e-11
"result.24"	0.0332581442076272	5.0238702087313e-11
"result.25"	0.0461066867127999	3.28499449864239e-11
"result.26"	0.0331807430466795	6.37243591228298e-11
"result.27"	0.0329981184086086	4.14672740589594e-11
"result.28"	0.0275617202656506	5.83713077872972e-11
"result.29"	0.0343770615600922	3.61815022387191e-11
"result.30"	0.0447172890766203	1.30140342946561e-11
"result.31"	0.0377631854010054	2.78117529006749e-11
"result.32"	0.0233594342017338	1.0782463810699e-10
"result.33"	0.0375405792250669	4.57940352305286e-11
"result.34"	0.0183880392339608	1.99777305809334e-10
"result.35"	0.0260552858734167	8.47377723545151e-11
"result.36"	0.0370874787550035	3.09225978156746e-11
"result.37"	0.0290028822822657	5.47788481242151e-11
"result.38"	0.0279854251191465	3.61273233551174e-11
"result.39"	0.0251926634667889	6.78399558751153e-11
"result.40"	0.0259094902025503	4.92366147852863e-11
"result.41"	0.0352924980880469	3.85240728206782e-11
"result.42"	0.0376415646393748	3.74906772293571e-11
"result.43"	0.038108896597647	3.92825771911021e-11
"result.44"	0.0303451315765242	6.82336409596473e-11
"result.45"	0.0213770416899914	1.34751987346249e-10
"result.46"	0.0300241265574868	5.31772403888908e-11
"result.47"	0.0352302955790882	3.5177638579853e-11
"result.48"	0.0216305041530302	4.83972861786697e-11
"result.49"	0.0195954545972001	9.34781141381791e-11
"result.50"	0.0315834550931369	4.05655509183589e-11
"result.51"	0.0220815095551867	6.05899774797081e-11
"result.52"	0.0196041023174842	8.57105497686916e-11
"result.53"	0.040526736980159	2.20761187108565e-11
"result.54"	0.0147777786931236	1.34152244868346e-10
"result.55"	0.0170946792194271	1.21113119533334e-10
"result.56"	0.0222404174304691	6.11932726712894e-11
"result.57"	0.0235189449933373	5.92117466169384e-11
"result.58"	0.0373170974136261	2.39506192656336e-11
"result.59"	0.0213525111724904	7.42665928754604e-11
"result.60"	0.0271142670010827	5.40243405566798e-11
"result.61"	0.0322241473851306	3.5542013776535e-11
"result.62"	0.0222946925673639	7.30402405224595e-11
"result.63"	0.0275882219459824	4.75752770512372e-11
"result.64"	0.0309616745313084	3.88225007696974e-11
"result.65"	0.0623070768582392	1.08881792471038e-11
"result.66"	0.035996402612819	3.52993190233519e-11
"result.67"	0.0306784603804269	6.74151845458937e-11
"result.68"	0.0210290926422418	1.46451295535144e-10
"result.69"	0.0313293422190548	4.72564209985649e-11
"result.70"	0.0162006873806466	9.77562475412697e-11
"result.71"	0.0266334259478722	7.23727744400549e-11
"result.72"	0.0452805898835016	2.8016033937206e-11
"result.73"	0.0259802886710607	4.44515535491519e-11
"result.74"	0.0218060439083734	7.49187378801253e-11
"result.75"	0.0245086583464202	9.01090313476516e-11
"result.76"	0.0169935155273997	7.90554288698786e-11
"result.77"	0.0427518580704482	3.01014768666619e-11
"result.78"	0.0411581057089927	2.16167084232666e-11
"result.79"	0.0287766326931695	5.22979437533877e-11
"result.80"	0.0265285789303635	9.4473540102058e-11
"result.81"	0.0408746023644275	4.08173495003439e-11
"result.82"	0.0220448171614183	7.45439265870118e-11
"result.83"	0.0158951031316557	1.49009471428485e-10
"result.84"	0.0364841405873393	4.810019049728e-11
"result.85"	0.0246167045895904	6.30298035986243e-11
"result.86"	0.0287817485197079	7.34685645653599e-11
"result.87"	0.0324842817498503	5.6550319982307e-11
"result.88"	0.0415731985582704	2.74393840982157e-11
"result.89"	0.0296031488587172	3.32534000335727e-11
"result.90"	0.0302674591009771	5.03435071408376e-11
"result.91"	0.0171587905409369	1.29557697903238e-10
"result.92"	0.0273330067128241	5.10185227398097e-11
"result.93"	0.0269862177562685	6.76505518271142e-11
"result.94"	0.0182645777104551	9.86659642876475e-11
"result.95"	0.0322810191662537	4.31714664017591e-11
"result.96"	0.0345846348735535	3.35658167927022e-11
"result.97"	0.0254855412269976	8.524159156309e-11
"result.98"	0.0338194098900773	3.95081745097059e-11
"result.99"	0.0358202685857958	2.86553003547851e-11
"result.100"	0.0315617531860732	4.65347760325585e-11
"result.101"	0.034720787381689	2.81452638972723e-11
"result.102"	0.0176971428424932	1.00646158074369e-10
"result.103"	0.0341828941441771	3.57109897208829e-11
"result.104"	0.044428769063092	1.8016921288222e-11
"result.105"	0.0271618932272237	4.38042935257954e-11
"result.106"	0.0209924639872607	5.81625858586676e-11
"result.107"	0.0188679169688606	8.33439983694007e-11
"result.108"	0.0280798416877841	5.69397862193455e-11
"result.109"	0.0267333457484087	4.66304772572812e-11
"result.110"	0.0479336580634429	2.93789437222358e-11
"result.111"	0.0353980351870622	4.09172695725601e-11
"result.112"	0.04600632583095	2.23254748021873e-11
"result.113"	0.0398218072801726	3.80200315674983e-11
"result.114"	0.0257848311354119	5.99935656708794e-11
"result.115"	0.0477232737524256	1.84092741051245e-11
"result.116"	0.0385192622794142	2.53137510952683e-11
"result.117"	0.025569291613281	6.03490590833644e-11
"result.118"	0.0217207724210373	6.58417764753949e-11
"result.119"	0.0267474539384631	6.10882455731598e-11
"result.120"	0.0460425510863491	2.03381755881082e-11
"result.121"	0.029356487563889	4.55324666859269e-11
"result.122"	0.0323316102322759	4.07462952267679e-11
"result.123"	0.0252211796304405	7.77078401625886e-11
"result.124"	0.0241373053076115	6.43882724915557e-11
"result.125"	0.0386065486539899	3.38289396495384e-11
"result.126"	0.0551927217632306	2.68425282001772e-11
"result.127"	0.0346085603363762	5.66611202401646e-11
"result.128"	0.0188760284638794	1.24951826663278e-10
"result.129"	0.0204697388061517	5.55480106356754e-11
"result.130"	0.0274771007138079	3.62732066605531e-11
"result.131"	0.0313766070156207	5.47510925485994e-11
"result.132"	0.0261340907170466	4.70521399620338e-11
"result.133"	0.0393805812301131	4.72104577653454e-11
"result.134"	0.02843063742567	5.37676569933865e-11
"result.135"	0.0259693285784113	5.1100457199027e-11
"result.136"	0.0287952528999997	5.24464915940825e-11
"result.137"	0.0338543643825482	3.77480269264652e-11
"result.138"	0.0258938371364785	7.27542470713161e-11
"result.139"	0.0333851700114665	5.41302558332291e-11
"result.140"	0.0436455357287802	2.73046030230262e-11
"result.141"	0.0176543125035167	1.10748743509248e-10
"result.142"	0.019041787256012	1.0767853275695e-10
"result.143"	0.0306804103297582	5.83142423238314e-11
"result.144"	0.0233400805100907	6.99174051987939e-11
"result.145"	0.0166741382449787	1.01550545750229e-10
"result.146"	0.0462578627712604	1.96183069789413e-11
"result.147"	0.0154378727102771	1.35141675627892e-10
"result.148"	0.023999792815427	9.0623286652658e-11
"result.149"	0.0361441751603269	3.65889540887565e-11
"result.150"	0.0241224118745431	7.94078136578946e-11
"result.151"	0.0287314212763021	5.13857845163557e-11
"result.152"	0.024180736863636	6.29083451997303e-11
"result.153"	0.034613319666069	3.4481528743413e-11
"result.154"	0.0188815711371024	7.87800935597716e-11
"result.155"	0.0330776234390839	4.85129714178356e-11
"result.156"	0.0306708658862302	4.62851978966228e-11
"result.157"	0.0306097812510726	5.74444936063401e-11
"result.158"	0.0356604428421543	2.78888023785839e-11
"result.159"	0.0355588895514976	3.93276522459018e-11
"result.160"	0.0208677748724306	8.8093754513352e-11
"result.161"	0.0348155642613392	3.20299342604358e-11
"result.162"	0.0194393634501109	7.67099717080555e-11
"result.163"	0.0141483720222957	1.65841562704827e-10
"result.164"	0.0479867811531351	2.36457520230715e-11
"result.165"	0.0342953706680358	3.64597241286901e-11
"result.166"	0.0288093315369156	4.52387016736111e-11
"result.167"	0.0266994630814754	6.09094996661952e-11
"result.168"	0.0377770047652031	4.62949678592395e-11
"result.169"	0.0245528445461958	6.09785555383269e-11
"result.170"	0.0354793814873138	3.34552385794495e-11
"result.171"	0.024445310180452	5.74313929746495e-11
"result.172"	0.0271796351217799	5.17594855864445e-11
"result.173"	0.0225905872326642	9.50548528777517e-11
"result.174"	0.0296400279557338	4.19986267985450e-11
"result.175"	0.0308037218364143	4.80875339547993e-11
"result.176"	0.0232921768424266	6.68818334048638e-11
"result.177"	0.0337897625661838	3.32365246435984e-11
"result.178"	0.0260692275583623	5.14093212444777e-11
"result.179"	0.0286957465803983	4.00759425644992e-11
"result.180"	0.0301182289624924	5.0570436727071e-11
"result.181"	0.0302265546130365	3.62216923122105e-11
"result.182"	0.0374037045141775	3.58391094579247e-11
