""	"GATA2"	"PGR"
"result.1"	0.29288959601512	1.89426252461544e-12
"result.2"	0.389374591008572	7.46069872548105e-13
"result.3"	0.235933723234846	2.97584179520527e-12
"result.4"	0.40786694937573	7.72715225139109e-13
"result.5"	0.183268510516868	5.91149351691911e-12
"result.6"	0.37811201811145	5.06705788438921e-13
"result.7"	0.37860793951858	6.05737682235485e-13
"result.8"	0.195837247814999	6.48281428539121e-12
"result.9"	0.335263783075286	1.53987933515509e-12
"result.10"	0.361174966118371	6.96998014859673e-13
"result.11"	0.258972400079443	1.84430248850731e-12
"result.12"	0.0980658644107431	1.04414255019947e-11
"result.13"	0.392147381932438	1.90580884407154e-12
"result.14"	0.0727820288920702	1.36000100070532e-11
"result.15"	0.255901291550471	1.10911280160053e-12
"result.16"	0.224573047183065	4.91406915159587e-12
"result.17"	0.280642542650005	1.49946721705874e-12
"result.18"	0.669819488609864	1.94955163124177e-13
"result.19"	0.412119440206835	7.20090653771877e-13
"result.20"	0.114145664298546	1.30100374917674e-11
"result.21"	0.268837711901057	1.65378821748163e-12
"result.22"	0.210817805580815	2.74091860319459e-12
"result.23"	0.366306164462391	8.90842954959226e-13
"result.24"	0.261961993088451	3.73479025483903e-12
"result.25"	0.362086149765674	8.02469202199063e-13
"result.26"	0.0535805001834571	5.34832178544775e-11
"result.27"	0.160248475488989	2.34945396471176e-12
"result.28"	0.142458766648442	6.33337826627667e-12
"result.29"	0.108306890319084	1.65136793128795e-11
"result.30"	0.132015097880317	8.47144576709979e-12
"result.31"	0.0506028226990083	2.37247999024248e-11
"result.32"	0.154380333683249	6.84630130365349e-12
"result.33"	0.184884362230204	2.11253237125675e-12
"result.34"	0.215769211928816	6.63713528581411e-12
"result.35"	0.117352171157056	2.50033327375832e-11
"result.36"	0.101320182217181	3.10980130535654e-11
"result.37"	0.173546179296553	6.75304256958498e-12
"result.38"	0.222930579873033	2.98827629308107e-12
"result.39"	0.177959466864243	5.18052267750591e-12
"result.40"	0.40177194494726	1.28741461935533e-12
"result.41"	0.209374853372329	1.12452269718233e-11
"result.42"	0.199338619642063	9.15045816896054e-13
"result.43"	0.0715878643986687	4.51638726417514e-11
"result.44"	0.246834308179527	1.37423405988102e-12
"result.45"	0.29733522954203	4.64073224293315e-13
"result.46"	0.227626695757292	3.04067881984338e-12
"result.47"	0.600183686636514	2.42472708578134e-13
"result.48"	0.455144113382736	2.04058991926104e-13
"result.49"	0.263743101638151	5.89439608233988e-12
"result.50"	0.276406025939055	1.74860126378462e-12
"result.51"	0.627236399968929	1.0369483049999e-13
"result.52"	0.0250245408960639	1.3138601318019e-10
"result.53"	0.341840593817125	9.87210313496689e-13
"result.54"	0.0968719655561707	2.47646347872887e-12
