""	"GATA2"	"PGR"
"result.1"	0.132190066447873	2.18114415417858e-12
"result.2"	0.0985643236903995	1.84452453311224e-12
"result.3"	0.130087403367212	3.84781095874587e-12
"result.4"	0.0953915591170176	6.30584473526596e-12
"result.5"	0.0908022816084144	4.70223859849739e-12
"result.6"	0.105202177466767	5.62860869024462e-12
"result.7"	0.074309445769837	5.59885471318466e-12
"result.8"	0.126003907777408	3.08686409766779e-12
"result.9"	0.0606846544869044	5.98410210272959e-12
"result.10"	0.134903526104909	1.5842882561401e-12
"result.11"	0.0806664179497394	6.99174051987939e-12
"result.12"	0.129305925426013	3.22253335127698e-12
"result.13"	0.102709115651107	7.76267938817909e-12
"result.14"	0.169496343417649	1.63380420303838e-12
"result.15"	0.0702902163953016	6.13042949737519e-12
"result.16"	0.152796780963162	2.01372252206511e-12
"result.17"	0.101806316862497	4.01523259085934e-12
"result.18"	0.229074879552397	1.09268150083608e-12
"result.19"	0.0787971736758575	2.15283346705064e-11
"result.20"	0.176527697179986	2.10631512231885e-12
"result.21"	0.139493278471446	2.51443310617105e-12
"result.22"	0.130035555231298	1.3926637620898e-12
"result.23"	0.0679748063499803	6.82498502158069e-12
"result.24"	0.0980988019286972	5.18363130197486e-12
"result.25"	0.180600793675556	1.80500059343558e-12
"result.26"	0.0411746486078544	2.04420924632132e-11
"result.27"	0.0961238425669129	5.77604630791484e-12
"result.28"	0.0844564230990832	4.1062708788786e-12
"result.29"	0.101354476625499	4.59920990181217e-12
"result.30"	0.147558331109389	1.86273219071609e-12
"result.31"	0.0769442324683798	5.43010081344164e-12
"result.32"	0.113811233415723	3.06576986019991e-12
"result.33"	0.0946894700124958	4.6109782658732e-12
"result.34"	0.109964651638224	3.00603986147507e-12
"result.35"	0.103625933309818	2.32813768263895e-12
"result.36"	0.20746646099254	9.86322135076989e-13
"result.37"	0.225592855260704	9.73221503386412e-13
"result.38"	0.0815945170136179	5.74607028624996e-12
"result.39"	0.126406728473437	2.84683387974383e-12
"result.40"	0.0685896804425865	5.80424597274032e-12
"result.41"	0.109270431562848	4.70534722296634e-12
"result.42"	0.142835480806502	2.80375722638837e-12
"result.43"	0.114540001222317	3.27582405645899e-12
"result.44"	0.166414312674694	2.00151006879423e-12
"result.45"	0.0700481096026813	7.12718772888365e-12
"result.46"	0.0443521863162768	8.02868882487928e-12
"result.47"	0.147901126312869	2.36144437337771e-12
"result.48"	0.0837473339255814	4.76818584616012e-12
"result.49"	0.17502284431818	1.20681242776755e-12
"result.50"	0.152753310732969	3.07376346597721e-12
"result.51"	0.121271828255471	2.74358313845369e-12
"result.52"	0.147367495594163	2.08166817117217e-12
"result.53"	0.136776013748641	2.26796359470427e-12
"result.54"	0.117648425016335	3.47455397786689e-12
"result.55"	0.0811276452946537	7.60591589710202e-12
"result.56"	0.171473451417661	1.26876287254163e-12
"result.57"	0.129656083452209	3.60533825016773e-12
"result.58"	0.0917308822366583	3.41437988993221e-12
"result.59"	0.107476106237587	4.73954209212479e-12
"result.60"	0.117968068164666	4.27524682322655e-12
"result.61"	0.136696116052626	2.38853381517856e-12
"result.62"	0.0730992653985612	3.79074549528013e-12
"result.63"	0.179900715200723	1.57940327483175e-12
"result.64"	0.12751035584301	2.37254660362396e-12
"result.65"	0.111244766839361	4.20818935253919e-12
"result.66"	0.116306517844857	2.17692530668501e-12
"result.67"	0.167499267942492	1.24233956455555e-12
"result.68"	0.102646641206004	2.67386113250723e-12
"result.69"	0.099562837837067	3.42481598636368e-12
"result.70"	0.133782602682367	4.0751846341891e-12
"result.71"	0.0884393497104208	4.21440660147709e-12
"result.72"	0.182289930067368	9.37694366598407e-13
"result.73"	0.0700946831156994	9.46331901729991e-12
"result.74"	0.142164386665444	1.82454051866898e-12
"result.75"	0.103546803973338	5.15765208319863e-12
"result.76"	0.159550166595548	8.1379347705024e-13
"result.77"	0.172230132025466	2.42073028289269e-12
"result.78"	0.105336043005675	2.56883403437769e-12
"result.79"	0.170021430427864	1.24411592139495e-12
"result.80"	0.0551079658413827	1.05830899599368e-11
"result.81"	0.100316920109143	4.18287626757774e-12
"result.82"	0.149732034148195	1.54321000422897e-12
"result.83"	0.0879042945185973	3.90687482365593e-12
"result.84"	0.0783592369719752	3.62354590777159e-12
"result.85"	0.105220524817947	3.82005538313024e-12
"result.86"	0.237270596215011	5.54889467707653e-13
"result.87"	0.081546659594155	4.65361083001881e-12
"result.88"	0.174407692189042	1.44173561977823e-12
"result.89"	0.0747450717062659	5.49937873017825e-12
"result.90"	0.100575653736663	2.84727796895368e-12
"result.91"	0.119477690148129	1.74060765800732e-12
"result.92"	0.180492178524169	8.25783885716191e-13
"result.93"	0.0823101087544136	5.22137888481211e-12
"result.94"	0.139173507044005	1.48259182708443e-12
"result.95"	0.07563046923364	5.02353714182391e-12
"result.96"	0.130969926430841	2.39053221662289e-12
"result.97"	0.0787315466321432	7.22888415793932e-12
"result.98"	0.10432186151913	5.24225107767506e-12
"result.99"	0.0647917137285012	1.34863231693316e-11
"result.100"	0.18242423261442	1.9479973190073e-12
"result.101"	0.0471749648848527	1.03050901145707e-11
"result.102"	0.149900706030617	2.41606734618927e-12
"result.103"	0.138826287278916	3.15369952375022e-12
"result.104"	0.123194127112171	1.85140791586491e-12
"result.105"	0.102981771614984	2.79842815587017e-12
"result.106"	0.0506088916102485	1.2910561508761e-11
"result.107"	0.098680163854453	4.49995596341068e-12
"result.108"	0.219685187095009	9.17488307550229e-13
"result.109"	0.124418855615525	3.83648668389469e-12
"result.110"	0.0526728596399502	1.28308474955929e-11
"result.111"	0.0990478578811957	2.64144262018817e-12
"result.112"	0.104980013689283	3.42126327268488e-12
"result.113"	0.10884995736684	2.33102426250298e-12
"result.114"	0.0964550337221399	8.10151945529469e-12
"result.115"	0.143691593275985	3.90998344812488e-12
"result.116"	0.0527890336194015	1.85451654033386e-11
"result.117"	0.108640798678167	3.89310805815057e-12
"result.118"	0.134058114939027	2.39719355477064e-12
"result.119"	0.109522398947437	3.80295794855101e-12
"result.120"	0.0920337514145797	5.04774000376074e-12
"result.121"	0.105662430851328	3.25717230964528e-12
"result.122"	0.170346867447405	1.91824334194735e-12
"result.123"	0.205146010757456	1.5647483309067e-12
"result.124"	0.156486964749317	1.88382642818397e-12
"result.125"	0.110905560366751	3.70481423317415e-12
"result.126"	0.0871161845987105	6.39643893407538e-12
"result.127"	0.0917966921550102	5.71409586314076e-12
"result.128"	0.171574692826556	9.09716746377853e-13
"result.129"	0.0846812775209846	3.27071703054571e-12
"result.130"	0.0628416112686938	9.08673136734706e-12
"result.131"	0.108755024049673	2.55218068900831e-12
"result.132"	0.136504202705381	1.30540023235426e-12
"result.133"	0.188822760934576	1.63891122895166e-12
"result.134"	0.112136453674555	4.94670970851985e-12
"result.135"	0.0889439985976577	6.5758509748548e-12
"result.136"	0.0674595663074649	6.83031409209889e-12
"result.137"	0.134259220672956	1.39643852037352e-12
"result.138"	0.099600835693564	3.26938476291616e-12
"result.139"	0.0790322656653446	5.53068701947268e-12
"result.140"	0.0989168809828198	2.54796184151473e-12
"result.141"	0.0611539124379572	3.68571839715059e-12
"result.142"	0.0995993358595657	3.3966163215382e-12
"result.143"	0.0974266816933913	6.07403016772423e-12
"result.144"	0.0944579396111001	3.43192141372128e-12
"result.145"	0.167645074153706	1.55231383303089e-12
"result.146"	0.0922905141955574	3.41926487124056e-12
"result.147"	0.0748528563077224	7.35034255683331e-12
"result.148"	0.112302284263604	3.67172958704032e-12
"result.149"	0.0609489555143359	7.60458362947247e-12
"result.150"	0.0865752827013468	8.37152569488353e-12
"result.151"	0.118769822611303	2.22288853990449e-12
"result.152"	0.161875166839735	1.79167791714008e-12
"result.153"	0.114413185389328	5.42033085082494e-12
"result.154"	0.259120270910086	1.0405010186787e-12
"result.155"	0.176214111306278	1.27919896897311e-12
"result.156"	0.0936959279413407	4.51172432747171e-12
"result.157"	0.117186453843121	2.58948418263572e-12
"result.158"	0.13148195905174	3.23585602757248e-12
"result.159"	0.0813743051844993	5.00399721659051e-12
"result.160"	0.0576381192488076	6.62248034188906e-12
"result.161"	0.0900520491090115	4.02833322254992e-12
"result.162"	0.0797058362586145	6.31983354537624e-12
"result.163"	0.125222488116625	3.02802227736265e-12
"result.164"	0.0974022148462024	6.75615119405393e-12
"result.165"	0.0940358289380638	4.81548134700915e-12
"result.166"	0.114408829544904	2.01594296811436e-12
"result.167"	0.118864043301412	2.92699198212176e-12
"result.168"	0.0531263767833485	1.40920608515671e-11
"result.169"	0.115880163765852	2.87947443666781e-12
"result.170"	0.132646726945118	2.02682315375569e-12
"result.171"	0.239908360143524	8.54649684356446e-13
"result.172"	0.0884218095948968	4.15534273656704e-12
"result.173"	0.0681505470772976	5.74273961717608e-12
"result.174"	0.0882960140638529	4.12092582280366e-12
"result.175"	0.106970539788173	2.16981987932741e-12
"result.176"	0.0466931355867446	1.10005338171959e-11
"result.177"	0.0661137328695254	9.03432884058475e-12
"result.178"	0.160769374637376	1.51079149190991e-12
"result.179"	0.131036282462485	3.96505051014628e-12
"result.180"	0.110452505159687	4.83280082619331e-12
"result.181"	0.115448754415708	2.159161738291e-12
"result.182"	0.132470285575849	2.4651392038777e-12
"result.183"	0.180908947197616	7.65609797781508e-13
"result.184"	0.0656355858780917	8.57469650838993e-12
"result.185"	0.0625294479153036	5.38324940180246e-12
"result.186"	0.0669052084349715	7.91056109505917e-12
"result.187"	0.14790463613791	2.86193291287873e-12
"result.188"	0.152881130782104	2.43183251313894e-12
"result.189"	0.19548298535365	4.91606755304019e-13
"result.190"	0.106395047723701	4.68802774378219e-12
"result.191"	0.0437570960469214	1.57114321552854e-11
"result.192"	0.136591111836618	7.54285522930331e-13
"result.193"	0.0989648371896343	3.10995673657999e-12
"result.194"	0.166521877140903	2.22244445069464e-12
"result.195"	0.164437608542169	2.25353069538414e-12
"result.196"	0.111870556600366	2.05924166607474e-12
"result.197"	0.111958198439053	3.08242320556928e-12
"result.198"	0.0652020798133468	5.71009906025211e-12
"result.199"	0.080453599269227	1.01867403401457e-11
"result.200"	0.0950104907561566	3.29403171406284e-12
"result.201"	0.0855669930332204	5.09614572763439e-12
"result.202"	0.123912519441196	3.05400149613888e-12
"result.203"	0.0572137836083977	9.5625729557014e-12
"result.204"	0.135254979621768	3.8675729285842e-12
"result.205"	0.0934284201804656	3.53828077948037e-12
"result.206"	0.0899522850289751	4.36495284361627e-12
"result.207"	0.0988042779972444	2.70361510956718e-12
"result.208"	0.112967909602666	4.31610303053276e-12
"result.209"	0.108907662833678	5.37347943918576e-12
"result.210"	0.0720206577682172	1.29392052627963e-11
"result.211"	0.107197007906849	5.2824411511665e-12
"result.212"	0.053023190212796	1.96633820337411e-11
"result.213"	0.100026018103056	4.61652938099633e-12
"result.214"	0.154472235849956	2.24686935723639e-12
"result.215"	0.129046940775171	2.86481949274275e-12
"result.216"	0.0380443571453022	1.41684441956613e-11
"result.217"	0.105412680307035	3.20810045195685e-12
"result.218"	0.12387782597283	3.83093556877157e-12
"result.219"	0.106762608859343	5.3019810763999e-12
"result.220"	0.103031536991102	4.29034585636145e-12
"result.221"	0.0842153406965094	4.24749124761092e-12
"result.222"	0.0633100868975633	9.193534822316e-12
"result.223"	0.207642311077463	1.2205791932729e-12
"result.224"	0.134251723139709	5.08371122975859e-12
"result.225"	0.0513590000204041	9.2210683533267e-12
"result.226"	0.111319124535181	7.20357107297787e-12
"result.227"	0.0977708394645906	5.01021446552841e-12
"result.228"	0.12836478481464	1.65578661892596e-12
"result.229"	0.194706292764448	1.00319752505129e-12
"result.230"	0.158554344185779	1.49547041417009e-12
"result.231"	0.0494137054547221	9.59388124499583e-12
"result.232"	0.128014997160828	1.9204637879966e-12
"result.233"	0.139180331892395	2.99871238951255e-12
"result.234"	0.147747493180675	2.74535949529309e-12
"result.235"	0.0801551217594401	9.00857166641345e-12
"result.236"	0.0879968566331355	5.30220312100482e-12
"result.237"	0.124674632085708	2.65543143029845e-12
"result.238"	0.08161933599157	1.16406884131948e-11
"result.239"	0.125467555267679	2.85482748552113e-12
"result.240"	0.123664119709429	1.89581683684992e-12
