""	"GATA2"	"PGR"
"result.1"	0.0315679830217164	6.66646737812471e-11
"result.2"	0.0389187547195755	3.99369426418161e-11
"result.3"	0.0329345911486709	7.58839657777344e-11
"result.4"	0.0295422670891554	4.4454218084411e-11
"result.5"	0.0376276157124373	4.52913262449783e-11
"result.6"	0.0280434019125095	1.12763354209733e-10
"result.7"	0.0265438469884589	6.7583050267217e-11
"result.8"	0.0322626238286519	4.92821339292959e-11
"result.9"	0.0311943953629048	6.92577106775616e-11
"result.10"	0.0284010667882411	6.05455685587231e-11
"result.11"	0.0279916148418777	4.86883866557264e-11
"result.12"	0.0198475947712409	1.8255197353767e-10
"result.13"	0.0147665836494013	2.21439089287401e-10
"result.14"	0.0448273257589953	2.576783231234e-11
"result.15"	0.0174096618153869	8.5593976351106e-11
"result.16"	0.0164742653036289	1.34899647008524e-10
"result.17"	0.0263706571051383	3.9294567599768e-11
"result.18"	0.0368673785381741	2.76578759894619e-11
"result.19"	0.0411351804383393	3.26525473326456e-11
"result.20"	0.0134965336547921	2.25130358799674e-10
"result.21"	0.0321782939065236	5.97843996530401e-11
"result.22"	0.0154891829279586	2.13060680209765e-10
"result.23"	0.0202124355089648	1.47436063357986e-10
"result.24"	0.0275662018804335	6.79478695531088e-11
"result.25"	0.0219932746189213	1.31414656934226e-10
"result.26"	0.0454030559798064	4.1927794569574e-11
"result.27"	0.0153686366427164	2.16032525202081e-10
"result.28"	0.035656410868288	3.53326257140907e-11
"result.29"	0.0353473033739518	4.02797795118204e-11
"result.30"	0.021697505669223	1.10930153951472e-10
"result.31"	0.0269834569894409	5.03850294819586e-11
"result.32"	0.0279757064559034	6.27311536050001e-11
"result.33"	0.0166207590687639	1.53168810967941e-10
"result.34"	0.0513835119578958	2.73048250676311e-11
"result.35"	0.0388832032444919	3.32072147557483e-11
"result.36"	0.0205356325592079	1.50155443634503e-10
"result.37"	0.0313335555629339	5.12312414713278e-11
"result.38"	0.0202814324953189	1.58153490303903e-10
"result.39"	0.0285103400079618	7.26929627603567e-11
"result.40"	0.0399807825640552	4.18012291447667e-11
"result.41"	0.0242058589942358	8.34470270660859e-11
"result.42"	0.0221845968539167	1.02468700191594e-10
"result.43"	0.0192158106812208	9.94431204048851e-11
"result.44"	0.0314785762136895	6.09490236058718e-11
"result.45"	0.0305564598069716	5.62829782779772e-11
"result.46"	0.0145323560667441	2.06605843544594e-10
"result.47"	0.0241208742190455	1.15857767823968e-10
"result.48"	0.0382522663645073	3.67363917064267e-11
"result.49"	0.045004647907946	2.86854984210549e-11
"result.50"	0.0328306896384623	4.52222703728467e-11
"result.51"	0.0307669397737986	3.80222520135476e-11
"result.52"	0.0292468726130553	3.50199869103562e-11
"result.53"	0.0202434707841244	7.75048913936871e-11
"result.54"	0.0378339577564837	4.46522818720041e-11
"result.55"	0.0403317104349763	4.84416950996547e-11
"result.56"	0.048680193424423	2.57129872949236e-11
"result.57"	0.0239353616360729	3.80959708223827e-11
"result.58"	0.0261654894681496	8.44562197954701e-11
"result.59"	0.028731495227273	7.65636443134099e-11
"result.60"	0.0276821027364078	6.57105481138842e-11
"result.61"	0.0122274351028979	2.09959161168172e-10
"result.62"	0.0186379956709417	1.69852798492798e-10
"result.63"	0.0406427142447638	3.36519700994131e-11
"result.64"	0.0219801170449587	9.54134549147057e-11
"result.65"	0.013111329134823	1.68802971600712e-10
"result.66"	0.0274840575125896	7.34086125220301e-11
"result.67"	0.0328650476326202	6.99089675038067e-11
"result.68"	0.0537879240893224	1.8111734334525e-11
"result.69"	0.0369715537543174	5.12399012109199e-11
"result.70"	0.0208900623322896	9.79443193216412e-11
"result.71"	0.0362473720852579	3.67335051265627e-11
"result.72"	0.0333610767163135	3.5568659129126e-11
"result.73"	0.0241015321805951	6.33848529218994e-11
"result.74"	0.020978895439925	7.65374430500287e-11
"result.75"	0.0487922913724255	1.86934911994285e-11
"result.76"	0.0327227241103225	6.72741862217663e-11
"result.77"	0.0227493446777642	8.28026536225934e-11
"result.78"	0.0153725694837017	1.64188662665765e-10
"result.79"	0.0193135461622511	9.42323996611094e-11
"result.80"	0.037465293393268	5.03193042789007e-11
"result.81"	0.0197290464565387	1.64955382686571e-10
"result.82"	0.0323671444176592	9.54187839852239e-11
"result.83"	0.0291027455564248	5.99862381989169e-11
"result.84"	0.0181005318688165	1.65185864986483e-10
"result.85"	0.0252166891076293	9.04789576594567e-11
"result.86"	0.0441624474041358	2.73836509023795e-11
"result.87"	0.0197063995012143	2.58789878415655e-10
"result.88"	0.018949027644042	1.17024612222849e-10
"result.89"	0.0371454186302234	5.21305221212742e-11
"result.90"	0.0363134171300623	4.67619276633968e-11
"result.91"	0.0249807598762133	8.46096526174733e-11
"result.92"	0.0198817024992231	7.65025820470555e-11
"result.93"	0.0329158340416351	4.12310185993192e-11
"result.94"	0.0204878366113357	1.27365673563418e-10
"result.95"	0.0193401471001977	1.50161438838836e-10
"result.96"	0.0363413221386613	4.22515356035547e-11
"result.97"	0.0298660525521866	6.69091448912695e-11
"result.98"	0.0497333816994765	1.8994139594497e-11
