""	"GATA2"	"PGR"
"result.1"	0.0168423591437432	1.5423595733921e-10
"result.2"	0.0270984649068335	1.34354971592643e-10
"result.3"	0.00886868161732068	3.06660252746838e-10
"result.4"	0.0366777496147543	3.11146663989348e-11
"result.5"	0.0344167888321312	4.12681000483417e-11
"result.6"	0.0440714663282797	2.15107931467173e-11
"result.7"	0.0358704557369875	3.924416347445e-11
"result.8"	0.0430165949550945	2.48725484652823e-11
"result.9"	0.0589450085589871	1.62592161956354e-11
"result.10"	0.022477364002941	9.60447277265075e-11
"result.11"	0.0191875985125087	5.88833426462543e-11
"result.12"	0.00931950614121768	1.89888771373603e-10
"result.13"	0.0387640627329398	5.41040545698479e-11
"result.14"	0.0321879021449483	1.02273745028469e-10
"result.15"	0.0235286143274314	9.70497016083982e-11
"result.16"	0.0248510661032273	4.27964330640407e-11
"result.17"	0.0338494821425026	7.46449568822527e-11
"result.18"	0.0371033624697044	2.68867150765573e-11
"result.19"	0.0142180207669003	2.0291412994311e-10
"result.20"	0.0174820325082758	1.21207710535032e-10
"result.21"	0.0281864831033816	5.33983968153962e-11
"result.22"	0.0626104244522958	1.30813138099484e-11
"result.23"	0.0276812872436569	3.19151371996895e-11
"result.24"	0.019393523936617	7.29538651711437e-11
"result.25"	0.025800009764557	7.02213842629362e-11
"result.26"	0.0254461011916753	4.37589964263907e-11
"result.27"	0.0155682504156316	1.40550682203866e-10
"result.28"	0.0143244433128182	2.42061037880603e-10
"result.29"	0.0333809403312486	8.19699863541246e-11
"result.30"	0.0275491543906299	4.3766990032168e-11
"result.31"	0.0363138333025388	2.59685606351923e-11
"result.32"	0.0211444276372574	2.17596163309963e-10
"result.33"	0.0515351023622805	2.98931990272422e-11
"result.34"	0.0479616008425476	2.73683298246397e-11
"result.35"	0.0111054004689011	2.03643324425684e-10
"result.36"	0.0183865687249118	8.97539820243765e-11
"result.37"	0.0132859930339053	3.66328523071502e-10
"result.38"	0.0533831117432833	2.0946133716393e-11
"result.39"	0.0154237101232211	7.22484294612968e-11
"result.40"	0.0364732258055602	8.86284379220115e-11
"result.41"	0.0284589312220807	9.23245924155935e-11
"result.42"	0.0295733692314244	6.05877570336588e-11
"result.43"	0.0519165608347374	1.90147897427551e-11
"result.44"	0.0437578121359889	2.86484169720325e-11
"result.45"	0.157322039718482	2.48046028161752e-12
"result.46"	0.0189229550865897	9.19659903786396e-11
"result.47"	0.0237361761961599	6.30921981326082e-11
"result.48"	0.0298451619742321	5.15156806102368e-11
"result.49"	0.013868677947025	3.33574945443615e-10
"result.50"	0.0385443437231294	6.099898364198e-11
"result.51"	0.0243402746515098	6.05033800837873e-11
"result.52"	0.0258956610829024	9.83819692379484e-11
"result.53"	0.0287767310776992	4.65756322398647e-11
"result.54"	0.0386175275257363	3.72941677539984e-11
"result.55"	0.010188233204339	7.92973464669444e-10
"result.56"	0.0186292676257573	1.26601173988661e-10
"result.57"	0.0183564438576993	1.86272108848584e-10
"result.58"	0.0528502886196223	2.72979416848784e-11
"result.59"	0.10609037678318	4.27169410954775e-12
"result.60"	0.0530588658908402	2.90143464809489e-11
"result.61"	0.0399091362245716	4.07023303949927e-11
"result.62"	0.0215848520008577	3.94737575959425e-11
"result.63"	0.0517028613806072	8.9897644883763e-11
"result.64"	0.0230423076166888	8.02067301464149e-11
"result.65"	0.01718694393535	9.8433483586291e-11
"result.66"	0.0618492809376412	2.20590212762772e-11
"result.67"	0.0489772987807759	2.18540741059314e-11
"result.68"	0.0336602048250372	3.88420406949308e-11
"result.69"	0.0670805131524759	1.54627421977693e-11
"result.70"	0.0581166153232524	1.36815003770607e-11
"result.71"	0.0320257676090423	6.437539390447e-11
"result.72"	0.0179086964985331	2.05673034159304e-10
"result.73"	0.0165246490020308	5.37880850970396e-11
"result.74"	0.058989143938379	1.51965107164642e-11
"result.75"	0.0284303692730612	6.97768509638763e-11
"result.76"	0.0193202174578404	2.14263273790039e-10
"result.77"	0.0364143335685287	3.75073305747264e-11
"result.78"	0.0296164297459116	3.52611273513048e-11
"result.79"	0.0567735609698927	2.11077821887784e-11
"result.80"	0.0272464142844246	4.20867785067003e-11
"result.81"	0.0141440858919333	1.41988198976151e-10
"result.82"	0.0161061291856801	1.31878508113914e-10
"result.83"	0.0303156297650482	4.26756407989615e-11
"result.84"	0.0519022917566052	3.29658522701948e-11
"result.85"	0.0179956172444502	8.34399216387283e-11
