""	"GATA2"	"PGR"
"result.1"	0.0289755991194167	7.91706700198347e-11
"result.2"	0.0250294392207318	8.28419555176652e-11
"result.3"	0.0173842025508666	1.58667745608909e-10
"result.4"	0.0286787141379943	7.6293860118426e-11
"result.5"	0.0236885373862816	1.03077990587508e-10
"result.6"	0.0507358223157337	7.07189862225732e-12
"result.7"	0.0395644818560754	4.57864857139612e-11
"result.8"	0.0315359542464633	3.75248720985155e-11
"result.9"	0.0324504609972269	5.87472293034352e-11
"result.10"	0.0351872209889856	4.54816184713991e-11
"result.11"	0.0323568247538764	4.97331065218987e-11
"result.12"	0.0352052366854505	6.36410923959829e-11
"result.13"	0.0469517479041308	2.38942199359826e-11
"result.14"	0.0396435844000635	6.73041622434312e-11
"result.15"	0.0300989766281639	6.61872778806583e-11
"result.16"	0.0462958835390175	1.89726012678193e-11
"result.17"	0.0269751832979068	4.44799752585823e-11
"result.18"	0.00991019360893897	3.08009395766362e-10
"result.19"	0.0218995324679108	1.52182488832864e-10
"result.20"	0.0188341352241306	1.06401332189421e-10
"result.21"	0.0331529172398963	3.37740946321219e-11
"result.22"	0.0253248002899884	7.72890640377e-11
"result.23"	0.0322410657445487	6.5551120087548e-11
"result.24"	0.0228296533863601	1.04155128965999e-10
"result.25"	0.0348351930721726	3.75139919128742e-11
"result.26"	0.0271906010930665	7.73205943715993e-11
"result.27"	0.0214796028006214	1.15099041408939e-10
"result.28"	0.0357998694862802	5.07078823375195e-11
"result.29"	0.0302528853402526	5.28463939275525e-11
"result.30"	0.0190385496294339	1.24048771255048e-10
"result.31"	0.0243847778634874	7.66984253885994e-11
"result.32"	0.0448896158520022	4.069544701224e-11
"result.33"	0.0276570624881649	8.5872420285682e-11
"result.34"	0.0241356962145276	1.04362962716209e-10
"result.35"	0.0243998597485562	8.98843222074674e-11
"result.36"	0.0461864903628171	4.28312940670139e-11
"result.37"	0.0421730035649128	4.22923918108609e-11
"result.38"	0.0272783314913254	1.00526476032314e-10
"result.39"	0.0230150476993167	1.20738086195615e-10
"result.40"	0.0258517989218952	8.30546742491833e-11
"result.41"	0.0371460326873185	3.38988837000898e-11
"result.42"	0.0256371262987813	7.58211271545406e-11
"result.43"	0.0282591077303413	8.80970851824259e-11
"result.44"	0.0372926860655436	5.91546811534727e-11
"result.45"	0.0268297292594726	1.7108914285302e-10
"result.46"	0.0192272884256004	1.42797773605707e-10
"result.47"	0.0333822840768327	3.57802676376195e-11
"result.48"	0.0201683630155971	1.18427934125975e-10
"result.49"	0.070724345603324	1.95223837096137e-11
"result.50"	0.0121259641524791	2.96336066796243e-10
"result.51"	0.0191496397171618	1.30257360453356e-10
"result.52"	0.0235081374299664	7.68385355343071e-11
"result.53"	0.0373819772044766	7.69027064251304e-11
"result.54"	0.0199168737770943	1.48282719436565e-10
"result.55"	0.0360066039636191	3.72191166775337e-11
"result.56"	0.0309553234464546	7.51492201800374e-11
"result.57"	0.0233008081423656	6.81186218542962e-11
"result.58"	0.0365539097896532	4.36282121540899e-11
"result.59"	0.0370801645434471	4.75721684267683e-11
"result.60"	0.0656026328723733	1.24740218154784e-11
"result.61"	0.0491090255707745	4.70659067275392e-11
"result.62"	0.0365011208514681	4.81312767419695e-11
"result.63"	0.0398575203889864	3.76385589362371e-11
"result.64"	0.0481669196798409	2.97639690671758e-11
"result.65"	0.0315709031191973	3.35287353436797e-11
"result.66"	0.024267620797628	7.0506267491055e-11
"result.67"	0.028040489794191	8.11735123562585e-11
"result.68"	0.0265577766065965	4.31734648032034e-11
"result.69"	0.0160929321451986	1.34851019240045e-10
"result.70"	0.0434311813316526	3.22644133632366e-11
"result.71"	0.0338313829290111	7.13538117480539e-11
"result.72"	0.0357896674374509	4.0781378274346e-11
"result.73"	0.0418328686489617	3.05435676750676e-11
"result.74"	0.0413613981133256	3.09994252489787e-11
"result.75"	0.0437351047139745	4.35480540517119e-11
"result.76"	0.0318028242748176	6.16855455604082e-11
"result.77"	0.0319935346003675	1.21473497927127e-10
"result.78"	0.0303430927549158	4.20508072807024e-11
"result.79"	0.0282120249557698	5.10884667903611e-11
"result.80"	0.0260493578030083	8.419021035877e-11
"result.81"	0.0375288876456825	3.56734641826506e-11
"result.82"	0.019184862402539	1.70940372967721e-10
"result.83"	0.0168296315034533	1.3015788447035e-10
"result.84"	0.0317444454241167	6.84630130365349e-11
"result.85"	0.0275253455169817	9.22244502987724e-11
"result.86"	0.0341299114909372	4.97082375261471e-11
"result.87"	0.0539124466603718	2.00894856305922e-11
"result.88"	0.0338816705973815	4.15241174778203e-11
"result.89"	0.0163103178799153	2.03237204843276e-10
"result.90"	0.0295076096813454	8.80331363362075e-11
"result.91"	0.0234250869209647	6.94102553211451e-11
"result.92"	0.0251098710338333	8.05968625172682e-11
"result.93"	0.0166922643572163	1.40210731913726e-10
"result.94"	0.0323394869498401	7.93609622462554e-11
"result.95"	0.0247547857632893	1.50517820429741e-10
"result.96"	0.030328197294196	3.59094975976859e-11
"result.97"	0.0158081004101776	1.48308254566132e-10
"result.98"	0.0734137871574587	1.24498189535416e-11
"result.99"	0.023150239190006	1.04607655870836e-10
"result.100"	0.0251961743663425	8.80442385664537e-11
"result.101"	0.0223874365201464	1.31492150501344e-10
"result.102"	0.0123253818078413	2.145861266456e-10
"result.103"	0.0263790648939897	7.30160376605227e-11
"result.104"	0.0490287449338431	3.09103853624038e-11
"result.105"	0.0211268892233822	9.89410775531496e-11
"result.106"	0.019477416716537	1.39113165431581e-10
"result.107"	0.0205513267958788	1.0813527850928e-10
"result.108"	0.0297802367030786	6.78193057268572e-11
"result.109"	0.0412592446538307	3.56847884575018e-11
"result.110"	0.0477003737057093	3.85154130810861e-11
"result.111"	0.0708211650440471	1.31603616893017e-11
"result.112"	0.0470239055115798	2.66335842269427e-11
"result.113"	0.0173212635464963	1.37952982370848e-10
"result.114"	0.0213700500002354	2.41753728147387e-10
"result.115"	0.0404182143441831	4.84532414191108e-11
"result.116"	0.0219534272440276	9.88586990047224e-11
"result.117"	0.020472894271012	9.79338832252097e-11
"result.118"	0.0286429819910818	5.86291015736151e-11
"result.119"	0.0194236708678912	1.51666679215623e-10
"result.120"	0.0296954530190898	4.59008386854975e-11
"result.121"	0.0192920096569287	1.66776592536166e-10
"result.122"	0.0635020144817338	1.66315849980947e-11
"result.123"	0.021787474566797	6.31090735225825e-11
"result.124"	0.0221884706585205	8.51863024564636e-11
"result.125"	0.0558695599618708	1.99691374547228e-11
"result.126"	0.0270691553486788	8.69646576973082e-11
"result.127"	0.0124964311781142	1.65224278703135e-10
"result.128"	0.0385247133809299	2.98796543063418e-11
"result.129"	0.0549659578421089	3.41926487124056e-11
"result.130"	0.0341873633735468	4.7652770618356e-11
"result.131"	0.0216749263200857	7.77335973367599e-11
"result.132"	0.0292792443456107	6.90891788224235e-11
"result.133"	0.0244775230618759	5.5943027987837e-11
"result.134"	0.0406682843561952	3.13824521924744e-11
"result.135"	0.0293968351925511	6.69968525102149e-11
"result.136"	0.0288352061807076	6.0915938959738e-11
"result.137"	0.0226767493467486	8.24753598749339e-11
"result.138"	0.0226530938984566	8.58564330741274e-11
"result.139"	0.0320749183728455	5.74433833833154e-11
"result.140"	0.0265660640623069	7.94533328019043e-11
"result.141"	0.0292256829615196	5.23903143090365e-11
"result.142"	0.049427040282604	2.64417376882875e-11
"result.143"	0.0193231108787151	1.29004584792369e-10
"result.144"	0.0172992482278163	1.88885129759342e-10
"result.145"	0.0517174823487867	1.82498460787883e-11
"result.146"	0.032376555648753	6.40691943942784e-11
"result.147"	0.0293810410887101	5.84341464104909e-11
"result.148"	0.0309870937073831	4.78137529569267e-11
"result.149"	0.0233768099367502	5.76747538616473e-11
"result.150"	0.0346215797590244	7.92885757050499e-11
"result.151"	0.0438552717072858	2.83701950820614e-11
"result.152"	0.0076702563522677	4.26804369624278e-10
"result.153"	0.027295979695019	4.47482051413317e-11
"result.154"	0.0424596269010589	3.69881902884117e-11
"result.155"	0.0213829757169905	7.81641418257095e-11
"result.156"	0.0218020695224321	7.18249903997048e-11
"result.157"	0.0237811300326243	1.20292886762741e-10
"result.158"	0.036663003559509	3.99555943886298e-11
"result.159"	0.0330565862775376	2.81761280973569e-11
"result.160"	0.0541704787795505	2.09834372100204e-11
"result.161"	0.0441102020720423	4.06508160466501e-11
"result.162"	0.0351904916478916	6.10202999240528e-11
"result.163"	0.0280516300475011	7.96369636901773e-11
"result.164"	0.0325726594367648	3.89177579052102e-11
"result.165"	0.034821123118012	5.58646462422985e-11
"result.166"	0.017358968471737	1.49433354579287e-10
"result.167"	0.0499672777656952	1.89122051352797e-11
"result.168"	0.0409325871340869	3.19821946703769e-11
"result.169"	0.0338318957146622	4.06430444854777e-11
"result.170"	0.0239703184714706	5.43030065358607e-11
"result.171"	0.0177193073174802	1.30681687693368e-10
"result.172"	0.049042149941263	2.64546162753732e-11
"result.173"	0.0216680437116858	9.13520370460219e-11
"result.174"	0.0207627440506439	1.09651621116313e-10
"result.175"	0.0467095740345893	5.07411890282583e-11
"result.176"	0.0404365891685705	4.09179357063749e-11
"result.177"	0.0303086662311753	6.43016750956349e-11
"result.178"	0.0232340671869047	1.32121424911702e-10
"result.179"	0.0251646693910794	5.93483040489673e-11
"result.180"	0.0166313705494079	1.07150510686438e-10
"result.181"	0.0271145353972373	8.91695606242138e-11
"result.182"	0.0395804046741415	5.30144816934808e-11
"result.183"	0.0205491572999839	1.44602774199143e-10
"result.184"	0.0239689739465117	1.12375886374139e-10
"result.185"	0.0179134556668359	1.00868646768504e-10
"result.186"	0.0320139098498589	4.45214975997033e-11
"result.187"	0.030604417462204	3.86681797692745e-11
"result.188"	0.0367017789725674	4.60311788685885e-11
"result.189"	0.0339663997655018	4.43995951115994e-11
"result.190"	0.0187169041718649	1.04998898464714e-10
"result.191"	0.0176463105550848	2.48332909791316e-10
"result.192"	0.0428424225407436	1.87547755103878e-11
"result.193"	0.0241403960175335	1.19921184094096e-10
"result.194"	0.0344461991649514	2.53912446623872e-11
"result.195"	0.0376692089960788	3.22719628798041e-11
"result.196"	0.0287614896043684	5.01165775546042e-11
"result.197"	0.0367504533091076	4.80775419475776e-11
"result.198"	0.0226218627508996	1.05625508339813e-10
"result.199"	0.0206981352606022	1.01352926051845e-10
"result.200"	0.0214835336636412	1.15040199588634e-10
"result.201"	0.0616075729532202	1.92716953506533e-11
"result.202"	0.0310952934464814	5.50133272270159e-11
"result.203"	0.0408482317898284	4.64988048065607e-11
"result.204"	0.0346170193702875	5.29372101709669e-11
"result.205"	0.0203857091475654	7.8292927696566e-11
"result.206"	0.0312037862701315	6.94095891873303e-11
"result.207"	0.0296361526536539	5.76241276917244e-11
"result.208"	0.0304708460654406	7.52613527055246e-11
"result.209"	0.0280641544733886	7.51096962403608e-11
"result.210"	0.0390300683698945	4.52708981413252e-11
"result.211"	0.0179877686317578	1.07467146293061e-10
"result.212"	0.0248556403150038	1.01913810723886e-10
"result.213"	0.0327862299426915	8.44249115061757e-11
"result.214"	0.0240333202765566	1.14804832307414e-10
"result.215"	0.0256498408763282	6.50759446330085e-11
"result.216"	0.0390776398373076	4.38211689157697e-11
"result.217"	0.0364725756566056	3.84035026002039e-11
"result.218"	0.0626846479069254	3.49540396626935e-11
"result.219"	0.0273364619609937	6.26236840162164e-11
"result.220"	0.0353594885281687	3.62985197455146e-11
"result.221"	0.0237757468910529	8.65727489696155e-11
"result.222"	0.0297216359265311	5.84143844406526e-11
"result.223"	0.0273945859759164	5.31343857801403e-11
"result.224"	0.0318199489847664	3.77666786732789e-11
"result.225"	0.0360109946668334	4.83331152878463e-11
"result.226"	0.0394796225040548	3.09283709754027e-11
"result.227"	0.0450554057931689	4.25715018792516e-11
"result.228"	0.0214817301931949	6.34448049652292e-11
"result.229"	0.0263217162306664	5.11470865660613e-11
"result.230"	0.0208179447554655	9.40807431959456e-11
"result.231"	0.0266436535507923	9.0054630419445e-11
"result.232"	0.0217846939877386	2.73090439151247e-11
"result.233"	0.0401409575555058	3.47755158003338e-11
"result.234"	0.0208389275159186	8.58029203243404e-11
"result.235"	0.0280021748093864	6.02138339189651e-11
"result.236"	0.0368385176478216	2.79780643097638e-11
"result.237"	0.0320601814222963	6.56181775582354e-11
"result.238"	0.0233113926159254	3.76993991579866e-11
"result.239"	0.0504780219899099	2.91500157345581e-11
"result.240"	0.0311500670850307	8.72428795872793e-11
"result.241"	0.0198737980682735	1.15831566560587e-10
"result.242"	0.0321081864319119	9.06597019678657e-11
"result.243"	0.0281393707335997	5.47484280133403e-11
"result.244"	0.0226624771674691	1.10244480211463e-10
"result.245"	0.0257331599842259	5.92579318947628e-11
"result.246"	0.0154702540439933	1.02598152196265e-10
"result.247"	0.0275192187764097	8.2540418944177e-11
"result.248"	0.0338362041035212	6.37321306840022e-11
"result.249"	0.033425915310191	4.32356372925824e-11
"result.250"	0.0369401062941612	6.73081590463198e-11
"result.251"	0.030087329437904	6.34556851508705e-11
"result.252"	0.0305309166531427	7.08195724286043e-11
"result.253"	0.0230282809017379	7.27267135403054e-11
"result.254"	0.0348007028016397	7.2952976992724e-11
"result.255"	0.0228307799125402	8.02815591782746e-11
"result.256"	0.027893603849783	4.91306995087371e-11
"result.257"	0.0295077059434217	5.58140200723756e-11
"result.258"	0.0285859739656227	7.05051572680304e-11
"result.259"	0.0348166741756275	4.42910152997911e-11
"result.260"	0.0387589980580096	3.57824880836688e-11
"result.261"	0.0381845841075805	3.26074722778458e-11
"result.262"	0.0476102749955669	1.72917236085368e-11
"result.263"	0.0155866729844247	2.07006412011879e-10
"result.264"	0.0317011195721564	5.31117372304379e-11
"result.265"	0.0359850847569356	3.84481335657938e-11
"result.266"	0.0328633082087919	5.89461812694481e-11
"result.267"	0.0419780893478179	6.34639008012527e-11
"result.268"	0.0386370160023599	4.15720791124841e-11
"result.269"	0.0209198417023455	5.82527359682672e-11
"result.270"	0.0620862481776878	1.6405543590281e-11
"result.271"	0.0505248467831956	2.32980301717589e-11
"result.272"	0.0223633020016754	1.89824378438175e-10
"result.273"	0.0314637605897219	3.55917517680382e-11
"result.274"	0.0241752702457274	8.68327632019827e-11
"result.275"	0.0299331450735134	6.85980161563293e-11
"result.276"	0.027639489513291	8.5599971555439e-11
"result.277"	0.0355914127299541	3.6107783429884e-11
"result.278"	0.0195485968114997	1.61622271122042e-10
"result.279"	0.0254216258886248	5.00623986710025e-11
"result.280"	0.0217071383720384	7.13047398903655e-11
"result.281"	0.0274420513300639	6.71853683797963e-11
"result.282"	0.0462983784231883	2.49675835561902e-11
"result.283"	0.0175782171142749	2.45812925570021e-10
"result.284"	0.0407030123439023	4.30468993783961e-11
"result.285"	0.0415452589912528	2.92503798959842e-11
"result.286"	0.0424278647821539	3.56124019162962e-11
"result.287"	0.034694472910175	6.09974293297455e-11
"result.288"	0.0150503999610949	1.96809679664511e-10
"result.289"	0.0255971790833038	6.58575416423446e-11
"result.290"	0.0470689718238015	2.42299513786293e-11
"result.291"	0.0325987747109817	4.75866013260884e-11
"result.292"	0.0158913599828032	2.61505483933888e-10
"result.293"	0.0181440660126628	3.21795035063133e-10
"result.294"	0.0152242245989009	1.88566495751274e-10
"result.295"	0.0220333634325585	1.04411146395478e-10
"result.296"	0.0481749613844062	2.99960056793225e-11
"result.297"	0.0236465799708758	9.16917652915572e-11
"result.298"	0.0288922536427956	1.39436906465562e-10
"result.299"	0.0161804062593525	1.83630666228396e-10
"result.300"	0.0254262860149179	7.06530389749105e-11
"result.301"	0.0214214840102582	8.24462720316887e-11
"result.302"	0.0278631898741286	7.0950800790115e-11
"result.303"	0.0254397646401801	1.33755007070135e-10
"result.304"	0.0355812718038884	4.56845672403006e-11
"result.305"	0.00714207950248658	3.82216924776912e-10
"result.306"	0.0498861140819227	4.09043909854745e-11
"result.307"	0.0427493515237538	3.31745741988243e-11
"result.308"	0.0391073376742435	4.47959447313906e-11
"result.309"	0.0164339747335598	1.18966170248314e-10
"result.310"	0.0173064338194322	1.5262324737364e-10
"result.311"	0.0244776760003724	6.43876063577409e-11
"result.312"	0.0297108940771156	6.76854128300874e-11
"result.313"	0.0229345157071668	1.0898104640944e-10
"result.314"	0.0174032720030495	1.27503119173866e-10
"result.315"	0.0277052484527769	9.72963931644699e-11
"result.316"	0.0221232750967135	1.2484147049463e-10
"result.317"	0.0269099567378244	1.05883302126131e-10
"result.318"	0.0168973982694967	1.07132747118044e-10
