""	"GATA2"	"PGR"
"result.1"	0.0443051044894707	2.27258212248671e-11
"result.2"	0.0170838773039255	1.02291508596863e-10
"result.3"	0.0273422707032243	1.32501565275334e-10
"result.4"	0.0571734709102922	1.39110944985532e-11
"result.5"	0.0384372178768075	3.14874792906039e-11
"result.6"	0.031225562937272	6.72850664074076e-11
"result.7"	0.023413046153725	8.33748625694852e-11
"result.8"	0.0261595677991961	9.05733266165498e-11
"result.9"	0.0226071974886946	1.15122356092456e-10
"result.10"	0.0246059918679655	6.39708286342966e-11
"result.11"	0.035969913485782	7.95599142122683e-11
"result.12"	0.0100481703301623	2.32375230169168e-10
"result.13"	0.0237265131693061	1.37102995623195e-10
"result.14"	0.0104853284723758	2.90930168844739e-10
"result.15"	0.0342151362933705	8.17104162109672e-11
"result.16"	0.0207327573503648	4.87776485869063e-11
"result.17"	0.0207393509233995	6.96005475475658e-11
"result.18"	0.0314709887103979	9.50357570417282e-11
"result.19"	0.0244820499870719	8.57438564594304e-11
"result.20"	0.036967014265914	6.38669117591917e-11
"result.21"	0.0162364438857938	2.93222557345985e-10
"result.22"	0.0338712560061787	7.09401426490786e-11
"result.23"	0.0631922552916557	1.08388853448105e-11
"result.24"	0.0295379870037398	5.01891861404147e-11
"result.25"	0.0119794944679879	2.44393394410736e-10
"result.26"	0.0178545375603676	2.03974837020837e-10
"result.27"	0.0162527985229841	1.35883748697552e-10
"result.28"	0.0318623595327894	5.54056800439184e-11
"result.29"	0.0255684011759008	8.1447293354131e-11
"result.30"	0.0658486407489782	1.28994592785148e-11
"result.31"	0.0277743434478306	9.09374797686269e-11
"result.32"	0.0165000810534752	1.31451738383248e-10
"result.33"	0.0262587772562621	1.16940013228373e-10
"result.34"	0.0313986059574667	6.28119778411929e-11
"result.35"	0.0344696663756299	5.46187539640641e-11
"result.36"	0.0404860850848814	3.12898595922206e-11
"result.37"	0.0135943664190399	4.78026507266804e-10
"result.38"	0.0322605591443059	8.34794455784049e-11
"result.39"	0.0204189280589286	9.93656268377663e-11
"result.40"	0.0121449108501701	2.69043898271093e-10
"result.41"	0.00915360910603535	3.37903038882814e-10
"result.42"	0.0180192088030715	1.01418651254903e-10
"result.43"	0.0369480695679543	1.64508406896857e-11
"result.44"	0.0289650142589559	7.98394683698689e-11
"result.45"	0.0356770510083437	8.40156832992989e-11
"result.46"	0.0352178218050081	7.35063121481971e-11
"result.47"	0.0245400568799534	7.29833971035987e-11
"result.48"	0.0167096283152932	1.58619339885036e-10
"result.49"	0.020358882622858	8.15585377011985e-11
"result.50"	0.0204414179421599	1.16917142634065e-10
"result.51"	0.0278771293855771	7.75726149981892e-11
"result.52"	0.0516204466090868	4.55422366485436e-11
"result.53"	0.0446525367943245	3.36706218462268e-11
"result.54"	0.0140514623884176	1.81349157912791e-10
"result.55"	0.0276698033303127	6.69651001317106e-11
"result.56"	0.0152309851184074	2.14177120483328e-10
"result.57"	0.0147613873473116	1.37699629476629e-10
"result.58"	0.03678366775075	4.40902869769388e-11
"result.59"	0.0515127598925187	3.00879321457614e-11
"result.60"	0.038450270255374	1.87911908255955e-11
"result.61"	0.0216033957701889	1.85734094770851e-10
"result.62"	0.046622587075188	4.02531341592294e-11
"result.63"	0.0410558273148549	2.57334153985767e-11
"result.64"	0.0438386829957207	5.00233188205357e-11
"result.65"	0.0449358938575195	2.81237255705946e-11
"result.66"	0.0395798236516847	5.00055552521417e-11
"result.67"	0.0391665974823734	3.78117537280787e-11
"result.68"	0.0330474781138115	8.02737876171022e-11
"result.69"	0.0750348267575298	1.20039533868521e-11
"result.70"	0.0201294643341692	1.22924559420312e-10
"result.71"	0.0808432226619273	2.04845029827538e-11
"result.72"	0.0481754024730585	4.90107954220775e-11
"result.73"	0.0329908598530602	4.30426805309025e-11
"result.74"	0.0179356555357268	1.0815059958702e-10
"result.75"	0.050076107526891	1.61075597304716e-11
"result.76"	0.0299948124519056	3.89697163427627e-11
"result.77"	0.0181832417891197	2.2493584772576e-10
"result.78"	0.0313106974000883	3.9484193692374e-11
"result.79"	0.0283283695239438	7.28288540585709e-11
"result.80"	0.0233395468342827	5.16309217601929e-11
"result.81"	0.0177574560675717	2.42023956431581e-10
"result.82"	0.0626364526583831	1.75071068753141e-11
"result.83"	0.0381864512991521	7.14941439383665e-11
"result.84"	0.0473607538404937	1.79334325167702e-11
"result.85"	0.0333010157721625	4.43525216553553e-11
"result.86"	0.0312462518033256	6.79161171746046e-11
"result.87"	0.0280925287629803	4.01219057977187e-11
"result.88"	0.00917085532942852	2.86539236782346e-10
"result.89"	0.0122403202369925	2.10587769444714e-10
"result.90"	0.0419783357766002	2.51276777163412e-11
"result.91"	0.065751309739964	1.19988463609388e-11
"result.92"	0.0169601738343206	1.43236977834249e-10
"result.93"	0.0481582220740651	1.93116633795398e-11
"result.94"	0.0330892176849624	9.04620822694824e-11
"result.95"	0.0372097327725618	4.75746109174224e-11
"result.96"	0.0392840832457906	2.91366930582626e-11
"result.97"	0.0171235178357634	6.14646111785078e-11
"result.98"	0.0402288060426212	5.2883475376575e-11
"result.99"	0.0256216852987392	2.30552466007339e-10
