""	"GATA2"	"PGR"
"result.1"	0.0822572113801476	7.32325311503246e-12
"result.2"	0.0307194770933137	5.00965935401609e-11
"result.3"	0.0279312246051053	5.43842748612633e-11
"result.4"	0.0322426235436082	9.0774276984007e-11
"result.5"	0.0212174730088204	7.087663789207e-11
"result.6"	0.0434602704530744	3.97528676643333e-11
"result.7"	0.0302680105017334	5.10183006952047e-11
"result.8"	0.0232197869117836	1.27089894164101e-10
"result.9"	0.0202998626958029	8.94559981645671e-11
"result.10"	0.0211766084296574	1.59664059751208e-10
"result.11"	0.0336534974596083	5.00914865142477e-11
"result.12"	0.0169203466543217	1.14453779787027e-10
"result.13"	0.0500067938183151	2.16411333298083e-11
"result.14"	0.0479139816072167	2.94895219354885e-11
"result.15"	0.0315904287708526	6.19801987511437e-11
"result.16"	0.0259357880787103	7.44342365521788e-11
"result.17"	0.0230791625337603	7.4422024098908e-11
"result.18"	0.0394354061400479	4.83473261425615e-11
"result.19"	0.0274094779942613	4.52669013384366e-11
"result.20"	0.0363188352741981	4.81870099378057e-11
"result.21"	0.0525280686997396	2.54061216509172e-11
"result.22"	0.0572925426372415	2.39797071088788e-11
"result.23"	0.0202120263282639	1.42669653868666e-10
"result.24"	0.0210100275873439	1.21132659458567e-10
"result.25"	0.0453259374787109	2.50874876428497e-11
"result.26"	0.0346666286523112	4.00608435313643e-11
"result.27"	0.0307980798355616	5.25255394734359e-11
"result.28"	0.0193560706795619	8.79099015804741e-11
"result.29"	0.0395291406868234	4.1939562933635e-11
"result.30"	0.0177364710010095	1.53581591888496e-10
"result.31"	0.0288815622003011	5.12405673447347e-11
"result.32"	0.0454734991863786	5.2066129185846e-11
"result.33"	0.059740824737875	1.17443832436948e-11
"result.34"	0.0258498719575249	7.61217755496091e-11
"result.35"	0.0248380558587014	6.46933617787226e-11
"result.36"	0.0254334684835402	5.42013101068051e-11
"result.37"	0.0379262591649483	7.6945338989276e-11
"result.38"	0.0343700320624281	6.95590252064449e-11
"result.39"	0.0460207507166179	3.43167716465587e-11
"result.40"	0.0466318470649021	1.69777525371728e-11
"result.41"	0.0209258562890606	1.34967814702236e-10
"result.42"	0.0252547505187644	5.66056090889333e-11
"result.43"	0.0493324463536668	3.09139380760826e-11
"result.44"	0.0549374157133045	2.63498112218485e-11
"result.45"	0.0391229754284081	6.35376196100879e-11
"result.46"	0.022392282302149	1.06324282711512e-10
"result.47"	0.0148384562291219	8.95692409130788e-11
"result.48"	0.018883136327549	1.3300138768102e-10
"result.49"	0.0332880435669454	4.41622294289346e-11
"result.50"	0.0352442964922892	2.85613754869019e-11
"result.51"	0.048980524585243	4.16970902250569e-11
"result.52"	0.0556213371612733	1.84499082678258e-11
"result.53"	0.0302239133981805	8.1032736076736e-11
"result.54"	0.0544781513360706	2.42996733845757e-11
"result.55"	0.0210505932927034	1.15796261468404e-10
"result.56"	0.015175325189376	2.26685559212569e-10
"result.57"	0.0386877166437201	6.41122710476338e-11
"result.58"	0.0503074557630159	2.16413553744133e-11
"result.59"	0.027767687084266	7.06317226928377e-11
"result.60"	0.0385561609205927	4.64583926884643e-11
"result.61"	0.0165851458379791	6.04414296390132e-11
"result.62"	0.0550357022432473	1.37498901153776e-11
"result.63"	0.0474226870082586	3.44593242829205e-11
"result.64"	0.0335903494229706	3.20607984605203e-11
"result.65"	0.106227284319829	7.35234095827764e-12
"result.66"	0.0414618847281016	1.99735783468213e-11
"result.67"	0.0332044119834412	4.99993380032038e-11
"result.68"	0.0451981115772127	4.11093381558203e-11
"result.69"	0.0446090652293618	3.55098173088209e-11
"result.70"	0.023136037799615	8.89663898107074e-11
"result.71"	0.0429378896134327	2.34476882354784e-11
"result.72"	0.017739139121709	1.37716282821998e-10
"result.73"	0.0162100854299971	2.75447442632526e-10
"result.74"	0.0240604128626583	9.60820312201349e-11
"result.75"	0.0275303535306664	1.47147183326979e-10
