""	"GATA2"	"PGR"
"result.1"	0.0220520831592632	1.43181910772228e-10
"result.2"	0.0344128025380122	9.82589565268199e-11
"result.3"	0.0275639817421214	9.90272308598605e-11
"result.4"	0.0489500192828758	3.33479910352708e-11
"result.5"	0.0244502614556714	7.83761944234129e-11
"result.6"	0.0147664058871697	1.23349996883348e-10
"result.7"	0.0255489683813901	8.4566353919513e-11
"result.8"	0.0363595517807549	4.72064609624567e-11
"result.9"	0.0331465449670314	5.90081317142221e-11
"result.10"	0.0261413705618847	6.94819757285359e-11
"result.11"	0.0190155643000611	1.51372914203307e-10
"result.12"	0.0153544059320685	1.83481008164676e-10
"result.13"	0.0553658272199555	2.80850898093377e-11
"result.14"	0.0340925382425701	4.62168081583059e-11
"result.15"	0.0146257620901873	1.74851244594265e-10
"result.16"	0.0241880409892479	1.08939079979109e-10
"result.17"	0.0252070741838251	7.66815499986251e-11
"result.18"	0.03428033899848	5.53284085214045e-11
"result.19"	0.0387564264972879	3.8249181599781e-11
"result.20"	0.021621533261508	9.56272838692485e-11
"result.21"	0.0375744722924034	4.58764137789558e-11
"result.22"	0.0267415011081567	5.3736570748697e-11
"result.23"	0.0376240545646152	5.63147306564815e-11
"result.24"	0.0252419797773702	9.66156044057698e-11
"result.25"	0.0186870934904519	1.81329617987558e-10
"result.26"	0.0355546360182011	4.41602310274902e-11
"result.27"	0.0329889759535598	8.55491233409111e-11
"result.28"	0.035414618468433	5.90612003747992e-11
"result.29"	0.0386899249245305	3.00068858649638e-11
"result.30"	0.0295883049820127	3.88213905466728e-11
"result.31"	0.0157292071599255	1.43711265110369e-10
"result.32"	0.0278094590378035	8.45314929165397e-11
"result.33"	0.023242030242816	7.53528350827537e-11
"result.34"	0.0262571116545933	4.72895056446987e-11
"result.35"	0.0322205291294042	3.37851968623681e-11
"result.36"	0.0305431679524888	5.73985303731206e-11
"result.37"	0.0134397697566868	2.78977285717019e-10
"result.38"	0.0512526116263436	1.49051881948026e-11
"result.39"	0.02362022978344	6.98514579511311e-11
"result.40"	0.0596343621051434	1.04347641638469e-11
"result.41"	0.0423062491676016	4.35520508546006e-11
"result.42"	0.0137509587615603	1.45945033835915e-10
"result.43"	0.0433208476724671	3.74478226206065e-11
"result.44"	0.0417312220943886	3.59081653300564e-11
"result.45"	0.0206716297709695	7.18438641911234e-11
"result.46"	0.0463432278089126	2.12969641921745e-11
"result.47"	0.021094151885084	1.04380948329208e-10
"result.48"	0.0251772856594243	7.95505883388614e-11
"result.49"	0.0573720292513704	2.24351648370202e-11
"result.50"	0.0405310587172409	4.61848337351967e-11
"result.51"	0.0217436930031423	7.35957961239819e-11
"result.52"	0.0199533860072183	1.31510802248158e-10
"result.53"	0.0256901037440163	1.07203135257805e-10
"result.54"	0.0369161964547902	5.63669111386389e-11
"result.55"	0.0562197184543414	1.9968693365513e-11
"result.56"	0.0459803594220525	3.34441363492033e-11
"result.57"	0.0329901451137351	6.86308787578582e-11
