""	"GATA2"	"PGR"
"result.1"	0.0245828039088287	1.02609032381906e-10
"result.2"	0.0126329805584364	1.15935927524902e-10
"result.3"	0.0483400985017564	2.51958454100532e-11
"result.4"	0.0396584835227101	3.54603013619226e-11
"result.5"	0.0208704673824032	1.5309709056055e-10
"result.6"	0.0195740414611045	9.27204979461749e-11
"result.7"	0.0274418884696324	1.30128352537895e-10
"result.8"	0.0252404925259557	6.6537442222625e-11
"result.9"	0.056182325369913	1.56614721191772e-11
"result.10"	0.00819067199077739	3.44004824626154e-10
"result.11"	0.0276415480367012	1.02773123344946e-10
"result.12"	0.0310507275355838	4.84479123485926e-11
"result.13"	0.0666107483045995	2.13307149721231e-11
"result.14"	0.0137987389090621	1.77087011721255e-10
"result.15"	0.0503541770879223	1.00333075181425e-11
"result.16"	0.060918509883666	2.27198260205341e-11
"result.17"	0.022783963594875	5.03357355796652e-11
"result.18"	0.0278728979714886	2.90085733212209e-11
"result.19"	0.0492395916314761	3.63999941299653e-11
"result.20"	0.0331517464583111	1.36661792993209e-10
"result.21"	0.0173839356410941	8.83229045456346e-11
"result.22"	0.0758259823960874	1.01934016782934e-11
"result.23"	0.055549242232624	4.74391637084182e-11
"result.24"	0.00768911514610071	3.69241082154304e-10
"result.25"	0.0198036793813499	4.38491465359903e-11
"result.26"	0.0844736575276559	8.46145375987817e-12
"result.27"	0.0324915682220195	2.75486300438388e-11
"result.28"	0.0333573731171313	2.57820431670552e-11
"result.29"	0.0280127490578614	6.70565825089398e-11
"result.30"	0.0594174572710744	8.08975109123367e-12
"result.31"	0.0154839526538744	3.95929067309453e-10
"result.32"	0.0516151527352458	2.63629118535391e-11
"result.33"	0.0162510558591775	2.16340945158322e-10
"result.34"	0.0426026923573977	3.95106170003601e-11
"result.35"	0.10366485658689	1.08755227046231e-11
"result.36"	0.00698080467854423	7.63992646923839e-10
"result.37"	0.016966854893764	1.06896047569194e-10
"result.38"	0.024032192210802	1.76622050318542e-10
"result.39"	0.0237314393917278	8.73860983574559e-11
"result.40"	0.0303890001471196	4.12416767403556e-11
"result.41"	0.02902531055219	2.28181917805159e-11
"result.42"	0.0529514854984996	2.86677348526609e-11
"result.43"	0.0670366600617991	2.4144908294943e-11
"result.44"	0.0406512782953716	2.0371482278847e-11
"result.45"	0.0213676502236468	9.17503850672574e-11
"result.46"	0.00926368011524015	3.83182818808336e-10
"result.47"	0.0258479895683223	1.09811493231859e-10
"result.48"	0.0959080486242754	5.57154322677889e-12
"result.49"	0.0218001205976024	3.27182725357034e-11
"result.50"	0.0168912209877665	8.64504023923018e-11
"result.51"	0.121866627862154	2.13185025188523e-12
"result.52"	0.0457648724450108	6.13866735221791e-11
"result.53"	0.0856567529705319	1.86095583387669e-11
"result.54"	0.00659837227878413	8.70875815905947e-10
"result.55"	0.0279900036333007	7.56710250016113e-11
"result.56"	0.018181857116423	2.27381002915195e-10
"result.57"	0.0097080830577394	4.80432804650377e-10
"result.58"	0.0519038814980288	3.78468367756568e-11
"result.59"	0.0400365769811819	4.66366945062191e-11
"result.60"	0.0808540962238995	1.24966703651808e-11
"result.61"	0.059670071345393	3.33948424469099e-11
"result.62"	0.0431147222214705	4.70532501850585e-11
"result.63"	0.0429956224920645	5.75464120800007e-11
"result.64"	0.0383016848033637	5.39677191824239e-11
"result.65"	0.03118917677792	9.05546748697361e-11
"result.66"	0.0324323142829366	2.6265434271977e-11
"result.67"	0.0485977449722326	3.25959259583897e-11
"result.68"	0.0399413987221817	2.81681344915796e-11
"result.69"	0.0634331791518301	1.73239200762509e-11
"result.70"	0.0348922760309853	2.82063261636267e-11
"result.71"	0.02878588553146	5.55435697435769e-11
"result.72"	0.035716270491611	2.80762080251407e-11
"result.73"	0.0716385292782626	2.17423856696541e-11
"result.74"	0.0435601286713079	2.98030489176426e-11
"result.75"	0.0191643476727279	4.72546446417255e-11
"result.76"	0.00839879766083751	1.97518668088037e-10
"result.77"	0.0570950775665271	1.58537627470423e-11
"result.78"	0.0326270959783646	8.94357921055189e-11
"result.79"	0.0207777242717462	4.44335679361529e-11
"result.80"	0.048516568451066	5.86040105332586e-11
"result.81"	0.0278406751845148	7.22677473419253e-11
"result.82"	0.0337116726374194	1.13870690654494e-10
"result.83"	0.0526247330138805	2.46764830791335e-11
"result.84"	0.0222073671710281	7.82711673252834e-11
"result.85"	0.0526585211989796	3.93096666329029e-11
"result.86"	0.0333488971237883	4.85791407101033e-11
"result.87"	0.0195828199362666	8.81714701250758e-11
"result.88"	0.0297911261921924	4.17006429387357e-11
"result.89"	0.0339454880919958	2.81927814427263e-11
"result.90"	0.0221697132791208	4.64219773732566e-11
"result.91"	0.0341903384225777	4.37918590279196e-11
