""	"GATA2"	"PGR"
"result.1"	0.0284918603061459	7.96276378167704e-11
"result.2"	0.0225867406442439	9.06479336038046e-11
"result.3"	0.030285532442222	4.60884663766592e-11
"result.4"	0.0262601739834816	9.9416919141504e-11
"result.5"	0.023536080057309	8.44451175652239e-11
"result.6"	0.0258765529018301	4.88349360949769e-11
"result.7"	0.0447632913257827	3.05253600174638e-11
"result.8"	0.0385691434844375	6.65625332629816e-11
"result.9"	0.0286283201697952	5.16622300494873e-11
"result.10"	0.0336179397909533	5.3949733569425e-11
"result.11"	0.0475267866602154	5.04296604475485e-11
"result.12"	0.0292053987607108	4.4593218007094e-11
"result.13"	0.0196316416700557	9.41942079890623e-11
"result.14"	0.0239092536595757	7.8536066538959e-11
"result.15"	0.0375623600183146	1.94051441582133e-11
"result.16"	0.0221429185122706	9.03990216016837e-11
"result.17"	0.0532354505210793	2.04680716819894e-11
"result.18"	0.033647453486447	6.64075461287439e-11
"result.19"	0.0362537887772298	5.22135668035162e-11
"result.20"	0.0482890467021968	1.95379268319584e-11
"result.21"	0.0397947846721936	2.54267717991752e-11
"result.22"	0.0171492723120532	1.45775169713147e-10
"result.23"	0.0434753759381581	2.58766341687533e-11
"result.24"	0.0307339790809205	4.71118699607587e-11
"result.25"	0.0435652826845132	2.91138224639553e-11
"result.26"	0.0225929125463218	7.72153452288649e-11
"result.27"	0.0350596103778538	3.69659858279192e-11
"result.28"	0.0507550123962819	3.04207770085441e-11
"result.29"	0.017581006060903	1.73913106138457e-10
"result.30"	0.0209310399089095	9.16655640281760e-11
"result.31"	0.0354663748024298	3.92024190887241e-11
"result.32"	0.0388436073512841	4.80533390856408e-11
"result.33"	0.037125359009252	5.30313570834551e-11
"result.34"	0.0282606653860074	9.59021750901456e-11
"result.35"	0.0312385902040648	9.59161639002559e-11
"result.36"	0.0209653621853432	1.16167742092443e-10
"result.37"	0.0209200763877571	7.80009390410896e-11
"result.38"	0.050010481588405	3.47455397786689e-11
"result.39"	0.0268059542697914	7.81501530155992e-11
"result.40"	0.0252515953922152	6.698175347708e-11
"result.41"	0.0270158084484646	9.24604837138077e-11
"result.42"	0.0339708349113454	4.96369612079661e-11
"result.43"	0.029402547378842	5.06337194394746e-11
"result.44"	0.037896391590805	4.19755341596328e-11
"result.45"	0.0269962393067111	6.10693717817412e-11
"result.46"	0.0187998806583565	1.00831121230271e-10
"result.47"	0.0231074137220084	6.21931395272668e-11
"result.48"	0.0314186014187234	3.8521630330024e-11
"result.49"	0.0327598149227433	5.45934408791027e-11
"result.50"	0.0252956365522241	8.15909562135175e-11
"result.51"	0.0238363322483144	1.22844845407144e-10
"result.52"	0.0227130593941869	8.96298590902234e-11
"result.53"	0.0419781750051853	3.27129434651852e-11
"result.54"	0.0327345178689904	6.42741415646242e-11
"result.55"	0.0377647708499758	5.3235860164591e-11
"result.56"	0.0289908014317286	5.06932273935945e-11
"result.57"	0.020728257355547	7.50288720041681e-11
"result.58"	0.0247282173711012	9.29940568994425e-11
"result.59"	0.0235361338154432	8.67548255456541e-11
"result.60"	0.0285031177301323	6.97344404443356e-11
"result.61"	0.0287766081759124	6.88313850361055e-11
"result.62"	0.0412654989520278	3.11497494465129e-11
"result.63"	0.025107789049444	6.63828991775972e-11
"result.64"	0.0223098386791187	1.54320556333687e-10
"result.65"	0.0317733636223587	5.16515719084509e-11
"result.66"	0.0222012185423666	8.20845613702659e-11
"result.67"	0.0388522522294719	4.60760318787834e-11
"result.68"	0.0228965033095789	7.47009121226938e-11
"result.69"	0.0308578474065102	5.93691762418302e-11
"result.70"	0.0192704678299696	9.25717280608751e-11
"result.71"	0.0194074610065953	1.23670407248255e-10
"result.72"	0.0356107874097595	7.03206382013377e-11
"result.73"	0.0273539893521018	6.05855365876096e-11
"result.74"	0.045979538243875	3.20625748173597e-11
"result.75"	0.0361178300010783	6.24575946517325e-11
"result.76"	0.0144767701723123	1.37381217513166e-10
"result.77"	0.0284755893235453	8.28317414658386e-11
"result.78"	0.0296940252896882	8.59239346340246e-11
"result.79"	0.0223902809367389	9.51241307944883e-11
"result.80"	0.0279382993727419	5.80573367159332e-11
"result.81"	0.0249372458129975	8.80613360010329e-11
"result.82"	0.0314891027146671	4.53095339025822e-11
"result.83"	0.01716941793191	1.17228227125565e-10
"result.84"	0.0357091057653502	4.58741933329065e-11
"result.85"	0.0277903513501137	7.13333836444008e-11
"result.86"	0.0191774549981352	9.81310588343831e-11
"result.87"	0.0300499328139703	4.47779591183917e-11
"result.88"	0.0324488593008969	6.44062581045546e-11
"result.89"	0.0388945233488927	4.76070294297415e-11
"result.90"	0.0299324797769767	6.25477447613321e-11
"result.91"	0.0416853100433157	2.56754617566912e-11
"result.92"	0.0217308110781012	8.44080361162014e-11
"result.93"	0.0412382296344869	3.42186279311818e-11
"result.94"	0.0167473046826498	1.98638439030674e-10
"result.95"	0.027672639609984	6.5524696779562e-11
"result.96"	0.0358666760927995	4.95925522869811e-11
"result.97"	0.0438948383143214	4.34177138686209e-11
"result.98"	0.0266399741186696	5.6206816978488e-11
"result.99"	0.0308903707435841	4.65922855852341e-11
"result.100"	0.0438359415720486	2.92326163275902e-11
"result.101"	0.0423095173594996	3.22919468942473e-11
"result.102"	0.0247156635636046	8.03859201425894e-11
"result.103"	0.0164342721209967	1.35410793689061e-10
"result.104"	0.0277071159484408	6.15827389083279e-11
"result.105"	0.0422533829301082	3.92459398312894e-11
"result.106"	0.0221484377514205	7.47402140177655e-11
"result.107"	0.0231619624937747	5.94866378378356e-11
"result.108"	0.0195967163238575	1.28776100893901e-10
"result.109"	0.0478703419686357	3.01749736308921e-11
"result.110"	0.0370291762646717	5.60065327448456e-11
"result.111"	0.0266050830893931	9.33961796789617e-11
"result.112"	0.0262818582893685	8.23576762343237e-11
"result.113"	0.0392779714593712	4.18971524140943e-11
"result.114"	0.0324907584893268	5.2770898761878e-11
"result.115"	0.0324125127704171	5.03450614530720e-11
"result.116"	0.0555991154423154	2.16635598349058e-11
"result.117"	0.0269126328872105	7.60811413869078e-11
"result.118"	0.0253567479047991	1.39550815347889e-10
"result.119"	0.0377334369567679	3.13906678428566e-11
"result.120"	0.0248255540269688	9.05946428986226e-11
"result.121"	0.0396947330435411	4.5698111961201e-11
"result.122"	0.0295946553319819	7.29798443899199e-11
"result.123"	0.026842406940897	7.2256867156284e-11
"result.124"	0.0303727971205792	5.63817881271689e-11
"result.125"	0.0443640459066947	2.76707545765476e-11
"result.126"	0.0164211599055972	2.10656381227636e-10
"result.127"	0.0276984900390811	8.50597370316564e-11
"result.128"	0.0251868457999249	8.73827676883820e-11
"result.129"	0.0328021208574949	6.74855726856549e-11
"result.130"	0.0327231812625957	6.97921720416161e-11
"result.131"	0.0273972058035796	9.37114830179553e-11
"result.132"	0.0217959457365722	9.38322752830345e-11
"result.133"	0.0231194797955891	8.77373729224473e-11
"result.134"	0.0377223011790957	4.22011314782367e-11
"result.135"	0.0352705888430329	2.83404411050014e-11
"result.136"	0.0263455376294486	5.5211613059214e-11
"result.137"	0.0494294711934664	2.59623433862544e-11
"result.138"	0.0360712060439115	5.87376813854235e-11
"result.139"	0.0373685099985637	4.04536404374767e-11
"result.140"	0.0259498353833369	4.78714845542072e-11
"result.141"	0.0353628179841792	4.66582328328968e-11
"result.142"	0.0307192023884562	5.38049604870139e-11
"result.143"	0.0439319291537741	3.83837406303655e-11
"result.144"	0.0411638139983865	4.78888040333914e-11
"result.145"	0.0273625118342511	7.36095628894873e-11
"result.146"	0.0162943764386292	1.31628929977978e-10
"result.147"	0.0376868511235606	5.95539173531279e-11
"result.148"	0.0261023259363555	1.04218189633798e-10
"result.149"	0.0278998208167498	6.93505253224203e-11
"result.150"	0.0261454396169893	8.47146797156029e-11
"result.151"	0.0187316408696745	1.04387387622751e-10
"result.152"	0.0356712753394945	3.34623440068071e-11
"result.153"	0.0448890579612145	2.06963335358523e-11
"result.154"	0.0379837925388222	4.07944789060366e-11
"result.155"	0.0273183116184765	6.90063561847865e-11
"result.156"	0.0507503278097168	3.10831360650354e-11
"result.157"	0.0271757510750132	7.20226100980881e-11
"result.158"	0.0243987466672699	6.16586781632122e-11
"result.159"	0.0230586750120017	1.43556500020736e-10
"result.160"	0.0326533849612372	7.53823670152087e-11
"result.161"	0.0286605827454356	4.33251212683672e-11
"result.162"	0.0273958920146948	4.94431162678666e-11
"result.163"	0.0233323877688028	8.7723606156942e-11
"result.164"	0.0424834508255592	2.7237101463129e-11
"result.165"	0.0163521889593534	1.28592914094838e-10
"result.166"	0.0274140675568364	5.95523630408934e-11
"result.167"	0.047520508361768	2.81217271691503e-11
"result.168"	0.0239805041140284	7.65938423796797e-11
"result.169"	0.024353213365883	8.86399842414676e-11
"result.170"	0.0212639160739854	1.10715436818509e-10
"result.171"	0.0250456686044542	8.57127702147409e-11
"result.172"	0.0227399732796312	1.07490016887368e-10
"result.173"	0.045852188587135	3.361666500723e-11
"result.174"	0.0295755547883512	5.55022694470608e-11
"result.175"	0.0243456768952293	8.28221935478268e-11
"result.176"	0.0476106286808129	1.95081728548985e-11
"result.177"	0.0335393441645939	4.3891335010926e-11
"result.178"	0.0360037696367408	4.41833236664024e-11
"result.179"	0.0371472333180403	4.69773109301741e-11
"result.180"	0.0325303839301301	4.90907314798505e-11
"result.181"	0.0223547392458774	1.02429620341127e-10
"result.182"	0.0269599094836381	5.1666226852376e-11
"result.183"	0.0306549874691628	5.83508796836441e-11
"result.184"	0.0207943643948127	1.58272950301352e-10
"result.185"	0.0276468162277996	8.52584669530643e-11
"result.186"	0.0177831115123179	1.89034343733852e-10
"result.187"	0.0234674752843897	8.7765128498063e-11
"result.188"	0.0254721208380375	6.86726231435841e-11
"result.189"	0.0300378061447701	6.05355765515014e-11
"result.190"	0.0317469429585429	4.36766178779635e-11
"result.191"	0.0480484978383455	3.03745917307197e-11
"result.192"	0.0207894191037665	8.86892781437609e-11
"result.193"	0.035868387044621	5.40116840141991e-11
"result.194"	0.021047929120801	1.15202958284044e-10
