"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_ERN1_31_0001","-3.02839002566145","2.18135796876893","5.72755640151002","3.13069027974281","5.04201666373639","1.95828161999422","5.16220256846531","-12.7906183470804","-2.75883610575243","-0.267046909334784","-3.72537153850411","-1.11618642354251","-0.636260910764411","6.98426733596006","-1.29814614344037","3.04719964022967","6.39434535625966","-4.88690631945391","0.266846863746729","0.839952467929052","-4.28083471547246","6.96383547480285","-2.04054247657776","0.128589779559481","2.3275463948701","1.17411480957087","0.50487505538508","-3.7713792576583","-0.54501730701167","-0.93230858617937","-3.95457733452541","-3.20934986485413","-3.81225075750014","-2.93171373882836","3.12717802250788","1.70105412240739","-4.26660768695067","-3.20163565707118","7.05499514973853","0.116990992308654","3.23756449483548","1.40475978345444","-1.11643612452776","-3.67453178958456","0.0216610709311616","1.00993215895711","5.32343270895843","3.34342855664008","-1.77356691620321","-0.664591809795745","3.63750292093797","-1.39205484951259","-0.658846788508111","-4.49381418040356","-3.34327788689816","-7.07570498434144","-2.11718161855822","0.991252971624632","5.20937495932789","1.32533831023246","-3.32884777216734","5.98884451766388","-3.02206722953185","3.82189506055226","1.1721174799241","3.23434542570175","1.63251375443755","-5.59529271308836","-0.863755783098918","4.5254562143546","0.271898674892774","6.81818732882676","3.23946764488327","-1.30648724600614","-7.00558200255239","-4.40998015354999","-9.37923684912046","-3.88840274478329","-0.428415521506889","-5.22439208170471","2.52292996628343","0.171365192518263","-3.25689699877671","0.782563940341767","3.62841057362124","-6.69946987744947","-9.0230246649932","-0.672804197949587","3.56724913513632","-5.66759413660058","-1.20145974624806","5.36932980554672","-4.84222982708818","-2.39811813080993","1.57652517839655","-8.38959355407824","1.83573863098078","-0.360370258005472","-2.18182705871507","3.44129287498668","-5.25495134601679","2.82381747184343","2.83990169589656","0.642151905005451","-0.708570665656473","-7.49438087952275","4.71537812899961","0.158757122325516","0.851657089916278","-2.59429272948302","-1.71758608482816","6.31183563104402","-2.01496625755733","-9.99656139806184","0.764020393386966"
"Random_ERN1_31_0002","-2.95054170291539","2.15369945200938","5.69174045300381","3.17629968975784","4.86423031960521","2.045297075967","5.39775815811228","-12.9589602828271","-2.76099007664594","-0.349634413784375","-3.72002480985903","-1.32317069051367","-0.62800623855356","6.90890771421078","-1.46560713363103","3.08835460189161","6.22266386954348","-4.7432835815482","0.245907694715059","1.01133265122566","-4.16168509365894","6.83155930243224","-2.10043354797523","0.118224691150089","2.29995597296629","1.15844987575201","0.512091236920428","-3.78819477391964","-0.586327814506645","-1.0526996693389","-3.91595016333234","-3.15701630718957","-4.05658655894672","-2.94957524509039","3.15229546836932","1.7067461046196","-4.26070210608068","-2.93913892183168","7.0880755365613","0.122877627838431","3.35254250635999","1.3078601707864","-1.14348098601754","-3.59512678024867","0.172517344769314","1.03593195567316","5.15061074639478","3.38876511664289","-1.82867413490617","-0.733556175342047","3.53639740639596","-1.46233513003195","-0.835263181726531","-4.31480596345457","-3.44153327566614","-7.10536897199683","-2.22323332139267","1.08664165732031","5.2129895016111","1.27134863420056","-3.29096742151428","5.88318388726734","-2.96321064873548","3.74167772835876","1.05546705061715","3.28422820463197","1.63749376702751","-5.92601297481781","-1.1781914628635","4.40438893935984","0.0292522777653852","6.58630014893441","3.29172464079097","-1.14467607389466","-6.66380140780899","-4.56769318616046","-9.05434982568222","-4.10012564918352","-0.477720866055331","-5.05090205727238","2.32523734210164","0.148702503583633","-3.11995531698414","1.08461964123781","3.83384963862079","-6.79796091848753","-9.02102695273213","-0.756576338483006","3.54712972403244","-5.24112931528713","-1.0240132037384","5.44555138068645","-4.98414423055641","-2.13402550340999","1.58866419686865","-8.28093429817128","1.72444453310074","-0.418605065832841","-2.31023057619461","3.48504245473927","-5.09190270241032","2.9819274745405","2.86001636680368","0.737464333910587","-0.633544102865448","-7.59582939646344","4.73115248669633","0.193672571862973","0.77770998835827","-2.65304463358836","-1.53874905963042","6.29374003553924","-2.2268245711527","-9.57557866460538","0.796806648441691"
"Random_ERN1_31_0003","-3.02482567313625","2.4095434335339","5.95187102373238","3.31003633490601","5.26328377449959","1.75264371680528","4.76384615749873","-13.1583384065839","-2.86983896173726","-0.385521554837338","-3.83205877733535","-1.22645070810828","-0.726984272584056","7.03598474775646","-1.38182311880469","3.20679458668136","6.49323782972329","-4.84164196846509","0.198177797485262","0.996797621310969","-4.17789192135198","7.07256914600155","-2.1102998078599","0.332247390768387","2.43774876579936","1.06901410114767","0.419596377464086","-3.8309718006106","-0.355123566505281","-1.13135924615193","-4.11215465886094","-3.35034157542078","-4.13622328931689","-2.85679051403406","3.16847644631725","1.64859317083256","-4.38240804045873","-3.31821771311979","7.12195308202282","-0.099076152592476","3.41518152552741","1.24195875480411","-1.19316330100579","-3.71527811674977","0.271344974425073","0.970724222552391","5.41032188452806","3.43501044114906","-2.16808230020202","-0.440289615849482","3.68396379026073","-1.47264716137446","-0.803511165657089","-4.61925612231873","-3.59635392163034","-7.20777281550031","-1.98843166799263","1.22427882088292","5.32720876027276","1.01872992866004","-3.46604440009744","5.9509080647103","-3.18211149054696","3.87846751636175","1.03232996950421","3.35711021467711","1.41065906105896","-5.81447371738159","-1.15915106808359","4.80412413127666","-0.184382906795103","6.823857750022","3.17681138436335","-1.50575507192236","-7.06520136323425","-4.58996858631518","-9.1563100901743","-3.96404281734835","-0.608400030864115","-5.28742372259973","2.60027184387576","0.094765639659409","-3.18027002134701","0.893966489361212","3.92528677179909","-6.87241257233722","-9.23959387261451","-0.879398434037726","3.65894512279346","-5.5308414449689","-0.986386380002282","5.52060252791149","-4.93563789496784","-2.16258036056459","1.57250442822445","-8.53380270987226","1.91077775197503","-0.593190699749883","-2.2663448988066","3.62362885372993","-5.26412205769879","3.08952935963953","3.10075840797832","0.531131232087476","-0.705958540441232","-7.34165498614093","4.78859595533753","0.163758075518977","0.835136232978604","-2.82652905996514","-1.57839944790688","6.50350761744427","-1.95871949297438","-9.81128130669843","0.712792933878413"
"Random_ERN1_31_0004","-2.86412869064413","2.30026395425629","5.59227262888347","3.23242951588658","4.93400975998679","1.99543956008751","5.40772009053403","-12.8335326754286","-2.82832893107078","-0.278178944195511","-3.67433271774009","-1.14338398820483","-0.486848967121946","6.98631054653204","-1.36499473456799","2.97120085443918","6.30511880324712","-4.7516292939445","0.282929989480037","0.817965867364251","-4.30808780814545","7.0276401809663","-2.10758848750852","0.106397759060267","2.20656105972835","0.977841310808801","0.31026441136005","-3.82805611958435","-0.583128970587429","-0.956911107606382","-3.85139132433812","-3.12049226343282","-4.11913312511971","-2.82395519142368","3.09623795266477","1.53732641666111","-4.17210689854399","-3.15632903049995","6.95162770912934","-0.0568096659612776","3.45235498056519","1.39784121982128","-1.53655793514824","-3.56238086815674","-0.0614138040325419","1.01071961773145","5.22117489473135","3.20896505692268","-1.98768091141966","-0.505251955064938","3.61195874598267","-1.28036201511035","-0.648760147829904","-4.70208709151658","-3.50294468272279","-7.04139255842928","-2.19401329786704","1.11231754724296","5.3759645900945","1.15671490800843","-3.17091736984447","5.90343408324821","-2.80989880771154","3.92035196603153","1.11730556212913","3.32070637037843","1.54387301729649","-5.89888949046381","-1.03440942862526","4.31134621360336","-0.274254265643909","6.69944908379701","3.34854740945374","-1.1528260453985","-6.67081956135792","-4.57006386779404","-9.04264067380886","-3.8089864608329","-0.420265217687333","-5.11116254207249","2.54440787859341","0.208378682294228","-3.08091437428279","0.8716285681253","3.88985176390275","-6.49060193578141","-9.22305750342797","-0.837550073479892","3.64865715040267","-5.67005832849283","-0.994155336954416","5.28948221105229","-4.89563881225208","-2.36528276945871","1.25029621701313","-8.77176531178947","1.5003492039841","-0.269443885107193","-2.491597441246","3.31813947143649","-4.91032557498443","2.83960947755812","3.05752702197869","0.768218471811505","-1.08487355512148","-7.52302401686121","4.83283089854228","0.205614378974748","0.773477739382945","-2.88950507112938","-1.61441690084283","6.38294801795868","-1.90841022789715","-9.62443003168842","0.769917886497224"
"Random_ERN1_31_0005","-3.17327821406997","2.12365831985865","5.42626141760404","3.22919359283209","4.78366863786624","2.06503873996266","5.31768417034085","-12.7665312599512","-2.85911276079787","-0.40124621043954","-3.93258265035143","-1.37907167671609","-0.618099837260043","6.85924458922893","-1.70522579228762","2.99256606665066","6.23904698983556","-4.58485316370779","0.0858271227849326","0.867663330875225","-4.27727738903492","6.85186622755512","-2.30381452441792","0.0088331877779489","2.4614365661683","0.993765124759642","0.290799061748638","-3.97351529206665","-0.647959154389528","-1.18392669310634","-3.89609670649877","-3.25217952808205","-4.33511400592121","-2.8414231921025","2.94588217654645","1.81770232114669","-4.15974782590631","-2.93545539685128","6.88065118676523","0.0707329542806524","3.45510576623495","1.20521479188903","-1.38874993477007","-3.49577666720645","0.200667054495447","1.06114873138735","5.13407524263376","3.34148133091204","-1.76302892708888","-0.367675721158217","3.4724184890237","-1.42019128354261","-0.954034454363145","-4.40939155320095","-3.68116119933058","-7.03310423338914","-2.02858528433759","0.864605742422742","5.13232167448067","1.34297881719313","-3.16834925050862","5.80953789194386","-2.77866723209701","3.69488799796832","0.979122559517788","3.24195099037138","1.54831153076242","-5.85959191246529","-1.0431243405306","4.31523290393938","-0.0477227592570363","6.48164110525652","3.2019382394906","-0.998061989713068","-6.57376680828712","-4.4327264137562","-8.7479402617262","-3.79971951390386","-0.360789290777466","-5.02714925613697","2.53961230683052","0.0173516322175405","-2.93332854004457","0.868337190474151","3.70336945423991","-6.70498098200112","-9.15682640460515","-0.989550340241601","3.62427996012631","-5.57449057784649","-0.958988695618659","5.2719200301759","-4.94771118277628","-2.29989199934195","1.35910410619011","-8.46798423431643","1.59055406355367","-0.485059268536707","-2.29908052036682","3.20034697300621","-5.07902500433378","2.86177048704887","2.95948961233628","0.627393571453034","-0.648641241364374","-7.36579446466347","4.70380127605742","0.231812455625689","0.956353938783604","-2.76547734985801","-1.63880080906302","6.22662880466598","-1.82058898761836","-9.43197614924826","0.97038099160009"
"Random_ERN1_31_0006","-3.17421225430829","2.12642634001564","5.47194143713384","3.15033778631984","4.4804676913978","2.59576053212846","5.3526457472338","-12.989854165018","-2.57953468768166","-0.192800801897584","-3.32910906972022","-0.934979105000975","-0.460227346798092","6.74537360598071","-0.979373032902828","2.9369792767601","6.8084694108296","-4.46248661425197","0.551621713041037","0.658325708183059","-4.37141674074846","6.69552004866351","-1.56541524283216","-0.233021434565353","2.2351384591992","1.06752582398726","0.124288785328794","-3.38867028001494","-0.825371075773325","-0.552203825216545","-3.34534301923831","-2.89742436403412","-4.03342994378752","-3.17315005518973","3.68773677514987","1.48585564671016","-4.38038261659969","-2.84591470216521","6.94978526995378","0.451662532927114","3.19025076564483","1.81799033382525","-0.970406209692454","-3.12065928269588","-0.0871112092151307","0.893356874950361","5.05109020789154","3.34929399003718","-1.53415521269835","-0.690208410863932","3.0496898737902","-1.09644947178772","-0.508136596079167","-4.61666412789466","-3.7752333733066","-7.10113604132554","-2.39942874403401","1.64751004479647","5.0148822532777","0.934452307793376","-2.98453343459658","5.72304193243301","-2.43069920324938","3.49506850361235","1.40556760954143","4.14020842218784","1.69171085922327","-5.71661820338955","-0.919694125236544","4.1694836669532","-0.500933153408193","6.72442578096164","3.29884987268592","-1.08036687652071","-6.47407940146073","-4.23408571313442","-9.24893312484635","-4.09620494804575","-0.00438119574675882","-5.30750713141647","2.54686148583758","0.682551470765836","-2.63122518366425","0.800061188069801","3.57077727159104","-6.51615468957716","-9.13094802819148","-0.576768787883313","3.44315546627811","-5.5433670615781","-1.28914359579535","5.05305986256929","-5.03149921698041","-2.20257762397447","1.18145363892979","-8.44541985343295","1.28481393020783","0.205446540792088","-2.39447458914354","4.05046421506964","-4.63526928705768","3.57323706674878","2.8740387736724","1.28817738903455","-0.382780659830022","-7.77499155867276","4.56721152627089","0.884669611084077","0.773876923836419","-2.61015512263027","-1.68936371960964","6.20513539819913","-2.02220938824186","-9.44136516308778","1.36137341706284"
"Random_ERN1_31_0007","-3.05278625950057","2.05808973706345","5.44102469713069","2.98509831380735","4.7523528746355","2.09730893857934","5.20821732884519","-12.7267730794245","-2.6548969739193","-0.262775700606897","-3.67332014441411","-0.97227214696299","-0.548921653670119","6.7897891083078","-1.34880027411553","3.1619758641231","6.23494260201318","-4.48950740623924","0.265851335284626","0.79212509745414","-4.29386457128609","6.75317343290341","-2.00362415497847","0.0446606610315939","2.15974931985951","1.17648388278676","0.357433168061604","-3.75296193373607","-0.6637067837354","-1.02092315802021","-3.86454694603872","-2.95853325756834","-3.96144399330219","-2.85211501153035","2.89802857685333","1.89274943490538","-4.24075374796019","-3.11694142119028","6.80319372785101","0.0846532417433774","3.21323896989029","1.37564483815159","-1.25412832724474","-3.55216125368623","0.0345078118156211","0.934338737561685","4.88887372565982","3.18266634392759","-1.6961633429306","-0.727158113712634","3.40890886179166","-1.24246456605706","-0.694863302214644","-4.34463203383091","-3.53365117283291","-6.96572340248044","-2.01914058990143","0.988147448388844","4.91296897676179","1.11574872745504","-3.01975581735973","5.69512799860967","-2.82947819156873","3.56087067892912","1.24508161135122","3.24723717227513","1.66494327016845","-5.50748031104676","-1.09452531147899","4.31836025280173","-0.15896471108159","6.45944938837578","2.92879322242029","-1.0129203963045","-6.77714871180408","-4.3654658405057","-8.79558287435203","-4.014155494313","-0.293738514723249","-5.09740060155395","2.2476991957262","0.215436391662848","-3.00160780355132","0.776557743547185","3.61208114478998","-6.56833091604643","-8.96031307876894","-0.745153389487872","3.38489675230927","-5.50552750130637","-1.3510153713671","5.24337749129273","-4.95130205647774","-2.34294396732255","1.16185658269673","-8.19389484373846","1.65107380218919","-0.26795712795076","-2.31999981279182","3.28102616919579","-4.92242056785032","2.83087507290285","2.74515434584746","0.78364571023347","-0.570785389651254","-7.42074910618415","4.53323364177253","0.339150699808321","0.657792163928142","-2.70812100704713","-1.66393839539213","6.03666054641072","-1.87124256870805","-9.46414203440181","0.887481427826912"
"Random_ERN1_31_0008","-3.05895428828901","1.86641052805054","5.49524104431549","3.18527764098675","4.79124049668981","2.06055013897626","5.39241285905701","-13.0583499164326","-2.7457356483598","-0.430679319491423","-3.7083615631688","-1.39187548100599","-0.470054700252993","6.80781068691201","-1.44170159945127","3.17572422883955","6.26087038615922","-4.56599418181897","0.204820019323346","0.818601113979392","-4.47284071260167","6.72355587992214","-1.94071439530077","0.0514881266526468","2.29256696199077","1.32773479944152","0.308224620624534","-3.69102546361471","-0.511051866461369","-0.949199751051669","-3.90878642676729","-3.10531146807099","-4.35046130505002","-3.58686008398157","3.25122713711921","1.69109282017663","-4.0346979854713","-3.06552654438061","6.9129712682992","0.259360613604481","3.21366781143105","1.48824298104387","-1.31068917176824","-3.5873340570857","0.0211930008204709","1.15519550125082","4.96212941528656","3.25481525051947","-1.99003383827088","-0.628120069708215","3.46695636950913","-1.36538352981734","-0.777115955726601","-4.38426538669513","-3.63952575388049","-7.09816558895371","-2.11478758566577","1.30837863795065","4.93726706497624","1.04293262223413","-3.26315836417643","5.85951592583736","-2.77387961239187","3.59287801218122","1.14754297457784","3.36822496357891","1.64399453223844","-5.92258709500635","-1.06795701500139","4.33233582173886","-0.132627696729234","6.44986034938314","3.01038171239185","-0.877814025409589","-6.85576651142579","-4.66759563821194","-9.00934170135788","-4.17819347675245","-0.258517572511619","-5.09282217345699","2.4386591064462","0.246521114909792","-2.99332692188324","1.02638849241643","3.64205415424869","-6.80304553527106","-9.12716837337205","-0.748688281326981","3.36256420166505","-5.4188869815745","-1.1042546505166","5.37982802241815","-5.19801339002697","-2.22953696221786","1.43727825319934","-8.33323002164607","1.58563035705976","-0.457469693609744","-2.42409479572302","3.63038606328134","-4.90362809845486","3.00110949660926","2.66515875698665","0.790423017123481","-0.42462931733497","-7.59232690098696","4.62396371503811","0.28623436155589","0.643651207584104","-2.56196075091216","-1.76078169756191","6.24596194438514","-2.15056885092746","-9.56554189623351","1.04968361395626"
"Random_ERN1_31_0009","-3.03129005974997","2.02365876198532","5.42983657165444","3.12723220300731","4.8054111343863","1.91186670110193","5.00925400543293","-12.8418718166716","-2.82882514914184","-0.210037535235364","-3.73301601133734","-1.0769424051152","-0.473338963710905","6.88600036863047","-1.33448200994217","3.10572829725971","6.29690922259781","-4.76573916539628","0.344353976602796","0.909554304255029","-4.3343132475741","6.81581212777964","-2.04678487536226","0.00388882394714229","2.34098818303553","1.1132105071846","0.239072455392126","-3.66487131254211","-0.609652954082098","-0.892869462240767","-3.90817846902542","-3.09849261140009","-4.01320225907657","-3.05018809046832","2.94302499185734","1.61758025898605","-4.43280589539467","-3.25643878464176","6.98270170831444","0.0491336264291839","3.25563243748409","1.35584308234617","-1.1849812155735","-3.49157358755601","0.137884747391304","0.881098907521178","5.05125169766034","3.26057352015356","-1.96622398955475","-0.620115116775053","3.51658916838089","-1.25198409111115","-0.639667299160352","-4.39502085866281","-3.56612017255215","-7.16345996842875","-2.26539507607064","1.00321123182478","4.97097334485841","0.970430591975912","-3.22221064284052","5.76622368895305","-2.80173498104847","3.70161703719215","1.17496108801591","3.31636909806992","1.59051830729076","-5.63010989059599","-0.850385722218553","4.34524375674573","-0.127193944281683","6.61989128140048","3.09485497293176","-1.08192354954456","-6.90815430871964","-4.41104228324448","-8.86790979820307","-3.99990163560358","-0.477173941637379","-5.08119647099206","2.43332658526519","0.125347207873221","-3.05117775541428","0.912919408824028","3.71465131912047","-6.54479631615203","-9.16764598339454","-0.769060695211412","3.43041503348774","-5.73548539609446","-1.06384497896609","5.28453970869451","-5.02366923592114","-2.25619492810265","1.35292037034514","-8.35975553011791","1.71267569679742","-0.419612501853226","-2.27357390886531","3.37048369891255","-4.89823145039909","2.89003081213176","2.86724748683198","0.778134661398097","-0.743697282148037","-7.4424870671289","4.70041496416096","0.178585615893049","0.740318125809926","-2.57247831152134","-1.66703619807769","6.26559108012519","-2.06114363978052","-9.51473785364019","0.787731805124341"
"Random_ERN1_31_0010","-3.03301324323735","2.17516289459743","5.64436961794165","3.27936716148015","4.98456419948972","2.11213376017485","5.08533072487178","-12.9687103134331","-2.85237724735698","-0.297636619766925","-3.63539054036417","-1.19452122220622","-0.623379443302733","6.95507984672549","-1.30853379323901","3.26975797809118","6.29883664921469","-4.75806191721728","0.356419751743571","0.901307829958127","-4.32670092385077","6.92591513574513","-1.87085492010043","0.163148491702947","2.3126834460239","1.11795965766684","0.2747533386415","-3.71905659417566","-0.685555949167625","-0.980825336824903","-3.99110388316974","-3.10458618816872","-4.13712631940962","-3.34452844273193","3.17599130047187","1.61222727283379","-4.43174468824067","-3.34364917045773","7.04071262974409","0.0885113558932984","3.43768128617198","1.58855324547319","-1.24173151383954","-3.56104196205038","-0.0290204314734432","0.724255867308491","5.04849962155869","3.28455411405256","-2.06181707640483","-0.635070396263336","3.44570929579662","-1.27654350800594","-0.791846479639937","-4.38818812694537","-3.69563836344651","-7.29996429489113","-2.18317436908032","1.21820074047182","5.10030444374822","0.980738662650028","-3.31570347325081","5.70398111623749","-2.85171702320984","3.6229279266596","1.1087250548381","3.30690993110471","1.45929304342353","-5.7976561119535","-0.877299853154325","4.45320580360068","-0.328324546168344","6.62920224345147","3.07864268885625","-1.26367583152503","-7.03835391374416","-4.49433299237328","-9.07119281823316","-4.06870934711425","-0.488699907669775","-5.24539041788446","2.43921807659953","0.335506299302148","-2.97988194939305","0.863874718007531","3.80587597713469","-6.73899935091583","-9.32275969890812","-0.819584567418693","3.39812084627708","-5.58306479016964","-1.07053845783728","5.34447783091475","-5.14103410736133","-2.47095091232348","1.56943630721688","-8.40140397683134","1.68071262339022","-0.378246090440169","-2.36792882274289","3.6245523684565","-5.15561469616226","3.0324024586022","2.87731480754468","0.797844771445783","-0.806253141900321","-7.51828395291271","4.58933898369003","0.412856594871572","0.768831857380696","-2.74927384019423","-1.77236982738145","6.30718273033028","-2.15856054925893","-9.68585602143191","0.98928294263602"
