"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_TGFBR1_14_0001","-3.0872731924736","2.19257803360414","5.71750782430556","3.20992004277733","4.95979556566778","2.02886889030859","5.1866518981734","-13.1406776944134","-2.82167965110174","-0.35712765517405","-3.83821508471987","-1.14974012044601","-0.693644777710678","6.94320905397884","-1.49524011606378","3.13993758280497","6.33165107149216","-4.81964738503188","0.201632255758495","0.935704636740693","-4.25642206029627","6.95733464667571","-2.10255424038242","0.114807987030671","2.44501557393247","1.02942041250214","0.393047592470525","-3.87996597619225","-0.547483349027099","-1.04832373348374","-4.01805436992186","-3.31696033342393","-4.18093747430706","-2.96497260995994","3.07095966852309","1.66926747497791","-4.32844709553695","-3.05058609342421","7.00029604126234","-0.00487863192773294","3.45021858669602","1.32058230373946","-1.41161131215343","-3.63027566492906","0.175327719753527","0.996278804817281","5.47277489837903","3.35810204943998","-2.08039845115764","-0.540517451511632","3.59481269648362","-1.39842095548567","-0.807523892548169","-4.48267923820694","-3.60276215617439","-7.14368670562991","-2.09095372797551","1.08452194633598","5.1612996466142","1.22608351206888","-3.30128100621158","6.00075133076763","-2.9795304360048","3.826459109739","1.02914061612334","3.34996221908379","1.4903068809999","-5.8306485726219","-1.06121676915408","4.5311036388557","-0.162935110609392","6.64640342576379","3.29516184313495","-1.17443410399206","-6.88741821934598","-4.57175862190061","-8.95273859778556","-3.99571676035599","-0.462617622870311","-5.08840390860771","2.47160730870589","0.167266799468004","-3.12022832594047","0.95946081515877","3.80188182322691","-6.79220040903991","-9.22136633860001","-0.86793784069707","3.65110644731056","-5.63274778581959","-1.04282775405958","5.38088631038802","-4.93796279166807","-2.18100384265559","1.46455233892338","-8.54264194141662","1.7507739875127","-0.516171646929985","-2.31946282880958","3.42673487884423","-5.09352336877356","2.96069941237248","2.93774643850553","0.70037613002594","-0.795459923189752","-7.59281697116562","4.73996150697422","0.218551855089953","0.81971698545493","-2.76610283804127","-1.61854958594065","6.37180889512466","-1.92712829825149","-9.77107087852421","0.870644672977842"
"Random_TGFBR1_14_0002","-3.02172039547973","2.1326716124005","5.72390703659786","3.10540295416707","4.90422606008282","2.12596465511977","4.93988335135885","-12.9085745976792","-2.91176834550476","-0.253705359693937","-3.73026089519245","-1.12270309331536","-0.654531164100226","6.84178030835098","-1.32435527755671","3.12521213144636","6.36999201208712","-4.8437710002073","0.259739389689668","0.902611130312867","-4.2071734683071","6.85198580111244","-1.96156844771296","0.0427093970194188","2.37267644357811","1.07094407338599","0.320732787051412","-3.67251797797289","-0.546882312387265","-0.95240966409301","-3.94232375414129","-3.16011912311426","-4.05325963749101","-3.13691642527934","3.19090434633133","1.61978168734635","-4.40329468660415","-3.03481602992156","6.92547672301123","-0.0626083717574239","3.25046756619833","1.48654670055112","-1.32374894419961","-3.56759789207596","0.174815858569737","0.954778655423828","5.13807970318862","3.21763615589539","-1.88281400135265","-0.506022691801479","3.48406807813591","-1.27435658454777","-0.678264031053366","-4.33126235737295","-3.5958670964406","-7.13674035101836","-2.00704216991051","1.24227912926948","4.98713306020965","1.03068195106669","-3.28966212036616","5.85487166244311","-2.96911627310648","3.8096482487108","1.1668072305835","3.36246863656079","1.50072096097367","-5.72960412006334","-1.0442942655185","4.52446031236969","-0.114763815183247","6.58393685200749","3.22529573277034","-1.38367405561621","-6.8178740006538","-4.43059097767008","-9.11360278030675","-4.10199593038914","-0.4161731949299","-5.08176752869544","2.44982974430468","0.30224857804673","-3.07604176642866","0.824932309418557","3.73717658239148","-6.77168401042794","-9.15682191777825","-0.77453080627224","3.52026170994127","-5.84060133539164","-1.15980045504839","5.34749362649534","-4.95372199551631","-2.2161198473795","1.52462959651164","-8.56027138362585","1.71325984473218","-0.435348922194864","-2.2133365082222","3.60875971736922","-5.07859521232492","3.0030252994536","2.86917619060804","0.771223463641359","-0.861026732576591","-7.4427035445411","4.65402221978605","0.309071079426681","0.805718160113866","-2.71761859139264","-1.66903559415125","6.270448913722","-2.05965126861303","-9.72640807370368","0.983308689830642"
"Random_TGFBR1_14_0003","-2.89500649053101","2.16360047407936","5.56053440318265","3.05919163266126","4.75564484904705","2.1812085672437","5.21480384050939","-12.8776802705805","-2.63507952993178","-0.191407056041616","-3.62932402048772","-1.09584272840266","-0.504895811588375","6.76075909185899","-1.3081711627188","2.94333991046849","6.2719099013565","-4.6326556131857","0.392113331594468","0.683567325558094","-4.35312650501161","6.7027255634633","-2.02511504816109","-0.170878904719443","2.34296487687142","1.09399609271805","0.168935870626837","-3.71500679112484","-0.742480470551855","-0.931858934792577","-3.75067050458644","-3.04877489511639","-4.09049226089984","-3.13757297493495","3.0890270459342","1.83564109061161","-4.23468255370606","-3.06529735036243","6.81206000145619","0.0944784274508326","3.2371249285265","1.47430266814079","-1.28041715391279","-3.39312472136836","0.00211594638071073","0.88483748849354","4.98400484993596","3.22941125656382","-1.71276362618417","-0.580710970628598","3.38505179065821","-1.25187952289847","-0.644016904488873","-4.47339452116465","-3.51530331379304","-7.16401116487044","-2.18931968732928","1.06444796044729","5.06698488953464","1.10050086841163","-3.01449221531728","5.79572227203883","-2.71039116675346","3.61043020434583","1.13814303183256","3.35547878855637","1.5431322667606","-5.70106732123008","-0.940522373082979","4.21693691714703","-0.240581583407046","6.44903360736617","3.14093334967296","-1.0412725824402","-6.73306569367982","-4.38917729337381","-8.91815678907022","-3.92959006940989","-0.271834978631095","-5.17939270406604","2.41931432622244","0.233325463866949","-2.89652586530377","0.861542375085129","3.62391781123739","-6.487955192323","-9.19089424774364","-0.767838766901157","3.41934175770932","-5.7062542125616","-1.12697447700304","5.15037026544517","-4.99524415282021","-2.37339083653848","1.25413028922823","-8.50765295275706","1.45715023023421","-0.20419125781148","-2.42535492022201","3.39286200205616","-4.86259067437592","2.92127465021166","2.78859480194756","0.752111354426421","-0.682465270268912","-7.57079787349304","4.60634696308839","0.399342911050826","0.767212122606726","-2.72046784422211","-1.67926341662701","6.24939777940462","-1.90766047803082","-9.54162023546175","0.952311473116071"
"Random_TGFBR1_14_0004","-3.11827895891973","2.13820377725877","5.46231502417372","3.08976873230822","4.82502486714402","2.09059747199784","5.05692137997857","-12.9993767008598","-2.8348432227402","-0.230880437606967","-3.71693781882569","-1.21888709703727","-0.548893856436703","6.8831773736548","-1.39107707486677","3.16814205748708","6.32857771507451","-4.70583762878204","0.259098980695474","0.97393934249333","-4.44777373727032","6.84114318987124","-2.0079047333895","0.023943150602294","2.23934670748485","1.16249484862147","0.419963937521086","-3.7776124298899","-0.604879871954742","-0.961181037421413","-3.96557759922144","-3.06672517725102","-4.07467909107315","-3.12206302226197","3.0597565207326","1.73866857415656","-4.39670818271598","-3.20292696919584","6.8704498763772","0.191736395013387","3.33084883790335","1.44774079165224","-1.33742375813764","-3.54353801722655","0.0823901656789677","1.00460556032673","5.03187381292541","3.23824015418052","-1.87525371418709","-0.678210733147018","3.46025093713815","-1.30417028705422","-0.698612570026613","-4.47017043262027","-3.56293517866294","-7.15652913947297","-2.1516724878596","1.01867795948839","5.06138815922944","1.15064102539771","-3.26306295059554","5.75108411297551","-2.81960751747907","3.67692060117599","1.13766647640009","3.38879752925694","1.64924808185853","-5.62064118665838","-1.02376445239201","4.37615854168181","-0.0605029730452783","6.61149862626958","3.12456238388228","-1.02634078652327","-6.85052119170754","-4.43062955158123","-8.93089008983803","-4.06630609638391","-0.327548701314927","-5.35618223030572","2.37829413985527","0.270490785833571","-3.01612523211386","0.946643131148107","3.72915522755117","-6.65766235390887","-9.015832292715","-0.750567973602575","3.40229355632058","-5.61322680088995","-1.16042270912186","5.34394555883484","-5.04758983867022","-2.26871470421521","1.4349570710249","-8.38491618630587","1.65448301195725","-0.390779959806313","-2.25332530841333","3.38351341179073","-5.00237938713458","2.91605642773428","2.84351712248954","0.819606796733939","-0.76047834052966","-7.52612441815943","4.62093761977317","0.345883357500846","0.739074333694023","-2.64395057300657","-1.70978158913912","6.15509823027025","-2.15585006127289","-9.65117476030892","0.958791223660563"
"Random_TGFBR1_14_0005","-3.18576170614915","2.15156265063368","5.4530138783112","3.0180088741998","4.8423457838271","2.09562107824642","5.22001863193713","-12.8251742233615","-2.67791768787129","-0.179923656668265","-3.65530459914781","-1.13026353142703","-0.451391461716816","6.78514866074282","-1.35128990636728","3.08001159273913","6.23073468046064","-4.76409747114401","0.313786759219643","0.810768941480147","-4.40234098120201","6.74203900397193","-1.98538470822805","-0.0676218896971409","2.33183002742487","1.17161252525276","0.155102296801843","-3.75797475256723","-0.641328295429836","-1.09071947770888","-3.89345167181533","-3.0390153602255","-4.04502282253717","-2.9836443850475","3.25054827466923","1.73508767368529","-4.21703453153915","-3.18107437551805","6.81648146457435","0.0398416076603715","3.31502612396236","1.43857643869652","-1.45150855518583","-3.59955390617182","0.0516944775780137","0.886008739711494","5.0453965445138","3.22812806681105","-1.80367700389723","-0.654458468836585","3.49193904263473","-1.30062723184117","-0.641925341239175","-4.61700231784058","-3.43254143367962","-7.09888006548283","-2.165155328509","1.20935485826446","5.13640545750969","1.04817400492979","-3.14999664458304","5.81941968650158","-2.73738783407846","3.70053254213358","1.0767483281584","3.36975530802389","1.63861168160562","-5.73133576627854","-1.20012889598854","4.27283378662691","-0.0645652580887493","6.51392073788044","3.1442509932163","-1.25741709020283","-6.80210235582246","-4.31484156466311","-8.86797183543384","-3.90086511828362","-0.373427603602334","-5.16118302312221","2.52102020695437","0.281856036355148","-2.90956241310055","0.701737872008879","3.76677687437695","-6.52435052537374","-9.23413033288306","-0.765186686892292","3.49315303842833","-5.88850653570461","-1.07625979082521","5.15360487796417","-4.89488018770361","-2.4001220228973","1.33948825639754","-8.46538391215451","1.60699424860559","-0.286041721488116","-2.28939612814306","3.54644268829237","-4.8605779948983","2.97046276720439","2.9030824482255","0.789860057972045","-0.790111122207995","-7.61650193602661","4.64604568767675","0.363014965694905","0.720507091535133","-2.85953217929957","-1.60381797134339","6.23282103478571","-1.95389355433649","-9.62890149682216","1.01988416485951"
"Random_TGFBR1_14_0006","-3.18312213873771","2.25923127580875","5.76607504015897","3.17943573848165","4.9844327128596","1.95462149963085","5.17998255444629","-13.0245975551605","-3.05799481903114","-0.470611084365951","-3.8936321062012","-1.40802887843363","-0.679151951776733","7.02402633832055","-1.53574903616732","3.1908873906725","6.42907625190577","-5.05473767969183","0.160601380880451","1.03050464779479","-4.21371687610816","6.89655338060268","-2.09250327393223","0.0568805408286361","2.34744161362044","1.13229010798941","0.527738790143634","-3.9545098609645","-0.345764213917238","-1.16047834459806","-4.03605102632321","-3.29989059543827","-4.09712389942759","-3.15774353810829","3.27363794340876","1.5863106141398","-4.30014315233982","-3.13258871743155","7.07987729935898","-0.0234337317027975","3.46904542981453","1.28436962520907","-1.41498606649516","-3.79416794058031","0.234196492977238","1.09422463694568","5.21041563891585","3.34310543914367","-1.81346077597938","-0.667718751802932","3.57072427739371","-1.64453978773411","-0.914168540445777","-4.57747603903142","-3.64394867768327","-7.15131002153739","-1.90895122155392","1.22302999838701","5.12435207200391","1.12038411379706","-3.48796028874665","5.96872192204175","-3.09387740347716","3.85781208835803","1.0310575773629","3.48008227332066","1.45492391729836","-5.91602005691155","-1.20688503413375","4.43330271570465","-0.0127797329645725","6.74313772601162","3.26407927894531","-1.11091469979655","-6.79180007589822","-4.61429881028315","-8.93162761346159","-4.07085283641297","-0.539456682020235","-5.27806630441297","2.579249709815","0.165956118475741","-3.18544841462203","0.852338376887185","3.89025158681676","-6.86642866102191","-9.26581010500293","-0.96600265252989","3.55811864938606","-5.64830665386805","-1.06244280555081","5.49939581082295","-4.94305054469291","-2.05967793576452","1.58765963442366","-8.5448720390332","1.80149394850187","-0.562172845745685","-2.0969533226794","3.67461727183717","-5.15156708984715","3.09189007741637","2.92824729867323","0.662520178168045","-0.879843900005265","-7.7030085910137","4.74158076278643","0.252689171071177","0.748921478088223","-2.86911261362197","-1.56419361398217","6.34899423003717","-2.27730743856219","-9.87456852114429","0.838917418911498"
"Random_TGFBR1_14_0007","-3.02776745976598","2.11949168529188","5.45020346572171","3.06384688691215","4.85581064422528","2.09180912127961","5.29539698267696","-13.0005585045409","-2.74105641684874","-0.256350987657927","-3.68686034288426","-1.07746154536671","-0.398572165776918","6.82643797916703","-1.33051993500723","3.18913714419526","6.33153138283467","-4.8014446388594","0.320764472986244","0.902955246425645","-4.23031838206463","6.85471942524942","-1.96351569829151","0.0196556947775541","2.17667095896693","1.19301154366841","0.326385849672817","-3.81257349987087","-0.624532276266575","-0.881342663900519","-4.06212234469526","-3.07810195951195","-4.0991325309106","-2.8753494533262","3.13250457611527","1.76069793667447","-4.32318524354155","-3.23906182103485","6.99501849984088","0.111099448275236","3.32730210345129","1.55194537145058","-1.42272686584713","-3.55823020037168","-0.0311585689967469","0.799791412243843","5.274194631866","3.23436342313861","-1.70825292029994","-0.803016032308716","3.56524727566379","-1.30318505542167","-0.644941696660283","-4.32493829067868","-3.41888061768816","-6.93695757230317","-2.12474490154385","1.03447548579787","5.04762990789442","1.23069944531424","-3.32167011312327","5.80459660502576","-2.95774179040308","3.73553219669603","1.177474385801","3.3095829497345","1.66260644236902","-5.64520614462973","-1.11138669716785","4.33681518407864","0.0263936513435772","6.67353049671276","3.1825486683137","-1.14906767064724","-6.82743352929241","-4.46693545395572","-8.95330522172301","-4.05684079207328","-0.280944067857885","-5.18832336842748","2.3721548731698","0.360971636865709","-3.09643673609021","0.757909761029948","3.76075026416646","-6.70090357365158","-9.12693836504469","-0.750577257230823","3.45967142231134","-5.60043497801689","-1.25370164834303","5.32921307856694","-5.10110770623731","-2.36857770157367","1.39048480597948","-8.44803776633031","1.73622876908602","-0.321444550007398","-2.26855302434438","3.49921971498791","-5.03565046918654","2.97331451880406","2.82458874456399","0.861233256165874","-0.680151264765785","-7.57658601840895","4.59249219551557","0.437506835058601","0.777730411524639","-2.70688415763136","-1.74230413128997","6.13821470642974","-1.90092764024815","-9.72171267793171","0.953792939454134"
"Random_TGFBR1_14_0008","-3.07348256277","2.19718516989133","5.65435656415671","3.22943820166738","5.02589217554364","2.0331814586872","5.11650554530593","-12.8948092060944","-2.85684528140825","-0.371364351688206","-3.80936386744572","-1.24886239677067","-0.587101055977042","6.99584199899445","-1.4462328956376","3.20781572589493","6.37213284394942","-4.77591475760211","0.194717112314873","1.02659005016316","-4.27518383705229","6.90326393791552","-2.03510044354363","0.110305804105195","2.36165591148328","1.13364800077883","0.467880615570055","-3.86953092951007","-0.525230164621208","-1.0048287092792","-3.97157437701356","-3.18608320840144","-4.09312663127692","-3.08584642832035","3.10105367286888","1.69416550426525","-4.31374007244762","-3.13174149929124","7.114328259077","0.0352151214233718","3.37434213657901","1.42443372267057","-1.32672538269821","-3.56576046338194","0.238137416336632","1.04056241208593","5.13868190493088","3.38877158108051","-1.92365325936251","-0.578059059188616","3.60161554437812","-1.37957482520064","-0.743293746138896","-4.48261680449522","-3.57899572633108","-7.27193254010501","-2.0254926272368","1.05176364903523","5.15011028921383","1.21037361124058","-3.3275845032997","5.91641289320559","-2.89256455646371","3.74633836619929","1.09972576973984","3.31384064213266","1.59751765646071","-5.86326435975516","-1.10330838281944","4.51733221421609","-0.0473012914744188","6.61822700149356","3.25901517372409","-1.14340759940793","-6.81158902611047","-4.59004294897358","-8.99351080570452","-4.00983725945188","-0.490149388190628","-5.20178057071654","2.43373893047076","0.273031276282891","-3.03732342369748","1.01672473063967","3.73668099550241","-6.78121928021727","-9.0646201681002","-0.774344741627269","3.57733063664981","-5.56831060616597","-1.13767966229112","5.50986527972928","-5.01325899340585","-2.16276535480222","1.54843747184186","-8.44414763202064","1.74084781612462","-0.384053811869143","-2.21888960917884","3.45649637704487","-5.14597905524139","2.92169787411324","2.90240751358776","0.730396933830964","-0.769650006639658","-7.61114543434698","4.67369660307083","0.282105336017921","0.777265791044138","-2.76371542765524","-1.64618040674175","6.27991376205718","-2.02743061151718","-9.72283721071334","0.915524004425169"
"Random_TGFBR1_14_0009","-3.02437807079746","2.07859886210936","5.55130039474967","3.05118009418724","4.90096926717834","2.08025863610615","5.14622344704268","-12.9983896767392","-2.69720301920196","-0.241910169631809","-3.68487876377863","-1.14911176341905","-0.525643279765486","6.84475061658529","-1.37654148894011","3.04053262641581","6.31514784680586","-4.76314494512645","0.338757510856641","0.786965253564212","-4.33709261944589","6.80916348580531","-2.05365050022137","0.00142650694543411","2.45472834099252","1.17177461918179","0.265862327794526","-3.80685995944047","-0.570499621583131","-0.939894748631064","-3.87180060546702","-3.10453068623304","-4.06611731779931","-3.04539931380788","3.03266313371717","1.78577014871891","-4.2403136529362","-3.05059202294768","6.89835234630883","0.0326150597947136","3.29902078950299","1.3594239078028","-1.2833931733091","-3.55083395922089","0.108847059568723","0.971613045495004","5.11654304178734","3.31396632889647","-1.8882153686261","-0.523487581682839","3.56847078913479","-1.29952024966872","-0.678494894553269","-4.49016168887448","-3.57863061361236","-7.10582163370737","-2.01283638550344","1.0710148066707","5.07037122289926","1.15596864734452","-3.11757084932214","5.88955530358686","-2.85602317821023","3.66396400879684","1.07906033261912","3.29651245438244","1.54387431408066","-5.75306150529617","-0.951352295617315","4.31990768610413","-0.0913304457132831","6.55332516532233","3.21301924624617","-1.11320844972715","-6.71135371257822","-4.48523580872272","-9.02650012488167","-3.94868733361541","-0.436971683307658","-5.18450102474159","2.43753850101612","0.20754185328545","-3.06793421381126","0.753852341353896","3.63691069513677","-6.63537069281199","-9.18458968320386","-0.840592685351201","3.55871279537463","-5.70587079790915","-1.12496888185782","5.35985372182935","-4.99117661311409","-2.29247492200144","1.30309518340986","-8.45187162669377","1.66514241217089","-0.350282403491243","-2.23972027921048","3.39326965493526","-5.0349441104687","2.80038859714392","2.78244073408339","0.732448617815875","-0.814974923107734","-7.60870638052035","4.67711831969333","0.269468064421573","0.786407784874572","-2.71223703527709","-1.65671132816674","6.23749207087449","-1.95116878867178","-9.67694029900201","0.859669582296707"
"Random_TGFBR1_14_0010","-3.0752529044805","2.02361088893934","5.43246566911763","3.11491256767796","4.70901727005472","2.19893757978909","5.03263557236375","-12.872002787505","-2.72638967948112","-0.23793328987924","-3.66802334273138","-1.17655356454479","-0.50584741124626","6.75825860526625","-1.39388083133953","2.8512031517093","6.2826578310325","-4.55041752462192","0.182687105165665","0.618563234961012","-4.36380607030436","6.67075103109277","-2.058386617095","-0.0800504966851218","2.25621342737751","1.00183414659006","0.0997082843531476","-3.66788502373329","-0.792961395937174","-0.926565175683043","-3.68989324492843","-3.1070682189381","-4.18910466059311","-2.98054980469327","3.23421318025053","1.625984072568","-4.09793109625625","-2.91680600217094","6.88006101876851","0.101673156232744","3.1814136153742","1.33557022358369","-1.21996510986645","-3.47448922966511","0.08270591380007","0.955615057664068","4.9621998468165","3.29893728290261","-1.83942432501277","-0.533971339182625","3.38824854087383","-1.2987758970808","-0.751779847210146","-4.57558209283772","-3.74973379422712","-7.00090801360641","-2.12661795256697","1.28461709101872","4.94675691597854","0.987668863465085","-2.98030104146378","5.74105359123619","-2.63186117447201","3.59665875254848","1.04561846303466","3.3893472428989","1.44401221447523","-5.59940438544724","-0.917044177789497","4.24536307866004","-0.358533111031087","6.4928804122763","3.20356995613533","-1.02133470944213","-6.73664511682648","-4.46984989994052","-8.94016816676149","-3.85862461030006","-0.230796021269704","-5.17317429498211","2.43866135524712","0.149776353688141","-2.90273786850308","0.721041329519793","3.57372213964914","-6.44448061478128","-9.27606686803727","-0.784275526919672","3.39743594196217","-5.61018423158542","-1.09122617992214","5.13409728647471","-4.93023025897306","-2.44723071885208","1.10219975522019","-8.41998620660885","1.50745011849066","-0.287408168037519","-2.4116307923425","3.51793820112917","-4.85118608999301","2.990527445643","2.80223857716519","0.812744069945884","-0.69382803449756","-7.52815570817788","4.59966486813509","0.336037185016583","0.709419519719024","-2.68899295198812","-1.66722293486133","6.19896846703866","-1.80245200067564","-9.37729342230016","0.886480947430361"
